actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
206,PT12M00.00S,2023-10-30T01:40:54.3Z,2,REGULAR,substitution,in,['startperiod'],1627752,,,1610612747,41,28,2023-10-30T01:41:26Z,1980000,False,,,0,,SUB in: T. Prince,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT12M00.00S,2023-10-30T01:41:47.4Z,2,REGULAR,period,start,[],0,,,1610612758,41,28,2023-10-30T01:41:47Z,1990000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT11M46.00S,2023-10-30T01:42:04.0Z,2,REGULAR,foul,personal,[],1626156,,,1610612758,41,28,2023-10-30T01:46:24Z,2000000,False,,,0,,D. Russell personal FOUL (2 PF),"[1626156, 201580]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1204.0,2.0,0.0,McGee,201580.0
211,PT11M30.00S,2023-10-30T01:43:03.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,15.719448094612352,54.65686274509803,1610612758,41,28,2023-10-30T01:43:15Z,2030000,False,-23.0,95.0,1,left,MISS M. Monk 9' floating Shot,[1628370],1610612758.0,SAC,floating,,,Monk,M. Monk,,,,,In The Paint (Non-RA),8-16 Center,,,,9.81,Missed,,,,,,,,,,,,,,,
212,PT11M30.00S,2023-10-30T01:43:04.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612758,41,28,2023-10-30T01:43:04Z,2040000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,211.0,,,,,,,,,,,,,
213,PT11M20.00S,2023-10-30T01:43:30.2Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1628368,21.632720105124836,50.73529411764706,1610612758,43,28,2023-10-30T01:43:33Z,2050000,False,-4.0,151.0,1,left,D. Fox 15' Jump Shot (12 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,8-16 Center,,,,15.08,Made,12.0,,,,,,,,,,,,,,
214,PT11M11.00S,2023-10-30T01:43:39.2Z,2,REGULAR,2pt,Jump Shot,[],1626156,77.87450722733246,55.392156862745104,1610612747,43,30,2023-10-30T01:43:46Z,2060000,False,27.0,155.0,1,right,D. Russell 15' pullup Jump Shot (4 PTS),[1626156],1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,Mid-Range,8-16 Center,,,,15.78,Made,4.0,,,,,,,,,,,,,,
215,PT10M55.00S,2023-10-30T01:43:56.9Z,2,REGULAR,turnover,out-of-bounds,[],201580,,,1610612758,43,30,2023-10-30T01:44:14Z,2070000,False,,,0,,J. McGee bad pass out-of-bounds TURNOVER (1 TO),[201580],1610612758.0,SAC,bad pass,,,McGee,J. McGee,,,,,In The Paint (Non-RA),8-16 Left,1.0,,,,,,,,,,,,,,,1204.0,,,,
226,PT10M35.00S,2023-10-30T01:44:14.4Z,2,REGULAR,foul,offensive,[],2544,,,1610612747,43,30,2023-10-30T01:45:47Z,2085000,False,,,0,,L. James offensive FOUL (1 PF),"[2544, 1630537]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Duarte,1630537.0
227,PT10M35.00S,2023-10-30T01:44:14.4Z,2,REGULAR,turnover,offensive foul,[],2544,,,1610612747,43,30,2023-10-30T01:44:14Z,2087500,False,,,0,,L. James offensive foul TURNOVER (2 TO),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Center,2.0,,,,,,,,,,,,,,,1151.0,,,,
219,PT10M17.00S,2023-10-30T01:44:57.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628426,5.469776609724048,94.36274509803921,1610612758,43,30,2023-10-30T01:45:03Z,2110000,False,-222.0,-1.0,1,left,MISS A. Vezenkov 3PT,[1628426],1610612758.0,SAC,,,,Vezenkov,A. Vezenkov,,,,,Left Corner 3,24+ Left,,,,22.18,Missed,,,,,,,,,,,,,,,
220,PT10M12.00S,2023-10-30T01:45:02.7Z,2,REGULAR,rebound,defensive,[],1626174,,,1610612747,43,30,2023-10-30T01:45:03Z,2120000,False,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612747.0,LAL,,,,Wood,C. Wood,,,,,Left Corner 3,24+ Left,,,,,,,219.0,1.0,1.0,0.0,,,,,,,,,,
221,PT10M04.00S,2023-10-30T01:45:10.0Z,2,REGULAR,3pt,Jump Shot,[],1626174,93.24901445466492,95.58823529411765,1610612747,43,33,2023-10-30T01:46:00Z,2130000,False,228.0,11.0,1,right,C. Wood 3PT  (3 PTS) (L. James 1 AST),"[1626174, 2544]",1610612747.0,LAL,,,,Wood,C. Wood,,,,,Right Corner 3,24+ Right,,,,22.82,Made,3.0,,,,,,,L. James,2544.0,1.0,,,,,
223,PT09M50.00S,2023-10-30T01:45:24.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,6.389618922470433,46.07843137254902,1610612758,45,33,2023-10-30T01:48:44Z,2150000,False,20.0,8.0,1,left,D. Fox driving Layup (14 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,2.1,Made,14.0,,,,,,,,,,,,,,
224,PT09M40.00S,2023-10-30T01:45:38.7Z,2,REGULAR,foul,personal,[],1628368,,,1610612747,45,33,2023-10-30T01:50:16Z,2160000,False,,,0,,D. Fox personal FOUL (1 PF),"[1628368, 1626156]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Russell,1626156.0
229,PT09M40.00S,2023-10-30T01:45:44.3Z,2,REGULAR,substitution,out,[],1628368,,,1610612747,45,33,2023-10-30T01:46:00Z,2180000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT09M40.00S,2023-10-30T01:45:44.3Z,2,REGULAR,substitution,out,[],1628426,,,1610612747,45,33,2023-10-30T01:46:00Z,2190000,False,,,0,,SUB out: A. Vezenkov,[1628426],1610612758.0,SAC,,,,Vezenkov,A. Vezenkov,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT09M40.00S,2023-10-30T01:45:44.3Z,2,REGULAR,substitution,in,[],1630558,,,1610612747,45,33,2023-10-30T01:46:00Z,2200000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT09M40.00S,2023-10-30T01:45:44.3Z,2,REGULAR,substitution,in,[],203084,,,1610612747,45,33,2023-10-30T01:46:00Z,2210000,False,,,0,,SUB in: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT09M31.00S,2023-10-30T01:46:11.6Z,2,REGULAR,2pt,Jump Shot,[],2544,86.94152431011827,30.637254901960787,1610612747,45,35,2023-10-30T01:46:17Z,2220000,False,-97.0,70.0,1,right,L. James 11' fadeaway Jump Shot (6 PTS) (G. Vincent 1 AST),"[2544, 1629216]",1610612747.0,LAL,fadeaway,,,James,L. James,,,,,Mid-Range,8-16 Left,,,,11.96,Made,6.0,,,,,,,G. Vincent,1629216.0,1.0,,,,,
235,PT09M12.00S,2023-10-30T01:46:29.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630537,6.389618922470433,51.9607843137255,1610612758,47,35,2023-10-30T01:51:20Z,2240000,False,-10.0,8.0,1,left,C. Duarte reverse Layup (4 PTS) (M. Monk 1 AST),"[1630537, 1628370]",1610612758.0,SAC,reverse,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,,,,1.24,Made,4.0,,,,,,,M. Monk,1628370.0,1.0,,,,,
237,PT08M53.00S,2023-10-30T01:46:49.6Z,2,REGULAR,3pt,Jump Shot,[],1626174,67.49342969776609,50.0,1610612747,47,38,2023-10-30T01:46:53Z,2260000,False,0.0,253.0,1,right,C. Wood 25' 3PT  (6 PTS) (L. James 2 AST),"[1626174, 2544]",1610612747.0,LAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Center,,,,25.31,Made,6.0,,,,,,,L. James,2544.0,2.0,,,,,
238,PT08M46.00S,2023-10-30T01:46:56.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,6.258212877792378,44.36274509803921,1610612758,49,38,2023-10-30T01:47:00Z,2270000,False,28.0,6.0,1,left,M. Monk floating Jump Shot (8 PTS),[1628370],1610612758.0,SAC,floating,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,,,,2.89,Made,8.0,,,,,,,,,,,,,,
240,PT08M30.00S,2023-10-30T01:47:16.3Z,2,REGULAR,foul,personal,['2freethrow'],201580,,,1610612747,49,38,2023-10-30T01:47:26Z,2280000,False,,,0,,J. McGee shooting personal FOUL (1 PF) (James 2 FT),"[201580, 2544]",1610612758.0,SAC,shooting,,,McGee,J. McGee,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,James,2544.0
242,PT08M30.00S,2023-10-30T01:47:58.6Z,2,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,49,38,2023-10-30T01:47:58Z,2300000,False,,,0,,MISS L. James Free Throw 1 of 2,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
243,PT08M30.00S,2023-10-30T01:47:58.6Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,49,38,2023-10-30T01:47:58Z,2310000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,242.0,,,,,,,,,,,,,
244,PT08M30.00S,2023-10-30T01:48:00.2Z,2,REGULAR,substitution,out,[],201580,,,1610612747,49,38,2023-10-30T01:48:08Z,2320000,False,,,0,,SUB out: J. McGee,[201580],1610612758.0,SAC,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT08M30.00S,2023-10-30T01:48:00.2Z,2,REGULAR,substitution,in,[],1627734,,,1610612747,49,38,2023-10-30T01:48:08Z,2330000,False,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT08M30.00S,2023-10-30T01:48:17.6Z,2,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,49,39,2023-10-30T01:48:17Z,2340000,False,,,0,,L. James Free Throw 2 of 2 (7 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
247,PT08M14.00S,2023-10-30T01:48:36.5Z,2,REGULAR,3pt,Jump Shot,[],1628370,30.17411300919842,72.05882352941177,1610612758,49,39,2023-10-30T01:48:41Z,2350000,False,-110.0,231.0,1,left,MISS M. Monk 25' step back 3PT,[1628370],1610612758.0,SAC,step back,,,Monk,M. Monk,,,,,Above the Break 3,24+ Left Center,,,,25.61,Missed,,,,,,,,,,,,,,,
248,PT08M12.00S,2023-10-30T01:48:38.5Z,2,REGULAR,rebound,defensive,[],2544,,,1610612747,49,39,2023-10-30T01:48:41Z,2360000,False,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,,,,247.0,2.0,2.0,0.0,,,,,,,,,,
249,PT08M05.00S,2023-10-30T01:48:46.1Z,2,REGULAR,turnover,bad pass,[],2544,,,1610612747,49,39,2023-10-30T01:48:51Z,2370000,False,,,0,,L. James bad pass TURNOVER (3 TO),"[2544, 1630537]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Right,3.0,Duarte,1630537.0,,,,,,,,,,,,,,,,,
250,PT08M05.00S,2023-10-30T01:48:46.1Z,2,REGULAR,steal,,[],1630537,,,1610612758,49,39,2023-10-30T01:55:10Z,2380000,False,,,0,,C. Duarte STEAL (1 STL),[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
251,PT08M03.00S,2023-10-30T01:48:51.0Z,2,REGULAR,turnover,out-of-bounds,[],1628370,,,1610612758,49,39,2023-10-30T01:48:58Z,2390000,False,,,0,,M. Monk bad pass out-of-bounds TURNOVER (1 TO),[1628370],1610612758.0,SAC,bad pass,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,,,1151.0,,,,
252,PT07M52.00S,2023-10-30T01:49:15.1Z,2,REGULAR,foul,personal,['2freethrow'],1630558,,,1610612747,49,39,2023-10-30T01:49:27Z,2400000,False,,,0,,D. Mitchell shooting personal FOUL (3 PF) (Russell 2 FT),"[1630558, 1626156]",1610612758.0,SAC,shooting,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1151.0,3.0,0.0,Russell,1626156.0
254,PT07M52.00S,2023-10-30T01:49:39.9Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1626156,,,1610612747,49,39,2023-10-30T01:49:39Z,2420000,False,,,0,,MISS D. Russell Free Throw 1 of 2,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
255,PT07M52.00S,2023-10-30T01:49:39.9Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,49,39,2023-10-30T01:49:39Z,2430000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,254.0,,,,,,,,,,,,,
256,PT07M52.00S,2023-10-30T01:49:41.6Z,2,REGULAR,substitution,out,[],1628370,,,1610612747,49,39,2023-10-30T01:49:54Z,2440000,False,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT07M52.00S,2023-10-30T01:49:41.6Z,2,REGULAR,substitution,out,[],1629216,,,1610612747,49,39,2023-10-30T01:49:54Z,2450000,False,,,0,,SUB out: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT07M52.00S,2023-10-30T01:49:41.6Z,2,REGULAR,substitution,in,[],1631099,,,1610612747,49,39,2023-10-30T01:49:54Z,2460000,False,,,0,,SUB in: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT07M52.00S,2023-10-30T01:49:41.6Z,2,REGULAR,substitution,in,[],203076,,,1610612747,49,39,2023-10-30T01:49:54Z,2470000,False,,,0,,SUB in: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT07M52.00S,2023-10-30T01:50:05.8Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1626156,,,1610612747,49,40,2023-10-30T01:50:05Z,2480000,False,,,0,,D. Russell Free Throw 2 of 2 (5 PTS),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
261,PT07M26.00S,2023-10-30T01:50:33.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,7.440867279894875,48.28431372549019,1610612758,49,40,2023-10-30T01:50:38Z,2490000,False,9.0,17.0,1,left,MISS D. Mitchell driving Layup,[1630558],1610612758.0,SAC,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,1.94,Missed,,,,,,,,,,,,,,,
262,PT07M23.00S,2023-10-30T01:50:36.6Z,2,REGULAR,rebound,defensive,[],1626156,,,1610612747,49,40,2023-10-30T02:00:42Z,2500000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,261.0,1.0,1.0,0.0,,,,,,,,,,
263,PT07M22.00S,2023-10-30T01:50:39.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626174,92.59198423127464,49.01960784313725,1610612747,49,42,2023-10-30T01:50:47Z,2510000,False,-5.0,17.0,1,right,C. Wood running Layup (8 PTS) (L. James 3 AST),"[1626174, 2544]",1610612747.0,LAL,running,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,1.78,Made,8.0,,,,,,,L. James,2544.0,3.0,,,,,
265,PT07M22.00S,2023-10-30T01:50:42.6Z,2,REGULAR,foul,personal,['1freethrow'],1630537,,,1610612747,49,42,2023-10-30T01:51:05Z,2530000,False,,,0,,C. Duarte shooting personal FOUL (2 PF) (Wood 1 FT),"[1630537, 1626174]",1610612758.0,SAC,shooting,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,2.0,0.0,Wood,1626174.0
267,PT07M22.00S,2023-10-30T01:51:06.6Z,2,REGULAR,substitution,out,[],1630537,,,1610612747,49,42,2023-10-30T01:51:09Z,2550000,False,,,0,,SUB out: C. Duarte,[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT07M22.00S,2023-10-30T01:51:06.6Z,2,REGULAR,substitution,in,[],1628989,,,1610612747,49,42,2023-10-30T01:51:09Z,2560000,False,,,0,,SUB in: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT07M22.00S,2023-10-30T01:51:07.6Z,2,REGULAR,substitution,out,[],1626156,,,1610612747,49,42,2023-10-30T01:51:38Z,2565000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT07M22.00S,2023-10-30T01:51:07.6Z,2,REGULAR,substitution,in,[],1630559,,,1610612747,49,42,2023-10-30T01:51:38Z,2567500,False,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT07M22.00S,2023-10-30T01:51:11.5Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],1626174,,,1610612747,49,43,2023-10-30T01:51:11Z,2570000,False,,,0,,C. Wood Free Throw 1 of 1 (9 PTS),[1626174],1610612747.0,LAL,,,,Wood,C. Wood,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
272,PT07M09.00S,2023-10-30T01:51:23.7Z,2,REGULAR,3pt,Jump Shot,[],1631099,31.225361366622867,38.72549019607843,1610612758,49,43,2023-10-30T01:51:28Z,2600000,False,56.0,241.0,1,left,MISS K. Murray 24' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,,,,24.75,Missed,,,,,,,,,,,,,,,
273,PT07M06.00S,2023-10-30T01:51:26.7Z,2,REGULAR,rebound,defensive,[],203076,,,1610612747,49,43,2023-10-30T01:51:28Z,2610000,False,,,0,,A. Davis REBOUND (Off:2 Def:5),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Center,,,,,,,272.0,7.0,5.0,2.0,,,,,,,,,,
274,PT07M01.00S,2023-10-30T01:51:30.9Z,2,REGULAR,3pt,Jump Shot,[],1630559,76.2976346911958,10.294117647058822,1610612747,49,43,2023-10-30T01:51:46Z,2620000,False,-199.0,170.0,1,right,MISS A. Reaves 26' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,,26.15,Missed,,,,,,,,,,,,,,,
275,PT06M58.00S,2023-10-30T01:51:34.1Z,2,REGULAR,rebound,defensive,[],1631099,,,1610612758,49,43,2023-10-30T01:51:34Z,2630000,False,,,0,,K. Murray REBOUND (Off:0 Def:2),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,274.0,2.0,2.0,0.0,,,,,,,,,,
276,PT06M48.00S,2023-10-30T01:51:43.9Z,2,REGULAR,3pt,Jump Shot,[],203084,6.1268068331143235,2.696078431372549,1610612758,49,43,2023-10-30T01:51:52Z,2640000,False,237.0,5.0,1,left,MISS H. Barnes 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,,,,23.66,Missed,,,,,,,,,,,,,,,
277,PT06M48.00S,2023-10-30T01:51:43.9Z,2,REGULAR,rebound,defensive,[],1627752,,,1610612747,49,43,2023-10-30T01:51:52Z,2650000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Right Corner 3,24+ Right,,,,,,,276.0,1.0,1.0,0.0,,,,,,,,,,
278,PT06M29.00S,2023-10-30T01:52:06.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,88.25558475689881,45.09803921568628,1610612747,49,43,2023-10-30T01:58:41Z,2660000,False,-25.0,58.0,1,right,MISS A. Reaves 6' driving Layup - blocked,"[1630559, 1631099]",1610612747.0,LAL,driving,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,,,,6.29,Missed,,,,,,Murray,1631099.0,,,,,,,,
279,PT06M29.00S,2023-10-30T01:52:06.0Z,2,REGULAR,block,,[],1631099,,,1610612747,49,43,2023-10-30T01:52:08Z,2670000,False,,,0,,K. Murray BLOCK (1 BLK),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
280,PT06M27.00S,2023-10-30T01:52:08.0Z,2,REGULAR,rebound,defensive,[],1630558,,,1610612758,49,43,2023-10-30T01:58:41Z,2680000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,278.0,2.0,2.0,0.0,,,,,,,,,,
281,PT06M21.00S,2023-10-30T01:52:10.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631099,4.418528252299605,95.09803921568627,1610612758,49,43,2023-10-30T01:52:21Z,2690000,False,-225.0,-11.0,1,left,MISS K. Murray running 3PT,[1631099],1610612758.0,SAC,running,,,Murray,K. Murray,,,,,Left Corner 3,24+ Left,,,,22.58,Missed,,,,,,,,,,,,,,,
282,PT06M16.00S,2023-10-30T01:52:15.8Z,2,REGULAR,rebound,defensive,[],1627752,,,1610612747,49,43,2023-10-30T01:52:21Z,2700000,False,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,,,,,,,281.0,2.0,2.0,0.0,,,,,,,,,,
283,PT06M12.00S,2023-10-30T01:52:20.4Z,2,REGULAR,3pt,Jump Shot,[],1630559,88.91261498028909,96.81372549019608,1610612747,49,43,2023-10-30T01:52:29Z,2710000,False,234.0,52.0,1,right,MISS A. Reaves 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Right Corner 3,24+ Right,,,,23.97,Missed,,,,,,,,,,,,,,,
284,PT06M08.00S,2023-10-30T01:52:24.4Z,2,REGULAR,rebound,defensive,[],1628989,,,1610612758,49,43,2023-10-30T01:52:29Z,2720000,False,,,0,,K. Huerter REBOUND (Off:0 Def:2),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Right Corner 3,24+ Right,,,,,,,283.0,2.0,2.0,0.0,,,,,,,,,,
288,PT05M58.00S,2023-10-30T01:53:45.7Z,2,REGULAR,foul,technical,['1freethrow'],1626174,,,1610612758,49,43,2023-10-30T01:55:57Z,2760000,False,,,0,,C. Wood defensive-3-second technical FOUL (1 Tech),[1626174],1610612747.0,LAL,defensive-3-second,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,0.0,1.0,,
289,PT05M58.00S,2023-10-30T01:54:15.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,49,43,2023-10-30T01:54:15Z,2770000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT05M58.00S,2023-10-30T01:54:25.4Z,2,REGULAR,substitution,out,[],1630558,,,1610612758,49,43,2023-10-30T01:55:44Z,2780000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT05M58.00S,2023-10-30T01:54:25.4Z,2,REGULAR,substitution,out,[],2544,,,1610612758,49,43,2023-10-30T01:55:44Z,2790000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT05M58.00S,2023-10-30T01:54:25.4Z,2,REGULAR,substitution,in,[],1628368,,,1610612758,49,43,2023-10-30T01:55:44Z,2800000,False,,,0,,SUB in: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
293,PT05M58.00S,2023-10-30T01:54:25.4Z,2,REGULAR,substitution,in,[],1629060,,,1610612758,49,43,2023-10-30T01:55:44Z,2810000,False,,,0,,SUB in: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT05M58.00S,2023-10-30T01:55:58.7Z,2,REGULAR,freethrow,1 of 1,[],203084,,,1610612758,50,43,2023-10-30T01:55:58Z,2820000,False,,,0,,H. Barnes technical Free Throw 1 of 1 (4 PTS),[203084],1610612758.0,SAC,technical,,,Barnes,H. Barnes,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
295,PT05M42.00S,2023-10-30T01:56:28.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,13.403416557161629,54.43474264705882,1610612758,50,43,2023-10-30T01:57:46Z,2830000,False,-22.0,73.0,1,left,MISS D. Sabonis 7' turnaround Shot,[1627734],1610612758.0,SAC,turnaround,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,7.68,Missed,,,,,,,,,,,,,,,
296,PT05M40.00S,2023-10-30T01:56:30.5Z,2,REGULAR,rebound,defensive,[],1629060,,,1610612747,50,43,2023-10-30T01:56:55Z,2840000,False,,,0,,R. Hachimura REBOUND (Off:1 Def:3),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,295.0,4.0,3.0,1.0,,,,,,,,,,
