actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
95,PT04M09.00S,2024-02-13T01:29:49.6Z,1,REGULAR,substitution,in,[],1631128,,,1610612749,16,14,2024-02-13T01:29:54Z,950000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M55.00S,2024-02-13T01:30:32.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201572,19.267411300919843,61.274509803921575,1610612749,16,14,2024-02-13T01:32:12Z,960000,False,-56.0,129.0,1,left,MISS B. Lopez 14' turnaround fadeaway Shot,[201572],1610612749.0,MIL,turnaround fadeaway,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,14.04,Missed,,,,,,,,,,,,,,,,,,
97,PT03M51.00S,2024-02-13T01:30:36.6Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,16,14,2024-02-13T01:30:43Z,970000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),8-16 Center,,,96.0,1.0,1.0,0.0,,,,,,,,,,,,,,
98,PT03M32.00S,2024-02-13T01:30:55.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,88.38699080157687,37.745098039215684,1610612743,16,16,2024-02-13T01:31:00Z,980000,False,-61.0,57.0,1,right,N. Jokic 8' driving Layup (9 PTS),[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Left,8.35,Made,,,,,,,9.0,,,,,,,,,,,
99,PT03M23.00S,2024-02-13T01:31:04.1Z,1,REGULAR,2pt,Jump Shot,[],1626171,8.09789750328515,77.94117647058823,1610612749,16,16,2024-02-13T01:31:08Z,990000,False,-140.0,24.0,1,left,MISS B. Portis 14' step back Shot,[1626171],1610612749.0,MIL,step back,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,14.17,Missed,,,,,,,,,,,,,,,,,,
100,PT03M21.00S,2024-02-13T01:31:06.1Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,16,16,2024-02-13T01:31:08Z,1000000,False,,,0,,A. Gordon REBOUND (Off:1 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,,,99.0,3.0,2.0,1.0,,,,,,,,,,,,,,
101,PT03M13.00S,2024-02-13T01:31:14.9Z,1,REGULAR,3pt,Jump Shot,[],203999,75.29566360052561,83.84650735294117,1610612743,16,16,2024-02-13T01:31:34Z,1010000,False,169.0,180.0,1,right,MISS N. Jokic 24' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,24.68,Missed,,,,,,,,,,,,,,,,,,
102,PT03M12.00S,2024-02-13T01:31:15.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,16,16,2024-02-13T01:31:34Z,1020000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Right Center,,,101.0,,,,,,,,,,,,,,,,,
103,PT03M12.00S,2024-02-13T01:31:23.2Z,1,REGULAR,foul,personal,[],203081,,,1610612743,16,16,2024-02-13T01:31:28Z,1030000,False,,,0,,D. Lillard loose ball personal FOUL (2 PF),"[203081, 203484]",1610612749.0,MIL,loose ball,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1162.0,,2.0,1.0,Caldwell-Pope,203484.0,,
105,PT03M12.00S,2024-02-13T01:31:35.0Z,1,REGULAR,substitution,out,[],203081,,,1610612743,16,16,2024-02-13T01:31:47Z,1050000,False,,,0,,SUB out: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
