actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,shotActionNumber,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
82,PT05M45.00S,2024-01-27T01:25:30.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1627745,94.40999984741211,50.0,1610612739,10,17,2024-01-27T01:26:40Z,800000,False,0.0,0.0,1,right,D. Jones tip Layup (2 PTS),[1627745],1610612739.0,CLE,tip,,,Jones,D. Jones,,,,,Restricted Area,0-8 Center,,,,Made,,0.0,,,,,,,,,2.0,,,,,
83,PT05M28.00S,2024-01-27T01:25:44.5Z,1,REGULAR,2pt,Jump Shot,[],203081,25.706307490144546,54.90196078431373,1610612749,10,17,2024-01-27T01:26:54Z,810000,False,-25.0,189.0,1,left,MISS D. Lillard 19' pullup Shot,[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Center,,,,Missed,,19.07,,,,,,,,,,,,,,
84,PT05M24.00S,2024-01-27T01:25:48.5Z,1,REGULAR,rebound,defensive,[],1627745,,,1610612739,10,17,2024-01-27T01:25:51Z,820000,False,,,0,,D. Jones REBOUND (Off:1 Def:1),[1627745],1610612739.0,CLE,,,,Jones,D. Jones,,,,,Mid-Range,16-24 Center,,,,,83.0,,2.0,1.0,1.0,,,,,,,,,,,
85,PT05M20.00S,2024-01-27T01:25:51.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629622,93.51182654402102,3.6764705882352944,1610612739,10,17,2024-01-27T01:26:02Z,830000,False,-232.0,8.0,1,right,MISS M. Strus running 3PT,[1629622],1610612739.0,CLE,running,,,Strus,M. Strus,,,,,Left Corner 3,24+ Left,,,,Missed,,23.18,,,,,,,,,,,,,,
86,PT05M17.00S,2024-01-27T01:25:54.9Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,10,17,2024-01-27T01:26:02Z,840000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Left Corner 3,24+ Left,,,,,85.0,,1.0,1.0,0.0,,,,,,,,,,,
87,PT05M15.00S,2024-01-27T01:26:00.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203114,18.478975032851512,64.70588235294117,1610612749,10,17,2024-01-27T01:27:28Z,850000,False,-74.0,121.0,1,left,MISS K. Middleton 14' running pullup Shot,[203114],1610612749.0,MIL,running pullup,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Left,,,,Missed,,14.17,,,,,,,,,,,,,,
88,PT05M12.00S,2024-01-27T01:26:03.3Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,10,17,2024-01-27T01:27:28Z,860000,False,,,0,,D. Wade REBOUND (Off:0 Def:4),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,In The Paint (Non-RA),8-16 Left,,,,,87.0,,4.0,4.0,0.0,,,,,,,,,,,
89,PT05M04.00S,2024-01-27T01:26:10.8Z,1,REGULAR,3pt,Jump Shot,[],1630171,71.30420499342969,78.43137254901961,1610612739,10,17,2024-01-27T01:29:12Z,870000,False,142.0,217.0,1,right,MISS I. Okoro 25' 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,,Missed,,25.96,,,,,,,,,,,,,,
90,PT05M02.00S,2024-01-27T01:26:12.8Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,10,17,2024-01-27T01:29:12Z,880000,False,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Right Center,,,,,89.0,,2.0,2.0,0.0,,,,,,,,,,,
118,PT04M52.00S,2024-01-27T01:26:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,6.1268068331143235,48.28431372549019,1610612749,10,17,2024-01-27T01:29:03Z,885000,False,9.0,5.0,1,left,MISS B. Lopez cutting Layup - blocked,"[201572, 1628378]",1610612749.0,MIL,cutting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,Missed,,1.0,,,,,,,Mitchell,1628378.0,,,,,,
119,PT04M52.00S,2024-01-27T01:26:22.7Z,1,REGULAR,block,,[],1628378,,,1610612749,10,17,2024-01-27T01:28:43Z,887500,False,,,0,,D. Mitchell BLOCK (1 BLK),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
120,PT04M51.00S,2024-01-27T01:26:23.7Z,1,REGULAR,rebound,offensive,[],1627736,,,1610612749,10,17,2024-01-27T01:29:14Z,888750,False,,,0,,M. Beasley REBOUND (Off:1 Def:1),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Restricted Area,0-8 Center,,,,,118.0,,2.0,1.0,1.0,,,,,,,,,,,
91,PT04M39.00S,2024-01-27T01:26:34.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626171,10.33180026281209,69.36274509803921,1610612749,10,17,2024-01-27T01:28:43Z,890000,False,-97.0,45.0,1,left,MISS B. Portis 10' turnaround Shot,[1626171],1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,,,,Missed,,10.66,,,,,,,,,,,,,,
92,PT04M38.00S,2024-01-27T01:26:35.6Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,10,17,2024-01-27T01:27:45Z,900000,False,,,0,,B. Lopez REBOUND (Off:2 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Left,,,,,91.0,,4.0,2.0,2.0,,,,,,,,,,,
93,PT04M38.00S,2024-01-27T01:26:39.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",201572,5.590000152587891,50.0,1610612749,12,17,2024-01-27T01:26:39Z,910000,False,0.0,0.0,1,left,B. Lopez putback DUNK (2 PTS),[201572],1610612749.0,MIL,putback,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Left,,,,Made,,0.0,,,,,,,,,2.0,,,,,
94,PT04M38.00S,2024-01-27T01:26:40.7Z,1,REGULAR,foul,personal,['1freethrow'],1627745,,,1610612749,12,17,2024-01-27T01:26:54Z,920000,False,,,0,,D. Jones shooting personal FOUL (1 PF) (Lopez 1 FT),"[1627745, 201572]",1610612739.0,CLE,shooting,,,Jones,D. Jones,,,,,Restricted Area,0-8 Center,2002.0,1.0,0.0,,,,,,,,,,,,,,,,Lopez,201572.0
96,PT04M38.00S,2024-01-27T01:26:55.4Z,1,REGULAR,substitution,out,[],1627736,,,1610612749,12,17,2024-01-27T01:27:28Z,940000,False,,,0,,SUB out: M. Beasley,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M38.00S,2024-01-27T01:26:55.4Z,1,REGULAR,substitution,out,[],203114,,,1610612749,12,17,2024-01-27T01:27:28Z,950000,False,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M38.00S,2024-01-27T01:26:55.4Z,1,REGULAR,substitution,out,[],1629622,,,1610612749,12,17,2024-01-27T01:27:28Z,960000,False,,,0,,SUB out: M. Strus,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M38.00S,2024-01-27T01:26:55.4Z,1,REGULAR,substitution,out,[],1629731,,,1610612749,12,17,2024-01-27T01:27:28Z,970000,False,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M38.00S,2024-01-27T01:26:55.4Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,12,17,2024-01-27T01:27:28Z,980000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M38.00S,2024-01-27T01:26:55.4Z,1,REGULAR,substitution,in,[],203109,,,1610612749,12,17,2024-01-27T01:27:28Z,990000,False,,,0,,SUB in: J. Crowder,[203109],1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M38.00S,2024-01-27T01:26:55.4Z,1,REGULAR,substitution,in,[],1627747,,,1610612749,12,17,2024-01-27T01:27:28Z,1000000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M38.00S,2024-01-27T01:26:55.4Z,1,REGULAR,substitution,in,[],1627777,,,1610612749,12,17,2024-01-27T01:27:28Z,1010000,False,,,0,,SUB in: G. Niang,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M38.00S,2024-01-27T01:27:28.3Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],201572,,,1610612749,13,17,2024-01-27T01:27:28Z,1020000,False,,,0,,B. Lopez Free Throw 1 of 1 (3 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,Made,,,,,,,,,,,3.0,,,,,
105,PT04M28.00S,2024-01-27T01:27:40.1Z,1,REGULAR,3pt,Jump Shot,[],1628378,67.36202365308804,65.93137254901961,1610612739,13,17,2024-01-27T01:30:25Z,1030000,False,80.0,254.0,1,right,MISS D. Mitchell 26' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,Missed,,26.65,,,,,,,,,,,,,,
106,PT04M26.00S,2024-01-27T01:27:42.1Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,13,17,2024-01-27T01:30:25Z,1040000,False,,,0,,B. Portis REBOUND (Off:0 Def:3),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Center,,,,,105.0,,3.0,3.0,0.0,,,,,,,,,,,
107,PT04M16.00S,2024-01-27T01:27:50.2Z,1,REGULAR,3pt,Jump Shot,[],201572,32.53942181340342,29.411764705882355,1610612749,13,17,2024-01-27T01:27:58Z,1050000,False,103.0,253.0,1,left,MISS B. Lopez 27' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,,,,Missed,,27.35,,,,,,,,,,,,,,
108,PT04M13.00S,2024-01-27T01:27:53.8Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,13,17,2024-01-27T01:27:53Z,1060000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,107.0,,1.0,1.0,0.0,,,,,,,,,,,
109,PT04M06.00S,2024-01-27T01:28:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,92.59198423127464,57.84313725490197,1610612739,13,19,2024-01-27T01:28:05Z,1070000,False,39.0,17.0,1,right,D. Mitchell driving finger roll Layup (10 PTS) (I. Okoro 1 AST),"[1628378, 1630171]",1610612739.0,CLE,driving finger roll,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,Made,,4.28,,,,,,,,,10.0,I. Okoro,1630171.0,1.0,,
111,PT04M00.00S,2024-01-27T01:28:10.8Z,1,REGULAR,foul,offensive,[],201572,,,1610612749,13,19,2024-01-27T01:28:16Z,1090000,False,,,0,,B. Lopez offensive FOUL (1 PF),"[201572, 1630171]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,1193.0,1.0,1.0,,,,,,,,,,,,,,,,Okoro,1630171.0
113,PT04M00.00S,2024-01-27T01:28:10.8Z,1,REGULAR,turnover,offensive foul,[],201572,,,1610612749,13,19,2024-01-27T01:28:10Z,1110000,False,,,0,,B. Lopez offensive foul TURNOVER (1 TO),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,1193.0,,,,,,,,,1.0,,,,,,,,,,
114,PT04M00.00S,2024-01-27T01:28:19.1Z,1,REGULAR,substitution,out,[],201572,,,1610612739,13,19,2024-01-27T01:28:28Z,1120000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M00.00S,2024-01-27T01:28:19.1Z,1,REGULAR,substitution,out,[],1627745,,,1610612739,13,19,2024-01-27T01:28:28Z,1130000,False,,,0,,SUB out: D. Jones,[1627745],1610612739.0,CLE,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT04M00.00S,2024-01-27T01:28:19.1Z,1,REGULAR,substitution,in,[],203507,,,1610612739,13,19,2024-01-27T01:28:28Z,1140000,False,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT04M00.00S,2024-01-27T01:28:19.1Z,1,REGULAR,substitution,in,[],1628386,,,1610612739,13,19,2024-01-27T01:28:28Z,1150000,False,,,0,,SUB in: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M46.00S,2024-01-27T01:28:44.5Z,1,REGULAR,foul,personal,['2freethrow'],1626171,,,1610612739,13,19,2024-01-27T01:29:07Z,1160000,False,,,0,,B. Portis shooting personal FOUL (1 PF) (Allen 2 FT),"[1626171, 1628386]",1610612749.0,MIL,shooting,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,1193.0,1.0,0.0,,,,,,,,,,,,,,,,Allen,1628386.0
123,PT03M46.00S,2024-01-27T01:29:08.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628386,,,1610612739,13,20,2024-01-27T01:29:08Z,1180000,False,,,0,,J. Allen Free Throw 1 of 2 (3 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,Made,,,,,,,,,,,3.0,,,,,
124,PT03M46.00S,2024-01-27T01:29:11.9Z,1,REGULAR,substitution,out,[],1630171,,,1610612739,13,20,2024-01-27T01:29:16Z,1190000,False,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M46.00S,2024-01-27T01:29:11.9Z,1,REGULAR,substitution,in,[],1630241,,,1610612739,13,20,2024-01-27T01:29:16Z,1200000,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M46.00S,2024-01-27T01:29:28.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628386,,,1610612739,13,21,2024-01-27T01:29:28Z,1210000,False,,,0,,J. Allen Free Throw 2 of 2 (4 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,Made,,,,,,,,,,,4.0,,,,,
127,PT03M32.00S,2024-01-27T01:29:42.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,7.178055190538765,49.754901960784316,1610612749,15,21,2024-01-27T01:29:47Z,1220000,False,1.0,15.0,1,left,B. Portis cutting Layup (2 PTS) (G. Antetokounmpo 2 AST),"[1626171, 203507]",1610612749.0,MIL,cutting,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,Made,,1.5,,,,,,,,,2.0,G. Antetokounmpo,203507.0,2.0,,
129,PT03M20.00S,2024-01-27T01:29:55.3Z,1,REGULAR,turnover,bad pass,[],1627777,,,1610612739,15,21,2024-01-27T01:30:02Z,1240000,False,,,0,,G. Niang bad pass TURNOVER (1 TO),"[1627777, 203507]",1610612739.0,CLE,,,,Niang,G. Niang,,,,,Mid-Range,8-16 Right,,,,,,,,,,1.0,Antetokounmpo,203507.0,,,,,,,,
130,PT03M20.00S,2024-01-27T01:29:55.3Z,1,REGULAR,steal,,[],203507,,,1610612749,15,21,2024-01-27T01:29:58Z,1250000,False,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
131,PT03M16.00S,2024-01-27T01:30:01.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203081,5.863994743758213,49.01960784313725,1610612749,17,21,2024-01-27T01:32:43Z,1260000,False,5.0,3.0,1,left,D. Lillard running Layup (4 PTS),[203081],1610612749.0,MIL,running,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,,Made,,0.55,,,,,,,,,4.0,,,,,
132,PT03M07.00S,2024-01-27T01:30:07.7Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612739,17,21,2024-01-27T01:30:14Z,1270000,False,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 1626171]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,,,,,,1.0,Portis,1626171.0,,,,,,,,
133,PT03M07.00S,2024-01-27T01:30:07.7Z,1,REGULAR,steal,,[],1626171,,,1610612749,17,21,2024-01-27T01:30:11Z,1280000,False,,,0,,B. Portis STEAL (1 STL),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
134,PT03M01.00S,2024-01-27T01:30:15.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626171,26.363337713534822,14.460784313725492,1610612749,20,21,2024-01-27T01:30:22Z,1290000,False,178.0,195.0,1,left,B. Portis 26' 3PT running (5 PTS) (G. Antetokounmpo 3 AST),"[1626171, 203507]",1610612749.0,MIL,running,,,Portis,B. Portis,,,,,Above the Break 3,24+ Right Center,,,,Made,,26.4,,,,,,,,,5.0,G. Antetokounmpo,203507.0,3.0,,
136,PT03M01.00S,2024-01-27T01:30:23.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,20,21,2024-01-27T01:30:23Z,1310000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M43.00S,2024-01-27T01:33:32.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,92.59198423127464,64.4607843137255,1610612739,20,23,2024-01-27T01:33:37Z,1320000,False,72.0,17.0,1,right,J. Allen 7' driving Hook (6 PTS),[1628386],1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,Made,,7.43,,,,,,,,,6.0,,,,,
138,PT02M28.00S,2024-01-27T01:33:47.2Z,1,REGULAR,3pt,Jump Shot,[],1626192,7.046649145860711,4.411764705882353,1610612749,20,23,2024-01-27T01:33:52Z,1330000,False,228.0,14.0,1,left,MISS P. Connaughton 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Right Corner 3,24+ Right,,,,Missed,,22.83,,,,,,,,,,,,,,
139,PT02M24.00S,2024-01-27T01:33:50.6Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612739,20,23,2024-01-27T01:33:50Z,1340000,False,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Right Corner 3,24+ Right,,,,,138.0,,1.0,1.0,0.0,,,,,,,,,,,
140,PT02M11.00S,2024-01-27T01:34:03.8Z,1,REGULAR,3pt,Jump Shot,[],1630241,73.71879106438897,15.464154411764705,1610612739,20,23,2024-01-27T01:34:10Z,1350000,False,-173.0,195.0,1,right,MISS S. Merrill 26' 3PT,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Left Center,,,,Missed,,26.01,,,,,,,,,,,,,,
141,PT02M08.00S,2024-01-27T01:34:06.8Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,20,23,2024-01-27T01:34:10Z,1360000,False,,,0,,B. Portis REBOUND (Off:0 Def:4),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,,140.0,,4.0,4.0,0.0,,,,,,,,,,,
142,PT01M56.00S,2024-01-27T01:34:19.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,15.456636005256241,63.970588235294116,1610612749,20,23,2024-01-27T01:34:24Z,1370000,False,-70.0,93.0,1,left,MISS B. Portis 11' turnaround Shot,[1626171],1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,In The Paint (Non-RA),8-16 Left,,,,Missed,,11.62,,,,,,,,,,,,,,
143,PT01M53.00S,2024-01-27T01:34:22.8Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,20,23,2024-01-27T01:34:24Z,1380000,False,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Left,,,,,142.0,,3.0,2.0,1.0,,,,,,,,,,,
144,PT01M50.00S,2024-01-27T01:34:31.5Z,1,REGULAR,foul,personal,[],203109,,,1610612739,20,23,2024-01-27T01:34:45Z,1390000,False,,,0,,J. Crowder personal FOUL (1 PF),"[203109, 1628378]",1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,Mid-Range,16-24 Right Center,1193.0,1.0,0.0,,,,,,,,,,,,,,,,Mitchell,1628378.0
146,PT01M50.00S,2024-01-27T01:34:41.9Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,20,23,2024-01-27T01:35:11Z,1410000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M50.00S,2024-01-27T01:34:41.9Z,1,REGULAR,substitution,in,[],1629622,,,1610612739,20,23,2024-01-27T01:35:11Z,1420000,False,,,0,,SUB in: M. Strus,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M50.00S,2024-01-27T01:35:14.6Z,1,REGULAR,foul,technical,['1freethrow'],1626171,,,1610612739,20,23,2024-01-27T01:35:23Z,1430000,False,,,0,,B. Portis technical FOUL (1 Tech),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,In The Paint (Non-RA),8-16 Center,2003.0,1.0,1.0,,,,,,,,,,,,,,,,,
149,PT01M50.00S,2024-01-27T01:35:24.2Z,1,REGULAR,freethrow,1 of 1,[],1627777,,,1610612739,20,24,2024-01-27T01:35:24Z,1440000,False,,,0,,G. Niang technical Free Throw 1 of 1 (1 PTS),[1627777],1610612739.0,CLE,technical,,,Niang,G. Niang,,,,,,,,,,Made,,,,,,,,,,,1.0,,,,,
150,PT01M38.00S,2024-01-27T01:35:54.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626192,,,1610612739,20,24,2024-01-27T01:36:21Z,1450000,False,,,0,,P. Connaughton shooting personal FOUL (1 PF) (Allen 2 FT),"[1626192, 1628386]",1610612749.0,MIL,shooting,,,Connaughton,P. Connaughton,,,,,Restricted Area,0-8 Center,1193.0,1.0,0.0,,,,,,,,,,,,,,,,Allen,1628386.0
152,PT01M38.00S,2024-01-27T01:36:22.3Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,20,24,2024-01-27T01:36:22Z,1470000,False,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
153,PT01M38.00S,2024-01-27T01:36:22.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,20,24,2024-01-27T01:36:22Z,1480000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,152.0,,,,,,,,,,,,,,,
154,PT01M38.00S,2024-01-27T01:36:36.9Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,20,25,2024-01-27T01:36:36Z,1490000,False,,,0,,J. Allen Free Throw 2 of 2 (7 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,Made,,,,,,,,,,,7.0,,,,,
155,PT01M22.00S,2024-01-27T01:36:54.0Z,1,REGULAR,3pt,Jump Shot,[],1626171,15.850854139290407,96.56862745098039,1610612749,23,25,2024-01-27T01:36:58Z,1500000,False,-233.0,96.0,1,left,B. Portis 25' 3PT  (8 PTS) (G. Antetokounmpo 4 AST),"[1626171, 203507]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,Made,,25.2,,,,,,,,,8.0,G. Antetokounmpo,203507.0,4.0,,
157,PT01M12.00S,2024-01-27T01:37:03.7Z,1,REGULAR,3pt,Jump Shot,[],1627777,69.46452036793693,73.0392156862745,1610612739,23,25,2024-01-27T01:37:14Z,1520000,False,115.0,235.0,1,right,MISS G. Niang 26' 3PT,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Right Center,,,,Missed,,26.13,,,,,,,,,,,,,,
158,PT01M11.00S,2024-01-27T01:37:04.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,23,25,2024-01-27T01:38:55Z,1530000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,,,157.0,,3.0,3.0,0.0,,,,,,,,,,,
159,PT01M09.00S,2024-01-27T01:37:11.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629622,,,1610612749,23,25,2024-01-27T01:37:45Z,1540000,False,,,0,,M. Strus personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1629622, 203507]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,2002.0,1.0,0.0,,,,,,,,,,,,,,,,Antetokounmpo,203507.0
161,PT01M09.00S,2024-01-27T01:38:07.3Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,23,25,2024-01-27T01:38:07Z,1560000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
162,PT01M09.00S,2024-01-27T01:38:07.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,23,25,2024-01-27T01:38:07Z,1570000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,
