actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
84,PT05M07.00S,2024-03-31T22:22:31.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,15,14,2024-03-31T22:22:33Z,830000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,83.0,3.0,3.0,0.0,,,,,,,,,,,,,,
86,PT04M57.00S,2024-03-31T22:22:43.5Z,1,REGULAR,foul,personal,[],1631116,,,1610612748,15,14,2024-03-31T22:22:53Z,850000,False,,,0,,P. Baldwin Jr. personal FOUL (2 PF),"[1631116, 202710]",1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1626300.0,2.0,0.0,Butler,202710.0
88,PT04M57.00S,2024-03-31T22:22:53.3Z,1,REGULAR,substitution,out,[],1631116,,,1610612748,15,14,2024-03-31T22:23:09Z,870000,False,,,0,,SUB out: P. Baldwin Jr.,[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M57.00S,2024-03-31T22:22:53.3Z,1,REGULAR,substitution,out,[],202710,,,1610612748,15,14,2024-03-31T22:23:09Z,880000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M57.00S,2024-03-31T22:22:53.3Z,1,REGULAR,substitution,out,[],1629130,,,1610612748,15,14,2024-03-31T22:23:09Z,890000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M57.00S,2024-03-31T22:22:53.3Z,1,REGULAR,substitution,in,[],1630166,,,1610612748,15,14,2024-03-31T22:23:09Z,900000,False,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M57.00S,2024-03-31T22:22:53.3Z,1,REGULAR,substitution,in,[],1631170,,,1610612748,15,14,2024-03-31T22:23:09Z,910000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M57.00S,2024-03-31T22:22:53.3Z,1,REGULAR,substitution,in,[],1629312,,,1610612748,15,14,2024-03-31T22:23:09Z,920000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M51.00S,2024-03-31T22:23:20.8Z,1,REGULAR,3pt,Jump Shot,[],1629312,20.844283837056505,6.372549019607843,1610612748,15,14,2024-03-31T22:23:25Z,930000,False,218.0,143.0,1,left,MISS H. Highsmith 26' 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Right Center,26.1,Missed,,,,,,,,,,,,,,,,,,
95,PT04M49.00S,2024-03-31T22:23:22.8Z,1,REGULAR,rebound,defensive,[],1631098,,,1610612764,15,14,2024-03-31T22:23:25Z,940000,False,,,0,,J. Davis REBOUND (Off:0 Def:2),[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,Above the Break 3,24+ Right Center,,,94.0,2.0,2.0,0.0,,,,,,,,,,,,,,
96,PT04M36.00S,2024-03-31T22:23:36.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,92.46057818659659,53.18627450980392,1610612764,17,14,2024-03-31T22:24:01Z,950000,False,16.0,18.0,1,right,D. Avdija driving finger roll Layup (5 PTS) (J. Poole 3 AST),"[1630166, 1629673]",1610612764.0,WAS,driving finger roll,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.43,Made,,,,,,,,5.0,,,J. Poole,1629673.0,3.0,,,,,
98,PT04M22.00S,2024-03-31T22:23:49.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,6.258212877792378,55.88235294117647,1610612748,17,16,2024-03-31T22:24:02Z,970000,False,-29.0,6.0,1,left,B. Adebayo DUNK (2 PTS) (J. Jaquez Jr. 1 AST),"[1628389, 1631170]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,3.01,Made,,,,,,,,2.0,,,J. Jaquez Jr.,1631170.0,1.0,,,,,
100,PT04M11.00S,2024-03-31T22:24:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,94.03745072273325,56.127450980392155,1610612764,17,16,2024-03-31T22:24:04Z,990000,False,31.0,4.0,1,right,MISS C. Kispert cutting Layup,[1630557],1610612764.0,WAS,cutting,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,3.08,Missed,,,,,,,,,,,,,,,,,,
101,PT04M11.00S,2024-03-31T22:24:00.9Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,17,16,2024-03-31T22:24:04Z,1000000,False,,,0,,H. Highsmith REBOUND (Off:0 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,,,100.0,1.0,1.0,0.0,,,,,,,,,,,,,,
102,PT04M01.00S,2024-03-31T22:24:10.4Z,1,REGULAR,3pt,Jump Shot,[],1626179,24.655059132720105,12.990196078431374,1610612748,17,19,2024-03-31T22:24:14Z,1010000,False,185.0,179.0,1,left,T. Rozier 25' 3PT  (9 PTS) (N. Jovic 2 AST),"[1626179, 1631107]",1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,25.76,Made,,,,,,,,9.0,,,N. Jovic,1631107.0,2.0,,,,,
104,PT03M48.00S,2024-03-31T22:24:24.3Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612764,17,19,2024-03-31T22:24:32Z,1030000,False,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1626179]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Rozier,1626179.0,,,,,,,,,,,
105,PT03M48.00S,2024-03-31T22:24:24.3Z,1,REGULAR,steal,,[],1626179,,,1610612748,17,19,2024-03-31T22:24:26Z,1040000,False,,,0,,T. Rozier STEAL (2 STL),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
106,PT03M42.00S,2024-03-31T22:24:30.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629312,22.158344283837057,6.862745098039216,1610612748,17,22,2024-03-31T22:25:19Z,1050000,False,216.0,156.0,1,left,H. Highsmith 26' 3PT running (3 PTS) (B. Adebayo 1 AST),"[1629312, 1628389]",1610612748.0,MIA,running,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Right Center,26.61,Made,,,,,,,,3.0,,,B. Adebayo,1628389.0,1.0,,,,,
108,PT03M40.00S,2024-03-31T22:24:34.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,17,22,2024-03-31T22:24:34Z,1070000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M40.00S,2024-03-31T22:24:36.1Z,1,REGULAR,substitution,out,[],1629673,,,1610612764,17,22,2024-03-31T22:27:14Z,1080000,False,,,0,,SUB out: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M40.00S,2024-03-31T22:24:36.1Z,1,REGULAR,substitution,out,[],1631107,,,1610612764,17,22,2024-03-31T22:27:14Z,1090000,False,,,0,,SUB out: N. Jovic,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M40.00S,2024-03-31T22:24:36.1Z,1,REGULAR,substitution,in,[],1630215,,,1610612764,17,22,2024-03-31T22:27:14Z,1100000,False,,,0,,SUB in: J. Butler,[1630215],1610612764.0,WAS,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M40.00S,2024-03-31T22:24:36.1Z,1,REGULAR,substitution,in,[],1626153,,,1610612764,17,22,2024-03-31T22:27:14Z,1110000,False,,,0,,SUB in: D. Wright,[1626153],1610612748.0,MIA,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M25.00S,2024-03-31T22:28:06.2Z,1,REGULAR,3pt,Jump Shot,[],1630557,65.39093298291722,41.17647058823529,1610612764,17,22,2024-03-31T22:28:13Z,1130000,False,-44.0,273.0,1,right,MISS C. Kispert 27' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Center,27.63,Missed,,,,,,,,,,,,,,,,,,
115,PT03M21.00S,2024-03-31T22:28:10.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,17,22,2024-03-31T22:28:13Z,1140000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,114.0,4.0,4.0,0.0,,,,,,,,,,,,,,
116,PT03M11.00S,2024-03-31T22:28:20.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629312,5.601182654402102,60.5392156862745,1610612748,17,22,2024-03-31T22:28:39Z,1150000,False,-53.0,0.0,1,left,MISS H. Highsmith driving finger roll Layup - blocked,"[1629312, 1630166]",1610612748.0,MIA,driving finger roll,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,5.27,Missed,,,,,,,,,Avdija,1630166.0,,,,,,,,
117,PT03M11.00S,2024-03-31T22:28:20.8Z,1,REGULAR,block,,[],1630166,,,1610612748,17,22,2024-03-31T22:28:23Z,1160000,False,,,0,,D. Avdija BLOCK (1 BLK),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
118,PT03M08.00S,2024-03-31T22:28:23.8Z,1,REGULAR,rebound,defensive,[],1630264,,,1610612764,17,22,2024-03-31T22:28:24Z,1170000,False,,,0,,A. Gill REBOUND (Off:0 Def:1),[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,In The Paint (Non-RA),0-8 Center,,,116.0,1.0,1.0,0.0,,,,,,,,,,,,,,
119,PT03M04.00S,2024-03-31T22:28:27.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630264,93.9060446780552,56.127450980392155,1610612764,17,22,2024-03-31T22:28:32Z,1180000,False,31.0,5.0,1,right,MISS A. Gill running Layup,[1630264],1610612764.0,WAS,running,,,Gill,A. Gill,,,,,Restricted Area,0-8 Center,3.1,Missed,,,,,,,,,,,,,,,,,,
120,PT03M00.00S,2024-03-31T22:28:31.3Z,1,REGULAR,rebound,offensive,[],1631098,,,1610612764,17,22,2024-03-31T22:28:32Z,1190000,False,,,0,,J. Davis REBOUND (Off:1 Def:2),[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,Restricted Area,0-8 Center,,,119.0,3.0,2.0,1.0,,,,,,,,,,,,,,
121,PT03M00.00S,2024-03-31T22:28:30.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1631098,94.40999984741211,50.0,1610612764,19,22,2024-03-31T22:29:26Z,1200000,False,0.0,0.0,1,right,J. Davis tip Layup (2 PTS),[1631098],1610612764.0,WAS,tip,,,Davis,J. Davis,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,2.0,,,,,,,,,,
122,PT02M42.00S,2024-03-31T22:28:49.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,8.623521681997373,56.61764705882353,1610612748,19,22,2024-03-31T22:28:53Z,1210000,False,-33.0,29.0,1,left,MISS B. Adebayo Hook,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,4.37,Missed,,,,,,,,,,,,,,,,,,
123,PT02M39.00S,2024-03-31T22:28:52.3Z,1,REGULAR,rebound,defensive,[],1631098,,,1610612764,19,22,2024-03-31T22:28:53Z,1220000,False,,,0,,J. Davis REBOUND (Off:1 Def:3),[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,122.0,4.0,3.0,1.0,,,,,,,,,,,,,,
124,PT02M25.00S,2024-03-31T22:29:06.2Z,1,REGULAR,turnover,bad pass,[],1630166,,,1610612764,19,22,2024-03-31T22:29:09Z,1230000,False,,,0,,D. Avdija bad pass TURNOVER (1 TO),"[1630166, 1626153]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Left,,,,,,,1.0,Wright,1626153.0,,,,,,,,,,,
125,PT02M25.00S,2024-03-31T22:29:06.2Z,1,REGULAR,steal,,[],1626153,,,1610612748,19,22,2024-03-31T22:29:08Z,1240000,False,,,0,,D. Wright STEAL (1 STL),[1626153],1610612748.0,MIA,,,,Wright,D. Wright,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
126,PT02M20.00S,2024-03-31T22:29:12.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631170,17.16491458607096,6.372549019607843,1610612748,19,25,2024-03-31T22:30:13Z,1250000,False,218.0,109.0,1,left,J. Jaquez Jr. 24' 3PT running (3 PTS) (D. Wright 1 AST),"[1631170, 1626153]",1610612748.0,MIA,running,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Right Center,24.38,Made,,,,,,,,3.0,,,D. Wright,1626153.0,1.0,,,,,
128,PT02M07.00S,2024-03-31T22:29:23.5Z,1,REGULAR,3pt,Jump Shot,[],1630264,66.3107752956636,46.07843137254902,1610612764,22,25,2024-03-31T22:29:27Z,1270000,False,-20.0,264.0,1,right,A. Gill 26' 3PT  (3 PTS) (J. Butler 1 AST),"[1630264, 1630215]",1610612764.0,WAS,,,,Gill,A. Gill,,,,,Above the Break 3,24+ Center,26.49,Made,,,,,,,,3.0,,,J. Butler,1630215.0,1.0,,,,,
130,PT01M48.00S,2024-03-31T22:29:44.8Z,1,REGULAR,turnover,out-of-bounds,[],1631170,,,1610612748,22,25,2024-03-31T22:29:54Z,1290000,False,,,0,,J. Jaquez Jr. bad pass out-of-bounds TURNOVER (1 TO),[1631170],1610612748.0,MIA,bad pass,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,16-24 Center,,,,,,,1.0,,,,,,,,,203593.0,,,,
131,PT01M48.00S,2024-03-31T22:29:47.3Z,1,REGULAR,substitution,out,[],1630557,,,1610612764,22,25,2024-03-31T22:29:59Z,1300000,False,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M48.00S,2024-03-31T22:29:47.3Z,1,REGULAR,substitution,out,[],1626179,,,1610612764,22,25,2024-03-31T22:29:59Z,1310000,False,,,0,,SUB out: T. Rozier,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M48.00S,2024-03-31T22:29:47.3Z,1,REGULAR,substitution,out,[],1628389,,,1610612764,22,25,2024-03-31T22:29:59Z,1320000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M48.00S,2024-03-31T22:29:47.3Z,1,REGULAR,substitution,in,[],1631262,,,1610612764,22,25,2024-03-31T22:29:59Z,1330000,False,,,0,,SUB in: J. Bernard,[1631262],1610612764.0,WAS,,,,Bernard,J. Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M48.00S,2024-03-31T22:29:47.3Z,1,REGULAR,substitution,in,[],1628418,,,1610612764,22,25,2024-03-31T22:29:59Z,1340000,False,,,0,,SUB in: T. Bryant,[1628418],1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M48.00S,2024-03-31T22:29:47.3Z,1,REGULAR,substitution,in,[],202710,,,1610612764,22,25,2024-03-31T22:29:59Z,1350000,False,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M31.00S,2024-03-31T22:30:21.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630264,87.86136662286465,46.07843137254902,1610612764,22,25,2024-03-31T23:18:22Z,1360000,False,-20.0,62.0,1,right,MISS A. Gill 6' floating Shot,[1630264],1610612764.0,WAS,floating,,,Gill,A. Gill,,,,,In The Paint (Non-RA),0-8 Center,6.46,Missed,,,,,,,,,,,,,,,,,,
138,PT01M30.00S,2024-03-31T22:30:22.3Z,1,REGULAR,rebound,offensive,[],1630264,,,1610612764,22,25,2024-03-31T22:30:58Z,1370000,False,,,0,,A. Gill REBOUND (Off:1 Def:1),[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,In The Paint (Non-RA),0-8 Center,,,137.0,2.0,1.0,1.0,,,,,,,,,,,,,,
139,PT01M30.00S,2024-03-31T22:30:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630264,90.62089356110381,47.30392156862745,1610612764,24,25,2024-03-31T22:31:22Z,1380000,False,-13.0,36.0,1,right,A. Gill putback Layup (5 PTS),[1630264],1610612764.0,WAS,putback,,,Gill,A. Gill,,,,,Restricted Area,0-8 Center,3.82,Made,,,,,,,,5.0,,,,,,,,,,
140,PT01M06.00S,2024-03-31T22:30:46.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629312,17.95335085413929,47.794117647058826,1610612748,24,27,2024-03-31T22:31:41Z,1390000,False,11.0,116.0,1,left,H. Highsmith 11' driving floating Jump Shot (5 PTS) (J. Butler 1 AST),"[1629312, 202710]",1610612748.0,MIA,driving floating,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),8-16 Center,11.68,Made,,,,,,,,5.0,,,J. Butler,202710.0,1.0,,,,,
142,PT00M52.50S,2024-03-31T22:31:01.3Z,1,REGULAR,3pt,Jump Shot,[],1630166,65.1281208935611,37.00980392156863,1610612764,24,27,2024-03-31T22:31:59Z,1410000,False,-65.0,275.0,1,right,MISS D. Avdija 28' pullup 3PT,[1630166],1610612764.0,WAS,pullup,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,28.29,Missed,,,,,,,,,,,,,,,,,,
143,PT00M48.40S,2024-03-31T22:31:05.4Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612748,24,27,2024-03-31T22:31:06Z,1420000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Center,,,142.0,1.0,1.0,0.0,,,,,,,,,,,,,,
144,PT00M43.30S,2024-03-31T22:31:13.0Z,1,REGULAR,foul,personal,['2freethrow'],1630215,,,1610612748,24,27,2024-03-31T22:31:18Z,1430000,False,,,0,,J. Butler shooting personal FOUL (1 PF) (Wright 2 FT),"[1630215, 1626153]",1610612764.0,WAS,shooting,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Wright,1626153.0
146,PT00M43.30S,2024-03-31T22:31:42.9Z,1,REGULAR,freethrow,1 of 2,[],1626153,,,1610612748,24,28,2024-03-31T22:31:42Z,1450000,False,,,0,,D. Wright Free Throw 1 of 2 (1 PTS),[1626153],1610612748.0,MIA,,,,Wright,D. Wright,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
147,PT00M43.30S,2024-03-31T22:31:59.2Z,1,REGULAR,freethrow,2 of 2,[],1626153,,,1610612748,24,29,2024-03-31T22:31:59Z,1460000,False,,,0,,D. Wright Free Throw 2 of 2 (2 PTS),[1626153],1610612748.0,MIA,,,,Wright,D. Wright,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
148,PT00M31.80S,2024-03-31T22:32:16.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630264,91.5407358738502,49.50980392156863,1610612764,26,29,2024-03-31T22:32:34Z,1470000,False,-2.0,27.0,1,right,A. Gill driving Hook (7 PTS) (J. Butler 2 AST),"[1630264, 1630215]",1610612764.0,WAS,driving,,,Gill,A. Gill,,,,,Restricted Area,0-8 Center,2.71,Made,,,,,,,,7.0,,,J. Butler,1630215.0,2.0,,,,,
150,PT00M31.80S,2024-03-31T22:32:19.0Z,1,REGULAR,foul,personal,['1freethrow'],1629312,,,1610612764,26,29,2024-03-31T22:32:25Z,1490000,False,,,0,,H. Highsmith shooting personal FOUL (1 PF) (Gill 1 FT),"[1629312, 1630264]",1610612748.0,MIA,shooting,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Gill,1630264.0
152,PT00M31.80S,2024-03-31T22:32:41.9Z,1,REGULAR,freethrow,1 of 1,[],1630264,,,1610612764,27,29,2024-03-31T22:32:41Z,1510000,False,,,0,,A. Gill Free Throw 1 of 1 (8 PTS),[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,Made,,,,,,,,8.0,,,,,,,,,,
172,PT00M17.80S,2024-03-31T22:32:53.5Z,1,REGULAR,turnover,bad pass,[],1631170,,,1610612748,27,29,2024-03-31T22:37:10Z,1525000,False,,,0,,J. Jaquez Jr. bad pass TURNOVER (2 TO),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,2.0,,,,,,,,,202901.0,,,,
155,PT00M17.80S,2024-03-31T22:33:05.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626153,,,1610612764,27,29,2024-03-31T22:36:51Z,1540000,False,,,0,,D. Wright loose ball personal FOUL (1 PF) (Butler 2 FT),"[1626153, 1630215]",1610612748.0,MIA,loose ball,,,Wright,D. Wright,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,202901.0,1.0,0.0,Butler,1630215.0
157,PT00M17.80S,2024-03-31T22:33:28.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630215,,,1610612764,28,29,2024-03-31T22:36:51Z,1560000,False,,,0,,J. Butler Free Throw 1 of 2 (1 PTS),[1630215],1610612764.0,WAS,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
158,PT00M17.80S,2024-03-31T22:33:41.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630215,,,1610612764,29,29,2024-03-31T22:36:51Z,1570000,False,,,0,,J. Butler Free Throw 2 of 2 (2 PTS),[1630215],1610612764.0,WAS,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
159,PT00M01.40S,2024-03-31T22:33:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,7.5722733245729295,61.51960784313726,1610612748,29,29,2024-03-31T22:34:05Z,1580000,False,-58.0,19.0,1,left,MISS J. Butler 6' driving reverse Layup,[202710],1610612748.0,MIA,driving reverse,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,6.06,Missed,,,,,,,,,,,,,,,,,,
160,PT00M01.40S,2024-03-31T22:33:59.8Z,1,REGULAR,rebound,defensive,[],1630264,,,1610612764,29,29,2024-03-31T22:34:05Z,1590000,False,,,0,,A. Gill REBOUND (Off:1 Def:2),[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,In The Paint (Non-RA),0-8 Center,,,159.0,3.0,2.0,1.0,,,,,,,,,,,,,,
161,PT00M00.00S,2024-03-31T22:34:11.2Z,1,REGULAR,period,end,[],0,,,1610612764,29,29,2024-03-31T22:34:11Z,1600000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2024-03-31T22:34:14.0Z,2,REGULAR,substitution,out,['startperiod'],1631098,,,1610612764,29,29,2024-03-31T22:36:34Z,1610000,False,,,0,,SUB out: J. Davis,[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2024-03-31T22:34:14.0Z,2,REGULAR,substitution,out,['startperiod'],1630264,,,1610612764,29,29,2024-03-31T22:36:34Z,1620000,False,,,0,,SUB out: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2024-03-31T22:34:14.0Z,2,REGULAR,substitution,out,['startperiod'],1631262,,,1610612764,29,29,2024-03-31T22:36:34Z,1630000,False,,,0,,SUB out: J. Bernard,[1631262],1610612764.0,WAS,,,,Bernard,J. Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2024-03-31T22:34:14.0Z,2,REGULAR,substitution,out,['startperiod'],1626153,,,1610612764,29,29,2024-03-31T22:36:34Z,1640000,False,,,0,,SUB out: D. Wright,[1626153],1610612748.0,MIA,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2024-03-31T22:34:14.0Z,2,REGULAR,substitution,in,['startperiod'],1641774,,,1610612764,29,29,2024-03-31T22:36:34Z,1650000,False,,,0,,SUB in: T. Vukcevic,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2024-03-31T22:34:14.0Z,2,REGULAR,substitution,in,['startperiod'],1628963,,,1610612764,29,29,2024-03-31T22:36:34Z,1660000,False,,,0,,SUB in: M. Bagley III,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2024-03-31T22:34:14.0Z,2,REGULAR,substitution,in,['startperiod'],1630557,,,1610612764,29,29,2024-03-31T22:36:34Z,1670000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2024-03-31T22:34:14.0Z,2,REGULAR,substitution,in,['startperiod'],1629130,,,1610612764,29,29,2024-03-31T22:36:34Z,1680000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2024-03-31T22:36:49.4Z,2,REGULAR,period,start,[],0,,,1610612764,29,29,2024-03-31T22:36:49Z,1690000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
