actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
132,PT01M16.00S,2023-12-27T00:32:01.7Z,1,REGULAR,substitution,in,[],1629673,,,1610612753,26,26,2023-12-27T00:32:18Z,1320000,False,,,0,,SUB in: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M16.00S,2023-12-27T00:32:01.7Z,1,REGULAR,substitution,in,[],1630532,,,1610612753,26,26,2023-12-27T00:32:18Z,1330000,False,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M16.00S,2023-12-27T00:32:01.7Z,1,REGULAR,substitution,in,[],1631216,,,1610612753,26,26,2023-12-27T00:32:18Z,1340000,False,,,0,,SUB in: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M02.00S,2023-12-27T00:32:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629021,7.966491458607096,55.88235294117647,1610612753,26,26,2023-12-27T00:32:43Z,1350000,False,-29.0,22.0,1,left,MISS M. Wagner Layup - blocked,"[1629021, 1641731]",1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,3.7,Missed,,,,,,,,,,,,,,,,,Coulibaly,1641731.0
136,PT01M02.00S,2023-12-27T00:32:38.2Z,1,REGULAR,block,,[],1641731,,,1610612753,26,26,2023-12-27T00:32:40Z,1360000,False,,,0,,B. Coulibaly BLOCK (1 BLK),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
137,PT00M58.80S,2023-12-27T00:32:41.4Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612764,26,26,2023-12-27T00:32:43Z,1370000,False,,,0,,D. Wright REBOUND (Off:0 Def:2),[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,Restricted Area,0-8 Center,,,,,,,135.0,2.0,2.0,0.0,,,,,,,,,,
138,PT00M53.60S,2023-12-27T00:32:46.7Z,1,REGULAR,3pt,Jump Shot,[],1629673,70.51576872536137,16.666666666666664,1610612764,29,26,2023-12-27T00:32:53Z,1380000,False,-167.0,225.0,1,right,J. Poole 27' 3PT step back (3 PTS),[1629673],1610612764.0,WAS,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,27.98,Made,3.0,,,,,,,,,,,,,,,,,
139,PT00M46.40S,2023-12-27T00:32:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629021,6.258212877792378,47.30392156862745,1610612753,29,28,2023-12-27T00:33:02Z,1390000,False,13.0,6.0,1,left,M. Wagner cutting Layup (2 PTS) (F. Wagner 4 AST),"[1629021, 1630532]",1610612753.0,ORL,cutting,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,F. Wagner,1630532.0,4.0,,,,,,,,,,,,,,
141,PT00M36.60S,2023-12-27T00:33:10.7Z,1,REGULAR,foul,personal,['2freethrow'],1630175,,,1610612764,29,28,2023-12-27T00:33:17Z,1410000,False,,,0,,C. Anthony shooting personal FOUL (1 PF) (Wright 2 FT),"[1630175, 1626153]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1626300.0,,,,1.0,0.0,Wright,1626153.0,,
143,PT00M36.60S,2023-12-27T00:33:37.0Z,1,REGULAR,freethrow,1 of 2,[],1626153,,,1610612764,30,28,2023-12-27T00:33:37Z,1430000,False,,,0,,D. Wright Free Throw 1 of 2 (4 PTS),[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
