actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
87,PT05M02.00S,2024-01-15T20:26:10.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,86.38304862023654,62.5,1610612764,15,14,2024-01-15T20:26:15Z,860000,False,62.0,75.0,1,right,MISS K. Kuzma 9' floating Shot,[1628398],1610612764.0,WAS,floating,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Missed,,,,,,,9.8,,,,,,,
88,PT04M59.00S,2024-01-15T20:26:13.4Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,15,14,2024-01-15T20:26:15Z,870000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,,,
89,PT04M54.00S,2024-01-15T20:26:19.2Z,1,REGULAR,3pt,Jump Shot,[],1630191,29.221419185282528,21.568627450980387,1610612765,15,14,2024-01-15T20:26:25Z,880000,False,142.0,222.0,1,left,MISS I. Stewart 26' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,,26.38,,,,,,,
90,PT04M49.00S,2024-01-15T20:26:23.6Z,1,REGULAR,rebound,offensive,[],1631093,,,1610612765,15,14,2024-01-15T20:26:23Z,890000,False,,,0,,J. Ivey REBOUND (Off:1 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,,,,,,,,89.0,2.0,1.0,1.0,,,,,,,,,
91,PT04M45.00S,2024-01-15T20:26:27.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202692,28.43298291721419,83.82352941176471,1610612765,15,17,2024-01-15T20:26:31Z,900000,False,-169.0,215.0,1,left,A. Burks 27' 3PT  (3 PTS) (J. Ivey 1 AST),"[202692, 1631093]",1610612765.0,DET,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,,,27.34,J. Ivey,1631093.0,1.0,,,,
93,PT04M28.00S,2024-01-15T20:26:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626145,90.8508541392904,55.63725490196079,1610612764,15,17,2024-01-15T20:29:10Z,920000,False,28.0,34.0,1,right,MISS T. Jones cutting Layup - blocked,"[1626145, 1631093]",1610612764.0,WAS,cutting,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,,4.38,,,,Ivey,1631093.0,,
94,PT04M28.00S,2024-01-15T20:26:47.7Z,1,REGULAR,block,,[],1631093,,,1610612764,15,17,2024-01-15T20:26:50Z,930000,False,,,0,,J. Ivey BLOCK (1 BLK),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
95,PT04M26.00S,2024-01-15T20:26:49.7Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,15,17,2024-01-15T20:29:27Z,940000,False,,,0,,J. Wiseman REBOUND (Off:0 Def:1),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,,,93.0,1.0,1.0,0.0,,,,,,,,,
96,PT04M20.00S,2024-01-15T20:26:54.6Z,1,REGULAR,foul,personal,['2freethrow'],1629673,,,1610612765,15,17,2024-01-15T20:27:00Z,950000,False,,,0,,J. Poole shooting personal FOUL (2 PF) (Burks 2 FT),"[1629673, 202692]",1610612764.0,WAS,shooting,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,201246.0,2.0,0.0,Burks,202692.0,,,,,,,,,,,,,,,
98,PT04M20.00S,2024-01-15T20:27:24.1Z,1,REGULAR,freethrow,1 of 2,[],202692,,,1610612765,15,18,2024-01-15T20:27:24Z,970000,False,,,0,,A. Burks Free Throw 1 of 2 (4 PTS),[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
99,PT04M20.00S,2024-01-15T20:27:25.0Z,1,REGULAR,substitution,out,[],1626145,,,1610612765,15,18,2024-01-15T20:27:34Z,980000,False,,,0,,SUB out: T. Jones,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M20.00S,2024-01-15T20:27:25.0Z,1,REGULAR,substitution,out,[],1628995,,,1610612765,15,18,2024-01-15T20:27:34Z,990000,False,,,0,,SUB out: K. Knox II,[1628995],1610612765.0,DET,,,,Knox II,K. Knox II,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M20.00S,2024-01-15T20:27:25.0Z,1,REGULAR,substitution,in,[],1626153,,,1610612765,15,18,2024-01-15T20:27:34Z,1000000,False,,,0,,SUB in: D. Wright,[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M20.00S,2024-01-15T20:27:25.0Z,1,REGULAR,substitution,in,[],1641709,,,1610612765,15,18,2024-01-15T20:27:34Z,1010000,False,,,0,,SUB in: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M20.00S,2024-01-15T20:27:50.5Z,1,REGULAR,freethrow,2 of 2,[],202692,,,1610612765,15,19,2024-01-15T20:27:50Z,1020000,False,,,0,,A. Burks Free Throw 2 of 2 (5 PTS),[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
104,PT04M03.00S,2024-01-15T20:28:08.5Z,1,REGULAR,3pt,Jump Shot,[],1628398,65.48948751642575,47.79411764705882,1610612764,15,19,2024-01-15T20:28:14Z,1030000,False,-11.0,272.0,1,right,MISS K. Kuzma 27' pullup 3PT,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,,27.21,,,,,,,
105,PT03M58.00S,2024-01-15T20:28:13.5Z,1,REGULAR,rebound,offensive,[],1626153,,,1610612764,15,19,2024-01-15T20:28:14Z,1040000,False,,,0,,D. Wright REBOUND (Off:1 Def:0),[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,Above the Break 3,24+ Center,,,,,,,,104.0,1.0,0.0,1.0,,,,,,,,,
106,PT03M52.00S,2024-01-15T20:28:18.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629655,82.83508541392904,53.67647058823529,1610612764,15,19,2024-01-15T20:28:23Z,1050000,False,18.0,109.0,1,right,MISS D. Gafford 11' fadeaway Shot,[1629655],1610612764.0,WAS,fadeaway,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,,11.04,,,,,,,
107,PT03M48.00S,2024-01-15T20:28:22.7Z,1,REGULAR,rebound,defensive,[],202692,,,1610612765,15,19,2024-01-15T20:28:23Z,1060000,False,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,106.0,1.0,1.0,0.0,,,,,,,,,
108,PT03M42.00S,2024-01-15T20:28:29.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202692,13.32128777923785,64.95098039215686,1610612765,15,19,2024-01-15T20:28:34Z,1070000,False,-75.0,73.0,1,left,MISS A. Burks 10' turnaround Shot,[202692],1610612765.0,DET,turnaround,,,Burks,A. Burks,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Missed,,,,,,,10.43,,,,,,,
109,PT03M39.00S,2024-01-15T20:28:32.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,15,19,2024-01-15T20:28:34Z,1080000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,108.0,2.0,2.0,0.0,,,,,,,,,
110,PT03M34.00S,2024-01-15T20:28:39.5Z,1,REGULAR,2pt,Jump Shot,[],1628398,92.29632063074901,30.14705882352942,1610612764,17,19,2024-01-15T20:29:06Z,1090000,False,-99.0,20.0,1,right,K. Kuzma 10' driving bank Jump Shot (2 PTS),[1628398],1610612764.0,WAS,driving bank,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Left,,,,,,Made,2.0,,,,,,10.13,,,,,,,
111,PT03M34.00S,2024-01-15T20:28:42.5Z,1,REGULAR,foul,personal,['1freethrow'],1641709,,,1610612764,17,19,2024-01-15T20:29:00Z,1100000,False,,,0,,A. Thompson shooting personal FOUL (1 PF) (Kuzma 1 FT),"[1641709, 1628398]",1610612765.0,DET,shooting,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Left,201246.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,,,,,,,
113,PT03M34.00S,2024-01-15T20:28:52.1Z,1,REGULAR,substitution,out,[],1629673,,,1610612764,17,19,2024-01-15T20:29:10Z,1120000,False,,,0,,SUB out: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M34.00S,2024-01-15T20:28:52.1Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,17,19,2024-01-15T20:29:10Z,1130000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M34.00S,2024-01-15T20:29:12.2Z,1,REGULAR,freethrow,1 of 1,[],1628398,,,1610612764,18,19,2024-01-15T20:29:12Z,1140000,False,,,0,,K. Kuzma Free Throw 1 of 1 (3 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
116,PT03M22.00S,2024-01-15T20:29:25.5Z,1,REGULAR,3pt,Jump Shot,[],1630191,31.192509855453352,69.11764705882354,1610612765,18,19,2024-01-15T20:29:31Z,1150000,False,-96.0,241.0,1,left,MISS I. Stewart 25' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,,25.9,,,,,,,
117,PT03M21.00S,2024-01-15T20:29:26.5Z,1,REGULAR,rebound,offensive,[],1630164,,,1610612765,18,19,2024-01-15T20:33:32Z,1160000,False,,,0,,J. Wiseman REBOUND (Off:1 Def:1),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Left Center,,,,,,,,116.0,2.0,1.0,1.0,,,,,,,,,
118,PT03M20.00S,2024-01-15T20:29:32.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630164,8.722076215505908,47.30392156862745,1610612765,18,19,2024-01-15T20:32:27Z,1170000,False,13.0,29.0,1,left,MISS J. Wiseman putback Layup - blocked,"[1630164, 1629655]",1610612765.0,DET,putback,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,,3.24,,,,Gafford,1629655.0,,
119,PT03M20.00S,2024-01-15T20:29:32.2Z,1,REGULAR,block,,[],1629655,,,1610612765,18,19,2024-01-15T20:29:34Z,1180000,False,,,0,,D. Gafford BLOCK (2 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
120,PT03M18.00S,2024-01-15T20:29:34.2Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,18,19,2024-01-15T20:32:27Z,1190000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,,,,118.0,3.0,3.0,0.0,,,,,,,,,
121,PT03M12.00S,2024-01-15T20:29:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,92.95335085413929,51.470588235294116,1610612764,20,19,2024-01-15T20:34:42Z,1200000,False,7.0,14.0,1,right,K. Kuzma driving floating bank Jump Shot (5 PTS),[1628398],1610612764.0,WAS,driving floating bank,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,,,,,,1.56,,,,,,,
122,PT03M11.00S,2024-01-15T20:29:49.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,20,19,2024-01-15T20:29:49Z,1210000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M11.00S,2024-01-15T20:29:55.3Z,1,REGULAR,substitution,out,[],1631093,,,1610612765,20,19,2024-01-15T20:32:18Z,1220000,False,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M11.00S,2024-01-15T20:29:55.3Z,1,REGULAR,substitution,in,[],1631204,,,1610612765,20,19,2024-01-15T20:32:18Z,1230000,False,,,0,,SUB in: M. Sasser,[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M02.00S,2024-01-15T20:32:40.4Z,1,REGULAR,foul,personal,[],1626153,,,1610612765,20,19,2024-01-15T20:32:48Z,1240000,False,,,0,,D. Wright personal FOUL (1 PF),"[1626153, 1631204]",1610612764.0,WAS,,,,Wright,D. Wright,,,,,Above the Break 3,24+ Left Center,1628484.0,1.0,0.0,Sasser,1631204.0,,,,,,,,,,,,,,,
127,PT02M53.00S,2024-01-15T20:33:00.4Z,1,REGULAR,turnover,bad pass,[],202692,,,1610612765,20,19,2024-01-15T20:33:05Z,1260000,False,,,0,,A. Burks bad pass TURNOVER (1 TO),"[202692, 1629655]",1610612765.0,DET,,,,Burks,A. Burks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,,,,,,,Gafford,1629655.0
128,PT02M53.00S,2024-01-15T20:33:00.4Z,1,REGULAR,steal,,[],1629655,,,1610612764,20,19,2024-01-15T20:33:02Z,1270000,False,,,0,,D. Gafford STEAL (1 STL),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
129,PT02M47.00S,2024-01-15T20:33:07.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630557,91.77069645203679,54.90196078431372,1610612764,20,19,2024-01-15T20:38:40Z,1280000,False,25.0,25.0,1,right,MISS C. Kispert driving Layup - blocked,"[1630557, 1631204]",1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,,3.49,,,,Sasser,1631204.0,,
130,PT02M47.00S,2024-01-15T20:33:07.7Z,1,REGULAR,block,,[],1631204,,,1610612764,20,19,2024-01-15T20:40:03Z,1290000,False,,,0,,M. Sasser BLOCK (1 BLK),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
131,PT02M46.00S,2024-01-15T20:33:08.7Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,20,19,2024-01-15T20:38:40Z,1300000,False,,,0,,J. Wiseman REBOUND (Off:1 Def:2),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,,,129.0,3.0,2.0,1.0,,,,,,,,,
132,PT02M38.00S,2024-01-15T20:33:14.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630164,6.356767411300922,46.81372549019608,1610612765,20,21,2024-01-15T21:21:02Z,1310000,False,16.0,7.0,1,left,J. Wiseman running Layup (2 PTS),[1630164],1610612765.0,DET,running,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,,1.75,,,,,,,
133,PT02M18.00S,2024-01-15T20:33:35.3Z,1,REGULAR,3pt,Jump Shot,[],1628398,70.87713534822602,20.588235294117652,1610612764,20,21,2024-01-15T20:33:42Z,1320000,False,-147.0,221.0,1,right,MISS K. Kuzma 26' step back 3PT,[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,,26.57,,,,,,,
134,PT02M13.00S,2024-01-15T20:33:40.3Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,20,21,2024-01-15T20:33:42Z,1330000,False,,,0,,J. Wiseman REBOUND (Off:1 Def:3),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Left Center,,,,,,,,133.0,4.0,3.0,1.0,,,,,,,,,
135,PT02M08.00S,2024-01-15T20:33:45.3Z,1,REGULAR,3pt,Jump Shot,[],202692,25.936268068331145,86.27450980392157,1610612765,20,24,2024-01-15T20:33:51Z,1340000,False,-181.0,191.0,1,left,A. Burks 26' 3PT  (8 PTS) (M. Sasser 1 AST),"[202692, 1631204]",1610612765.0,DET,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Left Center,,,,,,Made,8.0,,,,,,26.36,M. Sasser,1631204.0,1.0,,,,
137,PT01M45.00S,2024-01-15T20:34:08.2Z,1,REGULAR,2pt,Jump Shot,[],1628398,74.95072273324573,46.568627450980394,1610612764,20,24,2024-01-15T20:34:13Z,1360000,False,-17.0,183.0,1,right,MISS K. Kuzma 18' step back Shot,[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Center,,,,,,Missed,,,,,,,18.38,,,,,,,
138,PT01M42.00S,2024-01-15T20:34:11.2Z,1,REGULAR,rebound,defensive,[],1631204,,,1610612765,20,24,2024-01-15T20:34:13Z,1370000,False,,,0,,M. Sasser REBOUND (Off:0 Def:1),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Mid-Range,16-24 Center,,,,,,,,137.0,1.0,1.0,0.0,,,,,,,,,
139,PT01M33.00S,2024-01-15T20:34:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,6.356767411300922,45.34313725490197,1610612765,20,26,2024-01-15T20:34:34Z,1380000,False,23.0,7.0,1,left,A. Thompson driving reverse Layup (2 PTS) (I. Stewart 1 AST),"[1641709, 1630191]",1610612765.0,DET,driving reverse,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,,2.44,I. Stewart,1630191.0,1.0,,,,
140,PT01M33.00S,2024-01-15T20:34:26.2Z,1,REGULAR,foul,personal,['1freethrow'],1630557,,,1610612765,20,26,2024-01-15T20:34:56Z,1390000,False,,,0,,C. Kispert shooting personal FOUL (1 PF) (Thompson 1 FT),"[1630557, 1641709]",1610612764.0,WAS,shooting,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,1628484.0,1.0,0.0,Thompson,1641709.0,,,,,,,,,,,,,,,
142,PT01M33.00S,2024-01-15T20:34:35.8Z,1,REGULAR,substitution,out,[],1629655,,,1610612765,20,26,2024-01-15T20:34:53Z,1410000,False,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M33.00S,2024-01-15T20:34:35.8Z,1,REGULAR,substitution,out,[],1628398,,,1610612765,20,26,2024-01-15T20:34:53Z,1420000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M33.00S,2024-01-15T20:34:35.8Z,1,REGULAR,substitution,out,[],1630191,,,1610612765,20,26,2024-01-15T20:34:53Z,1430000,False,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M33.00S,2024-01-15T20:34:35.8Z,1,REGULAR,substitution,in,[],1631116,,,1610612765,20,26,2024-01-15T20:34:53Z,1440000,False,,,0,,SUB in: P. Baldwin Jr.,[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M33.00S,2024-01-15T20:34:35.8Z,1,REGULAR,substitution,in,[],1630166,,,1610612765,20,26,2024-01-15T20:34:53Z,1450000,False,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M33.00S,2024-01-15T20:34:35.8Z,1,REGULAR,substitution,in,[],203925,,,1610612765,20,26,2024-01-15T20:34:53Z,1460000,False,,,0,,SUB in: J. Harris,[203925],1610612765.0,DET,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M33.00S,2024-01-15T20:34:57.1Z,1,REGULAR,freethrow,1 of 1,[],1641709,,,1610612765,20,27,2024-01-15T20:34:57Z,1470000,False,,,0,,A. Thompson Free Throw 1 of 1 (3 PTS),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
150,PT01M21.00S,2024-01-15T20:35:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626153,92.16491458607096,41.91176470588235,1610612764,20,27,2024-01-15T20:35:13Z,1480000,False,-40.0,21.0,1,right,MISS D. Wright driving Layup,[1626153],1610612764.0,WAS,driving,,,Wright,D. Wright,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,,4.56,,,,,,,
151,PT01M17.00S,2024-01-15T20:35:12.6Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,20,27,2024-01-15T20:35:13Z,1490000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,150.0,1.0,1.0,0.0,,,,,,,,,
152,PT01M12.00S,2024-01-15T20:35:19.3Z,1,REGULAR,turnover,traveling,[],1631204,,,1610612765,20,27,2024-01-15T20:35:26Z,1500000,False,,,0,,M. Sasser traveling TURNOVER (1 TO),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Right Center,1628484.0,,,,,,,,,,,1.0,,,,,,,,
153,PT00M53.80S,2024-01-15T20:35:50.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630557,91.24507227332458,54.16666666666667,1610612764,22,27,2024-01-15T20:42:30Z,1502500,False,21.0,30.0,1,right,C. Kispert driving Layup (2 PTS) (D. Avdija 1 AST),"[1630557, 1630166]",1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,,3.63,D. Avdija,1630166.0,1.0,,,,
156,PT00M38.20S,2024-01-15T20:36:22.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630164,6.225361366622863,57.59803921568628,1610612765,22,29,2024-01-15T20:36:26Z,1540000,False,-38.0,6.0,1,left,J. Wiseman Layup (4 PTS) (J. Harris 1 AST),"[1630164, 203925]",1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,,,,,3.85,J. Harris,203925.0,1.0,,,,
158,PT00M29.80S,2024-01-15T20:36:33.0Z,1,REGULAR,2pt,Jump Shot,[],1626153,79.15571616294349,43.872549019607845,1610612764,22,29,2024-01-15T20:43:26Z,1560000,False,-31.0,143.0,1,right,MISS D. Wright 14' floating Shot - blocked,"[1626153, 1630164]",1610612764.0,WAS,floating,,,Wright,D. Wright,,,,,Mid-Range,8-16 Center,,,,,,Missed,,,,,,,14.66,,,,Wiseman,1630164.0,,
159,PT00M29.80S,2024-01-15T20:36:33.0Z,1,REGULAR,block,,[],1630164,,,1610612764,22,29,2024-01-15T20:36:35Z,1570000,False,,,0,,J. Wiseman BLOCK (1 BLK),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
160,PT00M29.10S,2024-01-15T20:36:33.7Z,1,REGULAR,rebound,defensive,[],1631204,,,1610612765,22,29,2024-01-15T20:43:26Z,1580000,False,,,0,,M. Sasser REBOUND (Off:0 Def:2),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Mid-Range,8-16 Center,,,,,,,,158.0,2.0,2.0,0.0,,,,,,,,,
161,PT00M05.60S,2024-01-15T20:36:55.7Z,1,REGULAR,3pt,Jump Shot,[],202692,31.061103810775293,75.49019607843138,1610612765,22,29,2024-01-15T20:37:01Z,1590000,False,-127.0,239.0,1,left,MISS A. Burks 27' pullup 3PT,[202692],1610612765.0,DET,pullup,,,Burks,A. Burks,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,,27.13,,,,,,,
162,PT00M01.00S,2024-01-15T20:37:00.3Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,22,29,2024-01-15T20:37:01Z,1600000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,,,,,,,,161.0,1.0,1.0,0.0,,,,,,,,,
163,PT00M00.00S,2024-01-15T20:37:06.7Z,1,REGULAR,period,end,[],0,,,1610612764,22,29,2024-01-15T20:37:06Z,1610000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2024-01-15T20:37:12.3Z,2,REGULAR,substitution,out,['startperiod'],1641731,,,1610612764,22,29,2024-01-15T20:39:26Z,1620000,False,,,0,,SUB out: B. Coulibaly,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2024-01-15T20:37:12.3Z,2,REGULAR,substitution,in,['startperiod'],1629013,,,1610612764,22,29,2024-01-15T20:39:26Z,1630000,False,,,0,,SUB in: L. Shamet,[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2024-01-15T20:39:41.0Z,2,REGULAR,period,start,[],0,,,1610612765,22,29,2024-01-15T20:39:41Z,1640000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M41.00S,2024-01-15T20:39:58.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,6.619579500657039,45.833333333333336,1610612765,22,31,2024-01-15T20:40:08Z,1650000,False,21.0,10.0,1,left,A. Thompson driving Layup (5 PTS) (M. Sasser 2 AST),"[1641709, 1631204]",1610612765.0,DET,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,,,,,,2.3,M. Sasser,1631204.0,2.0,,,,
