actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
85,PT06M01.00S,2022-01-01T23:53:24.6Z,1,REGULAR,turnover,bad pass,[],202326,,,1610612749,10,8,2022-01-01T23:53:35Z,830000,,,0,,D. Cousins bad pass TURNOVER (1 TO),"[202326, 1630529]",1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,,,,,1.0,Jones,1630529.0,,,,,,,,,,,
86,PT06M01.00S,2022-01-01T23:53:24.6Z,1,REGULAR,steal,,[],1630529,,,1610612740,10,8,2022-01-01T23:53:29Z,840000,,,0,,H. Jones STEAL (3 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M53.00S,2022-01-01T23:53:32.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629637,6.652431011826544,37.99019607843137,1610612740,10,10,2022-01-01T23:53:42Z,850000,60.0,10.0,1,left,J. Hayes 6' running Layup (2 PTS),[1629637],1610612740.0,NOP,running,,,Hayes,J. Hayes,,,,,6.08,Made,,,,,,,,2.0,,,,,,,,,,
88,PT05M36.00S,2022-01-01T23:53:54.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,10,10,2022-01-01T23:53:54Z,860000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M36.00S,2022-01-01T23:53:55.6Z,1,REGULAR,substitution,out,[],203507,,,1610612749,10,10,2022-01-01T23:54:00Z,870000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M36.00S,2022-01-01T23:53:55.6Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,10,10,2022-01-01T23:54:00Z,880000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M33.00S,2022-01-01T23:54:13.2Z,1,REGULAR,3pt,Jump Shot,[],202083,70.12155059132719,76.7156862745098,1610612749,10,10,2022-01-01T23:54:22Z,890000,134.0,228.0,1,right,MISS W. Matthews 26' 3PT,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,
92,PT05M28.00S,2022-01-01T23:54:18.2Z,1,REGULAR,rebound,defensive,[],202066,,,1610612740,10,10,2022-01-01T23:54:22Z,900000,,,0,,G. Temple REBOUND (Off:0 Def:2),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,91.0,2.0,2.0,0.0,,,,,,,,,,,,,,
93,PT05M11.00S,2022-01-01T23:54:37.1Z,1,REGULAR,turnover,out-of-bounds,[],1628984,,,1610612740,10,10,2022-01-01T23:54:44Z,910000,,,0,,D. Graham bad pass out-of-bounds TURNOVER (1 TO),[1628984],1610612740.0,NOP,bad pass,,,Graham,D. Graham,,,,,,,,,,,1.0,,,,,,,,,203177.0,,,,
94,PT05M11.00S,2022-01-01T23:54:49.2Z,1,REGULAR,substitution,out,[],1628404,,,1610612749,10,10,2022-01-01T23:54:56Z,920000,,,0,,SUB out: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M11.00S,2022-01-01T23:54:49.2Z,1,REGULAR,substitution,in,[],1629638,,,1610612749,10,10,2022-01-01T23:54:56Z,930000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M01.00S,2022-01-01T23:55:06.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202326,65.91655716162943,45.34313725490196,1610612749,10,10,2022-01-01T23:55:20Z,940000,-23.0,268.0,1,right,MISS D. Cousins 26' 3PT,[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,26.89,Missed,,,,,,,,,,,,,,,,,,
97,PT04M58.00S,2022-01-01T23:55:09.4Z,1,REGULAR,rebound,defensive,[],202066,,,1610612740,10,10,2022-01-01T23:55:20Z,950000,,,0,,G. Temple REBOUND (Off:0 Def:3),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,96.0,3.0,3.0,0.0,,,,,,,,,,,,,,
98,PT04M53.00S,2022-01-01T23:55:14.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fastbreak']",1629637,13.61695137976347,46.568627450980394,1610612740,10,12,2022-01-01T23:55:35Z,960000,17.0,75.0,1,left,J. Hayes 7' Hook (4 PTS) (G. Temple 1 AST),"[1629637, 202066]",1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,7.74,Made,,,,,,,,4.0,G. Temple,202066.0,1.0,,,,,,,
100,PT04M31.00S,2022-01-01T23:55:36.9Z,1,REGULAR,turnover,bad pass,[],202083,,,1610612749,10,12,2022-01-01T23:55:45Z,980000,,,0,,W. Matthews bad pass TURNOVER (1 TO),"[202083, 202066]",1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,1.0,Temple,202066.0,,,,,,,,,,,
101,PT04M31.00S,2022-01-01T23:55:36.9Z,1,REGULAR,steal,,[],202066,,,1610612740,10,12,2022-01-01T23:55:39Z,990000,,,0,,G. Temple STEAL (1 STL),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M25.00S,2022-01-01T23:55:43.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630529,8.492115637319317,49.26470588235294,1610612740,10,14,2022-01-01T23:55:53Z,1000000,4.0,27.0,1,left,H. Jones running reverse Layup (2 PTS) (G. Temple 2 AST),"[1630529, 202066]",1610612740.0,NOP,running reverse,,,Jones,H. Jones,,,,,2.75,Made,,,,,,,,2.0,G. Temple,202066.0,2.0,,,,,,,
104,PT04M25.00S,2022-01-01T23:55:49.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,10,14,2022-01-01T23:55:49Z,1020000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M25.00S,2022-01-01T23:58:03.8Z,1,REGULAR,substitution,out,[],1628960,,,1610612749,10,14,2022-01-01T23:58:38Z,1030000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M25.00S,2022-01-01T23:58:03.8Z,1,REGULAR,substitution,out,[],1626192,,,1610612749,10,14,2022-01-01T23:58:38Z,1040000,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M25.00S,2022-01-01T23:58:03.8Z,1,REGULAR,substitution,out,[],1628984,,,1610612749,10,14,2022-01-01T23:58:38Z,1050000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M25.00S,2022-01-01T23:58:03.8Z,1,REGULAR,substitution,in,[],201588,,,1610612749,10,14,2022-01-01T23:58:38Z,1060000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M25.00S,2022-01-01T23:58:03.8Z,1,REGULAR,substitution,in,[],203918,,,1610612749,10,14,2022-01-01T23:58:38Z,1070000,,,0,,SUB in: R. Hood,[203918],1610612749.0,MIL,,,,Hood,R. Hood,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M25.00S,2022-01-01T23:58:03.8Z,1,REGULAR,substitution,in,[],203107,,,1610612749,10,14,2022-01-01T23:58:38Z,1080000,,,0,,SUB in: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M03.00S,2022-01-01T23:59:08.5Z,1,REGULAR,3pt,Jump Shot,[],201588,92.72339027595268,2.450980392156863,1610612749,13,14,2022-01-01T23:59:13Z,1090000,-238.0,16.0,1,right,G. Hill 3PT  (3 PTS) (J. Holiday 2 AST),"[201588, 201950]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,23.82,Made,,,,,,,,3.0,J. Holiday,201950.0,2.0,,,,,,,
113,PT03M48.00S,2022-01-01T23:59:23.1Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612740,13,14,2022-01-01T23:59:28Z,1110000,,,0,,N. Alexander-Walker bad pass TURNOVER (1 TO),"[1629638, 201588]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,1.0,Hill,201588.0,,,,,,,,,,,
114,PT03M48.00S,2022-01-01T23:59:23.1Z,1,REGULAR,steal,,[],201588,,,1610612749,13,14,2022-01-01T23:59:25Z,1120000,,,0,,G. Hill STEAL (1 STL),[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M31.00S,2022-01-01T23:59:41.8Z,1,REGULAR,foul,personal,['2freethrow'],1629638,,,1610612749,13,14,2022-01-01T23:59:58Z,1130000,,,0,,N. Alexander-Walker shooting personal FOUL (1 PF) (Holiday 2 FT),"[1629638, 201950]",1610612740.0,NOP,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,203177.0,1.0,0.0,Holiday,201950.0
117,PT03M31.00S,2022-01-02T00:00:13.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201950,,,1610612749,14,14,2022-01-02T00:00:13Z,1150000,,,0,,J. Holiday Free Throw 1 of 2 (1 PTS),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
118,PT03M31.00S,2022-01-02T00:00:15.2Z,1,REGULAR,substitution,out,[],202066,,,1610612749,14,14,2022-01-02T00:00:19Z,1160000,,,0,,SUB out: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M31.00S,2022-01-02T00:00:15.2Z,1,REGULAR,substitution,in,[],1629109,,,1610612749,14,14,2022-01-02T00:00:19Z,1170000,,,0,,SUB in: G. Clark,[1629109],1610612740.0,NOP,,,,Clark,G. Clark,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M31.00S,2022-01-02T00:00:28.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201950,,,1610612749,15,14,2022-01-02T00:00:28Z,1180000,,,0,,J. Holiday Free Throw 2 of 2 (2 PTS),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
121,PT03M13.00S,2022-01-02T00:00:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629638,8.09789750328515,3.431372549019608,1610612740,15,14,2022-01-02T00:00:54Z,1190000,233.0,24.0,1,left,MISS N. Alexander-Walker 3PT,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,23.4,Missed,,,,,,,,,,,,,,,,,,
122,PT03M10.00S,2022-01-02T00:00:51.9Z,1,REGULAR,rebound,defensive,[],202326,,,1610612749,15,14,2022-01-02T00:00:54Z,1200000,,,0,,D. Cousins REBOUND (Off:0 Def:2),[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,121.0,2.0,2.0,0.0,,,,,,,,,,,,,,
123,PT02M57.00S,2022-01-02T00:01:04.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202326,92.32917214191852,53.431372549019606,1610612749,15,14,2022-01-02T00:01:09Z,1210000,17.0,20.0,1,right,MISS D. Cousins cutting Layup - blocked,"[202326, 1630529]",1610612749.0,MIL,cutting,,,Cousins,D. Cousins,,,,,2.61,Missed,,,,,,,,,,,,Jones,1630529.0,,,,,
124,PT02M57.00S,2022-01-02T00:01:04.9Z,1,REGULAR,block,,[],1630529,,,1610612749,15,14,2022-01-02T00:01:08Z,1220000,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M53.00S,2022-01-02T00:01:08.9Z,1,REGULAR,rebound,defensive,[],203107,,,1610612740,15,14,2022-01-02T00:01:09Z,1230000,,,0,,T. Satoransky REBOUND (Off:0 Def:1),[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,123.0,1.0,1.0,0.0,,,,,,,,,,,,,,
126,PT02M41.00S,2022-01-02T00:01:21.3Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612740,15,14,2022-01-02T00:01:27Z,1240000,,,0,,N. Alexander-Walker bad pass TURNOVER (2 TO),"[1629638, 203918]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,2.0,Hood,203918.0,,,,,,,,,,,
127,PT02M41.00S,2022-01-02T00:01:21.3Z,1,REGULAR,steal,,[],203918,,,1610612749,15,14,2022-01-02T00:01:23Z,1250000,,,0,,R. Hood STEAL (1 STL),[203918],1610612749.0,MIL,,,,Hood,R. Hood,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M32.00S,2022-01-02T00:01:29.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201950,93.24901445466492,52.20588235294118,1610612749,17,14,2022-01-02T00:01:34Z,1260000,11.0,11.0,1,right,J. Holiday driving reverse Layup (4 PTS),[201950],1610612749.0,MIL,driving reverse,,,Holiday,J. Holiday,,,,,1.56,Made,,,,,,,,4.0,,,,,,,,,,
129,PT02M19.00S,2022-01-02T00:01:43.0Z,1,REGULAR,3pt,Jump Shot,[],1629638,33.85348226018397,59.068627450980394,1610612740,17,14,2022-01-02T00:01:47Z,1270000,-45.0,266.0,1,left,MISS N. Alexander-Walker 26' 3PT,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,26.95,Missed,,,,,,,,,,,,,,,,,,
130,PT02M16.00S,2022-01-02T00:01:46.0Z,1,REGULAR,rebound,defensive,[],202326,,,1610612749,17,14,2022-01-02T00:01:47Z,1280000,,,0,,D. Cousins REBOUND (Off:0 Def:3),[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,129.0,3.0,3.0,0.0,,,,,,,,,,,,,,
131,PT01M59.00S,2022-01-02T00:02:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,93.11760840998686,49.754901960784316,1610612749,19,14,2022-01-02T00:50:23Z,1290000,-1.0,12.0,1,right,J. Holiday finger roll Layup (6 PTS),[201950],1610612749.0,MIL,finger roll,,,Holiday,J. Holiday,,,,,1.23,Made,,,,,,,,6.0,,,,,,,,,,
133,PT01M55.00S,2022-01-02T00:02:06.4Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612740,19,14,2022-01-02T00:02:15Z,1310000,,,0,,N. Alexander-Walker bad pass TURNOVER (3 TO),"[1629638, 201950]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,3.0,Holiday,201950.0,,,,,,,,,,,
134,PT01M55.00S,2022-01-02T00:02:06.4Z,1,REGULAR,steal,,[],201950,,,1610612749,19,14,2022-01-02T00:02:12Z,1320000,,,0,,J. Holiday STEAL (2 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M48.00S,2022-01-02T00:02:13.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201588,92.32917214191852,51.470588235294116,1610612749,19,14,2022-01-02T00:02:21Z,1330000,7.0,20.0,1,right,MISS G. Hill driving Layup - blocked,"[201588, 1629637]",1610612749.0,MIL,driving,,,Hill,G. Hill,,,,,2.1,Missed,,,,,,,,,,,,Hayes,1629637.0,,,,,
136,PT01M48.00S,2022-01-02T00:02:13.4Z,1,REGULAR,block,,[],1629637,,,1610612749,19,14,2022-01-02T00:02:16Z,1340000,,,0,,J. Hayes BLOCK (1 BLK),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M47.00S,2022-01-02T00:02:14.4Z,1,REGULAR,rebound,defensive,[],203107,,,1610612740,19,14,2022-01-02T00:02:21Z,1350000,,,0,,T. Satoransky REBOUND (Off:0 Def:2),[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,135.0,2.0,2.0,0.0,,,,,,,,,,,,,,
138,PT01M47.00S,2022-01-02T00:02:24.2Z,1,REGULAR,foul,personal,['2freethrow'],202326,,,1610612740,19,14,2022-01-02T00:02:48Z,1360000,,,0,,D. Cousins shooting personal FOUL (1 PF) (Satoransky 2 FT),"[202326, 203107]",1610612749.0,MIL,shooting,,,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,,203177.0,1.0,0.0,Satoransky,203107.0
140,PT01M47.00S,2022-01-02T00:02:50.5Z,1,REGULAR,freethrow,1 of 2,[],203107,,,1610612740,19,14,2022-01-02T00:02:50Z,1380000,,,0,,MISS T. Satoransky Free Throw 1 of 2,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,Missed,,,,,,,,,,,,,,,,,,
141,PT01M47.00S,2022-01-02T00:02:50.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,19,14,2022-01-02T00:02:50Z,1390000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,
142,PT01M47.00S,2022-01-02T00:02:53.5Z,1,REGULAR,substitution,out,[],201950,,,1610612740,19,14,2022-01-02T00:03:09Z,1400000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M47.00S,2022-01-02T00:02:53.5Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,19,14,2022-01-02T00:03:09Z,1410000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M47.00S,2022-01-02T00:02:53.5Z,1,REGULAR,substitution,out,[],1629637,,,1610612740,19,14,2022-01-02T00:03:09Z,1420000,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M47.00S,2022-01-02T00:02:53.5Z,1,REGULAR,substitution,in,[],203507,,,1610612740,19,14,2022-01-02T00:03:09Z,1430000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M47.00S,2022-01-02T00:02:53.5Z,1,REGULAR,substitution,in,[],1626195,,,1610612740,19,14,2022-01-02T00:03:09Z,1440000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M47.00S,2022-01-02T00:02:53.5Z,1,REGULAR,substitution,in,[],1628404,,,1610612740,19,14,2022-01-02T00:03:09Z,1450000,,,0,,SUB in: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M47.00S,2022-01-02T00:03:16.6Z,1,REGULAR,freethrow,2 of 2,[],203107,,,1610612740,19,15,2022-01-02T00:03:16Z,1460000,,,0,,T. Satoransky Free Throw 2 of 2 (1 PTS),[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
149,PT01M26.00S,2022-01-02T00:03:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202326,89.17542706964521,48.03921568627451,1610612749,19,15,2022-01-02T00:03:40Z,1470000,-10.0,49.0,1,right,MISS D. Cousins pullup Shot,[202326],1610612749.0,MIL,pullup,,,Cousins,D. Cousins,,,,,5.03,Missed,,,,,,,,,,,,,,,,,,
150,PT01M26.00S,2022-01-02T00:03:35.1Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,19,15,2022-01-02T00:03:40Z,1480000,,,0,,W. Hernangomez REBOUND (Off:2 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,149.0,3.0,1.0,2.0,,,,,,,,,,,,,,
151,PT01M19.00S,2022-01-02T00:03:44.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203918,,,1610612740,19,15,2022-01-02T00:03:59Z,1490000,,,0,,R. Hood shooting personal FOUL (1 PF) (Alexander-Walker 2 FT),"[203918, 1629638]",1610612749.0,MIL,shooting,,,Hood,R. Hood,,,,,,,,,,,,,,,,,,,,200834.0,1.0,0.0,Alexander-Walker,1629638.0
153,PT01M19.00S,2022-01-02T00:04:10.6Z,1,REGULAR,freethrow,1 of 2,[],1629638,,,1610612740,19,15,2022-01-02T00:04:10Z,1510000,,,0,,MISS N. Alexander-Walker Free Throw 1 of 2,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,Missed,,,,,,,,,,,,,,,,,,
154,PT01M19.00S,2022-01-02T00:04:10.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,19,15,2022-01-02T00:04:10Z,1520000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,,,
155,PT01M19.00S,2022-01-02T00:04:11.5Z,1,REGULAR,substitution,out,[],202326,,,1610612740,19,15,2022-01-02T00:04:16Z,1530000,,,0,,SUB out: D. Cousins,[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,,,,,,
156,PT01M19.00S,2022-01-02T00:04:11.5Z,1,REGULAR,substitution,in,[],1626171,,,1610612740,19,15,2022-01-02T00:04:16Z,1540000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,
157,PT01M19.00S,2022-01-02T00:04:18.0Z,1,REGULAR,substitution,out,[],203107,,,1610612740,19,15,2022-01-02T00:04:21Z,1550000,,,0,,SUB out: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,
158,PT01M19.00S,2022-01-02T00:04:18.0Z,1,REGULAR,substitution,in,[],1628984,,,1610612740,19,15,2022-01-02T00:04:21Z,1560000,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
159,PT01M19.00S,2022-01-02T00:04:32.5Z,1,REGULAR,freethrow,2 of 2,[],1629638,,,1610612740,19,16,2022-01-02T00:04:32Z,1570000,,,0,,N. Alexander-Walker Free Throw 2 of 2 (1 PTS),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
160,PT01M09.00S,2022-01-02T00:04:47.4Z,1,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612749,19,16,2022-01-02T00:04:58Z,1580000,,,0,,J. Hart shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1628404, 203507]",1610612740.0,NOP,shooting,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,200834.0,1.0,0.0,Antetokounmpo,203507.0
162,PT01M09.00S,2022-01-02T00:05:22.4Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,19,16,2022-01-02T00:05:22Z,1600000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,
163,PT01M09.00S,2022-01-02T00:05:22.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,19,16,2022-01-02T00:05:22Z,1610000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,162.0,,,,,,,,,,,,,,,,,
164,PT01M09.00S,2022-01-02T00:05:46.9Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,20,16,2022-01-02T00:05:46Z,1620000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (6 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,6.0,,,,,,,,,,
165,PT00M59.60S,2022-01-02T00:05:58.8Z,1,REGULAR,3pt,Jump Shot,[],1629638,27.414586070959263,81.37254901960785,1610612740,20,19,2022-01-02T00:06:03Z,1630000,-157.0,205.0,1,left,N. Alexander-Walker 25' 3PT  (4 PTS) (J. Hart 2 AST),"[1629638, 1628404]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,25.83,Made,,,,,,,,4.0,J. Hart,1628404.0,2.0,,,,,,,
167,PT00M45.80S,2022-01-02T00:06:15.0Z,1,REGULAR,3pt,Jump Shot,[],201588,70.38436268068331,20.34313725490196,1610612749,23,19,2022-01-02T00:06:20Z,1650000,-148.0,226.0,1,right,G. Hill 27' 3PT  (6 PTS) (G. Antetokounmpo 1 AST),"[201588, 203507]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,27.02,Made,,,,,,,,6.0,G. Antetokounmpo,203507.0,1.0,,,,,,,
169,PT00M32.50S,2022-01-02T00:06:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626195,10.068988173455978,48.03921568627451,1610612740,23,19,2022-01-02T00:06:39Z,1670000,10.0,42.0,1,left,MISS W. Hernangomez Layup,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,4.32,Missed,,,,,,,,,,,,,,,,,,
170,PT00M32.10S,2022-01-02T00:06:30.0Z,1,REGULAR,rebound,offensive,[],1626195,,,1610612740,23,19,2022-01-02T00:06:39Z,1680000,,,0,,W. Hernangomez REBOUND (Off:3 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,169.0,4.0,1.0,3.0,,,,,,,,,,,,,,
171,PT00M32.10S,2022-01-02T00:06:32.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626195,6.389618922470433,50.73529411764706,1610612740,23,21,2022-01-02T00:06:44Z,1690000,-4.0,8.0,1,left,W. Hernangomez DUNK (4 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,0.85,Made,,,,,,,,4.0,,,,,,,,,,
172,PT00M19.40S,2022-01-02T00:06:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,93.24901445466492,50.98039215686274,1610612749,25,21,2022-01-02T00:06:52Z,1700000,5.0,11.0,1,right,G. Antetokounmpo driving finger roll Layup (8 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,1.2,Made,,,,,,,,8.0,,,,,,,,,,
