actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
90,PT04M52.00S,2022-01-29T03:30:39.5Z,1,REGULAR,substitution,in,[],202692,,,1610612749,24,20,2022-01-29T03:30:49Z,890000,,,0,,SUB in: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M40.00S,2022-01-29T03:31:07.9Z,1,REGULAR,turnover,out-of-bounds,[],203114,,,1610612749,24,20,2022-01-29T03:31:14Z,900000,,,0,,K. Middleton bad pass out-of-bounds TURNOVER (2 TO),[203114],1610612749.0,MIL,bad pass,,,Middleton,K. Middleton,,,,,2.0,,,,,,,,,,,,,2715.0,,,,,,,
92,PT04M19.00S,2022-01-29T03:31:35.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202692,67.7562417871222,24.754901960784316,1610612752,24,20,2022-01-29T03:31:41Z,910000,-126.0,251.0,1,right,MISS A. Burks 28' 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,28.06,Missed,,,,,,,,,,,,,,,,
93,PT04M16.00S,2022-01-29T03:31:38.4Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,24,20,2022-01-29T03:31:41Z,920000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,92.0,1.0,1.0,0.0,,,,,,,,
94,PT04M15.00S,2022-01-29T03:31:39.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626192,8.623521681997373,51.225490196078425,1610612749,26,20,2022-01-29T03:31:47Z,930000,-6.0,29.0,1,left,P. Connaughton running reverse Layup (2 PTS) (K. Middleton 3 AST),"[1626192, 203114]",1610612749.0,MIL,running reverse,,,Connaughton,P. Connaughton,,,,,,,,2.92,Made,2.0,K. Middleton,203114.0,3.0,,,,,,,,,,,,
96,PT04M07.00S,2022-01-29T03:31:50.1Z,1,REGULAR,turnover,bad pass,[],202692,,,1610612752,26,20,2022-01-29T03:31:58Z,950000,,,0,,A. Burks bad pass TURNOVER (1 TO),"[202692, 1626192]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,1.0,Connaughton,1626192.0,,,,,,,,,,,,,,,,,,
97,PT04M07.00S,2022-01-29T03:31:50.1Z,1,REGULAR,steal,,[],1626192,,,1610612749,26,20,2022-01-29T03:31:53Z,960000,,,0,,P. Connaughton STEAL (1 STL),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M07.00S,2022-01-29T03:31:56.6Z,1,REGULAR,turnover,bad pass,[],1626192,,,1610612749,26,20,2022-01-29T03:32:02Z,970000,,,0,,P. Connaughton bad pass TURNOVER (1 TO),"[1626192, 1629628]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,1.0,Barrett,1629628.0,,,,,,,,,,,,,,,,,,
99,PT04M07.00S,2022-01-29T03:31:56.6Z,1,REGULAR,steal,,[],1629628,,,1610612752,26,20,2022-01-29T03:31:58Z,980000,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M05.00S,2022-01-29T03:32:11.7Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612752,26,20,2022-01-29T03:32:11Z,990000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M54.00S,2022-01-29T03:32:21.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629628,71.82982917214193,16.42156862745098,1610612752,26,23,2022-01-29T03:32:26Z,1000000,-168.0,212.0,1,right,R. Barrett 27' 3PT  (5 PTS) (A. Burks 1 AST),"[1629628, 202692]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,27.07,Made,5.0,A. Burks,202692.0,1.0,,,,,,,,,,,,
103,PT03M41.00S,2022-01-29T03:32:33.7Z,1,REGULAR,2pt,Jump Shot,[],203114,8.886333771353483,70.34313725490196,1610612749,28,23,2022-01-29T03:32:37Z,1020000,-102.0,31.0,1,left,K. Middleton 10' turnaround fadeaway Jump Shot (4 PTS),[203114],1610612749.0,MIL,turnaround fadeaway,,,Middleton,K. Middleton,,,,,,,,10.63,Made,4.0,,,,,,,,,,,,,,,
104,PT03M32.00S,2022-01-29T03:32:46.0Z,1,REGULAR,foul,personal,[],1626192,,,1610612752,28,23,2022-01-29T03:33:07Z,1030000,,,0,,P. Connaughton personal FOUL (1 PF),"[1626192, 1629628]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Barrett,1629628.0,,,
106,PT03M32.00S,2022-01-29T03:33:06.9Z,1,REGULAR,substitution,out,[],1626171,,,1610612752,28,23,2022-01-29T03:33:31Z,1050000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M32.00S,2022-01-29T03:33:06.9Z,1,REGULAR,substitution,out,[],203114,,,1610612752,28,23,2022-01-29T03:33:31Z,1060000,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M32.00S,2022-01-29T03:33:06.9Z,1,REGULAR,substitution,out,[],203095,,,1610612752,28,23,2022-01-29T03:33:31Z,1070000,,,0,,SUB out: E. Fournier,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M32.00S,2022-01-29T03:33:06.9Z,1,REGULAR,substitution,in,[],202083,,,1610612752,28,23,2022-01-29T03:33:31Z,1080000,,,0,,SUB in: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M32.00S,2022-01-29T03:33:06.9Z,1,REGULAR,substitution,in,[],203507,,,1610612752,28,23,2022-01-29T03:33:31Z,1090000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M32.00S,2022-01-29T03:33:06.9Z,1,REGULAR,substitution,in,[],1629656,,,1610612752,28,23,2022-01-29T03:33:31Z,1100000,,,0,,SUB in: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M28.00S,2022-01-29T03:33:19.8Z,1,REGULAR,3pt,Jump Shot,[],1629628,78.580814717477,88.99356617647058,1610612752,28,23,2022-01-29T03:35:29Z,1105000,195.0,149.0,1,right,MISS R. Barrett 24' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,24.53,Missed,,,,,,,,,,,,,,,,
119,PT03M25.00S,2022-01-29T03:33:22.8Z,1,REGULAR,rebound,offensive,[],202692,,,1610612752,28,23,2022-01-29T03:35:29Z,1107500,,,0,,A. Burks REBOUND (Off:1 Def:0),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,118.0,1.0,0.0,1.0,,,,,,,,
112,PT03M08.00S,2022-01-29T03:33:32.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203457,89.30683311432325,49.754901960784316,1610612752,28,23,2022-01-29T03:35:29Z,1110000,-1.0,48.0,1,right,MISS N. Noel Hook,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,4.8,Missed,,,,,,,,,,,,,,,,
113,PT03M05.00S,2022-01-29T03:33:35.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,28,23,2022-01-29T03:33:40Z,1120000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,112.0,1.0,1.0,0.0,,,,,,,,
114,PT03M01.00S,2022-01-29T03:33:40.5Z,1,REGULAR,3pt,Jump Shot,[],1626192,23.866622864651774,8.57843137254902,1610612749,28,23,2022-01-29T03:35:51Z,1130000,207.0,172.0,1,left,MISS P. Connaughton 26' running pullup 3PT,[1626192],1610612749.0,MIL,running pullup,,,Connaughton,P. Connaughton,,,,,,,,26.91,Missed,,,,,,,,,,,,,,,,
115,PT02M58.00S,2022-01-29T03:33:43.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,28,23,2022-01-29T03:33:48Z,1140000,,,0,,J. Randle REBOUND (Off:1 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,114.0,4.0,3.0,1.0,,,,,,,,
116,PT02M50.00S,2022-01-29T03:33:58.9Z,1,REGULAR,foul,technical,['1freethrow'],203507,,,1610612752,28,23,2022-01-29T03:37:47Z,1150000,,,0,,G. Antetokounmpo defensive-3-second technical FOUL (1 Tech),[203507],1610612749.0,MIL,defensive-3-second,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,1193.0,0.0,1.0,,,,,
117,PT02M50.00S,2022-01-29T03:34:11.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,28,23,2022-01-29T03:34:11Z,1160000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M50.00S,2022-01-29T03:37:48.3Z,1,REGULAR,freethrow,1 of 1,[],202692,,,1610612752,28,24,2022-01-29T03:37:48Z,1170000,,,0,,A. Burks technical Free Throw 1 of 1 (1 PTS),[202692],1610612752.0,NYK,technical,,,Burks,A. Burks,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
121,PT02M38.00S,2022-01-29T03:38:09.8Z,1,REGULAR,turnover,lost ball,[],1629628,,,1610612752,28,24,2022-01-29T03:38:35Z,1180000,,,0,,R. Barrett lost ball TURNOVER (1 TO),"[1629628, 203507]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,1.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,,
122,PT02M38.00S,2022-01-29T03:38:09.8Z,1,REGULAR,steal,,[],203507,,,1610612749,28,24,2022-01-29T03:38:13Z,1190000,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M21.00S,2022-01-29T03:38:26.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626192,7.703679369250986,76.9607843137255,1610612749,28,24,2022-01-29T03:38:30Z,1200000,-135.0,20.0,1,left,MISS P. Connaughton 13' Jump Shot,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,13.63,Missed,,,,,,,,,,,,,,,,
124,PT02M18.00S,2022-01-29T03:38:29.2Z,1,REGULAR,rebound,defensive,[],203457,,,1610612752,28,24,2022-01-29T03:38:30Z,1210000,,,0,,N. Noel REBOUND (Off:0 Def:2),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,123.0,2.0,2.0,0.0,,,,,,,,
125,PT02M10.00S,2022-01-29T03:38:46.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,28,24,2022-01-29T03:38:46Z,1220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M00.00S,2022-01-29T03:39:09.6Z,1,REGULAR,turnover,out-of-bounds,[],203944,,,1610612752,28,24,2022-01-29T03:39:20Z,1230000,,,0,,J. Randle bad pass out-of-bounds TURNOVER (2 TO),[203944],1610612752.0,NYK,bad pass,,,Randle,J. Randle,,,,,2.0,,,,,,,,,,,,,1193.0,,,,,,,
127,PT01M45.00S,2022-01-29T03:39:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202083,7.30946123521682,48.03921568627451,1610612749,30,24,2022-01-29T03:39:37Z,1240000,10.0,16.0,1,left,W. Matthews driving reverse Layup (2 PTS) (G. Antetokounmpo 1 AST),"[202083, 203507]",1610612749.0,MIL,driving reverse,,,Matthews,W. Matthews,,,,,,,,1.89,Made,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,
129,PT01M28.00S,2022-01-29T03:39:49.1Z,1,REGULAR,3pt,Jump Shot,[],1629628,69.99014454664915,20.588235294117645,1610612752,30,24,2022-01-29T03:39:55Z,1260000,-147.0,230.0,1,right,MISS R. Barrett 27' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,27.27,Missed,,,,,,,,,,,,,,,,
130,PT01M24.00S,2022-01-29T03:39:53.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,30,24,2022-01-29T03:39:55Z,1270000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,129.0,2.0,2.0,0.0,,,,,,,,
131,PT01M19.00S,2022-01-29T03:39:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.30946123521682,46.568627450980394,1610612749,32,24,2022-01-29T03:40:29Z,1280000,17.0,16.0,1,left,G. Antetokounmpo driving finger roll Layup (11 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,2.36,Made,11.0,,,,,,,,,,,,,,,
132,PT01M12.00S,2022-01-29T03:40:09.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612752,32,24,2022-01-29T03:40:09Z,1290000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M12.00S,2022-01-29T03:41:03.5Z,1,REGULAR,substitution,out,[],1626192,,,1610612752,32,24,2022-01-29T03:41:42Z,1300000,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M12.00S,2022-01-29T03:41:03.5Z,1,REGULAR,substitution,out,[],1629628,,,1610612752,32,24,2022-01-29T03:41:42Z,1310000,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M12.00S,2022-01-29T03:41:03.5Z,1,REGULAR,substitution,in,[],201950,,,1610612752,32,24,2022-01-29T03:41:42Z,1320000,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M12.00S,2022-01-29T03:41:03.5Z,1,REGULAR,substitution,in,[],1630193,,,1610612752,32,24,2022-01-29T03:41:42Z,1330000,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M00.00S,2022-01-29T03:41:56.6Z,1,REGULAR,3pt,Jump Shot,[],1629656,70.12155059132719,14.705882352941178,1610612752,32,27,2022-01-29T03:42:02Z,1340000,-176.0,228.0,1,right,Q. Grimes 28' 3PT  (3 PTS) (I. Quickley 1 AST),"[1629656, 1630193]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,28.86,Made,3.0,I. Quickley,1630193.0,1.0,,,,,,,,,,,,
139,PT00M52.00S,2022-01-29T03:42:07.5Z,1,REGULAR,2pt,Jump Shot,[],203507,20.45006570302234,62.99019607843137,1610612749,34,27,2022-01-29T03:42:12Z,1360000,-65.0,140.0,1,left,G. Antetokounmpo 15' pullup Jump Shot (13 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,15.41,Made,13.0,,,,,,,,,,,,,,,
140,PT00M42.10S,2022-01-29T03:42:19.6Z,1,REGULAR,3pt,Jump Shot,[],1630193,67.23061760840999,24.509803921568626,1610612752,34,27,2022-01-29T03:42:24Z,1370000,-127.0,256.0,1,right,MISS I. Quickley 28' pullup 3PT,[1630193],1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,,,,28.55,Missed,,,,,,,,,,,,,,,,
141,PT00M39.20S,2022-01-29T03:42:22.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,34,27,2022-01-29T03:42:24Z,1380000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,140.0,3.0,3.0,0.0,,,,,,,,
142,PT00M33.10S,2022-01-29T03:42:28.9Z,1,REGULAR,3pt,Jump Shot,[],201950,7.440867279894875,96.07843137254902,1610612749,37,27,2022-01-29T03:42:39Z,1390000,-230.0,17.0,1,left,J. Holiday 3PT  (8 PTS) (G. Antetokounmpo 2 AST),"[201950, 203507]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,23.11,Made,8.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,,,
144,PT00M15.00S,2022-01-29T03:42:50.8Z,1,REGULAR,3pt,Jump Shot,[],1630193,70.51576872536137,75.98039215686273,1610612752,37,30,2022-01-29T03:43:02Z,1410000,130.0,225.0,1,right,I. Quickley 25' 3PT step back (3 PTS) (J. Randle 2 AST),"[1630193, 203944]",1610612752.0,NYK,step back,,,Quickley,I. Quickley,,,,,,,,25.95,Made,3.0,J. Randle,203944.0,2.0,,,,,,,,,,,,
146,PT00M01.60S,2022-01-29T03:43:07.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628978,7.046649145860711,51.470588235294116,1610612749,39,30,2022-01-29T03:43:16Z,1430000,-7.0,14.0,1,left,D. DiVincenzo reverse Layup (2 PTS) (J. Holiday 4 AST),"[1628978, 201950]",1610612749.0,MIL,reverse,,,DiVincenzo,D. DiVincenzo,,,,,,,,1.56,Made,2.0,J. Holiday,201950.0,4.0,,,,,,,,,,,,
148,PT00M00.00S,2022-01-29T03:43:21.5Z,1,REGULAR,period,end,[],0,,,1610612752,39,30,2022-01-29T03:43:21Z,1450000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2022-01-29T03:45:09.0Z,2,REGULAR,substitution,out,['startperiod'],201588,,,1610612752,39,30,2022-01-29T03:46:35Z,1460000,,,0,,SUB out: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2022-01-29T03:45:09.0Z,2,REGULAR,substitution,out,['startperiod'],203944,,,1610612752,39,30,2022-01-29T03:46:35Z,1470000,,,0,,SUB out: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2022-01-29T03:45:09.0Z,2,REGULAR,substitution,in,['startperiod'],1628960,,,1610612752,39,30,2022-01-29T03:46:35Z,1480000,,,0,,SUB in: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2022-01-29T03:45:09.0Z,2,REGULAR,substitution,in,['startperiod'],1630167,,,1610612752,39,30,2022-01-29T03:46:35Z,1490000,,,0,,SUB in: O. Toppin,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2022-01-29T03:46:52.8Z,2,REGULAR,period,start,[],0,,,1610612749,39,30,2022-01-29T03:46:52Z,1500000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT11M47.00S,2022-01-29T03:47:06.0Z,2,REGULAR,turnover,bad pass,[],201950,,,1610612749,39,30,2022-01-29T03:50:20Z,1510000,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 203457]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,1.0,Noel,203457.0,,,,,,,,,,,,,,,,,,
155,PT11M47.00S,2022-01-29T03:47:06.0Z,2,REGULAR,steal,,[],203457,,,1610612752,39,30,2022-01-29T03:47:08Z,1520000,,,0,,N. Noel STEAL (1 STL),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT11M46.00S,2022-01-29T03:47:11.7Z,2,REGULAR,foul,personal,[],202083,,,1610612752,39,30,2022-01-29T03:47:20Z,1530000,,,0,,W. Matthews personal FOUL (1 PF),"[202083, 1630167]",1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Toppin,1630167.0,,,
158,PT11M35.00S,2022-01-29T03:47:31.2Z,2,REGULAR,turnover,lost ball,[],203457,,,1610612752,39,30,2022-01-29T03:47:38Z,1550000,,,0,,N. Noel lost ball TURNOVER (1 TO),"[203457, 201950]",1610612752.0,NYK,,,,Noel,N. Noel,,,,,1.0,Holiday,201950.0,,,,,,,,,,,,,,,,,,
159,PT11M35.00S,2022-01-29T03:47:31.2Z,2,REGULAR,steal,,[],201950,,,1610612749,39,30,2022-01-29T03:47:34Z,1560000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT11M28.00S,2022-01-29T03:47:37.3Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202083,9.937582128777924,95.58823529411765,1610612749,39,30,2022-01-29T03:47:43Z,1570000,-228.0,41.0,1,left,MISS W. Matthews running 3PT,[202083],1610612749.0,MIL,running,,,Matthews,W. Matthews,,,,,,,,23.15,Missed,,,,,,,,,,,,,,,,
161,PT11M25.00S,2022-01-29T03:47:40.3Z,2,REGULAR,rebound,defensive,[],203457,,,1610612752,39,30,2022-01-29T03:47:43Z,1580000,,,0,,N. Noel REBOUND (Off:0 Def:3),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,160.0,3.0,3.0,0.0,,,,,,,,
162,PT11M18.00S,2022-01-29T03:47:48.0Z,2,REGULAR,2pt,Jump Shot,[],1630193,76.42904073587385,34.80392156862745,1610612752,39,30,2022-01-29T03:47:53Z,1590000,-76.0,169.0,1,right,MISS I. Quickley 18' pullup Shot,[1630193],1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,,,,18.54,Missed,,,,,,,,,,,,,,,,
163,PT11M15.00S,2022-01-29T03:47:51.0Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,39,30,2022-01-29T03:47:53Z,1600000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,162.0,4.0,4.0,0.0,,,,,,,,
164,PT11M10.00S,2022-01-29T03:47:59.5Z,2,REGULAR,foul,personal,['2freethrow'],203457,,,1610612749,39,30,2022-01-29T03:49:43Z,1610000,,,0,,N. Noel flagrant-type-1 personal FOUL (1 PF) (Antetokounmpo 2 FT),"[203457, 203507]",1610612752.0,NYK,flagrant-type-1,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Antetokounmpo,203507.0,,,
166,PT11M10.00S,2022-01-29T03:48:40.3Z,2,REGULAR,instantreplay,request,[],0,,,1610612749,39,30,2022-01-29T04:42:35Z,1630000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,,,,,,,,201245.0,,,,,Common Foul to Flagrant 1,,
167,PT11M10.00S,2022-01-29T03:50:04.9Z,2,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,40,30,2022-01-29T03:52:10Z,1640000,,,0,,G. Antetokounmpo flagrant Free Throw 1 of 2 (14 PTS),[203507],1610612749.0,MIL,flagrant,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,Made,14.0,,,,,,,,,,,,,,,
168,PT11M10.00S,2022-01-29T03:50:04.9Z,2,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,41,30,2022-01-29T03:52:10Z,1650000,,,0,,G. Antetokounmpo flagrant Free Throw 2 of 2 (15 PTS),[203507],1610612749.0,MIL,flagrant,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,Made,15.0,,,,,,,,,,,,,,,
169,PT10M54.00S,2022-01-29T03:50:59.6Z,2,REGULAR,3pt,Jump Shot,[],201950,4.944152431011826,95.09803921568627,1610612749,44,30,2022-01-29T03:51:04Z,1660000,-225.0,-6.0,1,left,J. Holiday 3PT step back (11 PTS),[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,,,,22.56,Made,11.0,,,,,,,,,,,,,,,
170,PT10M35.00S,2022-01-29T03:51:18.8Z,2,REGULAR,3pt,Jump Shot,[],202692,66.44218134034165,39.46078431372549,1610612752,44,33,2022-01-29T03:51:26Z,1670000,-53.0,263.0,1,right,A. Burks 26' 3PT step back (4 PTS),[202692],1610612752.0,NYK,step back,,,Burks,A. Burks,,,,,,,,26.81,Made,4.0,,,,,,,,,,,,,,,
171,PT10M17.00S,2022-01-29T03:51:41.0Z,2,REGULAR,foul,personal,[],203457,,,1610612749,44,33,2022-01-29T03:51:51Z,1680000,,,0,,N. Noel personal FOUL (2 PF),"[203457, 203507]",1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,1193.0,2.0,0.0,Antetokounmpo,203507.0,,,
173,PT10M11.00S,2022-01-29T03:52:03.3Z,2,REGULAR,3pt,Jump Shot,[],203507,35.43035479632063,45.588235294117645,1610612749,44,33,2022-01-29T03:52:07Z,1700000,22.0,281.0,1,left,MISS G. Antetokounmpo 28' 3PT,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,28.14,Missed,,,,,,,,,,,,,,,,
174,PT10M09.00S,2022-01-29T03:52:05.3Z,2,REGULAR,rebound,defensive,[],1629656,,,1610612752,44,33,2022-01-29T03:52:07Z,1710000,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,173.0,1.0,1.0,0.0,,,,,,,,
175,PT10M01.00S,2022-01-29T03:52:14.0Z,2,REGULAR,3pt,Jump Shot,[],1629656,73.40670170827858,11.519607843137255,1610612752,44,33,2022-01-29T03:52:25Z,1720000,-192.0,197.0,1,right,MISS Q. Grimes 27' 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,27.57,Missed,,,,,,,,,,,,,,,,
176,PT09M57.00S,2022-01-29T03:52:16.9Z,2,REGULAR,rebound,defensive,[],1628960,,,1610612749,44,33,2022-01-29T03:52:16Z,1730000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,175.0,1.0,1.0,0.0,,,,,,,,
