actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
88,PT04M28.00S,2021-12-19T02:24:23.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628386,93.38042049934296,50.245098039215684,1610612739,15,20,2021-12-19T02:24:29Z,880000,1.0,10.0,1,right,J. Allen cutting Layup (2 PTS) (R. Rubio 3 AST),"[1628386, 201937]",1610612739.0,CLE,cutting,,,,,,0.98,Made,Allen,J. Allen,,,,,,,,2.0,R. Rubio,201937.0,3.0,,,,,,,,
90,PT04M12.00S,2021-12-19T02:24:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,10.988830486202366,46.568627450980394,1610612749,15,20,2021-12-19T02:24:44Z,900000,17.0,51.0,1,left,MISS S. Mamukelashvili driving Layup,[1630572],1610612749.0,MIL,driving,,,,,,5.36,Missed,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,
91,PT04M09.00S,2021-12-19T02:24:42.1Z,1,REGULAR,rebound,defensive,[],201937,,,1610612739,15,20,2021-12-19T02:24:42Z,910000,,,0,,R. Rubio REBOUND (Off:0 Def:1),[201937],1610612739.0,CLE,,,,,,,,,Rubio,R. Rubio,90.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
92,PT04M07.00S,2021-12-19T02:24:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626224,92.85479632063075,50.245098039215684,1610612739,15,22,2021-12-19T02:24:53Z,920000,1.0,15.0,1,right,C. Osman running Layup (2 PTS) (R. Rubio 4 AST),"[1626224, 201937]",1610612739.0,CLE,running,,,,,,1.47,Made,Osman,C. Osman,,,,,,,,2.0,R. Rubio,201937.0,4.0,,,,,,,,
94,PT04M01.00S,2021-12-19T02:24:55.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,15,22,2021-12-19T02:24:55Z,940000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M01.00S,2021-12-19T02:27:12.6Z,1,REGULAR,substitution,out,[],1629670,,,1610612749,15,22,2021-12-19T02:27:41Z,950000,,,0,,SUB out: J. Nwora,[1629670],1610612749.0,MIL,,,,,,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,
96,PT04M01.00S,2021-12-19T02:27:12.6Z,1,REGULAR,substitution,out,[],1629636,,,1610612749,15,22,2021-12-19T02:27:41Z,960000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,,,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,
97,PT04M01.00S,2021-12-19T02:27:12.6Z,1,REGULAR,substitution,out,[],1628386,,,1610612749,15,22,2021-12-19T02:27:41Z,970000,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,,,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,
98,PT04M01.00S,2021-12-19T02:27:12.6Z,1,REGULAR,substitution,in,[],1628400,,,1610612749,15,22,2021-12-19T02:27:41Z,980000,,,0,,SUB in: S. Ojeleye,[1628400],1610612749.0,MIL,,,,,,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,
99,PT04M01.00S,2021-12-19T02:27:12.6Z,1,REGULAR,substitution,in,[],1629685,,,1610612749,15,22,2021-12-19T02:27:41Z,990000,,,0,,SUB in: D. Windler,[1629685],1610612739.0,CLE,,,,,,,,,Windler,D. Windler,,,,,,,,,,,,,,,,,,,
100,PT04M01.00S,2021-12-19T02:27:12.6Z,1,REGULAR,substitution,in,[],1628374,,,1610612749,15,22,2021-12-19T02:27:41Z,1000000,,,0,,SUB in: L. Markkanen,[1628374],1610612739.0,CLE,,,,,,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,
101,PT03M50.00S,2021-12-19T02:28:00.0Z,1,REGULAR,3pt,Jump Shot,[],1630572,9.017739816031538,2.696078431372549,1610612749,18,22,2021-12-19T02:28:05Z,1010000,237.0,32.0,1,left,S. Mamukelashvili 3PT  (3 PTS) (J. Smart 1 AST),"[1630572, 1630606]",1610612749.0,MIL,,,,,,,23.87,Made,Mamukelashvili,S. Mamukelashvili,,,,,,,,3.0,J. Smart,1630606.0,1.0,,,,,,,,
103,PT03M34.00S,2021-12-19T02:28:15.5Z,1,REGULAR,3pt,Jump Shot,[],1626224,91.40932982917214,4.166666666666666,1610612739,18,25,2021-12-19T02:28:21Z,1030000,-229.0,28.0,1,right,C. Osman 3PT  (5 PTS) (R. Rubio 5 AST),"[1626224, 201937]",1610612739.0,CLE,,,,,,,23.09,Made,Osman,C. Osman,,,,,,,,5.0,R. Rubio,201937.0,5.0,,,,,,,,
105,PT03M16.00S,2021-12-19T02:28:34.5Z,1,REGULAR,3pt,Jump Shot,[],1628400,20.318659658344284,91.91176470588235,1610612749,18,25,2021-12-19T02:28:41Z,1050000,-210.0,138.0,1,left,MISS S. Ojeleye 25' 3PT,[1628400],1610612749.0,MIL,,,,,,,25.12,Missed,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,
106,PT03M10.00S,2021-12-19T02:28:39.6Z,1,REGULAR,rebound,defensive,[],1629685,,,1610612739,18,25,2021-12-19T02:28:39Z,1060000,,,0,,D. Windler REBOUND (Off:0 Def:1),[1629685],1610612739.0,CLE,,,,,,,,,Windler,D. Windler,105.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
107,PT03M00.00S,2021-12-19T02:28:50.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628374,89.96386333771353,45.34313725490196,1610612739,18,27,2021-12-19T02:28:54Z,1070000,-23.0,42.0,1,right,L. Markkanen turnaround Hook (2 PTS) (K. Love 1 AST),"[1628374, 201567]",1610612739.0,CLE,turnaround,,,,,,4.79,Made,Markkanen,L. Markkanen,,,,,,,,2.0,K. Love,201567.0,1.0,,,,,,,,
109,PT02M50.00S,2021-12-19T02:29:00.4Z,1,REGULAR,2pt,Jump Shot,[],1630606,26.363337713534822,51.470588235294116,1610612749,18,27,2021-12-19T02:29:05Z,1090000,-7.0,195.0,1,left,MISS J. Smart 19' pullup Shot - blocked,"[1630606, 201937]",1610612749.0,MIL,pullup,,,,,,19.54,Missed,Smart,J. Smart,,,,,,,,,,,,,,,,,Rubio,201937.0,
110,PT02M50.00S,2021-12-19T02:29:00.4Z,1,REGULAR,block,,[],201937,,,1610612749,18,27,2021-12-19T02:29:03Z,1100000,,,0,,R. Rubio BLOCK (1 BLK),[201937],1610612739.0,CLE,,,,,,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,
111,PT02M46.00S,2021-12-19T02:29:04.4Z,1,REGULAR,rebound,defensive,[],1626224,,,1610612739,18,27,2021-12-19T02:29:05Z,1110000,,,0,,C. Osman REBOUND (Off:1 Def:1),[1626224],1610612739.0,CLE,,,,,,,,,Osman,C. Osman,109.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
112,PT02M43.00S,2021-12-19T02:29:08.3Z,1,REGULAR,2pt,Jump Shot,[],201937,77.4802890932983,37.00980392156863,1610612739,18,27,2021-12-19T02:29:14Z,1120000,-65.0,159.0,1,right,MISS R. Rubio 17' Jump Shot,[201937],1610612739.0,CLE,,,,,,,17.2,Missed,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,
113,PT02M43.00S,2021-12-19T02:29:11.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,18,27,2021-12-19T02:29:11Z,1130000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,112.0,,,,,,,,,,,,,,,,,,
114,PT02M43.00S,2021-12-19T02:29:12.6Z,1,REGULAR,foul,personal,[],203648,,,1610612739,18,27,2021-12-19T02:29:29Z,1140000,,,0,,T. Antetokounmpo loose ball personal FOUL (1 PF),"[203648, 1628374]",1610612749.0,MIL,loose ball,,,,,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,1627964.0,1.0,0.0,Markkanen,1628374.0,,,
116,PT02M33.00S,2021-12-19T02:29:36.5Z,1,REGULAR,turnover,bad pass,[],201937,,,1610612739,18,27,2021-12-19T02:29:42Z,1160000,,,0,,R. Rubio bad pass TURNOVER (2 TO),"[201937, 1626192]",1610612739.0,CLE,,,,,,,,,Rubio,R. Rubio,,,,,2.0,Connaughton,1626192.0,,,,,,,,,,,,
117,PT02M33.00S,2021-12-19T02:29:36.5Z,1,REGULAR,steal,,[],1626192,,,1610612749,18,27,2021-12-19T02:29:40Z,1170000,,,0,,P. Connaughton STEAL (1 STL),[1626192],1610612749.0,MIL,,,,,,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,
118,PT02M26.00S,2021-12-19T02:29:47.8Z,1,REGULAR,foul,personal,[],1629685,,,1610612749,18,27,2021-12-19T02:30:01Z,1180000,,,0,,D. Windler personal FOUL (1 PF),"[1629685, 1628400]",1610612739.0,CLE,,,,,,,,,Windler,D. Windler,,,,,,,,,,,,1627964.0,1.0,0.0,Ojeleye,1628400.0,,,
120,PT02M26.00S,2021-12-19T02:29:56.7Z,1,REGULAR,substitution,out,[],1630572,,,1610612749,18,27,2021-12-19T02:30:03Z,1200000,,,0,,SUB out: S. Mamukelashvili,[1630572],1610612749.0,MIL,,,,,,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,
121,PT02M26.00S,2021-12-19T02:29:56.7Z,1,REGULAR,substitution,in,[],1629670,,,1610612749,18,27,2021-12-19T02:30:03Z,1210000,,,0,,SUB in: J. Nwora,[1629670],1610612749.0,MIL,,,,,,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,
122,PT02M15.00S,2021-12-19T02:30:22.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630606,21.369908015768726,47.05882352941176,1610612749,18,27,2021-12-19T02:30:29Z,1220000,15.0,148.0,1,left,MISS J. Smart 14' pullup Shot,[1630606],1610612749.0,MIL,pullup,,,,,,14.91,Missed,Smart,J. Smart,,,,,,,,,,,,,,,,,,,
123,PT02M12.00S,2021-12-19T02:30:26.3Z,1,REGULAR,rebound,offensive,[],1628400,,,1610612749,18,27,2021-12-19T02:30:26Z,1230000,,,0,,S. Ojeleye REBOUND (Off:1 Def:0),[1628400],1610612749.0,MIL,,,,,,,,,Ojeleye,S. Ojeleye,122.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
124,PT02M08.00S,2021-12-19T02:30:30.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626192,34.773324572930356,62.745098039215684,1610612749,18,27,2021-12-19T02:30:34Z,1240000,-64.0,274.0,1,left,MISS P. Connaughton 28' 3PT,[1626192],1610612749.0,MIL,,,,,,,28.17,Missed,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,
125,PT02M05.00S,2021-12-19T02:30:33.6Z,1,REGULAR,rebound,offensive,[],1629670,,,1610612749,18,27,2021-12-19T02:30:34Z,1250000,,,0,,J. Nwora REBOUND (Off:2 Def:2),[1629670],1610612749.0,MIL,,,,,,,,,Nwora,J. Nwora,124.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
126,PT02M02.00S,2021-12-19T02:30:36.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629670,20.97568988173456,5.88235294117647,1610612749,18,27,2021-12-19T02:30:40Z,1260000,221.0,145.0,1,left,MISS J. Nwora 26' 3PT,[1629670],1610612749.0,MIL,,,,,,,26.38,Missed,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,
127,PT02M00.00S,2021-12-19T02:30:38.3Z,1,REGULAR,rebound,defensive,[],1626224,,,1610612739,18,27,2021-12-19T02:30:40Z,1270000,,,0,,C. Osman REBOUND (Off:1 Def:2),[1626224],1610612739.0,CLE,,,,,,,,,Osman,C. Osman,126.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
128,PT01M57.00S,2021-12-19T02:30:45.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1626224,91.93495400788436,52.20588235294118,1610612739,18,29,2021-12-19T02:31:12Z,1280000,11.0,23.0,1,right,C. Osman running Layup (7 PTS) (K. Love 2 AST),"[1626224, 201567]",1610612739.0,CLE,running,,,,,,2.58,Made,Osman,C. Osman,,,,,,,,7.0,K. Love,201567.0,2.0,,,,,,,,
130,PT01M57.00S,2021-12-19T02:30:52.1Z,1,REGULAR,violation,defensive goaltending,[],203648,,,1610612739,18,29,2021-12-19T02:31:12Z,1300000,,,0,,T. Antetokounmpo defensive goaltending VIOLATION,[203648],1610612749.0,MIL,,,,,,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,101283.0,,,,,,,
131,PT01M42.00S,2021-12-19T02:31:06.7Z,1,REGULAR,3pt,Jump Shot,[],1628400,10.068988173455978,3.431372549019608,1610612749,18,29,2021-12-19T02:31:15Z,1310000,233.0,42.0,1,left,MISS S. Ojeleye 3PT,[1628400],1610612749.0,MIL,,,,,,,23.66,Missed,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,
132,PT01M39.00S,2021-12-19T02:31:09.8Z,1,REGULAR,rebound,defensive,[],1629685,,,1610612739,18,29,2021-12-19T02:31:09Z,1320000,,,0,,D. Windler REBOUND (Off:0 Def:2),[1629685],1610612739.0,CLE,,,,,,,,,Windler,D. Windler,131.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
133,PT01M31.00S,2021-12-19T02:31:17.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628374,91.27792378449409,50.49019607843137,1610612739,18,29,2021-12-19T03:12:08Z,1330000,2.0,29.0,1,right,MISS L. Markkanen cutting DUNK,[1628374],1610612739.0,CLE,cutting,,,,,,2.96,Missed,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,
134,PT01M31.00S,2021-12-19T02:31:19.9Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612749,18,29,2021-12-19T02:31:19Z,1340000,,,0,,S. Ojeleye REBOUND (Off:1 Def:1),[1628400],1610612749.0,MIL,,,,,,,,,Ojeleye,S. Ojeleye,133.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
135,PT01M31.00S,2021-12-19T02:31:22.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626224,,,1610612749,18,29,2021-12-19T02:31:40Z,1350000,,,0,,C. Osman take personal FOUL (1 PF) (Ojeleye 2 FT),"[1626224, 1628400]",1610612739.0,CLE,take,,,,,,,,Osman,C. Osman,,,,,,,,,,,,1627964.0,1.0,0.0,Ojeleye,1628400.0,,,
137,PT01M31.00S,2021-12-19T02:31:49.9Z,1,REGULAR,freethrow,1 of 2,[],1628400,,,1610612749,19,29,2021-12-19T02:31:49Z,1370000,,,0,,S. Ojeleye Free Throw 1 of 2 (1 PTS),[1628400],1610612749.0,MIL,,,,,,,,Made,Ojeleye,S. Ojeleye,,,,,,,,1.0,,,,,,,,,,,
138,PT01M31.00S,2021-12-19T02:31:50.7Z,1,REGULAR,substitution,out,[],1626192,,,1610612749,19,29,2021-12-19T02:31:56Z,1380000,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,,,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,
139,PT01M31.00S,2021-12-19T02:31:50.7Z,1,REGULAR,substitution,in,[],1630572,,,1610612749,19,29,2021-12-19T02:31:56Z,1390000,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612749.0,MIL,,,,,,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,
140,PT01M31.00S,2021-12-19T02:32:10.2Z,1,REGULAR,freethrow,2 of 2,[],1628400,,,1610612749,20,29,2021-12-19T02:32:10Z,1400000,,,0,,S. Ojeleye Free Throw 2 of 2 (2 PTS),[1628400],1610612749.0,MIL,,,,,,,,Made,Ojeleye,S. Ojeleye,,,,,,,,2.0,,,,,,,,,,,
141,PT01M21.00S,2021-12-19T02:32:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201937,82.86793692509855,58.333333333333336,1610612739,20,31,2021-12-19T02:32:25Z,1410000,42.0,109.0,1,right,R. Rubio 11' driving floating Jump Shot (2 PTS),[201937],1610612739.0,CLE,driving floating,,,,,,11.62,Made,Rubio,R. Rubio,,,,,,,,2.0,,,,,,,,,,,
142,PT01M00.00S,2021-12-19T02:32:42.7Z,1,REGULAR,3pt,Jump Shot,[],1630606,33.722076215505915,30.392156862745097,1610612749,20,31,2021-12-19T02:32:51Z,1420000,98.0,264.0,1,left,MISS J. Smart 28' step back 3PT,[1630606],1610612749.0,MIL,step back,,,,,,28.21,Missed,Smart,J. Smart,,,,,,,,,,,,,,,,,,,
143,PT00M57.60S,2021-12-19T02:32:45.1Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,20,31,2021-12-19T02:32:45Z,1430000,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612739.0,CLE,,,,,,,,,Love,K. Love,142.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
144,PT00M52.20S,2021-12-19T02:32:50.6Z,1,REGULAR,3pt,Jump Shot,[],1626224,67.36202365308804,70.83333333333334,1610612739,20,34,2021-12-19T02:33:16Z,1440000,104.0,254.0,1,right,C. Osman 27' 3PT  (10 PTS) (R. Rubio 6 AST),"[1626224, 201937]",1610612739.0,CLE,,,,,,,27.48,Made,Osman,C. Osman,,,,,,,,10.0,R. Rubio,201937.0,6.0,,,,,,,,
164,PT00M33.80S,2021-12-19T02:33:27.0Z,1,REGULAR,3pt,Jump Shot,[],1628400,29.221419185282528,24.019607843137265,1610612749,20,34,2021-12-19T02:37:37Z,1455000,130.0,222.0,1,left,MISS S. Ojeleye 25' 3PT,[1628400],1610612749.0,MIL,,,,,,,25.74,Missed,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,
165,PT00M31.40S,2021-12-19T02:33:29.4Z,1,REGULAR,rebound,defensive,[],201937,,,1610612739,20,34,2021-12-19T02:37:56Z,1457500,,,0,,R. Rubio REBOUND (Off:0 Def:2),[201937],1610612739.0,CLE,,,,,,,,,Rubio,R. Rubio,164.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
175,PT00M27.70S,2021-12-19T02:33:45.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628374,91.11366622864652,47.549019607843135,1610612739,20,34,2021-12-19T02:38:57Z,1458750,-12.0,31.0,1,right,MISS L. Markkanen running Layup - blocked,"[1628374, 1630606]",1610612739.0,CLE,running,,,,,,3.34,Missed,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,Smart,1630606.0,
176,PT00M27.70S,2021-12-19T02:33:45.2Z,1,REGULAR,block,,[],1630606,,,1610612739,20,34,2021-12-19T02:38:54Z,1459375,,,0,,J. Smart BLOCK (1 BLK),[1630606],1610612749.0,MIL,,,,,,,,,Smart,J. Smart,,,,,,,,,,,,,,,,,,,
177,PT00M26.70S,2021-12-19T02:33:46.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,20,34,2021-12-19T03:15:30Z,1459687,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,
146,PT00M26.70S,2021-12-19T02:34:03.4Z,1,REGULAR,jumpball,recovered,[],1629685,,,1610612739,20,34,2021-12-19T03:15:46Z,1460000,,,0,,Jump Ball L. Markkanen vs. J. Smart: Tip to D. Windler,"[1629685, 1628374, 1630606]",1610612739.0,CLE,heldball,D. Windler,Markkanen,1628374.0,Smart,1630606.0,,,Windler,D. Windler,,,,,,,,,,,,,,,,,,,1629685.0
185,PT00M08.40S,2021-12-19T02:34:11.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628374,95.05584756898817,4.166666666666657,1610612739,20,34,2021-12-19T02:39:59Z,1482500,-229.0,-6.0,1,right,MISS L. Markkanen 3PT,[1628374],1610612739.0,CLE,,,,,,,22.93,Missed,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,
186,PT00M05.60S,2021-12-19T02:34:14.4Z,1,REGULAR,rebound,offensive,[],1626224,,,1610612739,20,34,2021-12-19T02:39:59Z,1483750,,,0,,C. Osman REBOUND (Off:2 Def:2),[1626224],1610612739.0,CLE,,,,,,,,,Osman,C. Osman,185.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
151,PT00M01.00S,2021-12-19T02:34:19.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201567,74.06373193166885,10.294117647058822,1610612739,20,34,2021-12-19T02:39:59Z,1485000,-199.0,191.0,1,right,MISS K. Love 27' 3PT,[201567],1610612739.0,CLE,,,,,,,27.57,Missed,Love,K. Love,,,,,,,,,,,,,,,,,,,
152,PT00M01.00S,2021-12-19T02:34:19.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,20,34,2021-12-19T02:35:29Z,1487500,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,151.0,,,,,,,,,,,,,,,,,,
153,PT00M00.00S,2021-12-19T02:35:44.4Z,1,REGULAR,period,end,[],0,,,1610612739,20,34,2021-12-19T02:35:44Z,1530000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2021-12-19T02:36:30.2Z,2,REGULAR,substitution,out,['startperiod'],1628400,,,1610612739,20,34,2021-12-19T02:36:52Z,1540000,,,0,,SUB out: S. Ojeleye,[1628400],1610612749.0,MIL,,,,,,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2021-12-19T02:36:30.2Z,2,REGULAR,substitution,out,['startperiod'],203648,,,1610612739,20,34,2021-12-19T02:36:52Z,1550000,,,0,,SUB out: T. Antetokounmpo,[203648],1610612749.0,MIL,,,,,,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2021-12-19T02:36:30.2Z,2,REGULAR,substitution,in,['startperiod'],202326,,,1610612739,20,34,2021-12-19T02:36:52Z,1560000,,,0,,SUB in: D. Cousins,[202326],1610612749.0,MIL,,,,,,,,,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-12-19T02:36:30.2Z,2,REGULAR,substitution,in,['startperiod'],201588,,,1610612739,20,34,2021-12-19T02:36:52Z,1570000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,,,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-12-19T02:36:51.8Z,2,REGULAR,period,start,[],0,,,1610612739,20,34,2021-12-19T02:36:52Z,1580000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M47.00S,2021-12-19T02:37:04.5Z,2,REGULAR,turnover,bad pass,[],201937,,,1610612739,20,34,2021-12-19T02:37:11Z,1590000,,,0,,R. Rubio bad pass TURNOVER (3 TO),"[201937, 202326]",1610612739.0,CLE,,,,,,,,,Rubio,R. Rubio,,,,,3.0,Cousins,202326.0,,,,,,,,,,,,
160,PT11M47.00S,2021-12-19T02:37:04.5Z,2,REGULAR,steal,,[],202326,,,1610612749,20,34,2021-12-19T02:37:09Z,1600000,,,0,,D. Cousins STEAL (3 STL),[202326],1610612749.0,MIL,,,,,,,,,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,
161,PT11M32.00S,2021-12-19T02:37:18.6Z,2,REGULAR,turnover,bad pass,[],1630606,,,1610612749,20,34,2021-12-19T02:37:23Z,1610000,,,0,,J. Smart bad pass TURNOVER (1 TO),"[1630606, 1626224]",1610612749.0,MIL,,,,,,,,,Smart,J. Smart,,,,,1.0,Osman,1626224.0,,,,,,,,,,,,
162,PT11M32.00S,2021-12-19T02:37:18.6Z,2,REGULAR,steal,,[],1626224,,,1610612739,20,34,2021-12-19T02:37:21Z,1620000,,,0,,C. Osman STEAL (1 STL),[1626224],1610612739.0,CLE,,,,,,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,
163,PT11M30.00S,2021-12-19T02:37:23.8Z,2,REGULAR,turnover,out-of-bounds,[],1626224,,,1610612739,20,34,2021-12-19T02:37:33Z,1630000,,,0,,C. Osman bad pass out-of-bounds TURNOVER (1 TO),[1626224],1610612739.0,CLE,bad pass,,,,,,,,Osman,C. Osman,,,,,1.0,,,,,,,1627964.0,,,,,,,
166,PT11M17.00S,2021-12-19T02:37:41.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629670,7.703679369250986,44.36274509803921,1610612749,20,34,2021-12-19T02:42:44Z,1640000,28.0,20.0,1,left,MISS J. Nwora driving Layup,[1629670],1610612749.0,MIL,driving,,,,,,3.45,Missed,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,
167,PT11M15.00S,2021-12-19T02:37:43.8Z,2,REGULAR,rebound,offensive,[],202326,,,1610612749,20,34,2021-12-19T02:42:44Z,1650000,,,0,,D. Cousins REBOUND (Off:3 Def:1),[202326],1610612749.0,MIL,,,,,,,,,Cousins,D. Cousins,166.0,4.0,1.0,3.0,,,,,,,,,,,,,,,
168,PT11M14.00S,2021-12-19T02:37:44.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202326,8.09789750328515,47.30392156862745,1610612749,20,34,2021-12-19T02:43:07Z,1660000,13.0,24.0,1,left,MISS D. Cousins putback Layup,[202326],1610612749.0,MIL,putback,,,,,,2.72,Missed,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,
169,PT11M13.00S,2021-12-19T02:37:45.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612749,20,34,2021-12-19T02:43:18Z,1670000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,168.0,,,,,,,,,,,,,,,,,,
170,PT11M13.00S,2021-12-19T02:37:49.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,20,34,2021-12-19T02:37:49Z,1680000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT11M07.00S,2021-12-19T02:38:07.4Z,2,REGULAR,turnover,lost ball,[],1630572,,,1610612749,20,34,2021-12-19T02:38:13Z,1690000,,,0,,S. Mamukelashvili lost ball TURNOVER (1 TO),"[1630572, 201937]",1610612749.0,MIL,,,,,,,,,Mamukelashvili,S. Mamukelashvili,,,,,1.0,Rubio,201937.0,,,,,,,,,,,,
172,PT11M07.00S,2021-12-19T02:38:07.4Z,2,REGULAR,steal,,[],201937,,,1610612739,20,34,2021-12-19T02:38:10Z,1700000,,,0,,R. Rubio STEAL (2 STL),[201937],1610612739.0,CLE,,,,,,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,
173,PT11M03.00S,2021-12-19T02:38:15.8Z,2,REGULAR,foul,personal,[],202326,,,1610612739,20,34,2021-12-19T02:38:43Z,1710000,,,0,,D. Cousins personal FOUL (2 PF),"[202326, 1628374]",1610612749.0,MIL,,,,,,,,,Cousins,D. Cousins,,,,,,,,,,,,202026.0,2.0,0.0,Markkanen,1628374.0,,,
