actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
87,PT06M06.00S,2022-11-03T00:22:05.2Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,11,19,2022-11-03T00:22:09Z,870000,,,0,,T. Jones REBOUND (Off:0 Def:3),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,86.0,3.0,3.0,0.0,,,,,,,,,,
88,PT05M52.00S,2022-11-03T00:22:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628380,87.07293035479631,53.92156862745098,1610612759,13,19,2022-11-03T00:22:33Z,880000,20.0,69.0,1,right,Z. Collins 7' driving Layup (2 PTS) (D. McDermott 1 AST),"[1628380, 203926]",1610612759.0,SAS,driving,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,7.17,Made,2.0,,,,,D. McDermott,203926.0,1.0,,,,,,,
90,PT05M39.00S,2022-11-03T00:22:32.5Z,1,REGULAR,3pt,Jump Shot,[],1628384,26.757555847568987,82.35294117647058,1610612761,13,19,2022-11-03T00:22:38Z,900000,-162.0,199.0,1,left,MISS O. Anunoby 25' pullup 3PT,[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,25.65,Missed,,,,,,,,,,,,,,,
91,PT05M36.00S,2022-11-03T00:22:35.5Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612759,13,19,2022-11-03T00:22:38Z,910000,,,0,,R. Langford REBOUND (Off:0 Def:1),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Above the Break 3,24+ Left Center,,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,
92,PT05M30.00S,2022-11-03T00:22:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,93.9060446780552,44.6078431372549,1610612759,15,19,2022-11-03T00:22:48Z,920000,-27.0,5.0,1,right,D. McDermott cutting Layup (2 PTS) (Z. Collins 1 AST),"[203926, 1628380]",1610612759.0,SAS,cutting,,,McDermott,D. McDermott,,,,,Restricted Area,0-8 Center,,,,2.74,Made,2.0,,,,,Z. Collins,1628380.0,1.0,,,,,,,
94,PT05M14.00S,2022-11-03T00:22:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,6.915243101182654,47.05882352941176,1610612761,15,19,2022-11-03T00:23:06Z,940000,15.0,13.0,1,left,MISS P. Siakam driving finger roll Layup,[1627783],1610612761.0,TOR,driving finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,1.93,Missed,,,,,,,,,,,,,,,
95,PT05M10.00S,2022-11-03T00:23:00.9Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,15,19,2022-11-03T00:23:00Z,950000,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,
96,PT05M07.00S,2022-11-03T00:23:04.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203926,94.43166885676742,1.9607843137254901,1610612759,18,19,2022-11-03T00:23:14Z,960000,-240.0,0.0,1,right,D. McDermott 24' 3PT  (5 PTS) (T. Jones 4 AST),"[203926, 1630200]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Left Corner 3,24+ Left,,,,24.02,Made,5.0,,,,,T. Jones,1630200.0,4.0,,,,,,,
98,PT05M06.00S,2022-11-03T00:23:10.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,18,19,2022-11-03T00:23:11Z,980000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT05M06.00S,2022-11-03T00:25:44.2Z,1,REGULAR,substitution,out,[],1630200,,,1610612761,18,19,2022-11-03T00:26:30Z,990000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT05M06.00S,2022-11-03T00:25:44.2Z,1,REGULAR,substitution,out,[],1628384,,,1610612761,18,19,2022-11-03T00:26:30Z,1000000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT05M06.00S,2022-11-03T00:25:44.2Z,1,REGULAR,substitution,out,[],1631132,,,1610612761,18,19,2022-11-03T00:26:30Z,1010000,,,0,,SUB out: C. Koloko,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT05M06.00S,2022-11-03T00:25:44.2Z,1,REGULAR,substitution,in,[],1626196,,,1610612761,18,19,2022-11-03T00:26:30Z,1020000,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT05M06.00S,2022-11-03T00:25:44.2Z,1,REGULAR,substitution,in,[],203920,,,1610612761,18,19,2022-11-03T00:26:30Z,1030000,,,0,,SUB in: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT05M06.00S,2022-11-03T00:25:44.2Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,18,19,2022-11-03T00:26:30Z,1040000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M51.00S,2022-11-03T00:26:32.6Z,1,REGULAR,foul,personal,[],1626196,,,1610612761,18,19,2022-11-03T00:26:45Z,1050000,,,0,,J. Richardson personal FOUL (1 PF),"[1626196, 1627783]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,204058.0,1.0,0.0,Siakam,1627783.0,,
107,PT04M42.00S,2022-11-03T00:26:42.6Z,1,REGULAR,3pt,Jump Shot,[],1627783,26.49474375821288,14.705882352941178,1610612761,18,22,2022-11-03T00:26:54Z,1070000,176.0,197.0,1,left,P. Siakam 26' 3PT  (3 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,26.42,Made,3.0,,,,,,,,,,,,,,
108,PT04M21.00S,2022-11-03T00:27:02.7Z,1,REGULAR,3pt,Jump Shot,[],203926,67.23061760840999,69.36274509803921,1610612759,18,22,2022-11-03T00:27:11Z,1080000,97.0,256.0,1,right,MISS D. McDermott 27' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Right Center,,,,27.32,Missed,,,,,,,,,,,,,,,
109,PT04M19.00S,2022-11-03T00:27:04.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,18,22,2022-11-03T00:27:11Z,1090000,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,,108.0,3.0,3.0,0.0,,,,,,,,,,
110,PT04M08.00S,2022-11-03T00:27:16.8Z,1,REGULAR,3pt,Jump Shot,[],1629018,22.815374507227332,90.19607843137256,1610612761,18,25,2022-11-03T00:27:22Z,1100000,-201.0,162.0,1,left,G. Trent Jr. 25' 3PT  (7 PTS) (P. Siakam 4 AST),"[1629018, 1627783]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,,,,25.82,Made,7.0,,,,,P. Siakam,1627783.0,4.0,,,,,,,
112,PT03M53.00S,2022-11-03T00:27:31.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628966,90.62089356110381,49.26470588235294,1610612759,20,25,2022-11-03T00:27:37Z,1120000,-4.0,36.0,1,right,K. Bates-Diop driving finger roll Layup (4 PTS) (J. Richardson 1 AST),"[1628966, 1626196]",1610612759.0,SAS,driving finger roll,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,,,,3.59,Made,4.0,,,,,J. Richardson,1626196.0,1.0,,,,,,,
114,PT03M43.00S,2022-11-03T00:27:44.5Z,1,REGULAR,foul,personal,[],1629641,,,1610612761,20,25,2022-11-03T00:27:57Z,1140000,,,0,,R. Langford personal FOUL (2 PF),"[1629641, 1627783]",1610612759.0,SAS,,,,Langford,R. Langford,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,202037.0,2.0,0.0,Siakam,1627783.0,,
116,PT03M43.00S,2022-11-03T00:27:50.5Z,1,REGULAR,substitution,out,[],1629641,,,1610612761,20,25,2022-11-03T00:28:11Z,1160000,,,0,,SUB out: R. Langford,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M43.00S,2022-11-03T00:27:50.5Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,20,25,2022-11-03T00:28:11Z,1170000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M43.00S,2022-11-03T00:27:50.5Z,1,REGULAR,substitution,out,[],1629018,,,1610612761,20,25,2022-11-03T00:28:11Z,1180000,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M43.00S,2022-11-03T00:27:50.5Z,1,REGULAR,substitution,in,[],1631103,,,1610612761,20,25,2022-11-03T00:28:11Z,1190000,,,0,,SUB in: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M43.00S,2022-11-03T00:27:50.5Z,1,REGULAR,substitution,in,[],1630625,,,1610612761,20,25,2022-11-03T00:28:11Z,1200000,,,0,,SUB in: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M43.00S,2022-11-03T00:27:50.5Z,1,REGULAR,substitution,in,[],1630173,,,1610612761,20,25,2022-11-03T00:28:11Z,1210000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M37.00S,2022-11-03T00:28:25.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,6.915243101182654,37.00980392156863,1610612761,20,25,2022-11-03T00:28:32Z,1220000,65.0,13.0,1,left,MISS P. Siakam 6' driving finger roll Layup,[1627783],1610612761.0,TOR,driving finger roll,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,6.62,Missed,,,,,,,,,,,,,,,
123,PT03M34.00S,2022-11-03T00:28:28.9Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,20,25,2022-11-03T00:28:32Z,1230000,,,0,,K. Bates-Diop REBOUND (Off:1 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,122.0,2.0,1.0,1.0,,,,,,,,,,
124,PT03M28.00S,2022-11-03T00:28:34.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626196,70.90998685939553,17.15686274509804,1610612759,20,25,2022-11-03T00:28:40Z,1240000,-164.0,221.0,1,right,MISS J. Richardson 27' 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,,,,27.52,Missed,,,,,,,,,,,,,,,
125,PT03M25.00S,2022-11-03T00:28:37.5Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,20,25,2022-11-03T00:28:40Z,1250000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Left Center,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,
127,PT03M09.00S,2022-11-03T00:29:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,6.521024967148489,38.23529411764706,1610612761,20,25,2022-11-03T00:29:25Z,1270000,59.0,9.0,1,left,MISS P. Achiuwa driving Layup - blocked,"[1630173, 1628380]",1610612761.0,TOR,driving,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,5.95,Missed,,,,,,,,,,,,,,Collins,1628380.0
128,PT03M09.00S,2022-11-03T00:29:09.4Z,1,REGULAR,block,,[],1628380,,,1610612761,20,25,2022-11-03T00:29:12Z,1280000,,,0,,Z. Collins BLOCK (1 BLK),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
129,PT03M06.00S,2022-11-03T00:29:12.4Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,20,25,2022-11-03T00:29:25Z,1290000,,,0,,Z. Collins REBOUND (Off:0 Def:2),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,127.0,2.0,2.0,0.0,,,,,,,,,,
130,PT03M04.00S,2022-11-03T00:29:16.2Z,1,REGULAR,foul,personal,['2freethrow'],1628449,,,1610612759,20,25,2022-11-03T00:29:27Z,1300000,,,0,,C. Boucher shooting personal FOUL (1 PF) (Richardson 2 FT),"[1628449, 1626196]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,202037.0,1.0,0.0,Richardson,1626196.0,,
132,PT03M04.00S,2022-11-03T00:30:04.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1626196,,,1610612759,21,25,2022-11-03T00:30:04Z,1320000,,,0,,J. Richardson Free Throw 1 of 2 (1 PTS),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
133,PT03M04.00S,2022-11-03T00:30:07.2Z,1,REGULAR,substitution,out,[],1628966,,,1610612759,21,25,2022-11-03T00:30:10Z,1330000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT03M04.00S,2022-11-03T00:30:07.2Z,1,REGULAR,substitution,in,[],1627751,,,1610612759,21,25,2022-11-03T00:30:10Z,1340000,,,0,,SUB in: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT03M04.00S,2022-11-03T00:30:30.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1626196,,,1610612759,22,25,2022-11-03T00:30:30Z,1350000,,,0,,J. Richardson Free Throw 2 of 2 (2 PTS),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
136,PT02M51.00S,2022-11-03T00:30:45.8Z,1,REGULAR,3pt,Jump Shot,[],1630625,29.6484888304862,78.67647058823529,1610612761,22,28,2022-11-03T00:30:51Z,1360000,-143.0,226.0,1,left,D. Banton 26' 3PT  (3 PTS) (P. Siakam 5 AST),"[1630625, 1627783]",1610612761.0,TOR,,,,Banton,D. Banton,,,,,Above the Break 3,24+ Left Center,,,,26.78,Made,3.0,,,,,P. Siakam,1627783.0,5.0,,,,,,,
138,PT02M41.00S,2022-11-03T00:30:56.0Z,1,REGULAR,2pt,Jump Shot,[],1626196,79.58278580814718,49.754901960784316,1610612759,22,28,2022-11-03T00:32:45Z,1380000,-1.0,139.0,1,right,MISS J. Richardson 13' driving floating Shot,[1626196],1610612759.0,SAS,driving floating,,,Richardson,J. Richardson,,,,,Mid-Range,8-16 Center,,,,13.94,Missed,,,,,,,,,,,,,,,
139,PT02M38.00S,2022-11-03T00:30:59.0Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,22,28,2022-11-03T00:30:59Z,1390000,,,0,,J. Poeltl REBOUND (Off:4 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Center,,,,,,,138.0,4.0,0.0,4.0,,,,,,,,,,
140,PT02M25.00S,2022-11-03T00:31:11.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631103,82.60512483574244,71.81372549019608,1610612759,24,28,2022-11-03T00:31:26Z,1400000,109.0,111.0,1,right,M. Branham 15' pullup Jump Shot (2 PTS) (J. Poeltl 1 AST),"[1631103, 1627751]",1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,Mid-Range,8-16 Right,,,,15.56,Made,2.0,,,,,J. Poeltl,1627751.0,1.0,,,,,,,
142,PT02M08.00S,2022-11-03T00:31:31.2Z,1,REGULAR,foul,offensive,[],203920,,,1610612761,24,28,2022-11-03T00:32:24Z,1420000,,,0,,K. Birch offensive FOUL (1 PF),"[203920, 1626196]",1610612761.0,TOR,,,,Birch,K. Birch,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,204058.0,1.0,0.0,Richardson,1626196.0,,
144,PT02M08.00S,2022-11-03T00:31:31.2Z,1,REGULAR,turnover,offensive foul,[],203920,,,1610612761,24,28,2022-11-03T00:32:24Z,1440000,,,0,,K. Birch offensive foul TURNOVER (1 TO),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,,,,,204058.0,,,,,,
145,PT01M53.00S,2022-11-03T00:32:03.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631103,69.72733245729303,73.77450980392157,1610612759,24,28,2022-11-03T00:32:10Z,1450000,119.0,232.0,1,right,MISS M. Branham 26' pullup 3PT,[1631103],1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,Above the Break 3,24+ Right Center,,,,26.08,Missed,,,,,,,,,,,,,,,
146,PT01M49.00S,2022-11-03T00:32:07.2Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,24,28,2022-11-03T00:32:10Z,1460000,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,,,,,,,145.0,2.0,2.0,0.0,,,,,,,,,,
147,PT01M36.00S,2022-11-03T00:32:19.2Z,1,REGULAR,2pt,Jump Shot,[],1627783,21.23850197109067,73.0392156862745,1610612761,24,30,2022-11-03T00:35:18Z,1470000,-115.0,147.0,1,left,P. Siakam 18' step back Jump Shot (5 PTS),[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,,,,18.68,Made,5.0,,,,,,,,,,,,,,
148,PT01M24.00S,2022-11-03T00:32:31.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203926,85.75886990801577,44.85294117647059,1610612759,26,30,2022-11-03T00:32:44Z,1480000,-26.0,81.0,1,right,D. McDermott 8' pullup Jump Shot (7 PTS),[203926],1610612759.0,SAS,pullup,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),8-16 Center,,,,8.54,Made,7.0,,,,,,,,,,,,,,
149,PT01M13.00S,2022-11-03T00:32:42.2Z,1,REGULAR,3pt,Jump Shot,[],1630173,11.645860709592641,2.2058823529411766,1610612761,26,30,2022-11-03T00:32:53Z,1490000,239.0,57.0,1,left,MISS P. Achiuwa 24' 3PT,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Right Corner 3,24+ Right,,,,24.57,Missed,,,,,,,,,,,,,,,
150,PT01M13.00S,2022-11-03T00:32:42.2Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612759,26,30,2022-11-03T00:32:53Z,1500000,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Right Corner 3,24+ Right,,,,,,,149.0,1.0,1.0,0.0,,,,,,,,,,
151,PT01M00.00S,2022-11-03T00:33:00.1Z,1,REGULAR,turnover,bad pass,[],1626196,,,1610612759,26,30,2022-11-03T00:33:10Z,1510000,,,0,,J. Richardson bad pass TURNOVER (1 TO),"[1626196, 1630173]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Right Center,1.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,
152,PT01M00.00S,2022-11-03T00:33:00.1Z,1,REGULAR,steal,,[],1630173,,,1610612761,26,30,2022-11-03T00:33:03Z,1520000,,,0,,P. Achiuwa STEAL (1 STL),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
154,PT01M00.00S,2022-11-03T00:33:05.2Z,1,REGULAR,turnover,out-of-bounds,[],1627783,,,1610612761,26,30,2022-11-03T00:33:36Z,1540000,,,0,,P. Siakam bad pass out-of-bounds TURNOVER (1 TO),[1627783],1610612761.0,TOR,bad pass,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,1.0,,,,,,,,,,,,,204058.0,,,,,,
156,PT00M51.60S,2022-11-03T00:33:47.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628380,91.67214191852825,40.931372549019606,1610612759,26,30,2022-11-03T00:34:04Z,1560000,-45.0,26.0,1,right,MISS Z. Collins driving Layup - blocked,"[1628380, 1630625]",1610612759.0,SAS,driving,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,5.21,Missed,,,,,,,,,,,,,,Banton,1630625.0
157,PT00M51.60S,2022-11-03T00:33:47.9Z,1,REGULAR,block,,[],1630625,,,1610612759,26,30,2022-11-03T00:33:50Z,1570000,,,0,,D. Banton BLOCK (1 BLK),[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
158,PT00M49.40S,2022-11-03T00:33:50.1Z,1,REGULAR,rebound,offensive,[],1628380,,,1610612759,26,30,2022-11-03T00:34:04Z,1580000,,,0,,Z. Collins REBOUND (Off:1 Def:2),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,156.0,3.0,2.0,1.0,,,,,,,,,,
159,PT00M49.40S,2022-11-03T00:33:54.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628380,94.40999984741211,50.0,1610612759,28,30,2022-11-03T00:33:54Z,1590000,0.0,0.0,1,right,Z. Collins putback Layup (4 PTS),[1628380],1610612759.0,SAS,putback,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Left,,,,0.0,Made,4.0,,,,,,,,,,,,,,
160,PT00M30.40S,2022-11-03T00:34:13.1Z,1,REGULAR,2pt,Jump Shot,[],1627783,20.318659658344284,69.36274509803921,1610612761,28,32,2022-11-03T00:34:28Z,1600000,-97.0,138.0,1,left,P. Siakam 16' step back Jump Shot (7 PTS),[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,,,,16.9,Made,7.0,,,,,,,,,,,,,,
161,PT00M17.60S,2022-11-03T00:34:33.6Z,1,REGULAR,foul,personal,[],1628449,,,1610612759,28,32,2022-11-03T00:35:04Z,1610000,,,0,,C. Boucher personal FOUL (2 PF),"[1628449, 203926]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,202037.0,2.0,0.0,McDermott,203926.0,,
163,PT00M12.50S,2022-11-03T00:34:56.8Z,1,REGULAR,3pt,Jump Shot,[],1626196,70.64717477003943,79.65686274509804,1610612759,31,32,2022-11-03T00:35:09Z,1630000,148.0,223.0,1,right,J. Richardson 26' 3PT  (5 PTS) (J. Poeltl 2 AST),"[1626196, 1627751]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Right Center,,,,26.81,Made,5.0,,,,,J. Poeltl,1627751.0,2.0,,,,,,,
165,PT00M04.00S,2022-11-03T00:35:13.1Z,1,REGULAR,foul,personal,[],1631103,,,1610612761,31,32,2022-11-03T00:35:19Z,1650000,,,0,,M. Branham personal FOUL (1 PF),"[1631103, 1630625]",1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,204058.0,1.0,0.0,Banton,1630625.0,,
167,PT00M04.00S,2022-11-03T00:35:29.5Z,1,REGULAR,substitution,out,[],1628449,,,1610612761,31,32,2022-11-03T00:35:35Z,1670000,,,0,,SUB out: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M04.00S,2022-11-03T00:35:29.5Z,1,REGULAR,substitution,in,[],1629018,,,1610612761,31,32,2022-11-03T00:35:35Z,1680000,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT00M00.80S,2022-11-03T00:35:47.9Z,1,REGULAR,2pt,Jump Shot,[],1627783,19.267411300919843,24.509803921568626,1610612761,31,32,2022-11-03T00:35:58Z,1690000,127.0,129.0,1,left,MISS P. Siakam 18' pullup Shot,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Right Center,,,,18.11,Missed,,,,,,,,,,,,,,,
170,PT00M00.80S,2022-11-03T00:35:47.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,31,32,2022-11-03T00:35:58Z,1700000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,,169.0,,,,,,,,,,,,,
171,PT00M00.00S,2022-11-03T00:35:55.5Z,1,REGULAR,period,end,[],0,,,1610612761,31,32,2022-11-03T00:35:55Z,1710000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2022-11-03T00:38:19.8Z,2,REGULAR,substitution,out,['startperiod'],1626196,,,1610612761,31,32,2022-11-03T00:38:37Z,1720000,,,0,,SUB out: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2022-11-03T00:38:19.8Z,2,REGULAR,substitution,out,['startperiod'],1631103,,,1610612761,31,32,2022-11-03T00:38:37Z,1730000,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2022-11-03T00:38:19.8Z,2,REGULAR,substitution,out,['startperiod'],1628380,,,1610612761,31,32,2022-11-03T00:38:37Z,1740000,,,0,,SUB out: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
