actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
606,PT01M25.00S,2022-11-10T03:13:00.9Z,4,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,111,112,2022-11-10T03:13:00Z,6000000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,605.0,,,,,,,,,,,,,
607,PT01M25.00S,2022-11-10T03:13:18.9Z,4,REGULAR,freethrow,2 of 2,[],1629640,,,1610612759,112,112,2022-11-10T03:13:18Z,6010000,False,,,0,,K. Johnson Free Throw 2 of 2 (16 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Made,16.0,,,,,,,,,,,,,,,,,
608,PT01M07.00S,2022-11-10T03:13:39.6Z,4,REGULAR,3pt,Jump Shot,[],1629630,31.35676741130092,59.068627450980394,1610612763,112,112,2022-11-10T03:13:47Z,6020000,False,-45.0,242.0,1,left,MISS J. Morant 24' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,24.65,Missed,,,,,,,,,,,,,,,,,,
609,PT01M02.00S,2022-11-10T03:13:44.6Z,4,REGULAR,rebound,defensive,[],1630200,,,1610612759,112,112,2022-11-10T03:13:47Z,6030000,False,,,0,,T. Jones REBOUND (Off:0 Def:3),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,,,,,,,608.0,3.0,3.0,0.0,,,,,,,,,,
610,PT00M42.80S,2022-11-10T03:14:04.8Z,4,REGULAR,2pt,Jump Shot,[],1630170,75.77201051248358,62.5,1610612759,112,112,2022-11-10T03:14:14Z,6040000,False,62.0,175.0,1,right,MISS D. Vassell 18' step back Shot,[1630170],1610612759.0,SAS,step back,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right Center,18.6,Missed,,,,,,,,,,,,,,,,,,
611,PT00M41.60S,2022-11-10T03:14:10.0Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612759,112,112,2022-11-10T03:14:10Z,6050000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,,610.0,,,,,,,,,,,,,
613,PT00M30.30S,2022-11-10T03:14:51.3Z,4,REGULAR,2pt,Jump Shot,['2ndchance'],1630200,77.4802890932983,50.245098039215684,1610612759,112,112,2022-11-10T03:14:56Z,6070000,False,1.0,159.0,1,right,MISS T. Jones 15' pullup Shot,[1630200],1610612759.0,SAS,pullup,,,Jones,T. Jones,,,,,Mid-Range,8-16 Center,15.92,Missed,,,,,,,,,,,,,,,,,,
614,PT00M27.40S,2022-11-10T03:14:54.2Z,4,REGULAR,rebound,defensive,[],203500,,,1610612763,112,112,2022-11-10T03:14:54Z,6080000,False,,,0,,S. Adams REBOUND (Off:10 Def:7),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Mid-Range,8-16 Center,,,,,,,613.0,17.0,7.0,10.0,,,,,,,,,,
615,PT00M06.80S,2022-11-10T03:15:17.7Z,4,REGULAR,2pt,Jump Shot,[],1628415,21.107095926412615,61.274509803921575,1610612763,112,112,2022-11-10T03:16:23Z,6090000,False,-56.0,146.0,1,left,MISS D. Brooks 15' pullup Shot,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Center,15.64,Missed,,,,,,,,,,,,,,,,,,
616,PT00M06.60S,2022-11-10T03:15:17.9Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612763,112,112,2022-11-10T03:17:05Z,6100000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Mid-Range,8-16 Center,,,,,,,615.0,,,,,,,,,,,,,
