actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
87,PT05M08.00S,2023-02-04T01:24:01.0Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,17,12,2023-02-04T01:24:15Z,860000,False,,,0,,J. Embiid REBOUND (Off:0 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,86.0,4.0,4.0,0.0,,,,,,,,,
88,PT05M02.00S,2023-02-04T01:24:07.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201935,6.915243101182654,46.568627450980394,1610612755,17,14,2023-02-04T01:26:37Z,870000,False,17.0,13.0,1,left,J. Harden running Layup (3 PTS) (J. Embiid 1 AST),"[201935, 203954]",1610612755.0,PHI,running,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,,,2.13,Made,3.0,,,,,J. Embiid,203954.0,1.0,,,,,,
89,PT05M02.00S,2023-02-04T01:24:18.4Z,1,REGULAR,foul,technical,['1freethrow'],873,,,1610612759,17,14,2023-02-04T01:25:00Z,880000,False,,,0,,TEAM foul technical,[873],1610612759.0,SAS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,1628159.0,,,,,,,,,,,,,,,,
91,PT05M02.00S,2023-02-04T01:24:54.4Z,1,REGULAR,freethrow,1 of 1,[],201935,,,1610612759,17,15,2023-02-04T01:24:54Z,890000,False,,,0,,J. Harden technical Free Throw 1 of 1 (4 PTS),[201935],1610612755.0,PHI,technical,,,Harden,J. Harden,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
92,PT05M02.00S,2023-02-04T01:25:07.0Z,1,REGULAR,substitution,out,[],1626196,,,1610612759,17,15,2023-02-04T01:25:11Z,900000,False,,,0,,SUB out: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M02.00S,2023-02-04T01:25:07.0Z,1,REGULAR,substitution,out,[],1629001,,,1610612759,17,15,2023-02-04T01:25:11Z,910000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M02.00S,2023-02-04T01:25:07.0Z,1,REGULAR,substitution,in,[],1626169,,,1610612759,17,15,2023-02-04T01:25:11Z,920000,False,,,0,,SUB in: S. Johnson,[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M02.00S,2023-02-04T01:25:07.0Z,1,REGULAR,substitution,in,[],1630178,,,1610612759,17,15,2023-02-04T01:25:11Z,930000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M54.00S,2023-02-04T01:25:32.4Z,1,REGULAR,2pt,Jump Shot,[],1628380,78.9257555847569,46.568627450980394,1610612759,19,15,2023-02-04T01:26:11Z,940000,False,-17.0,146.0,1,right,Z. Collins 14' Jump Shot (2 PTS) (K. Johnson 2 AST),"[1628380, 1629640]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Center,,,,,14.66,Made,2.0,,,,,K. Johnson,1629640.0,2.0,,,,,,
97,PT04M42.00S,2023-02-04T01:25:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,7.046649145860711,46.07843137254902,1610612755,19,17,2023-02-04T01:26:25Z,950000,False,20.0,14.0,1,left,J. Embiid driving finger roll Layup (7 PTS) (J. Harden 3 AST),"[203954, 201935]",1610612755.0,PHI,driving finger roll,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,2.39,Made,7.0,,,,,J. Harden,201935.0,3.0,,,,,,
98,PT04M41.00S,2023-02-04T01:25:48.0Z,1,REGULAR,timeout,full,['team'],0,,,1610612759,19,17,2023-02-04T01:25:48Z,960000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M41.00S,2023-02-04T01:28:03.9Z,1,REGULAR,substitution,out,[],1628966,,,1610612759,19,17,2023-02-04T01:28:41Z,970000,False,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M41.00S,2023-02-04T01:28:03.9Z,1,REGULAR,substitution,out,[],202699,,,1610612759,19,17,2023-02-04T01:28:41Z,980000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M41.00S,2023-02-04T01:28:03.9Z,1,REGULAR,substitution,in,[],203926,,,1610612759,19,17,2023-02-04T01:28:41Z,990000,False,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M41.00S,2023-02-04T01:28:03.9Z,1,REGULAR,substitution,in,[],1627777,,,1610612759,19,17,2023-02-04T01:28:41Z,1000000,False,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M17.00S,2023-02-04T01:29:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,83.39356110381078,45.09803921568628,1610612759,19,17,2023-02-04T01:29:12Z,1010000,False,-25.0,104.0,1,right,MISS K. Johnson 10' driving floating Shot,[1629640],1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,10.65,Missed,,,,,,,,,,,,,,
105,PT04M14.00S,2023-02-04T01:29:07.3Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,19,17,2023-02-04T01:29:12Z,1020000,False,,,0,,P. Tucker REBOUND (Off:1 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,104.0,2.0,1.0,1.0,,,,,,,,,
106,PT03M54.00S,2023-02-04T01:29:27.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,11.12023653088042,56.61764705882353,1610612755,19,17,2023-02-04T01:29:33Z,1030000,False,-33.0,52.0,1,left,MISS J. Harden 6' driving floating Shot,[201935],1610612755.0,PHI,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.16,Missed,,,,,,,,,,,,,,
107,PT03M48.00S,2023-02-04T01:29:33.1Z,1,REGULAR,rebound,offensive,[],201935,,,1610612755,19,17,2023-02-04T01:29:33Z,1040000,False,,,0,,J. Harden REBOUND (Off:1 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,106.0,2.0,1.0,1.0,,,,,,,,,
108,PT03M48.00S,2023-02-04T01:29:33.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201935,5.590000152587891,50.0,1610612755,19,17,2023-02-04T01:29:39Z,1050000,False,0.0,0.0,1,left,MISS J. Harden tip Layup,[201935],1610612755.0,PHI,tip,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,,,0.0,Missed,,,,,,,,,,,,,,
109,PT03M48.00S,2023-02-04T01:29:33.1Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,19,17,2023-02-04T01:29:39Z,1060000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,108.0,1.0,1.0,0.0,,,,,,,,,
110,PT03M46.00S,2023-02-04T01:29:38.0Z,1,REGULAR,turnover,traveling,[],203926,,,1610612759,19,17,2023-02-04T01:29:44Z,1070000,False,,,0,,D. McDermott traveling TURNOVER (1 TO),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Mid-Range,16-24 Right Center,1.0,,,1626302.0,,,,,,,,,,,,,,,,
111,PT03M46.00S,2023-02-04T01:29:42.6Z,1,REGULAR,substitution,out,[],1631103,,,1610612755,19,17,2023-02-04T01:29:50Z,1080000,False,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M46.00S,2023-02-04T01:29:42.6Z,1,REGULAR,substitution,out,[],201935,,,1610612755,19,17,2023-02-04T01:29:50Z,1090000,False,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M46.00S,2023-02-04T01:29:42.6Z,1,REGULAR,substitution,in,[],1631104,,,1610612755,19,17,2023-02-04T01:29:50Z,1100000,False,,,0,,SUB in: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M46.00S,2023-02-04T01:29:42.6Z,1,REGULAR,substitution,in,[],1629003,,,1610612755,19,17,2023-02-04T01:29:50Z,1110000,False,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M38.00S,2023-02-04T01:30:11.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,29.911300919842315,23.774509803921568,1610612755,19,20,2023-02-04T01:30:42Z,1120000,False,131.0,229.0,1,left,T. Maxey 26' 3PT pullup (3 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,26.36,Made,3.0,,,,,,,,,,,,,
116,PT03M20.00S,2023-02-04T01:30:28.8Z,1,REGULAR,3pt,Jump Shot,[],1628380,66.5735873850197,66.91176470588235,1610612759,19,20,2023-02-04T01:30:33Z,1130000,False,85.0,262.0,1,right,MISS Z. Collins 27' 3PT,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Center,,,,,27.5,Missed,,,,,,,,,,,,,,
117,PT03M17.00S,2023-02-04T01:30:31.8Z,1,REGULAR,rebound,offensive,[],1626169,,,1610612759,19,20,2023-02-04T01:30:33Z,1140000,False,,,0,,S. Johnson REBOUND (Off:1 Def:0),[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,116.0,1.0,0.0,1.0,,,,,,,,,
118,PT03M10.00S,2023-02-04T01:30:38.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629640,92.85479632063075,52.69607843137255,1610612759,21,20,2023-02-04T01:30:44Z,1150000,False,13.0,15.0,1,right,K. Johnson driving finger roll Layup (5 PTS) (Z. Collins 1 AST),"[1629640, 1628380]",1610612759.0,SAS,driving finger roll,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,2.0,Made,5.0,,,,,Z. Collins,1628380.0,1.0,,,,,,
119,PT02M47.00S,2023-02-04T01:31:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,14.799605781865965,57.107843137254896,1610612755,21,20,2023-02-04T01:31:09Z,1160000,False,-36.0,87.0,1,left,MISS J. Embiid 9' turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,9.36,Missed,,,,,,,,,,,,,,
120,PT02M42.00S,2023-02-04T01:31:06.8Z,1,REGULAR,rebound,offensive,[],1630178,,,1610612755,21,20,2023-02-04T01:31:09Z,1170000,False,,,0,,T. Maxey REBOUND (Off:1 Def:0),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,119.0,1.0,0.0,1.0,,,,,,,,,
121,PT02M42.00S,2023-02-04T01:31:06.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630178,5.590000152587891,50.0,1610612755,21,20,2023-02-04T01:31:06Z,1180000,False,0.0,0.0,1,left,MISS T. Maxey tip Layup,[1630178],1610612755.0,PHI,tip,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Left,,,,,0.0,Missed,,,,,,,,,,,,,,
122,PT02M42.00S,2023-02-04T01:31:07.0Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,21,20,2023-02-04T01:31:07Z,1190000,False,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Mid-Range,8-16 Left,,,,,,,,121.0,1.0,1.0,0.0,,,,,,,,,
123,PT02M31.00S,2023-02-04T01:31:17.2Z,1,REGULAR,3pt,Jump Shot,[],1628380,68.9388961892247,23.774509803921568,1610612759,21,20,2023-02-04T01:31:22Z,1200000,False,-131.0,239.0,1,right,MISS Z. Collins 27' 3PT,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,,,,,27.3,Missed,,,,,,,,,,,,,,
124,PT02M28.00S,2023-02-04T01:31:20.2Z,1,REGULAR,rebound,defensive,[],1629003,,,1610612755,21,20,2023-02-04T01:31:22Z,1210000,False,,,0,,S. Milton REBOUND (Off:0 Def:1),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,Above the Break 3,24+ Left Center,,,,,,,,123.0,1.0,1.0,0.0,,,,,,,,,
125,PT02M25.00S,2023-02-04T01:31:26.1Z,1,REGULAR,foul,personal,[],1628380,,,1610612755,21,20,2023-02-04T01:32:09Z,1220000,False,,,0,,Z. Collins personal FOUL (1 PF),"[1628380, 203954]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,1626302.0,,,,,,,,,,,1.0,0.0,Embiid,203954.0,,
127,PT02M25.00S,2023-02-04T01:31:34.7Z,1,REGULAR,substitution,out,[],200782,,,1610612755,21,20,2023-02-04T01:31:51Z,1240000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M25.00S,2023-02-04T01:31:34.7Z,1,REGULAR,substitution,out,[],203954,,,1610612755,21,20,2023-02-04T01:31:51Z,1250000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M25.00S,2023-02-04T01:31:34.7Z,1,REGULAR,substitution,in,[],1629680,,,1610612755,21,20,2023-02-04T01:31:51Z,1260000,False,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M25.00S,2023-02-04T01:31:34.7Z,1,REGULAR,substitution,in,[],1626149,,,1610612755,21,20,2023-02-04T01:31:51Z,1270000,False,,,0,,SUB in: M. Harrell,[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M12.00S,2023-02-04T01:32:07.1Z,1,REGULAR,3pt,Jump Shot,[],1629680,8.754927726675426,2.450980392156863,1610612755,21,20,2023-02-04T01:32:15Z,1280000,False,238.0,30.0,1,left,MISS M. Thybulle 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,Right Corner 3,24+ Right,,,,,23.96,Missed,,,,,,,,,,,,,,
132,PT02M06.00S,2023-02-04T01:32:13.1Z,1,REGULAR,rebound,offensive,[],1626149,,,1610612755,21,20,2023-02-04T01:32:15Z,1290000,False,,,0,,M. Harrell REBOUND (Off:1 Def:0),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Right Corner 3,24+ Right,,,,,,,,131.0,1.0,0.0,1.0,,,,,,,,,
133,PT02M02.00S,2023-02-04T01:32:17.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629003,5.206964520367937,50.98039215686274,1610612755,21,22,2023-02-04T01:32:23Z,1300000,False,-5.0,-4.0,1,left,S. Milton driving Layup (2 PTS) (G. Niang 1 AST),"[1629003, 1627777]",1610612755.0,PHI,driving,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,,,,,0.61,Made,2.0,,,,,G. Niang,1627777.0,1.0,,,,,,
135,PT01M44.00S,2023-02-04T01:32:38.7Z,1,REGULAR,foul,personal,[],1626149,,,1610612759,21,22,2023-02-04T01:32:46Z,1320000,False,,,0,,M. Harrell personal FOUL (1 PF),"[1626149, 1628380]",1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,In The Paint (Non-RA),0-8 Center,,,,1626302.0,,,,,,,,,,,1.0,0.0,Collins,1628380.0,,
137,PT01M31.00S,2023-02-04T01:33:11.8Z,1,REGULAR,turnover,bad pass,[],1629640,,,1610612759,21,22,2023-02-04T01:33:19Z,1340000,False,,,0,,K. Johnson bad pass TURNOVER (2 TO),"[1629640, 1629003]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,2.0,Milton,1629003.0,,,,,,,,,,,,,,,,,
138,PT01M31.00S,2023-02-04T01:33:11.8Z,1,REGULAR,steal,,[],1629003,,,1610612755,21,22,2023-02-04T01:33:13Z,1350000,False,,,0,,S. Milton STEAL (1 STL),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
139,PT01M28.00S,2023-02-04T01:33:18.9Z,1,REGULAR,foul,personal,['2freethrow'],1631104,,,1610612755,21,22,2023-02-04T01:33:34Z,1360000,False,,,0,,B. Wesley shooting personal FOUL (1 PF) (Milton 2 FT),"[1631104, 1629003]",1610612759.0,SAS,shooting,,,Wesley,B. Wesley,,,,,In The Paint (Non-RA),0-8 Center,,,,1662.0,,,,,,,,,,,1.0,0.0,Milton,1629003.0,,
141,PT01M28.00S,2023-02-04T01:33:39.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629003,,,1610612755,21,23,2023-02-04T01:33:39Z,1380000,False,,,0,,S. Milton Free Throw 1 of 2 (3 PTS),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
142,PT01M28.00S,2023-02-04T01:33:40.7Z,1,REGULAR,substitution,out,[],1629640,,,1610612755,21,23,2023-02-04T01:33:56Z,1390000,False,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M28.00S,2023-02-04T01:33:40.7Z,1,REGULAR,substitution,in,[],1626196,,,1610612755,21,23,2023-02-04T01:33:56Z,1400000,False,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M28.00S,2023-02-04T01:34:02.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629003,,,1610612755,21,24,2023-02-04T01:34:02Z,1410000,False,,,0,,S. Milton Free Throw 2 of 2 (4 PTS),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
145,PT01M20.00S,2023-02-04T01:34:11.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626169,79.97700394218134,56.86274509803921,1610612759,21,24,2023-02-04T01:34:17Z,1420000,False,34.0,136.0,1,right,MISS S. Johnson 14' pullup Shot,[1626169],1610612759.0,SAS,pullup,,,Johnson,S. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,14.0,Missed,,,,,,,,,,,,,,
146,PT01M17.00S,2023-02-04T01:34:14.8Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612755,21,24,2023-02-04T01:34:17Z,1430000,False,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,145.0,1.0,1.0,0.0,,,,,,,,,
147,PT01M11.00S,2023-02-04T01:34:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629003,15.982260183968464,42.64705882352941,1610612755,21,24,2023-02-04T01:34:26Z,1440000,False,37.0,98.0,1,left,MISS S. Milton 10' floating Shot,[1629003],1610612755.0,PHI,floating,,,Milton,S. Milton,,,,,In The Paint (Non-RA),8-16 Center,,,,,10.44,Missed,,,,,,,,,,,,,,
148,PT01M09.00S,2023-02-04T01:34:23.1Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,21,24,2023-02-04T01:34:26Z,1450000,False,,,0,,Z. Collins REBOUND (Off:0 Def:2),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,147.0,2.0,2.0,0.0,,,,,,,,,
149,PT01M03.00S,2023-02-04T01:34:29.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631104,92.32917214191852,51.470588235294116,1610612759,23,24,2023-02-04T01:36:56Z,1460000,False,7.0,20.0,1,right,B. Wesley running finger roll Layup (2 PTS),[1631104],1610612759.0,SAS,running finger roll,,,Wesley,B. Wesley,,,,,Restricted Area,0-8 Center,,,,,2.1,Made,2.0,,,,,,,,,,,,,
150,PT00M50.90S,2023-02-04T01:34:42.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,13.222733245729303,44.36274509803921,1610612755,23,24,2023-02-04T01:37:17Z,1470000,False,28.0,72.0,1,left,MISS T. Maxey 7' fadeaway Shot,[1630178],1610612755.0,PHI,fadeaway,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.71,Missed,,,,,,,,,,,,,,
151,PT00M48.80S,2023-02-04T01:34:44.8Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,23,24,2023-02-04T01:34:46Z,1480000,False,,,0,,Z. Collins REBOUND (Off:0 Def:3),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,150.0,3.0,3.0,0.0,,,,,,,,,
152,PT00M42.90S,2023-02-04T01:34:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203926,89.83245729303549,36.51960784313725,1610612759,25,24,2023-02-04T01:34:58Z,1490000,False,-67.0,43.0,1,right,D. McDermott 8' driving floating bank Jump Shot (2 PTS) (J. Richardson 1 AST),"[203926, 1626196]",1610612759.0,SAS,driving floating bank,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),0-8 Center,,,,,8.0,Made,2.0,,,,,J. Richardson,1626196.0,1.0,,,,,,
154,PT00M26.80S,2023-02-04T01:35:11.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631104,,,1610612755,25,24,2023-02-04T01:35:38Z,1510000,False,,,0,,B. Wesley shooting personal FOUL (2 PF) (Maxey 2 FT),"[1631104, 1630178]",1610612759.0,SAS,shooting,,,Wesley,B. Wesley,,,,,In The Paint (Non-RA),0-8 Center,,,,1662.0,,,,,,,,,,,2.0,0.0,Maxey,1630178.0,,
156,PT00M26.80S,2023-02-04T01:35:39.3Z,1,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,25,25,2023-02-04T01:35:39Z,1530000,False,,,0,,T. Maxey Free Throw 1 of 2 (4 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
158,PT00M26.80S,2023-02-04T01:36:11.0Z,1,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,25,26,2023-02-04T01:36:11Z,1540000,False,,,0,,T. Maxey Free Throw 2 of 2 (5 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
159,PT00M05.30S,2023-02-04T01:36:34.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,87.07293035479631,36.76470588235294,1610612759,25,26,2023-02-04T01:36:40Z,1550000,False,-66.0,69.0,1,right,MISS J. Richardson 9' driving floating Shot,[1626196],1610612759.0,SAS,driving floating,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),8-16 Left,,,,,9.56,Missed,,,,,,,,,,,,,,
160,PT00M04.70S,2023-02-04T01:36:35.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,25,26,2023-02-04T01:36:40Z,1560000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,159.0,,,,,,,,,,,,
162,PT00M01.70S,2023-02-04T01:37:00.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626149,,,1610612759,25,26,2023-02-04T01:37:29Z,1580000,False,,,0,,M. Harrell shooting personal FOUL (2 PF) (Collins 2 FT),"[1626149, 1628380]",1610612755.0,PHI,shooting,,,Harrell,M. Harrell,,,,,Restricted Area,0-8 Center,,,,1662.0,,,,,,,,,,,2.0,0.0,Collins,1628380.0,,
164,PT00M01.70S,2023-02-04T01:37:30.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628380,,,1610612759,26,26,2023-02-04T01:37:30Z,1600000,False,,,0,,Z. Collins Free Throw 1 of 2 (3 PTS),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
165,PT00M01.70S,2023-02-04T01:37:31.2Z,1,REGULAR,substitution,out,[],1631104,,,1610612759,26,26,2023-02-04T01:37:33Z,1610000,False,,,0,,SUB out: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M01.70S,2023-02-04T01:37:31.2Z,1,REGULAR,substitution,in,[],1628966,,,1610612759,26,26,2023-02-04T01:37:33Z,1620000,False,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M01.70S,2023-02-04T01:37:30.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628380,,,1610612759,26,26,2023-02-04T01:37:58Z,1630000,False,,,0,,MISS Z. Collins Free Throw 2 of 2,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
168,PT00M01.70S,2023-02-04T01:37:30.3Z,1,REGULAR,rebound,defensive,[],1629003,,,1610612755,26,26,2023-02-04T01:37:58Z,1640000,False,,,0,,S. Milton REBOUND (Off:0 Def:2),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,167.0,2.0,2.0,0.0,,,,,,,,,
