actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
70,PT06M20.00S,2025-12-13T03:20:05.1Z,1,REGULAR,foul,personal,['2freethrow'],1642366,,,1610612750,12,14,2025-12-13T03:23:23Z,700000,False,,,0,,Q. Post shooting personal FOUL (1 PF) (Randle 2 FT),"[1642366, 203944]",1610612744.0,GSW,shooting,,,Post,Q. Post,,,,,In The Paint (Non-RA),8-16 Right,101284.0,,,,,,,,1.0,0.0,Randle,203944.0,,,,,,,,
72,PT06M20.00S,2025-12-13T03:20:11.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,12,14,2025-12-13T03:20:11Z,720000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M20.00S,2025-12-13T03:22:42.2Z,1,REGULAR,substitution,out,[],202710,,,1610612750,12,14,2025-12-13T03:23:12Z,730000,False,,,0,,SUB out: J. Butler III,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M20.00S,2025-12-13T03:22:42.2Z,1,REGULAR,substitution,out,[],1642366,,,1610612750,12,14,2025-12-13T03:23:12Z,740000,False,,,0,,SUB out: Q. Post,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M20.00S,2025-12-13T03:22:42.2Z,1,REGULAR,substitution,in,[],1630541,,,1610612750,12,14,2025-12-13T03:23:12Z,750000,False,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M20.00S,2025-12-13T03:22:42.2Z,1,REGULAR,substitution,in,[],1631218,,,1610612750,12,14,2025-12-13T03:23:12Z,760000,False,,,0,,SUB in: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M20.00S,2025-12-13T03:23:36.0Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612750,12,15,2025-12-13T03:23:36Z,770000,False,,,0,,J. Randle Free Throw 1 of 2 (6 PTS),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,Made,,,,,,,,,6.0,,,,,,,
78,PT06M20.00S,2025-12-13T03:23:53.1Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612750,12,16,2025-12-13T03:23:53Z,780000,False,,,0,,J. Randle Free Throw 2 of 2 (7 PTS),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,Made,,,,,,,,,7.0,,,,,,,
79,PT06M04.00S,2025-12-13T03:24:11.0Z,1,REGULAR,3pt,Jump Shot,[],201939,21.50131406044678,90.44117647058823,1610612744,12,16,2025-12-13T03:24:16Z,790000,False,-202.0,150.0,1,left,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,25.15,Missed,,,,,,,,,,,,,,,,
80,PT06M00.00S,2025-12-13T03:24:15.0Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,12,16,2025-12-13T03:24:16Z,800000,False,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,79.0,3.0,3.0,0.0,,,,,,,,,,,,
