actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
44,PT07M37.00S,2025-12-23T03:15:41.5Z,1,REGULAR,3pt,Jump Shot,[],1630217,24.392247043363994,87.25490196078431,1610612753,6,13,2025-12-23T03:15:46Z,430000,False,-186.0,177.0,1,left,D. Bane 25' 3PT  (8 PTS) (P. Banchero 1 AST),"[1630217, 1631094]",1610612753.0,ORL,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,,,25.68,Made,,,,,8.0,P. Banchero,1631094.0,1.0,,,,,,,,
46,PT07M27.00S,2025-12-23T03:15:51.4Z,1,REGULAR,3pt,Jump Shot,[],1630541,94.43166885676742,5.392156862745098,1610612744,9,13,2025-12-23T03:15:55Z,450000,False,-223.0,0.0,1,right,M. Moody 3PT  (3 PTS) (B. Podziemski 1 AST),"[1630541, 1641764]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,Left Corner 3,24+ Left,,,22.3,Made,,,,,3.0,B. Podziemski,1641764.0,1.0,,,,,,,,
48,PT07M18.00S,2025-12-23T03:16:02.1Z,1,REGULAR,foul,personal,['2freethrow'],1627780,,,1610612753,9,13,2025-12-23T03:16:13Z,470000,False,,,0,,G. Payton II shooting personal FOUL (1 PF) (Bane 2 FT),"[1627780, 1630217]",1610612744.0,GSW,shooting,,,Payton II,G. Payton II,,,,,Mid-Range,8-16 Left,201638.0,,,,,,,,,,,,,,1.0,0.0,Bane,1630217.0,,
50,PT07M18.00S,2025-12-23T03:16:30.3Z,1,REGULAR,freethrow,1 of 2,[],1630217,,,1610612753,9,14,2025-12-23T03:19:52Z,490000,False,,,0,,D. Bane Free Throw 1 of 2 (9 PTS),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,,,,,,Made,,,,,9.0,,,,,,,,,,,
51,PT07M18.00S,2025-12-23T03:16:37.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,9,14,2025-12-23T03:16:37Z,500000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M18.00S,2025-12-23T03:16:30.3Z,1,REGULAR,freethrow,2 of 2,[],1630217,,,1610612753,9,14,2025-12-23T03:19:52Z,510000,False,,,0,,MISS D. Bane Free Throw 2 of 2,[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
53,PT07M16.00S,2025-12-23T03:16:32.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,9,14,2025-12-23T03:19:52Z,520000,False,,,0,,D. Green REBOUND (Off:1 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,52.0,3.0,2.0,1.0,,,,,,,,,,,,
54,PT07M07.00S,2025-12-23T03:19:59.6Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,9,14,2025-12-23T03:20:02Z,530000,False,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 1626145]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,1.0,,,,,,,,,,,,,,,,,Jones,1626145.0
55,PT07M07.00S,2025-12-23T03:19:59.6Z,1,REGULAR,steal,,[],1626145,,,1610612753,9,14,2025-12-23T03:20:01Z,540000,False,,,0,,T. Jones STEAL (1 STL),[1626145],1610612753.0,ORL,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
57,PT06M46.00S,2025-12-23T03:20:37.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641710,16.90210249671485,74.75490196078431,1610612753,9,14,2025-12-23T03:20:42Z,560000,False,-124.0,106.0,1,left,MISS A. Black 16' pullup Shot,[1641710],1610612753.0,ORL,pullup,,,Black,A. Black,,,,,Mid-Range,16-24 Left Center,,,16.32,Missed,,,,,,,,,,,,,,,,
