actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
92,PT05M21.00S,2021-12-07T01:23:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,6.258212877792378,48.03921568627451,1610612750,15,22,2021-12-07T01:23:50Z,910000,10.0,6.0,1,left,K. Towns driving Layup (4 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,1.17,Made,,,,,,,,4.0,,,,,,,,,,,
93,PT05M09.00S,2021-12-07T01:23:54.8Z,1,REGULAR,2pt,Jump Shot,[],1628381,86.15308804204993,65.93137254901961,1610612737,15,22,2021-12-07T01:25:18Z,920000,80.0,78.0,1,right,MISS J. Collins 11' floating Shot,[1628381],1610612737.0,ATL,floating,,,Collins,J. Collins,,,,,11.13,Missed,,,,,,,,,,,,,,,,,,,
94,PT05M06.00S,2021-12-07T01:23:57.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,15,22,2021-12-07T01:23:59Z,930000,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,93.0,2.0,2.0,0.0,,,,,,,,,,,,,
95,PT04M59.00S,2021-12-07T01:24:04.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,6.258212877792378,52.69607843137255,1610612750,15,22,2021-12-07T01:24:10Z,940000,-13.0,6.0,1,left,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,1.49,Missed,,,,,,,,,,,,,,,,,,,
96,PT04M57.00S,2021-12-07T01:24:06.9Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,15,22,2021-12-07T01:24:10Z,950000,,,0,,J. Collins REBOUND (Off:1 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,95.0,3.0,2.0,1.0,,,,,,,,,,,,,
97,PT04M52.00S,2021-12-07T01:24:12.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,63.6826544021025,21.568627450980394,1610612737,15,25,2021-12-07T01:24:20Z,960000,-142.0,289.0,1,right,T. Young 32' 3PT pullup (8 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,32.2,Made,,,,,,,,8.0,,,,,,,,,,,
98,PT04M37.00S,2021-12-07T01:24:27.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,10.33180026281209,53.431372549019606,1610612750,15,25,2021-12-07T01:24:32Z,970000,-17.0,45.0,1,left,MISS K. Towns turnaround Hook,[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,4.78,Missed,,,,,,,,,,,,,,,,,,,
99,PT04M35.00S,2021-12-07T01:24:29.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,15,25,2021-12-07T01:24:32Z,980000,,,0,,J. Collins REBOUND (Off:1 Def:3),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,98.0,4.0,3.0,1.0,,,,,,,,,,,,,
100,PT04M29.00S,2021-12-07T01:24:35.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,68.28186596583443,71.07843137254902,1610612737,15,25,2021-12-07T01:24:41Z,990000,105.0,246.0,1,right,MISS T. Young 26' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,26.74,Missed,,,,,,,,,,,,,,,,,,,
101,PT04M25.00S,2021-12-07T01:24:39.7Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,15,25,2021-12-07T01:24:41Z,1000000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,100.0,2.0,2.0,0.0,,,,,,,,,,,,,
102,PT04M22.00S,2021-12-07T01:24:42.3Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630195,12.959921156373195,9.068627450980392,1610612750,15,25,2021-12-07T01:24:51Z,1010000,205.0,69.0,1,left,MISS L. Bolmaro 21' Jump Shot,[1630195],1610612750.0,MIN,,,,Bolmaro,L. Bolmaro,,,,,21.61,Missed,,,,,,,,,,,,,,,,,,,
103,PT04M19.00S,2021-12-07T01:24:45.3Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,15,25,2021-12-07T01:24:51Z,1020000,,,0,,J. Collins REBOUND (Off:1 Def:4),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,102.0,5.0,4.0,1.0,,,,,,,,,,,,,
104,PT03M56.00S,2021-12-07T01:25:07.1Z,1,REGULAR,3pt,Jump Shot,[],201568,74.06373193166885,16.911764705882355,1610612737,15,25,2021-12-07T01:25:12Z,1030000,-165.0,191.0,1,right,MISS D. Gallinari 25' pullup 3PT,[201568],1610612737.0,ATL,pullup,,,Gallinari,D. Gallinari,,,,,25.29,Missed,,,,,,,,,,,,,,,,,,,
105,PT03M54.00S,2021-12-07T01:25:09.1Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,15,25,2021-12-07T01:25:12Z,1040000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:3),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,104.0,3.0,3.0,0.0,,,,,,,,,,,,,
106,PT03M47.00S,2021-12-07T01:25:16.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,6.389618922470433,49.50980392156863,1610612750,17,25,2021-12-07T01:25:28Z,1050000,2.0,8.0,1,left,A. Edwards driving reverse Layup (6 PTS),[1630162],1610612750.0,MIN,driving reverse,,,Edwards,A. Edwards,,,,,0.8,Made,,,,,,,,6.0,,,,,,,,,,,
107,PT03M33.00S,2021-12-07T01:25:31.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,89.30683311432325,54.65686274509803,1610612737,17,25,2021-12-07T01:25:35Z,1060000,23.0,48.0,1,right,MISS T. Young driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,5.34,Missed,,,,,,,,,,,,,,,,,,,
108,PT03M30.00S,2021-12-07T01:25:34.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,17,25,2021-12-07T01:25:35Z,1070000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:4),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,107.0,4.0,4.0,0.0,,,,,,,,,,,,,
109,PT03M25.00S,2021-12-07T01:25:38.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,30.17411300919842,32.1078431372549,1610612750,17,25,2021-12-07T01:25:45Z,1080000,89.0,231.0,1,left,MISS A. Edwards 24' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,24.78,Missed,,,,,,,,,,,,,,,,,,,
110,PT03M22.00S,2021-12-07T01:25:41.4Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,17,25,2021-12-07T01:25:45Z,1090000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,109.0,1.0,1.0,0.0,,,,,,,,,,,,,
111,PT03M14.00S,2021-12-07T01:25:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201568,92.85479632063075,48.77450980392157,1610612737,17,27,2021-12-07T01:26:03Z,1100000,-6.0,15.0,1,right,D. Gallinari driving Layup (2 PTS),[201568],1610612737.0,ATL,driving,,,Gallinari,D. Gallinari,,,,,1.59,Made,,,,,,,,2.0,,,,,,,,,,,
112,PT03M14.00S,2021-12-07T01:25:54.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,17,27,2021-12-07T01:25:54Z,1110000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M14.00S,2021-12-07T01:28:00.2Z,1,REGULAR,substitution,out,[],1630162,,,1610612750,17,27,2021-12-07T01:28:32Z,1120000,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M14.00S,2021-12-07T01:28:00.2Z,1,REGULAR,substitution,out,[],1630195,,,1610612750,17,27,2021-12-07T01:28:32Z,1130000,,,0,,SUB out: L. Bolmaro,[1630195],1610612750.0,MIN,,,,Bolmaro,L. Bolmaro,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M14.00S,2021-12-07T01:28:00.2Z,1,REGULAR,substitution,out,[],1629020,,,1610612750,17,27,2021-12-07T01:28:32Z,1140000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M14.00S,2021-12-07T01:28:00.2Z,1,REGULAR,substitution,out,[],1628989,,,1610612750,17,27,2021-12-07T01:28:32Z,1150000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M14.00S,2021-12-07T01:28:00.2Z,1,REGULAR,substitution,out,[],1628381,,,1610612750,17,27,2021-12-07T01:28:32Z,1160000,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M14.00S,2021-12-07T01:28:00.2Z,1,REGULAR,substitution,in,[],1627736,,,1610612750,17,27,2021-12-07T01:28:32Z,1170000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M14.00S,2021-12-07T01:28:00.2Z,1,REGULAR,substitution,in,[],1629006,,,1610612750,17,27,2021-12-07T01:28:32Z,1180000,,,0,,SUB in: J. Okogie,[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M14.00S,2021-12-07T01:28:00.2Z,1,REGULAR,substitution,in,[],1629162,,,1610612750,17,27,2021-12-07T01:28:32Z,1190000,,,0,,SUB in: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M14.00S,2021-12-07T01:28:00.2Z,1,REGULAR,substitution,in,[],1626153,,,1610612750,17,27,2021-12-07T01:28:32Z,1200000,,,0,,SUB in: D. Wright,[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M14.00S,2021-12-07T01:28:00.2Z,1,REGULAR,substitution,in,[],203476,,,1610612750,17,27,2021-12-07T01:28:32Z,1210000,,,0,,SUB in: G. Dieng,[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M00.00S,2021-12-07T01:29:02.8Z,1,REGULAR,3pt,Jump Shot,[],1627736,5.995400788436268,3.1862745098039214,1610612750,17,27,2021-12-07T01:29:07Z,1220000,234.0,4.0,1,left,MISS M. Beasley 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,,
124,PT02M58.00S,2021-12-07T01:29:04.8Z,1,REGULAR,rebound,defensive,[],203476,,,1610612737,17,27,2021-12-07T01:29:07Z,1230000,,,0,,G. Dieng REBOUND (Off:0 Def:1),[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,123.0,1.0,1.0,0.0,,,,,,,,,,,,,
125,PT02M51.00S,2021-12-07T01:29:12.7Z,1,REGULAR,3pt,Jump Shot,[],201568,70.64717477003943,19.852941176470587,1610612737,17,30,2021-12-07T01:29:18Z,1240000,-151.0,223.0,1,right,D. Gallinari 26' 3PT  (5 PTS) (T. Young 5 AST),"[201568, 1629027]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,26.95,Made,,,,,,,,5.0,T. Young,1629027.0,5.0,,,,,,,,
127,PT02M38.00S,2021-12-07T01:29:24.7Z,1,REGULAR,2pt,Jump Shot,[],1626157,22.28975032851511,67.8921568627451,1610612750,17,30,2021-12-07T01:29:35Z,1260000,-89.0,157.0,1,left,MISS K. Towns 18' Jump Shot,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,18.07,Missed,,,,,,,,,,,,,,,,,,,
128,PT02M38.00S,2021-12-07T01:29:30.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,17,30,2021-12-07T01:29:30Z,1270000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,127.0,,,,,,,,,,,,,,,,
129,PT02M38.00S,2021-12-07T01:29:31.0Z,1,REGULAR,foul,personal,[],1626153,,,1610612750,17,30,2021-12-07T01:29:40Z,1280000,,,0,,D. Wright loose ball personal FOUL (1 PF),"[1626153, 1629006]",1610612737.0,ATL,loose ball,,,Wright,D. Wright,,,,,,,,,,,,,202027.0,,,,,,,,1.0,0.0,Okogie,1629006.0,
131,PT02M27.00S,2021-12-07T01:29:55.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,7.5722733245729295,56.127450980392155,1610612750,17,30,2021-12-07T01:30:00Z,1300000,-31.0,19.0,1,left,MISS K. Towns driving Layup - blocked,"[1626157, 203476]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,3.59,Missed,Dieng,203476.0,,,,,,,,,,,,,,,,,
132,PT02M27.00S,2021-12-07T01:29:55.5Z,1,REGULAR,block,,[],203476,,,1610612750,17,30,2021-12-07T01:29:58Z,1310000,,,0,,G. Dieng BLOCK (1 BLK),[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M25.00S,2021-12-07T01:29:57.5Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,17,30,2021-12-07T01:30:00Z,1320000,,,0,,D. Gallinari REBOUND (Off:0 Def:2),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,131.0,2.0,2.0,0.0,,,,,,,,,,,,,
134,PT02M16.00S,2021-12-07T01:30:06.5Z,1,REGULAR,3pt,Jump Shot,[],1627789,68.01289421813404,47.966452205882355,1610612737,17,30,2021-12-07T01:30:14Z,1330000,-10.0,248.0,1,right,MISS T. Luwawu-Cabarrot 24' 3PT,[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,24.84,Missed,,,,,,,,,,,,,,,,,,,
135,PT02M13.00S,2021-12-07T01:30:09.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,17,30,2021-12-07T01:30:14Z,1340000,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,134.0,3.0,3.0,0.0,,,,,,,,,,,,,
136,PT02M06.00S,2021-12-07T01:30:16.5Z,1,REGULAR,3pt,Jump Shot,[],1626157,31.225361366622867,65.44117647058823,1610612750,20,30,2021-12-07T01:30:22Z,1350000,-77.0,241.0,1,left,K. Towns 25' 3PT step back (7 PTS) (J. McLaughlin 1 AST),"[1626157, 1629162]",1610612750.0,MIN,step back,,,Towns,K. Towns,,,,,25.31,Made,,,,,,,,7.0,J. McLaughlin,1629162.0,1.0,,,,,,,,
138,PT01M53.00S,2021-12-07T01:30:33.7Z,1,REGULAR,timeout,full,['team'],0,,,1610612737,20,30,2021-12-07T01:30:33Z,1370000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M53.00S,2021-12-07T01:31:45.1Z,1,REGULAR,substitution,out,[],1627789,,,1610612737,20,30,2021-12-07T01:31:55Z,1380000,,,0,,SUB out: T. Luwawu-Cabarrot,[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M53.00S,2021-12-07T01:31:45.1Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,20,30,2021-12-07T01:31:55Z,1390000,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M53.00S,2021-12-07T01:31:45.1Z,1,REGULAR,substitution,in,[],1628989,,,1610612737,20,30,2021-12-07T01:31:55Z,1400000,,,0,,SUB in: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M53.00S,2021-12-07T01:31:45.1Z,1,REGULAR,substitution,in,[],101150,,,1610612737,20,30,2021-12-07T01:31:55Z,1410000,,,0,,SUB in: L. Williams,[101150],1610612737.0,ATL,,,,Williams,L. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M41.00S,2021-12-07T01:32:18.9Z,1,REGULAR,3pt,Jump Shot,[],101150,93.11760840998686,3.9215686274509802,1610612737,20,30,2021-12-07T01:32:25Z,1420000,-230.0,12.0,1,right,MISS L. Williams 3PT,[101150],1610612737.0,ATL,,,,Williams,L. Williams,,,,,23.07,Missed,,,,,,,,,,,,,,,,,,,
144,PT01M37.00S,2021-12-07T01:32:22.9Z,1,REGULAR,rebound,offensive,[],203476,,,1610612737,20,30,2021-12-07T01:32:25Z,1430000,,,0,,G. Dieng REBOUND (Off:1 Def:1),[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,143.0,2.0,1.0,1.0,,,,,,,,,,,,,
145,PT01M27.00S,2021-12-07T01:32:32.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201568,71.30420499342969,20.833333333333336,1610612737,20,33,2021-12-07T01:32:38Z,1440000,-146.0,217.0,1,right,D. Gallinari 26' 3PT  (8 PTS) (D. Wright 1 AST),"[201568, 1626153]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,26.16,Made,,,,,,,,8.0,D. Wright,1626153.0,1.0,,,,,,,,
147,PT01M05.00S,2021-12-07T01:32:54.6Z,1,REGULAR,3pt,Jump Shot,[],1629162,17.95335085413929,94.11764705882352,1610612750,23,33,2021-12-07T01:32:58Z,1460000,-221.0,116.0,1,left,J. McLaughlin 24' 3PT  (3 PTS) (K. Towns 2 AST),"[1629162, 1626157]",1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,24.94,Made,,,,,,,,3.0,K. Towns,1626157.0,2.0,,,,,,,,
149,PT00M49.40S,2021-12-07T01:33:11.4Z,1,REGULAR,2pt,Jump Shot,[],1628989,78.66294349540078,34.55882352941176,1610612737,23,33,2021-12-07T01:33:15Z,1480000,-77.0,148.0,1,right,MISS K. Huerter 16' pullup Shot,[1628989],1610612737.0,ATL,pullup,,,Huerter,K. Huerter,,,,,16.7,Missed,,,,,,,,,,,,,,,,,,,
150,PT00M47.30S,2021-12-07T01:33:13.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,23,33,2021-12-07T01:33:15Z,1490000,,,0,,K. Towns REBOUND (Off:0 Def:4),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,149.0,4.0,4.0,0.0,,,,,,,,,,,,,
151,PT00M41.70S,2021-12-07T01:33:19.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627736,24.26084099868594,11.519607843137255,1610612750,23,33,2021-12-07T01:33:36Z,1500000,192.0,176.0,1,left,MISS M. Beasley 26' step back 3PT,[1627736],1610612750.0,MIN,step back,,,Beasley,M. Beasley,,,,,26.05,Missed,,,,,,,,,,,,,,,,,,,
152,PT00M39.50S,2021-12-07T01:33:21.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,23,33,2021-12-07T01:33:36Z,1510000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,151.0,,,,,,,,,,,,,,,,
153,PT00M39.50S,2021-12-07T01:33:24.3Z,1,REGULAR,foul,personal,[],1630183,,,1610612737,23,33,2021-12-07T01:33:28Z,1520000,,,0,,J. McDaniels loose ball personal FOUL (1 PF),"[1630183, 101150]",1610612750.0,MIN,loose ball,,,McDaniels,J. McDaniels,,,,,,,,,,,,,202041.0,,,,,,,,1.0,0.0,Williams,101150.0,
155,PT00M32.00S,2021-12-07T01:33:45.5Z,1,REGULAR,turnover,discontinued dribble,[],1628989,,,1610612737,23,33,2021-12-07T01:33:51Z,1540000,,,0,,K. Huerter discontinued dribble TURNOVER (1 TO),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,202041.0,,,,,1.0,,,,,,,
156,PT00M25.30S,2021-12-07T01:34:10.8Z,1,REGULAR,foul,personal,['2freethrow'],201568,,,1610612750,23,33,2021-12-07T01:34:21Z,1550000,,,0,,D. Gallinari shooting personal FOUL (1 PF) (Towns 2 FT),"[201568, 1626157]",1610612737.0,ATL,shooting,,,Gallinari,D. Gallinari,,,,,,,,,,,,,202041.0,,,,,,,,1.0,0.0,Towns,1626157.0,
158,PT00M25.30S,2021-12-07T01:34:47.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626157,,,1610612750,23,33,2021-12-07T01:34:47Z,1570000,,,0,,MISS K. Towns Free Throw 1 of 2,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Missed,,,,,,,,,,,,,,,,,,,
159,PT00M25.30S,2021-12-07T01:34:47.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,23,33,2021-12-07T01:34:47Z,1580000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,,
160,PT00M25.30S,2021-12-07T01:35:07.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626157,,,1610612750,24,33,2021-12-07T01:35:07Z,1590000,,,0,,K. Towns Free Throw 2 of 2 (8 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Made,,,,,,,,8.0,,,,,,,,,,,
161,PT00M07.30S,2021-12-07T01:35:27.6Z,1,REGULAR,2pt,Jump Shot,[],1628989,91.27792378449409,65.93137254901961,1610612737,24,33,2021-12-07T01:35:33Z,1600000,80.0,29.0,1,right,MISS K. Huerter 8' pullup bank Shot,[1628989],1610612737.0,ATL,pullup bank,,,Huerter,K. Huerter,,,,,8.5,Missed,,,,,,,,,,,,,,,,,,,
162,PT00M05.00S,2021-12-07T01:35:29.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,24,33,2021-12-07T01:35:29Z,1610000,,,0,,K. Towns REBOUND (Off:0 Def:5),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,161.0,5.0,5.0,0.0,,,,,,,,,,,,,
163,PT00M00.00S,2021-12-07T01:35:42.4Z,1,REGULAR,period,end,[],0,,,1610612750,24,33,2021-12-07T01:35:42Z,1620000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-12-07T01:37:18.0Z,2,REGULAR,substitution,out,['startperiod'],1630183,,,1610612750,24,33,2021-12-07T01:37:48Z,1630000,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-12-07T01:37:18.0Z,2,REGULAR,substitution,out,['startperiod'],1626157,,,1610612750,24,33,2021-12-07T01:37:48Z,1640000,,,0,,SUB out: K. Towns,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-12-07T01:37:18.0Z,2,REGULAR,substitution,in,['startperiod'],1629675,,,1610612750,24,33,2021-12-07T01:37:48Z,1650000,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-12-07T01:37:18.0Z,2,REGULAR,substitution,in,['startperiod'],1630162,,,1610612750,24,33,2021-12-07T01:37:48Z,1660000,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-12-07T01:38:13.2Z,2,REGULAR,period,start,[],0,,,1610612750,24,33,2021-12-07T01:38:13Z,1670000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT11M45.00S,2021-12-07T01:38:27.9Z,2,REGULAR,foul,personal,['2freethrow'],203476,,,1610612750,24,33,2021-12-07T01:38:34Z,1680000,,,0,,G. Dieng shooting personal FOUL (1 PF) (Reid 2 FT),"[203476, 1629675]",1610612737.0,ATL,shooting,,,Dieng,G. Dieng,,,,,,,,,,,,,1627963.0,,,,,,,,1.0,0.0,Reid,1629675.0,
171,PT11M45.00S,2021-12-07T01:38:53.5Z,2,REGULAR,freethrow,1 of 2,[],1629675,,,1610612750,24,33,2021-12-07T01:38:53Z,1700000,,,0,,MISS N. Reid Free Throw 1 of 2,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,Missed,,,,,,,,,,,,,,,,,,,
172,PT11M45.00S,2021-12-07T01:38:53.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,24,33,2021-12-07T01:38:53Z,1710000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,
173,PT11M45.00S,2021-12-07T01:38:53.5Z,2,REGULAR,freethrow,2 of 2,[],1629675,,,1610612750,24,33,2021-12-07T01:39:14Z,1720000,,,0,,MISS N. Reid Free Throw 2 of 2,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,Missed,,,,,,,,,,,,,,,,,,,
174,PT11M43.00S,2021-12-07T01:38:55.5Z,2,REGULAR,rebound,defensive,[],203476,,,1610612737,24,33,2021-12-07T01:39:14Z,1730000,,,0,,G. Dieng REBOUND (Off:1 Def:2),[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,173.0,3.0,2.0,1.0,,,,,,,,,,,,,
175,PT11M27.00S,2021-12-07T01:39:25.0Z,2,REGULAR,3pt,Jump Shot,[],101150,96.13994743758212,95.34313725490196,1610612737,24,36,2021-12-07T01:39:30Z,1740000,227.0,-16.0,1,right,L. Williams 3PT  (3 PTS) (D. Wright 2 AST),"[101150, 1626153]",1610612737.0,ATL,,,,Williams,L. Williams,,,,,22.73,Made,,,,,,,,3.0,D. Wright,1626153.0,2.0,,,,,,,,
177,PT11M16.00S,2021-12-07T01:39:37.7Z,2,REGULAR,2pt,Jump Shot,[],1629162,8.754927726675426,69.85294117647058,1610612750,24,36,2021-12-07T01:40:05Z,1760000,-99.0,30.0,1,left,MISS J. McLaughlin 10' driving floating bank Shot,[1629162],1610612750.0,MIN,driving floating bank,,,McLaughlin,J. McLaughlin,,,,,10.37,Missed,,,,,,,,,,,,,,,,,,,
