actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
87,PT06M06.00S,2022-03-08T01:24:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630314,93.11760840998686,48.03921568627451,1610612757,15,6,2022-03-08T01:24:55Z,850000,-10.0,12.0,1,right,MISS B. Williams driving reverse Layup,[1630314],1610612757.0,POR,driving reverse,,,Williams,B. Williams,,,,,,,,,,Missed,,,1.56,,,,,,,,,,,,
88,PT06M04.00S,2022-03-08T01:24:53.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,15,6,2022-03-08T01:24:55Z,860000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:5),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,87.0,,6.0,5.0,1.0,,,,,,,,,
89,PT05M55.00S,2022-03-08T01:25:02.7Z,1,REGULAR,3pt,Jump Shot,[],1630183,25.18068331143233,82.59803921568627,1610612750,15,6,2022-03-08T01:25:07Z,870000,-163.0,184.0,1,left,MISS J. McDaniels 24' step back 3PT,[1630183],1610612750.0,MIN,step back,,,McDaniels,J. McDaniels,,,,,,,,,,Missed,,,24.6,,,,,,,,,,,,
90,PT05M51.00S,2022-03-08T01:25:05.3Z,1,REGULAR,rebound,offensive,[],201976,,,1610612750,15,6,2022-03-08T01:25:05Z,880000,,,0,,P. Beverley REBOUND (Off:1 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,89.0,,2.0,1.0,1.0,,,,,,,,,
91,PT05M45.00S,2022-03-08T01:25:14.9Z,1,REGULAR,turnover,out-of-bounds,[],201976,,,1610612750,15,6,2022-03-08T01:25:22Z,890000,,,0,,P. Beverley lost ball out-of-bounds TURNOVER (1 TO),[201976],1610612750.0,MIN,lost ball,,,Beverley,P. Beverley,,,,,1628171.0,,,,,,,,,,,,,,,,,1.0,,,
92,PT05M35.00S,2022-03-08T01:25:34.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630314,92.85479632063075,53.18627450980392,1610612757,15,8,2022-03-08T01:28:07Z,900000,16.0,15.0,1,right,B. Williams driving finger roll Layup (2 PTS),[1630314],1610612757.0,POR,driving finger roll,,,Williams,B. Williams,,,,,,,,,,Made,2.0,,2.17,,,,,,,,,,,,
93,PT05M22.00S,2022-03-08T01:25:51.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,15,8,2022-03-08T01:25:51Z,910000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M22.00S,2022-03-08T01:25:52.1Z,1,REGULAR,substitution,out,[],1627736,,,1610612750,15,8,2022-03-08T01:26:24Z,920000,,,0,,SUB out: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M22.00S,2022-03-08T01:25:52.1Z,1,REGULAR,substitution,out,[],1628404,,,1610612750,15,8,2022-03-08T01:26:24Z,930000,,,0,,SUB out: J. Hart,[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M22.00S,2022-03-08T01:25:52.1Z,1,REGULAR,substitution,out,[],1629604,,,1610612750,15,8,2022-03-08T01:26:24Z,940000,,,0,,SUB out: C. Elleby,[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M22.00S,2022-03-08T01:25:52.1Z,1,REGULAR,substitution,in,[],1629669,,,1610612750,15,8,2022-03-08T01:26:24Z,950000,,,0,,SUB in: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M22.00S,2022-03-08T01:25:52.1Z,1,REGULAR,substitution,in,[],1630190,,,1610612750,15,8,2022-03-08T01:26:24Z,960000,,,0,,SUB in: E. Hughes,[1630190],1610612757.0,POR,,,,Hughes,E. Hughes,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT05M22.00S,2022-03-08T01:25:52.1Z,1,REGULAR,substitution,in,[],1630553,,,1610612750,15,8,2022-03-08T01:26:24Z,970000,,,0,,SUB in: K. Johnson,[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT05M17.00S,2022-03-08T01:26:34.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630535,,,1610612750,15,8,2022-03-08T01:26:58Z,980000,,,0,,G. Brown III personal FOUL (1 PF) (Towns 2 FT),"[1630535, 1626157]",1610612757.0,POR,,,,Brown III,G. Brown III,,,,,2002.0,1.0,0.0,Towns,1626157.0,,,,,,,,,,,,,,,,
102,PT05M17.00S,2022-03-08T01:27:04.2Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612750,15,8,2022-03-08T01:27:04Z,1000000,,,0,,MISS K. Towns Free Throw 1 of 2,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Missed,,,,,,,,,,,,,,,
103,PT05M17.00S,2022-03-08T01:27:04.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,15,8,2022-03-08T01:27:04Z,1010000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,
104,PT05M17.00S,2022-03-08T01:27:24.6Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612750,16,8,2022-03-08T01:27:24Z,1020000,,,0,,K. Towns Free Throw 2 of 2 (9 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
105,PT05M06.00S,2022-03-08T01:27:36.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630314,83.78777923784494,62.5,1610612757,16,8,2022-03-08T01:27:40Z,1030000,62.0,100.0,1,right,MISS B. Williams 11' pullup Shot,[1630314],1610612757.0,POR,pullup,,,Williams,B. Williams,,,,,,,,,,Missed,,,11.78,,,,,,,,,,,,
106,PT05M03.00S,2022-03-08T01:27:39.7Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,16,8,2022-03-08T01:27:40Z,1040000,,,0,,P. Beverley REBOUND (Off:1 Def:2),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,105.0,,3.0,2.0,1.0,,,,,,,,,
107,PT04M53.00S,2022-03-08T01:27:49.7Z,1,REGULAR,3pt,Jump Shot,[],1630183,11.514454664914586,4.6568627450980395,1610612750,16,8,2022-03-08T01:27:57Z,1050000,227.0,56.0,1,left,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,Missed,,,23.34,,,,,,,,,,,,
108,PT04M50.00S,2022-03-08T01:27:52.7Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,16,8,2022-03-08T01:27:57Z,1060000,,,0,,K. Towns REBOUND (Off:3 Def:0),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,107.0,,3.0,0.0,3.0,,,,,,,,,
109,PT04M49.00S,2022-03-08T01:27:54.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,6.258212877792378,49.01960784313725,1610612750,18,8,2022-03-08T01:27:59Z,1070000,5.0,6.0,1,left,K. Towns putback Layup (11 PTS),[1626157],1610612750.0,MIN,putback,,,Towns,K. Towns,,,,,,,,,,Made,11.0,,0.8,,,,,,,,,,,,
110,PT04M28.00S,2022-03-08T01:28:14.8Z,1,REGULAR,3pt,Jump Shot,[],1630535,92.59198423127464,4.6568627450980395,1610612757,18,8,2022-03-08T01:28:24Z,1080000,-227.0,17.0,1,right,MISS G. Brown III 3PT,[1630535],1610612757.0,POR,,,,Brown III,G. Brown III,,,,,,,,,,Missed,,,22.73,,,,,,,,,,,,
111,PT04M23.00S,2022-03-08T01:28:19.8Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,18,8,2022-03-08T01:28:24Z,1090000,,,0,,P. Beverley REBOUND (Off:1 Def:3),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,110.0,,4.0,3.0,1.0,,,,,,,,,
112,PT04M23.00S,2022-03-08T01:28:21.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630314,,,1610612750,18,8,2022-03-08T01:28:27Z,1100000,,,0,,B. Williams shooting personal FOUL (2 PF) (Vanderbilt 2 FT),"[1630314, 1629020]",1610612757.0,POR,shooting,,,Williams,B. Williams,,,,,1662.0,2.0,0.0,Vanderbilt,1629020.0,,,,,,,,,,,,,,,,
114,PT04M23.00S,2022-03-08T01:28:47.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629020,,,1610612750,19,8,2022-03-08T01:28:47Z,1120000,,,0,,J. Vanderbilt Free Throw 1 of 2 (3 PTS),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
115,PT04M23.00S,2022-03-08T01:28:48.0Z,1,REGULAR,substitution,out,[],1630183,,,1610612750,19,8,2022-03-08T01:29:01Z,1130000,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT04M23.00S,2022-03-08T01:28:48.0Z,1,REGULAR,substitution,out,[],201976,,,1610612750,19,8,2022-03-08T01:29:01Z,1140000,,,0,,SUB out: P. Beverley,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT04M23.00S,2022-03-08T01:28:48.0Z,1,REGULAR,substitution,out,[],1630314,,,1610612750,19,8,2022-03-08T01:29:01Z,1150000,,,0,,SUB out: B. Williams,[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT04M23.00S,2022-03-08T01:28:48.0Z,1,REGULAR,substitution,in,[],1627752,,,1610612750,19,8,2022-03-08T01:29:01Z,1160000,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT04M23.00S,2022-03-08T01:28:48.0Z,1,REGULAR,substitution,in,[],1629162,,,1610612750,19,8,2022-03-08T01:29:01Z,1170000,,,0,,SUB in: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT04M23.00S,2022-03-08T01:28:48.0Z,1,REGULAR,substitution,in,[],203463,,,1610612750,19,8,2022-03-08T01:29:01Z,1180000,,,0,,SUB in: B. McLemore,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT04M23.00S,2022-03-08T01:29:10.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629020,,,1610612750,20,8,2022-03-08T01:29:10Z,1190000,,,0,,J. Vanderbilt Free Throw 2 of 2 (4 PTS),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
122,PT04M12.00S,2022-03-08T01:29:24.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630553,87.59855453350855,57.59803921568627,1610612757,20,8,2022-03-08T01:29:28Z,1200000,38.0,64.0,1,right,MISS K. Johnson 7' turnaround Shot,[1630553],1610612757.0,POR,turnaround,,,Johnson,K. Johnson,,,,,,,,,,Missed,,,7.45,,,,,,,,,,,,
123,PT04M10.00S,2022-03-08T01:29:26.3Z,1,REGULAR,rebound,offensive,[],1630553,,,1610612757,20,8,2022-03-08T01:29:26Z,1210000,,,0,,K. Johnson REBOUND (Off:1 Def:0),[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,122.0,,1.0,0.0,1.0,,,,,,,,,
124,PT04M07.00S,2022-03-08T01:29:28.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630190,83.52496714848883,94.11764705882352,1610612757,20,8,2022-03-08T01:29:32Z,1220000,221.0,102.0,1,right,MISS E. Hughes 24' 3PT,[1630190],1610612757.0,POR,,,,Hughes,E. Hughes,,,,,,,,,,Missed,,,24.32,,,,,,,,,,,,
125,PT04M05.00S,2022-03-08T01:29:30.7Z,1,REGULAR,rebound,defensive,[],1629162,,,1610612750,20,8,2022-03-08T01:29:32Z,1230000,,,0,,J. McLaughlin REBOUND (Off:0 Def:1),[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,124.0,,1.0,1.0,0.0,,,,,,,,,
126,PT04M02.00S,2022-03-08T01:29:34.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627752,22.683968462549277,11.519607843137255,1610612750,23,8,2022-03-08T01:29:40Z,1240000,192.0,161.0,1,left,T. Prince 25' 3PT  (3 PTS) (J. McLaughlin 1 AST),"[1627752, 1629162]",1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,Made,3.0,,25.07,,,,J. McLaughlin,1629162.0,1.0,,,,,,
179,PT03M38.00S,2022-03-08T01:29:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630553,88.12417871222075,56.86274509803921,1610612757,23,8,2022-03-08T01:40:14Z,1255000,34.0,59.0,1,right,MISS K. Johnson 6' driving Layup - blocked,"[1630553, 1629162]",1610612757.0,POR,driving,,,Johnson,K. Johnson,,,,,,,,,,Missed,,,6.83,,,,,,,McLaughlin,1629162.0,,,,
180,PT03M38.00S,2022-03-08T01:29:46.2Z,1,REGULAR,block,,[],1629162,,,1610612757,23,8,2022-03-08T01:40:14Z,1257500,,,0,,J. McLaughlin BLOCK (1 BLK),[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT03M36.00S,2022-03-08T01:29:48.2Z,1,REGULAR,rebound,defensive,[],1629669,,,1610612750,23,8,2022-03-08T01:40:14Z,1258750,,,0,,J. Nowell REBOUND (Off:0 Def:1),[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,179.0,,1.0,1.0,0.0,,,,,,,,,
130,PT03M35.00S,2022-03-08T01:30:03.5Z,1,REGULAR,turnover,out-of-bounds,[],1629669,,,1610612750,23,8,2022-03-08T01:30:21Z,1280000,,,0,,J. Nowell bad pass out-of-bounds TURNOVER (1 TO),[1629669],1610612750.0,MIN,bad pass,,,Nowell,J. Nowell,,,,,1628171.0,,,,,,,,,,,,,,,,,1.0,,,
131,PT03M20.00S,2022-03-08T01:30:29.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630553,88.64980289093299,46.07843137254902,1610612757,23,8,2022-03-08T01:30:32Z,1290000,-20.0,54.0,1,right,MISS K. Johnson driving Layup - blocked,"[1630553, 1627752]",1610612757.0,POR,driving,,,Johnson,K. Johnson,,,,,,,,,,Missed,,,5.76,,,,,,,Prince,1627752.0,,,,
132,PT03M20.00S,2022-03-08T01:30:29.3Z,1,REGULAR,block,,[],1627752,,,1610612757,23,8,2022-03-08T01:30:31Z,1300000,,,0,,T. Prince BLOCK (1 BLK),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT03M19.00S,2022-03-08T01:30:30.3Z,1,REGULAR,rebound,offensive,[],1630553,,,1610612757,23,8,2022-03-08T01:30:32Z,1310000,,,0,,K. Johnson REBOUND (Off:2 Def:0),[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,131.0,,2.0,0.0,2.0,,,,,,,,,
134,PT03M18.00S,2022-03-08T01:30:32.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630553,92.72339027595268,51.470588235294116,1610612757,23,8,2022-03-08T01:35:25Z,1320000,7.0,16.0,1,right,MISS K. Johnson putback Layup,[1630553],1610612757.0,POR,putback,,,Johnson,K. Johnson,,,,,,,,,,Missed,,,1.75,,,,,,,,,,,,
135,PT03M17.00S,2022-03-08T01:30:33.6Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,23,8,2022-03-08T01:30:36Z,1330000,,,0,,K. Towns REBOUND (Off:3 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,134.0,,4.0,1.0,3.0,,,,,,,,,
136,PT03M14.00S,2022-03-08T01:30:37.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629234,,,1610612750,23,8,2022-03-08T01:30:50Z,1340000,,,0,,D. Eubanks shooting personal FOUL (2 PF) (Towns 2 FT),"[1629234, 1626157]",1610612757.0,POR,shooting,,,Eubanks,D. Eubanks,,,,,1628171.0,2.0,0.0,Towns,1626157.0,,,,,,,,,,,,,,,,
138,PT03M14.00S,2022-03-08T01:31:12.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1626157,,,1610612750,23,8,2022-03-08T01:31:12Z,1360000,,,0,,MISS K. Towns Free Throw 1 of 2,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Missed,,,,,,,,,,,,,,,
139,PT03M14.00S,2022-03-08T01:31:12.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,23,8,2022-03-08T01:31:12Z,1370000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,138.0,,,,,,,,,,,,,
140,PT03M14.00S,2022-03-08T01:31:34.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1626157,,,1610612750,24,8,2022-03-08T01:31:34Z,1380000,,,0,,K. Towns Free Throw 2 of 2 (12 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Made,12.0,,,,,,,,,,,,,,
141,PT02M55.00S,2022-03-08T01:31:55.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630190,83.919185282523,39.705882352941174,1610612757,24,8,2022-03-08T01:31:59Z,1390000,-51.0,99.0,1,right,MISS E. Hughes 11' turnaround fadeaway Shot,[1630190],1610612757.0,POR,turnaround fadeaway,,,Hughes,E. Hughes,,,,,,,,,,Missed,,,11.13,,,,,,,,,,,,
142,PT02M53.00S,2022-03-08T01:31:57.2Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,24,8,2022-03-08T01:31:59Z,1400000,,,0,,K. Towns REBOUND (Off:3 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,141.0,,5.0,2.0,3.0,,,,,,,,,
143,PT02M47.00S,2022-03-08T01:32:03.6Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612750,24,8,2022-03-08T01:32:11Z,1410000,,,0,,K. Towns bad pass TURNOVER (2 TO),"[1626157, 203463]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,2.0,McLemore,203463.0,
144,PT02M47.00S,2022-03-08T01:32:03.6Z,1,REGULAR,steal,,[],203463,,,1610612757,24,8,2022-03-08T01:32:05Z,1420000,,,0,,B. McLemore STEAL (1 STL),[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M47.00S,2022-03-08T01:32:06.8Z,1,REGULAR,foul,personal,[],1626157,,,1610612757,24,8,2022-03-08T01:32:13Z,1430000,,,0,,K. Towns take personal FOUL (1 PF),"[1626157, 203463]",1610612750.0,MIN,take,,,Towns,K. Towns,,,,,2002.0,1.0,0.0,McLemore,203463.0,,,,,,,,,,,,,,,,
147,PT02M47.00S,2022-03-08T01:32:15.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,24,8,2022-03-08T01:32:15Z,1450000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT02M47.00S,2022-03-08T01:34:22.2Z,1,REGULAR,substitution,out,[],1629020,,,1610612757,24,8,2022-03-08T01:35:03Z,1460000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT02M47.00S,2022-03-08T01:34:22.2Z,1,REGULAR,substitution,out,[],1629234,,,1610612757,24,8,2022-03-08T01:35:03Z,1470000,,,0,,SUB out: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT02M47.00S,2022-03-08T01:34:22.2Z,1,REGULAR,substitution,in,[],1627736,,,1610612757,24,8,2022-03-08T01:35:03Z,1480000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT02M47.00S,2022-03-08T01:34:22.2Z,1,REGULAR,substitution,in,[],1630570,,,1610612757,24,8,2022-03-08T01:35:03Z,1490000,,,0,,SUB in: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT02M33.00S,2022-03-08T01:35:23.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630553,88.91261498028909,40.931372549019606,1610612757,24,10,2022-03-08T01:35:28Z,1500000,-45.0,52.0,1,right,K. Johnson 6' driving floating Jump Shot (2 PTS),[1630553],1610612757.0,POR,driving floating,,,Johnson,K. Johnson,,,,,,,,,,Made,2.0,,6.87,,,,,,,,,,,,
153,PT02M19.00S,2022-03-08T01:35:37.8Z,1,REGULAR,3pt,Jump Shot,[],1627736,7.703679369250986,94.36274509803921,1610612750,24,10,2022-03-08T01:35:42Z,1510000,-222.0,20.0,1,left,MISS M. Beasley 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,Missed,,,22.27,,,,,,,,,,,,
154,PT02M17.00S,2022-03-08T01:35:39.8Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612757,24,10,2022-03-08T01:35:42Z,1520000,,,0,,T. Watford REBOUND (Off:2 Def:2),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,153.0,,4.0,2.0,2.0,,,,,,,,,
155,PT02M12.00S,2022-03-08T01:35:45.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630570,93.64323258869908,50.73529411764706,1610612757,24,12,2022-03-08T01:35:53Z,1530000,4.0,7.0,1,right,T. Watford running Layup (4 PTS),[1630570],1610612757.0,POR,running,,,Watford,T. Watford,,,,,,,,,,Made,4.0,,0.82,,,,,,,,,,,,
156,PT02M07.00S,2022-03-08T01:35:53.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,24,12,2022-03-08T01:35:53Z,1540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT01M55.00S,2022-03-08T01:36:13.7Z,1,REGULAR,2pt,Jump Shot,[],1627752,7.178055190538765,76.9607843137255,1610612750,24,12,2022-03-08T01:36:19Z,1550000,-135.0,15.0,1,left,MISS T. Prince 13' step back Shot,[1627752],1610612750.0,MIN,step back,,,Prince,T. Prince,,,,,,,,,,Missed,,,13.56,,,,,,,,,,,,
158,PT01M52.00S,2022-03-08T01:36:16.7Z,1,REGULAR,rebound,defensive,[],1630553,,,1610612757,24,12,2022-03-08T01:36:19Z,1560000,,,0,,K. Johnson REBOUND (Off:2 Def:1),[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,157.0,,3.0,1.0,2.0,,,,,,,,,
159,PT01M31.00S,2022-03-08T01:36:37.2Z,1,REGULAR,3pt,Jump Shot,[],1630553,68.01905387647832,54.65686274509803,1610612757,24,12,2022-03-08T01:36:46Z,1570000,23.0,248.0,1,right,MISS K. Johnson 24' 3PT,[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,Missed,,,24.92,,,,,,,,,,,,
160,PT01M30.00S,2022-03-08T01:36:38.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,24,12,2022-03-08T01:36:46Z,1580000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,159.0,,,,,,,,,,,,,
161,PT01M30.00S,2022-03-08T01:36:46.3Z,1,REGULAR,foul,personal,[],1627736,,,1610612757,24,12,2022-03-08T01:37:05Z,1590000,,,0,,M. Beasley loose ball personal FOUL (1 PF),"[1627736, 1630535]",1610612750.0,MIN,loose ball,,,Beasley,M. Beasley,,,,,1662.0,1.0,0.0,Brown III,1630535.0,,,,,,,,,,,,,,,,
163,PT01M18.00S,2022-03-08T01:37:13.6Z,1,REGULAR,turnover,lost ball,[],203463,,,1610612757,24,12,2022-03-08T01:37:17Z,1610000,,,0,,B. McLemore lost ball TURNOVER (1 TO),"[203463, 1627736]",1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,1.0,Beasley,1627736.0,
164,PT01M18.00S,2022-03-08T01:37:13.6Z,1,REGULAR,steal,,[],1627736,,,1610612750,24,12,2022-03-08T01:37:15Z,1620000,,,0,,M. Beasley STEAL (1 STL),[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT01M15.00S,2022-03-08T01:37:19.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630190,,,1610612750,24,12,2022-03-08T01:37:28Z,1630000,,,0,,E. Hughes shooting personal FOUL (1 PF) (Nowell 2 FT),"[1630190, 1629669]",1610612757.0,POR,shooting,,,Hughes,E. Hughes,,,,,1662.0,1.0,0.0,Nowell,1629669.0,,,,,,,,,,,,,,,,
167,PT01M15.00S,2022-03-08T01:37:44.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629669,,,1610612750,25,12,2022-03-08T01:37:44Z,1650000,,,0,,J. Nowell Free Throw 1 of 2 (1 PTS),[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
168,PT01M15.00S,2022-03-08T01:38:02.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629669,,,1610612750,26,12,2022-03-08T01:38:02Z,1660000,,,0,,J. Nowell Free Throw 2 of 2 (2 PTS),[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
169,PT01M01.00S,2022-03-08T01:38:17.6Z,1,REGULAR,turnover,bad pass,[],1630553,,,1610612757,26,12,2022-03-08T01:38:25Z,1670000,,,0,,K. Johnson bad pass TURNOVER (1 TO),"[1630553, 1627736]",1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,1.0,Beasley,1627736.0,
