actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
88,PT04M46.00S,2022-11-16T03:24:19.8Z,1,REGULAR,substitution,in,[],1629646,,,1610612757,14,22,2022-11-16T03:24:23Z,870000,False,,,0,,SUB in: C. Bassey,[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M32.00S,2022-11-16T03:24:47.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203081,80.23981603153744,65.93137254901961,1610612757,16,22,2022-11-16T03:24:53Z,880000,False,80.0,133.0,1,right,D. Lillard 15' driving floating Jump Shot (4 PTS),[203081],1610612757.0,POR,driving floating,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Right,,,15.52,Made,4.0,,,,,,,,,,,,,,,
90,PT04M32.00S,2022-11-16T03:24:50.3Z,1,REGULAR,foul,personal,['1freethrow'],203926,,,1610612757,16,22,2022-11-16T03:25:01Z,890000,False,,,0,,D. McDermott shooting personal FOUL (1 PF) (Lillard 1 FT),"[203926, 203081]",1610612759.0,SAS,shooting,,,McDermott,D. McDermott,,,,,Mid-Range,16-24 Right Center,2714.0,,,,,,,,,,,,,,,,1.0,0.0,Lillard,203081.0
92,PT04M32.00S,2022-11-16T03:25:01.8Z,1,REGULAR,substitution,out,[],1628404,,,1610612757,16,22,2022-11-16T03:29:12Z,910000,False,,,0,,SUB out: J. Hart,[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M32.00S,2022-11-16T03:25:01.8Z,1,REGULAR,substitution,out,[],1629640,,,1610612757,16,22,2022-11-16T03:29:12Z,920000,False,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M32.00S,2022-11-16T03:25:01.8Z,1,REGULAR,substitution,in,[],1629642,,,1610612757,16,22,2022-11-16T03:29:12Z,930000,False,,,0,,SUB in: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M32.00S,2022-11-16T03:25:01.8Z,1,REGULAR,substitution,in,[],1630170,,,1610612757,16,22,2022-11-16T03:29:12Z,940000,False,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M32.00S,2022-11-16T03:25:14.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,16,22,2022-11-16T03:29:12Z,950000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M32.00S,2022-11-16T03:28:13.5Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203081,,,1610612757,17,22,2022-11-16T03:28:13Z,960000,False,,,0,,D. Lillard Free Throw 1 of 1 (5 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
98,PT04M14.00S,2022-11-16T03:28:33.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629646,13.61695137976347,52.20588235294118,1610612759,17,24,2022-11-16T03:28:38Z,970000,False,-11.0,75.0,1,left,C. Bassey 7' Hook (2 PTS) (K. Bates-Diop 1 AST),"[1629646, 1628966]",1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,In The Paint (Non-RA),0-8 Center,,,7.63,Made,2.0,,,,,K. Bates-Diop,1628966.0,1.0,,,,,,,,
100,PT03M56.00S,2022-11-16T03:28:51.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629234,94.1688567674113,50.49019607843137,1610612757,19,24,2022-11-16T03:28:55Z,990000,False,2.0,2.0,1,right,D. Eubanks alley-oop DUNK (2 PTS) (D. Lillard 2 AST),"[1629234, 203081]",1610612757.0,POR,alley-oop,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,,,0.34,Made,2.0,,,,,D. Lillard,203081.0,2.0,,,,,,,,
102,PT03M36.00S,2022-11-16T03:29:10.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,11.908672798948752,60.29411764705882,1610612759,19,24,2022-11-16T03:29:14Z,1010000,False,-51.0,59.0,1,left,MISS D. Vassell 7' driving floating Shot,[1630170],1610612759.0,SAS,driving floating,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,,,7.86,Missed,,,,,,,,,,,,,,,,
103,PT03M34.00S,2022-11-16T03:29:12.4Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,19,24,2022-11-16T03:29:12Z,1020000,False,,,0,,J. Grant REBOUND (Off:0 Def:2),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,102.0,2.0,2.0,0.0,,,,,,,,,,,
104,PT03M24.00S,2022-11-16T03:29:22.2Z,1,REGULAR,2pt,Jump Shot,[],203924,87.86136662286465,88.23529411764706,1610612757,19,24,2022-11-16T03:29:25Z,1030000,False,191.0,62.0,1,right,MISS J. Grant 20' pullup Shot,[203924],1610612757.0,POR,pullup,,,Grant,J. Grant,,,,,Mid-Range,16-24 Right,,,20.09,Missed,,,,,,,,,,,,,,,,
105,PT03M23.00S,2022-11-16T03:29:23.2Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,19,24,2022-11-16T03:29:25Z,1040000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right,,,,,,104.0,1.0,1.0,0.0,,,,,,,,,,,
106,PT03M15.00S,2022-11-16T03:29:31.7Z,1,REGULAR,turnover,bad pass,[],1630170,,,1610612759,19,24,2022-11-16T03:29:34Z,1050000,False,,,0,,D. Vassell bad pass TURNOVER (1 TO),"[1630170, 203924]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Right,,1.0,,,,,,,,,,,Grant,203924.0,,,,,,
107,PT03M15.00S,2022-11-16T03:29:31.7Z,1,REGULAR,steal,,[],203924,,,1610612757,19,24,2022-11-16T03:29:33Z,1060000,False,,,0,,J. Grant STEAL (1 STL),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
108,PT03M09.00S,2022-11-16T03:29:38.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631101,93.24901445466492,45.588235294117645,1610612757,21,24,2022-11-16T03:29:43Z,1070000,False,-22.0,11.0,1,right,S. Sharpe running Layup (5 PTS) (D. Lillard 3 AST),"[1631101, 203081]",1610612757.0,POR,running,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,2.47,Made,5.0,,,,,D. Lillard,203081.0,3.0,,,,,,,,
110,PT02M47.00S,2022-11-16T03:29:59.4Z,1,REGULAR,3pt,Jump Shot,[],1626196,33.327858081471746,27.205882352941174,1610612759,21,24,2022-11-16T03:30:03Z,1090000,False,114.0,261.0,1,left,MISS J. Richardson 28' 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Right Center,,,28.46,Missed,,,,,,,,,,,,,,,,
111,PT02M44.00S,2022-11-16T03:30:02.4Z,1,REGULAR,rebound,offensive,[],1629646,,,1610612759,21,24,2022-11-16T03:30:03Z,1100000,False,,,0,,C. Bassey REBOUND (Off:1 Def:0),[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,Above the Break 3,24+ Right Center,,,,,,110.0,1.0,0.0,1.0,,,,,,,,,,,
112,PT02M40.00S,2022-11-16T03:30:06.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203926,34.510512483574246,78.43137254901961,1610612759,21,27,2022-11-16T03:30:10Z,1110000,False,-142.0,272.0,1,left,D. McDermott 30' 3PT  (3 PTS) (D. Vassell 1 AST),"[203926, 1630170]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Left Center,,,30.68,Made,3.0,,,,,D. Vassell,1630170.0,1.0,,,,,,,,
114,PT02M25.00S,2022-11-16T03:30:23.8Z,1,REGULAR,foul,personal,['2freethrow'],1629646,,,1610612757,21,27,2022-11-16T03:30:33Z,1130000,False,,,0,,C. Bassey shooting personal FOUL (1 PF) (Little 2 FT),"[1629646, 1629642]",1610612759.0,SAS,shooting,,,Bassey,C. Bassey,,,,,Restricted Area,0-8 Center,1627519.0,,,,,,,,,,,,,,,,1.0,0.0,Little,1629642.0
116,PT02M25.00S,2022-11-16T03:30:44.1Z,1,REGULAR,freethrow,1 of 2,[],1629642,,,1610612757,22,27,2022-11-16T03:30:44Z,1150000,False,,,0,,N. Little Free Throw 1 of 2 (1 PTS),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
117,PT02M25.00S,2022-11-16T03:30:44.7Z,1,REGULAR,substitution,out,[],203081,,,1610612757,22,27,2022-11-16T03:30:52Z,1160000,False,,,0,,SUB out: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M25.00S,2022-11-16T03:30:44.7Z,1,REGULAR,substitution,out,[],203924,,,1610612757,22,27,2022-11-16T03:30:52Z,1170000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M25.00S,2022-11-16T03:30:44.7Z,1,REGULAR,substitution,in,[],1630570,,,1610612757,22,27,2022-11-16T03:30:52Z,1180000,False,,,0,,SUB in: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M25.00S,2022-11-16T03:30:44.7Z,1,REGULAR,substitution,in,[],1629014,,,1610612757,22,27,2022-11-16T03:30:52Z,1190000,False,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M25.00S,2022-11-16T03:31:01.8Z,1,REGULAR,freethrow,2 of 2,[],1629642,,,1610612757,23,27,2022-11-16T03:31:01Z,1200000,False,,,0,,N. Little Free Throw 2 of 2 (2 PTS),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
122,PT02M03.00S,2022-11-16T03:31:31.3Z,1,REGULAR,3pt,Jump Shot,[],1628966,8.360709592641262,2.2058823529411766,1610612759,23,27,2022-11-16T03:31:35Z,1210000,False,239.0,26.0,1,left,MISS K. Bates-Diop 24' 3PT,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Right Corner 3,24+ Right,,,24.04,Missed,,,,,,,,,,,,,,,,
123,PT01M59.00S,2022-11-16T03:31:35.3Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,23,27,2022-11-16T03:31:35Z,1220000,False,,,0,,N. Little REBOUND (Off:0 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,Right Corner 3,24+ Right,,,,,,122.0,1.0,1.0,0.0,,,,,,,,,,,
124,PT01M47.00S,2022-11-16T03:31:46.5Z,1,REGULAR,2pt,Jump Shot,[],1631101,75.24638633377135,61.274509803921575,1610612757,25,27,2022-11-16T03:31:54Z,1230000,False,56.0,180.0,1,right,S. Sharpe 18' step back Jump Shot (7 PTS) (A. Simons 1 AST),"[1631101, 1629014]",1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Center,,,18.88,Made,7.0,,,,,A. Simons,1629014.0,1.0,,,,,,,,
126,PT01M22.00S,2022-11-16T03:32:12.0Z,1,REGULAR,3pt,Jump Shot,[],1630170,34.90473061760841,25.98039215686275,1610612759,25,27,2022-11-16T03:32:16Z,1250000,False,120.0,276.0,1,left,MISS D. Vassell 30' pullup 3PT,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,30.06,Missed,,,,,,,,,,,,,,,,
127,PT01M19.00S,2022-11-16T03:32:15.0Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,25,27,2022-11-16T03:32:16Z,1260000,False,,,0,,K. Bates-Diop REBOUND (Off:2 Def:0),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Right Center,,,,,,126.0,2.0,0.0,2.0,,,,,,,,,,,
128,PT01M14.00S,2022-11-16T03:32:19.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203926,21.23850197109067,7.352941176470589,1610612759,25,27,2022-11-16T03:32:24Z,1270000,False,213.0,147.0,1,left,MISS D. McDermott 25' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Right Center,,,25.9,Missed,,,,,,,,,,,,,,,,
129,PT01M11.00S,2022-11-16T03:32:22.8Z,1,REGULAR,rebound,offensive,[],1629646,,,1610612759,25,27,2022-11-16T03:32:24Z,1280000,False,,,0,,C. Bassey REBOUND (Off:2 Def:0),[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,Above the Break 3,24+ Right Center,,,,,,128.0,2.0,0.0,2.0,,,,,,,,,,,
130,PT01M10.00S,2022-11-16T03:32:23.4Z,1,REGULAR,turnover,bad pass,[],1629646,,,1610612759,25,27,2022-11-16T03:32:27Z,1290000,False,,,0,,C. Bassey bad pass TURNOVER (1 TO),"[1629646, 1629642]",1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,Mid-Range,16-24 Left,,1.0,,,,,,,,,,,Little,1629642.0,,,,,,
131,PT01M10.00S,2022-11-16T03:32:23.4Z,1,REGULAR,steal,,[],1629642,,,1610612757,25,27,2022-11-16T03:32:25Z,1300000,False,,,0,,N. Little STEAL (1 STL),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
132,PT01M02.00S,2022-11-16T03:32:32.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631101,75.1149802890933,14.460784313725492,1610612757,28,27,2022-11-16T03:32:37Z,1310000,False,-178.0,181.0,1,right,S. Sharpe 25' 3PT  (10 PTS) (T. Watford 1 AST),"[1631101, 1630570]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,,,25.39,Made,10.0,,,,,T. Watford,1630570.0,1.0,,,,,,,,
134,PT00M46.90S,2022-11-16T03:32:49.6Z,1,REGULAR,2pt,Jump Shot,[],1626196,19.267411300919843,77.69607843137256,1610612759,28,27,2022-11-16T03:32:54Z,1330000,False,-138.0,129.0,1,left,MISS J. Richardson 18' pullup Shot,[1626196],1610612759.0,SAS,pullup,,,Richardson,J. Richardson,,,,,Mid-Range,16-24 Left Center,,,18.9,Missed,,,,,,,,,,,,,,,,
135,PT00M43.60S,2022-11-16T03:32:52.9Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612757,28,27,2022-11-16T03:32:52Z,1340000,False,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,Mid-Range,16-24 Left Center,,,,,,134.0,1.0,1.0,0.0,,,,,,,,,,,
136,PT00M32.00S,2022-11-16T03:33:04.4Z,1,REGULAR,3pt,Jump Shot,[],1629014,64.60249671484888,41.911764705882355,1610612757,28,27,2022-11-16T03:33:12Z,1350000,False,-40.0,280.0,1,right,MISS A. Simons 28' step back 3PT,[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,,,28.31,Missed,,,,,,,,,,,,,,,,
137,PT00M27.30S,2022-11-16T03:33:09.1Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612757,28,27,2022-11-16T03:33:12Z,1360000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Center,,,,,,136.0,2.0,1.0,1.0,,,,,,,,,,,
138,PT00M16.70S,2022-11-16T03:33:20.9Z,1,REGULAR,foul,personal,['2freethrow'],1629646,,,1610612757,28,27,2022-11-16T03:33:33Z,1370000,False,,,0,,C. Bassey shooting personal FOUL (2 PF) (Simons 2 FT),"[1629646, 1629014]",1610612759.0,SAS,shooting,,,Bassey,C. Bassey,,,,,Restricted Area,0-8 Center,202053.0,,,,,,,,,,,,,,,,2.0,0.0,Simons,1629014.0
140,PT00M16.70S,2022-11-16T03:33:51.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629014,,,1610612757,29,27,2022-11-16T03:33:51Z,1390000,False,,,0,,A. Simons Free Throw 1 of 2 (1 PTS),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
141,PT00M16.70S,2022-11-16T03:33:52.1Z,1,REGULAR,substitution,out,[],1628966,,,1610612757,29,27,2022-11-16T03:33:55Z,1400000,False,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT00M16.70S,2022-11-16T03:33:52.1Z,1,REGULAR,substitution,in,[],1630200,,,1610612757,29,27,2022-11-16T03:33:55Z,1410000,False,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M16.70S,2022-11-16T03:34:07.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629014,,,1610612757,30,27,2022-11-16T03:34:07Z,1420000,False,,,0,,A. Simons Free Throw 2 of 2 (2 PTS),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
144,PT00M04.90S,2022-11-16T03:34:24.9Z,1,REGULAR,turnover,out-of-bounds,[],1629646,,,1610612759,30,27,2022-11-16T03:34:32Z,1430000,False,,,0,,C. Bassey bad pass out-of-bounds TURNOVER (2 TO),[1629646],1610612759.0,SAS,bad pass,,,Bassey,C. Bassey,,,,,Mid-Range,16-24 Left Center,202053.0,2.0,,,,,,,,,,,,,,,,,,
145,PT00M04.90S,2022-11-16T03:34:29.7Z,1,REGULAR,substitution,out,[],203926,,,1610612757,30,27,2022-11-16T03:34:37Z,1440000,False,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT00M04.90S,2022-11-16T03:34:29.7Z,1,REGULAR,substitution,in,[],1631110,,,1610612757,30,27,2022-11-16T03:34:37Z,1450000,False,,,0,,SUB in: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M02.70S,2022-11-16T03:34:48.3Z,1,REGULAR,turnover,bad pass,[],1629642,,,1610612757,30,27,2022-11-16T03:34:53Z,1460000,False,,,0,,N. Little bad pass TURNOVER (1 TO),"[1629642, 1630200]",1610612757.0,POR,,,,Little,N. Little,,,,,Mid-Range,8-16 Left,,1.0,,,,,,,,,,,Jones,1630200.0,,,,,,
148,PT00M02.70S,2022-11-16T03:34:48.3Z,1,REGULAR,steal,,[],1630200,,,1610612759,30,27,2022-11-16T03:35:40Z,1470000,False,,,0,,T. Jones STEAL (1 STL),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
149,PT00M00.00S,2022-11-16T03:34:51.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626196,10.068988173455978,24.509803921568626,1610612759,30,29,2022-11-16T03:34:59Z,1480000,False,127.0,42.0,1,left,J. Richardson 13' Jump Shot (2 PTS) (J. Sochan 3 AST),"[1626196, 1631110]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Mid-Range,8-16 Right,,,13.43,Made,2.0,,,,,J. Sochan,1631110.0,3.0,,,,,,,,
152,PT00M00.00S,2022-11-16T03:35:31.4Z,1,REGULAR,period,end,[],0,,,1610612757,30,29,2022-11-16T03:35:31Z,1510000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2022-11-16T03:37:08.8Z,2,REGULAR,substitution,out,['startperiod'],1629234,,,1610612757,30,29,2022-11-16T03:37:25Z,1520000,False,,,0,,SUB out: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2022-11-16T03:37:08.8Z,2,REGULAR,substitution,in,['startperiod'],203994,,,1610612757,30,29,2022-11-16T03:37:25Z,1530000,False,,,0,,SUB in: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2022-11-16T03:37:40.6Z,2,REGULAR,period,start,[],0,,,1610612757,30,29,2022-11-16T03:37:40Z,1540000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT11M52.00S,2022-11-16T03:37:52.4Z,2,REGULAR,turnover,8-second-violation,['team'],0,,,1610612757,30,29,2022-11-16T03:38:17Z,1550000,False,,,0,,POR 8-second-violation Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Left Center,202053.0,,,,,,,,,,,,,,,,,,,
157,PT11M39.00S,2022-11-16T03:38:30.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630170,6.389618922470433,95.09803921568627,1610612759,30,32,2022-11-16T03:38:34Z,1560000,False,-225.0,8.0,1,left,D. Vassell 3PT  (9 PTS) (J. Richardson 1 AST),"[1630170, 1626196]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Left Corner 3,24+ Left,,,22.56,Made,9.0,,,,,J. Richardson,1626196.0,1.0,,,,,,,,
159,PT11M19.00S,2022-11-16T03:38:49.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,93.11760840998686,50.73529411764706,1610612757,30,32,2022-11-16T03:38:55Z,1580000,False,4.0,12.0,1,right,MISS A. Simons driving floating Shot,[1629014],1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,1.27,Missed,,,,,,,,,,,,,,,,
160,PT11M17.00S,2022-11-16T03:38:51.4Z,2,REGULAR,rebound,offensive,[],203994,,,1610612757,30,32,2022-11-16T03:38:51Z,1590000,False,,,0,,J. Nurkic REBOUND (Off:2 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,159.0,2.0,0.0,2.0,,,,,,,,,,,
161,PT11M17.00S,2022-11-16T03:38:51.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,94.40999984741211,50.0,1610612757,32,32,2022-11-16T03:38:51Z,1600000,False,0.0,0.0,1,right,J. Nurkic tip Layup (2 PTS),[203994],1610612757.0,POR,tip,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Left,,,0.0,Made,2.0,,,,,,,,,,,,,,,
162,PT11M08.00S,2022-11-16T03:39:00.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630170,6.652431011826544,48.03921568627451,1610612759,32,34,2022-11-16T03:39:04Z,1610000,False,10.0,10.0,1,left,D. Vassell driving Layup (11 PTS) (C. Bassey 1 AST),"[1630170, 1629646]",1610612759.0,SAS,driving,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,1.4,Made,11.0,,,,,C. Bassey,1629646.0,1.0,,,,,,,,
164,PT10M52.00S,2022-11-16T03:39:16.5Z,2,REGULAR,3pt,Jump Shot,[],1629642,71.69842312746385,20.34313725490196,1610612757,32,34,2022-11-16T03:39:20Z,1630000,False,-148.0,214.0,1,right,MISS N. Little 26' 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,Above the Break 3,24+ Left Center,,,26.0,Missed,,,,,,,,,,,,,,,,
165,PT10M50.00S,2022-11-16T03:39:18.5Z,2,REGULAR,rebound,defensive,[],1629646,,,1610612759,32,34,2022-11-16T03:39:20Z,1640000,False,,,0,,C. Bassey REBOUND (Off:2 Def:1),[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,Above the Break 3,24+ Left Center,,,,,,164.0,3.0,1.0,2.0,,,,,,,,,,,
166,PT10M35.00S,2022-11-16T03:39:33.8Z,2,REGULAR,3pt,Jump Shot,[],1626196,15.850854139290407,3.9215686274509802,1610612759,32,34,2022-11-16T03:39:40Z,1650000,False,230.0,96.0,1,left,MISS J. Richardson 24' 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Right Center,,,24.98,Missed,,,,,,,,,,,,,,,,
167,PT10M32.00S,2022-11-16T03:39:36.8Z,2,REGULAR,rebound,defensive,[],203994,,,1610612757,32,34,2022-11-16T03:39:40Z,1660000,False,,,0,,J. Nurkic REBOUND (Off:2 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Right Center,,,,,,166.0,3.0,1.0,2.0,,,,,,,,,,,
168,PT10M27.00S,2022-11-16T03:39:41.1Z,2,REGULAR,turnover,lost ball,[],1630570,,,1610612757,32,34,2022-11-16T03:39:46Z,1670000,False,,,0,,T. Watford lost ball TURNOVER (1 TO),"[1630570, 1630200]",1610612757.0,POR,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Right Center,,1.0,,,,,,,,,,,Jones,1630200.0,,,,,,
169,PT10M27.00S,2022-11-16T03:39:41.1Z,2,REGULAR,steal,,[],1630200,,,1610612759,32,34,2022-11-16T03:39:44Z,1680000,False,,,0,,T. Jones STEAL (2 STL),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
170,PT10M23.00S,2022-11-16T03:39:45.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626196,9.017739816031538,50.245098039215684,1610612759,32,36,2022-11-16T03:39:52Z,1690000,False,-1.0,32.0,1,left,J. Richardson running alley-oop Layup (4 PTS) (T. Jones 2 AST),"[1626196, 1630200]",1610612759.0,SAS,running alley-oop,,,Richardson,J. Richardson,,,,,Restricted Area,0-8 Center,,,3.23,Made,4.0,,,,,T. Jones,1630200.0,2.0,,,,,,,,
172,PT10M07.00S,2022-11-16T03:40:02.4Z,2,REGULAR,2pt,Jump Shot,[],1629014,77.4802890932983,27.941176470588236,1610612757,32,36,2022-11-16T03:40:06Z,1710000,False,-110.0,159.0,1,right,MISS A. Simons 19' step back Shot,[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Mid-Range,16-24 Left Center,,,19.37,Missed,,,,,,,,,,,,,,,,
