actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
83,PT05M20.00S,2023-01-20T03:25:00.7Z,1,REGULAR,turnover,out-of-bounds,[],1629014,,,1610612757,6,15,2023-01-20T03:25:13Z,820000,False,,,0,,A. Simons bad pass out-of-bounds TURNOVER (1 TO),[1629014],1610612757.0,POR,bad pass,,,Simons,A. Simons,,,,,Mid-Range,16-24 Left,,,,,,,1627526.0,,,,,,,1.0,,,,,,
84,PT05M20.00S,2023-01-20T03:25:05.8Z,1,REGULAR,substitution,out,[],1629001,,,1610612755,6,15,2023-01-20T03:25:11Z,830000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M20.00S,2023-01-20T03:25:05.8Z,1,REGULAR,substitution,out,[],200782,,,1610612755,6,15,2023-01-20T03:25:11Z,840000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M20.00S,2023-01-20T03:25:05.8Z,1,REGULAR,substitution,in,[],1630178,,,1610612755,6,15,2023-01-20T03:25:11Z,850000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M20.00S,2023-01-20T03:25:05.8Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,6,15,2023-01-20T03:25:11Z,860000,False,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M08.00S,2023-01-20T03:25:28.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202699,6.783837056504599,50.245098039215684,1610612755,6,17,2023-01-20T03:35:11Z,870000,False,-1.0,11.0,1,left,T. Harris driving floating Jump Shot (2 PTS) (J. Harden 5 AST),"[202699, 201935]",1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,1.14,Made,,,,,,,,,,,,,,,2.0,J. Harden,201935.0,5.0
90,PT04M49.00S,2023-01-20T03:25:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,81.42247043363994,36.76470588235294,1610612757,8,17,2023-01-20T03:25:51Z,890000,False,-66.0,122.0,1,right,A. Simons 13' pullup Jump Shot (2 PTS) (D. Eubanks 1 AST),"[1629014, 1629234]",1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,13.89,Made,,,,,,,,,,,,,,,2.0,D. Eubanks,1629234.0,1.0
91,PT04M27.00S,2023-01-20T03:26:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,5.995400788436268,48.03921568627451,1610612755,8,17,2023-01-20T03:26:12Z,900000,False,10.0,4.0,1,left,MISS J. Embiid driving Layup,[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.05,Missed,,,,,,,,,,,,,,,,,,
92,PT04M26.00S,2023-01-20T03:26:09.6Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,8,17,2023-01-20T03:26:12Z,910000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:2),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,,,91.0,2.0,2.0,0.0,,,,,,,,,,,,,,
93,PT04M21.00S,2023-01-20T03:26:14.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631101,94.43166885676742,52.69607843137255,1610612757,8,17,2023-01-20T03:26:19Z,920000,False,13.0,0.0,1,right,MISS S. Sharpe running Layup,[1631101],1610612757.0,POR,running,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,1.35,Missed,,,,,,,,,,,,,,,,,,
94,PT04M19.00S,2023-01-20T03:26:16.6Z,1,REGULAR,rebound,offensive,[],1629642,,,1610612757,8,17,2023-01-20T03:26:16Z,930000,False,,,0,,N. Little REBOUND (Off:1 Def:0),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,Restricted Area,0-8 Center,,,93.0,1.0,0.0,1.0,,,,,,,,,,,,,,
95,PT04M19.00S,2023-01-20T03:26:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629642,93.64323258869908,45.83333333333333,1610612757,8,17,2023-01-20T03:26:25Z,940000,False,-21.0,7.0,1,right,MISS N. Little putback Layup - blocked,"[1629642, 203954]",1610612757.0,POR,putback,,,Little,N. Little,,,,,Restricted Area,0-8 Center,2.2,Missed,,,,,,,,,,Embiid,203954.0,,,,,,,
96,PT04M19.00S,2023-01-20T03:26:17.6Z,1,REGULAR,block,,[],203954,,,1610612757,8,17,2023-01-20T03:26:20Z,950000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
97,PT04M19.00S,2023-01-20T03:26:17.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,8,17,2023-01-20T03:26:25Z,960000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,95.0,,,,,,,,,,,,,,,,,
99,PT04M11.00S,2023-01-20T03:26:45.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629642,75.50919842312747,29.901960784313726,1610612757,8,17,2023-01-20T03:26:50Z,980000,False,-100.0,178.0,1,right,MISS N. Little 20' pullup Shot,[1629642],1610612757.0,POR,pullup,,,Little,N. Little,,,,,Mid-Range,16-24 Left Center,20.42,Missed,,,,,,,,,,,,,,,,,,
100,PT04M08.00S,2023-01-20T03:26:48.8Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612755,8,17,2023-01-20T03:26:50Z,990000,False,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Mid-Range,16-24 Left Center,,,99.0,1.0,1.0,0.0,,,,,,,,,,,,,,
101,PT04M02.00S,2023-01-20T03:26:54.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627777,24.917871222076215,86.76470588235294,1610612755,8,20,2023-01-20T03:27:00Z,1000000,False,-184.0,182.0,1,left,G. Niang 25' 3PT running (3 PTS) (J. Harden 6 AST),"[1627777, 201935]",1610612755.0,PHI,running,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,25.85,Made,,,,,,,,,,,,,,,3.0,J. Harden,201935.0,6.0
104,PT03M43.00S,2023-01-20T03:27:16.5Z,1,REGULAR,substitution,out,[],202699,,,1610612757,8,20,2023-01-20T03:27:24Z,1030000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M43.00S,2023-01-20T03:27:16.5Z,1,REGULAR,substitution,in,[],1629680,,,1610612757,8,20,2023-01-20T03:27:24Z,1040000,False,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M33.00S,2023-01-20T03:27:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,94.1688567674113,51.71568627450981,1610612757,10,20,2023-01-20T03:27:44Z,1050000,False,9.0,2.0,1,right,J. Grant driving Layup (4 PTS) (D. Eubanks 2 AST),"[203924, 1629234]",1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,0.89,Made,,,,,,,,,,,,,,,4.0,D. Eubanks,1629234.0,2.0
107,PT03M26.00S,2023-01-20T03:27:47.3Z,1,REGULAR,3pt,Jump Shot,[],1627777,15.719448094612352,96.07843137254902,1610612755,10,20,2023-01-20T03:27:52Z,1060000,False,-230.0,95.0,1,left,MISS G. Niang 24' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,24.93,Missed,,,,,,,,,,,,,,,,,,
108,PT03M23.00S,2023-01-20T03:27:50.3Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,10,20,2023-01-20T03:27:52Z,1070000,False,,,0,,N. Little REBOUND (Off:1 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,Above the Break 3,24+ Left Center,,,107.0,2.0,1.0,1.0,,,,,,,,,,,,,,
109,PT03M17.00S,2023-01-20T03:27:58.5Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612757,10,20,2023-01-20T03:28:07Z,1080000,False,,,0,,J. Embiid shooting personal FOUL (1 PF) (Grant 2 FT),"[203954, 203924]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627526.0,1.0,0.0,Grant,203924.0,,,,,,,,,
111,PT03M17.00S,2023-01-20T03:28:33.2Z,1,REGULAR,freethrow,1 of 2,[],203924,,,1610612757,11,20,2023-01-20T03:28:33Z,1100000,False,,,0,,J. Grant Free Throw 1 of 2 (5 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,,,,,,,5.0,,,
112,PT03M17.00S,2023-01-20T03:28:33.8Z,1,REGULAR,substitution,out,[],201935,,,1610612757,11,20,2023-01-20T03:28:36Z,1110000,False,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M17.00S,2023-01-20T03:28:33.8Z,1,REGULAR,substitution,in,[],1629003,,,1610612757,11,20,2023-01-20T03:28:36Z,1120000,False,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M17.00S,2023-01-20T03:28:57.7Z,1,REGULAR,freethrow,2 of 2,[],203924,,,1610612757,12,20,2023-01-20T03:28:57Z,1130000,False,,,0,,J. Grant Free Throw 2 of 2 (6 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,,,,,,,6.0,,,
115,PT03M04.00S,2023-01-20T03:29:11.7Z,1,REGULAR,2pt,Jump Shot,[],1630178,22.158344283837057,25.98039215686275,1610612755,12,22,2023-01-20T03:29:15Z,1140000,False,120.0,156.0,1,left,T. Maxey 19' pullup Jump Shot (2 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Right Center,19.67,Made,,,,,,,,,,,,,,,2.0,,,
116,PT02M44.00S,2023-01-20T03:29:31.4Z,1,REGULAR,turnover,bad pass,[],203924,,,1610612757,12,22,2023-01-20T03:29:35Z,1150000,False,,,0,,J. Grant bad pass TURNOVER (2 TO),"[203924, 203954]",1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2.0,Embiid,203954.0,,,,
117,PT02M44.00S,2023-01-20T03:29:31.4Z,1,REGULAR,steal,,[],203954,,,1610612755,12,22,2023-01-20T03:29:33Z,1160000,False,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
118,PT02M25.00S,2023-01-20T03:29:50.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203954,13.87976346911958,72.54901960784314,1610612755,12,22,2023-01-20T03:44:09Z,1170000,False,-113.0,78.0,1,left,MISS J. Embiid 13' turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,13.71,Missed,,,,,,,,,,,,,,,,,,
119,PT02M23.00S,2023-01-20T03:29:52.0Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,12,22,2023-01-20T03:29:55Z,1180000,False,,,0,,J. Grant REBOUND (Off:0 Def:2),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,8-16 Left,,,118.0,2.0,2.0,0.0,,,,,,,,,,,,,,
120,PT02M12.00S,2023-01-20T03:30:02.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629234,91.27792378449409,38.970588235294116,1610612757,12,22,2023-01-20T03:30:11Z,1190000,False,-55.0,29.0,1,right,MISS D. Eubanks 6' driving bank Hook,[1629234],1610612757.0,POR,driving bank,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,6.25,Missed,,,,,,,,,,,,,,,,,,
121,PT02M11.00S,2023-01-20T03:30:03.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,12,22,2023-01-20T03:30:11Z,1200000,False,,,0,,J. Embiid REBOUND (Off:0 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,120.0,4.0,4.0,0.0,,,,,,,,,,,,,,
122,PT02M01.00S,2023-01-20T03:30:13.9Z,1,REGULAR,2pt,Jump Shot,[],1630178,22.421156373193167,46.568627450980394,1610612755,12,24,2023-01-20T03:30:17Z,1210000,False,17.0,158.0,1,left,T. Maxey 15' pullup Jump Shot (4 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Center,15.92,Made,,,,,,,,,,,,,,,4.0,,,
123,PT01M51.00S,2023-01-20T03:30:23.6Z,1,REGULAR,3pt,Jump Shot,[],1629014,88.78120893561103,95.83333333333334,1610612757,12,24,2023-01-20T03:51:16Z,1220000,False,229.0,53.0,1,right,MISS A. Simons pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Right Corner 3,24+ Right,23.52,Missed,,,,,,,,,,,,,,,,,,
124,PT01M49.00S,2023-01-20T03:30:25.6Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,12,24,2023-01-20T03:30:28Z,1230000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Right Corner 3,24+ Right,,,123.0,1.0,1.0,0.0,,,,,,,,,,,,,,
125,PT01M40.00S,2023-01-20T03:30:35.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,7.703679369250986,62.99019607843137,1610612755,12,26,2023-01-20T03:30:39Z,1240000,False,-65.0,20.0,1,left,T. Maxey 6' driving floating Jump Shot (6 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,6.8,Made,,,,,,,,,,,,,,,6.0,,,
126,PT01M25.00S,2023-01-20T03:30:49.6Z,1,REGULAR,2pt,Jump Shot,[],1629014,92.59198423127464,67.64705882352942,1610612757,12,26,2023-01-20T03:52:10Z,1250000,False,88.0,17.0,1,right,MISS A. Simons 8' turnaround fadeaway Shot,[1629014],1610612757.0,POR,turnaround fadeaway,,,Simons,A. Simons,,,,,Mid-Range,8-16 Right,8.98,Missed,,,,,,,,,,,,,,,,,,
127,PT01M24.00S,2023-01-20T03:30:50.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,12,26,2023-01-20T03:30:54Z,1260000,False,,,0,,J. Embiid REBOUND (Off:0 Def:5),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,,,126.0,5.0,5.0,0.0,,,,,,,,,,,,,,
128,PT01M18.00S,2023-01-20T03:30:57.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203954,32.14520367936925,40.931372549019606,1610612755,12,26,2023-01-20T03:52:39Z,1270000,False,45.0,250.0,1,left,MISS J. Embiid 25' running pullup 3PT,[203954],1610612755.0,PHI,running pullup,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,25.38,Missed,,,,,,,,,,,,,,,,,,
129,PT01M18.00S,2023-01-20T03:30:57.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,12,26,2023-01-20T03:52:39Z,1280000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Center,,,128.0,,,,,,,,,,,,,,,,,
131,PT01M18.00S,2023-01-20T03:31:05.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,12,26,2023-01-20T03:31:05Z,1300000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M18.00S,2023-01-20T03:33:22.2Z,1,REGULAR,substitution,out,[],1629014,,,1610612755,12,26,2023-01-20T03:33:51Z,1310000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M18.00S,2023-01-20T03:33:22.2Z,1,REGULAR,substitution,out,[],203924,,,1610612755,12,26,2023-01-20T03:33:51Z,1320000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M18.00S,2023-01-20T03:33:22.2Z,1,REGULAR,substitution,out,[],203954,,,1610612755,12,26,2023-01-20T03:33:51Z,1330000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M18.00S,2023-01-20T03:33:22.2Z,1,REGULAR,substitution,in,[],1631133,,,1610612755,12,26,2023-01-20T03:33:51Z,1340000,False,,,0,,SUB in: J. Walker,[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M18.00S,2023-01-20T03:33:22.2Z,1,REGULAR,substitution,in,[],203081,,,1610612755,12,26,2023-01-20T03:33:51Z,1350000,False,,,0,,SUB in: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M18.00S,2023-01-20T03:33:22.2Z,1,REGULAR,substitution,in,[],1626149,,,1610612755,12,26,2023-01-20T03:33:51Z,1360000,False,,,0,,SUB in: M. Harrell,[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M12.00S,2023-01-20T03:34:09.5Z,1,REGULAR,foul,offensive,[],1626149,,,1610612755,12,26,2023-01-20T03:34:32Z,1370000,False,,,0,,M. Harrell offensive FOUL (1 PF),"[1626149, 1629642]",1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Mid-Range,16-24 Left Center,,,,,,,1146.0,1.0,0.0,Little,1629642.0,,,,,,,,,
141,PT01M12.00S,2023-01-20T03:34:09.5Z,1,REGULAR,turnover,offensive foul,[],1626149,,,1610612755,12,26,2023-01-20T03:34:09Z,1390000,False,,,0,,M. Harrell offensive foul TURNOVER (1 TO),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Mid-Range,16-24 Left Center,,,,,,,1146.0,,,,,,,1.0,,,,,,
142,PT00M58.30S,2023-01-20T03:34:36.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631101,74.32654402102497,30.14705882352941,1610612757,14,26,2023-01-20T03:34:40Z,1400000,False,-99.0,189.0,1,right,S. Sharpe 21' pullup Jump Shot (2 PTS),[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Left Center,21.33,Made,,,,,,,,,,,,,,,2.0,,,
143,PT00M40.10S,2023-01-20T03:34:57.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,33.722076215505915,16.666666666666664,1610612755,14,26,2023-01-20T03:53:53Z,1410000,False,167.0,264.0,1,left,MISS T. Maxey 31' step back 3PT,[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,31.26,Missed,,,,,,,,,,,,,,,,,,
144,PT00M37.00S,2023-01-20T03:35:00.2Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,14,26,2023-01-20T03:35:02Z,1420000,False,,,0,,N. Little REBOUND (Off:1 Def:2),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,Above the Break 3,24+ Right Center,,,143.0,3.0,2.0,1.0,,,,,,,,,,,,,,
145,PT00M31.70S,2023-01-20T03:35:08.5Z,1,REGULAR,foul,personal,[],1629680,,,1610612757,14,26,2023-01-20T03:35:19Z,1430000,False,,,0,,M. Thybulle personal FOUL (1 PF),"[1629680, 203081]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,Mid-Range,16-24 Left Center,,,,,,,201245.0,1.0,0.0,Lillard,203081.0,,,,,,,,,
147,PT00M14.50S,2023-01-20T03:35:48.3Z,1,REGULAR,turnover,out-of-bounds,[],203081,,,1610612757,14,26,2023-01-20T03:35:56Z,1450000,False,,,0,,D. Lillard bad pass out-of-bounds TURNOVER (2 TO),[203081],1610612757.0,POR,bad pass,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Left Center,,,,,,,1627526.0,,,,,,,2.0,,,,,,
148,PT00M01.50S,2023-01-20T03:36:10.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,7.703679369250986,47.05882352941176,1610612755,14,26,2023-01-20T03:54:49Z,1460000,False,15.0,20.0,1,left,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.47,Missed,,,,,,,,,,,,,,,,,,
149,PT00M01.50S,2023-01-20T03:36:10.8Z,1,REGULAR,rebound,offensive,[],1626149,,,1610612755,14,26,2023-01-20T03:36:18Z,1470000,False,,,0,,M. Harrell REBOUND (Off:1 Def:0),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Restricted Area,0-8 Center,,,148.0,1.0,0.0,1.0,,,,,,,,,,,,,,
150,PT00M00.00S,2023-01-20T03:36:16.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1626149,5.590000152587891,50.0,1610612755,14,26,2023-01-20T03:36:36Z,1480000,False,0.0,0.0,1,left,MISS M. Harrell tip Layup,[1626149],1610612755.0,PHI,tip,,,Harrell,M. Harrell,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
153,PT00M00.00S,2023-01-20T03:36:16.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,14,26,2023-01-20T03:36:36Z,1485000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,150.0,,,,,,,,,,,,,,,,,
151,PT00M00.00S,2023-01-20T03:36:18.3Z,1,REGULAR,period,end,[],0,,,1610612755,14,26,2023-01-20T03:36:36Z,1490000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2023-01-20T03:37:09.6Z,2,REGULAR,substitution,out,['startperiod'],1629642,,,1610612755,14,26,2023-01-20T03:38:36Z,1500000,False,,,0,,SUB out: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2023-01-20T03:37:09.6Z,2,REGULAR,substitution,out,['startperiod'],1629234,,,1610612755,14,26,2023-01-20T03:38:36Z,1510000,False,,,0,,SUB out: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2023-01-20T03:37:09.6Z,2,REGULAR,substitution,in,['startperiod'],203994,,,1610612755,14,26,2023-01-20T03:38:36Z,1520000,False,,,0,,SUB in: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-01-20T03:37:09.6Z,2,REGULAR,substitution,in,['startperiod'],1628404,,,1610612755,14,26,2023-01-20T03:38:36Z,1530000,False,,,0,,SUB in: J. Hart,[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-01-20T03:38:52.3Z,2,REGULAR,period,start,[],0,,,1610612755,14,26,2023-01-20T03:38:52Z,1540000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M45.00S,2023-01-20T03:39:07.8Z,2,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612755,14,26,2023-01-20T03:39:13Z,1550000,False,,,0,,J. Hart shooting personal FOUL (1 PF) (Milton 2 FT),"[1628404, 1629003]",1610612757.0,POR,shooting,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,201245.0,1.0,0.0,Milton,1629003.0,,,,,,,,,
162,PT11M45.00S,2023-01-20T03:39:30.7Z,2,REGULAR,freethrow,1 of 2,[],1629003,,,1610612755,14,27,2023-01-20T03:39:30Z,1570000,False,,,0,,S. Milton Free Throw 1 of 2 (1 PTS),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
163,PT11M45.00S,2023-01-20T03:39:46.0Z,2,REGULAR,freethrow,2 of 2,[],1629003,,,1610612755,14,28,2023-01-20T03:39:46Z,1580000,False,,,0,,S. Milton Free Throw 2 of 2 (2 PTS),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,Made,,,,,,,,,,,,,,,2.0,,,
164,PT11M20.00S,2023-01-20T03:40:15.7Z,2,REGULAR,3pt,Jump Shot,[],1631101,64.73390275952694,49.50980392156863,1610612757,14,28,2023-01-20T03:40:27Z,1590000,False,-2.0,279.0,1,right,MISS S. Sharpe 27' pullup 3PT - blocked,"[1631101, 1629680]",1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,27.9,Missed,,,,,,,,,,Thybulle,1629680.0,,,,,,,
165,PT11M20.00S,2023-01-20T03:40:15.7Z,2,REGULAR,block,,[],1629680,,,1610612757,14,28,2023-01-20T03:40:21Z,1600000,False,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
166,PT11M20.00S,2023-01-20T03:40:15.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612757,14,28,2023-01-20T03:40:27Z,1610000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Center,,,164.0,,,,,,,,,,,,,,,,,
167,PT11M20.00S,2023-01-20T03:40:24.5Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612757,14,28,2023-01-20T03:40:48Z,1620000,False,,,0,,POR shot clock Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,1627526.0,,,,,,,,,,,,,
