actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
84,PT05M45.00S,2025-01-04T03:52:52.5Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612747,18,13,2025-01-04T03:52:49Z,840000,False,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,83.0,1.0,0.0,1.0,,,,,,,,,,,,
85,PT05M37.00S,2025-01-04T03:52:55.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630559,76.00197109067017,87.25490196078431,1610612747,18,13,2025-01-04T03:53:01Z,850000,False,186.0,173.0,1,right,MISS A. Reaves 25' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,25.43,Missed,,,,,,,,,,,,,,,,
86,PT05M34.00S,2025-01-04T03:52:58.3Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,18,13,2025-01-04T03:53:01Z,860000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,
87,PT05M22.00S,2025-01-04T03:53:11.1Z,1,REGULAR,3pt,Jump Shot,[],1630700,29.352825229960573,84.55882352941177,1610612737,18,13,2025-01-04T03:54:00Z,870000,False,-173.0,223.0,1,left,MISS D. Daniels 28' 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,28.24,Missed,,,,,,,,,,,,,,,,
88,PT05M22.00S,2025-01-04T03:53:11.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,18,13,2025-01-04T03:54:00Z,880000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,87.0,,,,,,,,,,,,,,,
89,PT05M22.00S,2025-01-04T03:53:15.6Z,1,REGULAR,foul,personal,[],203992,,,1610612747,18,13,2025-01-04T03:53:24Z,890000,False,,,0,,B. Bogdanović loose ball personal FOUL (1 PF),"[203992, 1627827]",1610612737.0,ATL,loose ball,,,Bogdanović,B. Bogdanović,,,,,Restricted Area,0-8 Center,1193.0,,,,,,,,,,,,,,1.0,0.0,Finney-Smith,1627827.0,,
91,PT05M07.00S,2025-01-04T03:53:52.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629631,,,1610612747,18,13,2025-01-04T03:54:02Z,910000,False,,,0,,D. Hunter personal FOUL (1 PF) (Davis 2 FT),"[1629631, 203076]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,1193.0,,,,,,,,,,,,,,1.0,0.0,Davis,203076.0,,
93,PT05M07.00S,2025-01-04T03:54:25.1Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,19,13,2025-01-04T03:54:25Z,930000,False,,,0,,A. Davis Free Throw 1 of 2 (7 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,Made,,,,,7.0,,,,,,,,,,,
94,PT05M07.00S,2025-01-04T03:54:25.9Z,1,REGULAR,substitution,out,[],1631108,,,1610612747,19,13,2025-01-04T03:54:33Z,940000,False,,,0,,SUB out: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M07.00S,2025-01-04T03:54:25.9Z,1,REGULAR,substitution,out,[],1629060,,,1610612747,19,13,2025-01-04T03:54:33Z,950000,False,,,0,,SUB out: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M07.00S,2025-01-04T03:54:25.9Z,1,REGULAR,substitution,in,[],1629629,,,1610612747,19,13,2025-01-04T03:54:33Z,960000,False,,,0,,SUB in: C. Reddish,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M07.00S,2025-01-04T03:54:25.9Z,1,REGULAR,substitution,in,[],1629003,,,1610612747,19,13,2025-01-04T03:54:33Z,970000,False,,,0,,SUB in: S. Milton,[1629003],1610612747.0,LAL,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M07.00S,2025-01-04T03:54:52.6Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,20,13,2025-01-04T03:54:52Z,980000,False,,,0,,A. Davis Free Throw 2 of 2 (8 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,Made,,,,,8.0,,,,,,,,,,,
99,PT04M59.00S,2025-01-04T03:55:04.5Z,1,REGULAR,foul,personal,[],1627827,,,1610612737,20,13,2025-01-04T03:55:16Z,990000,False,,,0,,D. Finney-Smith personal FOUL (1 PF),"[1627827, 1629631]",1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),8-16 Left,1193.0,,,,,,,,,,,,,,1.0,0.0,Hunter,1629631.0,,
101,PT04M55.00S,2025-01-04T03:55:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,8.327858081471746,46.81372549019608,1610612737,20,13,2025-01-04T03:55:26Z,1010000,False,16.0,26.0,1,left,MISS D. Hunter driving Layup - blocked,"[1629631, 203076]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,3.03,Missed,,,,,,,,,,,,,,,Davis,203076.0
102,PT04M55.00S,2025-01-04T03:55:20.3Z,1,REGULAR,block,,[],203076,,,1610612737,20,13,2025-01-04T03:55:23Z,1020000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
103,PT04M51.00S,2025-01-04T03:55:24.3Z,1,REGULAR,rebound,offensive,[],1629631,,,1610612737,20,13,2025-01-04T03:55:26Z,1030000,False,,,0,,D. Hunter REBOUND (Off:1 Def:0),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,101.0,1.0,0.0,1.0,,,,,,,,,,,,
104,PT04M48.00S,2025-01-04T03:55:26.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630700,12.795663600525614,64.2156862745098,1610612737,20,13,2025-01-04T03:55:34Z,1040000,False,-71.0,68.0,1,left,MISS D. Daniels 9' driving bank Shot,[1630700],1610612737.0,ATL,driving bank,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Left,,,9.82,Missed,,,,,,,,,,,,,,,,
105,PT04M43.00S,2025-01-04T03:55:31.8Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,20,13,2025-01-04T03:55:31Z,1050000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Left,,,,,104.0,2.0,1.0,1.0,,,,,,,,,,,,
106,PT04M39.00S,2025-01-04T03:55:36.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,7.802233902759525,51.71568627450981,1610612737,20,13,2025-01-04T03:55:40Z,1060000,False,-9.0,21.0,1,left,MISS O. Okongwu cutting Layup,[1630168],1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,2.25,Missed,,,,,,,,,,,,,,,,
107,PT04M36.00S,2025-01-04T03:55:39.2Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,20,13,2025-01-04T03:55:40Z,1070000,False,,,0,,A. Davis REBOUND (Off:1 Def:4),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,106.0,5.0,4.0,1.0,,,,,,,,,,,,
109,PT04M31.00S,2025-01-04T03:56:01.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,20,13,2025-01-04T03:58:52Z,1090000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M31.00S,2025-01-04T03:58:40.1Z,1,REGULAR,substitution,out,[],1630700,,,1610612747,20,13,2025-01-04T03:58:58Z,1110000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M31.00S,2025-01-04T03:58:40.1Z,1,REGULAR,substitution,out,[],1642258,,,1610612747,20,13,2025-01-04T03:58:58Z,1120000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M31.00S,2025-01-04T03:58:40.1Z,1,REGULAR,substitution,in,[],1630552,,,1610612747,20,13,2025-01-04T03:58:58Z,1130000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M31.00S,2025-01-04T03:58:40.1Z,1,REGULAR,substitution,in,[],1629027,,,1610612747,20,13,2025-01-04T03:58:58Z,1140000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT04M27.00S,2025-01-04T03:59:07.9Z,1,REGULAR,2pt,Jump Shot,[],203076,89.14257555847568,27.941176470588232,1610612747,20,13,2025-01-04T03:59:12Z,1150000,False,-110.0,50.0,1,right,MISS A. Davis 12' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,12.09,Missed,,,,,,,,,,,,,,,,
117,PT04M27.00S,2025-01-04T03:59:11.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,20,13,2025-01-04T03:59:11Z,1160000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Mid-Range,8-16 Left,,,,,116.0,,,,,,,,,,,,,,,
119,PT04M19.00S,2025-01-04T03:59:27.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203076,82.44086727989487,56.372549019607845,1610612747,20,13,2025-01-04T03:59:33Z,1180000,False,32.0,113.0,1,right,MISS A. Davis 11' turnaround Shot - blocked,"[203076, 1630168]",1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,11.7,Missed,,,,,,,,,,,,,,,Okongwu,1630168.0
120,PT04M19.00S,2025-01-04T03:59:27.4Z,1,REGULAR,block,,[],1630168,,,1610612747,20,13,2025-01-04T03:59:30Z,1190000,False,,,0,,O. Okongwu BLOCK (1 BLK),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
121,PT04M16.00S,2025-01-04T03:59:30.4Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,20,13,2025-01-04T03:59:33Z,1200000,False,,,0,,A. Davis REBOUND (Off:2 Def:4),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,119.0,6.0,4.0,2.0,,,,,,,,,,,,
122,PT04M12.00S,2025-01-04T03:59:34.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203076,88.87976346911958,36.51960784313726,1610612747,20,13,2025-01-04T03:59:38Z,1210000,False,-67.0,52.0,1,right,MISS A. Davis 8' fadeaway Shot,[203076],1610612747.0,LAL,fadeaway,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Left,,,8.51,Missed,,,,,,,,,,,,,,,,
123,PT04M10.00S,2025-01-04T03:59:36.6Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,20,13,2025-01-04T03:59:38Z,1220000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Left,,,,,122.0,3.0,2.0,1.0,,,,,,,,,,,,
124,PT04M01.00S,2025-01-04T03:59:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,7.145203679369246,48.0392156862745,1610612737,20,15,2025-01-04T04:01:08Z,1230000,False,10.0,15.0,1,left,O. Okongwu alley-oop Layup (2 PTS) (B. Bogdanović 1 AST),"[1630168, 203992]",1610612737.0,ATL,alley-oop,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,1.77,Made,,,,,2.0,,,B. Bogdanović,203992.0,1.0,,,,,,
126,PT03M39.00S,2025-01-04T04:00:07.9Z,1,REGULAR,3pt,Jump Shot,[],1629003,77.31603153745073,12.74509803921569,1610612747,20,15,2025-01-04T04:00:12Z,1250000,False,-186.0,161.0,1,right,MISS S. Milton 24' 3PT,[1629003],1610612747.0,LAL,,,,Milton,S. Milton,,,,,Above the Break 3,24+ Left Center,,,24.6,Missed,,,,,,,,,,,,,,,,
127,PT03M36.00S,2025-01-04T04:00:10.9Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,20,15,2025-01-04T04:00:12Z,1260000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,
140,PT03M30.00S,2025-01-04T04:00:28.1Z,1,REGULAR,2pt,Jump Shot,[],1629631,12.401445466491452,76.9607843137255,1610612737,20,15,2025-01-04T04:02:18Z,1270000,False,-135.0,64.0,1,left,MISS D. Hunter 14' turnaround fadeaway Shot,[1629631],1610612737.0,ATL,turnaround fadeaway,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Left,,,14.93,Missed,,,,,,,,,,,,,,,,
141,PT03M27.00S,2025-01-04T04:00:31.1Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,20,15,2025-01-04T04:02:18Z,1275000,False,,,0,,A. Davis REBOUND (Off:2 Def:5),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,,,140.0,7.0,5.0,2.0,,,,,,,,,,,,
152,PT03M21.00S,2025-01-04T04:00:38.2Z,1,REGULAR,2pt,Jump Shot,[],1630559,87.30289093298292,80.88235294117646,1610612747,22,15,2025-01-04T04:04:41Z,1277500,False,154.0,67.0,1,right,A. Reaves 16' pullup bank Jump Shot (4 PTS),[1630559],1610612747.0,LAL,pullup bank,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Right,,,16.83,Made,,,,,4.0,,,,,,,,,,,
153,PT03M14.00S,2025-01-04T04:00:43.2Z,1,REGULAR,3pt,Jump Shot,[],203992,29.747043363994734,77.20588235294117,1610612737,22,18,2025-01-04T04:05:29Z,1278750,False,-136.0,227.0,1,left,B. Bogdanović 26' 3PT  (3 PTS) (T. Young 4 AST),"[203992, 1629027]",1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,Above the Break 3,24+ Left Center,,,26.47,Made,,,,,3.0,,,T. Young,1629027.0,4.0,,,,,,
129,PT03M06.00S,2025-01-04T04:00:48.3Z,1,REGULAR,3pt,Jump Shot,[],1629629,76.52759526938239,6.862745098039213,1610612747,25,18,2025-01-04T04:04:14Z,1280000,False,-216.0,168.0,1,right,C. Reddish 27' 3PT  (3 PTS) (S. Milton 1 AST),"[1629629, 1629003]",1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Left Center,,,27.35,Made,,,,,3.0,,,S. Milton,1629003.0,1.0,,,,,,
130,PT02M57.00S,2025-01-04T04:00:54.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,7.933639947437584,51.71568627450981,1610612737,25,20,2025-01-04T04:04:39Z,1290000,False,-9.0,22.0,1,left,O. Okongwu cutting DUNK (4 PTS) (T. Young 5 AST),"[1630168, 1629027]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,2.37,Made,,,,,4.0,,,T. Young,1629027.0,5.0,,,,,,
132,PT02M41.00S,2025-01-04T04:01:09.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630168,,,1610612747,25,20,2025-01-04T04:01:24Z,1310000,False,,,0,,O. Okongwu personal FOUL (1 PF) (Milton 2 FT),"[1630168, 1629003]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,1193.0,,,,,,,,,,,,,,1.0,0.0,Milton,1629003.0,,
134,PT02M41.00S,2025-01-04T04:01:39.1Z,1,REGULAR,freethrow,1 of 2,[],1629003,,,1610612747,26,20,2025-01-04T04:01:39Z,1330000,False,,,0,,S. Milton Free Throw 1 of 2 (1 PTS),[1629003],1610612747.0,LAL,,,,Milton,S. Milton,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
135,PT02M41.00S,2025-01-04T04:01:41.6Z,1,REGULAR,substitution,out,[],1630559,,,1610612747,26,20,2025-01-04T04:01:47Z,1340000,False,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M41.00S,2025-01-04T04:01:41.6Z,1,REGULAR,substitution,in,[],2544,,,1610612747,26,20,2025-01-04T04:01:47Z,1350000,False,,,0,,SUB in: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M41.00S,2025-01-04T04:01:57.3Z,1,REGULAR,freethrow,2 of 2,[],1629003,,,1610612747,27,20,2025-01-04T04:01:57Z,1360000,False,,,0,,S. Milton Free Throw 2 of 2 (2 PTS),[1629003],1610612747.0,LAL,,,,Milton,S. Milton,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,
138,PT02M31.00S,2025-01-04T04:02:07.5Z,1,REGULAR,3pt,Jump Shot,[],203992,26.856110381077528,87.74509803921569,1610612737,27,20,2025-01-04T04:02:24Z,1370000,False,-189.0,200.0,1,left,MISS B. Bogdanović 27' 3PT,[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,Above the Break 3,24+ Left Center,,,27.49,Missed,,,,,,,,,,,,,,,,
139,PT02M30.00S,2025-01-04T04:02:15.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,27,20,2025-01-04T04:02:15Z,1380000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,138.0,,,,,,,,,,,,,,,
142,PT02M30.00S,2025-01-04T04:02:17.5Z,1,REGULAR,foul,personal,[],2544,,,1610612737,27,20,2025-01-04T04:02:25Z,1390000,False,,,0,,L. James loose ball personal FOUL (1 PF),"[2544, 1630168]",1610612747.0,LAL,loose ball,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,1193.0,,,,,,,,,,,,,,1.0,0.0,Okongwu,1630168.0,,
144,PT02M25.00S,2025-01-04T04:02:36.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629027,9.379106438896187,48.28431372549019,1610612737,27,20,2025-01-04T04:03:20Z,1410000,False,9.0,36.0,1,left,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,3.67,Missed,,,,,,,,,,,,,,,,
145,PT02M23.00S,2025-01-04T04:02:41.2Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,27,20,2025-01-04T04:02:41Z,1420000,False,,,0,,O. Okongwu REBOUND (Off:2 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,144.0,4.0,2.0,2.0,,,,,,,,,,,,
150,PT02M23.00S,2025-01-04T04:02:52.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630168,5.590000152587891,50.0,1610612737,27,22,2025-01-04T04:03:24Z,1470000,False,0.0,0.0,1,left,O. Okongwu tip Layup (6 PTS),[1630168],1610612737.0,ATL,tip,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,0.0,Made,,,,,6.0,,,,,,,,,,,
151,PT02M23.00S,2025-01-04T04:03:10.4Z,1,REGULAR,timeout,full,['team'],0,,,1610612747,27,22,2025-01-04T04:03:10Z,1480000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT02M08.00S,2025-01-04T04:04:31.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,93.61038107752957,49.50980392156863,1610612747,29,22,2025-01-04T04:04:46Z,1490000,False,-2.0,8.0,1,right,A. Davis DUNK (10 PTS) (L. James 4 AST),"[203076, 2544]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,0.8,Made,,,,,10.0,,,L. James,2544.0,4.0,,,,,,
158,PT02M01.00S,2025-01-04T04:04:38.5Z,1,REGULAR,3pt,Jump Shot,[],1629027,34.477660972404735,56.86274509803921,1610612737,29,25,2025-01-04T04:04:49Z,1510000,False,-34.0,272.0,1,left,T. Young 27' 3PT pullup (5 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,27.38,Made,,,,,5.0,,,,,,,,,,,
159,PT01M41.00S,2025-01-04T04:04:58.0Z,1,REGULAR,turnover,lost ball,[],2544,,,1610612747,29,25,2025-01-04T04:05:01Z,1520000,False,,,0,,L. James lost ball TURNOVER (1 TO),"[2544, 203992]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Left,,1.0,,,,,,,,Bogdanović,203992.0,,,,,,,,,
160,PT01M41.00S,2025-01-04T04:04:58.0Z,1,REGULAR,steal,,[],203992,,,1610612737,29,25,2025-01-04T04:05:00Z,1530000,False,,,0,,B. Bogdanović STEAL (2 STL),[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
161,PT01M40.00S,2025-01-04T04:05:02.6Z,1,REGULAR,violation,kicked ball,[],2544,,,1610612737,29,25,2025-01-04T04:05:10Z,1540000,False,,,0,,L. James kicked ball VIOLATION,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,202027.0,,,,,,,,,,,,,,,,,,,
162,PT01M40.00S,2025-01-04T04:05:06.5Z,1,REGULAR,substitution,out,[],203076,,,1610612737,29,25,2025-01-04T04:05:13Z,1550000,False,,,0,,SUB out: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT01M40.00S,2025-01-04T04:05:06.5Z,1,REGULAR,substitution,in,[],1629637,,,1610612737,29,25,2025-01-04T04:05:13Z,1560000,False,,,0,,SUB in: J. Hayes,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT01M27.00S,2025-01-04T04:05:37.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,16.080814717476997,3.9215686274509807,1610612737,29,25,2025-01-04T04:05:44Z,1570000,False,230.0,99.0,1,left,MISS D. Hunter 25' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,,,25.07,Missed,,,,,,,,,,,,,,,,
165,PT01M23.00S,2025-01-04T04:05:41.9Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612747,29,25,2025-01-04T04:05:44Z,1580000,False,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Above the Break 3,24+ Right Center,,,,,164.0,1.0,1.0,0.0,,,,,,,,,,,,
166,PT01M17.00S,2025-01-04T04:05:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629003,92.82194480946123,45.34313725490197,1610612747,29,25,2025-01-04T04:05:52Z,1590000,False,-23.0,15.0,1,right,MISS S. Milton driving Layup,[1629003],1610612747.0,LAL,driving,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,,,2.77,Missed,,,,,,,,,,,,,,,,
167,PT01M14.00S,2025-01-04T04:05:52.0Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,29,25,2025-01-04T04:05:52Z,1600000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,166.0,2.0,2.0,0.0,,,,,,,,,,,,
168,PT01M07.00S,2025-01-04T04:05:59.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,9.379106438896187,48.529411764705884,1610612737,29,25,2025-01-04T04:06:03Z,1610000,False,7.0,36.0,1,left,MISS O. Okongwu Layup - blocked,"[1630168, 1629003]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,3.65,Missed,,,,,,,,,,,,,,,Milton,1629003.0
169,PT01M07.00S,2025-01-04T04:05:59.2Z,1,REGULAR,block,,[],1629003,,,1610612737,29,25,2025-01-04T04:06:01Z,1620000,False,,,0,,S. Milton BLOCK (1 BLK),[1629003],1610612747.0,LAL,,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
170,PT01M04.00S,2025-01-04T04:06:02.2Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,29,25,2025-01-04T04:06:02Z,1630000,False,,,0,,O. Okongwu REBOUND (Off:3 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,168.0,5.0,2.0,3.0,,,,,,,,,,,,
171,PT01M01.00S,2025-01-04T04:06:04.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630168,10.693166885676746,96.81372549019608,1610612737,29,25,2025-01-04T04:06:09Z,1640000,False,-234.0,48.0,1,left,MISS O. Okongwu 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Left Corner 3,24+ Left,,,23.9,Missed,,,,,,,,,,,,,,,,
172,PT00M58.40S,2025-01-04T04:06:07.2Z,1,REGULAR,rebound,defensive,[],1629003,,,1610612747,29,25,2025-01-04T04:06:09Z,1650000,False,,,0,,S. Milton REBOUND (Off:0 Def:1),[1629003],1610612747.0,LAL,,,,Milton,S. Milton,,,,,Left Corner 3,24+ Left,,,,,171.0,1.0,1.0,0.0,,,,,,,,,,,,
