actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
200,PT08M28.00S,2021-10-30T21:43:11.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626149,11.12023653088042,54.166666666666664,1610612764,31,27,2021-10-30T21:43:15Z,1940000,-21.0,52.0,1,left,MISS M. Harrell floating Shot,[1626149],1610612764.0,WAS,floating,,,Harrell,M. Harrell,,,,,5.6,Missed,,,,,,,,,,,,,,,,,,,
201,PT08M26.00S,2021-10-30T21:43:13.6Z,2,REGULAR,rebound,defensive,[],1626196,,,1610612738,31,27,2021-10-30T21:43:15Z,1950000,,,0,,J. Richardson REBOUND (Off:1 Def:1),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,200.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
202,PT08M17.00S,2021-10-30T21:43:22.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202683,83.65637319316689,43.13725490196079,1610612738,31,27,2021-10-30T21:43:26Z,1960000,-34.0,101.0,1,right,MISS E. Kanter 10' Jump Shot,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,10.68,Missed,,,,,,,,,,,,,,,,,,,
203,PT08M15.00S,2021-10-30T21:43:24.7Z,2,REGULAR,rebound,defensive,[],1626149,,,1610612764,31,27,2021-10-30T21:43:26Z,1970000,,,0,,M. Harrell REBOUND (Off:0 Def:4),[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,202.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
204,PT08M10.00S,2021-10-30T21:43:33.6Z,2,REGULAR,foul,personal,[],1626196,,,1610612764,31,27,2021-10-30T21:43:48Z,1980000,,,0,,J. Richardson personal FOUL (2 PF),"[1626196, 203915]",1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,2534.0,,,,,2.0,0.0,Dinwiddie,203915.0,,,,,,
206,PT08M10.00S,2021-10-30T21:43:46.5Z,2,REGULAR,substitution,out,[],1630557,,,1610612764,31,27,2021-10-30T21:44:00Z,2000000,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT08M10.00S,2021-10-30T21:43:46.5Z,2,REGULAR,substitution,out,[],1626196,,,1610612764,31,27,2021-10-30T21:44:00Z,2010000,,,0,,SUB out: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT08M10.00S,2021-10-30T21:43:46.5Z,2,REGULAR,substitution,out,[],1630202,,,1610612764,31,27,2021-10-30T21:44:00Z,2020000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT08M10.00S,2021-10-30T21:43:46.5Z,2,REGULAR,substitution,out,[],1628369,,,1610612764,31,27,2021-10-30T21:44:00Z,2030000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M10.00S,2021-10-30T21:43:46.5Z,2,REGULAR,substitution,in,[],203526,,,1610612764,31,27,2021-10-30T21:44:00Z,2040000,,,0,,SUB in: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT08M10.00S,2021-10-30T21:43:46.5Z,2,REGULAR,substitution,in,[],203471,,,1610612764,31,27,2021-10-30T21:44:00Z,2050000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT08M10.00S,2021-10-30T21:43:46.5Z,2,REGULAR,substitution,in,[],1627759,,,1610612764,31,27,2021-10-30T21:44:00Z,2060000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M10.00S,2021-10-30T21:43:46.5Z,2,REGULAR,substitution,in,[],1629641,,,1610612764,31,27,2021-10-30T21:44:00Z,2070000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M10.00S,2021-10-30T21:43:46.5Z,2,REGULAR,substitution,out,[],203915,,,1610612764,31,27,2021-10-30T21:44:11Z,2080000,,,0,,SUB out: S. Dinwiddie,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT08M10.00S,2021-10-30T21:43:46.5Z,2,REGULAR,substitution,in,[],1628398,,,1610612764,31,27,2021-10-30T21:44:11Z,2090000,,,0,,SUB in: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT08M00.00S,2021-10-30T21:44:14.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628988,9.674770039421814,62.00980392156863,1610612764,33,27,2021-10-30T21:44:18Z,2100000,-60.0,38.0,1,left,A. Holiday 7' floating Jump Shot (2 PTS) (K. Caldwell-Pope 1 AST),"[1628988, 203484]",1610612764.0,WAS,floating,,,Holiday,A. Holiday,,,,,7.12,Made,,,,,,,,,2.0,,,,,K. Caldwell-Pope,203484.0,1.0,,,
217,PT07M45.00S,2021-10-30T21:44:31.7Z,2,REGULAR,foul,personal,[],1628988,,,1610612738,33,27,2021-10-30T21:44:39Z,2110000,,,0,,A. Holiday personal FOUL (1 PF),"[1628988, 1629641]",1610612764.0,WAS,,,,Holiday,A. Holiday,,,,,,,,,,,2534.0,,,,,1.0,0.0,Langford,1629641.0,,,,,,
219,PT07M33.00S,2021-10-30T21:45:04.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,82.9993429697766,36.51960784313725,1610612738,33,27,2021-10-30T21:45:09Z,2130000,-67.0,107.0,1,right,MISS D. Schroder 12' Jump Shot,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,12.67,Missed,,,,,,,,,,,,,,,,,,,
220,PT07M31.00S,2021-10-30T21:45:06.5Z,2,REGULAR,rebound,defensive,[],1628398,,,1610612764,33,27,2021-10-30T21:45:09Z,2140000,,,0,,K. Kuzma REBOUND (Off:0 Def:4),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,219.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
221,PT07M28.00S,2021-10-30T21:45:10.7Z,2,REGULAR,foul,personal,['2freethrow'],1629641,,,1610612764,33,27,2021-10-30T21:45:26Z,2150000,,,0,,R. Langford shooting personal FOUL (1 PF) (Harrell 2 FT),"[1629641, 1626149]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,,,,,,,2534.0,,,,,1.0,0.0,Harrell,1626149.0,,,,,,
223,PT07M28.00S,2021-10-30T21:45:48.2Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1626149,,,1610612764,34,27,2021-10-30T21:46:19Z,2170000,,,0,,M. Harrell Free Throw 1 of 2 (9 PTS),[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,Made,,,,,,,,,9.0,,,,,,,,,,
224,PT07M28.00S,2021-10-30T21:45:49.0Z,2,REGULAR,substitution,out,[],202683,,,1610612764,34,27,2021-10-30T21:45:52Z,2180000,,,0,,SUB out: E. Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M28.00S,2021-10-30T21:45:49.0Z,2,REGULAR,substitution,in,[],201143,,,1610612764,34,27,2021-10-30T21:45:52Z,2190000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M28.00S,2021-10-30T21:45:48.2Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1626149,,,1610612764,34,27,2021-10-30T21:46:19Z,2200000,,,0,,MISS M. Harrell Free Throw 2 of 2,[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,Missed,,,,,,,,,,,,,,,,,,,
227,PT07M25.00S,2021-10-30T21:45:51.2Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,34,27,2021-10-30T21:46:19Z,2210000,,,0,,G. Williams REBOUND (Off:1 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,226.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
228,PT07M14.00S,2021-10-30T21:46:28.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,93.24901445466492,51.9607843137255,1610612738,34,29,2021-10-30T21:46:33Z,2220000,10.0,11.0,1,right,J. Brown DUNK (10 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,1.47,Made,,,,,,,,,10.0,,,,,,,,,,
229,PT07M03.00S,2021-10-30T21:46:42.1Z,2,REGULAR,foul,personal,['inpenalty'],1627759,,,1610612764,34,29,2021-10-30T21:57:10Z,2230000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 203484]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,1155.0,,,,,1.0,0.0,Caldwell-Pope,203484.0,,,,,,
231,PT07M03.00S,2021-10-30T21:46:58.1Z,2,REGULAR,substitution,out,[],203484,,,1610612764,34,29,2021-10-30T21:47:02Z,2250000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT07M03.00S,2021-10-30T21:46:58.1Z,2,REGULAR,substitution,in,[],1630166,,,1610612764,34,29,2021-10-30T21:47:02Z,2260000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT07M03.00S,2021-10-30T21:47:18.0Z,2,REGULAR,foul,personal,['1freethrow'],1629641,,,1610612764,34,29,2021-10-30T21:49:48Z,2270000,,,0,,R. Langford away-from-play personal FOUL (2 PF) (Holiday 1 FT),"[1629641, 1628988]",1610612738.0,BOS,away-from-play,,,Langford,R. Langford,,,,,,,,,,,1155.0,,,,,2.0,0.0,Holiday,1628988.0,,,,,,
235,PT07M03.00S,2021-10-30T21:47:58.9Z,2,REGULAR,freethrow,1 of 1,[],1628988,,,1610612764,35,29,2021-10-30T21:50:31Z,2290000,,,0,,A. Holiday away-from-play Free Throw 1 of 1 (3 PTS),[1628988],1610612764.0,WAS,away-from-play,,,Holiday,A. Holiday,,,,,,Made,,,,,,,,,3.0,,,,,,,,,,
236,PT06M50.00S,2021-10-30T21:48:27.3Z,2,REGULAR,2pt,Jump Shot,[],1628398,24.78646517739816,37.99019607843137,1610612764,35,29,2021-10-30T21:48:33Z,2300000,60.0,180.0,1,left,MISS K. Kuzma 19' Jump Shot,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,19.02,Missed,,,,,,,,,,,,,,,,,,,
237,PT06M45.00S,2021-10-30T21:48:32.3Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,35,29,2021-10-30T21:48:33Z,2310000,,,0,,A. Horford REBOUND (Off:0 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,236.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
238,PT06M39.00S,2021-10-30T21:48:39.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.9862023653088,45.588235294117645,1610612738,35,31,2021-10-30T21:48:46Z,2320000,-22.0,13.0,1,right,J. Brown Layup (12 PTS) (A. Horford 2 AST),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,2.58,Made,,,,,,,,,12.0,,,,,A. Horford,201143.0,2.0,,,
239,PT06M39.00S,2021-10-30T21:48:43.7Z,2,REGULAR,foul,personal,['1freethrow'],1626149,,,1610612738,35,31,2021-10-30T21:49:07Z,2330000,,,0,,M. Harrell shooting personal FOUL (1 PF) (Brown 1 FT),"[1626149, 1627759]",1610612764.0,WAS,shooting,,,Harrell,M. Harrell,,,,,,,,,,,2534.0,,,,,1.0,0.0,Brown,1627759.0,,,,,,
241,PT06M39.00S,2021-10-30T21:49:13.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,35,31,2021-10-30T21:49:32Z,2350000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M39.00S,2021-10-30T21:51:07.3Z,2,REGULAR,substitution,out,[],1628988,,,1610612738,35,31,2021-10-30T21:51:38Z,2360000,,,0,,SUB out: A. Holiday,[1628988],1610612764.0,WAS,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT06M39.00S,2021-10-30T21:51:07.3Z,2,REGULAR,substitution,out,[],1626149,,,1610612738,35,31,2021-10-30T21:51:38Z,2370000,,,0,,SUB out: M. Harrell,[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M39.00S,2021-10-30T21:51:07.3Z,2,REGULAR,substitution,in,[],202722,,,1610612738,35,31,2021-10-30T21:51:38Z,2380000,,,0,,SUB in: D. Bertans,[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT06M39.00S,2021-10-30T21:51:07.3Z,2,REGULAR,substitution,in,[],203078,,,1610612738,35,31,2021-10-30T21:51:38Z,2390000,,,0,,SUB in: B. Beal,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT06M39.00S,2021-10-30T21:52:02.1Z,2,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,35,32,2021-10-30T21:52:02Z,2400000,,,0,,J. Brown Free Throw 1 of 1 (13 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,,,,,13.0,,,,,,,,,,
247,PT06M21.00S,2021-10-30T21:52:23.7Z,2,REGULAR,3pt,Jump Shot,[],202722,25.04927726675427,88.48039215686273,1610612764,38,32,2021-10-30T21:52:29Z,2410000,-192.0,183.0,1,left,D. Bertans 26' 3PT  (7 PTS) (B. Beal 2 AST),"[202722, 203078]",1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,26.55,Made,,,,,,,,,7.0,,,,,B. Beal,203078.0,2.0,,,
249,PT06M00.00S,2021-10-30T21:52:43.8Z,2,REGULAR,2pt,Jump Shot,[],1627759,93.38042049934296,77.69607843137256,1610612738,38,34,2021-10-30T21:52:49Z,2430000,138.0,10.0,1,right,J. Brown 13' Jump Shot (15 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,13.88,Made,,,,,,,,,15.0,,,,,,,,,,
250,PT05M39.00S,2021-10-30T21:53:05.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,17.69053876478318,59.31372549019608,1610612764,40,34,2021-10-30T21:53:09Z,2440000,-47.0,114.0,1,left,B. Beal 12' pullup Jump Shot (14 PTS),[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,12.3,Made,,,,,,,,,14.0,,,,,,,,,,
251,PT05M29.00S,2021-10-30T21:53:18.6Z,2,REGULAR,foul,personal,[],203078,,,1610612738,40,34,2021-10-30T21:53:30Z,2450000,,,0,,B. Beal personal FOUL (1 PF),"[203078, 1629684]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,1627519.0,,,,,1.0,0.0,Williams,1629684.0,,,,,,
253,PT05M29.00S,2021-10-30T21:53:28.4Z,2,REGULAR,substitution,out,[],1629684,,,1610612738,40,34,2021-10-30T21:53:33Z,2470000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT05M29.00S,2021-10-30T21:53:28.4Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,40,34,2021-10-30T21:53:33Z,2480000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT05M17.00S,2021-10-30T21:53:53.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,89.70105124835742,57.84313725490197,1610612738,40,34,2021-10-30T21:54:00Z,2490000,39.0,44.0,1,right,MISS J. Tatum Layup - blocked,"[1628369, 203078]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,5.92,Missed,,,,,,,,,,,,,,,,,Beal,203078.0,
256,PT05M17.00S,2021-10-30T21:53:53.0Z,2,REGULAR,block,,[],203078,,,1610612738,40,34,2021-10-30T21:53:56Z,2500000,,,0,,B. Beal BLOCK (1 BLK),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT05M13.00S,2021-10-30T21:53:57.0Z,2,REGULAR,rebound,offensive,[],1629641,,,1610612738,40,34,2021-10-30T21:53:57Z,2510000,,,0,,R. Langford REBOUND (Off:1 Def:1),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,255.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
258,PT05M11.00S,2021-10-30T21:53:59.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,92.46057818659659,4.411764705882353,1610612738,40,34,2021-10-30T21:54:04Z,2520000,-228.0,18.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.86,Missed,,,,,,,,,,,,,,,,,,,
259,PT05M08.00S,2021-10-30T21:54:02.1Z,2,REGULAR,rebound,defensive,[],1628398,,,1610612764,40,34,2021-10-30T21:54:02Z,2530000,,,0,,K. Kuzma REBOUND (Off:0 Def:5),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,258.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
260,PT04M56.00S,2021-10-30T21:54:13.8Z,2,REGULAR,turnover,lost ball,[],203078,,,1610612764,40,34,2021-10-30T21:54:23Z,2540000,,,0,,B. Beal lost ball TURNOVER (2 TO),"[203078, 203471]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,2.0,Schroder,203471.0,,,,,,,,,,,
261,PT04M56.00S,2021-10-30T21:54:13.8Z,2,REGULAR,steal,,[],203471,,,1610612738,40,34,2021-10-30T21:54:16Z,2550000,,,0,,D. Schroder STEAL (1 STL),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT04M56.00S,2021-10-30T21:54:18.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203526,,,1610612738,40,34,2021-10-30T21:54:26Z,2560000,,,0,,R. Neto personal FOUL (1 PF) (Schroder 2 FT),"[203526, 203471]",1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,1627519.0,,,,,1.0,0.0,Schroder,203471.0,,,,,,
264,PT04M56.00S,2021-10-30T21:54:50.6Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],203471,,,1610612738,40,35,2021-10-30T21:55:10Z,2580000,,,0,,D. Schroder Free Throw 1 of 2 (1 PTS),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,Made,,,,,,,,,1.0,,,,,,,,,,
265,PT04M56.00S,2021-10-30T21:54:50.6Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],203471,,,1610612738,40,35,2021-10-30T21:55:10Z,2590000,,,0,,MISS D. Schroder Free Throw 2 of 2,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,Missed,,,,,,,,,,,,,,,,,,,
266,PT04M53.00S,2021-10-30T21:54:53.6Z,2,REGULAR,rebound,defensive,[],202722,,,1610612764,40,35,2021-10-30T22:00:08Z,2600000,,,0,,D. Bertans REBOUND (Off:0 Def:1),[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,,265.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
267,PT04M44.00S,2021-10-30T21:55:17.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203526,8.09789750328515,51.9607843137255,1610612764,40,35,2021-10-30T21:55:21Z,2610000,-10.0,24.0,1,left,MISS R. Neto Layup,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,2.56,Missed,,,,,,,,,,,,,,,,,,,
268,PT04M41.00S,2021-10-30T21:55:20.4Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,40,35,2021-10-30T21:55:21Z,2620000,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,267.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
269,PT04M38.00S,2021-10-30T21:55:23.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629641,94.56307490144546,3.431372549019608,1610612738,40,35,2021-10-30T21:55:28Z,2630000,-233.0,-1.0,1,right,MISS R. Langford 3PT,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,23.28,Missed,,,,,,,,,,,,,,,,,,,
270,PT04M35.00S,2021-10-30T21:55:26.2Z,2,REGULAR,rebound,defensive,[],1628398,,,1610612764,40,35,2021-10-30T21:55:28Z,2640000,,,0,,K. Kuzma REBOUND (Off:0 Def:6),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,269.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
271,PT04M28.00S,2021-10-30T21:55:33.0Z,2,REGULAR,3pt,Jump Shot,[],1628398,21.632720105124836,90.44117647058823,1610612764,40,35,2021-10-30T21:55:38Z,2650000,-202.0,151.0,1,left,MISS K. Kuzma 25' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,25.22,Missed,,,,,,,,,,,,,,,,,,,
272,PT04M24.00S,2021-10-30T21:55:37.0Z,2,REGULAR,rebound,defensive,[],1629641,,,1610612738,40,35,2021-10-30T21:55:38Z,2660000,,,0,,R. Langford REBOUND (Off:1 Def:2),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,271.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
273,PT04M15.00S,2021-10-30T21:55:45.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,92.32917214191852,46.568627450980394,1610612738,40,37,2021-10-30T21:55:54Z,2670000,-17.0,20.0,1,right,R. Langford Layup (2 PTS) (A. Horford 3 AST),"[1629641, 201143]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,2.61,Made,,,,,,,,,2.0,,,,,A. Horford,201143.0,3.0,,,
275,PT03M55.00S,2021-10-30T21:56:06.7Z,2,REGULAR,3pt,Jump Shot,[],202722,29.77989487516426,85.7843137254902,1610612764,40,37,2021-10-30T21:56:15Z,2690000,-179.0,227.0,1,left,MISS D. Bertans 28' pullup 3PT,[202722],1610612764.0,WAS,pullup,,,Bertans,D. Bertans,,,,,28.93,Missed,,,,,,,,,,,,,,,,,,,
276,PT03M52.00S,2021-10-30T21:56:09.7Z,2,REGULAR,rebound,defensive,[],1629641,,,1610612738,40,37,2021-10-30T21:56:11Z,2700000,,,0,,R. Langford REBOUND (Off:1 Def:3),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,275.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
277,PT03M48.00S,2021-10-30T21:56:13.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,78.40013140604468,7.8431372549019605,1610612738,40,37,2021-10-30T21:56:19Z,2710000,-211.0,151.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
278,PT03M43.00S,2021-10-30T21:56:18.4Z,2,REGULAR,rebound,defensive,[],202722,,,1610612764,40,37,2021-10-30T21:56:19Z,2720000,,,0,,D. Bertans REBOUND (Off:0 Def:2),[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,,277.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
279,PT03M28.00S,2021-10-30T21:56:33.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203526,8.09789750328515,52.69607843137255,1610612764,42,37,2021-10-30T21:56:45Z,2730000,-13.0,24.0,1,left,R. Neto cutting finger roll Layup (4 PTS) (B. Beal 3 AST),"[203526, 203078]",1610612764.0,WAS,cutting finger roll,,,Neto,R. Neto,,,,,2.72,Made,,,,,,,,,4.0,,,,,B. Beal,203078.0,3.0,,,
281,PT03M04.00S,2021-10-30T21:56:57.0Z,2,REGULAR,3pt,Jump Shot,[],203471,82.47371879106439,94.6078431372549,1610612738,42,37,2021-10-30T21:57:01Z,2750000,223.0,112.0,1,right,MISS D. Schroder 24' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,24.96,Missed,,,,,,,,,,,,,,,,,,,
282,PT03M01.00S,2021-10-30T21:57:00.0Z,2,REGULAR,rebound,defensive,[],1628398,,,1610612764,42,37,2021-10-30T21:57:01Z,2760000,,,0,,K. Kuzma REBOUND (Off:0 Def:7),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,281.0,7.0,7.0,0.0,,,,,,,,,,,,,,,
283,PT02M41.00S,2021-10-30T21:57:19.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,13.87976346911958,43.627450980392155,1610612764,42,37,2021-10-30T22:02:14Z,2770000,32.0,78.0,1,left,MISS B. Beal 8' turnaround Shot,[203078],1610612764.0,WAS,turnaround,,,Beal,B. Beal,,,,,8.43,Missed,,,,,,,,,,,,,,,,,,,
284,PT02M41.00S,2021-10-30T21:57:19.4Z,2,REGULAR,rebound,offensive,[],1628398,,,1610612764,42,37,2021-10-30T22:02:14Z,2780000,,,0,,K. Kuzma REBOUND (Off:1 Def:7),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,283.0,8.0,7.0,1.0,,,,,,,,,,,,,,,
285,PT02M41.00S,2021-10-30T21:57:22.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201143,,,1610612764,42,37,2021-10-30T21:57:29Z,2790000,,,0,,A. Horford shooting personal FOUL (1 PF) (Kuzma 2 FT),"[201143, 1628398]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,,,,2534.0,,,,,1.0,0.0,Kuzma,1628398.0,,,,,,
288,PT02M41.00S,2021-10-30T21:57:37.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,42,37,2021-10-30T21:57:37Z,2810000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
