actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
85,PT04M43.00S,2022-01-22T01:23:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,9.280551905387648,57.107843137254896,1610612761,20,12,2022-01-22T01:23:17Z,850000,-36.0,35.0,1,left,S. Barnes Layup (2 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,4.96,Made,2.0,,,,,,,,,,,,,,,
86,PT04M25.00S,2022-01-22T01:23:25.8Z,1,REGULAR,foul,personal,[],1628449,,,1610612764,20,12,2022-01-22T01:23:38Z,860000,,,0,,C. Boucher personal FOUL (2 PF),"[1628449, 1628418]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,1162.0,,,,,,,,,,,,,,2.0,0.0,Bryant,1628418.0,,
88,PT04M25.00S,2022-01-22T01:23:37.6Z,1,REGULAR,substitution,out,[],203484,,,1610612764,20,12,2022-01-22T01:23:46Z,880000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M25.00S,2022-01-22T01:23:37.6Z,1,REGULAR,substitution,out,[],1627783,,,1610612764,20,12,2022-01-22T01:23:46Z,890000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M25.00S,2022-01-22T01:23:37.6Z,1,REGULAR,substitution,in,[],1629060,,,1610612764,20,12,2022-01-22T01:23:46Z,900000,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M25.00S,2022-01-22T01:23:37.6Z,1,REGULAR,substitution,in,[],1629139,,,1610612764,20,12,2022-01-22T01:23:46Z,910000,,,0,,SUB in: Y. Watanabe,[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M12.00S,2022-01-22T01:24:04.2Z,1,REGULAR,2pt,Jump Shot,[],1629060,81.42247043363994,78.43137254901961,1610612764,20,12,2022-01-22T01:24:10Z,920000,142.0,122.0,1,right,MISS R. Hachimura 18' pullup Shot,[1629060],1610612764.0,WAS,pullup,,,Hachimura,R. Hachimura,,,,,,,18.74,Missed,,,,,,,,,,,,,,,,
93,PT04M08.00S,2022-01-22T01:24:08.2Z,1,REGULAR,rebound,defensive,[],1629139,,,1610612761,20,12,2022-01-22T01:24:10Z,930000,,,0,,Y. Watanabe REBOUND (Off:0 Def:1),[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,92.0,1.0,1.0,0.0,,,,,,,,
94,PT03M58.00S,2022-01-22T01:24:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,19.004599211563733,54.90196078431373,1610612761,20,12,2022-01-22T01:24:25Z,940000,-25.0,126.0,1,left,MISS S. Barnes 12' floating Shot,[1630567],1610612761.0,TOR,floating,,,Barnes,S. Barnes,,,,,,,12.85,Missed,,,,,,,,,,,,,,,,
95,PT03M56.00S,2022-01-22T01:24:19.9Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,20,12,2022-01-22T01:24:25Z,950000,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,
96,PT03M48.00S,2022-01-22T01:24:28.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,90.48948751642575,54.90196078431373,1610612764,20,12,2022-01-22T01:24:35Z,960000,25.0,37.0,1,right,MISS B. Beal Layup,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,4.43,Missed,,,,,,,,,,,,,,,,
97,PT03M43.00S,2022-01-22T01:24:33.3Z,1,REGULAR,rebound,offensive,[],203078,,,1610612764,20,12,2022-01-22T01:24:35Z,970000,,,0,,B. Beal REBOUND (Off:1 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,96.0,2.0,1.0,1.0,,,,,,,,
98,PT03M43.00S,2022-01-22T01:24:34.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203078,94.40999984741211,50.0,1610612764,22,12,2022-01-22T01:24:34Z,980000,0.0,0.0,1,right,B. Beal tip Layup (8 PTS),[203078],1610612764.0,WAS,tip,,,Beal,B. Beal,,,,,,,0.0,Made,8.0,,,,,,,,,,,,,,,
99,PT03M31.00S,2022-01-22T01:24:45.6Z,1,REGULAR,3pt,Jump Shot,[],1630567,25.04927726675427,11.519607843137255,1610612761,22,12,2022-01-22T01:24:58Z,990000,192.0,183.0,1,left,MISS S. Barnes 26' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,26.55,Missed,,,,,,,,,,,,,,,,
100,PT03M20.00S,2022-01-22T01:24:56.6Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,22,12,2022-01-22T01:25:03Z,1000000,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,99.0,1.0,1.0,0.0,,,,,,,,
101,PT03M11.00S,2022-01-22T01:25:04.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628418,93.38042049934296,50.0,1610612764,24,12,2022-01-22T01:25:12Z,1010000,0.0,10.0,1,right,T. Bryant Hook (4 PTS),[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,0.97,Made,4.0,,,,,,,,,,,,,,,
102,PT03M04.00S,2022-01-22T01:25:12.5Z,1,REGULAR,3pt,Jump Shot,[],1627832,32.670827858081466,46.568627450980394,1610612761,24,15,2022-01-22T01:25:32Z,1020000,17.0,255.0,1,left,F. VanVleet 25' 3PT  (5 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,25.52,Made,5.0,,,,,,,,,,,,,,,
103,PT02M46.00S,2022-01-22T01:25:42.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628418,91.40932982917214,51.71568627450981,1610612764,24,15,2022-01-22T01:25:54Z,1030000,9.0,28.0,1,right,MISS T. Bryant Layup - blocked,"[1628418, 1627832]",1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,2.96,Missed,,,,,,,,,,,,,,,VanVleet,1627832.0
106,PT02M46.00S,2022-01-22T01:25:42.2Z,1,REGULAR,block,,[],1627832,,,1610612764,24,15,2022-01-22T01:25:45Z,1040000,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M46.00S,2022-01-22T01:25:42.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,24,15,2022-01-22T01:25:54Z,1050000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,103.0,,,,,,,,,,,
108,PT02M46.00S,2022-01-22T01:25:48.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,24,15,2022-01-22T01:25:48Z,1060000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M46.00S,2022-01-22T01:25:52.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,24,15,2022-01-22T01:25:52Z,1070000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M46.00S,2022-01-22T01:28:00.5Z,1,REGULAR,substitution,out,[],203078,,,1610612764,24,15,2022-01-22T01:28:18Z,1080000,,,0,,SUB out: B. Beal,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M46.00S,2022-01-22T01:28:00.5Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,24,15,2022-01-22T01:28:18Z,1090000,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M46.00S,2022-01-22T01:28:00.5Z,1,REGULAR,substitution,out,[],1628449,,,1610612764,24,15,2022-01-22T01:28:18Z,1100000,,,0,,SUB out: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M46.00S,2022-01-22T01:28:00.5Z,1,REGULAR,substitution,in,[],203915,,,1610612764,24,15,2022-01-22T01:28:18Z,1110000,,,0,,SUB in: S. Dinwiddie,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M46.00S,2022-01-22T01:28:00.5Z,1,REGULAR,substitution,in,[],202722,,,1610612764,24,15,2022-01-22T01:28:18Z,1120000,,,0,,SUB in: D. Bertans,[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M46.00S,2022-01-22T01:28:00.5Z,1,REGULAR,substitution,in,[],1628384,,,1610612764,24,15,2022-01-22T01:28:18Z,1130000,,,0,,SUB in: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M44.00S,2022-01-22T01:28:30.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202722,88.38699080157687,96.07843137254902,1610612764,24,15,2022-01-22T01:28:38Z,1140000,230.0,57.0,1,right,MISS D. Bertans 3PT,[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,,23.73,Missed,,,,,,,,,,,,,,,,
117,PT02M39.00S,2022-01-22T01:28:35.8Z,1,REGULAR,rebound,defensive,[],1629139,,,1610612761,24,15,2022-01-22T01:28:38Z,1150000,,,0,,Y. Watanabe REBOUND (Off:0 Def:2),[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,116.0,2.0,2.0,0.0,,,,,,,,
118,PT02M32.00S,2022-01-22T01:28:42.4Z,1,REGULAR,3pt,Jump Shot,[],1630173,9.543363994743759,4.6568627450980395,1610612761,24,15,2022-01-22T01:29:04Z,1160000,227.0,37.0,1,left,MISS P. Achiuwa 3PT,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,22.97,Missed,,,,,,,,,,,,,,,,
119,PT02M28.00S,2022-01-22T01:28:46.4Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612761,24,15,2022-01-22T01:29:04Z,1170000,,,0,,O. Anunoby REBOUND (Off:1 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,118.0,2.0,1.0,1.0,,,,,,,,
120,PT02M24.00S,2022-01-22T01:29:46.1Z,1,REGULAR,jumpball,recovered,[],1629060,,,1610612761,24,15,2022-01-22T01:29:46Z,1180000,,,0,,Jump Ball S. Dinwiddie vs. O. Anunoby: Tip to R. Hachimura,"[1629060, 203915, 1628384]",1610612764.0,WAS,heldball,R. Hachimura,1629060.0,Hachimura,R. Hachimura,Dinwiddie,203915.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,,,,,
123,PT02M24.00S,2022-01-22T01:29:46.1Z,1,REGULAR,turnover,lost ball,[],1628384,,,1610612761,24,15,2022-01-22T01:29:46Z,1210000,,,0,,O. Anunoby lost ball TURNOVER (2 TO),"[1628384, 203915]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,2.0,,,,,,,,,,,Dinwiddie,203915.0,,,,,,
124,PT02M24.00S,2022-01-22T01:29:46.1Z,1,REGULAR,steal,,[],203915,,,1610612764,24,15,2022-01-22T01:29:46Z,1220000,,,0,,S. Dinwiddie STEAL (1 STL),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M10.00S,2022-01-22T01:29:58.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630557,87.33574244415243,51.225490196078425,1610612764,26,15,2022-01-22T01:30:07Z,1230000,6.0,67.0,1,right,C. Kispert 6' floating Jump Shot (2 PTS) (S. Dinwiddie 1 AST),"[1630557, 203915]",1610612764.0,WAS,floating,,,Kispert,C. Kispert,,,,,,,6.68,Made,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,
127,PT01M54.00S,2022-01-22T01:30:15.7Z,1,REGULAR,3pt,Jump Shot,[],1627832,27.414586070959263,18.872549019607842,1610612761,26,15,2022-01-22T01:30:21Z,1250000,156.0,205.0,1,left,MISS F. VanVleet 25' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,25.75,Missed,,,,,,,,,,,,,,,,
128,PT01M51.00S,2022-01-22T01:30:18.7Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,26,15,2022-01-22T01:30:21Z,1260000,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,127.0,2.0,2.0,0.0,,,,,,,,
129,PT01M38.00S,2022-01-22T01:30:31.7Z,1,REGULAR,2pt,Jump Shot,[],203915,77.08607095926413,73.2843137254902,1610612764,26,15,2022-01-22T01:30:40Z,1270000,116.0,163.0,1,right,MISS S. Dinwiddie 20' step back Shot,[203915],1610612764.0,WAS,step back,,,Dinwiddie,S. Dinwiddie,,,,,,,20.02,Missed,,,,,,,,,,,,,,,,
130,PT01M35.00S,2022-01-22T01:30:34.7Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,26,15,2022-01-22T01:30:40Z,1280000,,,0,,O. Anunoby REBOUND (Off:1 Def:2),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,129.0,3.0,2.0,1.0,,,,,,,,
131,PT01M27.00S,2022-01-22T01:30:42.6Z,1,REGULAR,2pt,Hook,[],1630567,8.360709592641262,66.42156862745098,1610612761,26,17,2022-01-22T01:48:08Z,1290000,-82.0,26.0,1,left,S. Barnes 8' turnaround Hook (4 PTS),[1630567],1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,,,8.61,Made,4.0,,,,,,,,,,,,,,,
132,PT01M12.00S,2022-01-22T01:30:57.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,91.93495400788436,55.63725490196079,1610612764,28,17,2022-01-22T01:31:03Z,1300000,28.0,23.0,1,right,R. Hachimura driving Layup (2 PTS),[1629060],1610612764.0,WAS,driving,,,Hachimura,R. Hachimura,,,,,,,3.66,Made,2.0,,,,,,,,,,,,,,,
133,PT00M57.90S,2022-01-22T01:31:15.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,12.171484888304862,52.94117647058824,1610612761,28,19,2022-01-22T01:31:45Z,1310000,-15.0,62.0,1,left,S. Barnes 6' Hook (6 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,6.36,Made,6.0,,,,,,,,,,,,,,,
134,PT00M57.90S,2022-01-22T01:31:18.7Z,1,REGULAR,foul,personal,['1freethrow'],1630557,,,1610612761,28,19,2022-01-22T01:31:25Z,1320000,,,0,,C. Kispert shooting personal FOUL (1 PF) (Barnes 1 FT),"[1630557, 1630567]",1610612764.0,WAS,shooting,,,Kispert,C. Kispert,,,,,200833.0,,,,,,,,,,,,,,1.0,0.0,Barnes,1630567.0,,
136,PT00M57.90S,2022-01-22T01:31:41.1Z,1,REGULAR,freethrow,1 of 1,[],1630567,,,1610612761,28,20,2022-01-22T01:31:41Z,1340000,,,0,,S. Barnes Free Throw 1 of 1 (7 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
137,PT00M42.00S,2022-01-22T01:31:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629060,81.68528252299606,64.2156862745098,1610612764,28,20,2022-01-22T01:32:05Z,1350000,71.0,120.0,1,right,MISS R. Hachimura 13' step back Shot,[1629060],1610612764.0,WAS,step back,,,Hachimura,R. Hachimura,,,,,,,13.92,Missed,,,,,,,,,,,,,,,,
138,PT00M39.00S,2022-01-22T01:32:02.1Z,1,REGULAR,rebound,offensive,[],203915,,,1610612764,28,20,2022-01-22T01:32:05Z,1360000,,,0,,S. Dinwiddie REBOUND (Off:1 Def:2),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,137.0,3.0,2.0,1.0,,,,,,,,
139,PT00M31.90S,2022-01-22T01:32:09.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203915,92.59198423127464,89.4607843137255,1610612764,28,20,2022-01-22T01:32:22Z,1370000,197.0,17.0,1,right,MISS S. Dinwiddie 19' step back Shot,[203915],1610612764.0,WAS,step back,,,Dinwiddie,S. Dinwiddie,,,,,,,19.8,Missed,,,,,,,,,,,,,,,,
142,PT00M24.80S,2022-01-22T01:32:16.2Z,1,REGULAR,rebound,offensive,[],1630557,,,1610612764,28,20,2022-01-22T01:32:22Z,1380000,,,0,,C. Kispert REBOUND (Off:1 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,139.0,2.0,1.0,1.0,,,,,,,,
143,PT00M24.80S,2022-01-22T01:32:19.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630557,94.40999984741211,50.0,1610612764,30,20,2022-01-22T01:32:19Z,1390000,0.0,0.0,1,right,C. Kispert putback Layup (4 PTS),[1630557],1610612764.0,WAS,putback,,,Kispert,C. Kispert,,,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,
144,PT00M13.70S,2022-01-22T01:32:30.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,17.296320630749015,41.42156862745098,1610612761,30,20,2022-01-22T01:32:35Z,1400000,43.0,110.0,1,left,MISS O. Anunoby 11' turnaround fadeaway Shot,[1628384],1610612761.0,TOR,turnaround fadeaway,,,Anunoby,O. Anunoby,,,,,,,11.82,Missed,,,,,,,,,,,,,,,,
145,PT00M10.70S,2022-01-22T01:32:33.5Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612764,30,20,2022-01-22T01:32:33Z,1410000,,,0,,T. Bryant REBOUND (Off:1 Def:1),[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,,,,,,,144.0,2.0,1.0,1.0,,,,,,,,
146,PT00M00.00S,2022-01-22T01:32:44.4Z,1,REGULAR,3pt,Jump Shot,[],1628418,66.96780551905388,54.65686274509803,1610612764,30,20,2022-01-22T01:32:58Z,1420000,23.0,258.0,1,right,MISS T. Bryant 25' 3PT,[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,25.9,Missed,,,,,,,,,,,,,,,,
147,PT00M00.00S,2022-01-22T01:32:44.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,30,20,2022-01-22T01:32:58Z,1430000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,146.0,,,,,,,,,,,
148,PT00M00.00S,2022-01-22T01:32:50.1Z,1,REGULAR,period,end,[],0,,,1610612764,30,20,2022-01-22T01:32:50Z,1440000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2022-01-22T01:34:44.5Z,2,REGULAR,substitution,out,['startperiod'],1627832,,,1610612764,30,20,2022-01-22T01:35:19Z,1450000,,,0,,SUB out: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2022-01-22T01:34:44.5Z,2,REGULAR,substitution,in,['startperiod'],1627783,,,1610612764,30,20,2022-01-22T01:35:19Z,1460000,,,0,,SUB in: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2022-01-22T01:35:32.6Z,2,REGULAR,period,start,[],0,,,1610612764,30,20,2022-01-22T01:35:32Z,1470000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT11M46.00S,2022-01-22T01:35:46.1Z,2,REGULAR,3pt,Jump Shot,[],1629060,67.49342969776609,49.50980392156863,1610612764,30,20,2022-01-22T01:35:52Z,1480000,-2.0,253.0,1,right,MISS R. Hachimura 25' 3PT,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,25.31,Missed,,,,,,,,,,,,,,,,
153,PT11M41.00S,2022-01-22T01:35:51.1Z,2,REGULAR,rebound,defensive,[],1628384,,,1610612761,30,20,2022-01-22T01:35:52Z,1490000,,,0,,O. Anunoby REBOUND (Off:1 Def:3),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,152.0,4.0,3.0,1.0,,,,,,,,
154,PT11M34.00S,2022-01-22T01:35:57.4Z,2,REGULAR,2pt,Jump Shot,[],1630567,11.12023653088042,12.745098039215685,1610612761,30,20,2022-01-22T01:36:06Z,1500000,186.0,52.0,1,left,MISS S. Barnes 19' Jump Shot,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,19.34,Missed,,,,,,,,,,,,,,,,
155,PT11M33.00S,2022-01-22T01:36:02.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612764,30,20,2022-01-22T01:36:02Z,1510000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,154.0,,,,,,,,,,,
156,PT11M33.00S,2022-01-22T01:36:04.3Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,30,20,2022-01-22T01:36:04Z,1520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M15.00S,2022-01-22T01:36:25.3Z,2,REGULAR,3pt,Jump Shot,[],1628418,71.96123521681997,81.37254901960785,1610612764,30,20,2022-01-22T01:36:33Z,1530000,157.0,211.0,1,right,MISS T. Bryant 26' 3PT,[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,26.3,Missed,,,,,,,,,,,,,,,,
158,PT11M10.00S,2022-01-22T01:36:30.3Z,2,REGULAR,rebound,defensive,[],1628384,,,1610612761,30,20,2022-01-22T01:36:33Z,1540000,,,0,,O. Anunoby REBOUND (Off:1 Def:4),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,157.0,5.0,4.0,1.0,,,,,,,,
159,PT10M52.00S,2022-01-22T01:36:48.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,15.850854139290407,60.049019607843135,1610612761,30,20,2022-01-22T01:36:54Z,1550000,-50.0,96.0,1,left,MISS P. Siakam 10' fadeaway Shot,[1627783],1610612761.0,TOR,fadeaway,,,Siakam,P. Siakam,,,,,,,10.88,Missed,,,,,,,,,,,,,,,,
160,PT10M49.00S,2022-01-22T01:36:51.1Z,2,REGULAR,rebound,defensive,[],1629060,,,1610612764,30,20,2022-01-22T01:36:54Z,1560000,,,0,,R. Hachimura REBOUND (Off:0 Def:3),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,159.0,3.0,3.0,0.0,,,,,,,,
161,PT10M44.00S,2022-01-22T01:36:56.1Z,2,REGULAR,3pt,Jump Shot,[],1630557,71.17279894875165,11.519607843137255,1610612764,30,20,2022-01-22T01:37:02Z,1570000,-192.0,218.0,1,right,MISS C. Kispert 29' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,29.11,Missed,,,,,,,,,,,,,,,,
162,PT10M41.00S,2022-01-22T01:36:59.1Z,2,REGULAR,rebound,defensive,[],1628384,,,1610612761,30,20,2022-01-22T01:37:02Z,1580000,,,0,,O. Anunoby REBOUND (Off:1 Def:5),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,161.0,6.0,5.0,1.0,,,,,,,,
163,PT10M38.00S,2022-01-22T01:37:03.9Z,2,REGULAR,foul,personal,[],1630557,,,1610612761,30,20,2022-01-22T01:37:13Z,1590000,,,0,,C. Kispert personal FOUL (2 PF),"[1630557, 1627783]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,1626302.0,,,,,,,,,,,,,,2.0,0.0,Siakam,1627783.0,,
165,PT10M38.00S,2022-01-22T01:37:11.2Z,2,REGULAR,substitution,out,[],1628418,,,1610612761,30,20,2022-01-22T01:37:21Z,1610000,,,0,,SUB out: T. Bryant,[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,
166,PT10M38.00S,2022-01-22T01:37:11.2Z,2,REGULAR,substitution,out,[],1629139,,,1610612761,30,20,2022-01-22T01:37:21Z,1620000,,,0,,SUB out: Y. Watanabe,[1629139],1610612761.0,TOR,,,,Watanabe,Y. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,
167,PT10M38.00S,2022-01-22T01:37:11.2Z,2,REGULAR,substitution,in,[],1626149,,,1610612761,30,20,2022-01-22T01:37:21Z,1630000,,,0,,SUB in: M. Harrell,[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,
168,PT10M38.00S,2022-01-22T01:37:11.2Z,2,REGULAR,substitution,in,[],1629018,,,1610612761,30,20,2022-01-22T01:37:21Z,1640000,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,
169,PT10M29.00S,2022-01-22T01:37:36.9Z,2,REGULAR,3pt,Jump Shot,[],1628384,30.436925098554536,21.813725490196077,1610612761,30,20,2022-01-22T01:38:02Z,1650000,141.0,234.0,1,left,MISS O. Anunoby 27' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,27.28,Missed,,,,,,,,,,,,,,,,
170,PT10M26.00S,2022-01-22T01:37:39.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612764,30,20,2022-01-22T01:37:49Z,1660000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,169.0,,,,,,,,,,,
171,PT10M26.00S,2022-01-22T01:37:47.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,30,20,2022-01-22T01:37:47Z,1670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT10M09.00S,2022-01-22T01:38:05.7Z,2,REGULAR,2pt,Jump Shot,[],1629060,84.31340341655716,26.715686274509803,1610612764,32,20,2022-01-22T01:38:11Z,1680000,-116.0,95.0,1,right,R. Hachimura 15' turnaround fadeaway Jump Shot (4 PTS),[1629060],1610612764.0,WAS,turnaround fadeaway,,,Hachimura,R. Hachimura,,,,,,,15.02,Made,4.0,,,,,,,,,,,,,,,
