actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
46,PT08M02.00S,2021-12-12T00:17:32.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202711,,,1610612762,6,9,2021-12-12T00:17:32Z,440000,,,0,,B. Bogdanovic Free Throw 2 of 2 (2 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
47,PT07M43.00S,2021-12-12T00:17:59.4Z,1,REGULAR,turnover,out-of-bounds,[],203078,,,1610612764,6,9,2021-12-12T00:18:05Z,450000,,,0,,B. Beal bad pass out-of-bounds TURNOVER (1 TO),[203078],1610612764.0,WAS,bad pass,,,Beal,B. Beal,,,,,,,,,,,,,,,203593.0,1.0,,,,,,,,,
48,PT07M31.00S,2021-12-12T00:18:18.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628378,20.02299605781866,36.51960784313726,1610612762,6,11,2021-12-12T00:18:22Z,460000,67.0,136.0,1,left,D. Mitchell 15' turnaround Jump Shot (7 PTS),[1628378],1610612762.0,UTA,turnaround,,,Mitchell,D. Mitchell,,,,,15.15,Made,7.0,,,,,,,,,,,,,,,,,,
49,PT07M17.00S,2021-12-12T00:18:32.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,83.75492772667542,45.58823529411765,1610612764,8,11,2021-12-12T00:18:37Z,470000,-22.0,100.0,1,right,D. Avdija 10' driving floating Jump Shot (4 PTS) (S. Dinwiddie 1 AST),"[1630166, 203915]",1610612764.0,WAS,driving floating,,,Avdija,D. Avdija,,,,,10.26,Made,4.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,,
51,PT07M08.00S,2021-12-12T00:18:40.6Z,1,REGULAR,3pt,Jump Shot,[],1628378,27.90735873850197,79.90196078431373,1610612762,8,14,2021-12-12T00:20:01Z,490000,-150.0,210.0,1,left,D. Mitchell 25' 3PT pullup (10 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,25.76,Made,10.0,,,,,,,,,,,,,,,,,,
52,PT06M51.00S,2021-12-12T00:18:57.9Z,1,REGULAR,3pt,Jump Shot,[],203078,68.9060446780552,21.32352941176471,1610612764,8,14,2021-12-12T00:19:04Z,500000,-143.0,240.0,1,right,MISS B. Beal 27' pullup 3PT,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,27.94,Missed,,,,,,,,,,,,,,,,,,,
53,PT06M48.00S,2021-12-12T00:19:00.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,8,14,2021-12-12T00:19:04Z,510000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,
54,PT06M48.00S,2021-12-12T00:19:07.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,8,14,2021-12-12T00:19:07Z,520000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M48.00S,2021-12-12T00:21:10.6Z,1,REGULAR,substitution,out,[],1630166,,,1610612762,8,14,2021-12-12T00:22:03Z,530000,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M48.00S,2021-12-12T00:21:10.6Z,1,REGULAR,substitution,out,[],203915,,,1610612762,8,14,2021-12-12T00:22:03Z,540000,,,0,,SUB out: S. Dinwiddie,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M48.00S,2021-12-12T00:21:10.6Z,1,REGULAR,substitution,out,[],201144,,,1610612762,8,14,2021-12-12T00:22:03Z,550000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M48.00S,2021-12-12T00:21:10.6Z,1,REGULAR,substitution,out,[],203497,,,1610612762,8,14,2021-12-12T00:22:03Z,560000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M48.00S,2021-12-12T00:21:10.6Z,1,REGULAR,substitution,in,[],202722,,,1610612762,8,14,2021-12-12T00:22:03Z,570000,,,0,,SUB in: D. Bertans,[202722],1610612764.0,WAS,,,,Bertans,D. Bertans,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M48.00S,2021-12-12T00:21:10.6Z,1,REGULAR,substitution,in,[],203526,,,1610612762,8,14,2021-12-12T00:22:03Z,580000,,,0,,SUB in: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M48.00S,2021-12-12T00:21:10.6Z,1,REGULAR,substitution,in,[],202355,,,1610612762,8,14,2021-12-12T00:22:03Z,590000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M48.00S,2021-12-12T00:21:10.6Z,1,REGULAR,substitution,in,[],204060,,,1610612762,8,14,2021-12-12T00:22:03Z,600000,,,0,,SUB in: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M24.00S,2021-12-12T00:22:39.0Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612762,8,14,2021-12-12T00:22:56Z,610000,,,0,,D. Gafford shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1629655, 1628378]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,,,,,,,,,,,202007.0,,1.0,0.0,Mitchell,1628378.0,,,,,
65,PT06M24.00S,2021-12-12T00:23:02.4Z,1,REGULAR,instantreplay,request,[],0,,,1610612762,8,14,2021-12-12T00:24:03Z,630000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,1162.0,,,,,,Common Foul Upheld,,,,
66,PT06M24.00S,2021-12-12T00:24:08.0Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612762,8,15,2021-12-12T00:24:08Z,640000,,,0,,D. Mitchell Free Throw 1 of 2 (11 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,11.0,,,,,,,,,,,,,,,,,,
67,PT06M24.00S,2021-12-12T00:24:26.0Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612762,8,16,2021-12-12T00:24:26Z,650000,,,0,,D. Mitchell Free Throw 2 of 2 (12 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,12.0,,,,,,,,,,,,,,,,,,
68,PT06M10.00S,2021-12-12T00:24:42.1Z,1,REGULAR,3pt,Jump Shot,[],202722,66.01511169513799,36.274509803921575,1610612764,11,16,2021-12-12T00:24:46Z,660000,-69.0,267.0,1,right,D. Bertans 27' 3PT pullup (3 PTS) (K. Caldwell-Pope 1 AST),"[202722, 203484]",1610612764.0,WAS,pullup,,,Bertans,D. Bertans,,,,,27.57,Made,3.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,,
