actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
86,PT04M48.00S,2022-01-20T00:24:37.2Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,16,12,2022-01-20T00:24:37Z,850000,,,0,,J. Embiid Free Throw 2 of 2 (14 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,14.0,,,,,,,,,,,,,,
87,PT04M36.00S,2022-01-20T00:24:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203082,93.47897503285151,47.05882352941176,1610612753,16,12,2022-01-20T00:24:52Z,860000,-15.0,9.0,1,right,MISS T. Ross cutting Layup,[203082],1610612753.0,ORL,cutting,,,Ross,T. Ross,,,,,1.71,Missed,,,,,,,,,,,,,,,,,,,
88,PT04M34.00S,2022-01-20T00:24:50.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,16,12,2022-01-20T00:24:52Z,870000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,87.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
89,PT04M30.00S,2022-01-20T00:24:58.7Z,1,REGULAR,turnover,traveling,[],1627788,,,1610612755,16,12,2022-01-20T00:25:03Z,880000,,,0,,F. Korkmaz traveling TURNOVER (1 TO),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,1.0,,,,,,1628954.0,,,,,
90,PT04M16.00S,2022-01-20T00:25:19.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630175,83.09789750328515,73.2843137254902,1610612753,16,12,2022-01-20T00:25:24Z,890000,116.0,106.0,1,right,MISS C. Anthony 15' pullup Shot,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,15.77,Missed,,,,,,,,,,,,,,,,,,,
91,PT04M13.00S,2022-01-20T00:25:22.9Z,1,REGULAR,rebound,offensive,[],201577,,,1610612753,16,12,2022-01-20T00:25:24Z,900000,,,0,,R. Lopez REBOUND (Off:1 Def:0),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,90.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
92,PT04M10.00S,2022-01-20T00:25:26.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203082,70.22010512483574,25.980392156862735,1610612753,16,12,2022-01-20T00:25:31Z,910000,-120.0,227.0,1,right,MISS T. Ross 25' 3PT,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,,
93,PT04M08.00S,2022-01-20T00:25:30.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,16,12,2022-01-20T00:25:30Z,920000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,
94,PT04M08.00S,2022-01-20T00:25:31.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,16,12,2022-01-20T00:25:31Z,930000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M49.00S,2022-01-20T00:25:51.8Z,1,REGULAR,2pt,Jump Shot,[],203954,13.32128777923785,73.77450980392157,1610612755,18,12,2022-01-20T00:25:58Z,940000,-119.0,73.0,1,left,J. Embiid 13' step back Jump Shot (16 PTS),[203954],1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,13.94,Made,,,,,16.0,,,,,,,,,,,,,,
96,PT03M36.00S,2022-01-20T00:26:03.8Z,1,REGULAR,3pt,Jump Shot,[],203914,75.21353482260184,10.049019607843135,1610612753,18,12,2022-01-20T00:26:09Z,950000,-200.0,180.0,1,right,MISS G. Harris 26' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,26.93,Missed,,,,,,,,,,,,,,,,,,,
97,PT03M34.00S,2022-01-20T00:26:05.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,18,12,2022-01-20T00:26:09Z,960000,,,0,,J. Embiid REBOUND (Off:0 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,96.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
98,PT03M26.00S,2022-01-20T00:26:14.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,13.84691195795007,45.833333333333336,1610612755,18,12,2022-01-20T00:26:17Z,970000,21.0,78.0,1,left,MISS J. Embiid 8' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,8.04,Missed,,,,,,,,,,,,,,,,,,,
99,PT03M23.00S,2022-01-20T00:26:17.1Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,18,12,2022-01-20T00:26:17Z,980000,,,0,,F. Wagner REBOUND (Off:0 Def:4),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,98.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
100,PT03M22.00S,2022-01-20T00:26:23.2Z,1,REGULAR,foul,personal,[],203954,,,1610612753,18,12,2022-01-20T00:26:31Z,990000,,,0,,J. Embiid personal FOUL (1 PF),"[203954, 1630175]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,1628954.0,1.0,0.0,Anthony,1630175.0,
102,PT03M16.00S,2022-01-20T00:26:50.4Z,1,REGULAR,3pt,Jump Shot,[],1630532,74.03088042049934,15.931372549019613,1610612753,18,15,2022-01-20T00:26:56Z,1010000,-170.0,192.0,1,right,F. Wagner 25' 3PT step back (5 PTS) (R. Lopez 1 AST),"[1630532, 201577]",1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,25.63,Made,,,,,5.0,,,,,,R. Lopez,201577.0,1.0,,,,,,
104,PT02M50.00S,2022-01-20T00:27:15.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,15.818002628120894,45.58823529411765,1610612755,20,15,2022-01-20T00:27:19Z,1030000,22.0,96.0,1,left,J. Embiid 9' pullup Jump Shot (18 PTS) (S. Curry 1 AST),"[203954, 203552]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,9.87,Made,,,,,18.0,,,,,,S. Curry,203552.0,1.0,,,,,,
106,PT02M39.00S,2022-01-20T00:27:27.1Z,1,REGULAR,3pt,Jump Shot,[],203914,88.87976346911958,94.6078431372549,1610612753,20,18,2022-01-20T00:27:31Z,1050000,223.0,52.0,1,right,G. Harris 3PT  (3 PTS) (F. Wagner 1 AST),"[203914, 1630532]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,22.9,Made,,,,,3.0,,,,,,F. Wagner,1630532.0,1.0,,,,,,
108,PT02M26.00S,2022-01-20T00:27:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.4881734559789805,48.0392156862745,1610612755,22,18,2022-01-20T00:27:52Z,1070000,10.0,8.0,1,left,J. Embiid Layup (20 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,1.3,Made,,,,,20.0,,,,,,,,,,,,,,
109,PT02M04.00S,2022-01-20T00:28:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201577,94.13600525624179,51.470588235294116,1610612753,22,18,2022-01-20T00:28:06Z,1080000,7.0,3.0,1,right,MISS R. Lopez Layup,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,0.78,Missed,,,,,,,,,,,,,,,,,,,
110,PT02M01.00S,2022-01-20T00:28:06.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,22,18,2022-01-20T00:28:06Z,1090000,,,0,,J. Embiid REBOUND (Off:0 Def:5),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,109.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
111,PT01M55.00S,2022-01-20T00:28:12.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,12.66425755584757,36.76470588235294,1610612755,22,18,2022-01-20T00:28:16Z,1100000,66.0,67.0,1,left,MISS T. Maxey 9' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,9.38,Missed,,,,,,,,,,,,,,,,,,,
112,PT01M52.00S,2022-01-20T00:28:15.2Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,22,18,2022-01-20T00:28:16Z,1110000,,,0,,F. Wagner REBOUND (Off:0 Def:5),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,111.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
113,PT01M40.00S,2022-01-20T00:28:26.4Z,1,REGULAR,3pt,Jump Shot,[],1630175,75.08212877792378,83.82352941176471,1610612753,22,18,2022-01-20T00:28:29Z,1120000,169.0,182.0,1,right,MISS C. Anthony 24' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,24.82,Missed,,,,,,,,,,,,,,,,,,,
114,PT01M38.00S,2022-01-20T00:28:28.4Z,1,REGULAR,rebound,defensive,[],203552,,,1610612755,22,18,2022-01-20T00:28:29Z,1130000,,,0,,S. Curry REBOUND (Off:0 Def:3),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,113.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
115,PT01M27.00S,2022-01-20T00:28:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627777,6.619579500657039,50.245098039215684,1610612755,22,18,2022-01-20T00:28:45Z,1140000,-1.0,10.0,1,left,MISS G. Niang reverse Layup,[1627777],1610612755.0,PHI,reverse,,,Niang,G. Niang,,,,,0.98,Missed,,,,,,,,,,,,,,,,,,,
116,PT01M23.00S,2022-01-20T00:28:43.5Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,22,18,2022-01-20T00:28:45Z,1150000,,,0,,F. Wagner REBOUND (Off:0 Def:6),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,115.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
117,PT01M21.00S,2022-01-20T00:28:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,93.87319316688567,53.18627450980392,1610612753,22,20,2022-01-20T00:28:52Z,1160000,16.0,5.0,1,right,C. Anthony running Layup (4 PTS) (F. Wagner 2 AST),"[1630175, 1630532]",1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,1.67,Made,,,,,4.0,,,,,,F. Wagner,1630532.0,2.0,,,,,,
119,PT01M21.00S,2022-01-20T00:28:58.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,22,20,2022-01-20T00:28:58Z,1180000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M21.00S,2022-01-20T00:31:13.5Z,1,REGULAR,substitution,out,[],1630178,,,1610612755,22,20,2022-01-20T00:31:21Z,1190000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M21.00S,2022-01-20T00:31:13.5Z,1,REGULAR,substitution,out,[],203954,,,1610612755,22,20,2022-01-20T00:31:21Z,1200000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M21.00S,2022-01-20T00:31:13.5Z,1,REGULAR,substitution,in,[],203083,,,1610612755,22,20,2022-01-20T00:31:21Z,1210000,,,0,,SUB in: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M21.00S,2022-01-20T00:31:13.5Z,1,REGULAR,substitution,in,[],1630198,,,1610612755,22,20,2022-01-20T00:31:21Z,1220000,,,0,,SUB in: I. Joe,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M21.00S,2022-01-20T00:31:36.7Z,1,REGULAR,substitution,out,[],203914,,,1610612755,22,20,2022-01-20T00:31:45Z,1230000,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M21.00S,2022-01-20T00:31:36.7Z,1,REGULAR,substitution,out,[],1630532,,,1610612755,22,20,2022-01-20T00:31:45Z,1240000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M21.00S,2022-01-20T00:31:36.7Z,1,REGULAR,substitution,out,[],1630175,,,1610612755,22,20,2022-01-20T00:31:45Z,1250000,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M21.00S,2022-01-20T00:31:36.7Z,1,REGULAR,substitution,in,[],1629643,,,1610612755,22,20,2022-01-20T00:31:45Z,1260000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M21.00S,2022-01-20T00:31:36.7Z,1,REGULAR,substitution,in,[],1630181,,,1610612755,22,20,2022-01-20T00:31:45Z,1270000,,,0,,SUB in: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M21.00S,2022-01-20T00:31:36.7Z,1,REGULAR,substitution,in,[],1630591,,,1610612755,22,20,2022-01-20T00:31:45Z,1280000,,,0,,SUB in: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M11.00S,2022-01-20T00:31:57.7Z,1,REGULAR,turnover,lost ball,[],1627788,,,1610612755,22,20,2022-01-20T00:32:35Z,1290000,,,0,,F. Korkmaz lost ball TURNOVER (2 TO),"[1627788, 1630591]",1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,2.0,Suggs,1630591.0,,,,,,,,,
131,PT01M11.00S,2022-01-20T00:31:57.7Z,1,REGULAR,steal,,[],1630591,,,1610612753,22,20,2022-01-20T00:31:59Z,1300000,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M11.00S,2022-01-20T00:32:28.2Z,1,REGULAR,instantreplay,request,[],0,,,1610612753,22,20,2022-01-20T00:33:18Z,1330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clear Path - Overturn Call
135,PT01M11.00S,2022-01-20T00:33:35.0Z,1,REGULAR,foul,personal,['2freethrow'],1627788,,,1610612753,22,20,2022-01-20T00:33:49Z,1340000,,,0,,F. Korkmaz clear-path personal FOUL (1 PF) (Suggs 2 FT),"[1627788, 1630591]",1610612755.0,PHI,clear-path,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,202027.0,1.0,0.0,Suggs,1630591.0,
137,PT01M11.00S,2022-01-20T00:33:51.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630591,,,1610612753,22,20,2022-01-20T00:33:51Z,1360000,,,0,,MISS J. Suggs clear-path Free Throw 1 of 2,[1630591],1610612753.0,ORL,clear-path,,,Suggs,J. Suggs,,,,,,Missed,,,,,,,,,,,,,,,,,,,
138,PT01M11.00S,2022-01-20T00:33:51.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,22,20,2022-01-20T00:33:51Z,1370000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,137.0,,,,,,,,,,,,,,,,,,
139,PT01M11.00S,2022-01-20T00:33:53.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630591,,,1610612753,22,21,2022-01-20T00:33:53Z,1380000,,,0,,J. Suggs clear-path Free Throw 2 of 2 (1 PTS),[1630591],1610612753.0,ORL,clear-path,,,Suggs,J. Suggs,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
140,PT00M57.10S,2022-01-20T00:34:12.9Z,1,REGULAR,turnover,out-of-bounds,[],1630181,,,1610612753,22,21,2022-01-20T00:34:18Z,1390000,,,0,,R. Hampton lost ball out-of-bounds TURNOVER (1 TO),[1630181],1610612753.0,ORL,lost ball,,,Hampton,R. Hampton,,,,,,,,,,,,,,1.0,,,,,,1628954.0,,,,,
141,PT00M33.10S,2022-01-20T00:34:51.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627777,16.606438896189218,96.07843137254902,1610612755,25,21,2022-01-20T00:34:55Z,1400000,-230.0,104.0,1,left,G. Niang 25' 3PT  (3 PTS) (F. Korkmaz 1 AST),"[1627777, 1627788]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,25.26,Made,,,,,3.0,,,,,,F. Korkmaz,1627788.0,1.0,,,,,,
143,PT00M20.80S,2022-01-20T00:35:07.6Z,1,REGULAR,turnover,bad pass,[],201577,,,1610612753,25,21,2022-01-20T01:42:56Z,1420000,,,0,,R. Lopez bad pass TURNOVER (1 TO),"[201577, 1627777]",1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,1.0,Niang,1627777.0,,,,,,,,,
144,PT00M20.80S,2022-01-20T00:35:07.6Z,1,REGULAR,steal,,[],1627777,,,1610612755,25,21,2022-01-20T00:35:09Z,1430000,,,0,,G. Niang STEAL (1 STL),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M16.20S,2022-01-20T00:35:12.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203083,5.831143232588701,49.50980392156863,1610612755,25,21,2022-01-20T00:35:21Z,1440000,2.0,2.0,1,left,MISS A. Drummond running alley-oop DUNK,[203083],1610612755.0,PHI,running alley-oop,,,Drummond,A. Drummond,,,,,0.34,Missed,,,,,,,,,,,,,,,,,,,
146,PT00M13.40S,2022-01-20T00:35:14.9Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612753,25,21,2022-01-20T00:35:14Z,1450000,,,0,,R. Hampton REBOUND (Off:0 Def:1),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,145.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
147,PT00M02.70S,2022-01-20T00:35:25.7Z,1,REGULAR,2pt,Jump Shot,[],1630181,77.31603153745073,61.76470588235294,1610612753,25,21,2022-01-20T00:35:30Z,1460000,59.0,161.0,1,right,MISS R. Hampton 17' pullup Shot,[1630181],1610612753.0,ORL,pullup,,,Hampton,R. Hampton,,,,,17.11,Missed,,,,,,,,,,,,,,,,,,,
148,PT00M02.70S,2022-01-20T00:35:25.7Z,1,REGULAR,rebound,offensive,[],201577,,,1610612753,25,21,2022-01-20T00:35:30Z,1470000,,,0,,R. Lopez REBOUND (Off:2 Def:0),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,147.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
149,PT00M01.00S,2022-01-20T00:35:31.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201577,75.47634691195795,62.254901960784316,1610612753,25,21,2022-01-20T00:35:56Z,1480000,61.0,178.0,1,right,MISS R. Lopez 18' Jump Shot,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,18.83,Missed,,,,,,,,,,,,,,,,,,,
150,PT00M01.00S,2022-01-20T00:35:31.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,25,21,2022-01-20T00:35:56Z,1490000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,149.0,,,,,,,,,,,,,,,,,,
151,PT00M00.00S,2022-01-20T00:35:39.3Z,1,REGULAR,period,end,[],0,,,1610612753,25,21,2022-01-20T00:35:39Z,1500000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2022-01-20T00:36:07.9Z,2,REGULAR,substitution,out,['startperiod'],203552,,,1610612753,25,21,2022-01-20T00:38:06Z,1510000,,,0,,SUB out: S. Curry,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2022-01-20T00:36:07.9Z,2,REGULAR,substitution,out,['startperiod'],201577,,,1610612753,25,21,2022-01-20T00:38:06Z,1520000,,,0,,SUB out: R. Lopez,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2022-01-20T00:36:07.9Z,2,REGULAR,substitution,in,['startperiod'],202699,,,1610612753,25,21,2022-01-20T00:38:06Z,1530000,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2022-01-20T00:36:07.9Z,2,REGULAR,substitution,in,['startperiod'],1628964,,,1610612753,25,21,2022-01-20T00:38:06Z,1540000,,,0,,SUB in: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2022-01-20T00:38:15.9Z,2,REGULAR,period,start,[],0,,,1610612753,25,21,2022-01-20T00:38:16Z,1550000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M45.00S,2022-01-20T00:38:30.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,86.51445466491458,40.68627450980392,1610612753,25,21,2022-01-20T00:40:11Z,1560000,-47.0,74.0,1,right,MISS J. Suggs 8' driving floating Shot,[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,8.77,Missed,,,,,,,,,,,,,,,,,,,
158,PT11M41.00S,2022-01-20T00:38:34.2Z,2,REGULAR,rebound,defensive,[],1627777,,,1610612755,25,21,2022-01-20T00:38:34Z,1570000,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,157.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
159,PT11M30.00S,2022-01-20T00:38:45.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,12.00722733245729,48.28431372549019,1610612755,27,21,2022-01-20T00:38:52Z,1580000,9.0,60.0,1,left,T. Harris 6' turnaround Jump Shot (2 PTS),[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,6.1,Made,,,,,2.0,,,,,,,,,,,,,,
160,PT11M21.00S,2022-01-20T00:38:56.7Z,2,REGULAR,foul,personal,['2freethrow'],203083,,,1610612753,27,21,2022-01-20T00:39:05Z,1590000,,,0,,A. Drummond shooting personal FOUL (1 PF) (Ross 2 FT),"[203083, 203082]",1610612755.0,PHI,shooting,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Ross,203082.0,
162,PT11M21.00S,2022-01-20T00:39:19.5Z,2,REGULAR,freethrow,1 of 2,[],203082,,,1610612753,27,22,2022-01-20T00:39:19Z,1610000,,,0,,T. Ross Free Throw 1 of 2 (1 PTS),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
163,PT11M21.00S,2022-01-20T00:39:37.6Z,2,REGULAR,freethrow,2 of 2,[],203082,,,1610612753,27,23,2022-01-20T00:39:37Z,1620000,,,0,,T. Ross Free Throw 2 of 2 (2 PTS),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
164,PT11M08.00S,2022-01-20T00:39:50.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203083,5.568331143232584,50.49019607843137,1610612755,29,23,2022-01-20T00:39:54Z,1630000,-2.0,0.0,1,left,A. Drummond alley-oop DUNK (2 PTS) (T. Harris 2 AST),"[203083, 202699]",1610612755.0,PHI,alley-oop,,,Drummond,A. Drummond,,,,,0.25,Made,,,,,2.0,,,,,,T. Harris,202699.0,2.0,,,,,,
167,PT10M59.00S,2022-01-20T00:40:09.9Z,2,REGULAR,foul,personal,['2freethrow'],1630198,,,1610612753,29,23,2022-01-20T00:40:20Z,1660000,,,0,,I. Joe shooting personal FOUL (1 PF) (Suggs 2 FT),"[1630198, 1630591]",1610612755.0,PHI,shooting,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,202027.0,1.0,0.0,Suggs,1630591.0,
169,PT10M59.00S,2022-01-20T00:40:39.4Z,2,REGULAR,freethrow,1 of 2,[],1630591,,,1610612753,29,24,2022-01-20T00:40:39Z,1680000,,,0,,J. Suggs Free Throw 1 of 2 (2 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
170,PT10M59.00S,2022-01-20T00:40:39.4Z,2,REGULAR,freethrow,2 of 2,[],1630591,,,1610612753,29,24,2022-01-20T00:40:54Z,1690000,,,0,,MISS J. Suggs Free Throw 2 of 2,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,Missed,,,,,,,,,,,,,,,,,,,
171,PT10M56.00S,2022-01-20T00:40:42.4Z,2,REGULAR,rebound,defensive,[],203083,,,1610612755,29,24,2022-01-20T00:40:54Z,1700000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,170.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
172,PT10M46.00S,2022-01-20T00:41:03.2Z,2,REGULAR,2pt,Jump Shot,[],202699,25.673455978975028,32.1078431372549,1610612755,31,24,2022-01-20T00:41:06Z,1710000,89.0,189.0,1,left,T. Harris 20' pullup Jump Shot (4 PTS),[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,20.89,Made,,,,,4.0,,,,,,,,,,,,,,
173,PT10M31.00S,2022-01-20T00:41:18.8Z,2,REGULAR,2pt,Jump Shot,[],203082,86.90867279894876,31.617647058823522,1610612753,31,24,2022-01-20T00:41:22Z,1720000,-92.0,71.0,1,right,MISS T. Ross 11' pullup Shot,[203082],1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,11.59,Missed,,,,,,,,,,,,,,,,,,,
174,PT10M29.00S,2022-01-20T00:41:20.8Z,2,REGULAR,rebound,defensive,[],1627788,,,1610612755,31,24,2022-01-20T00:41:22Z,1730000,,,0,,F. Korkmaz REBOUND (Off:0 Def:1),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,173.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
175,PT10M23.00S,2022-01-20T00:41:27.1Z,2,REGULAR,3pt,Jump Shot,[],1627788,33.952036793692514,54.16666666666667,1610612755,34,24,2022-01-20T00:41:32Z,1740000,-21.0,267.0,1,left,F. Korkmaz 26' 3PT pullup (3 PTS),[1627788],1610612755.0,PHI,pullup,,,Korkmaz,F. Korkmaz,,,,,26.74,Made,,,,,3.0,,,,,,,,,,,,,,
