actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
98,PT03M40.00S,2022-02-16T00:51:17.3Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,16,24,2022-02-16T00:51:17Z,980000,,,0,,J. Embiid Free Throw 1 of 2 (5 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,5.0,,,,,,,,,,,,
99,PT03M40.00S,2022-02-16T00:51:17.3Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,16,24,2022-02-16T00:51:36Z,990000,,,0,,MISS J. Embiid Free Throw 2 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Missed,,,,,,,,,,,,,
100,PT03M37.00S,2022-02-16T00:51:20.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,16,24,2022-02-16T00:51:36Z,1000000,,,0,,J. Brown REBOUND (Off:1 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,99.0,5.0,4.0,1.0,,,,,
101,PT03M25.00S,2022-02-16T00:51:47.1Z,1,REGULAR,3pt,Jump Shot,[],203935,75.47634691195795,12.990196078431367,1610612738,16,24,2022-02-16T00:51:54Z,1010000,-185.0,178.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,25.67,Missed,,,,,,,,,,,,,
102,PT03M23.00S,2022-02-16T00:51:49.1Z,1,REGULAR,rebound,defensive,[],1627788,,,1610612755,16,24,2022-02-16T00:51:54Z,1020000,,,0,,F. Korkmaz REBOUND (Off:0 Def:1),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,101.0,1.0,1.0,0.0,,,,,
103,PT03M15.00S,2022-02-16T00:51:57.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629003,11.350197109067011,46.32352941176471,1610612755,16,24,2022-02-16T00:52:01Z,1030000,18.0,54.0,1,left,MISS S. Milton driving floating Shot,[1629003],1610612755.0,PHI,driving floating,,,Milton,S. Milton,,,,,,,,,,5.72,Missed,,,,,,,,,,,,,
104,PT03M12.00S,2022-02-16T00:52:00.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,16,24,2022-02-16T00:52:00Z,1040000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,103.0,2.0,2.0,0.0,,,,,
105,PT03M04.00S,2022-02-16T00:52:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.0335085413929,41.17647058823529,1610612738,16,24,2022-02-16T00:52:13Z,1050000,-44.0,22.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,4.95,Missed,,,,,,,,,,,,,
106,PT03M02.00S,2022-02-16T00:52:10.7Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612755,16,24,2022-02-16T00:52:13Z,1060000,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,105.0,1.0,1.0,0.0,,,,,
107,PT02M57.00S,2022-02-16T00:52:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.276609724047319,55.3921568627451,1610612755,16,24,2022-02-16T00:52:23Z,1070000,-27.0,16.0,1,left,MISS T. Maxey running Layup,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,,,,,,3.13,Missed,,,,,,,,,,,,,
108,PT02M54.00S,2022-02-16T00:52:19.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,16,24,2022-02-16T00:52:23Z,1080000,,,0,,D. Theis REBOUND (Off:0 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,107.0,3.0,3.0,0.0,,,,,
109,PT02M53.00S,2022-02-16T00:52:23.3Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,16,24,2022-02-16T00:52:32Z,1090000,,,0,,J. Brown step out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,step,,,Brown,J. Brown,,,,,101283.0,,,,,,,,,,,,,,,,,1.0,,
110,PT02M53.00S,2022-02-16T00:52:27.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,16,24,2022-02-16T00:52:28Z,1100000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M53.00S,2022-02-16T00:55:05.5Z,1,REGULAR,substitution,out,[],1630178,,,1610612755,16,24,2022-02-16T00:55:25Z,1110000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M53.00S,2022-02-16T00:55:05.5Z,1,REGULAR,substitution,in,[],202699,,,1610612755,16,24,2022-02-16T00:55:25Z,1120000,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M53.00S,2022-02-16T00:55:41.4Z,1,REGULAR,substitution,out,[],1627759,,,1610612755,16,24,2022-02-16T00:55:48Z,1130000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M53.00S,2022-02-16T00:55:41.4Z,1,REGULAR,substitution,in,[],1628369,,,1610612755,16,24,2022-02-16T00:55:48Z,1140000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M38.00S,2022-02-16T00:56:06.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628464,,,1610612755,16,24,2022-02-16T00:56:14Z,1150000,,,0,,D. Theis shooting personal FOUL (1 PF) (Embiid 2 FT),"[1628464, 203954]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,2714.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
117,PT02M38.00S,2022-02-16T00:56:30.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203954,,,1610612755,17,24,2022-02-16T00:56:30Z,1170000,,,0,,J. Embiid Free Throw 1 of 2 (6 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,6.0,,,,,,,,,,,,
118,PT02M38.00S,2022-02-16T00:56:50.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203954,,,1610612755,18,24,2022-02-16T00:56:50Z,1180000,,,0,,J. Embiid Free Throw 2 of 2 (7 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,7.0,,,,,,,,,,,,
119,PT02M24.00S,2022-02-16T00:57:06.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,69.82588699080158,28.92156862745098,1610612738,18,27,2022-02-16T00:57:10Z,1190000,-105.0,231.0,1,right,G. Williams 25' 3PT  (6 PTS) (J. Tatum 2 AST),"[1629684, 1628369]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,25.4,Made,6.0,J. Tatum,1628369.0,2.0,,,,,,,,,
121,PT01M59.00S,2022-02-16T00:57:30.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,12.13863337713535,53.18627450980392,1610612755,18,27,2022-02-16T00:57:34Z,1210000,-16.0,62.0,1,left,MISS J. Embiid 6' driving Hook,[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,,,,,,6.36,Missed,,,,,,,,,,,,,
122,PT01M57.00S,2022-02-16T00:57:32.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,18,27,2022-02-16T00:57:32Z,1220000,,,0,,D. Theis REBOUND (Off:0 Def:4),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,121.0,4.0,4.0,0.0,,,,,
123,PT01M54.00S,2022-02-16T00:57:38.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202699,,,1610612738,18,27,2022-02-16T00:57:44Z,1230000,,,0,,T. Harris personal FOUL (2 PF) (Tatum 2 FT),"[202699, 1628369]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,2714.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
125,PT01M54.00S,2022-02-16T00:58:00.5Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,18,28,2022-02-16T00:58:00Z,1250000,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
126,PT01M54.00S,2022-02-16T00:58:01.5Z,1,REGULAR,substitution,out,[],203954,,,1610612738,18,28,2022-02-16T00:58:05Z,1260000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M54.00S,2022-02-16T00:58:01.5Z,1,REGULAR,substitution,in,[],1630194,,,1610612738,18,28,2022-02-16T00:58:05Z,1270000,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M54.00S,2022-02-16T00:58:07.3Z,1,REGULAR,substitution,out,[],203935,,,1610612738,18,28,2022-02-16T00:58:10Z,1280000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M54.00S,2022-02-16T00:58:07.3Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,18,28,2022-02-16T00:58:10Z,1290000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M54.00S,2022-02-16T00:58:22.7Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,18,29,2022-02-16T00:58:22Z,1300000,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
131,PT01M43.00S,2022-02-16T00:58:35.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627788,7.013797634691201,41.17647058823529,1610612755,18,29,2022-02-16T00:58:41Z,1310000,44.0,13.0,1,left,MISS F. Korkmaz driving finger roll Layup - blocked,"[1627788, 1628464]",1610612755.0,PHI,driving finger roll,,,Korkmaz,F. Korkmaz,,,,,,,,,,4.61,Missed,,,,,,,,,Theis,1628464.0,,,
132,PT01M43.00S,2022-02-16T00:58:35.7Z,1,REGULAR,block,,[],1628464,,,1610612755,18,29,2022-02-16T00:58:39Z,1320000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M43.00S,2022-02-16T00:58:35.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,18,29,2022-02-16T00:58:41Z,1330000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,131.0,,,,,,,,
134,PT01M43.00S,2022-02-16T00:58:42.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,18,29,2022-02-16T00:58:42Z,1340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M36.00S,2022-02-16T00:58:56.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202699,10.693166885676746,48.774509803921575,1610612755,18,29,2022-02-16T00:59:03Z,1350000,6.0,48.0,1,left,MISS T. Harris running Shot,[202699],1610612755.0,PHI,running,,,Harris,T. Harris,,,,,,,,,,4.84,Missed,,,,,,,,,,,,,
136,PT01M32.00S,2022-02-16T00:58:59.9Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612755,18,29,2022-02-16T00:58:59Z,1360000,,,0,,P. Reed REBOUND (Off:1 Def:0),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,135.0,1.0,0.0,1.0,,,,,
137,PT01M27.00S,2022-02-16T00:59:05.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629003,15.029566360052556,58.82352941176471,1610612755,20,29,2022-02-16T00:59:10Z,1370000,-44.0,89.0,1,left,S. Milton 9' turnaround Jump Shot (2 PTS),[1629003],1610612755.0,PHI,turnaround,,,Milton,S. Milton,,,,,,,,,,9.91,Made,2.0,,,,,,,,,,,,
139,PT01M07.00S,2022-02-16T00:59:24.4Z,1,REGULAR,turnover,lost ball,[],1628401,,,1610612738,20,29,2022-02-16T00:59:29Z,1390000,,,0,,D. White lost ball TURNOVER (1 TO),"[1628401, 1629003]",1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,1.0,Milton,1629003.0
140,PT01M07.00S,2022-02-16T00:59:24.4Z,1,REGULAR,steal,,[],1629003,,,1610612755,20,29,2022-02-16T00:59:27Z,1400000,,,0,,S. Milton STEAL (1 STL),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M02.00S,2022-02-16T00:59:29.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630194,5.699737187910642,51.96078431372549,1610612755,22,29,2022-02-16T00:59:35Z,1410000,-10.0,1.0,1,left,P. Reed running DUNK (2 PTS) (S. Milton 1 AST),"[1630194, 1629003]",1610612755.0,PHI,running,,,Reed,P. Reed,,,,,,,,,,0.99,Made,2.0,S. Milton,1629003.0,1.0,,,,,,,,,
143,PT00M47.50S,2022-02-16T00:59:45.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,76.13337713534823,12.74509803921569,1610612738,22,32,2022-02-16T00:59:55Z,1430000,-186.0,172.0,1,right,J. Tatum 25' 3PT pullup (5 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,25.34,Made,5.0,,,,,,,,,,,,
144,PT00M30.40S,2022-02-16T01:00:05.9Z,1,REGULAR,turnover,out-of-bounds,[],1627788,,,1610612755,22,32,2022-02-16T01:00:11Z,1440000,,,0,,F. Korkmaz lost ball out-of-bounds TURNOVER (1 TO),[1627788],1610612755.0,PHI,lost ball,,,Korkmaz,F. Korkmaz,,,,,2714.0,,,,,,,,,,,,,,,,,1.0,,
145,PT00M08.50S,2022-02-16T01:00:34.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,66.40932982917215,53.431372549019606,1610612738,22,32,2022-02-16T01:00:40Z,1450000,17.0,263.0,1,right,MISS J. Tatum 26' turnaround fadeaway 3PT,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,,,,,,26.39,Missed,,,,,,,,,,,,,
146,PT00M05.10S,2022-02-16T01:00:37.6Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,22,32,2022-02-16T01:00:40Z,1460000,,,0,,P. Reed REBOUND (Off:1 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,145.0,2.0,1.0,1.0,,,,,
147,PT00M00.40S,2022-02-16T01:00:45.3Z,1,REGULAR,turnover,out-of-bounds,[],1627788,,,1610612755,22,32,2022-02-16T01:00:52Z,1470000,,,0,,F. Korkmaz lost ball out-of-bounds TURNOVER (2 TO),[1627788],1610612755.0,PHI,lost ball,,,Korkmaz,F. Korkmaz,,,,,2714.0,,,,,,,,,,,,,,,,,2.0,,
148,PT00M00.00S,2022-02-16T01:00:58.4Z,1,REGULAR,period,end,[],0,,,1610612738,22,32,2022-02-16T01:00:58Z,1480000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2022-02-16T01:02:29.8Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612738,22,32,2022-02-16T01:04:39Z,1490000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2022-02-16T01:02:29.8Z,2,REGULAR,substitution,in,['startperiod'],1630174,,,1610612738,22,32,2022-02-16T01:04:39Z,1500000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2022-02-16T01:04:35.5Z,2,REGULAR,period,start,[],0,,,1610612755,22,32,2022-02-16T01:04:40Z,1510000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT11M44.00S,2022-02-16T01:04:51.1Z,2,REGULAR,3pt,Jump Shot,[],1627788,6.750985545335084,5.882352941176478,1610612755,22,32,2022-02-16T01:04:56Z,1520000,221.0,11.0,1,left,MISS F. Korkmaz 3PT,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,22.09,Missed,,,,,,,,,,,,,
153,PT11M39.00S,2022-02-16T01:04:56.1Z,2,REGULAR,rebound,offensive,[],1627777,,,1610612755,22,32,2022-02-16T01:04:56Z,1530000,,,0,,G. Niang REBOUND (Off:1 Def:1),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,152.0,2.0,1.0,1.0,,,,,
154,PT11M36.00S,2022-02-16T01:04:58.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627777,22.125492772667542,90.68627450980392,1610612755,22,32,2022-02-16T01:05:03Z,1540000,-203.0,155.0,1,left,MISS G. Niang 25' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,25.6,Missed,,,,,,,,,,,,,
155,PT11M33.00S,2022-02-16T01:05:01.5Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,22,32,2022-02-16T01:05:03Z,1550000,,,0,,D. Theis REBOUND (Off:0 Def:5),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,154.0,5.0,5.0,0.0,,,,,
156,PT11M26.00S,2022-02-16T01:05:08.7Z,2,REGULAR,3pt,Jump Shot,[],1628369,66.40932982917215,46.07843137254902,1610612738,22,35,2022-02-16T01:05:13Z,1560000,-20.0,263.0,1,right,J. Tatum 26' 3PT pullup (8 PTS) (P. Pritchard 1 AST),"[1628369, 1630202]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,26.4,Made,8.0,P. Pritchard,1630202.0,1.0,,,,,,,,,
158,PT11M03.00S,2022-02-16T01:05:30.6Z,2,REGULAR,3pt,Jump Shot,[],1627777,20.942838370565042,93.38235294117646,1610612755,22,35,2022-02-16T01:05:36Z,1580000,-217.0,144.0,1,left,MISS G. Niang 26' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,26.06,Missed,,,,,,,,,,,,,
159,PT11M02.00S,2022-02-16T01:05:31.6Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,22,35,2022-02-16T01:05:36Z,1590000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,158.0,4.0,4.0,0.0,,,,,
160,PT11M02.00S,2022-02-16T01:05:37.1Z,2,REGULAR,foul,personal,[],1630194,,,1610612738,22,35,2022-02-16T01:05:45Z,1600000,,,0,,P. Reed personal FOUL (1 PF),"[1630194, 1628369]",1610612755.0,PHI,,,,Reed,P. Reed,,,,,101283.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
162,PT11M02.00S,2022-02-16T01:05:45.0Z,2,REGULAR,substitution,out,[],1627788,,,1610612738,22,35,2022-02-16T01:05:49Z,1620000,,,0,,SUB out: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M02.00S,2022-02-16T01:05:45.0Z,2,REGULAR,substitution,in,[],1629680,,,1610612738,22,35,2022-02-16T01:05:49Z,1630000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
164,PT10M53.00S,2022-02-16T01:06:05.8Z,2,REGULAR,foul,personal,['2freethrow'],1629003,,,1610612738,22,35,2022-02-16T01:06:14Z,1640000,,,0,,S. Milton shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629003, 1628369]",1610612755.0,PHI,shooting,,,Milton,S. Milton,,,,,2714.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
166,PT10M53.00S,2022-02-16T01:06:30.4Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,22,36,2022-02-16T01:06:30Z,1660000,,,0,,J. Tatum Free Throw 1 of 2 (9 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,9.0,,,,,,,,,,,,
167,PT10M53.00S,2022-02-16T01:06:46.0Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,22,37,2022-02-16T01:06:46Z,1670000,,,0,,J. Tatum Free Throw 2 of 2 (10 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,10.0,,,,,,,,,,,,
168,PT10M34.00S,2022-02-16T01:07:05.8Z,2,REGULAR,3pt,Jump Shot,[],1629003,30.404073587385014,27.941176470588232,1610612755,22,37,2022-02-16T01:07:11Z,1680000,110.0,233.0,1,left,MISS S. Milton 25' 3PT,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,25.81,Missed,,,,,,,,,,,,,
169,PT10M29.00S,2022-02-16T01:07:10.8Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,22,37,2022-02-16T01:07:11Z,1690000,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,168.0,5.0,5.0,0.0,,,,,
170,PT10M21.00S,2022-02-16T01:07:21.0Z,2,REGULAR,foul,personal,['2freethrow'],1630194,,,1610612738,22,37,2022-02-16T01:07:31Z,1700000,,,0,,P. Reed shooting personal FOUL (2 PF) (Tatum 2 FT),"[1630194, 1628369]",1610612755.0,PHI,shooting,,,Reed,P. Reed,,,,,204058.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
172,PT10M21.00S,2022-02-16T01:07:45.1Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,22,38,2022-02-16T01:07:45Z,1720000,,,0,,J. Tatum Free Throw 1 of 2 (11 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,11.0,,,,,,,,,,,,
173,PT10M21.00S,2022-02-16T01:07:58.4Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,22,39,2022-02-16T01:07:58Z,1730000,,,0,,J. Tatum Free Throw 2 of 2 (12 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,12.0,,,,,,,,,,,,
174,PT10M06.00S,2022-02-16T01:08:14.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,15.029566360052556,57.1078431372549,1610612755,22,39,2022-02-16T01:08:19Z,1740000,-36.0,89.0,1,left,MISS T. Harris 9' pullup Shot,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,,,,,,9.56,Missed,,,,,,,,,,,,,
175,PT10M03.00S,2022-02-16T01:08:17.5Z,2,REGULAR,rebound,offensive,[],1629680,,,1610612755,22,39,2022-02-16T01:09:09Z,1750000,,,0,,M. Thybulle REBOUND (Off:1 Def:0),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,174.0,1.0,0.0,1.0,,,,,
176,PT09M55.00S,2022-02-16T01:08:24.3Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627777,11.48160315374507,47.79411764705882,1610612755,24,39,2022-02-16T01:08:59Z,1760000,11.0,55.0,1,left,G. Niang turnaround Hook (2 PTS) (M. Thybulle 1 AST),"[1627777, 1629680]",1610612755.0,PHI,turnaround,,,Niang,G. Niang,,,,,,,,,,5.65,Made,2.0,M. Thybulle,1629680.0,1.0,,,,,,,,,
178,PT09M40.00S,2022-02-16T01:08:39.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,93.74178712220763,53.67647058823529,1610612738,24,41,2022-02-16T01:08:54Z,1780000,18.0,6.0,1,right,D. White driving Layup (2 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,,,,,,1.94,Made,2.0,,,,,,,,,,,,
179,PT09M30.00S,2022-02-16T01:08:59.4Z,2,REGULAR,foul,personal,[],1630174,,,1610612755,24,41,2022-02-16T01:09:28Z,1790000,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 202699]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,204058.0,1.0,0.0,Harris,202699.0,,,,,,,,,,,,,,,
181,PT09M30.00S,2022-02-16T01:09:10.1Z,2,REGULAR,substitution,out,[],1627777,,,1610612755,24,41,2022-02-16T01:09:13Z,1810000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
182,PT09M30.00S,2022-02-16T01:09:10.1Z,2,REGULAR,substitution,in,[],1630178,,,1610612755,24,41,2022-02-16T01:09:13Z,1820000,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,
183,PT09M17.00S,2022-02-16T01:09:30.8Z,2,REGULAR,3pt,Jump Shot,[],1629680,26.19908015768725,80.3921568627451,1610612755,24,41,2022-02-16T01:09:41Z,1830000,-152.0,194.0,1,left,MISS M. Thybulle 24' 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,24.63,Missed,,,,,,,,,,,,,
184,PT09M15.00S,2022-02-16T01:09:32.8Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612738,24,41,2022-02-16T01:09:41Z,1840000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,183.0,1.0,1.0,0.0,,,,,
185,PT09M05.00S,2022-02-16T01:09:43.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,95.05584756898817,54.65686274509804,1610612738,24,43,2022-02-16T01:09:47Z,1850000,23.0,-6.0,1,right,J. Tatum driving finger roll Layup (14 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,,,,,,2.41,Made,14.0,,,,,,,,,,,,
