actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId
89,PT04M07.00S,2022-02-13T00:56:01.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630178,5.995400788436268,46.568627450980394,1610612755,28,15,2022-02-13T01:00:06Z,880000,17.0,4.0,1,left,T. Maxey running Layup (3 PTS) (J. Embiid 4 AST),"[1630178, 203954]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,1.76,Made,,,,,,,,,,,3.0,J. Embiid,203954.0,4.0,,,,
91,PT03M52.00S,2022-02-13T00:56:19.0Z,1,REGULAR,violation,kicked ball,[],1627788,,,1610612739,28,15,2022-02-13T00:56:25Z,900000,,,0,,F. Korkmaz kicked ball VIOLATION,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,203593.0,,,,,,,,,,
92,PT03M52.00S,2022-02-13T00:56:25.1Z,1,REGULAR,substitution,out,[],201980,,,1610612739,28,15,2022-02-13T00:56:29Z,910000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M52.00S,2022-02-13T00:56:25.1Z,1,REGULAR,substitution,in,[],1629003,,,1610612739,28,15,2022-02-13T00:56:29Z,920000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M40.00S,2022-02-13T00:56:50.5Z,1,REGULAR,3pt,Jump Shot,[],201567,69.46452036793693,74.75490196078431,1610612739,28,15,2022-02-13T00:56:54Z,930000,124.0,235.0,1,right,MISS K. Love 26' 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,
95,PT03M36.00S,2022-02-13T00:56:54.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,28,15,2022-02-13T00:56:54Z,940000,,,0,,J. Embiid REBOUND (Off:0 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,94.0,4.0,4.0,0.0,,,,,,,,,,,,,,
96,PT03M25.00S,2022-02-13T00:57:04.3Z,1,REGULAR,2pt,Jump Shot,[],1630178,13.61695137976347,19.607843137254903,1610612755,30,15,2022-02-13T00:57:08Z,950000,152.0,75.0,1,left,T. Maxey 16' pullup Jump Shot (5 PTS) (J. Embiid 5 AST),"[1630178, 203954]",1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,16.97,Made,,,,,,,,,,,5.0,J. Embiid,203954.0,5.0,,,,
97,PT03M24.00S,2022-02-13T00:57:12.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,30,15,2022-02-13T00:57:12Z,960000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M24.00S,2022-02-13T00:59:31.4Z,1,REGULAR,substitution,out,[],1630171,,,1610612739,30,15,2022-02-13T01:00:05Z,970000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M24.00S,2022-02-13T00:59:31.4Z,1,REGULAR,substitution,in,[],1629636,,,1610612739,30,15,2022-02-13T01:00:05Z,980000,,,0,,SUB in: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M05.00S,2022-02-13T01:00:24.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,93.51182654402102,39.950980392156865,1610612739,30,17,2022-02-13T01:00:37Z,990000,-50.0,8.0,1,right,J. Allen Hook (4 PTS) (C. Osman 1 AST),"[1628386, 1626224]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,5.09,Made,,,,,,,,,,,4.0,C. Osman,1626224.0,1.0,,,,
105,PT02M42.00S,2022-02-13T01:00:46.9Z,1,REGULAR,2pt,Jump Shot,[],203954,8.229303547963205,65.93137254901961,1610612755,30,17,2022-02-13T01:00:52Z,1010000,-80.0,25.0,1,left,MISS J. Embiid 8' turnaround fadeaway Shot,[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,8.35,Missed,,,,,,,,,,,,,,,,,,
106,PT02M39.00S,2022-02-13T01:00:49.8Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,30,17,2022-02-13T01:00:49Z,1020000,,,0,,D. Garland REBOUND (Off:0 Def:2),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,105.0,2.0,2.0,0.0,,,,,,,,,,,,,,
107,PT02M34.00S,2022-02-13T01:00:58.9Z,1,REGULAR,foul,personal,['2freethrow'],1627777,,,1610612739,30,17,2022-02-13T01:01:35Z,1030000,,,0,,G. Niang shooting personal FOUL (1 PF) (Osman 2 FT),"[1627777, 1626224]",1610612755.0,PHI,shooting,,,Niang,G. Niang,,,,,,,,,,,,,,1162.0,1.0,0.0,,,,,,,Osman,1626224.0
109,PT02M34.00S,2022-02-13T01:01:49.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1626224,,,1610612739,30,18,2022-02-13T01:01:49Z,1050000,,,0,,C. Osman Free Throw 1 of 2 (1 PTS),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
110,PT02M34.00S,2022-02-13T01:01:50.3Z,1,REGULAR,substitution,out,[],1630178,,,1610612739,30,18,2022-02-13T01:01:54Z,1060000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M34.00S,2022-02-13T01:01:50.3Z,1,REGULAR,substitution,in,[],1629680,,,1610612739,30,18,2022-02-13T01:01:54Z,1070000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M34.00S,2022-02-13T01:02:08.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1626224,,,1610612739,30,19,2022-02-13T01:02:08Z,1080000,,,0,,C. Osman Free Throw 2 of 2 (2 PTS),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
113,PT02M20.00S,2022-02-13T01:02:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629003,6.1268068331143235,49.754901960784316,1610612755,32,19,2022-02-13T01:02:26Z,1090000,1.0,5.0,1,left,S. Milton driving finger roll Layup (2 PTS) (J. Embiid 6 AST),"[1629003, 203954]",1610612755.0,PHI,driving finger roll,,,Milton,S. Milton,,,,,0.52,Made,,,,,,,,,,,2.0,J. Embiid,203954.0,6.0,,,,
115,PT02M02.00S,2022-02-13T01:02:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,92.46057818659659,59.068627450980394,1610612739,32,19,2022-02-13T01:02:43Z,1110000,45.0,18.0,1,right,MISS D. Garland turnaround Shot,[1629636],1610612739.0,CLE,turnaround,,,Garland,D. Garland,,,,,4.89,Missed,,,,,,,,,,,,,,,,,,
116,PT02M00.00S,2022-02-13T01:02:42.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,32,19,2022-02-13T01:02:43Z,1120000,,,0,,J. Embiid REBOUND (Off:0 Def:5),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,115.0,5.0,5.0,0.0,,,,,,,,,,,,,,
117,PT02M00.00S,2022-02-13T01:02:45.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,32,19,2022-02-13T01:02:45Z,1130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M00.00S,2022-02-13T01:02:46.0Z,1,REGULAR,substitution,out,[],203954,,,1610612755,32,19,2022-02-13T01:02:52Z,1140000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M00.00S,2022-02-13T01:02:46.0Z,1,REGULAR,substitution,in,[],1630194,,,1610612755,32,19,2022-02-13T01:02:52Z,1150000,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M00.00S,2022-02-13T01:02:55.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612755,32,19,2022-02-13T01:02:55Z,1160000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M00.00S,2022-02-13T01:04:19.7Z,1,REGULAR,substitution,out,[],1628386,,,1610612755,32,19,2022-02-13T01:04:22Z,1170000,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M00.00S,2022-02-13T01:04:19.7Z,1,REGULAR,substitution,in,[],1630596,,,1610612755,32,19,2022-02-13T01:04:22Z,1180000,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M49.00S,2022-02-13T01:04:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627788,5.995400788436268,46.07843137254902,1610612755,34,19,2022-02-13T01:04:48Z,1190000,20.0,4.0,1,left,F. Korkmaz driving finger roll Layup (2 PTS) (S. Milton 1 AST),"[1627788, 1629003]",1610612755.0,PHI,driving finger roll,,,Korkmaz,F. Korkmaz,,,,,2.0,Made,,,,,,,,,,,2.0,S. Milton,1629003.0,1.0,,,,
124,PT01M33.00S,2022-02-13T01:05:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,93.9060446780552,51.470588235294116,1610612739,34,21,2022-02-13T01:05:05Z,1200000,7.0,5.0,1,right,C. LeVert driving finger roll Layup (4 PTS) (C. Osman 2 AST),"[1627747, 1626224]",1610612739.0,CLE,driving finger roll,,,LeVert,C. LeVert,,,,,0.88,Made,,,,,,,,,,,4.0,C. Osman,1626224.0,2.0,,,,
127,PT01M24.00S,2022-02-13T01:05:16.5Z,1,REGULAR,foul,personal,[],1626224,,,1610612755,34,21,2022-02-13T01:11:11Z,1220000,,,0,,C. Osman personal FOUL (1 PF),"[1626224, 1627788]",1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,1155.0,1.0,0.0,,,,,,,Korkmaz,1627788.0
129,PT01M19.00S,2022-02-13T01:05:33.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627788,19.398817345597898,63.970588235294116,1610612755,34,21,2022-02-13T01:05:39Z,1240000,-70.0,130.0,1,left,MISS F. Korkmaz 14' pullup Shot,[1627788],1610612755.0,PHI,pullup,,,Korkmaz,F. Korkmaz,,,,,14.74,Missed,,,,,,,,,,,,,,,,,,
130,PT01M17.00S,2022-02-13T01:05:36.8Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612755,34,21,2022-02-13T01:05:36Z,1250000,,,0,,P. Reed REBOUND (Off:1 Def:0),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,129.0,1.0,0.0,1.0,,,,,,,,,,,,,,
131,PT01M10.00S,2022-02-13T01:05:45.7Z,1,REGULAR,foul,offensive,[],1629003,,,1610612755,34,21,2022-02-13T01:05:53Z,1260000,,,0,,S. Milton charge offensive FOUL (1 PF),"[1629003, 1627747]",1610612755.0,PHI,charge,,,Milton,S. Milton,,,,,,,,,,,,,,1162.0,1.0,0.0,,,,,,,LeVert,1627747.0
133,PT01M10.00S,2022-02-13T01:05:45.7Z,1,REGULAR,turnover,offensive foul,[],1629003,,,1610612755,34,21,2022-02-13T01:05:45Z,1280000,,,0,,S. Milton offensive foul TURNOVER (1 TO),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,1.0,,,1162.0,,,,,,,,,,
134,PT00M56.30S,2022-02-13T01:06:19.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627747,84.1819973718791,42.8921568627451,1610612739,34,23,2022-02-13T01:06:24Z,1290000,-36.0,96.0,1,right,C. LeVert 10' pullup Jump Shot (6 PTS),[1627747],1610612739.0,CLE,pullup,,,LeVert,C. LeVert,,,,,10.25,Made,,,,,,,,,,,6.0,,,,,,,
136,PT00M49.10S,2022-02-13T01:06:27.3Z,1,REGULAR,turnover,bad pass,[],1629003,,,1610612755,34,23,2022-02-13T01:06:31Z,1300000,,,0,,S. Milton bad pass TURNOVER (2 TO),"[1629003, 1627747]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,2.0,LeVert,1627747.0,,,,,,,,,,,
137,PT00M49.10S,2022-02-13T01:06:27.3Z,1,REGULAR,steal,,[],1627747,,,1610612739,34,23,2022-02-13T01:06:29Z,1310000,,,0,,C. LeVert STEAL (2 STL),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,
138,PT00M41.90S,2022-02-13T01:06:34.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627747,66.04796320630749,57.107843137254896,1610612739,34,23,2022-02-13T01:06:39Z,1320000,36.0,267.0,1,right,MISS C. LeVert 26' 3PT,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,26.9,Missed,,,,,,,,,,,,,,,,,,
139,PT00M39.20S,2022-02-13T01:06:38.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,34,23,2022-02-13T01:06:38Z,1330000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,138.0,,,,,,,,,,,,,,,,,
140,PT00M39.20S,2022-02-13T01:06:39.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,34,23,2022-02-13T01:06:39Z,1340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT00M29.30S,2022-02-13T01:07:06.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",201567,95.0886990801577,95.09803921568627,1610612739,34,23,2022-02-13T01:07:10Z,1350000,225.0,-6.0,1,right,MISS K. Love 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,22.56,Missed,,,,,,,,,,,,,,,,,,
142,PT00M26.40S,2022-02-13T01:07:09.3Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,34,23,2022-02-13T01:07:10Z,1360000,,,0,,P. Reed REBOUND (Off:1 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,141.0,2.0,1.0,1.0,,,,,,,,,,,,,,
143,PT00M07.60S,2022-02-13T01:07:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629003,12.302890932982917,51.225490196078425,1610612755,36,23,2022-02-13T01:07:33Z,1370000,-6.0,63.0,1,left,S. Milton 6' driving floating Jump Shot (4 PTS),[1629003],1610612755.0,PHI,driving floating,,,Milton,S. Milton,,,,,6.34,Made,,,,,,,,,,,4.0,,,,,,,
144,PT00M00.60S,2022-02-13T01:07:37.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,93.11760840998686,40.931372549019606,1610612739,36,23,2022-02-13T01:07:42Z,1380000,-45.0,12.0,1,right,MISS D. Garland driving floating bank Shot,[1629636],1610612739.0,CLE,driving floating bank,,,Garland,D. Garland,,,,,4.69,Missed,,,,,,,,,,,,,,,,,,
145,PT00M00.60S,2022-02-13T01:07:37.3Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612755,36,23,2022-02-13T01:07:43Z,1390000,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,144.0,1.0,1.0,0.0,,,,,,,,,,,,,,
146,PT00M00.00S,2022-02-13T01:07:46.8Z,1,REGULAR,period,end,[],0,,,1610612755,36,23,2022-02-13T01:07:46Z,1400000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2022-02-13T01:10:34.3Z,2,REGULAR,substitution,out,['startperiod'],1627788,,,1610612755,36,23,2022-02-13T01:10:47Z,1410000,,,0,,SUB out: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2022-02-13T01:10:34.3Z,2,REGULAR,substitution,in,['startperiod'],202699,,,1610612755,36,23,2022-02-13T01:10:47Z,1420000,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2022-02-13T01:10:38.5Z,2,REGULAR,period,start,[],0,,,1610612739,36,23,2022-02-13T01:10:48Z,1430000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT11M35.00S,2022-02-13T01:11:03.0Z,2,REGULAR,3pt,Jump Shot,[],1629636,62.63140604467805,58.08823529411765,1610612739,36,23,2022-02-13T01:11:08Z,1440000,40.0,299.0,1,right,MISS D. Garland 30' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,30.15,Missed,,,,,,,,,,,,,,,,,,
151,PT11M31.00S,2022-02-13T01:11:06.5Z,2,REGULAR,rebound,defensive,[],1629003,,,1610612755,36,23,2022-02-13T01:11:06Z,1450000,,,0,,S. Milton REBOUND (Off:0 Def:1),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,150.0,1.0,1.0,0.0,,,,,,,,,,,,,,
152,PT11M18.00S,2022-02-13T01:11:19.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,5.601182654402102,48.28431372549019,1610612755,38,23,2022-02-13T01:11:23Z,1460000,9.0,0.0,1,left,P. Reed Layup (2 PTS) (S. Milton 2 AST),"[1630194, 1629003]",1610612755.0,PHI,,,,Reed,P. Reed,,,,,0.86,Made,,,,,,,,,,,2.0,S. Milton,1629003.0,2.0,,,,
154,PT11M04.00S,2022-02-13T01:11:33.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,93.77463863337714,47.549019607843135,1610612739,38,25,2022-02-13T01:11:36Z,1480000,-12.0,6.0,1,right,E. Mobley DUNK (4 PTS) (K. Love 1 AST),"[1630596, 201567]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,1.37,Made,,,,,,,,,,,4.0,K. Love,201567.0,1.0,,,,
156,PT10M36.00S,2022-02-13T01:12:00.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627777,6.521024967148489,55.14705882352941,1610612755,38,25,2022-02-13T01:12:04Z,1500000,-26.0,9.0,1,left,MISS G. Niang Layup,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,2.72,Missed,,,,,,,,,,,,,,,,,,
157,PT10M35.00S,2022-02-13T01:12:01.6Z,2,REGULAR,rebound,defensive,[],1630596,,,1610612739,38,25,2022-02-13T01:24:59Z,1510000,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,156.0,2.0,2.0,0.0,,,,,,,,,,,,,,
158,PT10M26.00S,2022-02-13T01:12:11.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626224,86.94152431011827,51.225490196078425,1610612739,38,25,2022-02-13T01:12:16Z,1520000,6.0,70.0,1,right,MISS C. Osman 7' driving floating Shot,[1626224],1610612739.0,CLE,driving floating,,,Osman,C. Osman,,,,,7.05,Missed,,,,,,,,,,,,,,,,,,
159,PT10M23.00S,2022-02-13T01:12:14.0Z,2,REGULAR,rebound,defensive,[],1629003,,,1610612755,38,25,2022-02-13T01:12:14Z,1530000,,,0,,S. Milton REBOUND (Off:0 Def:2),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,158.0,2.0,2.0,0.0,,,,,,,,,,,,,,
160,PT10M13.00S,2022-02-13T01:12:27.2Z,2,REGULAR,turnover,out-of-bounds,[],1629003,,,1610612755,38,25,2022-02-13T01:12:41Z,1540000,,,0,,S. Milton bad pass out-of-bounds TURNOVER (3 TO),[1629003],1610612755.0,PHI,bad pass,,,Milton,S. Milton,,,,,,,,,,,3.0,,,1155.0,,,,,,,,,,
161,PT10M03.00S,2022-02-13T01:12:48.1Z,2,REGULAR,foul,personal,[],1629680,,,1610612739,38,25,2022-02-13T01:12:53Z,1550000,,,0,,M. Thybulle personal FOUL (2 PF),"[1629680, 1629636]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,1155.0,2.0,0.0,,,,,,,Garland,1629636.0
163,PT09M50.00S,2022-02-13T01:13:18.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1626224,76.5604467805519,9.803921568627452,1610612739,38,25,2022-02-13T01:13:23Z,1570000,-201.0,168.0,1,right,MISS C. Osman 26' 3PT,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,26.18,Missed,,,,,,,,,,,,,,,,,,
164,PT09M46.00S,2022-02-13T01:13:22.1Z,2,REGULAR,rebound,defensive,[],1629003,,,1610612755,38,25,2022-02-13T01:13:23Z,1580000,,,0,,S. Milton REBOUND (Off:0 Def:3),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,163.0,3.0,3.0,0.0,,,,,,,,,,,,,,
165,PT09M38.00S,2022-02-13T01:13:30.0Z,2,REGULAR,3pt,Jump Shot,[],1629680,7.178055190538765,3.1862745098039214,1610612755,38,25,2022-02-13T01:13:35Z,1590000,234.0,15.0,1,left,MISS M. Thybulle 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,23.46,Missed,,,,,,,,,,,,,,,,,,
166,PT09M36.00S,2022-02-13T01:13:32.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612739,38,25,2022-02-13T01:13:35Z,1600000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,165.0,,,,,,,,,,,,,,,,,
167,PT09M36.00S,2022-02-13T01:13:36.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,38,25,2022-02-13T01:13:36Z,1610000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT09M36.00S,2022-02-13T01:13:38.7Z,2,REGULAR,substitution,out,[],1629636,,,1610612739,38,25,2022-02-13T01:13:54Z,1620000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,
169,PT09M36.00S,2022-02-13T01:13:38.7Z,2,REGULAR,substitution,in,[],1629731,,,1610612739,38,25,2022-02-13T01:13:54Z,1630000,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,
170,PT09M19.00S,2022-02-13T01:14:18.7Z,2,REGULAR,3pt,Jump Shot,[],1626224,65.65374507227332,44.85294117647059,1610612739,38,28,2022-02-13T01:14:22Z,1640000,-26.0,270.0,1,right,C. Osman 27' 3PT  (5 PTS) (C. LeVert 2 AST),"[1626224, 1627747]",1610612739.0,CLE,,,,Osman,C. Osman,,,,,27.16,Made,,,,,,,,,,,5.0,C. LeVert,1627747.0,2.0,,,,
172,PT08M53.00S,2022-02-13T01:14:45.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,4.5499342969776615,51.71568627450981,1610612755,40,28,2022-02-13T01:22:26Z,1660000,-9.0,-10.0,1,left,P. Reed driving finger roll Layup (4 PTS) (T. Harris 1 AST),"[1630194, 202699]",1610612755.0,PHI,driving finger roll,,,Reed,P. Reed,,,,,1.3,Made,,,,,,,,,,,4.0,T. Harris,202699.0,1.0,,,,
174,PT08M40.00S,2022-02-13T01:15:02.8Z,2,REGULAR,2pt,Jump Shot,[],1626224,95.0886990801577,12.254901960784313,1610612739,40,30,2022-02-13T01:15:08Z,1680000,-189.0,-6.0,1,right,C. Osman 18' fadeaway Jump Shot (7 PTS) (K. Love 2 AST),"[1626224, 201567]",1610612739.0,CLE,fadeaway,,,Osman,C. Osman,,,,,18.88,Made,,,,,,,,,,,7.0,K. Love,201567.0,2.0,,,,
176,PT08M40.00S,2022-02-13T01:15:07.4Z,2,REGULAR,foul,personal,['1freethrow'],1627777,,,1610612739,40,30,2022-02-13T01:15:18Z,1700000,,,0,,G. Niang shooting personal FOUL (2 PF) (Osman 1 FT),"[1627777, 1626224]",1610612755.0,PHI,shooting,,,Niang,G. Niang,,,,,,,,,,,,,,1162.0,2.0,0.0,,,,,,,Osman,1626224.0
178,PT08M40.00S,2022-02-13T01:15:14.7Z,2,REGULAR,substitution,out,[],1629003,,,1610612739,40,30,2022-02-13T01:15:17Z,1720000,,,0,,SUB out: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
179,PT08M40.00S,2022-02-13T01:15:14.7Z,2,REGULAR,substitution,in,[],1630178,,,1610612739,40,30,2022-02-13T01:15:17Z,1730000,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,
180,PT08M40.00S,2022-02-13T01:15:31.1Z,2,REGULAR,substitution,out,[],1629680,,,1610612739,40,30,2022-02-13T01:15:36Z,1740000,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
181,PT08M40.00S,2022-02-13T01:15:31.1Z,2,REGULAR,substitution,in,[],201980,,,1610612739,40,30,2022-02-13T01:15:36Z,1750000,,,0,,SUB in: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
182,PT08M40.00S,2022-02-13T01:15:58.1Z,2,REGULAR,freethrow,1 of 1,[],1626224,,,1610612739,40,31,2022-02-13T01:15:58Z,1760000,,,0,,C. Osman Free Throw 1 of 1 (8 PTS),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,Made,,,,,,,,,,,8.0,,,,,,,
183,PT08M20.00S,2022-02-13T01:16:18.5Z,2,REGULAR,3pt,Jump Shot,[],201980,8.886333771353483,4.6568627450980395,1610612755,40,31,2022-02-13T01:16:25Z,1770000,227.0,31.0,1,left,MISS D. Green 3PT,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,22.88,Missed,,,,,,,,,,,,,,,,,,
184,PT08M18.00S,2022-02-13T01:16:20.5Z,2,REGULAR,rebound,offensive,[],1630194,,,1610612755,40,31,2022-02-13T01:16:25Z,1780000,,,0,,P. Reed REBOUND (Off:2 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,183.0,3.0,1.0,2.0,,,,,,,,,,,,,,
