actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
97,PT05M15.00S,2022-04-09T17:26:32.2Z,1,REGULAR,rebound,defensive,[],204456,,,1610612754,24,12,2022-04-09T17:26:34Z,970000,,,0,,T. McConnell REBOUND (Off:0 Def:1),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,96.0,,,,,,,,1.0,1.0,0.0,,,
98,PT05M10.00S,2022-04-09T17:26:38.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,75.64060446780552,87.00980392156863,1610612754,24,12,2022-04-09T17:26:45Z,980000,185.0,176.0,1,right,MISS T. Haliburton 25' 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,Missed,,,25.57,,,,,,,,,,,
99,PT05M07.00S,2022-04-09T17:26:41.4Z,1,REGULAR,rebound,defensive,[],201980,,,1610612755,24,12,2022-04-09T17:26:45Z,990000,,,0,,D. Green REBOUND (Off:1 Def:1),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,98.0,,,,,,,,2.0,1.0,1.0,,,
100,PT05M06.00S,2022-04-09T17:26:48.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,24,12,2022-04-09T17:26:48Z,1000000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT05M06.00S,2022-04-09T17:29:11.8Z,1,REGULAR,substitution,out,[],202699,,,1610612755,24,12,2022-04-09T17:29:41Z,1010000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
102,PT05M06.00S,2022-04-09T17:29:11.8Z,1,REGULAR,substitution,out,[],201980,,,1610612755,24,12,2022-04-09T17:29:41Z,1020000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
103,PT05M06.00S,2022-04-09T17:29:11.8Z,1,REGULAR,substitution,out,[],204456,,,1610612755,24,12,2022-04-09T17:29:41Z,1030000,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,
104,PT05M06.00S,2022-04-09T17:29:11.8Z,1,REGULAR,substitution,in,[],1629680,,,1610612755,24,12,2022-04-09T17:29:41Z,1040000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
105,PT05M06.00S,2022-04-09T17:29:11.8Z,1,REGULAR,substitution,in,[],1627788,,,1610612755,24,12,2022-04-09T17:29:41Z,1050000,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,
106,PT05M06.00S,2022-04-09T17:29:11.8Z,1,REGULAR,substitution,in,[],202362,,,1610612755,24,12,2022-04-09T17:29:41Z,1060000,,,0,,SUB in: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,
107,PT05M01.00S,2022-04-09T17:29:50.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202362,,,1610612755,24,12,2022-04-09T17:30:04Z,1070000,,,0,,L. Stephenson shooting personal FOUL (1 PF) (Embiid 2 FT),"[202362, 203954]",1610612754.0,IND,shooting,,,Stephenson,L. Stephenson,,,,,1628953.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
109,PT05M01.00S,2022-04-09T17:30:18.3Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,24,12,2022-04-09T17:30:18Z,1090000,,,0,,MISS J. Embiid Free Throw 1 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Missed,,,,,,,,,,,,,,
110,PT05M01.00S,2022-04-09T17:30:18.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,24,12,2022-04-09T17:30:18Z,1100000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,109.0,,,,,,,,,,,,,
111,PT05M01.00S,2022-04-09T17:30:34.8Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,25,12,2022-04-09T17:30:34Z,1110000,,,0,,J. Embiid Free Throw 2 of 2 (11 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,,11.0,,,,,,,,,,,,
112,PT04M39.00S,2022-04-09T17:30:59.9Z,1,REGULAR,2pt,Jump Shot,[],1630169,77.21747700394218,50.73529411764706,1610612754,25,14,2022-04-09T17:31:04Z,1120000,4.0,162.0,1,right,T. Haliburton 16' pullup Jump Shot (3 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,,,,,,Made,,3.0,16.17,,,,,,,,,,,
113,PT04M28.00S,2022-04-09T17:31:13.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630678,,,1610612755,25,14,2022-04-09T17:31:20Z,1130000,,,0,,T. Taylor shooting personal FOUL (1 PF) (Harden 2 FT),"[1630678, 201935]",1610612754.0,IND,shooting,,,Taylor,T. Taylor,,,,,200832.0,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,,
115,PT04M28.00S,2022-04-09T17:31:46.8Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612755,26,14,2022-04-09T17:31:46Z,1150000,,,0,,J. Harden Free Throw 1 of 2 (3 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,Made,,3.0,,,,,,,,,,,,
116,PT04M28.00S,2022-04-09T17:31:59.5Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612755,27,14,2022-04-09T17:31:59Z,1160000,,,0,,J. Harden Free Throw 2 of 2 (4 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,Made,,4.0,,,,,,,,,,,,
117,PT04M07.00S,2022-04-09T17:32:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630678,94.1688567674113,57.35294117647059,1610612754,27,14,2022-04-09T17:32:26Z,1170000,37.0,2.0,1,right,MISS T. Taylor Layup,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,Missed,,,3.69,,,,,,,,,,,
119,PT04M03.00S,2022-04-09T17:32:25.2Z,1,REGULAR,rebound,offensive,[],1630678,,,1610612754,27,14,2022-04-09T17:32:26Z,1190000,,,0,,T. Taylor REBOUND (Off:1 Def:0),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,117.0,,,,,,,,1.0,0.0,1.0,,,
120,PT04M01.00S,2022-04-09T17:32:26.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202362,76.69185282522996,90.44117647058823,1610612754,27,17,2022-04-09T17:32:31Z,1200000,202.0,167.0,1,right,L. Stephenson 26' 3PT fadeaway (3 PTS) (T. Taylor 1 AST),"[202362, 1630678]",1610612754.0,IND,fadeaway,,,Stephenson,L. Stephenson,,,,,,,,,,Made,,3.0,26.2,,,T. Taylor,1630678.0,1.0,,,,,,
122,PT03M54.00S,2022-04-09T17:32:33.2Z,1,REGULAR,2pt,Jump Shot,[],1629003,8.886333771353483,67.15686274509804,1610612755,29,17,2022-04-09T17:32:38Z,1220000,-86.0,31.0,1,left,S. Milton 9' pullup Jump Shot (2 PTS),[1629003],1610612755.0,PHI,pullup,,,Milton,S. Milton,,,,,,,,,,Made,,2.0,9.12,,,,,,,,,,,
123,PT03M47.00S,2022-04-09T17:32:41.0Z,1,REGULAR,3pt,Jump Shot,[],1627741,94.95729303547962,2.2058823529411766,1610612754,29,20,2022-04-09T17:32:45Z,1230000,-239.0,-5.0,1,right,B. Hield 3PT  (3 PTS) (L. Stephenson 1 AST),"[1627741, 202362]",1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,Made,,3.0,23.91,,,L. Stephenson,202362.0,1.0,,,,,,
125,PT03M26.00S,2022-04-09T17:33:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,13.485545335085414,47.794117647058826,1610612755,29,20,2022-04-09T17:33:11Z,1250000,11.0,74.0,1,left,MISS J. Embiid 7' driving Layup - blocked,"[203954, 202362]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,,,,,,Missed,,,7.51,Stephenson,202362.0,,,,,,,,,
126,PT03M26.00S,2022-04-09T17:33:01.0Z,1,REGULAR,block,,[],202362,,,1610612755,29,20,2022-04-09T17:33:03Z,1260000,,,0,,L. Stephenson BLOCK (1 BLK),[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M23.00S,2022-04-09T17:33:04.0Z,1,REGULAR,rebound,defensive,[],1630678,,,1610612754,29,20,2022-04-09T17:33:11Z,1270000,,,0,,T. Taylor REBOUND (Off:1 Def:1),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,125.0,,,,,,,,2.0,1.0,1.0,,,
128,PT03M22.00S,2022-04-09T17:33:05.8Z,1,REGULAR,turnover,bad pass,[],1630678,,,1610612754,29,20,2022-04-09T17:33:15Z,1280000,,,0,,T. Taylor bad pass TURNOVER (1 TO),"[1630678, 1629003]",1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,1.0,Milton,1629003.0
129,PT03M22.00S,2022-04-09T17:33:05.8Z,1,REGULAR,steal,,[],1629003,,,1610612755,29,20,2022-04-09T17:33:11Z,1290000,,,0,,S. Milton STEAL (1 STL),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
130,PT03M09.00S,2022-04-09T17:33:18.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201935,33.590670170827856,56.61764705882353,1610612755,29,20,2022-04-09T17:33:23Z,1300000,-33.0,263.0,1,left,MISS J. Harden 26' step back 3PT,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,,,,,,Missed,,,26.54,,,,,,,,,,,
131,PT03M06.00S,2022-04-09T17:33:21.6Z,1,REGULAR,rebound,defensive,[],202362,,,1610612754,29,20,2022-04-09T17:33:23Z,1310000,,,0,,L. Stephenson REBOUND (Off:0 Def:1),[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,130.0,,,,,,,,1.0,1.0,0.0,,,
132,PT02M52.00S,2022-04-09T17:33:36.0Z,1,REGULAR,3pt,Jump Shot,[],1627741,73.27529566360053,84.06862745098039,1610612754,29,20,2022-04-09T17:33:44Z,1320000,170.0,199.0,1,right,MISS B. Hield 26' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,Missed,,,26.17,,,,,,,,,,,
133,PT02M50.00S,2022-04-09T17:33:38.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,29,20,2022-04-09T17:33:44Z,1330000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,,,
134,PT02M50.00S,2022-04-09T17:33:41.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,29,20,2022-04-09T17:33:41Z,1340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M50.00S,2022-04-09T17:33:42.8Z,1,REGULAR,substitution,out,[],203954,,,1610612755,29,20,2022-04-09T17:33:48Z,1350000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M50.00S,2022-04-09T17:33:42.8Z,1,REGULAR,substitution,in,[],1630194,,,1610612755,29,20,2022-04-09T17:33:48Z,1360000,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M33.00S,2022-04-09T17:34:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,5.206964520367937,40.44117647058824,1610612755,29,20,2022-04-09T17:34:18Z,1370000,48.0,-4.0,1,left,MISS J. Harden driving Layup,[201935],1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,,,,,,Missed,,,4.79,,,,,,,,,,,
138,PT02M31.00S,2022-04-09T17:34:15.6Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612755,29,20,2022-04-09T17:34:18Z,1380000,,,0,,P. Reed REBOUND (Off:1 Def:0),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,137.0,,,,,,,,1.0,0.0,1.0,,,
139,PT02M29.00S,2022-04-09T17:34:17.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630194,7.30946123521682,51.9607843137255,1610612755,31,20,2022-04-09T17:34:23Z,1390000,-10.0,16.0,1,left,P. Reed reverse Layup (2 PTS),[1630194],1610612755.0,PHI,reverse,,,Reed,P. Reed,,,,,,,,,,Made,,2.0,1.89,,,,,,,,,,,
140,PT02M20.00S,2022-04-09T17:34:27.8Z,1,REGULAR,foul,personal,['2freethrow'],1630194,,,1610612754,31,20,2022-04-09T17:34:37Z,1400000,,,0,,P. Reed shooting personal FOUL (1 PF) (Hield 2 FT),"[1630194, 1627741]",1610612755.0,PHI,shooting,,,Reed,P. Reed,,,,,1628953.0,1.0,0.0,Hield,1627741.0,,,,,,,,,,,,,,,
142,PT02M20.00S,2022-04-09T17:34:54.1Z,1,REGULAR,freethrow,1 of 2,[],1627741,,,1610612754,31,21,2022-04-09T17:34:54Z,1420000,,,0,,B. Hield Free Throw 1 of 2 (4 PTS),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,Made,,4.0,,,,,,,,,,,,
143,PT02M20.00S,2022-04-09T17:34:56.1Z,1,REGULAR,substitution,out,[],1630169,,,1610612754,31,21,2022-04-09T17:34:59Z,1430000,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
144,PT02M20.00S,2022-04-09T17:34:56.1Z,1,REGULAR,substitution,in,[],204456,,,1610612754,31,21,2022-04-09T17:34:59Z,1440000,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M20.00S,2022-04-09T17:35:15.6Z,1,REGULAR,freethrow,2 of 2,[],1627741,,,1610612754,31,22,2022-04-09T17:35:15Z,1450000,,,0,,B. Hield Free Throw 2 of 2 (5 PTS),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,Made,,5.0,,,,,,,,,,,,
146,PT02M14.00S,2022-04-09T17:35:24.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",204456,,,1610612755,31,22,2022-04-09T17:35:36Z,1460000,,,0,,T. McConnell personal FOUL (1 PF) (Harden 2 FT),"[204456, 201935]",1610612754.0,IND,,,,McConnell,T. McConnell,,,,,1627962.0,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,,
148,PT02M14.00S,2022-04-09T17:35:38.0Z,1,REGULAR,substitution,out,[],1627741,,,1610612755,31,22,2022-04-09T17:35:41Z,1480000,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,
149,PT02M14.00S,2022-04-09T17:35:38.0Z,1,REGULAR,substitution,in,[],1629052,,,1610612755,31,22,2022-04-09T17:35:41Z,1490000,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
150,PT02M14.00S,2022-04-09T17:35:53.5Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612755,32,22,2022-04-09T17:35:53Z,1500000,,,0,,J. Harden Free Throw 1 of 2 (5 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,Made,,5.0,,,,,,,,,,,,
151,PT02M14.00S,2022-04-09T17:35:56.3Z,1,REGULAR,substitution,out,[],1630678,,,1610612755,32,22,2022-04-09T17:36:00Z,1510000,,,0,,SUB out: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,
152,PT02M14.00S,2022-04-09T17:35:56.3Z,1,REGULAR,substitution,in,[],1630543,,,1610612755,32,22,2022-04-09T17:36:00Z,1520000,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
153,PT02M14.00S,2022-04-09T17:36:23.6Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612755,33,22,2022-04-09T17:36:23Z,1530000,,,0,,J. Harden Free Throw 2 of 2 (6 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,Made,,6.0,,,,,,,,,,,,
154,PT01M55.00S,2022-04-09T17:36:43.0Z,1,REGULAR,turnover,bad pass,[],202362,,,1610612754,33,22,2022-04-09T17:36:47Z,1540000,,,0,,L. Stephenson bad pass TURNOVER (1 TO),"[202362, 1630194]",1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,1.0,Reed,1630194.0
155,PT01M55.00S,2022-04-09T17:36:43.0Z,1,REGULAR,steal,,[],1630194,,,1610612755,33,22,2022-04-09T17:36:45Z,1550000,,,0,,P. Reed STEAL (1 STL),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,
156,PT01M45.00S,2022-04-09T17:36:53.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201935,6.915243101182654,58.82352941176471,1610612755,33,22,2022-04-09T17:37:00Z,1560000,-44.0,13.0,1,left,MISS J. Harden floating Shot - blocked,"[201935, 1630543]",1610612755.0,PHI,floating,,,Harden,J. Harden,,,,,,,,,,Missed,,,4.58,Jackson,1630543.0,,,,,,,,,
157,PT01M45.00S,2022-04-09T17:36:53.2Z,1,REGULAR,block,,[],1630543,,,1610612755,33,22,2022-04-09T17:36:56Z,1570000,,,0,,I. Jackson BLOCK (1 BLK),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
158,PT01M45.00S,2022-04-09T17:36:53.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,33,22,2022-04-09T17:37:00Z,1580000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,
159,PT01M45.00S,2022-04-09T17:37:04.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,33,22,2022-04-09T17:37:04Z,1590000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT01M41.00S,2022-04-09T17:37:09.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627788,19.136005256241788,34.80392156862745,1610612755,33,22,2022-04-09T17:37:14Z,1600000,76.0,127.0,1,left,MISS F. Korkmaz 14' fadeaway Shot,[1627788],1610612755.0,PHI,fadeaway,,,Korkmaz,F. Korkmaz,,,,,,,,,,Missed,,,14.83,,,,,,,,,,,
161,PT01M38.00S,2022-04-09T17:37:12.5Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,33,22,2022-04-09T17:37:14Z,1610000,,,0,,O. Brissett REBOUND (Off:0 Def:1),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,160.0,,,,,,,,1.0,1.0,0.0,,,
162,PT01M35.00S,2022-04-09T17:37:18.6Z,1,REGULAR,turnover,out-of-bounds,[],204456,,,1610612754,33,22,2022-04-09T17:37:29Z,1620000,,,0,,T. McConnell bad pass out-of-bounds TURNOVER (1 TO),[204456],1610612754.0,IND,bad pass,,,McConnell,T. McConnell,,,,,1627962.0,,,,,,,,,,,,,,,,,1.0,,
163,PT01M26.00S,2022-04-09T17:37:46.5Z,1,REGULAR,foul,offensive,[],1629003,,,1610612755,33,22,2022-04-09T17:38:00Z,1630000,,,0,,S. Milton offensive FOUL (1 PF),"[1629003, 204456]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,200832.0,1.0,0.0,McConnell,204456.0,,,,,,,,,,,,,,,
165,PT01M26.00S,2022-04-09T17:37:46.5Z,1,REGULAR,turnover,offensive foul,[],1629003,,,1610612755,33,22,2022-04-09T17:37:46Z,1650000,,,0,,S. Milton offensive foul TURNOVER (1 TO),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,200832.0,,,,,,,,,,,,,,,,,1.0,,
166,PT01M26.00S,2022-04-09T17:38:01.9Z,1,REGULAR,substitution,out,[],1630613,,,1610612754,33,22,2022-04-09T17:38:05Z,1660000,,,0,,SUB out: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,
167,PT01M26.00S,2022-04-09T17:38:01.9Z,1,REGULAR,substitution,in,[],1628221,,,1610612754,33,22,2022-04-09T17:38:05Z,1670000,,,0,,SUB in: G. York,[1628221],1610612754.0,IND,,,,York,G. York,,,,,,,,,,,,,,,,,,,,,,,,
168,PT01M13.00S,2022-04-09T17:38:21.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,33,22,2022-04-09T17:38:21Z,1680000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT01M04.00S,2022-04-09T17:38:45.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628221,73.27529566360053,84.06862745098039,1610612754,33,22,2022-04-09T17:38:51Z,1690000,170.0,199.0,1,right,MISS G. York 26' fadeaway 3PT,[1628221],1610612754.0,IND,fadeaway,,,York,G. York,,,,,,,,,,Missed,,,26.17,,,,,,,,,,,
170,PT01M00.00S,2022-04-09T17:38:49.6Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,33,22,2022-04-09T17:38:51Z,1700000,,,0,,P. Reed REBOUND (Off:1 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,169.0,,,,,,,,2.0,1.0,1.0,,,
171,PT00M50.90S,2022-04-09T17:38:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,6.389618922470433,49.01960784313725,1610612755,35,22,2022-04-09T17:39:10Z,1710000,5.0,8.0,1,left,P. Reed reverse Layup (4 PTS) (J. Harden 3 AST),"[1630194, 201935]",1610612755.0,PHI,reverse,,,Reed,P. Reed,,,,,,,,,,Made,,4.0,0.9,,,J. Harden,201935.0,3.0,,,,,,
173,PT00M32.30S,2022-04-09T17:39:23.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630194,,,1610612754,35,22,2022-04-09T17:39:32Z,1730000,,,0,,P. Reed shooting personal FOUL (2 PF) (York 2 FT),"[1630194, 1628221]",1610612755.0,PHI,shooting,,,Reed,P. Reed,,,,,200832.0,2.0,0.0,York,1628221.0,,,,,,,,,,,,,,,
175,PT00M32.30S,2022-04-09T17:39:44.1Z,1,REGULAR,freethrow,1 of 2,[],1628221,,,1610612754,35,22,2022-04-09T17:39:44Z,1750000,,,0,,MISS G. York Free Throw 1 of 2,[1628221],1610612754.0,IND,,,,York,G. York,,,,,,,,,,Missed,,,,,,,,,,,,,,
176,PT00M32.30S,2022-04-09T17:39:44.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,35,22,2022-04-09T17:39:44Z,1760000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,
177,PT00M32.30S,2022-04-09T17:39:48.0Z,1,REGULAR,substitution,out,[],1629052,,,1610612754,35,22,2022-04-09T17:39:52Z,1770000,,,0,,SUB out: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
178,PT00M32.30S,2022-04-09T17:39:48.0Z,1,REGULAR,substitution,in,[],1630678,,,1610612754,35,22,2022-04-09T17:39:52Z,1780000,,,0,,SUB in: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,
179,PT00M32.30S,2022-04-09T17:40:04.0Z,1,REGULAR,freethrow,2 of 2,[],1628221,,,1610612754,35,23,2022-04-09T17:40:03Z,1790000,,,0,,G. York Free Throw 2 of 2 (1 PTS),[1628221],1610612754.0,IND,,,,York,G. York,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
180,PT00M10.40S,2022-04-09T17:40:30.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202362,,,1610612755,35,23,2022-04-09T17:40:38Z,1800000,,,0,,L. Stephenson shooting personal FOUL (2 PF) (Harden 2 FT),"[202362, 201935]",1610612754.0,IND,shooting,,,Stephenson,L. Stephenson,,,,,1627962.0,2.0,0.0,Harden,201935.0,,,,,,,,,,,,,,,
182,PT00M10.40S,2022-04-09T17:41:00.7Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612755,36,23,2022-04-09T17:41:00Z,1820000,,,0,,J. Harden Free Throw 1 of 2 (7 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,Made,,7.0,,,,,,,,,,,,
183,PT00M10.40S,2022-04-09T17:41:01.7Z,1,REGULAR,substitution,out,[],1630678,,,1610612755,36,23,2022-04-09T17:41:04Z,1830000,,,0,,SUB out: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,
184,PT00M10.40S,2022-04-09T17:41:01.7Z,1,REGULAR,substitution,in,[],1630613,,,1610612755,36,23,2022-04-09T17:41:04Z,1840000,,,0,,SUB in: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,
185,PT00M10.40S,2022-04-09T17:41:19.7Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612755,37,23,2022-04-09T17:41:19Z,1850000,,,0,,J. Harden Free Throw 2 of 2 (8 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,Made,,8.0,,,,,,,,,,,,
186,PT00M00.40S,2022-04-09T17:41:32.6Z,1,REGULAR,3pt,Jump Shot,[],1630613,67.23061760840999,74.01960784313727,1610612754,37,23,2022-04-09T17:41:42Z,1860000,120.0,256.0,1,right,MISS D. Washington Jr. 28' 3PT,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,Missed,,,28.23,,,,,,,,,,,
187,PT00M00.40S,2022-04-09T17:41:32.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,37,23,2022-04-09T17:41:42Z,1870000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,186.0,,,,,,,,,,,,,
