actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
85,PT04M46.00S,2024-04-02T00:25:35.1Z,1,REGULAR,substitution,in,[],1628470,,,1610612741,21,17,2024-04-02T00:25:51Z,850000,False,,,0,,SUB in: T. Craig,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M46.00S,2024-04-02T00:25:35.1Z,1,REGULAR,substitution,in,[],1630552,,,1610612741,21,17,2024-04-02T00:25:51Z,860000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M46.00S,2024-04-02T00:25:35.1Z,1,REGULAR,substitution,in,[],1628981,,,1610612741,21,17,2024-04-02T00:25:51Z,870000,False,,,0,,SUB in: B. Fernando,[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M46.00S,2024-04-02T00:25:55.0Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,22,17,2024-04-02T00:25:55Z,880000,False,,,0,,D. DeRozan Free Throw 2 of 2 (8 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,
89,PT04M36.00S,2024-04-02T00:26:06.8Z,1,REGULAR,3pt,Jump Shot,[],1629726,91.27792378449409,4.901960784313726,1610612737,22,20,2024-04-02T00:26:12Z,890000,False,-225.0,29.0,1,right,G. Mathews 3PT step back (6 PTS) (D. Murray 2 AST),"[1629726, 1627749]",1610612737.0,ATL,step back,,,Mathews,G. Mathews,,,,,,Left Corner 3,24+ Left,22.74,Made,,,,,6.0,,,,D. Murray,1627749.0,2.0,,,,,,
91,PT04M19.00S,2024-04-02T00:26:23.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,7.5722733245729295,50.245098039215684,1610612741,22,20,2024-04-02T00:26:28Z,910000,False,-1.0,19.0,1,left,MISS N. Vucevic driving Hook,[202696],1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,,Restricted Area,0-8 Center,1.87,Missed,,,,,,,,,,,,,,,,,
92,PT04M17.00S,2024-04-02T00:26:25.9Z,1,REGULAR,rebound,defensive,[],1628981,,,1610612737,22,20,2024-04-02T00:26:28Z,920000,False,,,0,,B. Fernando REBOUND (Off:0 Def:1),[1628981],1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,,Restricted Area,0-8 Center,,,91.0,1.0,1.0,0.0,,,,,,,,,,,,,
93,PT04M10.00S,2024-04-02T00:26:32.1Z,1,REGULAR,2pt,Jump Shot,[],1627749,75.64060446780552,45.34313725490196,1610612737,22,20,2024-04-02T00:26:36Z,930000,False,-23.0,176.0,1,right,MISS D. Murray 17' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,,Mid-Range,16-24 Center,17.8,Missed,,,,,,,,,,,,,,,,,
94,PT04M07.00S,2024-04-02T00:26:35.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,22,20,2024-04-02T00:26:36Z,940000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,Mid-Range,16-24 Center,,,93.0,4.0,3.0,1.0,,,,,,,,,,,,,
95,PT03M48.00S,2024-04-02T00:26:54.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,6.1268068331143235,47.05882352941176,1610612741,24,20,2024-04-02T00:27:02Z,950000,False,15.0,5.0,1,left,A. Dosunmu driving finger roll Layup (6 PTS) (D. Terry 1 AST),"[1630245, 1631207]",1610612741.0,CHI,driving finger roll,,,Dosunmu,A. Dosunmu,,,,,,Restricted Area,0-8 Center,1.56,Made,,,,,6.0,,,,D. Terry,1631207.0,1.0,,,,,,
97,PT03M31.00S,2024-04-02T00:27:10.5Z,1,REGULAR,3pt,Jump Shot,[],1629726,86.5473061760841,97.54901960784314,1610612737,24,20,2024-04-02T00:27:15Z,970000,False,238.0,74.0,1,right,MISS G. Mathews 24' 3PT,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,Right Corner 3,24+ Right,24.9,Missed,,,,,,,,,,,,,,,,,
98,PT03M28.00S,2024-04-02T00:27:13.5Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,24,20,2024-04-02T00:27:15Z,980000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Right Corner 3,24+ Right,,,97.0,1.0,1.0,0.0,,,,,,,,,,,,,
99,PT03M19.00S,2024-04-02T00:27:27.8Z,1,REGULAR,foul,personal,[],1628981,,,1610612741,24,20,2024-04-02T00:27:37Z,990000,False,,,0,,B. Fernando personal FOUL (1 PF),"[1628981, 202696]",1610612737.0,ATL,,,,Fernando,B. Fernando,,,,,1148.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,0.0,Vucevic,202696.0,,
101,PT03M19.00S,2024-04-02T00:27:38.0Z,1,REGULAR,substitution,out,[],202696,,,1610612741,24,20,2024-04-02T00:27:50Z,1010000,False,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M19.00S,2024-04-02T00:27:38.0Z,1,REGULAR,substitution,out,[],201942,,,1610612741,24,20,2024-04-02T00:27:50Z,1020000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M19.00S,2024-04-02T00:27:38.0Z,1,REGULAR,substitution,out,[],1630245,,,1610612741,24,20,2024-04-02T00:27:50Z,1030000,False,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M19.00S,2024-04-02T00:27:38.0Z,1,REGULAR,substitution,in,[],1627936,,,1610612741,24,20,2024-04-02T00:27:50Z,1040000,False,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M19.00S,2024-04-02T00:27:38.0Z,1,REGULAR,substitution,in,[],203083,,,1610612741,24,20,2024-04-02T00:27:50Z,1050000,False,,,0,,SUB in: A. Drummond,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M19.00S,2024-04-02T00:27:38.0Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,24,20,2024-04-02T00:27:50Z,1060000,False,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M06.00S,2024-04-02T00:28:02.0Z,1,REGULAR,3pt,Jump Shot,[],1627936,32.933639947437584,52.20588235294118,1610612741,24,20,2024-04-02T00:28:07Z,1070000,False,-11.0,257.0,1,left,MISS A. Caruso 25' pullup 3PT,[1627936],1610612741.0,CHI,pullup,,,Caruso,A. Caruso,,,,,,Above the Break 3,24+ Center,25.73,Missed,,,,,,,,,,,,,,,,,
108,PT03M06.00S,2024-04-02T00:28:02.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,24,20,2024-04-02T00:28:07Z,1080000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,Above the Break 3,24+ Center,,,107.0,,,,,,,,,,,,,,,,
110,PT02M50.00S,2024-04-02T00:28:29.9Z,1,REGULAR,foul,offensive,[],1627749,,,1610612737,24,20,2024-04-02T00:28:37Z,1100000,False,,,0,,D. Murray off-the-ball offensive FOUL (1 PF),"[1627749, 1629632]",1610612737.0,ATL,off-the-ball,,,Murray,D. Murray,,,,,1628953.0,Mid-Range,16-24 Center,,,,,,,,,,,,,,1.0,0.0,White,1629632.0,,
112,PT02M50.00S,2024-04-02T00:28:29.9Z,1,REGULAR,turnover,offensive foul,[],1627749,,,1610612737,24,20,2024-04-02T00:28:29Z,1120000,False,,,0,,D. Murray offensive foul TURNOVER (3 TO),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,1628953.0,Mid-Range,16-24 Center,,,,,,,,3.0,,,,,,,,,,,
113,PT02M50.00S,2024-04-02T00:28:36.6Z,1,REGULAR,substitution,out,[],1627749,,,1610612741,24,20,2024-04-02T00:28:43Z,1130000,False,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M50.00S,2024-04-02T00:28:36.6Z,1,REGULAR,substitution,out,[],1629631,,,1610612741,24,20,2024-04-02T00:28:43Z,1140000,False,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M50.00S,2024-04-02T00:28:36.6Z,1,REGULAR,substitution,in,[],1641723,,,1610612741,24,20,2024-04-02T00:28:43Z,1150000,False,,,0,,SUB in: K. Bufkin,[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M50.00S,2024-04-02T00:28:36.6Z,1,REGULAR,substitution,in,[],203992,,,1610612741,24,20,2024-04-02T00:28:43Z,1160000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M37.00S,2024-04-02T00:28:57.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629632,5.601182654402102,49.754901960784316,1610612741,26,20,2024-04-02T00:29:01Z,1170000,False,1.0,0.0,1,left,C. White driving finger roll Layup (5 PTS),[1629632],1610612741.0,CHI,driving finger roll,,,White,C. White,,,,,,Restricted Area,0-8 Center,0.12,Made,,,,,5.0,,,,,,,,,,,,
118,PT02M22.00S,2024-04-02T00:29:13.5Z,1,REGULAR,3pt,Jump Shot,[],1630552,72.09264126149803,22.30392156862745,1610612737,26,23,2024-04-02T00:29:17Z,1180000,False,-138.0,210.0,1,right,J. Johnson 25' 3PT step back (3 PTS) (B. Fernando 1 AST),"[1630552, 1628981]",1610612737.0,ATL,step back,,,Johnson,J. Johnson,,,,,,Above the Break 3,24+ Left Center,25.14,Made,,,,,3.0,,,,B. Fernando,1628981.0,1.0,,,,,,
119,PT02M09.00S,2024-04-02T00:29:26.0Z,1,REGULAR,3pt,Jump Shot,[],1629632,33.196452036793694,58.57843137254902,1610612741,26,23,2024-04-02T00:29:29Z,1190000,False,-43.0,260.0,1,left,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,Above the Break 3,24+ Center,26.3,Missed,,,,,,,,,,,,,,,,,
120,PT02M06.00S,2024-04-02T00:29:29.0Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,26,23,2024-04-02T00:29:29Z,1200000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,Above the Break 3,24+ Center,,,119.0,1.0,1.0,0.0,,,,,,,,,,,,,
121,PT01M57.00S,2024-04-02T00:29:38.3Z,1,REGULAR,3pt,Jump Shot,[],1630552,95.3515111695138,3.6764705882352944,1610612737,26,26,2024-04-02T00:29:42Z,1210000,False,-232.0,-9.0,1,right,J. Johnson 3PT  (6 PTS) (B. Fernando 2 AST),"[1630552, 1628981]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,Left Corner 3,24+ Left,23.18,Made,,,,,6.0,,,,B. Fernando,1628981.0,2.0,,,,,,
124,PT01M45.00S,2024-04-02T00:29:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,6.521024967148489,54.166666666666664,1610612741,28,26,2024-04-02T00:29:54Z,1230000,False,-21.0,9.0,1,left,A. Drummond cutting Layup (2 PTS) (A. Caruso 1 AST),"[203083, 1627936]",1610612741.0,CHI,cutting,,,Drummond,A. Drummond,,,,,,Restricted Area,0-8 Center,2.26,Made,,,,,2.0,,,,A. Caruso,1627936.0,1.0,,,,,,
126,PT01M33.00S,2024-04-02T00:30:02.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,90.75229960578186,45.09803921568628,1610612737,28,28,2024-04-02T00:30:07Z,1250000,False,-25.0,34.0,1,right,J. Johnson driving floating bank Jump Shot (8 PTS),[1630552],1610612737.0,ATL,driving floating bank,,,Johnson,J. Johnson,,,,,,Restricted Area,0-8 Center,4.22,Made,,,,,8.0,,,,,,,,,,,,
127,PT01M23.00S,2024-04-02T00:30:18.3Z,1,REGULAR,foul,offensive,[],1629632,,,1610612741,28,28,2024-04-02T00:30:24Z,1260000,False,,,0,,C. White charge offensive FOUL (2 PF),"[1629632, 1629726]",1610612741.0,CHI,charge,,,White,C. White,,,,,1627961.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2.0,0.0,Mathews,1629726.0,,
129,PT01M23.00S,2024-04-02T00:30:18.3Z,1,REGULAR,turnover,offensive foul,[],1629632,,,1610612741,28,28,2024-04-02T00:30:18Z,1280000,False,,,0,,C. White offensive foul TURNOVER (1 TO),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,1627961.0,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,,,,,,
130,PT01M23.00S,2024-04-02T00:30:23.7Z,1,REGULAR,substitution,out,[],1631207,,,1610612737,28,28,2024-04-02T00:30:26Z,1290000,False,,,0,,SUB out: D. Terry,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M23.00S,2024-04-02T00:30:23.7Z,1,REGULAR,substitution,in,[],201942,,,1610612737,28,28,2024-04-02T00:30:26Z,1300000,False,,,0,,SUB in: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M11.00S,2024-04-02T00:30:46.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628981,93.24901445466492,50.49019607843137,1610612737,28,30,2024-04-02T00:30:51Z,1310000,False,2.0,11.0,1,right,B. Fernando alley-oop DUNK (2 PTS) (K. Bufkin 1 AST),"[1628981, 1641723]",1610612737.0,ATL,alley-oop,,,Fernando,B. Fernando,,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,2.0,,,,K. Bufkin,1641723.0,1.0,,,,,,
134,PT00M59.80S,2024-04-02T00:31:00.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627936,5.995400788436268,51.9607843137255,1610612741,28,30,2024-04-02T00:31:03Z,1330000,False,-10.0,4.0,1,left,MISS A. Caruso driving finger roll Layup,[1627936],1610612741.0,CHI,driving finger roll,,,Caruso,A. Caruso,,,,,,Restricted Area,0-8 Center,1.05,Missed,,,,,,,,,,,,,,,,,
135,PT00M59.80S,2024-04-02T00:31:01.7Z,1,REGULAR,rebound,offensive,[],203083,,,1610612741,28,30,2024-04-02T00:31:01Z,1340000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,Restricted Area,0-8 Center,,,134.0,1.0,0.0,1.0,,,,,,,,,,,,,
136,PT00M59.80S,2024-04-02T00:31:02.9Z,1,REGULAR,foul,personal,['2freethrow'],1641723,,,1610612741,28,30,2024-04-02T00:31:10Z,1350000,False,,,0,,K. Bufkin shooting personal FOUL (1 PF) (Drummond 2 FT),"[1641723, 203083]",1610612737.0,ATL,shooting,,,Bufkin,K. Bufkin,,,,,1627961.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,0.0,Drummond,203083.0,,
138,PT00M59.80S,2024-04-02T00:31:26.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203083,,,1610612741,29,30,2024-04-02T00:31:44Z,1370000,False,,,0,,A. Drummond Free Throw 1 of 2 (3 PTS),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
139,PT00M59.80S,2024-04-02T00:31:26.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203083,,,1610612741,29,30,2024-04-02T00:31:44Z,1380000,False,,,0,,MISS A. Drummond Free Throw 2 of 2,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
140,PT00M54.60S,2024-04-02T00:31:31.7Z,1,REGULAR,rebound,defensive,[],1641723,,,1610612737,29,30,2024-04-02T00:31:44Z,1390000,False,,,0,,K. Bufkin REBOUND (Off:0 Def:1),[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,
141,PT00M41.20S,2024-04-02T00:31:57.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628981,92.85479632063075,48.28431372549019,1610612737,29,32,2024-04-02T00:32:05Z,1400000,False,-9.0,15.0,1,right,B. Fernando reverse Layup (4 PTS) (B. Bogdanovic 3 AST),"[1628981, 203992]",1610612737.0,ATL,reverse,,,Fernando,B. Fernando,,,,,,Restricted Area,0-8 Center,1.7,Made,,,,,4.0,,,,B. Bogdanovic,203992.0,3.0,,,,,,
143,PT00M32.60S,2024-04-02T00:32:11.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628981,,,1610612741,29,32,2024-04-02T00:32:18Z,1420000,False,,,0,,B. Fernando shooting personal FOUL (2 PF) (DeRozan 2 FT),"[1628981, 201942]",1610612737.0,ATL,shooting,,,Fernando,B. Fernando,,,,,1148.0,Mid-Range,16-24 Center,,,,,,,,,,,,,,2.0,0.0,DeRozan,201942.0,,
145,PT00M32.60S,2024-04-02T00:32:40.0Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,29,32,2024-04-02T00:32:40Z,1440000,False,,,0,,MISS D. DeRozan Free Throw 1 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
146,PT00M32.60S,2024-04-02T00:32:40.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,29,32,2024-04-02T00:32:40Z,1450000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,
147,PT00M32.60S,2024-04-02T00:32:56.6Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,30,32,2024-04-02T00:32:56Z,1460000,False,,,0,,D. DeRozan Free Throw 2 of 2 (9 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,
148,PT00M15.40S,2024-04-02T00:33:16.9Z,1,REGULAR,3pt,Jump Shot,[],1629726,79.97700394218134,7.107843137254902,1610612737,30,32,2024-04-02T00:33:22Z,1470000,False,-214.0,136.0,1,right,MISS G. Mathews 25' 3PT,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,Above the Break 3,24+ Left Center,25.38,Missed,,,,,,,,,,,,,,,,,
149,PT00M12.00S,2024-04-02T00:33:20.3Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,30,32,2024-04-02T00:33:20Z,1480000,False,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,Above the Break 3,24+ Left Center,,,148.0,2.0,1.0,1.0,,,,,,,,,,,,,
150,PT00M00.00S,2024-04-02T00:33:32.6Z,1,REGULAR,3pt,Jump Shot,[],1629632,28.07161629434954,82.35294117647058,1610612741,30,32,2024-04-02T00:33:36Z,1490000,False,-162.0,211.0,1,left,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,Above the Break 3,24+ Left Center,26.62,Missed,,,,,,,,,,,,,,,,,
151,PT00M00.00S,2024-04-02T00:33:34.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,30,32,2024-04-02T00:33:34Z,1500000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,Above the Break 3,24+ Left Center,,,150.0,,,,,,,,,,,,,,,,
152,PT00M00.00S,2024-04-02T00:33:35.5Z,1,REGULAR,period,end,[],0,,,1610612741,30,32,2024-04-02T00:33:35Z,1510000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2024-04-02T00:35:43.9Z,2,REGULAR,substitution,out,['startperiod'],1628470,,,1610612741,30,32,2024-04-02T00:36:17Z,1520000,False,,,0,,SUB out: T. Craig,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2024-04-02T00:35:43.9Z,2,REGULAR,substitution,in,['startperiod'],1630678,,,1610612741,30,32,2024-04-02T00:36:17Z,1530000,False,,,0,,SUB in: T. Taylor,[1630678],1610612741.0,CHI,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2024-04-02T00:36:20.2Z,2,REGULAR,period,start,[],0,,,1610612741,30,32,2024-04-02T00:36:20Z,1540000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT11M39.00S,2024-04-02T00:36:47.6Z,2,REGULAR,2pt,Jump Shot,[],1627936,3.630091984231275,15.686274509803921,1610612741,30,32,2024-04-02T01:15:01Z,1550000,False,172.0,-18.0,1,left,MISS A. Caruso 17' pullup Shot,[1627936],1610612741.0,CHI,pullup,,,Caruso,A. Caruso,,,,,,Mid-Range,16-24 Right,17.26,Missed,,,,,,,,,,,,,,,,,
157,PT11M35.00S,2024-04-02T00:36:51.6Z,2,REGULAR,rebound,offensive,[],1630678,,,1610612741,30,32,2024-04-02T01:15:01Z,1560000,False,,,0,,T. Taylor REBOUND (Off:1 Def:0),[1630678],1610612741.0,CHI,,,,Taylor,T. Taylor,,,,,,Mid-Range,16-24 Right,,,156.0,1.0,0.0,1.0,,,,,,,,,,,,,
314,PT11M35.00S,2024-04-02T00:36:52.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630678,8.492115637319317,49.01960784313725,1610612741,30,32,2024-04-02T01:15:16Z,1565000,False,5.0,27.0,1,left,MISS T. Taylor tip Layup,[1630678],1610612741.0,CHI,tip,,,Taylor,T. Taylor,,,,,,Restricted Area,0-8 Center,2.77,Missed,,,,,,,,,,,,,,,,,
315,PT11M33.00S,2024-04-02T00:36:54.9Z,2,REGULAR,rebound,defensive,[],1641723,,,1610612737,30,32,2024-04-02T01:15:16Z,1567500,False,,,0,,K. Bufkin REBOUND (Off:0 Def:2),[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,Restricted Area,0-8 Center,,,314.0,2.0,2.0,0.0,,,,,,,,,,,,,
158,PT11M31.00S,2024-04-02T00:36:58.2Z,2,REGULAR,turnover,out-of-bounds,[],1641723,,,1610612737,30,32,2024-04-02T00:53:30Z,1570000,False,,,0,,K. Bufkin bad pass out-of-bounds TURNOVER (1 TO),[1641723],1610612737.0,ATL,bad pass,,,Bufkin,K. Bufkin,,,,,1627961.0,Above the Break 3,24+ Left Center,,,,,,,,1.0,,,,,,,,,,,
159,PT11M16.00S,2024-04-02T00:37:15.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627936,26.62614980289093,21.568627450980394,1610612741,30,32,2024-04-02T00:37:21Z,1580000,False,142.0,198.0,1,left,MISS A. Caruso 24' 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,Above the Break 3,24+ Right Center,24.36,Missed,,,,,,,,,,,,,,,,,
160,PT11M12.00S,2024-04-02T00:37:19.1Z,2,REGULAR,rebound,offensive,[],1630678,,,1610612741,30,32,2024-04-02T00:37:21Z,1590000,False,,,0,,T. Taylor REBOUND (Off:2 Def:0),[1630678],1610612741.0,CHI,,,,Taylor,T. Taylor,,,,,,Above the Break 3,24+ Right Center,,,159.0,2.0,0.0,2.0,,,,,,,,,,,,,
161,PT11M07.00S,2024-04-02T00:37:23.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",203083,5.469776609724048,50.0,1610612741,32,32,2024-04-02T00:37:28Z,1600000,False,0.0,-1.0,1,left,A. Drummond DUNK (5 PTS) (D. DeRozan 3 AST),"[203083, 201942]",1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,Restricted Area,0-8 Center,0.11,Made,,,,,5.0,,,,D. DeRozan,201942.0,3.0,,,,,,
163,PT10M51.00S,2024-04-02T00:37:39.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,89.96386333771353,51.225490196078425,1610612737,32,32,2024-04-02T00:37:46Z,1620000,False,6.0,42.0,1,right,MISS J. Johnson driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,,Restricted Area,0-8 Center,4.22,Missed,,,,,,,,,,,,,,,,,
164,PT10M48.00S,2024-04-02T00:37:42.6Z,2,REGULAR,rebound,defensive,[],203083,,,1610612741,32,32,2024-04-02T00:37:42Z,1630000,False,,,0,,A. Drummond REBOUND (Off:1 Def:2),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,Restricted Area,0-8 Center,,,163.0,3.0,2.0,1.0,,,,,,,,,,,,,
165,PT10M42.00S,2024-04-02T00:37:49.7Z,2,REGULAR,2pt,Jump Shot,[],201942,11.12023653088042,72.79411764705883,1610612741,34,32,2024-04-02T00:37:54Z,1640000,False,-114.0,52.0,1,left,D. DeRozan 12' fadeaway Jump Shot (11 PTS),[201942],1610612741.0,CHI,fadeaway,,,DeRozan,D. DeRozan,,,,,,Mid-Range,8-16 Left,12.53,Made,,,,,11.0,,,,,,,,,,,,
166,PT10M26.00S,2024-04-02T00:38:04.8Z,2,REGULAR,3pt,Jump Shot,[],203992,73.53810775295663,80.88235294117648,1610612737,34,35,2024-04-02T00:38:09Z,1650000,False,154.0,196.0,1,right,B. Bogdanovic 24' 3PT step back (5 PTS),[203992],1610612737.0,ATL,step back,,,Bogdanovic,B. Bogdanovic,,,,,,Above the Break 3,24+ Right Center,24.97,Made,,,,,5.0,,,,,,,,,,,,
167,PT10M12.00S,2024-04-02T00:38:18.5Z,2,REGULAR,3pt,Jump Shot,[],1627936,4.812746386333772,94.36274509803921,1610612741,34,35,2024-04-02T00:38:24Z,1660000,False,-222.0,-7.0,1,left,MISS A. Caruso 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,Left Corner 3,24+ Left,22.19,Missed,,,,,,,,,,,,,,,,,
