actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
87,PT04M26.00S,2023-12-13T01:25:33.2Z,1,REGULAR,substitution,in,[],1631212,,,1610612741,15,17,2023-12-13T01:25:35Z,860000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M21.00S,2023-12-13T01:25:47.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629632,33.327858081471746,49.01960784313725,1610612741,15,17,2023-12-13T01:28:12Z,870000,False,5.0,261.0,1,left,MISS C. White 26' pullup 3PT,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,Above the Break 3,24+ Center,26.08,Missed,,,,,,,,,,,,,,,,,,
89,PT04M21.00S,2023-12-13T01:25:47.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,15,17,2023-12-13T01:26:39Z,880000,False,,,0,,N. Jokic REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,,,,,,88.0,4.0,4.0,0.0,,,,,,,,,
90,PT04M18.00S,2023-12-13T01:25:52.7Z,1,REGULAR,foul,personal,['2freethrow'],1628975,,,1610612743,15,17,2023-12-13T01:26:00Z,890000,False,,,0,,J. Carter shooting personal FOUL (1 PF) (Braun 2 FT),"[1628975, 1631128]",1610612741.0,CHI,shooting,,,Carter,J. Carter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,200834.0,,,,,1.0,0.0,Braun,1631128.0,,,,,
92,PT04M18.00S,2023-12-13T01:26:18.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631128,,,1610612743,15,17,2023-12-13T01:26:18Z,910000,False,,,0,,MISS C. Braun Free Throw 1 of 2,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
93,PT04M18.00S,2023-12-13T01:26:18.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,15,17,2023-12-13T01:26:18Z,920000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,
94,PT04M18.00S,2023-12-13T01:26:34.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631128,,,1610612743,15,18,2023-12-13T01:26:34Z,930000,False,,,0,,C. Braun Free Throw 2 of 2 (4 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
95,PT04M01.00S,2023-12-13T01:26:53.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628975,14.273981603153747,49.50980392156863,1610612741,15,18,2023-12-13T01:26:58Z,940000,False,2.0,82.0,1,left,MISS J. Carter 8' driving floating Shot,[1628975],1610612741.0,CHI,driving floating,,,Carter,J. Carter,,,,,In The Paint (Non-RA),8-16 Center,8.17,Missed,,,,,,,,,,,,,,,,,,
96,PT03M59.00S,2023-12-13T01:26:55.3Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,15,18,2023-12-13T01:26:55Z,950000,False,,,0,,N. Vucevic REBOUND (Off:3 Def:4),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,95.0,7.0,4.0,3.0,,,,,,,,,
97,PT03M56.00S,2023-12-13T01:27:00.7Z,1,REGULAR,turnover,out-of-bounds,[],1629632,,,1610612741,15,18,2023-12-13T01:27:06Z,960000,False,,,0,,C. White lost ball out-of-bounds TURNOVER (2 TO),[1629632],1610612741.0,CHI,lost ball,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,200834.0,,,,,,,,,2.0,,,,
98,PT03M56.00S,2023-12-13T01:27:03.6Z,1,REGULAR,substitution,out,[],1629632,,,1610612743,15,18,2023-12-13T01:27:20Z,970000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M56.00S,2023-12-13T01:27:03.6Z,1,REGULAR,substitution,out,[],1630172,,,1610612743,15,18,2023-12-13T01:27:20Z,980000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M56.00S,2023-12-13T01:27:03.6Z,1,REGULAR,substitution,in,[],201942,,,1610612743,15,18,2023-12-13T01:27:20Z,990000,False,,,0,,SUB in: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M56.00S,2023-12-13T01:27:03.6Z,1,REGULAR,substitution,in,[],1630245,,,1610612743,15,18,2023-12-13T01:27:20Z,1000000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M35.00S,2023-12-13T01:27:39.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203999,93.77463863337714,51.470588235294116,1610612743,15,20,2023-12-13T01:27:46Z,1010000,False,7.0,6.0,1,right,N. Jokic cutting Layup (2 PTS) (J. Strawther 1 AST),"[203999, 1631124]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,0.95,Made,2.0,J. Strawther,1631124.0,1.0,,,,,,,,,,,,,,
104,PT03M22.00S,2023-12-13T01:27:53.7Z,1,REGULAR,2pt,Jump Shot,[],202696,21.50131406044678,46.81372549019608,1610612741,17,20,2023-12-13T01:30:20Z,1030000,False,16.0,150.0,1,left,N. Vucevic 15' Jump Shot (6 PTS) (D. DeRozan 2 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Center,15.04,Made,6.0,D. DeRozan,201942.0,2.0,,,,,,,,,,,,,,
106,PT03M15.00S,2023-12-13T01:28:05.2Z,1,REGULAR,foul,personal,[],1630245,,,1610612743,17,20,2023-12-13T01:28:13Z,1050000,False,,,0,,A. Dosunmu personal FOUL (2 PF),"[1630245, 203200]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,,1628159.0,,,,,2.0,0.0,Holiday,203200.0,,,,,
108,PT03M15.00S,2023-12-13T01:28:11.1Z,1,REGULAR,substitution,out,[],202696,,,1610612743,17,20,2023-12-13T01:28:14Z,1070000,False,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M15.00S,2023-12-13T01:28:11.1Z,1,REGULAR,substitution,in,[],203083,,,1610612743,17,20,2023-12-13T01:28:14Z,1080000,False,,,0,,SUB in: A. Drummond,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M04.00S,2023-12-13T01:28:33.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631212,92.9862023653088,47.05882352941176,1610612743,17,20,2023-12-13T01:31:19Z,1090000,False,-15.0,13.0,1,right,MISS P. Watson reverse Layup - blocked,"[1631212, 203083]",1610612743.0,DEN,reverse,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,,,,,,,,,,Drummond,203083.0,,
111,PT03M04.00S,2023-12-13T01:28:33.5Z,1,REGULAR,block,,[],203083,,,1610612743,17,20,2023-12-13T01:28:38Z,1100000,False,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
112,PT02M59.00S,2023-12-13T01:28:38.5Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,17,20,2023-12-13T01:28:43Z,1110000,False,,,0,,N. Jokic REBOUND (Off:1 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,110.0,5.0,4.0,1.0,,,,,,,,,
113,PT02M58.00S,2023-12-13T01:28:39.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631212,92.19776609724047,52.20588235294118,1610612743,17,20,2023-12-13T02:24:13Z,1120000,False,11.0,21.0,1,right,MISS P. Watson Layup - blocked,"[1631212, 203083]",1610612743.0,DEN,,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,2.35,Missed,,,,,,,,,,,,,,,Drummond,203083.0,,
114,PT02M58.00S,2023-12-13T01:28:39.7Z,1,REGULAR,block,,[],203083,,,1610612743,17,20,2023-12-13T01:28:43Z,1130000,False,,,0,,A. Drummond BLOCK (2 BLK),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
115,PT02M58.00S,2023-12-13T01:28:39.7Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,17,20,2023-12-13T01:28:46Z,1140000,False,,,0,,N. Jokic REBOUND (Off:2 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,113.0,6.0,4.0,2.0,,,,,,,,,
116,PT02M57.00S,2023-12-13T01:28:45.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203999,94.40999984741211,50.0,1610612743,17,20,2023-12-13T02:24:49Z,1150000,False,0.0,0.0,1,right,MISS N. Jokic putback Layup,[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
117,PT02M57.00S,2023-12-13T01:28:45.4Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,17,20,2023-12-13T01:33:21Z,1160000,False,,,0,,N. Jokic REBOUND (Off:3 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,116.0,7.0,4.0,3.0,,,,,,,,,
118,PT02M57.00S,2023-12-13T01:28:47.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203999,94.40999984741211,50.0,1610612743,17,22,2023-12-13T01:33:35Z,1170000,False,0.0,0.0,1,right,N. Jokic tip Layup (4 PTS),[203999],1610612743.0,DEN,tip,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,0.0,Made,4.0,,,,,,,,,,,,,,,,,
119,PT02M48.00S,2023-12-13T01:28:52.1Z,1,REGULAR,turnover,out-of-bounds,[],1628470,,,1610612741,17,22,2023-12-13T01:28:58Z,1180000,False,,,0,,T. Craig bad pass out-of-bounds TURNOVER (1 TO),[1628470],1610612741.0,CHI,bad pass,,,Craig,T. Craig,,,,,Above the Break 3,24+ Right Center,,,,,,,200834.0,,,,,,,,,1.0,,,,
121,PT02M45.00S,2023-12-13T01:29:10.2Z,1,REGULAR,foul,personal,['2freethrow'],1628975,,,1610612743,17,22,2023-12-13T01:29:16Z,1200000,False,,,0,,J. Carter shooting personal FOUL (2 PF) (Strawther 2 FT),"[1628975, 1631124]",1610612741.0,CHI,shooting,,,Carter,J. Carter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,200834.0,,,,,2.0,0.0,Strawther,1631124.0,,,,,
123,PT02M45.00S,2023-12-13T01:29:25.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631124,,,1610612743,17,22,2023-12-13T01:29:25Z,1220000,False,,,0,,MISS J. Strawther Free Throw 1 of 2,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
124,PT02M45.00S,2023-12-13T01:29:25.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,17,22,2023-12-13T01:29:25Z,1230000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,123.0,,,,,,,,,,,,
125,PT02M45.00S,2023-12-13T01:29:28.1Z,1,REGULAR,substitution,out,[],203999,,,1610612743,17,22,2023-12-13T01:29:32Z,1240000,False,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M45.00S,2023-12-13T01:29:28.1Z,1,REGULAR,substitution,in,[],201599,,,1610612743,17,22,2023-12-13T01:29:32Z,1250000,False,,,0,,SUB in: D. Jordan,[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M45.00S,2023-12-13T01:29:25.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631124,,,1610612743,17,22,2023-12-13T01:29:44Z,1260000,False,,,0,,MISS J. Strawther Free Throw 2 of 2,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
128,PT02M42.00S,2023-12-13T01:29:28.9Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612741,17,22,2023-12-13T01:29:44Z,1270000,False,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,,,,,,,,,,127.0,1.0,1.0,0.0,,,,,,,,,
129,PT02M36.00S,2023-12-13T01:29:48.9Z,1,REGULAR,turnover,bad pass,[],1630245,,,1610612741,17,22,2023-12-13T01:29:55Z,1280000,False,,,0,,A. Dosunmu bad pass TURNOVER (1 TO),"[1630245, 201599]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,,,Jordan,201599.0
130,PT02M36.00S,2023-12-13T01:29:48.9Z,1,REGULAR,steal,,[],201599,,,1610612743,17,22,2023-12-13T01:35:33Z,1290000,False,,,0,,D. Jordan STEAL (1 STL),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
131,PT02M30.00S,2023-12-13T01:29:53.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631212,92.72339027595268,46.07843137254902,1610612743,17,22,2023-12-13T01:36:09Z,1300000,False,-20.0,16.0,1,right,MISS P. Watson running Layup - blocked,"[1631212, 201942]",1610612743.0,DEN,running,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,2.52,Missed,,,,,,,,,,,,,,,DeRozan,201942.0,,
149,PT02M30.00S,2023-12-13T01:29:53.9Z,1,REGULAR,block,,[],201942,,,1610612743,17,22,2023-12-13T01:31:45Z,1305000,False,,,0,,D. DeRozan BLOCK (1 BLK),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
132,PT02M28.00S,2023-12-13T01:29:55.9Z,1,REGULAR,rebound,offensive,[],1631212,,,1610612743,17,22,2023-12-13T01:48:56Z,1310000,False,,,0,,P. Watson REBOUND (Off:1 Def:0),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,,,,,131.0,1.0,0.0,1.0,,,,,,,,,
247,PT02M27.00S,2023-12-13T01:29:57.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631212,92.77266754270697,48.42984068627451,1610612743,17,22,2023-12-13T01:49:39Z,1315000,False,-8.0,15.0,1,right,MISS P. Watson driving Layup,[1631212],1610612743.0,DEN,driving,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,1.73,Missed,,,,,,,,,,,,,,,,,,
248,PT02M27.00S,2023-12-13T01:29:57.2Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,17,22,2023-12-13T01:49:39Z,1317500,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,,,247.0,1.0,1.0,0.0,,,,,,,,,
133,PT02M23.00S,2023-12-13T01:30:00.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628975,12.697109067017081,5.147058823529411,1610612741,20,22,2023-12-13T01:30:06Z,1320000,False,224.0,67.0,1,left,J. Carter 3PT running (3 PTS) (A. Dosunmu 3 AST),"[1628975, 1630245]",1610612741.0,CHI,running,,,Carter,J. Carter,,,,,Right Corner 3,24+ Right,23.41,Made,3.0,A. Dosunmu,1630245.0,3.0,,,,,,,,,,,,,,
135,PT02M11.00S,2023-12-13T01:30:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631212,93.38042049934296,49.01960784313725,1610612743,20,24,2023-12-13T01:30:18Z,1340000,False,-5.0,10.0,1,right,P. Watson reverse Layup (2 PTS) (D. Jordan 1 AST),"[1631212, 201599]",1610612743.0,DEN,reverse,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,1.09,Made,2.0,D. Jordan,201599.0,1.0,,,,,,,,,,,,,,
137,PT01M56.00S,2023-12-13T01:30:29.3Z,1,REGULAR,2pt,Jump Shot,[],1628975,7.178055190538765,72.30392156862744,1610612741,20,24,2023-12-13T01:37:59Z,1360000,False,-112.0,15.0,1,left,MISS J. Carter 11' pullup Shot - blocked,"[1628975, 201599]",1610612741.0,CHI,pullup,,,Carter,J. Carter,,,,,Mid-Range,8-16 Left,11.25,Missed,,,,,,,,,,,,,,,Jordan,201599.0,,
138,PT01M56.00S,2023-12-13T01:30:29.3Z,1,REGULAR,block,,[],201599,,,1610612741,20,24,2023-12-13T01:30:31Z,1370000,False,,,0,,D. Jordan BLOCK (1 BLK),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
139,PT01M54.00S,2023-12-13T01:30:31.3Z,1,REGULAR,rebound,defensive,[],1631124,,,1610612743,20,24,2023-12-13T01:30:32Z,1380000,False,,,0,,J. Strawther REBOUND (Off:0 Def:1),[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Mid-Range,8-16 Left,,,,,,,,137.0,1.0,1.0,0.0,,,,,,,,,
140,PT01M54.00S,2023-12-13T01:30:39.2Z,1,REGULAR,turnover,lost ball,[],1631124,,,1610612743,20,24,2023-12-13T01:31:03Z,1390000,False,,,0,,J. Strawther lost ball TURNOVER (1 TO),[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,200834.0,,,,,,,,,1.0,,,,
141,PT01M54.00S,2023-12-13T01:30:46.3Z,1,REGULAR,foul,personal,[],1631124,,,1610612741,20,24,2023-12-13T01:30:50Z,1400000,False,,,0,,J. Strawther loose ball personal FOUL (1 PF),"[1631124, 1628975]",1610612743.0,DEN,loose ball,,,Strawther,J. Strawther,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,200834.0,,,,,1.0,0.0,Carter,1628975.0,,,,,
143,PT01M47.00S,2023-12-13T01:31:06.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201942,5.338370565045992,94.6078431372549,1610612741,20,24,2023-12-13T01:31:13Z,1420000,False,-223.0,-2.0,1,left,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Left Corner 3,24+ Left,22.3,Missed,,,,,,,,,,,,,,,,,,
144,PT01M43.00S,2023-12-13T01:31:10.1Z,1,REGULAR,rebound,defensive,[],201599,,,1610612743,20,24,2023-12-13T01:31:13Z,1430000,False,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Left Corner 3,24+ Left,,,,,,,,143.0,1.0,1.0,0.0,,,,,,,,,
145,PT01M34.00S,2023-12-13T01:31:18.6Z,1,REGULAR,3pt,Jump Shot,[],1631128,66.83639947437582,46.81372549019608,1610612743,20,27,2023-12-13T01:31:23Z,1440000,False,-16.0,259.0,1,right,C. Braun 25' 3PT pullup (7 PTS) (J. Holiday 1 AST),"[1631128, 203200]",1610612743.0,DEN,pullup,,,Braun,C. Braun,,,,,Above the Break 3,24+ Center,25.97,Made,7.0,J. Holiday,203200.0,1.0,,,,,,,,,,,,,,
147,PT01M16.00S,2023-12-13T01:31:35.9Z,1,REGULAR,3pt,Jump Shot,[],1628470,28.465834428383708,21.568627450980394,1610612741,20,27,2023-12-13T01:31:49Z,1460000,False,142.0,215.0,1,left,MISS T. Craig 25' 3PT,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Right Center,25.79,Missed,,,,,,,,,,,,,,,,,,
148,PT01M13.00S,2023-12-13T01:31:38.9Z,1,REGULAR,rebound,defensive,[],1631124,,,1610612743,20,27,2023-12-13T01:31:49Z,1470000,False,,,0,,J. Strawther REBOUND (Off:0 Def:2),[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Above the Break 3,24+ Right Center,,,,,,,,147.0,2.0,2.0,0.0,,,,,,,,,
150,PT00M59.90S,2023-12-13T01:31:53.0Z,1,REGULAR,turnover,lost ball,[],201599,,,1610612743,20,27,2023-12-13T01:31:58Z,1480000,False,,,0,,D. Jordan lost ball TURNOVER (1 TO),"[201599, 1628975]",1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1.0,,,Carter,1628975.0
151,PT00M59.90S,2023-12-13T01:31:53.0Z,1,REGULAR,steal,,[],1628975,,,1610612741,20,27,2023-12-13T01:33:26Z,1490000,False,,,0,,J. Carter STEAL (1 STL),[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
152,PT00M56.70S,2023-12-13T01:32:04.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201599,,,1610612741,20,27,2023-12-13T01:32:12Z,1500000,False,,,0,,D. Jordan shooting personal FOUL (1 PF) (DeRozan 2 FT),"[201599, 201942]",1610612743.0,DEN,shooting,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,,,,,,,1628159.0,,,,,1.0,0.0,DeRozan,201942.0,,,,,
154,PT00M56.70S,2023-12-13T01:32:28.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",201942,,,1610612741,21,27,2023-12-13T01:32:28Z,1520000,False,,,0,,D. DeRozan Free Throw 1 of 2 (4 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
155,PT00M56.70S,2023-12-13T01:32:28.9Z,1,REGULAR,substitution,out,[],1631124,,,1610612741,21,27,2023-12-13T01:32:37Z,1530000,False,,,0,,SUB out: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M56.70S,2023-12-13T01:32:28.9Z,1,REGULAR,substitution,in,[],202704,,,1610612741,21,27,2023-12-13T01:32:37Z,1540000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M56.70S,2023-12-13T01:32:48.9Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",201942,,,1610612741,22,27,2023-12-13T01:32:48Z,1550000,False,,,0,,D. DeRozan Free Throw 2 of 2 (5 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
158,PT00M38.90S,2023-12-13T01:33:10.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,87.72996057818659,51.470588235294116,1610612743,22,29,2023-12-13T01:33:14Z,1560000,False,7.0,63.0,1,right,R. Jackson 6' driving floating Jump Shot (5 PTS),[202704],1610612743.0,DEN,driving floating,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),0-8 Center,6.32,Made,5.0,,,,,,,,,,,,,,,,,
159,PT00M32.40S,2023-12-13T01:33:22.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,13.091327201051248,50.0,1610612741,22,29,2023-12-13T01:43:35Z,1570000,False,0.0,71.0,1,left,MISS D. DeRozan 7' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,7.06,Missed,,,,,,,,,,,,,,,,,,
160,PT00M32.40S,2023-12-13T01:33:23.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,22,29,2023-12-13T01:33:23Z,1580000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,159.0,,,,,,,,,,,,
162,PT00M29.00S,2023-12-13T01:33:46.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628975,3.7614980289093296,94.6078431372549,1610612741,25,29,2023-12-13T01:33:51Z,1600000,False,-223.0,-17.0,1,left,J. Carter 3PT  (6 PTS) (T. Craig 1 AST),"[1628975, 1628470]",1610612741.0,CHI,,,,Carter,J. Carter,,,,,Left Corner 3,24+ Left,22.37,Made,6.0,T. Craig,1628470.0,1.0,,,,,,,,,,,,,,
164,PT00M09.20S,2023-12-13T01:34:10.0Z,1,REGULAR,3pt,Jump Shot,[],202704,72.48685939553219,15.686274509803921,1610612743,25,32,2023-12-13T01:44:11Z,1620000,False,-172.0,206.0,1,right,R. Jackson 26' 3PT step back (8 PTS),[202704],1610612743.0,DEN,step back,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Left Center,26.82,Made,8.0,,,,,,,,,,,,,,,,,
165,PT00M00.00S,2023-12-13T01:34:23.8Z,1,REGULAR,2pt,Jump Shot,[],201942,14.931011826544022,78.43137254901961,1610612741,25,32,2023-12-13T01:34:30Z,1630000,False,-142.0,88.0,1,left,MISS D. DeRozan 16' turnaround fadeaway Shot - blocked,"[201942, 1631212]",1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left,16.72,Missed,,,,,,,,,,,,,,,Watson,1631212.0,,
166,PT00M00.00S,2023-12-13T01:34:23.8Z,1,REGULAR,block,,[],1631212,,,1610612741,25,32,2023-12-13T01:34:26Z,1640000,False,,,0,,P. Watson BLOCK (1 BLK),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
167,PT00M00.00S,2023-12-13T01:34:23.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,25,32,2023-12-13T01:50:52Z,1650000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,,165.0,,,,,,,,,,,,
