actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
169,PT10M55.00S,2025-01-09T03:17:05.7Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1642264,,,1610612759,33,33,2025-01-09T03:17:28Z,1670000,False,,,0,,MISS S. Castle Free Throw 2 of 2,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
170,PT10M52.00S,2025-01-09T03:17:08.7Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,33,33,2025-01-09T03:17:28Z,1680000,False,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,169.0,2.0,2.0,0.0,,,,,,,,,,
171,PT10M46.00S,2025-01-09T03:17:33.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203081,94.30026281208936,50.245098039215684,1610612749,35,33,2025-01-09T03:17:38Z,1690000,False,1.0,1.0,1,right,D. Lillard driving Layup (2 PTS),[203081],1610612749.0,MIL,driving,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,,Made,2.0,0.16,,,,,,,,,,,,,,
172,PT10M31.00S,2025-01-09T03:17:47.5Z,2,REGULAR,3pt,Jump Shot,[],1642264,30.962549277266753,19.607843137254903,1610612759,35,33,2025-01-09T03:17:54Z,1700000,False,152.0,239.0,1,left,MISS S. Castle 28' 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Right Center,,,,Missed,,28.28,,,,,,,,,,,,,,
173,PT10M27.00S,2025-01-09T03:17:51.5Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,35,33,2025-01-09T03:17:54Z,1710000,False,,,0,,B. Portis REBOUND (Off:0 Def:3),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Right Center,,,,,,,172.0,3.0,3.0,0.0,,,,,,,,,,
174,PT10M21.00S,2025-01-09T03:17:57.9Z,2,REGULAR,3pt,Jump Shot,[],201572,71.30420499342969,79.41176470588235,1610612749,38,33,2025-01-09T03:18:02Z,1720000,False,147.0,217.0,1,right,B. Lopez 26' 3PT  (11 PTS) (D. Lillard 4 AST),"[201572, 203081]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,,,,Made,11.0,26.23,,,,,,,,,,D. Lillard,203081.0,4.0,,
176,PT09M52.00S,2025-01-09T03:18:26.8Z,2,REGULAR,2pt,Jump Shot,[],1641705,21.23850197109067,64.70588235294117,1610612759,38,33,2025-01-09T03:18:32Z,1740000,False,-74.0,147.0,1,left,MISS V. Wembanyama 16' pullup Shot,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,,,,Missed,,16.44,,,,,,,,,,,,,,
177,PT09M49.00S,2025-01-09T03:18:29.8Z,2,REGULAR,rebound,defensive,[],201572,,,1610612749,38,33,2025-01-09T03:18:32Z,1750000,False,,,0,,B. Lopez REBOUND (Off:1 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,16-24 Left Center,,,,,,,176.0,2.0,1.0,1.0,,,,,,,,,,
178,PT09M33.00S,2025-01-09T03:18:45.7Z,2,REGULAR,2pt,Jump Shot,[],201572,77.61169513797634,47.549019607843135,1610612749,38,33,2025-01-09T03:18:55Z,1760000,False,-12.0,158.0,1,right,MISS B. Lopez 15' fadeaway Shot,[201572],1610612749.0,MIL,fadeaway,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Center,,,,Missed,,15.85,,,,,,,,,,,,,,
179,PT09M30.00S,2025-01-09T03:18:48.7Z,2,REGULAR,rebound,defensive,[],1630200,,,1610612759,38,33,2025-01-09T03:18:48Z,1770000,False,,,0,,T. Jones REBOUND (Off:0 Def:2),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Center,,,,,,,178.0,2.0,2.0,0.0,,,,,,,,,,
180,PT09M26.00S,2025-01-09T03:18:53.0Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1642264,15.982260183968464,46.81372549019608,1610612759,38,35,2025-01-09T03:21:29Z,1780000,False,16.0,98.0,1,left,S. Castle 9' driving floating Jump Shot (5 PTS) (T. Jones 3 AST),"[1642264, 1630200]",1610612759.0,SAS,driving floating,,,Castle,S. Castle,,,,,In The Paint (Non-RA),8-16 Center,,,,Made,5.0,9.9,,,,,,,,,,T. Jones,1630200.0,3.0,,
182,PT09M06.00S,2025-01-09T03:19:13.5Z,2,REGULAR,turnover,lost ball,[],1626171,,,1610612749,38,35,2025-01-09T03:19:25Z,1800000,False,,,0,,B. Portis lost ball TURNOVER (1 TO),"[1626171, 1641705]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1.0,Wembanyama,1641705.0,,,,,,,
183,PT09M06.00S,2025-01-09T03:19:13.5Z,2,REGULAR,steal,,[],1641705,,,1610612759,38,35,2025-01-09T03:19:16Z,1810000,False,,,0,,V. Wembanyama STEAL (1 STL),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
184,PT08M57.00S,2025-01-09T03:19:22.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1641705,29.122864651773984,17.15686274509804,1610612759,38,35,2025-01-09T03:19:28Z,1820000,False,164.0,221.0,1,left,MISS V. Wembanyama 27' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,,Missed,,27.56,,,,,,,,,,,,,,
185,PT08M53.00S,2025-01-09T03:19:25.4Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,38,35,2025-01-09T03:19:25Z,1830000,False,,,0,,B. Portis REBOUND (Off:0 Def:4),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Right Center,,,,,,,184.0,4.0,4.0,0.0,,,,,,,,,,
186,PT08M48.00S,2025-01-09T03:19:34.7Z,2,REGULAR,foul,personal,[],1642264,,,1610612749,38,35,2025-01-09T03:19:59Z,1840000,False,,,0,,S. Castle personal FOUL (1 PF),"[1642264, 203081]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,16-24 Left Center,201639.0,1.0,0.0,,,,,,,,,,,,,,,,Lillard,203081.0
188,PT08M48.00S,2025-01-09T03:19:43.3Z,2,REGULAR,substitution,out,[],203114,,,1610612749,38,35,2025-01-09T03:19:57Z,1860000,False,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT08M48.00S,2025-01-09T03:19:43.3Z,2,REGULAR,substitution,out,[],1642264,,,1610612749,38,35,2025-01-09T03:19:57Z,1870000,False,,,0,,SUB out: S. Castle,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT08M48.00S,2025-01-09T03:19:43.3Z,2,REGULAR,substitution,in,[],1627752,,,1610612749,38,35,2025-01-09T03:19:57Z,1880000,False,,,0,,SUB in: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT08M48.00S,2025-01-09T03:19:43.3Z,2,REGULAR,substitution,in,[],1630572,,,1610612749,38,35,2025-01-09T03:19:57Z,1890000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT08M42.00S,2025-01-09T03:20:04.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1626171,92.72339027595268,50.73529411764706,1610612749,38,35,2025-01-09T03:20:15Z,1900000,False,4.0,16.0,1,right,MISS B. Portis driving Hook,[1626171],1610612749.0,MIL,driving,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,Missed,,1.63,,,,,,,,,,,,,,
193,PT08M40.00S,2025-01-09T03:20:06.0Z,2,REGULAR,rebound,defensive,[],1629640,,,1610612759,38,35,2025-01-09T03:20:15Z,1910000,False,,,0,,K. Johnson REBOUND (Off:1 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,192.0,3.0,2.0,1.0,,,,,,,,,,
194,PT08M36.00S,2025-01-09T03:20:10.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630577,4.5499342969776615,95.83333333333334,1610612759,38,35,2025-01-09T03:20:19Z,1920000,False,-229.0,-10.0,1,left,MISS J. Champagnie running 3PT,[1630577],1610612759.0,SAS,running,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,,,,Missed,,22.94,,,,,,,,,,,,,,
195,PT08M32.00S,2025-01-09T03:20:14.6Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,38,35,2025-01-09T03:20:19Z,1930000,False,,,0,,B. Portis REBOUND (Off:0 Def:5),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Left Corner 3,24+ Left,,,,,,,194.0,5.0,5.0,0.0,,,,,,,,,,
196,PT08M20.00S,2025-01-09T03:20:29.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,92.59198423127464,51.470588235294116,1610612749,38,35,2025-01-09T03:37:51Z,1940000,False,7.0,17.0,1,right,MISS B. Portis driving Layup,[1626171],1610612749.0,MIL,driving,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,Missed,,1.86,,,,,,,,,,,,,,
197,PT08M19.00S,2025-01-09T03:20:30.3Z,2,REGULAR,rebound,offensive,[],1626171,,,1610612749,38,35,2025-01-09T03:37:51Z,1950000,False,,,0,,B. Portis REBOUND (Off:1 Def:5),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,,,,196.0,6.0,5.0,1.0,,,,,,,,,,
212,PT08M19.00S,2025-01-09T03:20:34.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626171,92.46057818659659,47.05882352941176,1610612749,38,35,2025-01-09T03:39:35Z,1955000,False,-15.0,18.0,1,right,MISS B. Portis tip Layup - blocked,"[1626171, 1641705]",1610612749.0,MIL,tip,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,Missed,,2.36,,,,,,,,Wembanyama,1641705.0,,,,,
213,PT08M19.00S,2025-01-09T03:20:34.0Z,2,REGULAR,block,,[],1641705,,,1610612749,38,35,2025-01-09T03:39:35Z,1957500,False,,,0,,V. Wembanyama BLOCK (2 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
214,PT08M18.00S,2025-01-09T03:20:35.0Z,2,REGULAR,rebound,defensive,[],1629640,,,1610612759,38,35,2025-01-09T03:40:00Z,1958750,False,,,0,,K. Johnson REBOUND (Off:1 Def:3),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,212.0,4.0,3.0,1.0,,,,,,,,,,
198,PT08M08.00S,2025-01-09T03:20:38.8Z,2,REGULAR,turnover,lost ball,[],1630577,,,1610612759,38,35,2025-01-09T03:20:46Z,1960000,False,,,0,,J. Champagnie lost ball TURNOVER (1 TO),"[1630577, 1626171]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,Portis,1626171.0,,,,,,,
199,PT08M08.00S,2025-01-09T03:20:38.8Z,2,REGULAR,steal,,[],1626171,,,1610612749,38,35,2025-01-09T03:20:41Z,1970000,False,,,0,,B. Portis STEAL (1 STL),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
200,PT07M55.00S,2025-01-09T03:20:52.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627752,68.15045992115637,67.64705882352942,1610612749,38,35,2025-01-09T03:20:57Z,1980000,False,88.0,247.0,1,right,MISS T. Prince 26' 3PT,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,,Missed,,26.22,,,,,,,,,,,,,,
201,PT07M50.00S,2025-01-09T03:20:57.4Z,2,REGULAR,rebound,defensive,[],1629640,,,1610612759,38,35,2025-01-09T03:20:57Z,1990000,False,,,0,,K. Johnson REBOUND (Off:1 Def:4),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,200.0,5.0,4.0,1.0,,,,,,,,,,
202,PT07M38.00S,2025-01-09T03:21:09.4Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629640,11.908672798948752,50.0,1610612759,38,37,2025-01-09T03:21:15Z,2000000,False,0.0,59.0,1,left,K. Johnson turnaround Hook (6 PTS),[1629640],1610612759.0,SAS,turnaround,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,Made,6.0,5.94,,,,,,,,,,,,,,
203,PT07M38.00S,2025-01-09T03:21:18.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,38,37,2025-01-09T03:21:18Z,2010000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT07M38.00S,2025-01-09T03:24:00.3Z,2,REGULAR,substitution,out,[],1629018,,,1610612749,38,37,2025-01-09T03:24:26Z,2020000,False,,,0,,SUB out: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT07M38.00S,2025-01-09T03:24:00.3Z,2,REGULAR,substitution,out,[],1626171,,,1610612749,38,37,2025-01-09T03:24:26Z,2030000,False,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT07M38.00S,2025-01-09T03:24:00.3Z,2,REGULAR,substitution,out,[],1630200,,,1610612749,38,37,2025-01-09T03:24:26Z,2040000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT07M38.00S,2025-01-09T03:24:00.3Z,2,REGULAR,substitution,in,[],1631260,,,1610612749,38,37,2025-01-09T03:24:26Z,2050000,False,,,0,,SUB in: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT07M38.00S,2025-01-09T03:24:00.3Z,2,REGULAR,substitution,in,[],203507,,,1610612749,38,37,2025-01-09T03:24:26Z,2060000,False,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M38.00S,2025-01-09T03:24:00.3Z,2,REGULAR,substitution,in,[],101108,,,1610612749,38,37,2025-01-09T03:24:26Z,2070000,False,,,0,,SUB in: C. Paul,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M26.00S,2025-01-09T03:24:50.9Z,2,REGULAR,3pt,Jump Shot,[],203081,72.22404730617609,16.911764705882355,1610612749,41,37,2025-01-09T03:25:32Z,2080000,False,-165.0,209.0,1,right,D. Lillard 26' 3PT  (5 PTS) (G. Antetokounmpo 4 AST),"[203081, 203507]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,,Made,5.0,26.62,,,,,,,,,,G. Antetokounmpo,203507.0,4.0,,
215,PT06M57.00S,2025-01-09T03:25:28.0Z,2,REGULAR,2pt,Jump Shot,[],1630572,8.360709592641262,79.41176470588235,1610612759,41,37,2025-01-09T03:49:54Z,2100000,False,-147.0,26.0,1,left,MISS S. Mamukelashvili 14' Jump Shot,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Mid-Range,8-16 Left,,,,Missed,,14.94,,,,,,,,,,,,,,
216,PT06M56.00S,2025-01-09T03:25:29.0Z,2,REGULAR,rebound,defensive,[],1627752,,,1610612749,41,37,2025-01-09T03:49:54Z,2110000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Mid-Range,8-16 Left,,,,,,,215.0,1.0,1.0,0.0,,,,,,,,,,
217,PT06M46.00S,2025-01-09T03:25:36.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203507,93.51182654402102,48.03921568627451,1610612749,41,37,2025-01-09T03:25:47Z,2120000,False,-10.0,8.0,1,right,MISS G. Antetokounmpo cutting Layup,[203507],1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,Missed,,1.3,,,,,,,,,,,,,,
218,PT06M43.00S,2025-01-09T03:25:39.1Z,2,REGULAR,rebound,defensive,[],1641705,,,1610612759,41,37,2025-01-09T03:25:47Z,2130000,False,,,0,,V. Wembanyama REBOUND (Off:2 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,217.0,4.0,2.0,2.0,,,,,,,,,,
219,PT06M32.00S,2025-01-09T03:25:49.7Z,2,REGULAR,3pt,Jump Shot,[],1630572,28.225607752956638,76.49356617647058,1610612759,41,37,2025-01-09T03:25:57Z,2140000,False,-132.0,213.0,1,left,MISS S. Mamukelashvili 25' 3PT,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Left Center,,,,Missed,,25.07,,,,,,,,,,,,,,
220,PT06M28.00S,2025-01-09T03:25:53.7Z,2,REGULAR,rebound,defensive,[],203081,,,1610612749,41,37,2025-01-09T03:25:57Z,2150000,False,,,0,,D. Lillard REBOUND (Off:0 Def:4),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,,,,,219.0,4.0,4.0,0.0,,,,,,,,,,
221,PT06M24.00S,2025-01-09T03:25:59.9Z,2,REGULAR,foul,personal,['2freethrow'],1630572,,,1610612749,41,37,2025-01-09T03:26:16Z,2160000,False,,,0,,S. Mamukelashvili shooting personal FOUL (1 PF) (Lillard 2 FT),"[1630572, 203081]",1610612759.0,SAS,shooting,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,202027.0,1.0,0.0,,,,,,,,,,,,,,,,Lillard,203081.0
223,PT06M24.00S,2025-01-09T03:26:31.1Z,2,REGULAR,freethrow,1 of 2,[],203081,,,1610612749,42,37,2025-01-09T03:26:31Z,2180000,False,,,0,,D. Lillard Free Throw 1 of 2 (6 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
224,PT06M24.00S,2025-01-09T03:26:48.1Z,2,REGULAR,freethrow,2 of 2,[],203081,,,1610612749,43,37,2025-01-09T03:26:48Z,2190000,False,,,0,,D. Lillard Free Throw 2 of 2 (7 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
225,PT06M11.00S,2025-01-09T03:27:03.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,7.30946123521682,42.64705882352941,1610612759,43,37,2025-01-09T03:27:08Z,2200000,False,37.0,16.0,1,left,MISS K. Johnson driving finger roll Layup,[1629640],1610612759.0,SAS,driving finger roll,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,Missed,,4.02,,,,,,,,,,,,,,
226,PT06M08.00S,2025-01-09T03:27:06.1Z,2,REGULAR,rebound,defensive,[],1627752,,,1610612749,43,37,2025-01-09T03:27:08Z,2210000,False,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,,,225.0,2.0,2.0,0.0,,,,,,,,,,
227,PT06M02.00S,2025-01-09T03:27:23.1Z,2,REGULAR,turnover,out-of-bounds,[],203081,,,1610612749,43,37,2025-01-09T03:50:51Z,2220000,False,,,0,,D. Lillard bad pass out-of-bounds TURNOVER (1 TO),[203081],1610612749.0,MIL,bad pass,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,,,,,,,,,
228,PT06M02.00S,2025-01-09T03:27:30.7Z,2,REGULAR,substitution,out,[],1629640,,,1610612759,43,37,2025-01-09T03:27:49Z,2230000,False,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M02.00S,2025-01-09T03:27:30.7Z,2,REGULAR,substitution,out,[],1641705,,,1610612759,43,37,2025-01-09T03:27:49Z,2240000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M02.00S,2025-01-09T03:27:30.7Z,2,REGULAR,substitution,in,[],1629646,,,1610612759,43,37,2025-01-09T03:27:49Z,2250000,False,,,0,,SUB in: C. Bassey,[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M02.00S,2025-01-09T03:27:30.7Z,2,REGULAR,substitution,in,[],1630170,,,1610612759,43,37,2025-01-09T03:27:49Z,2260000,False,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT06M02.00S,2025-01-09T03:27:30.7Z,2,REGULAR,substitution,out,[],1630572,,,1610612759,43,37,2025-01-09T03:28:33Z,2265000,False,,,0,,SUB out: S. Mamukelashvili,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M02.00S,2025-01-09T03:27:30.7Z,2,REGULAR,substitution,in,[],203084,,,1610612759,43,37,2025-01-09T03:28:33Z,2267500,False,,,0,,SUB in: H. Barnes,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT05M50.00S,2025-01-09T03:27:50.8Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],101108,17.427726675427067,30.637254901960787,1610612759,43,37,2025-01-09T03:27:55Z,2270000,False,97.0,111.0,1,left,MISS C. Paul 14' pullup Shot,[101108],1610612759.0,SAS,pullup,,,Paul,C. Paul,,,,,Mid-Range,8-16 Right,,,,Missed,,14.75,,,,,,,,,,,,,,
233,PT05M48.00S,2025-01-09T03:27:52.8Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,43,37,2025-01-09T03:27:55Z,2280000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:5),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Right,,,,,,,232.0,6.0,5.0,1.0,,,,,,,,,,
234,PT05M41.00S,2025-01-09T03:28:01.7Z,2,REGULAR,3pt,Jump Shot,[],201572,68.80749014454665,25.49019607843137,1610612749,43,37,2025-01-09T03:28:11Z,2290000,False,-123.0,241.0,1,right,MISS B. Lopez 27' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,,,,Missed,,27.01,,,,,,,,,,,,,,
235,PT05M37.00S,2025-01-09T03:28:05.7Z,2,REGULAR,rebound,defensive,[],203084,,,1610612759,43,37,2025-01-09T03:28:11Z,2300000,False,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,234.0,2.0,2.0,0.0,,,,,,,,,,
236,PT05M29.00S,2025-01-09T03:28:13.1Z,2,REGULAR,3pt,Jump Shot,[],1630577,27.020367936925098,81.86274509803921,1610612759,43,37,2025-01-09T03:28:17Z,2310000,False,-159.0,201.0,1,left,MISS J. Champagnie 25' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,Missed,,25.69,,,,,,,,,,,,,,
237,PT05M25.00S,2025-01-09T03:28:16.4Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,43,37,2025-01-09T03:28:16Z,2320000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:6),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,236.0,7.0,6.0,1.0,,,,,,,,,,
238,PT05M18.00S,2025-01-09T03:28:26.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201572,93.24901445466492,50.49019607843137,1610612749,45,37,2025-01-09T03:28:42Z,2330000,False,2.0,11.0,1,right,B. Lopez Layup (13 PTS) (G. Antetokounmpo 5 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,Made,13.0,1.13,,,,,,,,,,G. Antetokounmpo,203507.0,5.0,,
240,PT05M18.00S,2025-01-09T03:28:29.3Z,2,REGULAR,foul,personal,['1freethrow'],1629646,,,1610612749,45,37,2025-01-09T03:28:54Z,2350000,False,,,0,,C. Bassey shooting personal FOUL (2 PF) (Lopez 1 FT),"[1629646, 201572]",1610612759.0,SAS,shooting,,,Bassey,C. Bassey,,,,,Restricted Area,0-8 Center,201639.0,2.0,0.0,,,,,,,,,,,,,,,,Lopez,201572.0
244,PT05M18.00S,2025-01-09T03:28:55.7Z,2,REGULAR,freethrow,1 of 1,[],201572,,,1610612749,46,37,2025-01-09T03:28:55Z,2370000,False,,,0,,B. Lopez Free Throw 1 of 1 (14 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,Made,14.0,,,,,,,,,,,,,,,
245,PT05M05.00S,2025-01-09T03:29:07.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629646,8.09789750328515,51.71568627450981,1610612759,46,37,2025-01-09T03:29:17Z,2380000,False,-9.0,24.0,1,left,MISS C. Bassey cutting Layup,[1629646],1610612759.0,SAS,cutting,,,Bassey,C. Bassey,,,,,Restricted Area,0-8 Center,,,,Missed,,2.51,,,,,,,,,,,,,,
246,PT05M02.00S,2025-01-09T03:29:10.6Z,2,REGULAR,rebound,defensive,[],1627752,,,1610612749,46,37,2025-01-09T03:29:17Z,2390000,False,,,0,,T. Prince REBOUND (Off:0 Def:3),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,,,245.0,3.0,3.0,0.0,,,,,,,,,,
