actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
267,PT03M22.00S,2025-01-05T01:53:50.0Z,2,REGULAR,substitution,in,[],1629014,,,1610612749,43,41,2025-01-05T01:53:56Z,2610000,False,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT03M17.00S,2025-01-05T01:54:02.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203507,91.5407358738502,44.6078431372549,1610612749,43,41,2025-01-05T01:54:09Z,2620000,False,-27.0,27.0,1,right,MISS G. Antetokounmpo driving Layup,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,3.82,Missed,,,,,,,,,,,,,,,,,,
269,PT03M13.00S,2025-01-05T01:54:05.2Z,2,REGULAR,rebound,defensive,[],1629028,,,1610612757,43,41,2025-01-05T01:54:05Z,2630000,False,,,0,,D. Ayton REBOUND (Off:0 Def:5),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,268.0,5.0,5.0,0.0,,,,,,,,,,,,,,
270,PT03M04.00S,2025-01-05T01:54:17.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,6.652431011826544,50.49019607843137,1610612757,43,43,2025-01-05T01:54:24Z,2640000,False,-2.0,10.0,1,left,D. Ayton cutting Layup (4 PTS) (T. Camara 2 AST),"[1629028, 1641739]",1610612757.0,POR,cutting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.03,Made,,,,,4.0,T. Camara,1641739.0,2.0,,,,,,,,,,
272,PT03M04.00S,2025-01-05T01:54:21.3Z,2,REGULAR,foul,personal,['1freethrow'],1629018,,,1610612757,43,43,2025-01-05T01:54:33Z,2660000,False,,,0,,G. Trent Jr. shooting personal FOUL (1 PF) (Ayton 1 FT),"[1629018, 1629028]",1610612749.0,MIL,shooting,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2534.0,1.0,0.0,Ayton,1629028.0,,
274,PT03M04.00S,2025-01-05T01:54:40.6Z,2,REGULAR,freethrow,1 of 1,[],1629028,,,1610612757,43,43,2025-01-05T01:54:42Z,2680000,False,,,0,,MISS D. Ayton Free Throw 1 of 1,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
275,PT03M01.00S,2025-01-05T01:54:43.6Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,43,43,2025-01-05T01:54:42Z,2690000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:5),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,274.0,5.0,5.0,0.0,,,,,,,,,,,,,,
276,PT02M49.00S,2025-01-05T01:54:52.9Z,2,REGULAR,2pt,Jump Shot,[],203507,74.85216819973719,47.549019607843135,1610612749,45,43,2025-01-05T02:11:08Z,2700000,False,-12.0,184.0,1,right,G. Antetokounmpo 18' pullup Jump Shot (13 PTS) (T. Prince 2 AST),"[203507, 1627752]",1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,18.43,Made,,,,,13.0,T. Prince,1627752.0,2.0,,,,,,,,,,
277,PT02M35.00S,2025-01-05T01:55:07.5Z,2,REGULAR,3pt,Jump Shot,[],1641739,20.18725361366623,4.411764705882353,1610612757,45,46,2025-01-05T01:55:15Z,2710000,False,228.0,137.0,1,left,T. Camara 26' 3PT  (10 PTS) (D. Avdija 1 AST),"[1641739, 1630166]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,26.61,Made,,,,,10.0,D. Avdija,1630166.0,1.0,,,,,,,,,,
279,PT02M11.00S,2025-01-05T01:55:31.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,93.77463863337714,49.754901960784316,1610612749,47,46,2025-01-05T01:55:38Z,2730000,False,-1.0,6.0,1,right,G. Antetokounmpo driving DUNK (15 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.61,Made,,,,,15.0,,,,,,,,,,,,,
