actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
59,PT07M40.00S,2025-01-03T03:15:35.8Z,1,REGULAR,freethrow,1 of 2,[],200768,,,1610612755,13,5,2025-01-03T03:15:35Z,590000,False,,,0,,K. Lowry Free Throw 1 of 2 (1 PTS),[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
60,PT07M40.00S,2025-01-03T03:15:50.7Z,1,REGULAR,freethrow,2 of 2,[],200768,,,1610612755,13,6,2025-01-03T03:15:50Z,600000,False,,,0,,K. Lowry Free Throw 2 of 2 (2 PTS),[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
61,PT07M20.00S,2025-01-03T03:16:11.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631218,90.48948751642575,41.66666666666667,1610612744,15,6,2025-01-03T03:16:15Z,610000,False,-42.0,37.0,1,right,T. Jackson-Davis cutting DUNK (2 PTS) (A. Wiggins 2 AST),"[1631218, 203952]",1610612744.0,GSW,cutting,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,5.57,Made,2.0,A. Wiggins,203952.0,2.0,,,,,,,,,,,
63,PT07M06.00S,2025-01-03T03:16:26.2Z,1,REGULAR,2pt,Jump Shot,[],203954,20.581471747700395,50.73529411764706,1610612755,15,6,2025-01-03T03:17:24Z,630000,False,-4.0,141.0,1,left,MISS J. Embiid 14' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,,,,14.1,Missed,,,,,,,,,,,,,,,
64,PT07M03.00S,2025-01-03T03:16:29.2Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,15,6,2025-01-03T03:16:30Z,640000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,
65,PT06M55.00S,2025-01-03T03:16:37.0Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,15,6,2025-01-03T03:16:41Z,650000,False,,,0,,D. Green bad pass TURNOVER (2 TO),"[203110, 203954]",1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,2.0,Embiid,203954.0,,,,,,,,,,,,,,,,,
66,PT06M55.00S,2025-01-03T03:16:37.0Z,1,REGULAR,steal,,[],203954,,,1610612755,15,6,2025-01-03T03:16:39Z,660000,False,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
67,PT06M45.00S,2025-01-03T03:16:46.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,10.5946123521682,39.950980392156865,1610612755,15,6,2025-01-03T03:18:48Z,670000,False,50.0,47.0,1,left,MISS T. Maxey 6' driving Layup,[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,6.88,Missed,,,,,,,,,,,,,,,
68,PT06M42.00S,2025-01-03T03:16:49.2Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,15,6,2025-01-03T03:16:50Z,680000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:1),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,
69,PT06M29.00S,2025-01-03T03:17:02.4Z,1,REGULAR,turnover,lost ball,[],1631218,,,1610612744,15,6,2025-01-03T03:17:06Z,690000,False,,,0,,T. Jackson-Davis lost ball TURNOVER (1 TO),"[1631218, 200768]",1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),8-16 Center,1.0,Lowry,200768.0,,,,,,,,,,,,,,,,,
