actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
84,PT05M14.00S,2025-01-05T01:56:14.8Z,1,REGULAR,substitution,out,[],1627741,,,1610612744,15,10,2025-01-05T01:56:18Z,810000,False,,,0,,SUB out: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M14.00S,2025-01-05T01:56:14.8Z,1,REGULAR,substitution,in,[],1630322,,,1610612744,15,10,2025-01-05T01:56:18Z,820000,False,,,0,,SUB in: L. Waters III,[1630322],1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M52.00S,2025-01-05T01:56:57.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630322,29.517082785808146,19.362745098039216,1610612744,15,10,2025-01-05T01:57:02Z,830000,False,153.0,225.0,1,left,MISS L. Waters III 27' 3PT,[1630322],1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,Above the Break 3,24+ Right Center,27.22,Missed,,,,,,,,,,,,,,,,,,
87,PT04M48.00S,2025-01-05T01:57:01.2Z,1,REGULAR,rebound,offensive,[],203471,,,1610612744,15,10,2025-01-05T01:57:02Z,840000,False,,,0,,D. Schröder REBOUND (Off:1 Def:0),[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,86.0,,1.0,0.0,1.0,,,,,,
88,PT04M45.00S,2025-01-05T01:57:03.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203952,21.76412614980289,93.38235294117648,1610612744,15,10,2025-01-05T01:57:08Z,850000,False,-217.0,152.0,1,left,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,26.49,Missed,,,,,,,,,,,,,,,,,,
89,PT04M41.00S,2025-01-05T01:57:07.8Z,1,REGULAR,rebound,defensive,[],1630643,,,1610612763,15,10,2025-01-05T01:57:08Z,860000,False,,,0,,J. Huff REBOUND (Off:0 Def:1),[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,88.0,,1.0,1.0,0.0,,,,,,
90,PT04M33.00S,2025-01-05T01:57:15.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,90.22667542706965,60.78431372549019,1610612763,15,12,2025-01-05T01:57:20Z,870000,False,54.0,39.0,1,right,J. Wells 6' driving Layup (2 PTS) (D. Bane 2 AST),"[1642377, 1630217]",1610612763.0,MEM,driving,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,6.68,Made,2.0,,,,D. Bane,1630217.0,2.0,,,,,,,,,,,
92,PT04M17.00S,2025-01-05T01:57:31.3Z,1,REGULAR,3pt,Jump Shot,[],1630228,27.283180026281208,13.725490196078432,1610612744,18,12,2025-01-05T01:57:34Z,890000,False,181.0,204.0,1,left,J. Kuminga 27' 3PT  (3 PTS) (D. Schröder 2 AST),"[1630228, 203471]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Right Center,27.3,Made,3.0,,,,D. Schröder,203471.0,2.0,,,,,,,,,,,
94,PT04M08.00S,2025-01-05T01:57:41.3Z,1,REGULAR,3pt,Jump Shot,[],1630643,74.72076215505913,13.23529411764706,1610612763,18,12,2025-01-05T01:57:46Z,910000,False,-184.0,185.0,1,right,MISS J. Huff 26' 3PT,[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Left Center,26.09,Missed,,,,,,,,,,,,,,,,,,
95,PT04M06.00S,2025-01-05T01:57:43.8Z,1,REGULAR,rebound,offensive,[],1631222,,,1610612763,18,12,2025-01-05T01:57:43Z,920000,False,,,0,,J. LaRavia REBOUND (Off:1 Def:1),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,94.0,,2.0,1.0,1.0,,,,,,
96,PT04M04.00S,2025-01-05T01:57:47.6Z,1,REGULAR,turnover,out-of-bounds,[],1630643,,,1610612763,18,12,2025-01-05T01:57:54Z,930000,False,,,0,,J. Huff lost ball out-of-bounds TURNOVER (1 TO),[1630643],1610612763.0,MEM,lost ball,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,,,,,,,204058.0,,,,,,,,,
97,PT04M04.00S,2025-01-05T01:57:50.1Z,1,REGULAR,substitution,out,[],203952,,,1610612744,18,12,2025-01-05T01:58:06Z,940000,False,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M04.00S,2025-01-05T01:57:50.1Z,1,REGULAR,substitution,out,[],203110,,,1610612744,18,12,2025-01-05T01:58:06Z,950000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M04.00S,2025-01-05T01:57:50.1Z,1,REGULAR,substitution,out,[],203471,,,1610612744,18,12,2025-01-05T01:58:06Z,960000,False,,,0,,SUB out: D. Schröder,[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M04.00S,2025-01-05T01:57:50.1Z,1,REGULAR,substitution,out,[],1642377,,,1610612744,18,12,2025-01-05T01:58:06Z,970000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M04.00S,2025-01-05T01:57:50.1Z,1,REGULAR,substitution,in,[],1630541,,,1610612744,18,12,2025-01-05T01:58:06Z,980000,False,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M04.00S,2025-01-05T01:57:50.1Z,1,REGULAR,substitution,in,[],203937,,,1610612744,18,12,2025-01-05T01:58:06Z,990000,False,,,0,,SUB in: K. Anderson,[203937],1610612744.0,GSW,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M04.00S,2025-01-05T01:57:50.1Z,1,REGULAR,substitution,in,[],1630311,,,1610612744,18,12,2025-01-05T01:58:06Z,1000000,False,,,0,,SUB in: P. Spencer,[1630311],1610612744.0,GSW,,,,Spencer,P. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M04.00S,2025-01-05T01:57:50.1Z,1,REGULAR,substitution,in,[],1642285,,,1610612744,18,12,2025-01-05T01:58:06Z,1010000,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M04.00S,2025-01-05T01:57:50.1Z,1,REGULAR,substitution,out,[],1630217,,,1610612744,18,12,2025-01-05T01:58:35Z,1020000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M04.00S,2025-01-05T01:57:50.1Z,1,REGULAR,substitution,in,[],1628991,,,1610612744,18,12,2025-01-05T01:58:35Z,1030000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M49.00S,2025-01-05T01:58:38.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630228,18.610381077529567,48.77450980392157,1610612744,18,12,2025-01-05T02:14:09Z,1040000,False,6.0,122.0,1,left,MISS J. Kuminga 12' step back bank Shot,[1630228],1610612744.0,GSW,step back bank,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Center,12.26,Missed,,,,,,,,,,,,,,,,,,
108,PT03M47.00S,2025-01-05T01:58:40.2Z,1,REGULAR,rebound,defensive,[],1630643,,,1610612763,18,12,2025-01-05T01:58:43Z,1050000,False,,,0,,J. Huff REBOUND (Off:0 Def:2),[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,107.0,,2.0,2.0,0.0,,,,,,
109,PT03M41.00S,2025-01-05T01:58:45.9Z,1,REGULAR,2pt,Jump Shot,[],1629634,85.62746386333771,28.431372549019606,1610612763,18,12,2025-01-05T02:17:56Z,1060000,False,-108.0,83.0,1,right,MISS B. Clarke 13' driving floating Shot,[1629634],1610612763.0,MEM,driving floating,,,Clarke,B. Clarke,,,,,Mid-Range,8-16 Left,13.58,Missed,,,,,,,,,,,,,,,,,,
110,PT03M41.00S,2025-01-05T01:58:45.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,18,12,2025-01-05T01:59:09Z,1070000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,109.0,,,,,,,,,,
111,PT03M41.00S,2025-01-05T01:58:51.3Z,1,REGULAR,foul,personal,[],1630311,,,1610612763,18,12,2025-01-05T01:58:58Z,1080000,False,,,0,,P. Spencer loose ball personal FOUL (1 PF),"[1630311, 1629634]",1610612744.0,GSW,loose ball,,,Spencer,P. Spencer,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,204058.0,,,,1.0,0.0,Clarke,1629634.0,,
113,PT03M33.00S,2025-01-05T01:59:18.1Z,1,REGULAR,2pt,Hook,['2ndchance'],1628991,89.96386333771353,70.83333333333334,1610612763,18,12,2025-01-05T01:59:28Z,1100000,False,104.0,42.0,1,right,MISS J. Jackson Jr. 11' turnaround Hook,[1628991],1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Right,11.23,Missed,,,,,,,,,,,,,,,,,,
114,PT03M32.00S,2025-01-05T01:59:19.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,18,12,2025-01-05T01:59:44Z,1110000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,113.0,,,,,,,,,,
116,PT03M22.00S,2025-01-05T01:59:50.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631222,90.75229960578186,41.911764705882355,1610612763,18,14,2025-01-05T02:19:10Z,1130000,False,-40.0,34.0,1,right,J. LaRavia driving Layup (2 PTS),[1631222],1610612763.0,MEM,driving,,,LaRavia,J. LaRavia,,,,,In The Paint (Non-RA),0-8 Center,5.31,Made,2.0,,,,,,,,,,,,,,,,,
118,PT03M02.00S,2025-01-05T02:00:09.1Z,1,REGULAR,3pt,Jump Shot,[],1630228,28.33442838370565,20.098039215686274,1610612744,21,14,2025-01-05T02:00:14Z,1140000,False,150.0,214.0,1,left,J. Kuminga 26' 3PT  (6 PTS) (K. Anderson 1 AST),"[1630228, 203937]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Right Center,26.09,Made,6.0,,,,K. Anderson,203937.0,1.0,,,,,,,,,,,
120,PT02M41.00S,2025-01-05T02:00:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,91.40932982917214,43.627450980392155,1610612763,21,16,2025-01-05T02:00:34Z,1160000,False,-32.0,28.0,1,right,J. Jackson Jr. driving Layup (2 PTS) (J. LaRavia 1 AST),"[1628991, 1631222]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,4.26,Made,2.0,,,,J. LaRavia,1631222.0,1.0,,,,,,,,,,,
122,PT02M33.00S,2025-01-05T02:00:38.8Z,1,REGULAR,3pt,Jump Shot,[],1630541,3.892904073587385,97.05882352941177,1610612744,24,16,2025-01-05T02:00:43Z,1180000,False,-235.0,-16.0,1,left,M. Moody 3PT  (3 PTS) (J. Kuminga 1 AST),"[1630541, 1630228]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,Left Corner 3,24+ Left,23.58,Made,3.0,,,,J. Kuminga,1630228.0,1.0,,,,,,,,,,,
124,PT02M25.00S,2025-01-05T02:00:48.5Z,1,REGULAR,foul,personal,['2freethrow'],1630541,,,1610612763,24,16,2025-01-05T02:01:03Z,1200000,False,,,0,,M. Moody shooting personal FOUL (1 PF) (LaRavia 2 FT),"[1630541, 1631222]",1610612744.0,GSW,shooting,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1629178.0,,,,1.0,0.0,LaRavia,1631222.0,,
126,PT02M25.00S,2025-01-05T02:01:14.4Z,1,REGULAR,freethrow,1 of 2,[],1631222,,,1610612763,24,17,2025-01-05T02:01:31Z,1220000,False,,,0,,J. LaRavia Free Throw 1 of 2 (3 PTS),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
127,PT02M25.00S,2025-01-05T02:01:14.4Z,1,REGULAR,freethrow,2 of 2,[],1631222,,,1610612763,24,17,2025-01-05T02:01:31Z,1230000,False,,,0,,MISS J. LaRavia Free Throw 2 of 2,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
128,PT02M23.00S,2025-01-05T02:01:16.4Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,24,17,2025-01-05T02:01:31Z,1240000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,127.0,,1.0,1.0,0.0,,,,,,
129,PT02M16.00S,2025-01-05T02:01:38.0Z,1,REGULAR,turnover,lost ball,[],1630228,,,1610612744,24,17,2025-01-05T02:01:41Z,1250000,False,,,0,,J. Kuminga lost ball TURNOVER (1 TO),"[1630228, 1629634]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Mid-Range,16-24 Right,,,,1.0,Clarke,1629634.0,,,,,,,,,,,,,,
130,PT02M16.00S,2025-01-05T02:01:38.0Z,1,REGULAR,steal,,[],1629634,,,1610612763,24,17,2025-01-05T02:01:39Z,1260000,False,,,0,,B. Clarke STEAL (1 STL),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
131,PT02M12.00S,2025-01-05T02:01:42.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631222,90.62089356110381,45.588235294117645,1610612763,24,19,2025-01-05T02:01:48Z,1270000,False,-22.0,36.0,1,right,J. LaRavia running Layup (5 PTS),[1631222],1610612763.0,MEM,running,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,4.2,Made,5.0,,,,,,,,,,,,,,,,,
132,PT01M54.00S,2025-01-05T02:02:00.7Z,1,REGULAR,foul,personal,['3freethrow'],1630643,,,1610612744,24,19,2025-01-05T02:03:07Z,1280000,False,,,0,,J. Huff shooting personal FOUL (1 PF) (Moody 3 FT),"[1630643, 1630541]",1610612763.0,MEM,shooting,,,Huff,J. Huff,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,204058.0,,,,1.0,0.0,Moody,1630541.0,,
134,PT01M54.00S,2025-01-05T02:02:31.1Z,1,REGULAR,freethrow,1 of 3,[],1630541,,,1610612744,24,19,2025-01-05T02:03:12Z,1300000,False,,,0,,MISS M. Moody Free Throw 1 of 3,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
135,PT01M54.00S,2025-01-05T02:02:31.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612744,24,19,2025-01-05T02:03:12Z,1310000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,134.0,,,,,,,,,,
136,PT01M54.00S,2025-01-05T02:02:31.1Z,1,REGULAR,freethrow,2 of 3,[],1630541,,,1610612744,25,19,2025-01-05T02:03:12Z,1320000,False,,,0,,M. Moody Free Throw 2 of 3 (4 PTS),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
141,PT01M54.00S,2025-01-05T02:02:31.1Z,1,REGULAR,freethrow,3 of 3,[],1630541,,,1610612744,26,19,2025-01-05T02:03:12Z,1370000,False,,,0,,M. Moody Free Throw 3 of 3 (5 PTS),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
137,PT01M54.00S,2025-01-05T02:02:44.2Z,1,REGULAR,substitution,out,[],1629634,,,1610612763,26,19,2025-01-05T02:03:17Z,1380000,False,,,0,,SUB out: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M54.00S,2025-01-05T02:02:44.2Z,1,REGULAR,substitution,out,[],1630643,,,1610612763,26,19,2025-01-05T02:03:17Z,1390000,False,,,0,,SUB out: J. Huff,[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M54.00S,2025-01-05T02:02:44.2Z,1,REGULAR,substitution,in,[],1630590,,,1610612763,26,19,2025-01-05T02:03:17Z,1400000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M54.00S,2025-01-05T02:02:44.2Z,1,REGULAR,substitution,in,[],1641744,,,1610612763,26,19,2025-01-05T02:03:17Z,1410000,False,,,0,,SUB in: Z. Edey,[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M43.00S,2025-01-05T02:03:17.5Z,1,REGULAR,foul,personal,['2freethrow'],1630311,,,1610612763,26,19,2025-01-05T02:03:30Z,1420000,False,,,0,,P. Spencer shooting personal FOUL (2 PF) (LaRavia 2 FT),"[1630311, 1631222]",1610612744.0,GSW,shooting,,,Spencer,P. Spencer,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1629178.0,,,,2.0,0.0,LaRavia,1631222.0,,
144,PT01M43.00S,2025-01-05T02:03:41.4Z,1,REGULAR,freethrow,1 of 2,[],1631222,,,1610612763,26,20,2025-01-05T02:03:41Z,1440000,False,,,0,,J. LaRavia Free Throw 1 of 2 (6 PTS),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
145,PT01M43.00S,2025-01-05T02:03:55.5Z,1,REGULAR,freethrow,2 of 2,[],1631222,,,1610612763,26,21,2025-01-05T02:03:55Z,1450000,False,,,0,,J. LaRavia Free Throw 2 of 2 (7 PTS),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
146,PT01M21.00S,2025-01-05T02:04:18.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630228,11.251642575558476,48.529411764705884,1610612744,28,21,2025-01-05T02:04:22Z,1460000,False,7.0,53.0,1,left,J. Kuminga driving floating Jump Shot (8 PTS),[1630228],1610612744.0,GSW,driving floating,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,5.38,Made,8.0,,,,,,,,,,,,,,,,,
147,PT01M07.00S,2025-01-05T02:04:35.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630541,,,1610612763,28,21,2025-01-05T02:04:46Z,1470000,False,,,0,,M. Moody shooting personal FOUL (2 PF) (LaRavia 2 FT),"[1630541, 1631222]",1610612744.0,GSW,shooting,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202007.0,,,,2.0,0.0,LaRavia,1631222.0,,
149,PT01M07.00S,2025-01-05T02:05:00.5Z,1,REGULAR,freethrow,1 of 2,[],1631222,,,1610612763,28,22,2025-01-05T02:05:00Z,1490000,False,,,0,,J. LaRavia Free Throw 1 of 2 (8 PTS),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
150,PT01M07.00S,2025-01-05T02:05:15.8Z,1,REGULAR,freethrow,2 of 2,[],1631222,,,1610612763,28,23,2025-01-05T02:05:15Z,1500000,False,,,0,,J. LaRavia Free Throw 2 of 2 (9 PTS),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
151,PT00M56.40S,2025-01-05T02:05:30.2Z,1,REGULAR,turnover,lost ball,[],1630228,,,1610612744,28,23,2025-01-05T02:05:33Z,1510000,False,,,0,,J. Kuminga lost ball TURNOVER (2 TO),"[1630228, 1630590]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Center,,,,2.0,Pippen Jr.,1630590.0,,,,,,,,,,,,,,
152,PT00M56.40S,2025-01-05T02:05:30.2Z,1,REGULAR,steal,,[],1630590,,,1610612763,28,23,2025-01-05T02:05:32Z,1520000,False,,,0,,S. Pippen Jr. STEAL (1 STL),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
153,PT00M53.60S,2025-01-05T02:05:35.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630322,,,1610612763,28,23,2025-01-05T02:05:41Z,1530000,False,,,0,,L. Waters III shooting personal FOUL (1 PF) (Pippen Jr. 2 FT),"[1630322, 1630590]",1610612744.0,GSW,shooting,,,Waters III,L. Waters III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,204058.0,,,,1.0,0.0,Pippen Jr.,1630590.0,,
155,PT00M53.60S,2025-01-05T02:06:37.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630590,,,1610612763,28,24,2025-01-05T02:06:37Z,1550000,False,,,0,,S. Pippen Jr. Free Throw 1 of 2 (7 PTS),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
156,PT00M53.60S,2025-01-05T02:06:37.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630590,,,1610612763,28,24,2025-01-05T02:06:54Z,1560000,False,,,0,,MISS S. Pippen Jr. Free Throw 2 of 2,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
157,PT00M52.20S,2025-01-05T02:06:38.4Z,1,REGULAR,rebound,defensive,[],1630322,,,1610612744,28,24,2025-01-05T02:06:54Z,1570000,False,,,0,,L. Waters III REBOUND (Off:0 Def:1),[1630322],1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,,,,,,,,,,,,156.0,,1.0,1.0,0.0,,,,,,
158,PT00M45.90S,2025-01-05T02:06:59.7Z,1,REGULAR,turnover,lost ball,[],203937,,,1610612744,28,24,2025-01-05T02:07:03Z,1580000,False,,,0,,K. Anderson lost ball TURNOVER (1 TO),"[203937, 1630590]",1610612744.0,GSW,,,,Anderson,K. Anderson,,,,,Mid-Range,8-16 Right,,,,1.0,Pippen Jr.,1630590.0,,,,,,,,,,,,,,
159,PT00M45.90S,2025-01-05T02:06:59.7Z,1,REGULAR,steal,,[],1630590,,,1610612763,28,24,2025-01-05T02:35:13Z,1590000,False,,,0,,S. Pippen Jr. STEAL (2 STL),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
160,PT00M40.50S,2025-01-05T02:07:05.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628991,88.64980289093299,56.86274509803921,1610612763,28,24,2025-01-05T02:07:10Z,1600000,False,34.0,54.0,1,right,MISS J. Jackson Jr. 6' running Layup - blocked,"[1628991, 203937]",1610612763.0,MEM,running,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.41,Missed,,,,,,,,,,,,,,,,,Anderson,203937.0
161,PT00M40.50S,2025-01-05T02:07:05.2Z,1,REGULAR,block,,[],203937,,,1610612763,28,24,2025-01-05T02:07:07Z,1610000,False,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612744.0,GSW,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
162,PT00M36.90S,2025-01-05T02:07:08.8Z,1,REGULAR,rebound,offensive,[],1630590,,,1610612763,28,24,2025-01-05T02:07:10Z,1620000,False,,,0,,S. Pippen Jr. REBOUND (Off:1 Def:0),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,160.0,,1.0,0.0,1.0,,,,,,
163,PT00M26.60S,2025-01-05T02:07:19.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641744,90.09526938239159,47.794117647058826,1610612763,28,26,2025-01-05T02:07:22Z,1630000,False,-11.0,41.0,1,right,Z. Edey Layup (2 PTS) (J. Jackson Jr. 1 AST),"[1641744, 1628991]",1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,4.21,Made,2.0,,,,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,,
165,PT00M03.10S,2025-01-05T02:07:44.8Z,1,REGULAR,2pt,Jump Shot,[],1630311,3.3672798948751645,78.67647058823529,1610612744,30,26,2025-01-05T02:08:41Z,1650000,False,-143.0,-21.0,1,left,P. Spencer 14' driving floating Jump Shot (2 PTS) (L. Waters III 1 AST),"[1630311, 1630322]",1610612744.0,GSW,driving floating,,,Spencer,P. Spencer,,,,,Mid-Range,8-16 Left,14.49,Made,2.0,,,,L. Waters III,1630322.0,1.0,,,,,,,,,,,
167,PT00M00.90S,2025-01-05T02:07:52.4Z,1,REGULAR,3pt,Jump Shot,[],1631222,43.840341655716166,8.088235294117647,1610612763,30,29,2025-01-05T02:26:14Z,1670000,False,-210.0,475.0,1,right,J. LaRavia 51' 3PT  (12 PTS) (C. Spencer 1 AST),"[1631222, 1642285]",1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Right Center,51.96,Made,12.0,,,,C. Spencer,1642285.0,1.0,,,,,,,,,,,
168,PT00M00.00S,2025-01-05T02:07:58.8Z,1,REGULAR,period,end,[],0,,,1610612744,30,29,2025-01-05T02:07:58Z,1680000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
