actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
42,PT07M50.00S,2025-11-25T00:48:54.2Z,1,REGULAR,rebound,defensive,[],1642856,,,1610612751,9,7,2025-11-25T00:48:55Z,400000,False,,,0,,E. Dëmin REBOUND (Off:0 Def:2),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Left Center,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT07M47.00S,2025-11-25T00:48:57.5Z,1,REGULAR,turnover,lost ball,[],1629008,,,1610612751,9,7,2025-11-25T00:49:02Z,410000,False,,,0,,M. Porter Jr. lost ball TURNOVER (1 TO),"[1629008, 1628404]",1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Hart,1628404.0
44,PT07M47.00S,2025-11-25T00:48:57.5Z,1,REGULAR,steal,,[],1628404,,,1610612752,9,7,2025-11-25T00:49:00Z,420000,False,,,0,,J. Hart STEAL (1 STL),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT07M29.00S,2025-11-25T00:49:14.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628404,10.5946123521682,73.52941176470588,1610612752,9,7,2025-11-25T00:49:16Z,430000,False,-118.0,47.0,1,left,MISS J. Hart 12' pullup Shot,[1628404],1610612752.0,NYK,pullup,,,Hart,J. Hart,,,,,Mid-Range,8-16 Left,12.67,Missed,,,,,,,,,,,,,,,,,,
46,PT07M27.00S,2025-11-25T00:49:16.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,9,7,2025-11-25T00:49:16Z,440000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT07M16.00S,2025-11-25T00:49:27.5Z,1,REGULAR,3pt,Jump Shot,[],1641730,93.11760840998686,98.52941176470588,1610612751,9,7,2025-11-25T00:49:31Z,450000,False,243.0,12.0,1,right,MISS N. Clowney 24' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Right Corner 3,24+ Right,24.29,Missed,,,,,,,,,,,,,,,,,,
48,PT07M13.00S,2025-11-25T00:49:30.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,9,7,2025-11-25T00:49:31Z,460000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Right Corner 3,24+ Right,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,
49,PT06M53.00S,2025-11-25T00:49:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,7.703679369250986,61.76470588235294,1610612752,9,7,2025-11-25T00:49:57Z,470000,False,-59.0,20.0,1,left,MISS K. Towns 6' driving Layup,[1626157],1610612752.0,NYK,driving,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,6.21,Missed,,,,,,,,,,,,,,,,,,
50,PT06M50.00S,2025-11-25T00:49:53.5Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,9,7,2025-11-25T00:53:25Z,480000,False,,,0,,N. Clowney REBOUND (Off:0 Def:2),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,49.0,2.0,2.0,0.0,,,,,,,,,,,,,,
51,PT06M40.00S,2025-11-25T00:50:04.5Z,1,REGULAR,turnover,traveling,[],1642856,,,1610612751,9,7,2025-11-25T00:50:11Z,490000,False,,,0,,E. Dëmin traveling TURNOVER (1 TO),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Right Center,,,,,,,,202007.0,,,,,,,,,,1.0,,
52,PT06M40.00S,2025-11-25T00:50:11.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,9,7,2025-11-25T00:50:11Z,500000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M40.00S,2025-11-25T00:51:07.1Z,1,REGULAR,substitution,out,[],1628404,,,1610612752,9,7,2025-11-25T00:53:17Z,510000,False,,,0,,SUB out: J. Hart,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M40.00S,2025-11-25T00:51:07.1Z,1,REGULAR,substitution,in,[],1627824,,,1610612752,9,7,2025-11-25T00:53:17Z,520000,False,,,0,,SUB in: G. Yabusele,[1627824],1610612752.0,NYK,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M17.00S,2025-11-25T00:53:43.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,13.354139290407357,41.66666666666667,1610612752,9,7,2025-11-25T00:53:49Z,530000,False,42.0,73.0,1,left,MISS J. Brunson 8' fadeaway Shot,[1628973],1610612752.0,NYK,fadeaway,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,8.41,Missed,,,,,,,,,,,,,,,,,,
56,PT06M15.00S,2025-11-25T00:53:45.8Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,9,7,2025-11-25T00:53:49Z,540000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,,
57,PT06M09.00S,2025-11-25T00:53:51.6Z,1,REGULAR,3pt,Jump Shot,[],1641730,93.77463863337714,3.9215686274509802,1610612751,12,7,2025-11-25T00:54:00Z,550000,False,-230.0,6.0,1,right,N. Clowney 3PT  (3 PTS) (T. Mann 1 AST),"[1641730, 1629611]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Left Corner 3,24+ Left,23.05,Made,,,,,3.0,,,,T. Mann,1629611.0,1.0,,,,,,,
59,PT05M51.00S,2025-11-25T00:54:08.8Z,1,REGULAR,2pt,Jump Shot,[],1626157,6.258212877792378,86.76470588235294,1610612752,12,9,2025-11-25T00:54:45Z,570000,False,-184.0,6.0,1,left,K. Towns 18' Jump Shot (4 PTS) (M. McBride 1 AST),"[1626157, 1630540]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Left,18.39,Made,,,,,4.0,,,,M. McBride,1630540.0,1.0,,,,,,,
61,PT05M32.00S,2025-11-25T00:54:28.3Z,1,REGULAR,3pt,Jump Shot,[],1629008,67.09921156373193,31.61764705882353,1610612751,12,9,2025-11-25T00:54:35Z,590000,False,-92.0,257.0,1,right,MISS M. Porter Jr. 27' pullup 3PT,[1629008],1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,27.27,Missed,,,,,,,,,,,,,,,,,,
62,PT05M27.00S,2025-11-25T00:54:33.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,12,9,2025-11-25T00:54:35Z,600000,False,,,0,,K. Towns REBOUND (Off:2 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,61.0,3.0,1.0,2.0,,,,,,,,,,,,,,
63,PT05M21.00S,2025-11-25T00:54:39.1Z,1,REGULAR,3pt,Jump Shot,[],1628969,15.982260183968464,6.61764705882353,1610612752,12,9,2025-11-25T00:54:47Z,610000,False,217.0,98.0,1,left,MISS M. Bridges 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,23.79,Missed,,,,,,,,,,,,,,,,,,
64,PT05M17.00S,2025-11-25T00:54:43.1Z,1,REGULAR,rebound,defensive,[],1642856,,,1610612751,12,9,2025-11-25T00:54:47Z,620000,False,,,0,,E. Dëmin REBOUND (Off:0 Def:3),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Right Center,,,63.0,3.0,3.0,0.0,,,,,,,,,,,,,,
65,PT05M12.00S,2025-11-25T00:54:48.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629651,90.3580814717477,49.754901960784316,1610612751,12,9,2025-11-25T00:54:54Z,630000,False,-1.0,38.0,1,right,MISS N. Claxton running Layup - blocked,"[1629651, 1627824]",1610612751.0,BKN,running,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,3.81,Missed,,,,,,,,,,,,,,Yabusele,1627824.0,,,
66,PT05M12.00S,2025-11-25T00:54:48.1Z,1,REGULAR,block,,[],1627824,,,1610612751,12,9,2025-11-25T00:54:50Z,640000,False,,,0,,G. Yabusele BLOCK (1 BLK),[1627824],1610612752.0,NYK,,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
67,PT05M09.00S,2025-11-25T00:54:51.1Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612751,12,9,2025-11-25T00:54:54Z,650000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:0),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,65.0,1.0,0.0,1.0,,,,,,,,,,,,,,
68,PT05M08.00S,2025-11-25T00:54:52.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629008,77.34888304862024,6.61764705882353,1610612751,12,9,2025-11-25T00:56:30Z,660000,False,-217.0,160.0,1,right,MISS M. Porter Jr. 26' 3PT,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.98,Missed,,,,,,,,,,,,,,,,,,
69,PT05M07.00S,2025-11-25T00:54:53.3Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,12,9,2025-11-25T00:56:30Z,670000,False,,,0,,N. Claxton REBOUND (Off:1 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,68.0,3.0,2.0,1.0,,,,,,,,,,,,,,
70,PT05M05.00S,2025-11-25T00:54:55.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629008,93.64323258869908,47.05882352941176,1610612751,14,9,2025-11-25T00:57:01Z,680000,False,-15.0,7.0,1,right,M. Porter Jr. cutting Layup (6 PTS) (N. Claxton 1 AST),"[1629008, 1629651]",1610612751.0,BKN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1.64,Made,,,,,6.0,,,,N. Claxton,1629651.0,1.0,,,,,,,
72,PT04M47.00S,2025-11-25T00:55:12.5Z,1,REGULAR,3pt,Jump Shot,[],1628973,8.09789750328515,2.2058823529411766,1610612752,14,12,2025-11-25T00:55:18Z,700000,False,239.0,24.0,1,left,J. Brunson 24' 3PT  (4 PTS) (M. Bridges 1 AST),"[1628973, 1628969]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Right Corner 3,24+ Right,24.02,Made,,,,,4.0,,,,M. Bridges,1628969.0,1.0,,,,,,,
