actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
86,PT05M07.00S,2025-10-24T23:56:20.1Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,10,21,2025-10-24T23:56:24Z,850000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,85.0,2.0,2.0,0.0,,,,,,,,,,
87,PT05M03.00S,2025-10-24T23:56:24.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629611,6.783837056504599,53.431372549019606,1610612751,12,21,2025-10-24T23:56:27Z,860000,False,-17.0,11.0,1,left,T. Mann running finger roll Layup (2 PTS) (M. Porter Jr. 1 AST),"[1629611, 1629008]",1610612751.0,BKN,running finger roll,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,2.06,Made,,,,,2.0,M. Porter Jr.,1629008.0,1.0,,,,,,
89,PT04M58.00S,2025-10-24T23:56:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,91.80354796320631,53.18627450980392,1610612739,12,23,2025-10-24T23:56:53Z,880000,False,16.0,25.0,1,right,E. Mobley cutting Layup (8 PTS) (L. Ball 1 AST),"[1630596, 1628366]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,2.92,Made,,,,,8.0,L. Ball,1628366.0,1.0,,,,,,
92,PT04M45.00S,2025-10-24T23:56:42.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,12.434296977660972,48.77450980392157,1610612751,14,23,2025-10-24T23:56:57Z,900000,False,6.0,64.0,1,left,C. Thomas 6' driving floating Jump Shot (2 PTS),[1630560],1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.47,Made,,,,,2.0,,,,,,,,,
94,PT04M32.00S,2025-10-24T23:56:59.2Z,1,REGULAR,substitution,out,[],1629611,,,1610612739,14,23,2025-10-24T23:57:20Z,920000,False,,,0,,SUB out: T. Mann,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M32.00S,2025-10-24T23:56:59.2Z,1,REGULAR,substitution,out,[],1629651,,,1610612739,14,23,2025-10-24T23:57:20Z,930000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M32.00S,2025-10-24T23:56:59.2Z,1,REGULAR,substitution,out,[],1642879,,,1610612739,14,23,2025-10-24T23:57:20Z,940000,False,,,0,,SUB out: B. Saraf,[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M32.00S,2025-10-24T23:56:59.2Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,14,23,2025-10-24T23:57:20Z,950000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M32.00S,2025-10-24T23:56:59.2Z,1,REGULAR,substitution,out,[],1630241,,,1610612739,14,23,2025-10-24T23:57:20Z,960000,False,,,0,,SUB out: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M32.00S,2025-10-24T23:56:59.2Z,1,REGULAR,substitution,out,[],1642281,,,1610612739,14,23,2025-10-24T23:57:20Z,970000,False,,,0,,SUB out: J. Tyson,[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M32.00S,2025-10-24T23:56:59.2Z,1,REGULAR,substitution,in,[],1630533,,,1610612739,14,23,2025-10-24T23:57:20Z,980000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M32.00S,2025-10-24T23:56:59.2Z,1,REGULAR,substitution,in,[],1642856,,,1610612739,14,23,2025-10-24T23:57:20Z,990000,False,,,0,,SUB in: E. Dëmin,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M32.00S,2025-10-24T23:56:59.2Z,1,REGULAR,substitution,in,[],1630549,,,1610612739,14,23,2025-10-24T23:57:20Z,1000000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M32.00S,2025-10-24T23:56:59.2Z,1,REGULAR,substitution,in,[],1628386,,,1610612739,14,23,2025-10-24T23:57:20Z,1010000,False,,,0,,SUB in: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M32.00S,2025-10-24T23:56:59.2Z,1,REGULAR,substitution,in,[],1641854,,,1610612739,14,23,2025-10-24T23:57:20Z,1020000,False,,,0,,SUB in: C. Porter Jr.,[1641854],1610612739.0,CLE,,,,Porter Jr.,C. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M32.00S,2025-10-24T23:56:59.2Z,1,REGULAR,substitution,in,[],1628378,,,1610612739,14,23,2025-10-24T23:57:20Z,1030000,False,,,0,,SUB in: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M29.00S,2025-10-24T23:57:35.7Z,1,REGULAR,turnover,out-of-bounds,[],1628366,,,1610612739,14,23,2025-10-24T23:57:41Z,1040000,False,,,0,,L. Ball step out-of-bounds TURNOVER (1 TO),[1628366],1610612739.0,CLE,step,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,1.0,,,200832.0,,,,,,,,,,,,,,,,
108,PT04M20.00S,2025-10-24T23:57:57.5Z,1,REGULAR,substitution,out,[],1629008,,,1610612751,14,23,2025-10-24T23:58:10Z,1060000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M20.00S,2025-10-24T23:57:57.5Z,1,REGULAR,substitution,out,[],1630560,,,1610612751,14,23,2025-10-24T23:58:10Z,1070000,False,,,0,,SUB out: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M20.00S,2025-10-24T23:57:57.5Z,1,REGULAR,substitution,in,[],1631213,,,1610612751,14,23,2025-10-24T23:58:10Z,1080000,False,,,0,,SUB in: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M20.00S,2025-10-24T23:57:57.5Z,1,REGULAR,substitution,in,[],1641730,,,1610612751,14,23,2025-10-24T23:58:10Z,1090000,False,,,0,,SUB in: N. Clowney,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M06.00S,2025-10-24T23:58:41.3Z,1,REGULAR,turnover,out-of-bounds,[],1641730,,,1610612751,14,23,2025-10-24T23:58:47Z,1100000,False,,,0,,N. Clowney step out-of-bounds TURNOVER (1 TO),[1641730],1610612751.0,BKN,step,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,1.0,,,204058.0,,,,,,,,,,,,,,,,
113,PT03M57.00S,2025-10-24T23:58:57.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628386,93.51182654402102,51.225490196078425,1610612739,14,25,2025-10-24T23:59:03Z,1110000,False,6.0,8.0,1,right,J. Allen driving DUNK (4 PTS),[1628386],1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,1.05,Made,,,,,4.0,,,,,,,,,
114,PT03M39.00S,2025-10-24T23:59:15.1Z,1,REGULAR,3pt,Jump Shot,[],1642856,32.14520367936925,74.01960784313727,1610612751,14,25,2025-10-24T23:59:52Z,1120000,False,-120.0,250.0,1,left,MISS E. Dëmin 27' 3PT,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Left Center,,,,,27.71,Missed,,,,,,,,,,,,,,
115,PT03M36.00S,2025-10-24T23:59:18.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,14,25,2025-10-24T23:59:52Z,1130000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,114.0,,,,,,,,,,,,,
117,PT03M30.00S,2025-10-25T00:00:00.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631213,30.17411300919842,29.901960784313726,1610612751,17,25,2025-10-25T00:06:36Z,1150000,False,100.0,231.0,1,left,T. Martin 25' 3PT pullup (3 PTS) (D. Sharpe 1 AST),"[1631213, 1630549]",1610612751.0,BKN,pullup,,,Martin,T. Martin,,,,,Above the Break 3,24+ Right Center,,,,,25.2,Made,,,,,3.0,D. Sharpe,1630549.0,1.0,,,,,,
119,PT03M16.00S,2025-10-25T00:00:17.6Z,1,REGULAR,foul,personal,[],1630549,,,1610612739,17,25,2025-10-25T00:00:30Z,1170000,False,,,0,,D. Sharpe personal FOUL (1 PF),"[1630549, 1628386]",1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),8-16 Right,,,,202056.0,,,,,,,,,,,1.0,0.0,Allen,1628386.0,,
121,PT03M08.00S,2025-10-25T00:00:48.4Z,1,REGULAR,foul,technical,['1freethrow'],1642856,,,1610612739,17,25,2025-10-25T00:00:58Z,1190000,False,,,0,,E. Dëmin defensive-3-second technical FOUL (1 Tech),[1642856],1610612751.0,BKN,defensive-3-second,,,Dëmin,E. Dëmin,,,,,In The Paint (Non-RA),8-16 Center,,,,200832.0,,,,,,,,,,,0.0,1.0,,,,
122,PT03M08.00S,2025-10-25T00:01:08.6Z,1,REGULAR,freethrow,1 of 1,[],1628378,,,1610612739,17,25,2025-10-25T00:01:16Z,1200000,False,,,0,,MISS D. Mitchell technical Free Throw 1 of 1,[1628378],1610612739.0,CLE,technical,,,Mitchell,D. Mitchell,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
123,PT03M08.00S,2025-10-25T00:01:08.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612739,17,25,2025-10-25T00:01:16Z,1210000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,122.0,,,,,,,,,,,,,
124,PT03M04.00S,2025-10-25T00:01:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,91.14651773981603,44.85294117647059,1610612739,17,27,2025-10-25T00:01:33Z,1220000,False,-26.0,31.0,1,right,J. Allen driving Layup (6 PTS) (L. Ball 2 AST),"[1628386, 1628366]",1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,4.0,Made,,,,,6.0,L. Ball,1628366.0,2.0,,,,,,
126,PT02M47.00S,2025-10-25T00:01:42.8Z,1,REGULAR,3pt,Jump Shot,[],1641730,28.465834428383708,72.54901960784314,1610612751,17,27,2025-10-25T00:01:48Z,1240000,False,-113.0,215.0,1,left,MISS N. Clowney 24' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,,,24.28,Missed,,,,,,,,,,,,,,
127,PT02M46.00S,2025-10-25T00:01:43.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,17,27,2025-10-25T00:01:48Z,1250000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,126.0,,,,,,,,,,,,,
128,PT02M46.00S,2025-10-25T00:01:50.3Z,1,REGULAR,foul,personal,[],1628378,,,1610612751,17,27,2025-10-25T00:01:55Z,1260000,False,,,0,,D. Mitchell loose ball personal FOUL (1 PF),"[1628378, 1630533]",1610612739.0,CLE,loose ball,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,202056.0,,,,,,,,,,,1.0,0.0,Williams,1630533.0,,
130,PT02M46.00S,2025-10-25T00:02:00.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,17,27,2025-10-25T00:02:00Z,1280000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M34.00S,2025-10-25T00:05:13.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630549,13.748357424441524,42.15686274509804,1610612751,17,27,2025-10-25T00:05:25Z,1310000,False,39.0,77.0,1,left,MISS D. Sharpe 8' Hook,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,,,8.61,Missed,,,,,,,,,,,,,,
134,PT02M27.00S,2025-10-25T00:05:20.7Z,1,REGULAR,rebound,defensive,[],1641854,,,1610612739,17,27,2025-10-25T00:05:25Z,1320000,False,,,0,,C. Porter Jr. REBOUND (Off:0 Def:1),[1641854],1610612739.0,CLE,,,,Porter Jr.,C. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,133.0,1.0,1.0,0.0,,,,,,,,,,
135,PT02M21.00S,2025-10-25T00:05:26.5Z,1,REGULAR,turnover,bad pass,[],1628366,,,1610612739,17,27,2025-10-25T00:05:30Z,1330000,False,,,0,,L. Ball bad pass TURNOVER (2 TO),"[1628366, 1630533]",1610612739.0,CLE,,,,Ball,L. Ball,,,,,Mid-Range,16-24 Left,2.0,Williams,1630533.0,,,,,,,,,,,,,,,,,
136,PT02M21.00S,2025-10-25T00:05:26.5Z,1,REGULAR,steal,,[],1630533,,,1610612751,17,27,2025-10-25T00:05:29Z,1340000,False,,,0,,Z. Williams STEAL (1 STL),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
137,PT02M08.00S,2025-10-25T00:05:39.4Z,1,REGULAR,turnover,bad pass,[],1642856,,,1610612751,17,27,2025-10-25T00:05:49Z,1350000,False,,,0,,E. Dëmin bad pass TURNOVER (1 TO),"[1642856, 1628378]",1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Mid-Range,16-24 Right Center,1.0,Mitchell,1628378.0,,,,,,,,,,,,,,,,,
138,PT02M08.00S,2025-10-25T00:05:39.4Z,1,REGULAR,steal,,[],1628378,,,1610612739,17,27,2025-10-25T00:05:42Z,1360000,False,,,0,,D. Mitchell STEAL (2 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
139,PT02M05.00S,2025-10-25T00:05:46.9Z,1,REGULAR,foul,personal,['2freethrow'],1630549,,,1610612739,17,27,2025-10-25T00:05:55Z,1370000,False,,,0,,D. Sharpe shooting personal FOUL (2 PF) (Ball 2 FT),"[1630549, 1628366]",1610612751.0,BKN,shooting,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,202056.0,,,,,,,,,,,2.0,0.0,Ball,1628366.0,,
141,PT02M05.00S,2025-10-25T00:06:18.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628366,,,1610612739,17,28,2025-10-25T00:06:18Z,1390000,False,,,0,,L. Ball Free Throw 1 of 2 (1 PTS),[1628366],1610612739.0,CLE,,,,Ball,L. Ball,,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,
142,PT02M05.00S,2025-10-25T00:06:35.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628366,,,1610612739,17,29,2025-10-25T00:06:35Z,1400000,False,,,0,,L. Ball Free Throw 2 of 2 (2 PTS),[1628366],1610612739.0,CLE,,,,Ball,L. Ball,,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,
143,PT01M50.00S,2025-10-25T00:06:53.4Z,1,REGULAR,turnover,bad pass,[],1641730,,,1610612751,17,29,2025-10-25T00:07:01Z,1410000,False,,,0,,N. Clowney bad pass TURNOVER (2 TO),"[1641730, 1628378]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,2.0,Mitchell,1628378.0,,,,,,,,,,,,,,,,,
144,PT01M50.00S,2025-10-25T00:06:53.4Z,1,REGULAR,steal,,[],1628378,,,1610612739,17,29,2025-10-25T00:06:55Z,1420000,False,,,0,,D. Mitchell STEAL (3 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
145,PT01M40.00S,2025-10-25T00:07:02.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,66.04796320630749,54.65686274509803,1610612739,17,29,2025-10-25T00:07:08Z,1430000,False,23.0,267.0,1,right,MISS D. Mitchell 26' 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,26.76,Missed,,,,,,,,,,,,,,
146,PT01M36.00S,2025-10-25T00:07:06.7Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,17,29,2025-10-25T00:07:08Z,1440000,False,,,0,,D. Sharpe REBOUND (Off:0 Def:1),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Above the Break 3,24+ Center,,,,,,,145.0,1.0,1.0,0.0,,,,,,,,,,
147,PT01M30.00S,2025-10-25T00:07:16.3Z,1,REGULAR,turnover,out-of-bounds,[],1630549,,,1610612751,17,29,2025-10-25T00:07:39Z,1450000,False,,,0,,D. Sharpe bad pass out-of-bounds TURNOVER (1 TO),[1630549],1610612751.0,BKN,bad pass,,,Sharpe,D. Sharpe,,,,,Above the Break 3,24+ Left Center,1.0,,,202056.0,,,,,,,,,,,,,,,,
148,PT01M30.00S,2025-10-25T00:07:19.5Z,1,REGULAR,substitution,out,[],1628366,,,1610612739,17,29,2025-10-25T00:07:22Z,1460000,False,,,0,,SUB out: L. Ball,[1628366],1610612739.0,CLE,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M30.00S,2025-10-25T00:07:19.5Z,1,REGULAR,substitution,in,[],1642878,,,1610612739,17,29,2025-10-25T00:07:22Z,1470000,False,,,0,,SUB in: T. Proctor,[1642878],1610612739.0,CLE,,,,Proctor,T. Proctor,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M15.00S,2025-10-25T00:07:46.0Z,1,REGULAR,foul,personal,[],1630533,,,1610612739,17,29,2025-10-25T00:07:54Z,1480000,False,,,0,,Z. Williams personal FOUL (1 PF),"[1630533, 1628378]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,204058.0,,,,,,,,,,,1.0,0.0,Mitchell,1628378.0,,
152,PT01M07.00S,2025-10-25T00:08:19.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641854,92.19776609724047,47.549019607843135,1610612739,17,31,2025-10-25T00:08:23Z,1500000,False,-12.0,21.0,1,right,C. Porter Jr. driving Layup (2 PTS),[1641854],1610612739.0,CLE,driving,,,Porter Jr.,C. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,2.42,Made,,,,,2.0,,,,,,,,,
153,PT00M57.30S,2025-10-25T00:08:28.6Z,1,REGULAR,3pt,Jump Shot,[],1630533,8.492115637319317,3.6764705882352944,1610612751,20,31,2025-10-25T00:08:32Z,1510000,False,232.0,27.0,1,left,Z. Williams 3PT  (3 PTS) (E. Dëmin 1 AST),"[1630533, 1642856]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Right Corner 3,24+ Right,,,,,23.32,Made,,,,,3.0,E. Dëmin,1642856.0,1.0,,,,,,
155,PT00M48.20S,2025-10-25T00:08:40.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,95.74572930354796,3.9215686274509802,1610612739,20,34,2025-10-25T00:08:50Z,1530000,False,-230.0,-13.0,1,right,D. Mitchell 3PT  (5 PTS) (D. Wade 1 AST),"[1628378, 1629731]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Left Corner 3,24+ Left,,,,,23.07,Made,,,,,5.0,D. Wade,1629731.0,1.0,,,,,,
157,PT00M41.90S,2025-10-25T00:08:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631213,2.7102496714848883,49.26470588235294,1610612751,20,34,2025-10-25T00:09:25Z,1550000,False,4.0,-27.0,1,left,MISS T. Martin driving Layup,[1631213],1610612751.0,BKN,driving,,,Martin,T. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,2.73,Missed,,,,,,,,,,,,,,
158,PT00M39.30S,2025-10-25T00:08:51.9Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,20,34,2025-10-25T00:09:09Z,1560000,False,,,0,,D. Wade REBOUND (Off:0 Def:2),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,157.0,2.0,2.0,0.0,,,,,,,,,,
159,PT00M33.30S,2025-10-25T00:08:57.8Z,1,REGULAR,2pt,Jump Shot,[],1642878,94.50147831800263,18.160232843137255,1610612739,20,34,2025-10-25T03:36:58Z,1570000,False,-159.0,-1.0,1,right,MISS T. Proctor 15' step back Shot,[1642878],1610612739.0,CLE,step back,,,Proctor,T. Proctor,,,,,Mid-Range,8-16 Left,,,,,15.92,Missed,,,,,,,,,,,,,,
160,PT00M29.90S,2025-10-25T00:09:01.2Z,1,REGULAR,rebound,defensive,[],1631213,,,1610612751,20,34,2025-10-25T00:09:01Z,1580000,False,,,0,,T. Martin REBOUND (Off:0 Def:1),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Left Corner 3,24+ Left,,,,,,,159.0,1.0,1.0,0.0,,,,,,,,,,
161,PT00M24.90S,2025-10-25T00:09:06.2Z,1,REGULAR,3pt,Jump Shot,[],1631213,30.305519053876477,29.65686274509804,1610612751,20,34,2025-10-25T00:09:21Z,1590000,False,102.0,232.0,1,left,MISS T. Martin 25' 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Right Center,,,,,25.37,Missed,,,,,,,,,,,,,,
162,PT00M22.50S,2025-10-25T00:09:08.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,20,34,2025-10-25T00:09:08Z,1600000,False,,,0,,J. Allen REBOUND (Off:0 Def:3),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Right Center,,,,,,,161.0,3.0,3.0,0.0,,,,,,,,,,
163,PT00M10.30S,2025-10-25T00:09:25.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630549,,,1610612739,20,34,2025-10-25T00:09:41Z,1610000,False,,,0,,D. Sharpe personal FOUL (3 PF) (Allen 2 FT),"[1630549, 1628386]",1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,,200832.0,,,,,,,,,,,3.0,0.0,Allen,1628386.0,,
165,PT00M10.30S,2025-10-25T00:09:49.5Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,20,34,2025-10-25T00:09:49Z,1630000,False,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
166,PT00M10.30S,2025-10-25T00:09:49.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,20,34,2025-10-25T00:09:49Z,1640000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,165.0,,,,,,,,,,,,,
167,PT00M10.30S,2025-10-25T00:09:53.7Z,1,REGULAR,substitution,out,[],1630549,,,1610612739,20,34,2025-10-25T00:10:00Z,1650000,False,,,0,,SUB out: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M10.30S,2025-10-25T00:09:53.7Z,1,REGULAR,substitution,out,[],1642878,,,1610612739,20,34,2025-10-25T00:10:00Z,1660000,False,,,0,,SUB out: T. Proctor,[1642878],1610612739.0,CLE,,,,Proctor,T. Proctor,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT00M10.30S,2025-10-25T00:09:53.7Z,1,REGULAR,substitution,in,[],1629651,,,1610612739,20,34,2025-10-25T00:10:00Z,1670000,False,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT00M10.30S,2025-10-25T00:09:53.7Z,1,REGULAR,substitution,in,[],1630596,,,1610612739,20,34,2025-10-25T00:10:00Z,1680000,False,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT00M10.30S,2025-10-25T00:09:49.5Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,20,34,2025-10-25T00:10:31Z,1690000,False,,,0,,MISS J. Allen Free Throw 2 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
172,PT00M06.50S,2025-10-25T00:09:53.3Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,20,34,2025-10-25T00:10:31Z,1700000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,,,,,171.0,1.0,1.0,0.0,,,,,,,,,,
173,PT00M01.80S,2025-10-25T00:10:35.4Z,1,REGULAR,3pt,Jump Shot,[],1630533,27.677398160315374,79.41176470588235,1610612751,23,34,2025-10-25T00:10:41Z,1710000,False,-147.0,208.0,1,left,Z. Williams 25' 3PT  (6 PTS) (N. Clowney 1 AST),"[1630533, 1641730]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,,,,,25.45,Made,,,,,6.0,N. Clowney,1641730.0,1.0,,,,,,
175,PT00M00.00S,2025-10-25T00:10:43.6Z,1,REGULAR,heave,,[],0,,,1610612739,23,34,2025-10-25T00:11:12Z,1730000,False,,,0,,CLE Heave,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,63.71,,,,,,,,,,,,,,,
176,PT00M00.00S,2025-10-25T00:10:43.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,23,34,2025-10-25T00:11:12Z,1740000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,175.0,,,,,,,,,,,,,
