actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
87,PT05M12.00S,2023-11-15T03:54:08.2Z,1,REGULAR,turnover,bad pass,[],1630559,,,1610612747,18,16,2023-11-15T03:54:11Z,860000,False,,,0,,A. Reaves bad pass TURNOVER (1 TO),"[1630559, 203935]",1610612747.0,LAL,,,,,,,Mid-Range,16-24 Center,,,,Reaves,A. Reaves,,,,,,,,,,,1.0,,,,,Smart,203935.0
88,PT05M12.00S,2023-11-15T03:54:08.2Z,1,REGULAR,steal,,[],203935,,,1610612763,18,16,2023-11-15T03:54:10Z,870000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612763.0,MEM,,,,,,,Mid-Range,16-24 Center,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,
89,PT05M08.00S,2023-11-15T03:54:11.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630217,80.46977660972405,5.882352941176478,1610612763,18,16,2023-11-15T03:54:18Z,880000,False,-221.0,131.0,1,right,MISS D. Bane 25' running 3PT,[1630217],1610612763.0,MEM,running,,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,
90,PT05M04.00S,2023-11-15T03:54:15.6Z,1,REGULAR,rebound,offensive,[],1628379,,,1610612763,18,16,2023-11-15T03:54:15Z,890000,False,,,0,,L. Kennard REBOUND (Off:1 Def:0),[1628379],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Kennard,L. Kennard,,,,,,89.0,1.0,0.0,1.0,,,,,,,,
91,PT05M03.00S,2023-11-15T03:54:16.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628379,67.32917214191853,54.411764705882355,1610612763,18,16,2023-11-15T03:54:21Z,900000,False,22.0,255.0,1,right,MISS L. Kennard 25' 3PT,[1628379],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,25.56,Missed,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
92,PT05M01.00S,2023-11-15T03:54:18.6Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,18,16,2023-11-15T03:54:21Z,910000,False,,,0,,L. James REBOUND (Off:0 Def:4),[2544],1610612747.0,LAL,,,,,,,Above the Break 3,24+ Center,,,,James,L. James,,,,,,91.0,4.0,4.0,0.0,,,,,,,,
93,PT04M59.00S,2023-11-15T03:54:21.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203076,7.670827858081481,50.73529411764706,1610612747,20,16,2023-11-15T03:54:30Z,920000,False,-4.0,20.0,1,left,A. Davis running Layup (6 PTS) (L. James 2 AST),"[203076, 2544]",1610612747.0,LAL,running,,,,,,Restricted Area,0-8 Center,1.99,Made,6.0,Davis,A. Davis,L. James,2544.0,2.0,,,,,,,,,,,,,,
95,PT04M57.00S,2023-11-15T03:54:38.1Z,1,REGULAR,foul,technical,[],203076,,,1610612763,20,16,2023-11-15T03:54:59Z,940000,False,,,0,,A. Davis double technical FOUL (1 Tech),[203076],1610612747.0,LAL,double,,,,,,In The Paint (Non-RA),8-16 Left,,,,Davis,A. Davis,,,,,,,,,,1626300.0,,0.0,1.0,,,,
96,PT04M57.00S,2023-11-15T03:54:38.1Z,1,REGULAR,foul,technical,[],1630583,,,1610612763,20,16,2023-11-15T03:54:45Z,950000,False,,,0,,S. Aldama double technical FOUL (1 Tech),[1630583],1610612763.0,MEM,double,,,,,,In The Paint (Non-RA),8-16 Left,,,,Aldama,S. Aldama,,,,,,,,,,1626300.0,,0.0,1.0,,,,
98,PT04M57.00S,2023-11-15T03:58:32.6Z,1,REGULAR,foul,technical,[],1626156,,,1610612763,20,16,2023-11-15T03:58:36Z,970000,False,,,0,,D. Russell double technical FOUL (1 Tech),[1626156],1610612747.0,LAL,double,,,,,,,,,,,Russell,D. Russell,,,,,,,,,,1626300.0,,0.0,1.0,,,,
99,PT04M57.00S,2023-11-15T03:58:32.6Z,1,REGULAR,foul,technical,[],1630217,,,1610612763,20,16,2023-11-15T03:58:37Z,980000,False,,,0,,D. Bane double technical FOUL (1 Tech),[1630217],1610612763.0,MEM,double,,,,,,,,,,,Bane,D. Bane,,,,,,,,,,1626300.0,,0.0,1.0,,,,
101,PT04M57.00S,2023-11-15T03:58:43.1Z,1,REGULAR,foul,technical,['1freethrow'],203624,,,1610612763,20,16,2023-11-15T04:25:27Z,1000000,False,,,0,,TEAM foul technical,[203624],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,1626300.0,,,,,,,
102,PT04M57.00S,2023-11-15T03:59:01.9Z,1,REGULAR,substitution,out,[],1629629,,,1610612763,20,16,2023-11-15T03:59:25Z,1010000,False,,,0,,SUB out: C. Reddish,[1629629],1610612747.0,LAL,,,,,,,,,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,
103,PT04M57.00S,2023-11-15T03:59:01.9Z,1,REGULAR,substitution,out,[],2544,,,1610612763,20,16,2023-11-15T03:59:25Z,1020000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,,,,,,,,,James,L. James,,,,,,,,,,,,,,,,,
104,PT04M57.00S,2023-11-15T03:59:01.9Z,1,REGULAR,substitution,in,[],1627752,,,1610612763,20,16,2023-11-15T03:59:25Z,1030000,False,,,0,,SUB in: T. Prince,[1627752],1610612747.0,LAL,,,,,,,,,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,
105,PT04M57.00S,2023-11-15T03:59:01.9Z,1,REGULAR,substitution,in,[],1629060,,,1610612763,20,16,2023-11-15T03:59:25Z,1040000,False,,,0,,SUB in: R. Hachimura,[1629060],1610612747.0,LAL,,,,,,,,,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,
106,PT04M57.00S,2023-11-15T03:59:32.2Z,1,REGULAR,freethrow,1 of 1,[],1630559,,,1610612763,21,16,2023-11-15T03:59:32Z,1050000,False,,,0,,A. Reaves technical Free Throw 1 of 1 (1 PTS),[1630559],1610612747.0,LAL,technical,,,,,,,,,Made,1.0,Reaves,A. Reaves,,,,,,,,,,,,,,,,,
107,PT04M44.00S,2023-11-15T03:59:52.6Z,1,REGULAR,3pt,Jump Shot,[],1630583,77.71024967148489,9.068627450980387,1610612763,21,19,2023-11-15T04:00:05Z,1060000,False,-205.0,157.0,1,right,S. Aldama 25' 3PT  (5 PTS) (M. Smart 1 AST),"[1630583, 203935]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,25.8,Made,5.0,Aldama,S. Aldama,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
109,PT04M20.00S,2023-11-15T04:00:15.2Z,1,REGULAR,3pt,Jump Shot,[],1630559,26.987516425755587,83.82352941176471,1610612747,24,19,2023-11-15T04:02:16Z,1080000,False,-169.0,201.0,1,left,A. Reaves 26' 3PT pullup (4 PTS),[1630559],1610612747.0,LAL,pullup,,,,,,Above the Break 3,24+ Left Center,26.28,Made,4.0,Reaves,A. Reaves,,,,,,,,,,,,,,,,,
111,PT04M06.00S,2023-11-15T04:00:44.2Z,1,REGULAR,3pt,Jump Shot,[],203935,70.74572930354796,25.24509803921569,1610612763,24,19,2023-11-15T04:02:12Z,1100000,False,-124.0,222.0,1,right,MISS M. Smart 25' pullup 3PT,[203935],1610612763.0,MEM,pullup,,,,,,Above the Break 3,24+ Left Center,25.46,Missed,,Smart,M. Smart,,,,,,,,,,,,,,,,,
112,PT04M04.00S,2023-11-15T04:00:46.2Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,24,19,2023-11-15T04:00:48Z,1110000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,,,,Above the Break 3,24+ Left Center,,,,Davis,A. Davis,,,,,,111.0,2.0,2.0,0.0,,,,,,,,
113,PT03M54.00S,2023-11-15T04:00:56.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,9.247700394218143,46.81372549019608,1610612747,24,19,2023-11-15T04:03:29Z,1120000,False,16.0,34.0,1,left,MISS A. Davis alley-oop Layup,[203076],1610612747.0,LAL,alley-oop,,,,,,Restricted Area,0-8 Center,3.79,Missed,,Davis,A. Davis,,,,,,,,,,,,,,,,,
114,PT03M52.00S,2023-11-15T04:00:58.4Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612763,24,19,2023-11-15T04:01:02Z,1130000,False,,,0,,L. Kennard REBOUND (Off:1 Def:1),[1628379],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Kennard,L. Kennard,,,,,,113.0,2.0,1.0,1.0,,,,,,,,
115,PT03M44.00S,2023-11-15T04:01:05.6Z,1,REGULAR,3pt,Jump Shot,[],1628379,70.3515111695138,73.77450980392157,1610612763,24,19,2023-11-15T04:01:09Z,1140000,False,119.0,226.0,1,right,MISS L. Kennard 25' 3PT,[1628379],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,25.55,Missed,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
116,PT03M41.00S,2023-11-15T04:01:08.6Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,24,19,2023-11-15T04:01:09Z,1150000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,,,,Above the Break 3,24+ Right Center,,,,Reaves,A. Reaves,,,,,,115.0,1.0,1.0,0.0,,,,,,,,
117,PT03M36.00S,2023-11-15T04:01:14.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627752,30.009855453350852,35.5392156862745,1610612747,24,19,2023-11-15T04:03:55Z,1160000,False,72.0,230.0,1,left,MISS T. Prince 24' running 3PT,[1627752],1610612747.0,LAL,running,,,,,,Above the Break 3,24+ Center,24.07,Missed,,Prince,T. Prince,,,,,,,,,,,,,,,,,
118,PT03M35.00S,2023-11-15T04:01:15.2Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,24,19,2023-11-15T04:01:23Z,1170000,False,,,0,,A. Davis REBOUND (Off:1 Def:2),[203076],1610612747.0,LAL,,,,,,,Above the Break 3,24+ Center,,,,Davis,A. Davis,,,,,,117.0,3.0,2.0,1.0,,,,,,,,
119,PT03M35.00S,2023-11-15T04:01:18.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,9.379106438896187,50.245098039215684,1610612747,26,19,2023-11-15T04:01:26Z,1180000,False,-1.0,36.0,1,left,A. Davis putback Layup (8 PTS),[203076],1610612747.0,LAL,putback,,,,,,Restricted Area,0-8 Center,3.57,Made,8.0,Davis,A. Davis,,,,,,,,,,,,,,,,,
120,PT03M35.00S,2023-11-15T04:01:30.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,26,19,2023-11-15T04:01:30Z,1190000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M35.00S,2023-11-15T04:04:11.1Z,1,REGULAR,substitution,out,[],203935,,,1610612763,26,19,2023-11-15T04:04:29Z,1200000,False,,,0,,SUB out: M. Smart,[203935],1610612763.0,MEM,,,,,,,,,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,
122,PT03M35.00S,2023-11-15T04:04:11.1Z,1,REGULAR,substitution,in,[],1630533,,,1610612763,26,19,2023-11-15T04:04:29Z,1210000,False,,,0,,SUB in: Z. Williams,[1630533],1610612763.0,MEM,,,,,,,,,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,
123,PT03M20.00S,2023-11-15T04:04:38.1Z,1,REGULAR,3pt,Jump Shot,[],1628379,69.69448094612352,73.52941176470588,1610612763,26,19,2023-11-15T04:04:42Z,1220000,False,118.0,232.0,1,right,MISS L. Kennard 26' 3PT,[1628379],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,26.05,Missed,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
124,PT03M18.00S,2023-11-15T04:04:40.1Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612747,26,19,2023-11-15T04:04:42Z,1230000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612747.0,LAL,,,,,,,Above the Break 3,24+ Right Center,,,,Russell,D. Russell,,,,,,123.0,1.0,1.0,0.0,,,,,,,,
126,PT03M05.00S,2023-11-15T04:04:53.5Z,1,REGULAR,3pt,Jump Shot,[],1629060,17.394875164257556,93.62745098039215,1610612747,29,19,2023-11-15T04:04:59Z,1250000,False,-218.0,111.0,1,left,R. Hachimura 24' 3PT  (3 PTS) (D. Russell 3 AST),"[1629060, 1626156]",1610612747.0,LAL,,,,,,,Above the Break 3,24+ Left Center,24.47,Made,3.0,Hachimura,R. Hachimura,D. Russell,1626156.0,3.0,,,,,,,,,,,,,,
129,PT02M49.00S,2023-11-15T04:05:20.7Z,1,REGULAR,foul,personal,['3freethrow'],1629060,,,1610612763,29,19,2023-11-15T04:10:42Z,1280000,False,,,0,,R. Hachimura flagrant-type-1 personal FOUL (1 PF) (Aldama 3 FT),"[1629060, 1630583]",1610612747.0,LAL,flagrant-type-1,,,,,,Left Corner 3,24+ Left,,,,Hachimura,R. Hachimura,,,,,,,,,,202049.0,,1.0,0.0,Aldama,1630583.0,,
132,PT02M49.00S,2023-11-15T04:08:11.6Z,1,REGULAR,freethrow,1 of 3,[],1630583,,,1610612763,29,19,2023-11-15T04:08:43Z,1310000,False,,,0,,MISS S. Aldama flagrant Free Throw 1 of 3,[1630583],1610612763.0,MEM,flagrant,,,,,,,,,Missed,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
133,PT02M49.00S,2023-11-15T04:08:11.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612763,29,19,2023-11-15T04:08:43Z,1320000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,
134,PT02M49.00S,2023-11-15T04:08:11.6Z,1,REGULAR,freethrow,2 of 3,[],1630583,,,1610612763,29,19,2023-11-15T04:08:43Z,1330000,False,,,0,,MISS S. Aldama flagrant Free Throw 2 of 3,[1630583],1610612763.0,MEM,flagrant,,,,,,,,,Missed,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
135,PT02M49.00S,2023-11-15T04:08:11.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612763,29,19,2023-11-15T04:08:43Z,1340000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,134.0,,,,,,,,,,,
136,PT02M49.00S,2023-11-15T04:08:11.6Z,1,REGULAR,freethrow,3 of 3,[],1630583,,,1610612763,29,20,2023-11-15T04:08:43Z,1350000,False,,,0,,S. Aldama flagrant Free Throw 3 of 3 (6 PTS),[1630583],1610612763.0,MEM,flagrant,,,,,,,,,Made,6.0,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
137,PT02M49.00S,2023-11-15T04:08:33.6Z,1,REGULAR,substitution,out,[],1626156,,,1610612747,29,20,2023-11-15T04:08:46Z,1360000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,,,,,,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,
138,PT02M49.00S,2023-11-15T04:08:33.6Z,1,REGULAR,substitution,out,[],202687,,,1610612747,29,20,2023-11-15T04:08:46Z,1370000,False,,,0,,SUB out: B. Biyombo,[202687],1610612763.0,MEM,,,,,,,,,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,
139,PT02M49.00S,2023-11-15T04:08:33.6Z,1,REGULAR,substitution,out,[],1630217,,,1610612747,29,20,2023-11-15T04:08:46Z,1380000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,,,,,,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,
140,PT02M49.00S,2023-11-15T04:08:33.6Z,1,REGULAR,substitution,in,[],1626174,,,1610612747,29,20,2023-11-15T04:08:46Z,1390000,False,,,0,,SUB in: C. Wood,[1626174],1610612747.0,LAL,,,,,,,,,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,
141,PT02M49.00S,2023-11-15T04:08:33.6Z,1,REGULAR,substitution,in,[],1628991,,,1610612747,29,20,2023-11-15T04:08:46Z,1400000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
142,PT02M49.00S,2023-11-15T04:08:33.6Z,1,REGULAR,substitution,in,[],1631223,,,1610612747,29,20,2023-11-15T04:08:46Z,1410000,False,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,,,,,,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,
144,PT02M37.00S,2023-11-15T04:09:11.4Z,1,REGULAR,3pt,Jump Shot,[],1630533,89.53679369250986,3.4313725490196134,1610612763,29,23,2023-11-15T04:09:20Z,1430000,False,-233.0,46.0,1,right,Z. Williams 3PT  (3 PTS) (D. Roddy 1 AST),"[1630533, 1631223]",1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,23.73,Made,3.0,Williams,Z. Williams,D. Roddy,1631223.0,1.0,,,,,,,,,,,,,,
146,PT02M23.00S,2023-11-15T04:09:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,8.722076215505908,53.18627450980392,1610612747,31,23,2023-11-15T04:09:28Z,1450000,False,-16.0,29.0,1,left,T. Prince cutting Layup (5 PTS) (A. Reaves 1 AST),"[1627752, 1630559]",1610612747.0,LAL,cutting,,,,,,Restricted Area,0-8 Center,3.35,Made,5.0,Prince,T. Prince,A. Reaves,1630559.0,1.0,,,,,,,,,,,,,,
148,PT02M08.00S,2023-11-15T04:09:42.0Z,1,REGULAR,3pt,Jump Shot,[],1630583,69.69448094612352,26.225490196078425,1610612763,31,23,2023-11-15T04:09:47Z,1470000,False,-119.0,232.0,1,right,MISS S. Aldama 26' 3PT,[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
149,PT02M08.00S,2023-11-15T04:09:42.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,31,23,2023-11-15T04:09:47Z,1480000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,148.0,,,,,,,,,,,
151,PT01M56.00S,2023-11-15T04:10:00.9Z,1,REGULAR,foul,personal,[],1630533,,,1610612747,31,23,2023-11-15T04:10:16Z,1500000,False,,,0,,Z. Williams personal FOUL (1 PF),"[1630533, 1630559]",1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Williams,Z. Williams,,,,,,,,,,202049.0,,1.0,0.0,Reaves,1630559.0,,
153,PT01M46.00S,2023-11-15T04:10:28.0Z,1,REGULAR,2pt,Jump Shot,[],1629060,8.065045992115643,71.81372549019608,1610612747,33,23,2023-11-15T04:10:31Z,1520000,False,-109.0,23.0,1,left,R. Hachimura 11' turnaround fadeaway Jump Shot (5 PTS),[1629060],1610612747.0,LAL,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,11.16,Made,5.0,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,
154,PT01M39.00S,2023-11-15T04:10:35.7Z,1,REGULAR,3pt,Jump Shot,[],1630583,67.59198423127464,73.2843137254902,1610612763,33,23,2023-11-15T04:10:40Z,1530000,False,116.0,252.0,1,right,MISS S. Aldama 27' 3PT,[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,27.77,Missed,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
155,PT01M35.00S,2023-11-15T04:10:39.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,33,23,2023-11-15T04:10:40Z,1540000,False,,,0,,A. Davis REBOUND (Off:1 Def:3),[203076],1610612747.0,LAL,,,,,,,Above the Break 3,24+ Right Center,,,,Davis,A. Davis,,,,,,154.0,4.0,3.0,1.0,,,,,,,,
156,PT01M26.00S,2023-11-15T04:10:47.4Z,1,REGULAR,2pt,Jump Shot,[],1630559,12.13863337713535,27.205882352941174,1610612747,33,23,2023-11-15T04:12:08Z,1550000,False,114.0,62.0,1,left,MISS A. Reaves 12' driving floating Shot - blocked,"[1630559, 1630533]",1610612747.0,LAL,driving floating,,,,,,Mid-Range,8-16 Right,12.96,Missed,,Reaves,A. Reaves,,,,Williams,1630533.0,,,,,,,,,,,,
157,PT01M26.00S,2023-11-15T04:10:47.4Z,1,REGULAR,block,,[],1630533,,,1610612747,33,23,2023-11-15T04:10:50Z,1560000,False,,,0,,Z. Williams BLOCK (1 BLK),[1630533],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Right,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,
158,PT01M23.00S,2023-11-15T04:10:50.4Z,1,REGULAR,rebound,offensive,[],1630559,,,1610612747,33,23,2023-11-15T04:10:56Z,1570000,False,,,0,,A. Reaves REBOUND (Off:1 Def:1),[1630559],1610612747.0,LAL,,,,,,,Mid-Range,8-16 Right,,,,Reaves,A. Reaves,,,,,,156.0,2.0,1.0,1.0,,,,,,,,
159,PT01M21.00S,2023-11-15T04:10:52.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626174,7.276609724047319,94.36274509803921,1610612747,33,23,2023-11-15T04:11:02Z,1580000,False,-222.0,16.0,1,left,MISS C. Wood 3PT,[1626174],1610612747.0,LAL,,,,,,,Left Corner 3,24+ Left,22.24,Missed,,Wood,C. Wood,,,,,,,,,,,,,,,,,
160,PT01M19.00S,2023-11-15T04:10:54.6Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612763,33,23,2023-11-15T04:11:02Z,1590000,False,,,0,,L. Kennard REBOUND (Off:1 Def:2),[1628379],1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,,,,Kennard,L. Kennard,,,,,,159.0,3.0,2.0,1.0,,,,,,,,
161,PT01M12.00S,2023-11-15T04:11:02.1Z,1,REGULAR,3pt,Jump Shot,[],1631223,75.73915900131406,90.68627450980392,1610612763,33,26,2023-11-15T04:11:07Z,1600000,False,203.0,176.0,1,right,D. Roddy 26' 3PT  (3 PTS) (J. Jackson Jr. 2 AST),"[1631223, 1628991]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,26.87,Made,3.0,Roddy,D. Roddy,J. Jackson Jr.,1628991.0,2.0,,,,,,,,,,,,,,
163,PT00M55.40S,2023-11-15T04:11:19.4Z,1,REGULAR,2pt,Jump Shot,[],1629060,20.68002628120894,49.754901960784316,1610612747,35,26,2023-11-15T04:11:28Z,1620000,False,1.0,142.0,1,left,R. Hachimura 14' pullup Jump Shot (7 PTS) (A. Reaves 2 AST),"[1629060, 1630559]",1610612747.0,LAL,pullup,,,,,,Mid-Range,8-16 Center,14.19,Made,7.0,Hachimura,R. Hachimura,A. Reaves,1630559.0,2.0,,,,,,,,,,,,,,
164,PT00M42.70S,2023-11-15T04:11:34.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,83.49211563731932,41.666666666666664,1610612763,35,26,2023-11-15T04:11:59Z,1630000,False,-42.0,103.0,1,right,MISS L. Kennard 11' fadeaway Shot,[1628379],1610612763.0,MEM,fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,11.08,Missed,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
166,PT00M42.70S,2023-11-15T04:11:34.0Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612747,35,26,2023-11-15T04:11:38Z,1640000,False,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612747.0,LAL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Prince,T. Prince,,,,,,164.0,2.0,2.0,0.0,,,,,,,,
167,PT00M33.70S,2023-11-15T04:11:43.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,9.379106438896187,49.50980392156863,1610612747,35,26,2023-11-15T04:11:47Z,1650000,False,2.0,36.0,1,left,MISS A. Reaves driving Layup,[1630559],1610612747.0,LAL,driving,,,,,,Restricted Area,0-8 Center,3.58,Missed,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,
168,PT00M33.70S,2023-11-15T04:11:43.6Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,35,26,2023-11-15T04:11:47Z,1660000,False,,,0,,A. Davis REBOUND (Off:2 Def:3),[203076],1610612747.0,LAL,,,,,,,Restricted Area,0-8 Center,,,,Davis,A. Davis,,,,,,167.0,5.0,3.0,2.0,,,,,,,,
169,PT00M33.70S,2023-11-15T04:11:46.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",203076,5.590000152587891,50.0,1610612747,37,26,2023-11-15T04:15:08Z,1670000,False,0.0,0.0,1,left,A. Davis tip DUNK (10 PTS),[203076],1610612747.0,LAL,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,10.0,Davis,A. Davis,,,,,,,,,,,,,,,,,
170,PT00M16.30S,2023-11-15T04:12:02.9Z,1,REGULAR,foul,personal,[],1627752,,,1610612763,37,26,2023-11-15T04:15:32Z,1680000,False,,,0,,T. Prince personal FOUL (1 PF),"[1627752, 1628991]",1610612747.0,LAL,,,,,,,Restricted Area,0-8 Center,,,,Prince,T. Prince,,,,,,,,,,1629178.0,,1.0,0.0,Jackson Jr.,1628991.0,,
172,PT00M16.30S,2023-11-15T04:12:32.3Z,1,REGULAR,substitution,out,[],1630559,,,1610612763,37,26,2023-11-15T04:12:36Z,1700000,False,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,,,,,,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,
173,PT00M16.30S,2023-11-15T04:12:32.3Z,1,REGULAR,substitution,out,[],1630583,,,1610612763,37,26,2023-11-15T04:12:36Z,1710000,False,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,,,,,,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
174,PT00M16.30S,2023-11-15T04:12:32.3Z,1,REGULAR,substitution,in,[],1629629,,,1610612763,37,26,2023-11-15T04:12:36Z,1720000,False,,,0,,SUB in: C. Reddish,[1629629],1610612747.0,LAL,,,,,,,,,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,
175,PT00M16.30S,2023-11-15T04:12:32.3Z,1,REGULAR,substitution,in,[],1630214,,,1610612763,37,26,2023-11-15T04:12:36Z,1730000,False,,,0,,SUB in: X. Tillman,[1630214],1610612763.0,MEM,,,,,,,,,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,
176,PT00M05.20S,2023-11-15T04:13:07.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,92.0335085413929,56.127450980392155,1610612763,37,26,2023-11-15T04:13:44Z,1740000,False,31.0,22.0,1,right,MISS L. Kennard driving bank Shot,[1628379],1610612763.0,MEM,driving bank,,,,,,Restricted Area,0-8 Center,3.79,Missed,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
