actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
81,PT04M26.00S,2024-03-09T03:29:51.6Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,16,19,2024-03-09T03:29:53Z,810000,False,,,0,,M. Beasley REBOUND (Off:0 Def:2),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),8-16 Center,,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,,
82,PT04M15.00S,2024-03-09T03:30:02.8Z,1,REGULAR,2pt,Jump Shot,[],1626171,25.54204993429697,51.96078431372549,1610612749,16,21,2024-03-09T03:30:53Z,820000,False,-10.0,188.0,1,left,B. Portis 18' pullup Jump Shot (2 PTS) (D. Lillard 3 AST),"[1626171, 203081]",1610612749.0,MIL,pullup,,,Portis,B. Portis,,,,,Mid-Range,16-24 Center,18.79,Made,2.0,,,,,,,D. Lillard,203081.0,3.0,,,,,,,,
84,PT03M55.00S,2024-03-09T03:30:21.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,86.38304862023654,52.69607843137255,1610612747,16,21,2024-03-09T03:30:26Z,840000,False,13.0,75.0,1,right,MISS A. Davis 7' turnaround Shot,[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,7.67,Missed,,,,,,,,,,,,,,,,,,
85,PT03M52.00S,2024-03-09T03:30:24.8Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,16,21,2024-03-09T03:30:26Z,850000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,In The Paint (Non-RA),0-8 Center,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,
86,PT03M44.00S,2024-03-09T03:30:32.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,11.744415243101187,60.53921568627451,1610612749,16,21,2024-03-09T03:30:36Z,860000,False,-53.0,58.0,1,left,MISS B. Portis 7' step back Shot,[1626171],1610612749.0,MIL,step back,,,Portis,B. Portis,,,,,In The Paint (Non-RA),0-8 Center,7.83,Missed,,,,,,,,,,,,,,,,,,
87,PT03M42.00S,2024-03-09T03:30:34.4Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,16,21,2024-03-09T03:30:36Z,870000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,
88,PT03M37.00S,2024-03-09T03:30:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,92.29632063074901,55.63725490196079,1610612747,18,21,2024-03-09T03:30:59Z,880000,False,28.0,20.0,1,right,A. Davis driving reverse Layup (8 PTS) (S. Dinwiddie 1 AST),"[203076, 203915]",1610612747.0,LAL,driving reverse,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,3.45,Made,8.0,,,,,,,S. Dinwiddie,203915.0,1.0,,,,,,,,
90,PT03M29.00S,2024-03-09T03:30:52.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,18,21,2024-03-09T03:30:52Z,900000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M29.00S,2024-03-09T03:33:52.5Z,1,REGULAR,substitution,out,[],1630559,,,1610612749,18,21,2024-03-09T03:34:26Z,910000,False,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M29.00S,2024-03-09T03:33:52.5Z,1,REGULAR,substitution,out,[],203915,,,1610612749,18,21,2024-03-09T03:34:26Z,920000,False,,,0,,SUB out: S. Dinwiddie,[203915],1610612747.0,LAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M29.00S,2024-03-09T03:33:52.5Z,1,REGULAR,substitution,in,[],1626156,,,1610612749,18,21,2024-03-09T03:34:26Z,930000,False,,,0,,SUB in: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M29.00S,2024-03-09T03:33:52.5Z,1,REGULAR,substitution,in,[],1629629,,,1610612749,18,21,2024-03-09T03:34:26Z,940000,False,,,0,,SUB in: C. Reddish,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M20.00S,2024-03-09T03:34:44.7Z,1,REGULAR,2pt,Jump Shot,[],203081,21.59986859395532,73.77450980392157,1610612749,18,21,2024-03-09T03:34:49Z,950000,False,-119.0,151.0,1,left,MISS D. Lillard 19' step back Shot,[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Left Center,19.18,Missed,,,,,,,,,,,,,,,,,,
96,PT03M17.00S,2024-03-09T03:34:47.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,18,21,2024-03-09T03:34:49Z,960000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left Center,,,,95.0,2.0,2.0,0.0,,,,,,,,,,,,,
97,PT03M07.00S,2024-03-09T03:34:57.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,86.25164257555848,50.49019607843137,1610612747,18,21,2024-03-09T03:35:02Z,970000,False,2.0,77.0,1,right,MISS D. Russell 7' driving floating Shot,[1626156],1610612747.0,LAL,driving floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,7.67,Missed,,,,,,,,,,,,,,,,,,
98,PT03M04.00S,2024-03-09T03:35:00.4Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,18,21,2024-03-09T03:35:02Z,980000,False,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,In The Paint (Non-RA),0-8 Center,,,,97.0,2.0,2.0,0.0,,,,,,,,,,,,,
99,PT02M53.00S,2024-03-09T03:35:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627736,12.532851511169525,51.470588235294116,1610612749,18,21,2024-03-09T03:35:15Z,990000,False,-7.0,65.0,1,left,MISS M. Beasley 6' driving floating Shot,[1627736],1610612749.0,MIL,driving floating,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,6.57,Missed,,,,,,,,,,,,,,,,,,
100,PT02M50.00S,2024-03-09T03:35:13.9Z,1,REGULAR,rebound,offensive,[],1627736,,,1610612749,18,21,2024-03-09T03:35:13Z,1000000,False,,,0,,M. Beasley REBOUND (Off:1 Def:2),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,,,,99.0,3.0,2.0,1.0,,,,,,,,,,,,,
101,PT02M50.00S,2024-03-09T03:35:13.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627736,5.590000152587891,50.0,1610612749,18,23,2024-03-09T03:35:17Z,1010000,False,0.0,0.0,1,left,M. Beasley putback Layup (8 PTS),[1627736],1610612749.0,MIL,putback,,,Beasley,M. Beasley,,,,,Restricted Area,0-8 Center,0.0,Made,8.0,,,,,,,,,,,,,,,,,
103,PT02M24.00S,2024-03-09T03:35:58.4Z,1,REGULAR,3pt,Jump Shot,[],1627752,80.86399474375821,95.09803921568627,1610612747,18,23,2024-03-09T03:36:04Z,1030000,False,225.0,127.0,1,right,MISS T. Prince 25' 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,25.9,Missed,,,,,,,,,,,,,,,,,,
104,PT02M21.00S,2024-03-09T03:36:01.4Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,18,23,2024-03-09T03:36:04Z,1040000,False,,,0,,B. Portis REBOUND (Off:0 Def:3),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Right Center,,,,103.0,3.0,3.0,0.0,,,,,,,,,,,,,
105,PT02M16.00S,2024-03-09T03:36:07.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626192,25.147831800262807,13.725490196078425,1610612749,18,23,2024-03-09T03:36:13Z,1050000,False,181.0,184.0,1,left,MISS P. Connaughton 25' running 3PT,[1626192],1610612749.0,MIL,running,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Right Center,25.83,Missed,,,,,,,,,,,,,,,,,,
106,PT02M13.00S,2024-03-09T03:36:10.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,18,23,2024-03-09T03:36:13Z,1060000,False,,,0,,A. Davis REBOUND (Off:0 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Right Center,,,,105.0,3.0,3.0,0.0,,,,,,,,,,,,,
107,PT01M55.00S,2024-03-09T03:36:27.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,93.2161629434954,51.22549019607843,1610612747,20,23,2024-03-09T03:36:31Z,1070000,False,6.0,11.0,1,right,A. Davis driving DUNK (10 PTS) (D. Russell 1 AST),"[203076, 1626156]",1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.28,Made,10.0,,,,,,,D. Russell,1626156.0,1.0,,,,,,,,
109,PT01M38.00S,2024-03-09T03:36:44.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,9.641918528252305,55.88235294117647,1610612749,20,25,2024-03-09T03:36:47Z,1090000,False,-29.0,38.0,1,left,D. Lillard driving Layup (2 PTS),[203081],1610612749.0,MIL,driving,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,4.81,Made,2.0,,,,,,,,,,,,,,,,,
110,PT01M29.00S,2024-03-09T03:36:54.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629629,92.29632063074901,52.450980392156865,1610612747,22,25,2024-03-09T03:37:02Z,1100000,False,12.0,20.0,1,right,C. Reddish cutting Layup (2 PTS) (D. Russell 2 AST),"[1629629, 1626156]",1610612747.0,LAL,cutting,,,Reddish,C. Reddish,,,,,Restricted Area,0-8 Center,2.34,Made,2.0,,,,,,,D. Russell,1626156.0,2.0,,,,,,,,
112,PT01M18.00S,2024-03-09T03:37:04.2Z,1,REGULAR,3pt,Jump Shot,[],201572,28.170170827858072,17.892156862745097,1610612749,22,28,2024-03-09T03:37:08Z,1120000,False,161.0,212.0,1,left,B. Lopez 26' 3PT  (8 PTS) (D. Lillard 4 AST),"[201572, 203081]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,26.61,Made,8.0,,,,,,,D. Lillard,203081.0,4.0,,,,,,,,
114,PT01M05.00S,2024-03-09T03:37:17.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629637,93.08475689881735,49.26470588235294,1610612747,24,28,2024-03-09T03:37:21Z,1140000,False,-4.0,13.0,1,right,J. Hayes cutting DUNK (2 PTS) (D. Russell 3 AST),"[1629637, 1626156]",1610612747.0,LAL,cutting,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,1.3,Made,2.0,,,,,,,D. Russell,1626156.0,3.0,,,,,,,,
116,PT00M48.90S,2024-03-09T03:37:43.3Z,1,REGULAR,3pt,Jump Shot,[],1626171,31.586727989487514,77.94117647058823,1610612749,24,28,2024-03-09T03:37:48Z,1160000,False,-140.0,244.0,1,left,MISS B. Portis 28' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,28.15,Missed,,,,,,,,,,,,,,,,,,
117,PT00M45.70S,2024-03-09T03:37:46.5Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612747,24,28,2024-03-09T03:37:48Z,1170000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,,116.0,1.0,1.0,0.0,,,,,,,,,,,,,
118,PT00M38.50S,2024-03-09T03:37:53.6Z,1,REGULAR,turnover,lost ball,[],1626156,,,1610612747,24,28,2024-03-09T03:37:57Z,1180000,False,,,0,,D. Russell lost ball TURNOVER (1 TO),"[1626156, 1627736]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,,,,,,,,,,Beasley,1627736.0
119,PT00M38.50S,2024-03-09T03:37:53.6Z,1,REGULAR,steal,,[],1627736,,,1610612749,24,28,2024-03-09T03:37:55Z,1190000,False,,,0,,M. Beasley STEAL (1 STL),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
120,PT00M35.80S,2024-03-09T03:37:57.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626171,6.093955321944804,51.71568627450981,1610612749,24,30,2024-03-09T03:38:03Z,1200000,False,-9.0,5.0,1,left,B. Portis running DUNK (4 PTS) (M. Beasley 1 AST),"[1626171, 1627736]",1610612749.0,MIL,running,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,0.98,Made,4.0,,,,,,,M. Beasley,1627736.0,1.0,,,,,,,,
122,PT00M26.10S,2024-03-09T03:38:16.3Z,1,REGULAR,foul,personal,[],1627736,,,1610612747,24,30,2024-03-09T03:38:21Z,1220000,False,,,0,,M. Beasley personal FOUL (1 PF),"[1627736, 1626156]",1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1629178.0,,,,,1.0,0.0,Russell,1626156.0,,,,
124,PT00M26.10S,2024-03-09T03:38:24.1Z,1,REGULAR,substitution,out,[],1627736,,,1610612747,24,30,2024-03-09T03:38:29Z,1240000,False,,,0,,SUB out: M. Beasley,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT00M26.10S,2024-03-09T03:38:24.1Z,1,REGULAR,substitution,out,[],201572,,,1610612747,24,30,2024-03-09T03:38:29Z,1250000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT00M26.10S,2024-03-09T03:38:24.1Z,1,REGULAR,substitution,in,[],203507,,,1610612747,24,30,2024-03-09T03:38:29Z,1260000,False,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT00M26.10S,2024-03-09T03:38:24.1Z,1,REGULAR,substitution,in,[],201976,,,1610612747,24,30,2024-03-09T03:38:29Z,1270000,False,,,0,,SUB in: P. Beverley,[201976],1610612749.0,MIL,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT00M19.60S,2024-03-09T03:38:48.9Z,1,REGULAR,3pt,Jump Shot,[],1626156,66.40932982917215,49.26470588235294,1610612747,27,30,2024-03-09T03:38:53Z,1280000,False,-4.0,263.0,1,right,D. Russell 26' 3PT step back (5 PTS),[1626156],1610612747.0,LAL,step back,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,26.33,Made,5.0,,,,,,,,,,,,,,,,,
129,PT00M03.80S,2024-03-09T03:39:15.8Z,1,REGULAR,foul,personal,[],1626156,,,1610612749,27,30,2024-03-09T03:39:21Z,1290000,False,,,0,,D. Russell personal FOUL (2 PF),"[1626156, 203081]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,,,,,,,,1628953.0,,,,,2.0,0.0,Lillard,203081.0,,,,
131,PT00M03.80S,2024-03-09T03:39:27.0Z,1,REGULAR,substitution,out,[],1626156,,,1610612749,27,30,2024-03-09T03:39:30Z,1310000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT00M03.80S,2024-03-09T03:39:27.0Z,1,REGULAR,substitution,in,[],1631108,,,1610612749,27,30,2024-03-09T03:39:30Z,1320000,False,,,0,,SUB in: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT00M00.60S,2024-03-09T03:39:50.1Z,1,REGULAR,3pt,Jump Shot,[],203081,9.904730617608408,96.32352941176471,1610612749,27,30,2024-03-09T03:40:30Z,1330000,False,-232.0,41.0,1,left,MISS D. Lillard step back 3PT,[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Left Corner 3,24+ Left,23.51,Missed,,,,,,,,,,,,,,,,,,
134,PT00M00.10S,2024-03-09T03:39:50.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,27,30,2024-03-09T03:40:30Z,1340000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Left Corner 3,24+ Left,,,,133.0,,,,,,,,,,,,,,,,
135,PT00M00.00S,2024-03-09T03:39:52.5Z,1,REGULAR,period,end,[],0,,,1610612749,27,30,2024-03-09T03:39:52Z,1350000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT12M00.00S,2024-03-09T03:42:57.8Z,2,REGULAR,substitution,out,['startperiod'],203076,,,1610612749,27,30,2024-03-09T03:43:28Z,1360000,False,,,0,,SUB out: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT12M00.00S,2024-03-09T03:42:57.8Z,2,REGULAR,substitution,out,['startperiod'],1629629,,,1610612749,27,30,2024-03-09T03:43:28Z,1370000,False,,,0,,SUB out: C. Reddish,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT12M00.00S,2024-03-09T03:42:57.8Z,2,REGULAR,substitution,out,['startperiod'],203081,,,1610612749,27,30,2024-03-09T03:43:28Z,1380000,False,,,0,,SUB out: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2024-03-09T03:42:57.8Z,2,REGULAR,substitution,in,['startperiod'],1629060,,,1610612749,27,30,2024-03-09T03:43:28Z,1390000,False,,,0,,SUB in: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2024-03-09T03:42:57.8Z,2,REGULAR,substitution,in,['startperiod'],1626156,,,1610612749,27,30,2024-03-09T03:43:28Z,1400000,False,,,0,,SUB in: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2024-03-09T03:42:57.8Z,2,REGULAR,substitution,in,['startperiod'],201568,,,1610612749,27,30,2024-03-09T03:43:28Z,1410000,False,,,0,,SUB in: D. Gallinari,[201568],1610612749.0,MIL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2024-03-09T03:43:31.4Z,2,REGULAR,period,start,[],0,,,1610612747,27,30,2024-03-09T03:43:31Z,1420000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT11M38.00S,2024-03-09T03:43:52.4Z,2,REGULAR,2pt,Jump Shot,[],1629060,92.95335085413929,78.18627450980392,1610612747,29,30,2024-03-09T03:43:56Z,1430000,False,141.0,14.0,1,right,R. Hachimura 14' pullup Jump Shot (4 PTS),[1629060],1610612747.0,LAL,pullup,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Right,14.16,Made,4.0,,,,,,,,,,,,,,,,,
144,PT11M19.00S,2024-03-09T03:44:12.0Z,2,REGULAR,2pt,Jump Shot,[],1626171,11.350197109067011,74.01960784313725,1610612749,29,30,2024-03-09T03:44:36Z,1440000,False,-120.0,54.0,1,left,MISS B. Portis 13' turnaround fadeaway Shot,[1626171],1610612749.0,MIL,turnaround fadeaway,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,13.18,Missed,,,,,,,,,,,,,,,,,,
145,PT11M16.00S,2024-03-09T03:44:15.0Z,2,REGULAR,rebound,defensive,[],1627752,,,1610612747,29,30,2024-03-09T03:44:17Z,1450000,False,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Mid-Range,8-16 Left,,,,144.0,2.0,2.0,0.0,,,,,,,,,,,,,
146,PT11M08.00S,2024-03-09T03:44:22.7Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1627752,93.2161629434954,63.48039215686275,1610612747,29,30,2024-03-09T03:44:27Z,1460000,False,67.0,11.0,1,right,MISS T. Prince 6' turnaround Hook,[1627752],1610612747.0,LAL,turnaround,,,Prince,T. Prince,,,,,In The Paint (Non-RA),0-8 Center,6.83,Missed,,,,,,,,,,,,,,,,,,
147,PT11M08.00S,2024-03-09T03:44:22.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612747,29,30,2024-03-09T03:44:27Z,1470000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,146.0,,,,,,,,,,,,,,,,
149,PT11M00.00S,2024-03-09T03:44:45.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629060,82.57227332457293,39.950980392156865,1610612747,29,30,2024-03-09T03:45:25Z,1490000,False,-50.0,111.0,1,right,MISS R. Hachimura 12' turnaround fadeaway Shot,[1629060],1610612747.0,LAL,turnaround fadeaway,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,12.21,Missed,,,,,,,,,,,,,,,,,,
150,PT10M58.00S,2024-03-09T03:44:47.5Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,29,30,2024-03-09T03:44:50Z,1500000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:5),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,149.0,5.0,5.0,0.0,,,,,,,,,,,,,
151,PT10M53.00S,2024-03-09T03:44:52.9Z,2,REGULAR,3pt,Jump Shot,[],201568,25.804862023653087,86.76470588235294,1610612749,29,30,2024-03-09T03:45:23Z,1510000,False,-184.0,190.0,1,left,MISS D. Gallinari 26' 3PT,[201568],1610612749.0,MIL,,,,Gallinari,D. Gallinari,,,,,Above the Break 3,24+ Left Center,26.44,Missed,,,,,,,,,,,,,,,,,,
152,PT10M49.00S,2024-03-09T03:44:56.9Z,2,REGULAR,rebound,defensive,[],1627752,,,1610612747,29,30,2024-03-09T03:45:08Z,1520000,False,,,0,,T. Prince REBOUND (Off:0 Def:3),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,,151.0,3.0,3.0,0.0,,,,,,,,,,,,,
153,PT10M32.00S,2024-03-09T03:45:12.9Z,2,REGULAR,3pt,Jump Shot,[],1626156,68.11760840998686,22.303921568627445,1610612747,32,30,2024-03-09T03:46:16Z,1530000,False,-138.0,247.0,1,right,D. Russell 28' 3PT pullup (8 PTS) (T. Prince 1 AST),"[1626156, 1627752]",1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,28.34,Made,8.0,,,,,,,T. Prince,1627752.0,1.0,,,,,,,,
155,PT10M10.00S,2024-03-09T03:45:35.3Z,2,REGULAR,3pt,Jump Shot,[],1626192,21.59986859395532,91.91176470588235,1610612749,32,33,2024-03-09T03:45:40Z,1550000,False,-210.0,151.0,1,left,P. Connaughton 25' 3PT  (3 PTS) (G. Antetokounmpo 3 AST),"[1626192, 203507]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Left Center,25.8,Made,3.0,,,,,,,G. Antetokounmpo,203507.0,3.0,,,,,,,,
157,PT09M51.00S,2024-03-09T03:45:56.7Z,2,REGULAR,foul,personal,['2freethrow'],201568,,,1610612747,32,33,2024-03-09T03:46:03Z,1570000,False,,,0,,D. Gallinari shooting personal FOUL (1 PF) (Hayes 2 FT),"[201568, 1629637]",1610612749.0,MIL,shooting,,,Gallinari,D. Gallinari,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1628953.0,,,,,1.0,0.0,Hayes,1629637.0,,,,
159,PT09M51.00S,2024-03-09T03:46:25.6Z,2,REGULAR,freethrow,1 of 2,[],1629637,,,1610612747,32,33,2024-03-09T03:46:48Z,1590000,False,,,0,,MISS J. Hayes Free Throw 1 of 2,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
160,PT09M51.00S,2024-03-09T03:46:25.6Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612747,32,33,2024-03-09T03:46:48Z,1600000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,159.0,,,,,,,,,,,,,,,,
161,PT09M51.00S,2024-03-09T03:46:25.6Z,2,REGULAR,freethrow,2 of 2,[],1629637,,,1610612747,32,33,2024-03-09T03:46:48Z,1610000,False,,,0,,MISS J. Hayes Free Throw 2 of 2,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
162,PT09M46.00S,2024-03-09T03:46:30.6Z,2,REGULAR,rebound,offensive,[],1626156,,,1610612747,32,33,2024-03-09T03:47:21Z,1620000,False,,,0,,D. Russell REBOUND (Off:2 Def:0),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,161.0,2.0,0.0,2.0,,,,,,,,,,,,,
163,PT09M42.00S,2024-03-09T03:46:51.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626156,66.40932982917215,35.5392156862745,1610612747,35,33,2024-03-09T03:46:55Z,1630000,False,-72.0,263.0,1,right,D. Russell 27' 3PT step back (11 PTS),[1626156],1610612747.0,LAL,step back,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,27.3,Made,11.0,,,,,,,,,,,,,,,,,
208,PT09M15.00S,2024-03-09T03:47:10.0Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612749,35,33,2024-03-09T03:54:49Z,1645000,False,,,0,,MIL shot clock Team TURNOVER,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,1629178.0,,,,,,,,,,,,
