actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
84,PT05M28.00S,2026-03-22T02:23:01.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628398,34.37910643889619,29.411764705882355,1610612749,14,7,2026-03-22T02:23:05Z,830000,False,103.0,271.0,1,left,MISS K. Kuzma 28' 3PT,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,28.96,Missed,,,,,,,,,,,,,,,,,,
85,PT05M24.00S,2026-03-22T02:23:05.8Z,1,REGULAR,rebound,defensive,[],1642853,,,1610612756,14,7,2026-03-22T02:23:05Z,840000,False,,,0,,R. Fleming REBOUND (Off:0 Def:1),[1642853],1610612756.0,PHX,,,,Fleming,R. Fleming,,,,,Above the Break 3,24+ Right Center,,,,,84.0,,,,,1.0,1.0,0.0,,,,,,,,
87,PT05M14.00S,2026-03-22T02:23:18.4Z,1,REGULAR,substitution,out,[],1631157,,,1610612756,14,7,2026-03-22T02:23:29Z,860000,False,,,0,,SUB out: R. Rollins,[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M14.00S,2026-03-22T02:23:18.4Z,1,REGULAR,substitution,in,[],1630560,,,1610612756,14,7,2026-03-22T02:23:29Z,870000,False,,,0,,SUB in: C. Thomas,[1630560],1610612749.0,MIL,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M12.00S,2026-03-22T02:23:36.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,93.51182654402102,57.35294117647059,1610612756,14,7,2026-03-22T02:32:40Z,880000,False,37.0,8.0,1,right,MISS D. Booker cutting Layup - blocked,"[1626164, 1628398]",1610612756.0,PHX,cutting,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,3.78,Missed,Kuzma,1628398.0,,,,,,,,,,,,,,,,
90,PT05M12.00S,2026-03-22T02:23:36.1Z,1,REGULAR,block,,[],1628398,,,1610612756,14,7,2026-03-22T02:23:38Z,890000,False,,,0,,K. Kuzma BLOCK (1 BLK),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
91,PT05M10.00S,2026-03-22T02:23:38.1Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,14,7,2026-03-22T02:23:40Z,900000,False,,,0,,A. Green REBOUND (Off:0 Def:1),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Restricted Area,0-8 Center,,,,,89.0,,,,,1.0,1.0,0.0,,,,,,,,
92,PT05M04.00S,2026-03-22T02:23:45.5Z,1,REGULAR,3pt,Jump Shot,[],1631260,22.421156373193167,7.598039215686274,1610612749,14,7,2026-03-22T02:23:48Z,910000,False,212.0,158.0,1,left,MISS A. Green 26' 3PT,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Right Center,26.46,Missed,,,,,,,,,,,,,,,,,,
93,PT05M01.00S,2026-03-22T02:23:48.5Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,14,7,2026-03-22T02:23:48Z,920000,False,,,0,,R. Dunn REBOUND (Off:0 Def:1),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Right Center,,,,,92.0,,,,,1.0,1.0,0.0,,,,,,,,
94,PT04M51.00S,2026-03-22T02:23:58.5Z,1,REGULAR,3pt,Jump Shot,[],1642853,92.19776609724047,97.30392156862744,1610612756,14,7,2026-03-22T02:24:03Z,930000,False,237.0,21.0,1,right,MISS R. Fleming 3PT,[1642853],1610612756.0,PHX,,,,Fleming,R. Fleming,,,,,Right Corner 3,24+ Right,23.74,Missed,,,,,,,,,,,,,,,,,,
95,PT04M48.00S,2026-03-22T02:24:01.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,14,7,2026-03-22T02:24:03Z,940000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Right Corner 3,24+ Right,,,,,94.0,,,,,,,,,,,,,,,
97,PT04M48.00S,2026-03-22T02:24:04.8Z,1,REGULAR,substitution,out,[],1628398,,,1610612756,14,7,2026-03-22T02:24:13Z,960000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M48.00S,2026-03-22T02:24:04.8Z,1,REGULAR,substitution,in,[],1631250,,,1610612756,14,7,2026-03-22T02:24:13Z,970000,False,,,0,,SUB in: P. Nance,[1631250],1610612749.0,MIL,,,,Nance,P. Nance,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M43.00S,2026-03-22T02:24:27.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626164,89.96386333771353,16.911764705882355,1610612756,14,7,2026-03-22T02:24:32Z,980000,False,-165.0,42.0,1,right,MISS D. Booker 17' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left,17.06,Missed,,,,,,,,,,,,,,,,,,
100,PT04M40.00S,2026-03-22T02:24:30.5Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,14,7,2026-03-22T02:24:32Z,990000,False,,,0,,A. Green REBOUND (Off:0 Def:2),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Mid-Range,16-24 Left,,,,,99.0,,,,,2.0,2.0,0.0,,,,,,,,
101,PT04M27.00S,2026-03-22T02:24:42.7Z,1,REGULAR,2pt,Jump Shot,[],1631172,20.318659658344284,26.47058823529412,1610612749,14,7,2026-03-22T02:24:46Z,1000000,False,118.0,138.0,1,left,MISS O. Dieng 18' pullup Shot,[1631172],1610612749.0,MIL,pullup,,,Dieng,O. Dieng,,,,,Mid-Range,16-24 Right Center,18.17,Missed,,,,,,,,,,,,,,,,,,
102,PT04M24.00S,2026-03-22T02:24:45.7Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,14,7,2026-03-22T02:25:54Z,1010000,False,,,0,,R. Dunn REBOUND (Off:0 Def:2),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Mid-Range,16-24 Right Center,,,,,101.0,,,,,2.0,2.0,0.0,,,,,,,,
103,PT04M16.00S,2026-03-22T02:24:54.0Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612756,14,7,2026-03-22T02:24:58Z,1020000,False,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630224, 1630560]",1610612756.0,PHX,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,1.0,,,,,Thomas,1630560.0
104,PT04M16.00S,2026-03-22T02:24:54.0Z,1,REGULAR,steal,,[],1630560,,,1610612749,14,7,2026-03-22T02:24:55Z,1030000,False,,,0,,C. Thomas STEAL (1 STL),[1630560],1610612749.0,MIL,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
105,PT04M08.00S,2026-03-22T02:25:02.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631260,33.327858081471746,20.833333333333336,1610612749,14,7,2026-03-22T02:25:06Z,1040000,False,146.0,261.0,1,left,MISS A. Green 29' 3PT,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Right Center,29.88,Missed,,,,,,,,,,,,,,,,,,
106,PT04M06.00S,2026-03-22T02:25:04.0Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,14,7,2026-03-22T02:25:06Z,1050000,False,,,0,,R. Dunn REBOUND (Off:0 Def:3),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Right Center,,,,,105.0,,,,,3.0,3.0,0.0,,,,,,,,
107,PT03M56.00S,2026-03-22T02:25:15.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,94.03745072273325,58.82352941176471,1610612756,14,7,2026-03-22T02:25:18Z,1060000,False,44.0,4.0,1,right,MISS J. Green driving Layup,[1630224],1610612756.0,PHX,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,4.42,Missed,,,,,,,,,,,,,,,,,,
108,PT03M54.00S,2026-03-22T02:25:17.1Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,14,7,2026-03-22T02:25:18Z,1070000,False,,,0,,A. Green REBOUND (Off:0 Def:3),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,107.0,,,,,3.0,3.0,0.0,,,,,,,,
109,PT03M50.00S,2026-03-22T02:25:21.9Z,1,REGULAR,foul,personal,['2freethrow'],1642853,,,1610612749,14,7,2026-03-22T02:25:29Z,1080000,False,,,0,,R. Fleming shooting personal FOUL (1 PF) (Sims 2 FT),"[1642853, 1630579]",1610612756.0,PHX,shooting,,,Fleming,R. Fleming,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628951.0,,1.0,0.0,Sims,1630579.0,,
111,PT03M50.00S,2026-03-22T02:25:58.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630579,,,1610612749,14,8,2026-03-22T02:37:37Z,1100000,False,,,0,,J. Sims Free Throw 1 of 2 (1 PTS),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,,,,Made,,,,1.0,,,,,,,,,,,,,,
112,PT03M50.00S,2026-03-22T02:26:00.2Z,1,REGULAR,substitution,out,[],1630224,,,1610612749,14,8,2026-03-22T02:26:05Z,1110000,False,,,0,,SUB out: J. Green,[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M50.00S,2026-03-22T02:26:00.2Z,1,REGULAR,substitution,in,[],1631123,,,1610612749,14,8,2026-03-22T02:26:05Z,1120000,False,,,0,,SUB in: J. Bouyea,[1631123],1610612756.0,PHX,,,,Bouyea,J. Bouyea,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M50.00S,2026-03-22T02:25:58.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630579,,,1610612749,14,9,2026-03-22T02:37:37Z,1130000,False,,,0,,J. Sims Free Throw 2 of 2 (2 PTS),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,,,,Made,,,,2.0,,,,,,,,,,,,,,
115,PT03M36.00S,2026-03-22T02:26:43.6Z,1,REGULAR,3pt,Jump Shot,[],1642346,94.56307490144546,97.05882352941177,1610612756,17,9,2026-03-22T02:26:48Z,1140000,False,235.0,-1.0,1,right,R. Dunn 3PT  (3 PTS) (D. Booker 2 AST),"[1642346, 1626164]",1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Right Corner 3,24+ Right,23.53,Made,,,,3.0,D. Booker,1626164.0,2.0,,,,,,,,,,,
117,PT03M13.00S,2026-03-22T02:27:06.0Z,1,REGULAR,turnover,lost ball,[],1630560,,,1610612749,17,9,2026-03-22T02:27:13Z,1160000,False,,,0,,C. Thomas lost ball TURNOVER (1 TO),"[1630560, 1642346]",1610612749.0,MIL,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,1.0,,,,,Dunn,1642346.0
118,PT03M13.00S,2026-03-22T02:27:06.0Z,1,REGULAR,steal,,[],1642346,,,1610612756,17,9,2026-03-22T04:01:39Z,1170000,False,,,0,,R. Dunn STEAL (1 STL),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
119,PT03M08.00S,2026-03-22T02:27:10.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631123,94.1688567674113,51.71568627450981,1610612756,19,9,2026-03-22T02:27:17Z,1180000,False,9.0,2.0,1,right,J. Bouyea running Layup (2 PTS) (R. Dunn 1 AST),"[1631123, 1642346]",1610612756.0,PHX,running,,,Bouyea,J. Bouyea,,,,,Restricted Area,0-8 Center,0.89,Made,,,,2.0,R. Dunn,1642346.0,1.0,,,,,,,,,,,
121,PT02M54.00S,2026-03-22T02:27:25.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631172,7.30946123521682,45.09803921568628,1610612749,19,9,2026-03-22T02:27:32Z,1200000,False,25.0,16.0,1,left,MISS O. Dieng driving Layup - blocked,"[1631172, 1642853]",1610612749.0,MIL,driving,,,Dieng,O. Dieng,,,,,Restricted Area,0-8 Center,2.94,Missed,Fleming,1642853.0,,,,,,,,,,,,,,,,
122,PT02M54.00S,2026-03-22T02:27:25.3Z,1,REGULAR,block,,[],1642853,,,1610612749,19,9,2026-03-22T02:27:28Z,1210000,False,,,0,,R. Fleming BLOCK (1 BLK),[1642853],1610612756.0,PHX,,,,Fleming,R. Fleming,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
123,PT02M54.00S,2026-03-22T02:27:25.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,19,9,2026-03-22T02:27:32Z,1220000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,,,121.0,,,,,,,,,,,,,,,
125,PT02M54.00S,2026-03-22T02:27:31.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,19,9,2026-03-22T02:27:31Z,1240000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M54.00S,2026-03-22T02:29:22.2Z,1,REGULAR,substitution,out,[],1626164,,,1610612749,19,9,2026-03-22T02:30:05Z,1250000,False,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M54.00S,2026-03-22T02:29:22.2Z,1,REGULAR,substitution,in,[],1631221,,,1610612749,19,9,2026-03-22T02:30:05Z,1260000,False,,,0,,SUB in: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M46.00S,2026-03-22T02:30:32.2Z,1,REGULAR,foul,personal,[],1631123,,,1610612749,19,9,2026-03-22T02:30:36Z,1270000,False,,,0,,J. Bouyea personal FOUL (1 PF),"[1631123, 1630579]",1610612756.0,PHX,,,,Bouyea,J. Bouyea,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,1627541.0,,1.0,0.0,Sims,1630579.0,,
130,PT02M34.00S,2026-03-22T02:31:01.4Z,1,REGULAR,foul,personal,['2freethrow'],1642853,,,1610612749,19,9,2026-03-22T02:31:10Z,1290000,False,,,0,,R. Fleming shooting personal FOUL (2 PF) (Thomas 2 FT),"[1642853, 1630560]",1610612756.0,PHX,shooting,,,Fleming,R. Fleming,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,201246.0,,2.0,0.0,Thomas,1630560.0,,
132,PT02M34.00S,2026-03-22T02:31:25.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630560,,,1610612749,19,10,2026-03-22T02:31:25Z,1310000,False,,,0,,C. Thomas Free Throw 1 of 2 (1 PTS),[1630560],1610612749.0,MIL,,,,Thomas,C. Thomas,,,,,,,,Made,,,,1.0,,,,,,,,,,,,,,
133,PT02M34.00S,2026-03-22T02:31:27.1Z,1,REGULAR,substitution,out,[],1631172,,,1610612749,19,10,2026-03-22T02:31:31Z,1320000,False,,,0,,SUB out: O. Dieng,[1631172],1610612749.0,MIL,,,,Dieng,O. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M34.00S,2026-03-22T02:31:27.1Z,1,REGULAR,substitution,in,[],1629018,,,1610612749,19,10,2026-03-22T02:31:31Z,1330000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M34.00S,2026-03-22T02:31:44.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630560,,,1610612749,19,11,2026-03-22T02:31:44Z,1340000,False,,,0,,C. Thomas Free Throw 2 of 2 (2 PTS),[1630560],1610612749.0,MIL,,,,Thomas,C. Thomas,,,,,,,,Made,,,,2.0,,,,,,,,,,,,,,
136,PT02M22.00S,2026-03-22T02:32:01.2Z,1,REGULAR,3pt,Jump Shot,[],1631221,72.7496714848883,12.254901960784313,1610612756,22,11,2026-03-22T02:32:05Z,1350000,False,-189.0,204.0,1,right,C. Gillespie 27' 3PT  (6 PTS) (J. Bouyea 1 AST),"[1631221, 1631123]",1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,27.77,Made,,,,6.0,J. Bouyea,1631123.0,1.0,,,,,,,,,,,
138,PT02M00.00S,2026-03-22T02:32:23.0Z,1,REGULAR,2pt,Jump Shot,[],1630560,8.886333771353483,14.215686274509803,1610612749,22,11,2026-03-22T02:32:30Z,1370000,False,179.0,31.0,1,left,MISS C. Thomas 18' Jump Shot,[1630560],1610612749.0,MIL,,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Right,18.16,Missed,,,,,,,,,,,,,,,,,,
139,PT01M56.00S,2026-03-22T02:32:27.0Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612749,22,11,2026-03-22T02:32:30Z,1380000,False,,,0,,J. Sims REBOUND (Off:2 Def:0),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,Mid-Range,16-24 Right,,,,,138.0,,,,,2.0,0.0,2.0,,,,,,,,
140,PT01M55.00S,2026-03-22T02:32:28.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630560,10.5946123521682,24.019607843137255,1610612749,22,13,2026-03-22T02:42:20Z,1390000,False,130.0,47.0,1,left,C. Thomas 13' floating Jump Shot (4 PTS) (J. Sims 1 AST),"[1630560, 1630579]",1610612749.0,MIL,floating,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Right,13.82,Made,,,,4.0,J. Sims,1630579.0,1.0,,,,,,,,,,,
142,PT01M43.00S,2026-03-22T02:32:40.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631221,85.75886990801577,62.745098039215684,1610612756,24,13,2026-03-22T02:32:45Z,1410000,False,64.0,81.0,1,right,C. Gillespie 10' step back Jump Shot (8 PTS),[1631221],1610612756.0,PHX,step back,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),8-16 Right,10.34,Made,,,,8.0,,,,,,,,,,,,,,
143,PT01M19.00S,2026-03-22T02:33:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,11.514454664914586,38.48039215686275,1610612749,24,13,2026-03-22T02:33:09Z,1420000,False,58.0,56.0,1,left,MISS C. Thomas 8' driving floating Shot - blocked,"[1630560, 1642863]",1610612749.0,MIL,driving floating,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),0-8 Center,8.01,Missed,Maluach,1642863.0,,,,,,,,,,,,,,,,
144,PT01M19.00S,2026-03-22T02:33:04.3Z,1,REGULAR,block,,[],1642863,,,1610612749,24,13,2026-03-22T02:33:07Z,1430000,False,,,0,,K. Maluach BLOCK (1 BLK),[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
145,PT01M19.00S,2026-03-22T02:33:04.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,24,13,2026-03-22T02:33:09Z,1440000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,143.0,,,,,,,,,,,,,,,
147,PT01M12.00S,2026-03-22T02:33:28.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629018,24.655059132720105,66.42156862745098,1610612749,24,13,2026-03-22T02:33:41Z,1460000,False,-82.0,179.0,1,left,MISS G. Trent Jr. 19' Jump Shot,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left Center,19.72,Missed,,,,,,,,,,,,,,,,,,
148,PT01M08.00S,2026-03-22T02:33:32.2Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,24,13,2026-03-22T02:33:32Z,1470000,False,,,0,,R. Dunn REBOUND (Off:0 Def:4),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Mid-Range,16-24 Left Center,,,,,147.0,,,,,4.0,4.0,0.0,,,,,,,,
149,PT00M59.10S,2026-03-22T02:33:41.9Z,1,REGULAR,3pt,Jump Shot,[],1631221,63.15703022339028,18.137254901960784,1610612756,24,13,2026-03-22T02:34:02Z,1480000,False,-159.0,294.0,1,right,MISS C. Gillespie 33' 3PT,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,33.42,Missed,,,,,,,,,,,,,,,,,,
150,PT00M57.80S,2026-03-22T02:33:45.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,24,13,2026-03-22T02:33:45Z,1490000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,149.0,,,,,,,,,,,,,,,
151,PT00M57.80S,2026-03-22T02:33:46.4Z,1,REGULAR,foul,personal,[],1642863,,,1610612749,24,13,2026-03-22T02:33:57Z,1500000,False,,,0,,K. Maluach loose ball personal FOUL (1 PF),"[1642863, 1630560]",1610612756.0,PHX,loose ball,,,Maluach,K. Maluach,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627541.0,,1.0,0.0,Thomas,1630560.0,,
153,PT00M42.40S,2026-03-22T02:34:13.2Z,1,REGULAR,3pt,Jump Shot,[],1629018,34.90473061760841,47.30392156862745,1610612749,24,13,2026-03-22T02:34:20Z,1520000,False,13.0,276.0,1,left,MISS G. Trent Jr. 27' 3PT,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Center,27.59,Missed,,,,,,,,,,,,,,,,,,
154,PT00M39.40S,2026-03-22T02:34:16.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,24,13,2026-03-22T02:34:20Z,1530000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Center,,,,,153.0,,,,,,,,,,,,,,,
155,PT00M39.40S,2026-03-22T02:34:19.6Z,1,REGULAR,foul,personal,[],1631260,,,1610612756,24,13,2026-03-22T02:34:33Z,1540000,False,,,0,,A. Green loose ball personal FOUL (1 PF),"[1631260, 1631123]",1610612749.0,MIL,loose ball,,,Green,A. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1628951.0,,1.0,0.0,Bouyea,1631123.0,,
157,PT00M39.40S,2026-03-22T02:35:01.6Z,1,REGULAR,substitution,out,[],1631123,,,1610612756,24,13,2026-03-22T02:35:04Z,1560000,False,,,0,,SUB out: J. Bouyea,[1631123],1610612756.0,PHX,,,,Bouyea,J. Bouyea,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M39.40S,2026-03-22T02:35:01.6Z,1,REGULAR,substitution,in,[],1630224,,,1610612756,24,13,2026-03-22T02:35:04Z,1570000,False,,,0,,SUB in: J. Green,[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M39.40S,2026-03-22T02:35:01.6Z,1,REGULAR,substitution,out,[],1642346,,,1610612756,24,13,2026-03-22T02:35:15Z,1580000,False,,,0,,SUB out: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M39.40S,2026-03-22T02:35:01.6Z,1,REGULAR,substitution,in,[],1630587,,,1610612756,24,13,2026-03-22T02:35:15Z,1590000,False,,,0,,SUB in: I. Livers,[1630587],1610612756.0,PHX,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M22.70S,2026-03-22T02:35:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642853,92.85479632063075,48.77450980392157,1610612756,26,13,2026-03-22T02:35:56Z,1600000,False,-6.0,15.0,1,right,R. Fleming cutting finger roll Layup (2 PTS) (C. Gillespie 2 AST),"[1642853, 1631221]",1610612756.0,PHX,cutting finger roll,,,Fleming,R. Fleming,,,,,Restricted Area,0-8 Center,1.59,Made,,,,2.0,C. Gillespie,1631221.0,2.0,,,,,,,,,,,
163,PT00M02.20S,2026-03-22T02:36:06.0Z,1,REGULAR,2pt,Jump Shot,[],1631260,20.71287779237845,69.11764705882352,1610612749,26,15,2026-03-22T02:36:11Z,1620000,False,-96.0,142.0,1,left,A. Green 17' pullup Jump Shot (2 PTS),[1631260],1610612749.0,MIL,pullup,,,Green,A. Green,,,,,Mid-Range,16-24 Left Center,17.13,Made,,,,2.0,,,,,,,,,,,,,,
164,PT00M00.00S,2026-03-22T02:36:11.4Z,1,REGULAR,heave,,[],0,,,1610612756,26,15,2026-03-22T02:36:19Z,1630000,False,,,0,,PHX Heave,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Right Center,63.97,,,,,,,,,,,,,,,,,,,
165,PT00M00.00S,2026-03-22T02:36:13.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,26,15,2026-03-22T02:36:13Z,1640000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,164.0,,,,,,,,,,,,,,,
166,PT00M00.00S,2026-03-22T02:36:15.8Z,1,REGULAR,period,end,[],0,,,1610612756,26,15,2026-03-22T02:36:15Z,1650000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2026-03-22T02:38:12.2Z,2,REGULAR,substitution,out,['startperiod'],1642863,,,1610612756,26,15,2026-03-22T02:38:40Z,1660000,False,,,0,,SUB out: K. Maluach,[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2026-03-22T02:38:12.2Z,2,REGULAR,substitution,in,['startperiod'],1642345,,,1610612756,26,15,2026-03-22T02:38:40Z,1670000,False,,,0,,SUB in: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2026-03-22T02:38:54.3Z,2,REGULAR,period,start,[],0,,,1610612749,26,15,2026-03-22T02:38:54Z,1680000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
