actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
80,PT04M44.00S,2026-03-06T02:22:21.9Z,1,REGULAR,3pt,Jump Shot,[],1626220,32.14520367936925,16.176470588235293,1610612756,9,18,2026-03-06T02:22:28Z,800000,False,169.0,250.0,1,left,MISS R. O'Neale 30' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,30.16,Missed,,,,,,,,,,,,,,,,,,
81,PT04M41.00S,2026-03-06T02:22:24.9Z,1,REGULAR,rebound,defensive,[],1642950,,,1610612741,9,18,2026-03-06T02:22:28Z,810000,False,,,0,,L. Olbrich REBOUND (Off:0 Def:1),[1642950],1610612741.0,CHI,,,,Olbrich,L. Olbrich,,,,,Above the Break 3,24+ Right Center,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,
82,PT04M35.00S,2026-03-06T02:22:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,93.24901445466492,51.9607843137255,1610612741,9,20,2026-03-06T02:24:05Z,820000,False,10.0,11.0,1,right,C. Sexton driving Layup (8 PTS),[1629012],1610612741.0,CHI,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,8.0,,,,,,,,,,,,,
83,PT04M35.00S,2026-03-06T02:22:35.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,9,20,2026-03-06T02:22:35Z,830000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M35.00S,2026-03-06T02:24:47.6Z,1,REGULAR,substitution,out,[],1626220,,,1610612756,9,20,2026-03-06T02:25:14Z,840000,False,,,0,,SUB out: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M35.00S,2026-03-06T02:24:47.6Z,1,REGULAR,substitution,out,[],1630224,,,1610612756,9,20,2026-03-06T02:25:14Z,850000,False,,,0,,SUB out: J. Green,[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M35.00S,2026-03-06T02:24:47.6Z,1,REGULAR,substitution,out,[],1627824,,,1610612756,9,20,2026-03-06T02:25:14Z,860000,False,,,0,,SUB out: G. Yabusele,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M35.00S,2026-03-06T02:24:47.6Z,1,REGULAR,substitution,in,[],1642346,,,1610612756,9,20,2026-03-06T02:25:14Z,870000,False,,,0,,SUB in: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M35.00S,2026-03-06T02:24:47.6Z,1,REGULAR,substitution,in,[],1642853,,,1610612756,9,20,2026-03-06T02:25:14Z,880000,False,,,0,,SUB in: R. Fleming,[1642853],1610612756.0,PHX,,,,Fleming,R. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M35.00S,2026-03-06T02:24:47.6Z,1,REGULAR,substitution,in,[],1630208,,,1610612756,9,20,2026-03-06T02:25:14Z,890000,False,,,0,,SUB in: N. Richards,[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M22.00S,2026-03-06T02:25:41.8Z,1,REGULAR,3pt,Jump Shot,[],1628960,25.04927726675427,85.04901960784314,1610612756,9,20,2026-03-06T02:25:47Z,900000,False,-175.0,183.0,1,left,MISS G. Allen 25' pullup 3PT,[1628960],1610612756.0,PHX,pullup,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,25.33,Missed,,,,,,,,,,,,,,,,,,
91,PT04M21.00S,2026-03-06T02:25:42.8Z,1,REGULAR,rebound,offensive,[],1642346,,,1610612756,9,20,2026-03-06T02:33:17Z,910000,False,,,0,,R. Dunn REBOUND (Off:1 Def:0),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Left Center,,,90.0,1.0,0.0,1.0,,,,,,,,,,,,,,
92,PT04M21.00S,2026-03-06T02:25:46.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642346,5.590000152587891,50.0,1610612756,11,20,2026-03-06T02:33:23Z,920000,False,0.0,0.0,1,left,R. Dunn tip Layup (2 PTS),[1642346],1610612756.0,PHX,tip,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
93,PT04M07.00S,2026-03-06T02:25:55.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642265,92.9862023653088,58.82352941176471,1610612741,11,22,2026-03-06T02:34:00Z,930000,False,44.0,13.0,1,right,R. Dillingham driving finger roll Layup (4 PTS),[1642265],1610612741.0,CHI,driving finger roll,,,Dillingham,R. Dillingham,,,,,In The Paint (Non-RA),0-8 Center,4.61,Made,,,,,4.0,,,,,,,,,,,,,
94,PT03M55.00S,2026-03-06T02:26:08.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,32.40801576872536,39.46078431372549,1610612756,11,22,2026-03-06T02:26:15Z,940000,False,53.0,252.0,1,left,MISS G. Allen 25' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,25.75,Missed,,,,,,,,,,,,,,,,,,
95,PT03M51.00S,2026-03-06T02:26:12.2Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612741,11,22,2026-03-06T02:26:15Z,950000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,,,
96,PT03M41.00S,2026-03-06T02:26:22.8Z,1,REGULAR,3pt,Jump Shot,[],1630171,70.64717477003943,14.705882352941178,1610612741,11,22,2026-03-06T02:26:28Z,960000,False,-176.0,223.0,1,right,MISS I. Okoro 28' 3PT,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,28.47,Missed,,,,,,,,,,,,,,,,,,
97,PT03M37.00S,2026-03-06T02:26:26.8Z,1,REGULAR,rebound,defensive,[],1642863,,,1610612756,11,22,2026-03-06T02:26:28Z,970000,False,,,0,,K. Maluach REBOUND (Off:1 Def:2),[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,Above the Break 3,24+ Left Center,,,96.0,3.0,2.0,1.0,,,,,,,,,,,,,,
98,PT03M27.00S,2026-03-06T02:26:36.8Z,1,REGULAR,3pt,Jump Shot,[],1628960,22.28975032851511,89.2156862745098,1610612756,11,22,2026-03-06T02:34:46Z,980000,False,-196.0,157.0,1,left,MISS G. Allen 25' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,25.12,Missed,,,,,,,,,,,,,,,,,,
99,PT03M23.00S,2026-03-06T02:26:40.8Z,1,REGULAR,rebound,offensive,[],1642863,,,1610612756,11,22,2026-03-06T02:26:44Z,990000,False,,,0,,K. Maluach REBOUND (Off:2 Def:2),[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,Above the Break 3,24+ Left Center,,,98.0,4.0,2.0,2.0,,,,,,,,,,,,,,
100,PT03M23.00S,2026-03-06T02:26:43.0Z,1,REGULAR,foul,personal,['2freethrow'],1630208,,,1610612756,11,22,2026-03-06T02:26:54Z,1000000,False,,,0,,N. Richards shooting personal FOUL (1 PF) (Maluach 2 FT),"[1630208, 1642863]",1610612741.0,CHI,shooting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,201639.0,,,,1.0,0.0,Maluach,1642863.0,,,,,
102,PT03M23.00S,2026-03-06T02:27:09.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1642863,,,1610612756,11,22,2026-03-06T02:27:34Z,1020000,False,,,0,,MISS K. Maluach Free Throw 1 of 2,[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
103,PT03M23.00S,2026-03-06T02:27:09.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612756,11,22,2026-03-06T02:27:34Z,1030000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,,
104,PT03M23.00S,2026-03-06T02:27:09.8Z,1,REGULAR,substitution,out,[],1626164,,,1610612756,11,22,2026-03-06T02:27:19Z,1040000,False,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M23.00S,2026-03-06T02:27:09.8Z,1,REGULAR,substitution,out,[],1629012,,,1610612756,11,22,2026-03-06T02:27:19Z,1050000,False,,,0,,SUB out: C. Sexton,[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M23.00S,2026-03-06T02:27:09.8Z,1,REGULAR,substitution,out,[],1630171,,,1610612756,11,22,2026-03-06T02:27:19Z,1060000,False,,,0,,SUB out: I. Okoro,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M23.00S,2026-03-06T02:27:09.8Z,1,REGULAR,substitution,in,[],1631221,,,1610612756,11,22,2026-03-06T02:27:19Z,1070000,False,,,0,,SUB in: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M23.00S,2026-03-06T02:27:09.8Z,1,REGULAR,substitution,in,[],1631159,,,1610612756,11,22,2026-03-06T02:27:19Z,1080000,False,,,0,,SUB in: L. Miller,[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M23.00S,2026-03-06T02:27:09.8Z,1,REGULAR,substitution,in,[],1630200,,,1610612756,11,22,2026-03-06T02:27:19Z,1090000,False,,,0,,SUB in: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M23.00S,2026-03-06T02:27:09.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1642863,,,1610612756,11,22,2026-03-06T02:27:34Z,1100000,False,,,0,,MISS K. Maluach Free Throw 2 of 2,[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
111,PT03M20.00S,2026-03-06T02:27:12.1Z,1,REGULAR,rebound,offensive,[],1642346,,,1610612756,11,22,2026-03-06T02:27:34Z,1110000,False,,,0,,R. Dunn REBOUND (Off:2 Def:0),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,110.0,2.0,0.0,2.0,,,,,,,,,,,,,,
112,PT03M12.00S,2026-03-06T02:27:39.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642853,14.931011826544022,3.6764705882352944,1610612756,14,22,2026-03-06T02:27:46Z,1120000,False,232.0,88.0,1,left,R. Fleming 24' 3PT  (3 PTS) (G. Allen 1 AST),"[1642853, 1628960]",1610612756.0,PHX,,,,Fleming,R. Fleming,,,,,Right Corner 3,24+ Right,24.77,Made,,,,,3.0,,,,,,,,,,,G. Allen,1628960.0,1.0
114,PT02M56.00S,2026-03-06T02:27:55.1Z,1,REGULAR,2pt,Jump Shot,[],1630200,82.9993429697766,67.8921568627451,1610612741,14,22,2026-03-06T02:37:48Z,1140000,False,89.0,107.0,1,right,MISS T. Jones 13' driving floating Shot,[1630200],1610612741.0,CHI,driving floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,13.97,Missed,,,,,,,,,,,,,,,,,,
115,PT02M54.00S,2026-03-06T02:27:57.1Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,14,22,2026-03-06T02:28:00Z,1150000,False,,,0,,R. Dunn REBOUND (Off:2 Def:1),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Mid-Range,8-16 Right,,,114.0,3.0,1.0,2.0,,,,,,,,,,,,,,
116,PT02M43.00S,2026-03-06T02:28:07.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642863,7.5722733245729295,48.28431372549019,1610612756,16,22,2026-03-06T02:38:16Z,1160000,False,9.0,19.0,1,left,K. Maluach DUNK (2 PTS) (R. Fleming 1 AST),"[1642863, 1642853]",1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,Restricted Area,0-8 Center,2.06,Made,,,,,2.0,,,,,,,,,,,R. Fleming,1642853.0,1.0
118,PT02M32.00S,2026-03-06T02:28:19.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642265,84.05059132720105,46.81372549019608,1610612741,16,24,2026-03-06T02:28:26Z,1180000,False,-16.0,97.0,1,right,R. Dillingham 9' driving floating bank Jump Shot (6 PTS),[1642265],1610612741.0,CHI,driving floating bank,,,Dillingham,R. Dillingham,,,,,In The Paint (Non-RA),8-16 Center,9.87,Made,,,,,6.0,,,,,,,,,,,,,
119,PT02M10.00S,2026-03-06T02:28:40.7Z,1,REGULAR,2pt,Jump Shot,[],1631221,9.017739816031538,71.56862745098039,1610612756,16,24,2026-03-06T02:28:50Z,1190000,False,-108.0,32.0,1,left,MISS C. Gillespie 11' fadeaway Shot,[1631221],1610612756.0,PHX,fadeaway,,,Gillespie,C. Gillespie,,,,,Mid-Range,8-16 Left,11.25,Missed,,,,,,,,,,,,,,,,,,
120,PT02M07.00S,2026-03-06T02:28:43.7Z,1,REGULAR,rebound,defensive,[],1631159,,,1610612741,16,24,2026-03-06T02:28:46Z,1200000,False,,,0,,L. Miller REBOUND (Off:0 Def:4),[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,Mid-Range,8-16 Left,,,119.0,4.0,4.0,0.0,,,,,,,,,,,,,,
121,PT01M54.00S,2026-03-06T02:28:57.2Z,1,REGULAR,3pt,Jump Shot,[],1642265,72.22404730617609,17.401960784313726,1610612741,16,24,2026-03-06T02:39:08Z,1210000,False,-163.0,209.0,1,right,MISS R. Dillingham 26' 3PT,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,Above the Break 3,24+ Left Center,26.47,Missed,,,,,,,,,,,,,,,,,,
122,PT01M50.00S,2026-03-06T02:29:01.2Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,16,24,2026-03-06T02:29:03Z,1220000,False,,,0,,R. Dunn REBOUND (Off:2 Def:2),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Left Center,,,121.0,4.0,2.0,2.0,,,,,,,,,,,,,,
123,PT01M45.00S,2026-03-06T02:29:09.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'defensivegoaltending']",1642346,8.229303547963205,47.30392156862745,1610612756,18,24,2026-03-06T02:40:49Z,1230000,False,13.0,25.0,1,left,R. Dunn running Layup (4 PTS),[1642346],1610612756.0,PHX,running,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,2.83,Made,,,,,4.0,,,,,,,,,,,,,
124,PT01M45.00S,2026-03-06T02:29:12.3Z,1,REGULAR,violation,defensive goaltending,[],1630208,,,1610612756,18,24,2026-03-06T02:40:05Z,1240000,False,,,0,,N. Richards defensive goaltending VIOLATION,[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,,,,,201639.0,,,,,,,,,,,,
125,PT01M45.00S,2026-03-06T02:29:35.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612741,18,24,2026-03-06T02:39:57Z,1325000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M45.00S,2026-03-06T02:30:40.1Z,1,REGULAR,substitution,out,[],1642863,,,1610612741,18,24,2026-03-06T02:31:02Z,1327500,False,,,0,,SUB out: K. Maluach,[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M45.00S,2026-03-06T02:30:40.1Z,1,REGULAR,substitution,out,[],1642265,,,1610612741,18,24,2026-03-06T02:31:02Z,1328750,False,,,0,,SUB out: R. Dillingham,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M45.00S,2026-03-06T02:30:40.1Z,1,REGULAR,substitution,out,[],1642950,,,1610612741,18,24,2026-03-06T02:31:02Z,1329375,False,,,0,,SUB out: L. Olbrich,[1642950],1610612741.0,CHI,,,,Olbrich,L. Olbrich,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M45.00S,2026-03-06T02:30:40.1Z,1,REGULAR,substitution,in,[],1642345,,,1610612741,18,24,2026-03-06T02:31:02Z,1329687,False,,,0,,SUB in: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M45.00S,2026-03-06T02:30:40.1Z,1,REGULAR,substitution,in,[],1627824,,,1610612741,18,24,2026-03-06T02:31:02Z,1329843,False,,,0,,SUB in: G. Yabusele,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M45.00S,2026-03-06T02:30:40.1Z,1,REGULAR,substitution,in,[],1642530,,,1610612741,18,24,2026-03-06T02:31:02Z,1329921,False,,,0,,SUB in: Y. Kawamura,[1642530],1610612741.0,CHI,,,,Kawamura,Y. Kawamura,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M23.00S,2026-03-06T02:31:42.1Z,1,REGULAR,3pt,Jump Shot,[],1631159,72.61826544021025,79.90196078431373,1610612741,18,24,2026-03-06T02:31:52Z,1330000,False,150.0,205.0,1,right,MISS L. Miller 25' 3PT,[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,Above the Break 3,24+ Right Center,25.36,Missed,,,,,,,,,,,,,,,,,,
134,PT01M19.00S,2026-03-06T02:31:46.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,18,24,2026-03-06T02:31:52Z,1340000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,133.0,,,,,,,,,,,,,,,,,
136,PT01M13.00S,2026-03-06T02:32:06.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631159,88.12417871222075,2.941176470588235,1610612741,18,24,2026-03-06T02:32:11Z,1360000,False,-235.0,59.0,1,right,MISS L. Miller 24' 3PT,[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,Left Corner 3,24+ Left,24.26,Missed,,,,,,,,,,,,,,,,,,
137,PT01M08.00S,2026-03-06T02:32:11.6Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,18,24,2026-03-06T02:32:11Z,1370000,False,,,0,,O. Ighodaro REBOUND (Off:1 Def:1),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Left Corner 3,24+ Left,,,136.0,2.0,1.0,1.0,,,,,,,,,,,,,,
138,PT01M03.00S,2026-03-06T02:32:16.1Z,1,REGULAR,3pt,Jump Shot,[],1631221,32.40801576872536,53.92156862745098,1610612756,18,24,2026-03-06T02:32:20Z,1380000,False,-20.0,252.0,1,left,MISS C. Gillespie 25' pullup 3PT,[1631221],1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Center,25.29,Missed,,,,,,,,,,,,,,,,,,
139,PT01M00.00S,2026-03-06T02:32:19.1Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612741,18,24,2026-03-06T02:32:20Z,1390000,False,,,0,,N. Richards REBOUND (Off:0 Def:2),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,138.0,2.0,2.0,0.0,,,,,,,,,,,,,,
140,PT00M53.90S,2026-03-06T02:32:26.1Z,1,REGULAR,3pt,Jump Shot,[],1642530,80.50262812089356,4.901960784313726,1610612741,18,24,2026-03-06T02:32:31Z,1400000,False,-225.0,131.0,1,right,MISS Y. Kawamura 26' 3PT,[1642530],1610612741.0,CHI,,,,Kawamura,Y. Kawamura,,,,,Above the Break 3,24+ Left Center,26.07,Missed,,,,,,,,,,,,,,,,,,
141,PT00M50.00S,2026-03-06T02:32:30.0Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,18,24,2026-03-06T02:32:31Z,1410000,False,,,0,,R. Dunn REBOUND (Off:2 Def:3),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Left Center,,,140.0,5.0,3.0,2.0,,,,,,,,,,,,,,
142,PT00M43.60S,2026-03-06T02:32:37.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642345,6.783837056504599,55.392156862745104,1610612756,20,24,2026-03-06T02:42:49Z,1420000,False,-27.0,11.0,1,left,O. Ighodaro driving Layup (2 PTS) (C. Gillespie 2 AST),"[1642345, 1631221]",1610612756.0,PHX,driving,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,2.93,Made,,,,,2.0,,,,,,,,,,,C. Gillespie,1631221.0,2.0
144,PT00M33.80S,2026-03-06T02:32:50.1Z,1,REGULAR,3pt,Jump Shot,[],1627824,77.61169513797634,9.558823529411764,1610612741,20,24,2026-03-06T02:43:01Z,1440000,False,-202.0,158.0,1,right,MISS G. Yabusele 25' 3PT,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
145,PT00M29.70S,2026-03-06T02:32:54.2Z,1,REGULAR,rebound,offensive,[],1642530,,,1610612741,20,24,2026-03-06T02:43:01Z,1450000,False,,,0,,Y. Kawamura REBOUND (Off:1 Def:0),[1642530],1610612741.0,CHI,,,,Kawamura,Y. Kawamura,,,,,Above the Break 3,24+ Left Center,,,144.0,1.0,0.0,1.0,,,,,,,,,,,,,,
146,PT00M28.00S,2026-03-06T02:32:55.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630200,65.78515111695138,50.98039215686274,1610612741,20,24,2026-03-06T02:32:59Z,1460000,False,5.0,269.0,1,right,MISS T. Jones 26' pullup 3PT,[1630200],1610612741.0,CHI,pullup,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,26.91,Missed,,,,,,,,,,,,,,,,,,
147,PT00M24.90S,2026-03-06T02:32:58.9Z,1,REGULAR,rebound,defensive,[],1642853,,,1610612756,20,24,2026-03-06T02:32:59Z,1470000,False,,,0,,R. Fleming REBOUND (Off:0 Def:1),[1642853],1610612756.0,PHX,,,,Fleming,R. Fleming,,,,,Above the Break 3,24+ Center,,,146.0,1.0,1.0,0.0,,,,,,,,,,,,,,
148,PT00M01.00S,2026-03-06T02:33:22.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612756,20,24,2026-03-06T02:33:37Z,1480000,False,,,0,,PHX shot clock Team TURNOVER,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,201639.0,,,,,,,,,,,,
149,PT00M00.20S,2026-03-06T02:33:47.2Z,1,REGULAR,foul,personal,[],1628960,,,1610612741,20,24,2026-03-06T02:34:08Z,1490000,False,,,0,,G. Allen personal FOUL (1 PF),"[1628960, 1630200]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,,1155.0,,,,1.0,0.0,Jones,1630200.0,,,,,
153,PT00M00.00S,2026-03-06T02:34:42.5Z,1,REGULAR,period,end,[],0,,,1610612741,20,24,2026-03-06T02:34:42Z,1530000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2026-03-06T02:37:09.9Z,2,REGULAR,period,start,[],0,,,1610612741,20,24,2026-03-06T02:37:09Z,1540000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT11M49.00S,2026-03-06T02:37:20.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,82.47371879106439,52.69607843137255,1610612741,20,26,2026-03-06T02:37:25Z,1550000,False,13.0,112.0,1,right,T. Jones 11' driving floating Jump Shot (5 PTS) (Y. Kawamura 1 AST),"[1630200, 1642530]",1610612741.0,CHI,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,11.3,Made,,,,,5.0,,,,,,,,,,,Y. Kawamura,1642530.0,1.0
156,PT11M26.00S,2026-03-06T02:37:42.5Z,2,REGULAR,turnover,bad pass,[],1642345,,,1610612756,20,26,2026-03-06T02:37:47Z,1560000,False,,,0,,O. Ighodaro bad pass TURNOVER (1 TO),"[1642345, 1630208]",1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,,,,,,,Richards,1630208.0,,,
157,PT11M26.00S,2026-03-06T02:37:42.5Z,2,REGULAR,steal,,[],1630208,,,1610612741,20,26,2026-03-06T02:37:45Z,1570000,False,,,0,,N. Richards STEAL (1 STL),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
158,PT11M20.00S,2026-03-06T02:37:51.1Z,2,REGULAR,turnover,out-of-bounds,[],1642530,,,1610612741,20,26,2026-03-06T02:38:00Z,1580000,False,,,0,,Y. Kawamura bad pass out-of-bounds TURNOVER (1 TO),[1642530],1610612741.0,CHI,bad pass,,,Kawamura,Y. Kawamura,,,,,Mid-Range,8-16 Left,,,,,,,,1155.0,1.0,,,,,,,,,,,
159,PT11M13.00S,2026-03-06T02:38:03.3Z,2,REGULAR,turnover,lost ball,[],1628960,,,1610612756,20,26,2026-03-06T02:38:07Z,1590000,False,,,0,,G. Allen lost ball TURNOVER (1 TO),"[1628960, 1630200]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,,,,,,,Jones,1630200.0,,,
160,PT11M13.00S,2026-03-06T02:38:03.3Z,2,REGULAR,steal,,[],1630200,,,1610612741,20,26,2026-03-06T02:38:06Z,1600000,False,,,0,,T. Jones STEAL (1 STL),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
161,PT11M08.00S,2026-03-06T02:38:11.6Z,2,REGULAR,foul,personal,['2freethrow'],1642346,,,1610612741,20,26,2026-03-06T02:38:20Z,1610000,False,,,0,,R. Dunn shooting personal FOUL (1 PF) (Richards 2 FT),"[1642346, 1630208]",1610612756.0,PHX,shooting,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1155.0,,,,1.0,0.0,Richards,1630208.0,,,,,
