actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
89,PT05M38.00S,2024-12-24T01:53:59.6Z,1,REGULAR,substitution,in,[],203915,,,1610612757,18,15,2024-12-24T01:54:20Z,890000,False,,,0,,SUB in: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M38.00S,2024-12-24T01:53:59.6Z,1,REGULAR,substitution,in,[],1629655,,,1610612757,18,15,2024-12-24T01:54:20Z,900000,False,,,0,,SUB in: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M38.00S,2024-12-24T01:54:22.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630703,,,1610612757,18,16,2024-12-24T01:54:22Z,910000,False,,,0,,S. Henderson Free Throw 2 of 2 (2 PTS),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,Made,,,,,,2.0,,,,,,,,,,,,
92,PT05M21.00S,2024-12-24T01:54:41.3Z,1,REGULAR,2pt,Jump Shot,[],203915,10.463206307490145,29.166666666666668,1610612742,18,16,2024-12-24T01:54:50Z,920000,False,104.0,46.0,1,left,MISS S. Dinwiddie 11' turnaround fadeaway bank Shot,[203915],1610612742.0,DAL,turnaround fadeaway bank,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,8-16 Right,11.39,Missed,,,,,,,,,,,,,,,,,,
93,PT05M18.00S,2024-12-24T01:54:44.3Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,18,16,2024-12-24T01:54:45Z,930000,False,,,0,,T. Camara REBOUND (Off:0 Def:3),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,8-16 Right,,,92.0,3.0,3.0,0.0,,,,,,,,,,,,,,
94,PT05M04.00S,2024-12-24T01:54:58.4Z,1,REGULAR,3pt,Jump Shot,[],1630166,78.13731931668858,90.68627450980392,1610612757,18,16,2024-12-24T01:55:03Z,940000,False,203.0,153.0,1,right,MISS D. Avdija 25' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,25.45,Missed,,,,,,,,,,,,,,,,,,
95,PT05M01.00S,2024-12-24T01:55:01.4Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,18,16,2024-12-24T01:55:03Z,950000,False,,,0,,D. Avdija REBOUND (Off:2 Def:0),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,94.0,2.0,0.0,2.0,,,,,,,,,,,,,,
96,PT04M59.00S,2024-12-24T01:55:03.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,93.77463863337714,54.41176470588235,1610612757,18,18,2024-12-24T01:55:06Z,960000,False,22.0,6.0,1,right,D. Avdija driving Layup (3 PTS),[1630166],1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.29,Made,,,,,,3.0,,,,,,,,,,,,
97,PT04M36.00S,2024-12-24T01:55:25.8Z,1,REGULAR,2pt,Jump Shot,[],1629656,13.87976346911958,74.50980392156863,1610612742,20,18,2024-12-24T01:55:30Z,970000,False,-123.0,78.0,1,left,Q. Grimes 14' pullup Jump Shot (2 PTS),[1629656],1610612742.0,DAL,pullup,,,Grimes,Q. Grimes,,,,,Mid-Range,8-16 Left,14.52,Made,,,,,,2.0,,,,,,,,,,,,
98,PT04M22.00S,2024-12-24T01:55:40.0Z,1,REGULAR,2pt,Jump Shot,[],1630703,80.55190538764782,68.65042892156863,1610612757,20,18,2024-12-24T01:55:55Z,980000,False,93.0,130.0,1,right,MISS S. Henderson 16' pullup Shot,[1630703],1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,Mid-Range,8-16 Right,16.03,Missed,,,,,,,,,,,,,,,,,,
99,PT04M20.00S,2024-12-24T01:55:42.0Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,20,18,2024-12-24T01:55:55Z,990000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Mid-Range,8-16 Right,,,98.0,1.0,1.0,0.0,,,,,,,,,,,,,,
100,PT04M17.00S,2024-12-24T01:55:45.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202681,28.203022339027594,79.16666666666666,1610612742,20,18,2024-12-24T02:03:47Z,1000000,False,-146.0,213.0,1,left,MISS K. Irving 25' running pullup 3PT,[202681],1610612742.0,DAL,running pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,25.78,Missed,,,,,,,,,,,,,,,,,,
101,PT04M14.00S,2024-12-24T01:55:48.4Z,1,REGULAR,rebound,offensive,[],202681,,,1610612742,20,18,2024-12-24T01:55:48Z,1010000,False,,,0,,K. Irving REBOUND (Off:1 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,,,100.0,2.0,1.0,1.0,,,,,,,,,,,,,,
102,PT04M10.00S,2024-12-24T01:55:55.0Z,1,REGULAR,foul,personal,['2freethrow'],1630703,,,1610612742,20,18,2024-12-24T01:56:05Z,1020000,False,,,0,,S. Henderson shooting personal FOUL (1 PF) (Gafford 2 FT),"[1630703, 1629655]",1610612757.0,POR,shooting,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,,,,,,,1627534.0,,,,,,,,1.0,0.0,Gafford,1629655.0,,
104,PT04M10.00S,2024-12-24T01:56:26.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629655,,,1610612742,21,18,2024-12-24T01:56:26Z,1040000,False,,,0,,D. Gafford Free Throw 1 of 2 (1 PTS),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,Made,,,,,,1.0,,,,,,,,,,,,
105,PT04M10.00S,2024-12-24T01:56:27.0Z,1,REGULAR,substitution,out,[],1629028,,,1610612742,21,18,2024-12-24T01:56:45Z,1050000,False,,,0,,SUB out: D. Ayton,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M10.00S,2024-12-24T01:56:27.0Z,1,REGULAR,substitution,out,[],203924,,,1610612742,21,18,2024-12-24T01:56:45Z,1060000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M10.00S,2024-12-24T01:56:27.0Z,1,REGULAR,substitution,in,[],1642270,,,1610612742,21,18,2024-12-24T01:56:45Z,1070000,False,,,0,,SUB in: D. Clingan,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M10.00S,2024-12-24T01:56:27.0Z,1,REGULAR,substitution,in,[],1629014,,,1610612742,21,18,2024-12-24T01:56:45Z,1080000,False,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M10.00S,2024-12-24T01:56:54.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629655,,,1610612742,22,18,2024-12-24T01:56:54Z,1090000,False,,,0,,D. Gafford Free Throw 2 of 2 (2 PTS),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,Made,,,,,,2.0,,,,,,,,,,,,
110,PT03M58.00S,2024-12-24T01:57:14.1Z,1,REGULAR,3pt,Jump Shot,[],1641739,78.44940867279895,10.56219362745098,1610612757,22,18,2024-12-24T01:57:23Z,1100000,False,-197.0,150.0,1,right,MISS T. Camara 24' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,24.78,Missed,,,,,,,,,,,,,,,,,,
111,PT03M56.00S,2024-12-24T01:57:16.1Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612742,22,18,2024-12-24T01:57:17Z,1110000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612742.0,DAL,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,,,110.0,1.0,1.0,0.0,,,,,,,,,,,,,,
112,PT03M49.00S,2024-12-24T01:57:22.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",202681,6.521024967148489,55.392156862745104,1610612742,24,18,2024-12-24T02:04:38Z,1120000,False,-27.0,9.0,1,left,K. Irving driving floating Jump Shot (6 PTS),[202681],1610612742.0,DAL,driving floating,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,2.84,Made,,,,,,6.0,,,,,,,,,,,,
113,PT03M33.00S,2024-12-24T01:57:38.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641739,93.51182654402102,47.05882352941176,1610612757,24,20,2024-12-24T01:57:43Z,1130000,False,-15.0,8.0,1,right,T. Camara cutting DUNK (2 PTS) (D. Avdija 1 AST),"[1641739, 1630166]",1610612757.0,POR,cutting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,1.7,Made,,,,,,2.0,D. Avdija,1630166.0,1.0,,,,,,,,,
115,PT03M09.00S,2024-12-24T01:58:03.3Z,1,REGULAR,3pt,Jump Shot,[],1629656,27.020367936925098,19.362745098039216,1610612742,24,20,2024-12-24T01:58:07Z,1150000,False,153.0,201.0,1,left,MISS Q. Grimes 25' 3PT,[1629656],1610612742.0,DAL,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,25.31,Missed,,,,,,,,,,,,,,,,,,
116,PT03M07.00S,2024-12-24T01:58:05.3Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,24,20,2024-12-24T01:58:07Z,1160000,False,,,0,,D. Avdija REBOUND (Off:2 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,115.0,3.0,1.0,2.0,,,,,,,,,,,,,,
117,PT03M04.00S,2024-12-24T01:58:12.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628467,,,1610612757,24,20,2024-12-24T01:58:18Z,1170000,False,,,0,,M. Kleber personal FOUL (1 PF) (Avdija 2 FT),"[1628467, 1630166]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Mid-Range,8-16 Left,,,,,,,1628481.0,,,,,,,,1.0,0.0,Avdija,1630166.0,,
119,PT03M04.00S,2024-12-24T01:58:44.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630166,,,1610612757,24,20,2024-12-24T01:58:44Z,1190000,False,,,0,,MISS D. Avdija Free Throw 1 of 2,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
120,PT03M04.00S,2024-12-24T01:58:44.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,24,20,2024-12-24T01:58:44Z,1200000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,
121,PT03M04.00S,2024-12-24T01:59:02.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630166,,,1610612757,24,21,2024-12-24T01:59:02Z,1210000,False,,,0,,D. Avdija Free Throw 2 of 2 (4 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,,,,,,4.0,,,,,,,,,,,,
122,PT02M51.00S,2024-12-24T01:59:17.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,7.046649145860711,49.50980392156863,1610612742,26,21,2024-12-24T01:59:22Z,1220000,False,2.0,14.0,1,left,D. Gafford driving DUNK (4 PTS),[1629655],1610612742.0,DAL,driving,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,,4.0,,,,,,,,,,,,
124,PT02M38.00S,2024-12-24T01:59:43.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,26,21,2024-12-24T01:59:43Z,1240000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M38.00S,2024-12-24T02:00:04.0Z,1,REGULAR,substitution,out,[],1629656,,,1610612757,26,21,2024-12-24T02:02:30Z,1250000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612742.0,DAL,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M38.00S,2024-12-24T02:00:04.0Z,1,REGULAR,substitution,out,[],202681,,,1610612757,26,21,2024-12-24T02:02:30Z,1260000,False,,,0,,SUB out: K. Irving,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M38.00S,2024-12-24T02:00:04.0Z,1,REGULAR,substitution,out,[],1641739,,,1610612757,26,21,2024-12-24T02:02:30Z,1270000,False,,,0,,SUB out: T. Camara,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M38.00S,2024-12-24T02:00:04.0Z,1,REGULAR,substitution,in,[],1630230,,,1610612757,26,21,2024-12-24T02:02:30Z,1280000,False,,,0,,SUB in: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M38.00S,2024-12-24T02:00:04.0Z,1,REGULAR,substitution,in,[],1629029,,,1610612757,26,21,2024-12-24T02:02:30Z,1290000,False,,,0,,SUB in: L. Dončić,[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M38.00S,2024-12-24T02:00:04.0Z,1,REGULAR,substitution,in,[],1630625,,,1610612757,26,21,2024-12-24T02:02:30Z,1300000,False,,,0,,SUB in: D. Banton,[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M26.00S,2024-12-24T02:02:57.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630230,,,1610612757,26,21,2024-12-24T02:03:04Z,1310000,False,,,0,,N. Marshall shooting personal FOUL (1 PF) (Banton 2 FT),"[1630230, 1630625]",1610612742.0,DAL,shooting,,,Marshall,N. Marshall,,,,,Mid-Range,8-16 Left,,,,,,,2882.0,,,,,,,,1.0,0.0,Banton,1630625.0,,
133,PT02M26.00S,2024-12-24T02:03:29.0Z,1,REGULAR,freethrow,1 of 2,[],1630625,,,1610612757,26,21,2024-12-24T02:03:29Z,1330000,False,,,0,,MISS D. Banton Free Throw 1 of 2,[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
134,PT02M26.00S,2024-12-24T02:03:29.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,26,21,2024-12-24T02:03:29Z,1340000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,
135,PT02M26.00S,2024-12-24T02:03:49.2Z,1,REGULAR,freethrow,2 of 2,[],1630625,,,1610612757,26,22,2024-12-24T02:03:49Z,1350000,False,,,0,,D. Banton Free Throw 2 of 2 (1 PTS),[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,,,,Made,,,,,,1.0,,,,,,,,,,,,
136,PT02M16.00S,2024-12-24T02:04:03.0Z,1,REGULAR,foul,personal,[],1630703,,,1610612742,26,22,2024-12-24T02:04:22Z,1360000,False,,,0,,S. Henderson personal FOUL (2 PF),"[1630703, 203915]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2882.0,,,,,,,,2.0,0.0,Dinwiddie,203915.0,,
138,PT02M08.00S,2024-12-24T02:04:28.6Z,1,REGULAR,3pt,Jump Shot,[],1628467,24.52365308804205,84.55882352941177,1610612742,26,22,2024-12-24T02:04:33Z,1380000,False,-173.0,178.0,1,left,MISS M. Kleber 24' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Above the Break 3,24+ Left Center,24.81,Missed,,,,,,,,,,,,,,,,,,
139,PT02M04.00S,2024-12-24T02:04:32.6Z,1,REGULAR,rebound,defensive,[],1630703,,,1610612757,26,22,2024-12-24T02:04:33Z,1390000,False,,,0,,S. Henderson REBOUND (Off:0 Def:1),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Left Center,,,138.0,1.0,1.0,0.0,,,,,,,,,,,,,,
140,PT01M56.00S,2024-12-24T02:04:41.1Z,1,REGULAR,3pt,Jump Shot,[],1630625,80.50262812089356,91.42156862745098,1610612757,26,22,2024-12-24T02:04:45Z,1400000,False,207.0,131.0,1,right,MISS D. Banton 24' 3PT,[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,Above the Break 3,24+ Right Center,24.49,Missed,,,,,,,,,,,,,,,,,,
141,PT01M54.00S,2024-12-24T02:04:43.4Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,26,22,2024-12-24T02:04:43Z,1410000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Right Center,,,140.0,1.0,0.0,1.0,,,,,,,,,,,,,,
142,PT01M43.00S,2024-12-24T02:04:53.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642270,89.43823915900131,55.63725490196079,1610612757,26,22,2024-12-24T02:08:51Z,1420000,False,28.0,47.0,1,right,MISS D. Clingan floating Shot,[1642270],1610612757.0,POR,floating,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,5.46,Missed,,,,,,,,,,,,,,,,,,
143,PT01M42.00S,2024-12-24T02:04:54.9Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,26,22,2024-12-24T02:04:59Z,1430000,False,,,0,,D. Gafford REBOUND (Off:0 Def:2),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,142.0,2.0,2.0,0.0,,,,,,,,,,,,,,
144,PT01M39.00S,2024-12-24T02:04:59.0Z,1,REGULAR,turnover,out-of-bounds,[],203915,,,1610612742,26,22,2024-12-24T02:05:09Z,1440000,False,,,0,,S. Dinwiddie bad pass out-of-bounds TURNOVER (1 TO),[203915],1610612742.0,DAL,bad pass,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,1.0,,,,,,,,
145,PT01M24.00S,2024-12-24T02:05:25.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629014,93.11760840998686,62.745098039215684,1610612757,26,24,2024-12-24T02:09:50Z,1450000,False,64.0,12.0,1,right,A. Simons 6' driving Layup (4 PTS),[1629014],1610612757.0,POR,driving,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,6.49,Made,,,,,,4.0,,,,,,,,,,,,
146,PT01M11.00S,2024-12-24T02:05:38.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629655,8.804204993429698,57.310814950980394,1610612742,28,24,2024-12-24T02:05:47Z,1460000,False,-37.0,30.0,1,left,D. Gafford driving floating bank Jump Shot (6 PTS) (L. Dončić 2 AST),"[1629655, 1629029]",1610612742.0,DAL,driving floating bank,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,4.75,Made,,,,,,6.0,L. Dončić,1629029.0,2.0,,,,,,,,,
148,PT00M46.60S,2024-12-24T02:06:03.6Z,1,REGULAR,2pt,Jump Shot,[],1629014,90.69070302233902,24.777879901960784,1610612757,28,24,2024-12-24T02:10:34Z,1480000,False,-126.0,35.0,1,right,MISS A. Simons 13' pullup Shot,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Mid-Range,8-16 Left,13.09,Missed,,,,,,,,,,,,,,,,,,
149,PT00M44.90S,2024-12-24T02:06:05.3Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,28,24,2024-12-24T02:06:10Z,1490000,False,,,0,,L. Dončić REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Left,,,148.0,3.0,3.0,0.0,,,,,,,,,,,,,,
150,PT00M39.60S,2024-12-24T02:06:10.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630230,7.703679369250986,50.98039215686274,1610612742,28,24,2024-12-24T02:06:26Z,1500000,False,-5.0,20.0,1,left,MISS N. Marshall running reverse Layup - blocked,"[1630230, 1630166]",1610612742.0,DAL,running reverse,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,2.05,Missed,,,,,,,,,,,,,,,,,Avdija,1630166.0
151,PT00M39.60S,2024-12-24T02:06:10.6Z,1,REGULAR,block,,[],1630166,,,1610612742,28,24,2024-12-24T02:06:13Z,1510000,False,,,0,,D. Avdija BLOCK (1 BLK),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
152,PT00M38.30S,2024-12-24T02:06:11.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,28,24,2024-12-24T02:06:15Z,1520000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,150.0,,,,,,,,,,,,,,,,,
154,PT00M35.30S,2024-12-24T02:06:33.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203915,,,1610612757,28,24,2024-12-24T02:06:43Z,1540000,False,,,0,,S. Dinwiddie shooting personal FOUL (1 PF) (Henderson 2 FT),"[203915, 1630703]",1610612742.0,DAL,shooting,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2882.0,,,,,,,,1.0,0.0,Henderson,1630703.0,,
156,PT00M35.30S,2024-12-24T02:06:58.4Z,1,REGULAR,freethrow,1 of 2,[],1630703,,,1610612757,28,25,2024-12-24T02:06:58Z,1560000,False,,,0,,S. Henderson Free Throw 1 of 2 (3 PTS),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,Made,,,,,,3.0,,,,,,,,,,,,
157,PT00M35.30S,2024-12-24T02:07:00.2Z,1,REGULAR,substitution,out,[],1642270,,,1610612757,28,25,2024-12-24T02:07:04Z,1570000,False,,,0,,SUB out: D. Clingan,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M35.30S,2024-12-24T02:07:00.2Z,1,REGULAR,substitution,in,[],1641739,,,1610612757,28,25,2024-12-24T02:07:04Z,1580000,False,,,0,,SUB in: T. Camara,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M35.30S,2024-12-24T02:07:16.0Z,1,REGULAR,freethrow,2 of 2,[],1630703,,,1610612757,28,26,2024-12-24T02:07:16Z,1590000,False,,,0,,S. Henderson Free Throw 2 of 2 (4 PTS),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,Made,,,,,,4.0,,,,,,,,,,,,
160,PT00M32.50S,2024-12-24T02:07:22.8Z,1,REGULAR,turnover,bad pass,[],1628467,,,1610612742,28,26,2024-12-24T02:07:30Z,1600000,False,,,0,,M. Kleber bad pass TURNOVER (1 TO),"[1628467, 1630703]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Henderson,1630703.0,,,,,,
161,PT00M32.50S,2024-12-24T02:07:22.8Z,1,REGULAR,steal,,[],1630703,,,1610612757,28,26,2024-12-24T02:07:25Z,1610000,False,,,0,,S. Henderson STEAL (1 STL),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
162,PT00M31.00S,2024-12-24T02:07:26.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628467,,,1610612757,28,26,2024-12-24T02:07:32Z,1620000,False,,,0,,M. Kleber shooting personal FOUL (2 PF) (Avdija 2 FT),"[1628467, 1630166]",1610612742.0,DAL,shooting,,,Kleber,M. Kleber,,,,,Restricted Area,0-8 Center,,,,,,,2882.0,,,,,,,,2.0,0.0,Avdija,1630166.0,,
164,PT00M31.00S,2024-12-24T02:08:02.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630166,,,1610612757,28,27,2024-12-24T02:08:02Z,1640000,False,,,0,,D. Avdija Free Throw 1 of 2 (5 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,,,,,,5.0,,,,,,,,,,,,
165,PT00M31.00S,2024-12-24T02:08:17.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630166,,,1610612757,28,28,2024-12-24T02:08:17Z,1650000,False,,,0,,D. Avdija Free Throw 2 of 2 (6 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,,,,,,6.0,,,,,,,,,,,,
166,PT00M14.40S,2024-12-24T02:08:37.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,30.305519053876477,75.24509803921569,1610612742,28,28,2024-12-24T02:12:22Z,1660000,False,-126.0,232.0,1,left,MISS L. Dončić 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,26.45,Missed,,,,,,,,,,,,,,,,,,
167,PT00M11.60S,2024-12-24T02:08:40.3Z,1,REGULAR,rebound,defensive,[],1630703,,,1610612757,28,28,2024-12-24T02:08:40Z,1670000,False,,,0,,S. Henderson REBOUND (Off:0 Def:2),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Left Center,,,166.0,2.0,2.0,0.0,,,,,,,,,,,,,,
168,PT00M00.20S,2024-12-24T02:08:51.8Z,1,REGULAR,3pt,Jump Shot,[],1630703,69.07030223390277,70.09803921568627,1610612757,28,31,2024-12-24T02:09:03Z,1680000,False,100.0,238.0,1,right,S. Henderson 25' 3PT pullup (7 PTS) (A. Simons 4 AST),"[1630703, 1629014]",1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Right Center,25.85,Made,,,,,,7.0,A. Simons,1629014.0,4.0,,,,,,,,,
171,PT00M00.00S,2024-12-24T02:09:35.4Z,1,REGULAR,period,end,[],0,,,1610612742,28,31,2024-12-24T02:09:35Z,1710000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2024-12-24T02:10:00.4Z,2,REGULAR,substitution,out,['startperiod'],1629655,,,1610612742,28,31,2024-12-24T02:11:33Z,1720000,False,,,0,,SUB out: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
