actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
52,PT08M10.00S,2025-04-03T00:45:20.8Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,12,11,2025-04-03T00:45:22Z,520000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,51.0,,,,,,,,1.0,1.0,0.0,,,,,,,
53,PT08M09.00S,2025-04-03T00:45:22.9Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,12,11,2025-04-03T00:45:25Z,530000,False,,,0,,T. Young bad pass TURNOVER (2 TO),"[1629027, 203915]",1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,2.0,Dinwiddie,203915.0,,,,,,,,,,
54,PT08M09.00S,2025-04-03T00:45:22.9Z,1,REGULAR,steal,,[],203915,,,1610612742,12,11,2025-04-03T00:45:24Z,540000,False,,,0,,S. Dinwiddie STEAL (2 STL),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
55,PT07M57.00S,2025-04-03T00:45:34.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203076,85.62746386333771,45.83333333333333,1610612742,14,11,2025-04-03T00:45:38Z,550000,False,-21.0,83.0,1,right,A. Davis 8' turnaround Hook (5 PTS) (S. Dinwiddie 3 AST),"[203076, 203915]",1610612742.0,DAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,8.52,Made,,5.0,S. Dinwiddie,203915.0,3.0,,,,,,,,,,,,,
57,PT07M48.00S,2025-04-03T00:45:42.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,29.38567674113009,71.56862745098039,1610612737,14,11,2025-04-03T00:45:47Z,570000,False,-108.0,224.0,1,left,MISS T. Young 24' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,24.83,Missed,,,,,,,,,,,,,,,,,,
58,PT07M47.00S,2025-04-03T00:45:44.8Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,14,11,2025-04-03T00:45:44Z,580000,False,,,0,,D. Daniels REBOUND (Off:2 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,57.0,,,,,,,,2.0,0.0,2.0,,,,,,,
59,PT07M45.00S,2025-04-03T00:45:46.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630168,31.750985545335087,49.26470588235294,1610612737,14,11,2025-04-03T00:45:50Z,590000,False,4.0,246.0,1,left,MISS O. Okongwu 24' 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,24.6,Missed,,,,,,,,,,,,,,,,,,
60,PT07M42.00S,2025-04-03T00:45:49.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,14,11,2025-04-03T00:45:50Z,600000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Center,,,59.0,,,,,,,,2.0,2.0,0.0,,,,,,,
61,PT07M34.00S,2025-04-03T00:45:57.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,85.75886990801577,37.745098039215684,1610612742,14,11,2025-04-03T00:46:00Z,610000,False,-61.0,81.0,1,right,MISS A. Davis 10' driving floating Shot,[203076],1610612742.0,DAL,driving floating,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Left,10.19,Missed,,,,,,,,,,,,,,,,,,
62,PT07M32.00S,2025-04-03T00:45:59.4Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,14,11,2025-04-03T00:46:00Z,620000,False,,,0,,M. Gueye REBOUND (Off:0 Def:1),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,In The Paint (Non-RA),8-16 Left,,,61.0,,,,,,,,1.0,1.0,0.0,,,,,,,
