actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
86,PT03M20.00S,2025-03-09T19:54:59.7Z,1,REGULAR,3pt,Jump Shot,[],203078,69.07030223390277,75.73529411764706,1610612756,22,20,2025-03-09T19:55:05Z,860000,False,129.0,238.0,1,right,MISS B. Beal 27' pullup 3PT,[203078],1610612756.0,PHX,pullup,,,Beal,B. Beal,,,,,Above the Break 3,24+ Right Center,,,,,,,27.07,Missed,,,,,,,,,,,,
87,PT03M17.00S,2025-03-09T19:55:02.7Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,22,20,2025-03-09T19:55:24Z,870000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,
88,PT03M07.00S,2025-03-09T19:55:13.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630556,13.748357424441524,50.98039215686274,1610612742,22,20,2025-03-09T19:55:18Z,880000,False,-5.0,77.0,1,left,MISS K. Edwards 7' turnaround Shot,[1630556],1610612742.0,DAL,turnaround,,,Edwards,K. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,7.69,Missed,,,,,,,,,,,,
89,PT03M04.00S,2025-03-09T19:55:15.8Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,22,20,2025-03-09T19:55:15Z,890000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,
90,PT02M56.00S,2025-03-09T19:55:23.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,84.05059132720105,50.245098039215684,1610612756,22,22,2025-03-09T19:55:28Z,900000,False,1.0,97.0,1,right,D. Booker 9' pullup Jump Shot (4 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.74,Made,,,,,,,4.0,,,,,
91,PT02M39.00S,2025-03-09T19:55:40.3Z,1,REGULAR,turnover,lost ball,[],1630230,,,1610612742,22,22,2025-03-09T19:55:45Z,910000,False,,,0,,N. Marshall lost ball TURNOVER (1 TO),"[1630230, 203078]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,,,,,,1.0,,,,,,,Beal,203078.0,,,,,,
92,PT02M39.00S,2025-03-09T19:55:40.3Z,1,REGULAR,steal,,[],203078,,,1610612756,22,22,2025-03-09T19:55:42Z,920000,False,,,0,,B. Beal STEAL (1 STL),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
93,PT02M36.00S,2025-03-09T19:55:45.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626164,75.3777923784494,14.460784313725492,1610612756,22,22,2025-03-09T20:04:08Z,930000,False,-178.0,179.0,1,right,MISS D. Booker 25' running pullup 3PT,[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,25.22,Missed,,,,,,,,,,,,
94,PT02M34.00S,2025-03-09T19:55:47.1Z,1,REGULAR,rebound,offensive,[],1629626,,,1610612756,22,22,2025-03-09T20:04:08Z,940000,False,,,0,,B. Bol REBOUND (Off:1 Def:2),[1629626],1610612756.0,PHX,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Left Center,,,,,,,,,93.0,3.0,2.0,1.0,,,,,,,,
130,PT02M34.00S,2025-03-09T19:55:48.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629626,92.32917214191852,49.01960784313725,1610612756,22,22,2025-03-09T20:03:49Z,945000,False,-5.0,20.0,1,right,MISS B. Bol tip Layup,[1629626],1610612756.0,PHX,tip,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,2.02,Missed,,,,,,,,,,,,
131,PT02M33.00S,2025-03-09T19:55:49.0Z,1,REGULAR,rebound,offensive,[],1629626,,,1610612756,22,22,2025-03-09T20:04:21Z,947500,False,,,0,,B. Bol REBOUND (Off:2 Def:2),[1629626],1610612756.0,PHX,,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,,,130.0,4.0,2.0,2.0,,,,,,,,
95,PT02M32.00S,2025-03-09T19:55:50.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629626,94.40999984741211,50.0,1610612756,22,24,2025-03-09T20:03:49Z,950000,False,0.0,0.0,1,right,B. Bol tip Layup (6 PTS),[1629626],1610612756.0,PHX,tip,,,Bol,B. Bol,,,,,Mid-Range,8-16 Left,,,,,,,0.0,Made,,,,,,,6.0,,,,,
96,PT02M32.00S,2025-03-09T19:55:54.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,22,24,2025-03-09T19:55:54Z,960000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,out,[],1631108,,,1610612742,22,24,2025-03-09T19:58:49Z,970000,False,,,0,,SUB out: M. Christie,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,out,[],1630314,,,1610612742,22,24,2025-03-09T19:58:49Z,980000,False,,,0,,SUB out: B. Williams,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,out,[],1630230,,,1610612742,22,24,2025-03-09T19:58:49Z,990000,False,,,0,,SUB out: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,out,[],1630556,,,1610612742,22,24,2025-03-09T19:58:49Z,1000000,False,,,0,,SUB out: K. Edwards,[1630556],1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,out,[],1626164,,,1610612742,22,24,2025-03-09T19:58:49Z,1010000,False,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,out,[],203078,,,1610612742,22,24,2025-03-09T19:58:49Z,1020000,False,,,0,,SUB out: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,out,[],1629626,,,1610612742,22,24,2025-03-09T19:58:49Z,1030000,False,,,0,,SUB out: B. Bol,[1629626],1610612756.0,PHX,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,in,[],203939,,,1610612742,22,24,2025-03-09T19:58:49Z,1040000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,in,[],1628997,,,1610612742,22,24,2025-03-09T19:58:49Z,1050000,False,,,0,,SUB in: C. Martin,[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,in,[],203957,,,1610612742,22,24,2025-03-09T19:58:49Z,1060000,False,,,0,,SUB in: D. Exum,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,in,[],202691,,,1610612742,22,24,2025-03-09T19:58:49Z,1070000,False,,,0,,SUB in: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,in,[],1626220,,,1610612742,22,24,2025-03-09T19:58:49Z,1080000,False,,,0,,SUB in: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,in,[],1628960,,,1610612742,22,24,2025-03-09T19:58:49Z,1090000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M32.00S,2025-03-09T19:58:24.2Z,1,REGULAR,substitution,in,[],1626145,,,1610612742,22,24,2025-03-09T19:58:49Z,1100000,False,,,0,,SUB in: T. Jones,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M24.00S,2025-03-09T19:59:34.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,17.47700394218134,37.05575980392157,1610612742,24,24,2025-03-09T19:59:40Z,1110000,False,65.0,112.0,1,left,S. Dinwiddie 12' driving floating Jump Shot (4 PTS),[203915],1610612742.0,DAL,driving floating,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,12.92,Made,,,,,,,4.0,,,,,
112,PT02M07.00S,2025-03-09T19:59:51.2Z,1,REGULAR,3pt,Jump Shot,[],1626145,67.7562417871222,50.98039215686274,1610612756,24,24,2025-03-09T19:59:58Z,1120000,False,5.0,251.0,1,right,MISS T. Jones 25' 3PT,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,,,,,,,25.06,Missed,,,,,,,,,,,,
113,PT02M05.00S,2025-03-09T19:59:53.2Z,1,REGULAR,rebound,offensive,[],203486,,,1610612756,24,24,2025-03-09T19:59:58Z,1130000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Center,,,,,,,,,112.0,2.0,1.0,1.0,,,,,,,,
114,PT01M58.00S,2025-03-09T20:00:00.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203486,92.72339027595268,48.28431372549019,1610612756,24,26,2025-03-09T20:00:04Z,1140000,False,-9.0,16.0,1,right,M. Plumlee cutting DUNK (2 PTS) (K. Durant 4 AST),"[203486, 201142]",1610612756.0,PHX,cutting,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,1.81,Made,,,,,,,2.0,K. Durant,201142.0,4.0,,
116,PT01M47.00S,2025-03-09T20:00:10.9Z,1,REGULAR,3pt,Jump Shot,[],202691,31.09395532194481,36.029411764705884,1610612742,24,26,2025-03-09T20:00:16Z,1160000,False,70.0,240.0,1,left,MISS K. Thompson 24' pullup 3PT,[202691],1610612742.0,DAL,pullup,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,24.98,Missed,,,,,,,,,,,,
117,PT01M45.00S,2025-03-09T20:00:14.1Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612742,24,26,2025-03-09T20:00:14Z,1170000,False,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,,,,,,116.0,1.0,0.0,1.0,,,,,,,,
118,PT01M31.00S,2025-03-09T20:00:29.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612742,24,26,2025-03-09T20:00:43Z,1180000,False,,,0,,DAL shot clock Team TURNOVER,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Right Center,202041.0,,,,,,,,,,,,,,,,,,,
119,PT01M12.00S,2025-03-09T20:00:58.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203486,92.72339027595268,50.98039215686274,1610612756,24,28,2025-03-09T20:01:03Z,1190000,False,5.0,16.0,1,right,M. Plumlee DUNK (4 PTS) (K. Durant 5 AST),"[203486, 201142]",1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,1.66,Made,,,,,,,4.0,K. Durant,201142.0,5.0,,
121,PT00M50.20S,2025-03-09T20:01:21.6Z,1,REGULAR,3pt,Jump Shot,[],203957,22.158344283837057,88.48039215686273,1610612742,24,28,2025-03-09T20:01:25Z,1210000,False,-192.0,156.0,1,left,MISS D. Exum 24' 3PT,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,Above the Break 3,24+ Left Center,,,,,,,24.76,Missed,,,,,,,,,,,,
122,PT00M47.60S,2025-03-09T20:01:24.2Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,24,28,2025-03-09T20:01:25Z,1220000,False,,,0,,K. Durant REBOUND (Off:0 Def:3),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,,,,,,121.0,3.0,3.0,0.0,,,,,,,,
123,PT00M28.80S,2025-03-09T20:01:42.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,94.03745072273325,49.26470588235294,1610612756,24,30,2025-03-09T20:01:56Z,1230000,False,-4.0,4.0,1,right,M. Plumlee reverse DUNK (6 PTS) (G. Allen 1 AST),"[203486, 1628960]",1610612756.0,PHX,reverse,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,0.51,Made,,,,,,,6.0,G. Allen,1628960.0,1.0,,
126,PT00M10.40S,2025-03-09T20:02:21.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203957,7.440867279894875,51.9607843137255,1610612742,24,30,2025-03-09T20:02:28Z,1260000,False,-10.0,17.0,1,left,MISS D. Exum driving Layup,[203957],1610612742.0,DAL,driving,,,Exum,D. Exum,,,,,Restricted Area,0-8 Center,,,,,,,2.0,Missed,,,,,,,,,,,,
127,PT00M07.80S,2025-03-09T20:02:24.6Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612756,24,30,2025-03-09T20:02:24Z,1270000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,126.0,1.0,1.0,0.0,,,,,,,,
128,PT00M01.30S,2025-03-09T20:02:31.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,84.83902759526939,37.745098039215684,1610612756,24,32,2025-03-09T20:02:36Z,1280000,False,-61.0,90.0,1,right,T. Jones 10' driving floating bank Jump Shot (2 PTS),[1626145],1610612756.0,PHX,driving floating bank,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,10.89,Made,,,,,,,2.0,,,,,
129,PT00M00.00S,2025-03-09T20:02:42.7Z,1,REGULAR,period,end,[],0,,,1610612742,24,32,2025-03-09T20:02:42Z,1290000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT12M00.00S,2025-03-09T20:03:13.4Z,2,REGULAR,substitution,out,['startperiod'],201142,,,1610612742,24,32,2025-03-09T20:05:57Z,1300000,False,,,0,,SUB out: K. Durant,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT12M00.00S,2025-03-09T20:03:13.4Z,2,REGULAR,substitution,in,['startperiod'],1626164,,,1610612742,24,32,2025-03-09T20:05:57Z,1310000,False,,,0,,SUB in: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT12M00.00S,2025-03-09T20:06:29.1Z,2,REGULAR,period,start,[],0,,,1610612742,24,32,2025-03-09T20:06:29Z,1320000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT11M44.00S,2025-03-09T20:06:45.2Z,2,REGULAR,foul,personal,['2freethrow'],1626164,,,1610612742,24,32,2025-03-09T20:06:52Z,1330000,False,,,0,,D. Booker shooting personal FOUL (1 PF) (Dinwiddie 2 FT),"[1626164, 203915]",1610612756.0,PHX,shooting,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,1627962.0,1.0,0.0,Dinwiddie,203915.0,,,,,,,,,,,,,,,
137,PT11M44.00S,2025-03-09T20:07:11.2Z,2,REGULAR,freethrow,1 of 2,[],203915,,,1610612742,24,32,2025-03-09T20:07:11Z,1350000,False,,,0,,MISS S. Dinwiddie Free Throw 1 of 2,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,Missed,,,,,,,,,,,,
138,PT11M44.00S,2025-03-09T20:07:11.2Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,24,32,2025-03-09T20:07:11Z,1360000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,137.0,,,,,,,,,,,
139,PT11M44.00S,2025-03-09T20:07:28.2Z,2,REGULAR,freethrow,2 of 2,[],203915,,,1610612742,24,32,2025-03-09T20:07:28Z,1370000,False,,,0,,MISS S. Dinwiddie Free Throw 2 of 2,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,Missed,,,,,,,,,,,,
140,PT11M41.00S,2025-03-09T20:07:30.2Z,2,REGULAR,rebound,defensive,[],1626220,,,1610612756,24,32,2025-03-09T20:07:30Z,1380000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,139.0,1.0,1.0,0.0,,,,,,,,
141,PT11M31.00S,2025-03-09T20:07:40.3Z,2,REGULAR,3pt,Jump Shot,[],1628960,69.59592641261499,23.284313725490197,1610612756,24,35,2025-03-09T20:07:54Z,1390000,False,-134.0,233.0,1,right,G. Allen 26' 3PT pullup (3 PTS) (D. Booker 3 AST),"[1628960, 1626164]",1610612756.0,PHX,pullup,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,26.88,Made,,,,,,,3.0,D. Booker,1626164.0,3.0,,
143,PT11M09.00S,2025-03-09T20:08:01.6Z,2,REGULAR,3pt,Jump Shot,[],202691,30.699737187910642,28.431372549019606,1610612742,24,35,2025-03-09T20:08:06Z,1410000,False,108.0,236.0,1,left,MISS K. Thompson 25' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,25.95,Missed,,,,,,,,,,,,
144,PT11M06.00S,2025-03-09T20:08:04.6Z,2,REGULAR,rebound,defensive,[],203486,,,1610612756,24,35,2025-03-09T20:08:06Z,1420000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Right Center,,,,,,,,,143.0,3.0,2.0,1.0,,,,,,,,
146,PT10M49.00S,2025-03-09T20:08:27.3Z,2,REGULAR,foul,personal,['2freethrow'],203957,,,1610612756,24,35,2025-03-09T20:08:31Z,1440000,False,,,0,,D. Exum shooting personal FOUL (1 PF) (Plumlee 2 FT),"[203957, 203486]",1610612742.0,DAL,shooting,,,Exum,D. Exum,,,,,In The Paint (Non-RA),0-8 Center,1627962.0,1.0,0.0,Plumlee,203486.0,,,,,,,,,,,,,,,
148,PT10M49.00S,2025-03-09T20:08:55.2Z,2,REGULAR,freethrow,1 of 2,[],203486,,,1610612756,24,36,2025-03-09T20:08:55Z,1460000,False,,,0,,M. Plumlee Free Throw 1 of 2 (7 PTS),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,Made,,,,,,,7.0,,,,,
149,PT10M49.00S,2025-03-09T20:08:55.9Z,2,REGULAR,substitution,out,[],203957,,,1610612756,24,36,2025-03-09T20:09:06Z,1470000,False,,,0,,SUB out: D. Exum,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT10M49.00S,2025-03-09T20:08:55.9Z,2,REGULAR,substitution,out,[],203939,,,1610612756,24,36,2025-03-09T20:09:06Z,1480000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT10M49.00S,2025-03-09T20:08:55.9Z,2,REGULAR,substitution,in,[],1630556,,,1610612756,24,36,2025-03-09T20:09:06Z,1490000,False,,,0,,SUB in: K. Edwards,[1630556],1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT10M49.00S,2025-03-09T20:08:55.9Z,2,REGULAR,substitution,in,[],1630314,,,1610612756,24,36,2025-03-09T20:09:06Z,1500000,False,,,0,,SUB in: B. Williams,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT10M49.00S,2025-03-09T20:09:15.8Z,2,REGULAR,freethrow,2 of 2,[],203486,,,1610612756,24,37,2025-03-09T20:09:15Z,1510000,False,,,0,,M. Plumlee Free Throw 2 of 2 (8 PTS),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,Made,,,,,,,8.0,,,,,
154,PT10M40.00S,2025-03-09T20:09:26.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630314,6.521024967148489,50.245098039215684,1610612742,26,37,2025-03-09T20:09:34Z,1520000,False,-1.0,9.0,1,left,B. Williams driving finger roll Layup (9 PTS),[1630314],1610612742.0,DAL,driving finger roll,,,Williams,B. Williams,,,,,Restricted Area,0-8 Center,,,,,,,0.89,Made,,,,,,,9.0,,,,,
155,PT10M28.00S,2025-03-09T20:09:38.9Z,2,REGULAR,foul,personal,['2freethrow'],1628997,,,1610612756,26,37,2025-03-09T20:09:50Z,1530000,False,,,0,,C. Martin shooting personal FOUL (1 PF) (Allen 2 FT),"[1628997, 1628960]",1610612742.0,DAL,shooting,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,1629178.0,1.0,0.0,Allen,1628960.0,,,,,,,,,,,,,,,
157,PT10M28.00S,2025-03-09T20:10:17.4Z,2,REGULAR,freethrow,1 of 2,[],1628960,,,1610612756,26,38,2025-03-09T20:10:17Z,1550000,False,,,0,,G. Allen Free Throw 1 of 2 (4 PTS),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,Made,,,,,,,4.0,,,,,
158,PT10M28.00S,2025-03-09T20:10:17.8Z,2,REGULAR,substitution,out,[],1628997,,,1610612756,26,38,2025-03-09T20:10:31Z,1560000,False,,,0,,SUB out: C. Martin,[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT10M28.00S,2025-03-09T20:10:17.8Z,2,REGULAR,substitution,out,[],203486,,,1610612756,26,38,2025-03-09T20:10:31Z,1570000,False,,,0,,SUB out: M. Plumlee,[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT10M28.00S,2025-03-09T20:10:17.8Z,2,REGULAR,substitution,in,[],1630230,,,1610612756,26,38,2025-03-09T20:10:31Z,1580000,False,,,0,,SUB in: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT10M28.00S,2025-03-09T20:10:17.8Z,2,REGULAR,substitution,in,[],1630208,,,1610612756,26,38,2025-03-09T20:10:31Z,1590000,False,,,0,,SUB in: N. Richards,[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT10M28.00S,2025-03-09T20:10:39.9Z,2,REGULAR,freethrow,2 of 2,[],1628960,,,1610612756,26,39,2025-03-09T20:10:39Z,1600000,False,,,0,,G. Allen Free Throw 2 of 2 (5 PTS),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,Made,,,,,,,5.0,,,,,
163,PT10M15.00S,2025-03-09T20:10:54.9Z,2,REGULAR,3pt,Jump Shot,[],202691,20.581471747700395,92.15686274509804,1610612742,26,39,2025-03-09T20:17:02Z,1610000,False,-211.0,141.0,1,left,MISS K. Thompson 25' pullup 3PT,[202691],1610612742.0,DAL,pullup,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,,25.36,Missed,,,,,,,,,,,,
164,PT10M12.00S,2025-03-09T20:10:57.9Z,2,REGULAR,rebound,defensive,[],1630208,,,1610612756,26,39,2025-03-09T20:10:59Z,1620000,False,,,0,,N. Richards REBOUND (Off:0 Def:3),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,,,,,,,,,163.0,3.0,3.0,0.0,,,,,,,,
166,PT10M04.00S,2025-03-09T20:11:08.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,91.01511169513797,48.77450980392157,1610612756,26,39,2025-03-09T20:11:24Z,1640000,False,-6.0,32.0,1,right,MISS N. Richards alley-oop DUNK,[1630208],1610612756.0,PHX,alley-oop,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,3.26,Missed,,,,,,,,,,,,
167,PT10M03.00S,2025-03-09T20:11:09.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612756,26,39,2025-03-09T20:11:24Z,1650000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,166.0,,,,,,,,,,,
169,PT09M53.00S,2025-03-09T20:11:34.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,91.93495400788436,56.372549019607845,1610612756,26,41,2025-03-09T20:11:42Z,1670000,False,32.0,23.0,1,right,N. Richards cutting Layup (6 PTS) (D. Booker 4 AST),"[1630208, 1626164]",1610612756.0,PHX,cutting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,3.95,Made,,,,,,,6.0,D. Booker,1626164.0,4.0,,
