actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
84,PT04M32.00S,2025-03-16T17:24:15.8Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612755,21,21,2025-03-16T17:29:42Z,840000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Left,,,,Grimes,Q. Grimes,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,
85,PT04M21.00S,2025-03-16T17:24:27.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627824,9.149145860709593,49.01960784313725,1610612755,21,21,2025-03-16T17:24:34Z,850000,False,5.0,34.0,1,left,MISS G. Yabusele Layup,[1627824],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Yabusele,G. Yabusele,,,Missed,,3.39,,,,,,,,,,,,,
86,PT04M17.00S,2025-03-16T17:24:31.4Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612742,21,21,2025-03-16T17:24:34Z,860000,False,,,0,,M. Christie REBOUND (Off:0 Def:1),[1631108],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,,,Christie,M. Christie,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,
87,PT04M13.00S,2025-03-16T17:24:34.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629023,91.80354796320631,50.245098039215684,1610612742,23,21,2025-03-16T17:24:40Z,870000,False,1.0,25.0,1,right,P. Washington running finger roll Layup (14 PTS) (S. Dinwiddie 1 AST),"[1629023, 203915]",1610612742.0,DAL,running finger roll,,,,,,Restricted Area,0-8 Center,,,,Washington,P. Washington,,,Made,14.0,2.45,,,,,S. Dinwiddie,203915.0,1.0,,,,,,
89,PT04M00.00S,2025-03-16T17:24:48.3Z,1,REGULAR,3pt,Jump Shot,[],1629656,20.05584756898817,4.411764705882353,1610612755,23,24,2025-03-16T17:24:52Z,890000,False,228.0,136.0,1,left,Q. Grimes 26' 3PT  (7 PTS) (J. Dowtin Jr. 1 AST),"[1629656, 1630288]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,Grimes,Q. Grimes,,,Made,7.0,26.54,,,,,J. Dowtin Jr.,1630288.0,1.0,,,,,,
91,PT03M44.00S,2025-03-16T17:25:03.7Z,1,REGULAR,turnover,bad pass,[],1631108,,,1610612742,23,24,2025-03-16T17:25:09Z,910000,False,,,0,,M. Christie bad pass TURNOVER (1 TO),"[1631108, 1627824]",1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Christie,M. Christie,,,,,,,,,,,,,,,1.0,Yabusele,1627824.0,
92,PT03M44.00S,2025-03-16T17:25:03.7Z,1,REGULAR,steal,,[],1627824,,,1610612755,23,24,2025-03-16T17:25:05Z,920000,False,,,0,,G. Yabusele STEAL (1 STL),[1627824],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,
93,PT03M43.00S,2025-03-16T17:25:06.0Z,1,REGULAR,foul,personal,['2freethrow'],203939,,,1610612755,23,24,2025-03-16T17:25:13Z,930000,False,,,0,,D. Powell shooting personal FOUL (1 PF) (Yabusele 2 FT),"[203939, 1627824]",1610612742.0,DAL,shooting,,,,,,Restricted Area,0-8 Center,1155.0,1.0,0.0,Powell,D. Powell,Yabusele,1627824.0,,,,,,,,,,,,,,,,
95,PT03M43.00S,2025-03-16T17:25:44.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627824,,,1610612755,23,25,2025-03-16T17:25:44Z,950000,False,,,0,,G. Yabusele Free Throw 1 of 2 (6 PTS),[1627824],1610612755.0,PHI,,,,,,,,,,,,Yabusele,G. Yabusele,,,Made,6.0,,,,,,,,,,,,,,
96,PT03M43.00S,2025-03-16T17:25:45.2Z,1,REGULAR,substitution,out,[],1629023,,,1610612755,23,25,2025-03-16T17:25:55Z,960000,False,,,0,,SUB out: P. Washington,[1629023],1610612742.0,DAL,,,,,,,,,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,
97,PT03M43.00S,2025-03-16T17:25:45.2Z,1,REGULAR,substitution,out,[],1629656,,,1610612755,23,25,2025-03-16T17:25:55Z,970000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612755.0,PHI,,,,,,,,,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,
98,PT03M43.00S,2025-03-16T17:25:45.2Z,1,REGULAR,substitution,out,[],1629052,,,1610612755,23,25,2025-03-16T17:25:55Z,980000,False,,,0,,SUB out: O. Brissett,[1629052],1610612755.0,PHI,,,,,,,,,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,
99,PT03M43.00S,2025-03-16T17:25:45.2Z,1,REGULAR,substitution,in,[],1630230,,,1610612755,23,25,2025-03-16T17:25:55Z,990000,False,,,0,,SUB in: N. Marshall,[1630230],1610612742.0,DAL,,,,,,,,,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,
100,PT03M43.00S,2025-03-16T17:25:45.2Z,1,REGULAR,substitution,in,[],1642024,,,1610612755,23,25,2025-03-16T17:25:55Z,1000000,False,,,0,,SUB in: A. Reese,[1642024],1610612755.0,PHI,,,,,,,,,,,,Reese,A. Reese,,,,,,,,,,,,,,,,,,
101,PT03M43.00S,2025-03-16T17:25:45.2Z,1,REGULAR,substitution,in,[],1629643,,,1610612755,23,25,2025-03-16T17:25:55Z,1010000,False,,,0,,SUB in: C. Okeke,[1629643],1610612755.0,PHI,,,,,,,,,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,
102,PT03M43.00S,2025-03-16T17:26:15.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1627824,,,1610612755,23,26,2025-03-16T17:26:15Z,1020000,False,,,0,,G. Yabusele Free Throw 2 of 2 (7 PTS),[1627824],1610612755.0,PHI,,,,,,,,,,,,Yabusele,G. Yabusele,,,Made,7.0,,,,,,,,,,,,,,
103,PT03M32.00S,2025-03-16T17:26:28.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,86.94152431011827,49.26470588235294,1610612742,23,26,2025-03-16T17:26:44Z,1030000,False,-4.0,70.0,1,right,MISS N. Marshall 7' driving floating Shot,[1630230],1610612742.0,DAL,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Marshall,N. Marshall,,,Missed,,7.03,,,,,,,,,,,,,
104,PT03M29.00S,2025-03-16T17:26:31.4Z,1,REGULAR,rebound,defensive,[],1642024,,,1610612755,23,26,2025-03-16T17:26:33Z,1040000,False,,,0,,A. Reese REBOUND (Off:0 Def:1),[1642024],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Reese,A. Reese,,,,,,103.0,1.0,1.0,0.0,,,,,,,,,
105,PT03M13.00S,2025-03-16T17:26:47.7Z,1,REGULAR,3pt,Jump Shot,[],1641720,33.98488830486202,28.186274509803923,1610612755,23,29,2025-03-16T17:27:06Z,1050000,False,109.0,267.0,1,left,J. Hood-Schifino 28' 3PT pullup (6 PTS),[1641720],1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Right Center,,,,Hood-Schifino,J. Hood-Schifino,,,Made,6.0,28.84,,,,,,,,,,,,,
106,PT02M58.00S,2025-03-16T17:27:02.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,94.1688567674113,49.26470588235294,1610612742,25,29,2025-03-16T17:28:05Z,1060000,False,-4.0,2.0,1,right,D. Powell cutting DUNK (2 PTS) (M. Christie 1 AST),"[203939, 1631108]",1610612742.0,DAL,cutting,,,,,,Restricted Area,0-8 Center,,,,Powell,D. Powell,,,Made,2.0,0.44,,,,,M. Christie,1631108.0,1.0,,,,,,
109,PT02M36.00S,2025-03-16T17:27:29.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,25,29,2025-03-16T17:27:29Z,1090000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M36.00S,2025-03-16T17:27:30.3Z,1,REGULAR,substitution,out,[],1630314,,,1610612755,25,29,2025-03-16T17:30:21Z,1100000,False,,,0,,SUB out: B. Williams,[1630314],1610612742.0,DAL,,,,,,,,,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,
111,PT02M36.00S,2025-03-16T17:27:30.3Z,1,REGULAR,substitution,out,[],1627824,,,1610612755,25,29,2025-03-16T17:30:21Z,1110000,False,,,0,,SUB out: G. Yabusele,[1627824],1610612755.0,PHI,,,,,,,,,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,
112,PT02M36.00S,2025-03-16T17:27:30.3Z,1,REGULAR,substitution,in,[],202691,,,1610612755,25,29,2025-03-16T17:30:21Z,1120000,False,,,0,,SUB in: K. Thompson,[202691],1610612742.0,DAL,,,,,,,,,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,
113,PT02M36.00S,2025-03-16T17:27:30.3Z,1,REGULAR,substitution,in,[],1629052,,,1610612755,25,29,2025-03-16T17:30:21Z,1130000,False,,,0,,SUB in: O. Brissett,[1629052],1610612755.0,PHI,,,,,,,,,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,
114,PT02M34.00S,2025-03-16T17:30:32.1Z,1,REGULAR,3pt,Jump Shot,[],1641720,28.728646517739815,81.86274509803921,1610612755,25,29,2025-03-16T17:30:37Z,1140000,False,-159.0,218.0,1,left,MISS J. Hood-Schifino 26' 3PT,[1641720],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Hood-Schifino,J. Hood-Schifino,,,Missed,,26.96,,,,,,,,,,,,,
115,PT02M31.00S,2025-03-16T17:30:35.1Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612742,25,29,2025-03-16T17:30:37Z,1150000,False,,,0,,M. Christie REBOUND (Off:0 Def:2),[1631108],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Christie,M. Christie,,,,,,114.0,2.0,2.0,0.0,,,,,,,,,
116,PT02M18.00S,2025-03-16T17:30:47.1Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612742,25,29,2025-03-16T17:30:51Z,1160000,False,,,0,,K. Thompson bad pass TURNOVER (1 TO),"[202691, 1629052]",1610612742.0,DAL,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,1.0,Brissett,1629052.0,
117,PT02M18.00S,2025-03-16T17:30:47.1Z,1,REGULAR,steal,,[],1629052,,,1610612755,25,29,2025-03-16T17:30:49Z,1170000,False,,,0,,O. Brissett STEAL (1 STL),[1629052],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,
118,PT02M12.00S,2025-03-16T17:30:53.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629052,28.203022339027594,19.362745098039216,1610612755,25,29,2025-03-16T17:30:58Z,1180000,False,153.0,213.0,1,left,MISS O. Brissett 26' 3PT,[1629052],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,Brissett,O. Brissett,,,Missed,,26.2,,,,,,,,,,,,,
119,PT02M09.00S,2025-03-16T17:30:56.9Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,25,29,2025-03-16T17:30:58Z,1190000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Right Center,,,,Marshall,N. Marshall,,,,,,118.0,1.0,1.0,0.0,,,,,,,,,
120,PT01M56.00S,2025-03-16T17:31:09.3Z,1,REGULAR,3pt,Jump Shot,[],203915,65.39093298291722,24.754901960784316,1610612742,25,29,2025-03-16T17:31:14Z,1200000,False,-126.0,273.0,1,right,MISS S. Dinwiddie 30' 3PT,[203915],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Dinwiddie,S. Dinwiddie,,,Missed,,30.06,,,,,,,,,,,,,
121,PT01M54.00S,2025-03-16T17:31:11.3Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612755,25,29,2025-03-16T17:31:14Z,1210000,False,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Okeke,C. Okeke,,,,,,120.0,1.0,1.0,0.0,,,,,,,,,
122,PT01M48.00S,2025-03-16T17:31:18.0Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630288,20.18725361366623,77.45098039215686,1610612755,25,29,2025-03-16T17:32:11Z,1220000,False,-137.0,137.0,1,left,MISS J. Dowtin Jr. 19' running pullup Shot,[1630288],1610612755.0,PHI,running pullup,,,,,,Mid-Range,16-24 Left Center,,,,Dowtin Jr.,J. Dowtin Jr.,,,Missed,,19.42,,,,,,,,,,,,,
123,PT01M44.00S,2025-03-16T17:31:22.0Z,1,REGULAR,rebound,defensive,[],202691,,,1610612742,25,29,2025-03-16T17:31:23Z,1230000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,,,,Mid-Range,16-24 Left Center,,,,Thompson,K. Thompson,,,,,,122.0,1.0,1.0,0.0,,,,,,,,,
124,PT01M35.00S,2025-03-16T17:31:30.8Z,1,REGULAR,3pt,Jump Shot,[],1630230,88.64980289093299,4.6568627450980395,1610612742,25,29,2025-03-16T17:31:36Z,1240000,False,-227.0,54.0,1,right,MISS N. Marshall 3PT,[1630230],1610612742.0,DAL,,,,,,,Left Corner 3,24+ Left,,,,Marshall,N. Marshall,,,Missed,,23.31,,,,,,,,,,,,,
125,PT01M33.00S,2025-03-16T17:31:32.8Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612755,25,29,2025-03-16T17:31:36Z,1250000,False,,,0,,C. Okeke REBOUND (Off:0 Def:2),[1629643],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,,,,Okeke,C. Okeke,,,,,,124.0,2.0,2.0,0.0,,,,,,,,,
126,PT01M24.00S,2025-03-16T17:31:41.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630288,6.915243101182654,51.71568627450981,1610612755,25,29,2025-03-16T17:32:34Z,1260000,False,-9.0,13.0,1,left,MISS J. Dowtin Jr. driving finger roll Layup,[1630288],1610612755.0,PHI,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Dowtin Jr.,J. Dowtin Jr.,,,Missed,,1.52,,,,,,,,,,,,,
127,PT01M23.00S,2025-03-16T17:31:42.6Z,1,REGULAR,rebound,offensive,[],1629643,,,1610612755,25,29,2025-03-16T17:32:58Z,1270000,False,,,0,,C. Okeke REBOUND (Off:1 Def:2),[1629643],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Okeke,C. Okeke,,,,,,126.0,3.0,2.0,1.0,,,,,,,,,
128,PT01M23.00S,2025-03-16T17:31:44.8Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629643,5.590000152587891,50.0,1610612755,25,31,2025-03-16T17:33:02Z,1280000,False,0.0,0.0,1,left,C. Okeke tip DUNK (2 PTS),[1629643],1610612755.0,PHI,tip,,,,,,Restricted Area,0-8 Center,,,,Okeke,C. Okeke,,,Made,2.0,0.0,,,,,,,,,,,,,
129,PT00M56.60S,2025-03-16T17:32:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,93.9060446780552,47.30392156862745,1610612742,27,31,2025-03-16T17:32:14Z,1290000,False,-13.0,5.0,1,right,K. Thompson cutting finger roll Layup (4 PTS) (D. Powell 2 AST),"[202691, 203939]",1610612742.0,DAL,cutting finger roll,,,,,,Restricted Area,0-8 Center,,,,Thompson,K. Thompson,,,Made,4.0,1.43,,,,,D. Powell,203939.0,2.0,,,,,,
131,PT00M43.30S,2025-03-16T17:32:26.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630288,7.5722733245729295,55.88235294117647,1610612755,27,33,2025-03-16T17:33:26Z,1310000,False,-29.0,19.0,1,left,J. Dowtin Jr. driving Layup (2 PTS),[1630288],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,,,,Dowtin Jr.,J. Dowtin Jr.,,,Made,2.0,3.48,,,,,,,,,,,,,
132,PT00M24.20S,2025-03-16T17:32:48.5Z,1,REGULAR,3pt,Jump Shot,[],1630230,68.15045992115637,30.14705882352941,1610612742,27,33,2025-03-16T17:32:53Z,1320000,False,-99.0,247.0,1,right,MISS N. Marshall 26' 3PT,[1630230],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Marshall,N. Marshall,,,Missed,,26.61,,,,,,,,,,,,,
133,PT00M20.20S,2025-03-16T17:32:52.5Z,1,REGULAR,rebound,offensive,[],1630230,,,1610612742,27,33,2025-03-16T17:32:53Z,1330000,False,,,0,,N. Marshall REBOUND (Off:1 Def:1),[1630230],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Marshall,N. Marshall,,,,,,132.0,2.0,1.0,1.0,,,,,,,,,
134,PT00M15.60S,2025-03-16T17:32:57.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202691,80.04681340341656,48.939185049019606,1610612742,29,33,2025-03-16T17:33:03Z,1340000,False,-5.0,135.0,1,right,K. Thompson 13' Jump Shot (6 PTS) (N. Marshall 1 AST),"[202691, 1630230]",1610612742.0,DAL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Thompson,K. Thompson,,,Made,6.0,13.52,,,,,N. Marshall,1630230.0,1.0,,,,,,
136,PT00M06.00S,2025-03-16T17:33:10.7Z,1,REGULAR,3pt,Jump Shot,[],1641720,26.10052562417871,18.137254901960784,1610612755,29,36,2025-03-16T17:33:14Z,1360000,False,159.0,193.0,1,left,J. Hood-Schifino 25' 3PT pullup (9 PTS),[1641720],1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Right Center,,,,Hood-Schifino,J. Hood-Schifino,,,Made,9.0,25.01,,,,,,,,,,,,,
137,PT00M00.10S,2025-03-16T17:33:20.6Z,1,REGULAR,3pt,Jump Shot,[],1630230,63.6826544021025,32.59803921568628,1610612742,32,36,2025-03-16T17:34:02Z,1370000,False,-87.0,289.0,1,right,N. Marshall 30' 3PT bank (5 PTS) (M. Christie 2 AST),"[1630230, 1631108]",1610612742.0,DAL,bank,,,,,,Above the Break 3,24+ Center,,,,Marshall,N. Marshall,,,Made,5.0,30.17,,,,,M. Christie,1631108.0,2.0,,,,,,
140,PT00M00.00S,2025-03-16T17:34:08.8Z,1,REGULAR,period,end,[],0,,,1610612755,32,36,2025-03-16T17:34:08Z,1400000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2025-03-16T17:34:18.5Z,2,REGULAR,substitution,out,['startperiod'],203939,,,1610612755,32,36,2025-03-16T17:36:04Z,1410000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,,,,,,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2025-03-16T17:34:18.5Z,2,REGULAR,substitution,out,['startperiod'],202691,,,1610612755,32,36,2025-03-16T17:36:04Z,1420000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,,,,,,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2025-03-16T17:34:18.5Z,2,REGULAR,substitution,in,['startperiod'],1630556,,,1610612755,32,36,2025-03-16T17:36:04Z,1430000,False,,,0,,SUB in: K. Edwards,[1630556],1610612742.0,DAL,,,,,,,,,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2025-03-16T17:34:18.5Z,2,REGULAR,substitution,in,['startperiod'],1630314,,,1610612755,32,36,2025-03-16T17:36:04Z,1440000,False,,,0,,SUB in: B. Williams,[1630314],1610612742.0,DAL,,,,,,,,,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2025-03-16T17:36:22.5Z,2,REGULAR,period,start,[],0,,,1610612755,32,36,2025-03-16T17:36:22Z,1450000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2025-03-16T17:36:24.9Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612755,32,36,2025-03-16T17:36:47Z,1460000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612755.0,PHI,,,,,,,,,2530.0,,,,,,,,,,,,,,,,,,,,,,
147,PT11M37.00S,2025-03-16T17:36:44.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1641720,9.280551905387648,53.431372549019606,1610612755,32,36,2025-03-16T17:37:18Z,1470000,False,-17.0,35.0,1,left,MISS J. Hood-Schifino driving Hook,[1641720],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,,,,Hood-Schifino,J. Hood-Schifino,,,Missed,,3.87,,,,,,,,,,,,,
148,PT11M36.00S,2025-03-16T17:36:45.0Z,2,REGULAR,rebound,defensive,[],203915,,,1610612742,32,36,2025-03-16T17:36:58Z,1480000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,,,Dinwiddie,S. Dinwiddie,,,,,,147.0,1.0,1.0,0.0,,,,,,,,,
149,PT11M32.00S,2025-03-16T17:36:48.8Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630230,88.78120893561103,40.931372549019606,1610612742,34,36,2025-03-16T17:37:53Z,1490000,False,-45.0,53.0,1,right,N. Marshall 6' driving floating bank Jump Shot (7 PTS),[1630230],1610612742.0,DAL,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,,,,Marshall,N. Marshall,,,Made,7.0,6.97,,,,,,,,,,,,,
150,PT11M23.00S,2025-03-16T17:36:59.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630288,7.5722733245729295,51.470588235294116,1610612755,34,38,2025-03-16T17:38:10Z,1500000,False,-7.0,19.0,1,left,J. Dowtin Jr. driving finger roll Layup (4 PTS),[1630288],1610612755.0,PHI,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Dowtin Jr.,J. Dowtin Jr.,,,Made,4.0,2.01,,,,,,,,,,,,,
151,PT11M23.00S,2025-03-16T17:37:02.3Z,2,REGULAR,foul,personal,['1freethrow'],1630314,,,1610612755,34,38,2025-03-16T17:37:09Z,1510000,False,,,0,,B. Williams shooting personal FOUL (1 PF) (Dowtin Jr. 1 FT),"[1630314, 1630288]",1610612742.0,DAL,shooting,,,,,,Restricted Area,0-8 Center,202056.0,1.0,0.0,Williams,B. Williams,Dowtin Jr.,1630288.0,,,,,,,,,,,,,,,,
153,PT11M23.00S,2025-03-16T17:37:24.8Z,2,REGULAR,freethrow,1 of 1,[],1630288,,,1610612755,34,38,2025-03-16T17:37:24Z,1530000,False,,,0,,MISS J. Dowtin Jr. Free Throw 1 of 1,[1630288],1610612755.0,PHI,,,,,,,,,,,,Dowtin Jr.,J. Dowtin Jr.,,,Missed,,,,,,,,,,,,,,,
154,PT11M21.00S,2025-03-16T17:37:26.1Z,2,REGULAR,rebound,defensive,[],1630230,,,1610612742,34,38,2025-03-16T17:37:26Z,1540000,False,,,0,,N. Marshall REBOUND (Off:1 Def:2),[1630230],1610612742.0,DAL,,,,,,,,,,,,Marshall,N. Marshall,,,,,,153.0,3.0,2.0,1.0,,,,,,,,,
155,PT11M16.00S,2025-03-16T17:37:30.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631108,91.19579500657031,3.944546568627451,1610612742,37,38,2025-03-16T17:38:31Z,1550000,False,-230.0,30.0,1,right,M. Christie 3PT running (5 PTS) (S. Dinwiddie 2 AST),"[1631108, 203915]",1610612742.0,DAL,running,,,,,,Left Corner 3,24+ Left,,,,Christie,M. Christie,,,Made,5.0,23.23,,,,,S. Dinwiddie,203915.0,2.0,,,,,,
157,PT10M59.00S,2025-03-16T17:37:50.4Z,2,REGULAR,turnover,out-of-bounds,[],1630288,,,1610612755,37,38,2025-03-16T17:37:55Z,1570000,False,,,0,,J. Dowtin Jr. step out-of-bounds TURNOVER (1 TO),[1630288],1610612755.0,PHI,step,,,,,,Mid-Range,16-24 Left,202056.0,,,Dowtin Jr.,J. Dowtin Jr.,,,,,,,,,,,,,,,1.0,,,
158,PT10M59.00S,2025-03-16T17:37:53.8Z,2,REGULAR,substitution,out,[],1641720,,,1610612742,37,38,2025-03-16T17:38:00Z,1580000,False,,,0,,SUB out: J. Hood-Schifino,[1641720],1610612755.0,PHI,,,,,,,,,,,,Hood-Schifino,J. Hood-Schifino,,,,,,,,,,,,,,,,,,
159,PT10M59.00S,2025-03-16T17:37:53.8Z,2,REGULAR,substitution,out,[],1642024,,,1610612742,37,38,2025-03-16T17:38:00Z,1590000,False,,,0,,SUB out: A. Reese,[1642024],1610612755.0,PHI,,,,,,,,,,,,Reese,A. Reese,,,,,,,,,,,,,,,,,,
160,PT10M59.00S,2025-03-16T17:37:53.8Z,2,REGULAR,substitution,in,[],1642348,,,1610612742,37,38,2025-03-16T17:38:00Z,1600000,False,,,0,,SUB in: J. Edwards,[1642348],1610612755.0,PHI,,,,,,,,,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,
161,PT10M59.00S,2025-03-16T17:37:53.8Z,2,REGULAR,substitution,in,[],1641741,,,1610612742,37,38,2025-03-16T17:38:00Z,1610000,False,,,0,,SUB in: R. Council IV,[1641741],1610612755.0,PHI,,,,,,,,,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,,
162,PT10M49.00S,2025-03-16T17:38:19.2Z,2,REGULAR,foul,personal,['2freethrow'],1642348,,,1610612742,37,38,2025-03-16T17:38:32Z,1620000,False,,,0,,J. Edwards shooting personal FOUL (2 PF) (Dinwiddie 2 FT),"[1642348, 203915]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,202056.0,2.0,0.0,Edwards,J. Edwards,Dinwiddie,203915.0,,,,,,,,,,,,,,,,
164,PT10M49.00S,2025-03-16T17:38:42.9Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],203915,,,1610612742,38,38,2025-03-16T17:38:42Z,1640000,False,,,0,,S. Dinwiddie Free Throw 1 of 2 (1 PTS),[203915],1610612742.0,DAL,,,,,,,,,,,,Dinwiddie,S. Dinwiddie,,,Made,1.0,,,,,,,,,,,,,,
165,PT10M49.00S,2025-03-16T17:38:55.5Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],203915,,,1610612742,39,38,2025-03-16T17:38:55Z,1650000,False,,,0,,S. Dinwiddie Free Throw 2 of 2 (2 PTS),[203915],1610612742.0,DAL,,,,,,,,,,,,Dinwiddie,S. Dinwiddie,,,Made,2.0,,,,,,,,,,,,,,
