actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
37,PT09M54.00S,2023-11-01T02:45:22.8Z,1,REGULAR,violation,kicked ball,[],201566,,,1610612753,2,0,2023-11-01T02:45:27Z,370000,False,,,0,,R. Westbrook kicked ball VIOLATION,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,1179.0,,,,,,,,
38,PT09M48.00S,2023-11-01T02:45:46.5Z,1,REGULAR,turnover,out-of-bounds,[],1630532,,,1610612753,2,0,2023-11-01T02:45:52Z,380000,False,,,0,,F. Wagner lost ball out-of-bounds TURNOVER (2 TO),[1630532],1610612753.0,ORL,lost ball,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,2.0,,,,,,,,,,,1179.0,,,,,,,,
41,PT09M27.00S,2023-11-01T02:46:28.0Z,1,REGULAR,turnover,lost ball,[],201566,,,1610612746,2,0,2023-11-01T02:46:35Z,410000,False,,,0,,R. Westbrook lost ball TURNOVER (1 TO),"[201566, 1631094]",1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,1.0,Banchero,1631094.0,,,,,,,,,,,,,,,,,
42,PT09M27.00S,2023-11-01T02:46:28.0Z,1,REGULAR,steal,,[],1631094,,,1610612753,2,0,2023-11-01T02:46:30Z,420000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
43,PT09M18.00S,2023-11-01T02:46:36.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631094,20.285808147174762,8.088235294117652,1610612753,2,0,2023-11-01T02:46:42Z,430000,False,210.0,138.0,1,left,MISS P. Banchero 25' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,,25.11,Missed,,,,,,,,,,,,,,,
44,PT09M14.00S,2023-11-01T02:46:40.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,0,2023-11-01T02:46:42Z,440000,False,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,
45,PT09M12.00S,2023-11-01T02:46:48.4Z,1,REGULAR,foul,personal,[],1631094,,,1610612746,2,0,2023-11-01T02:47:04Z,450000,False,,,0,,P. Banchero loose ball personal FOUL (1 PF),"[1631094, 202695]",1610612753.0,ORL,loose ball,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,202053.0,1.0,0.0,Leonard,202695.0,,,,
47,PT09M02.00S,2023-11-01T02:47:24.8Z,1,REGULAR,3pt,Jump Shot,[],202695,85.72601839684626,96.07843137254902,1610612746,2,0,2023-11-01T02:47:30Z,470000,False,230.0,82.0,1,right,MISS K. Leonard 24' step back 3PT,[202695],1610612746.0,LAC,step back,,,Leonard,K. Leonard,,,,,Right Corner 3,24+ Right,,,,24.45,Missed,,,,,,,,,,,,,,,
48,PT08M58.00S,2023-11-01T02:47:28.8Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,2,0,2023-11-01T02:47:30Z,480000,False,,,0,,M. Fultz REBOUND (Off:0 Def:2),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Right Corner 3,24+ Right,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,
49,PT08M51.00S,2023-11-01T02:47:38.2Z,1,REGULAR,foul,personal,['2freethrow'],1630538,,,1610612753,2,0,2023-11-01T02:47:43Z,490000,False,,,0,,B. Hyland shooting personal FOUL (1 PF) (Banchero 2 FT),"[1630538, 1631094]",1610612746.0,LAC,shooting,,,Hyland,B. Hyland,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,202053.0,1.0,0.0,Banchero,1631094.0,,,,
51,PT08M51.00S,2023-11-01T02:48:07.8Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,2,1,2023-11-01T02:48:07Z,510000,False,,,0,,P. Banchero Free Throw 1 of 2 (1 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,Made,,,,,,,,,,,,1.0,,,
52,PT08M51.00S,2023-11-01T02:48:22.8Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,2,2,2023-11-01T02:48:22Z,520000,False,,,0,,P. Banchero Free Throw 2 of 2 (2 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,Made,,,,,,,,,,,,2.0,,,
53,PT08M36.00S,2023-11-01T02:48:39.9Z,1,REGULAR,2pt,Jump Shot,[],1630538,79.81274638633377,74.50980392156863,1610612746,2,2,2023-11-01T02:48:44Z,530000,False,123.0,137.0,1,right,MISS B. Hyland 18' step back Shot,[1630538],1610612746.0,LAC,step back,,,Hyland,B. Hyland,,,,,Mid-Range,16-24 Right Center,,,,18.4,Missed,,,,,,,,,,,,,,,
54,PT08M33.00S,2023-11-01T02:48:42.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,2,2023-11-01T02:48:44Z,540000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,
55,PT08M23.00S,2023-11-01T02:48:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628365,14.241130091984232,49.754901960784316,1610612753,2,2,2023-11-01T02:48:58Z,550000,False,1.0,81.0,1,left,MISS M. Fultz 8' driving floating Shot,[1628365],1610612753.0,ORL,driving floating,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),8-16 Center,,,,8.14,Missed,,,,,,,,,,,,,,,
56,PT08M21.00S,2023-11-01T02:48:54.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,2,2,2023-11-01T02:48:58Z,560000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,
57,PT08M16.00S,2023-11-01T02:48:59.7Z,1,REGULAR,2pt,Jump Shot,[],202331,78.36727989487517,59.55882352941176,1610612746,2,2,2023-11-01T02:49:10Z,570000,False,48.0,151.0,1,right,MISS P. George 15' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,8-16 Center,,,,15.82,Missed,,,,,,,,,,,,,,,
58,PT08M12.00S,2023-11-01T02:49:03.7Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,2,2,2023-11-01T02:49:06Z,580000,False,,,0,,M. Fultz REBOUND (Off:0 Def:3),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Mid-Range,8-16 Center,,,,,,57.0,3.0,3.0,0.0,,,,,,,,,,,
59,PT08M05.00S,2023-11-01T02:49:10.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,18.577529566360056,56.86274509803921,1610612753,2,2,2023-11-01T02:49:25Z,590000,False,-34.0,122.0,1,left,MISS P. Banchero 12' Jump Shot,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,12.68,Missed,,,,,,,,,,,,,,,
