actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
545,PT09M53.00S,2023-12-17T05:35:31.4Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.16491458607096,45.833333333333336,1610612752,120,102,2023-12-17T05:35:56Z,5300000,False,-21.0,21.0,1,right,MISS R. Barrett driving Layup - blocked,"[1629628, 1626181]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,2.96,Missed,,,,,Powell,1626181.0,,,,,,,,,,,,
546,PT09M53.00S,2023-12-17T05:35:31.4Z,4,REGULAR,block,,[],1626181,,,1610612752,120,102,2023-12-17T05:35:35Z,5310000,False,,,0,,N. Powell BLOCK (1 BLK),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
550,PT09M50.00S,2023-12-17T05:35:34.4Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612746,120,102,2023-12-17T05:35:56Z,5320000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,545.0,,,,,,,,,,,
547,PT09M50.00S,2023-12-17T05:35:55.2Z,4,REGULAR,jumpball,recovered,[],202331,,,1610612746,120,102,2023-12-17T05:35:55Z,5330000,False,,,0,,Jump Ball N. Powell vs. R. Barrett: Tip to P. George,"[202331, 1626181, 1629628]",1610612746.0,LAC,heldball,P. George,202331.0,George,P. George,Powell,1626181.0,Barrett,1629628.0,,,,,,,,,,,,,,,,,,,,,,
551,PT09M35.00S,2023-12-17T05:36:12.0Z,4,REGULAR,foul,personal,['2freethrow'],1630540,,,1610612746,120,102,2023-12-17T05:36:16Z,5360000,False,,,0,,M. McBride shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1630540, 201566]",1610612752.0,NYK,shooting,,,McBride,M. McBride,,,,,Mid-Range,0-8 Center,,,,,,,,,,,,,,,,202056.0,1.0,0.0,Westbrook,201566.0
553,PT09M35.00S,2023-12-17T05:36:46.3Z,4,REGULAR,freethrow,1 of 2,[],201566,,,1610612746,120,102,2023-12-17T05:37:02Z,5380000,False,,,0,,MISS R. Westbrook Free Throw 1 of 2,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
554,PT09M35.00S,2023-12-17T05:36:46.3Z,4,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612746,120,102,2023-12-17T05:37:02Z,5390000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,553.0,,,,,,,,,,,
555,PT09M35.00S,2023-12-17T05:36:46.3Z,4,REGULAR,freethrow,2 of 2,[],201566,,,1610612746,120,102,2023-12-17T05:37:02Z,5400000,False,,,0,,MISS R. Westbrook Free Throw 2 of 2,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
556,PT09M32.00S,2023-12-17T05:36:49.3Z,4,REGULAR,rebound,defensive,[],1629628,,,1610612752,120,102,2023-12-17T05:37:02Z,5410000,False,,,0,,R. Barrett REBOUND (Off:1 Def:4),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,555.0,5.0,4.0,1.0,,,,,,,,
557,PT09M29.00S,2023-12-17T05:37:04.4Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630193,93.74178712220763,44.36274509803921,1610612752,120,104,2023-12-17T05:37:11Z,5420000,False,-28.0,6.0,1,right,I. Quickley running Layup (9 PTS),[1630193],1610612752.0,NYK,running,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,2.89,Made,9.0,,,,,,,,,,,,,,,,,
559,PT09M14.00S,2023-12-17T05:37:18.8Z,4,REGULAR,2pt,Jump Shot,[],202331,16.212220762155056,79.65686274509804,1610612746,122,104,2023-12-17T05:40:13Z,5430000,False,-148.0,100.0,1,left,P. George 17' pullup Jump Shot (22 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,16-24 Left,17.88,Made,22.0,,,,,,,,,,,,,,,,,
560,PT09M03.00S,2023-12-17T05:37:32.1Z,4,REGULAR,foul,personal,[],1629599,,,1610612752,122,104,2023-12-17T05:37:50Z,5440000,False,,,0,,A. Coffey personal FOUL (3 PF),"[1629599, 1629628]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,1628171.0,3.0,0.0,Barrett,1629628.0
562,PT09M03.00S,2023-12-17T05:37:51.2Z,4,REGULAR,substitution,out,[],201566,,,1610612752,122,104,2023-12-17T05:37:57Z,5460000,False,,,0,,SUB out: R. Westbrook,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
563,PT09M03.00S,2023-12-17T05:37:51.2Z,4,REGULAR,substitution,in,[],201935,,,1610612752,122,104,2023-12-17T05:37:57Z,5470000,False,,,0,,SUB in: J. Harden,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
