actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
87,PT04M28.00S,2022-10-21T23:59:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200768,14.011169513797633,58.333333333333336,1610612748,15,16,2022-10-21T23:59:44Z,840000,-42.0,79.0,1,left,MISS K. Lowry 8' turnaround Shot - blocked,"[200768, 1627759]",1610612748.0,MIA,turnaround,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,8.95,Missed,,,,,,,,,Brown,1627759.0
88,PT04M28.00S,2022-10-21T23:59:36.8Z,1,REGULAR,block,,[],1627759,,,1610612748,15,16,2022-10-21T23:59:39Z,850000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
89,PT04M23.00S,2022-10-21T23:59:41.8Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,15,16,2022-10-21T23:59:44Z,860000,,,0,,C. Martin REBOUND (Off:2 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,87.0,3.0,1.0,2.0,,,,,
90,PT04M23.00S,2022-10-21T23:59:42.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628997,32.013797634691194,56.127450980392155,1610612748,15,16,2022-10-21T23:59:57Z,870000,-31.0,248.0,1,left,MISS C. Martin 25' 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,,,,,,25.03,Missed,,,,,,,,,,
91,PT04M20.00S,2022-10-21T23:59:45.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,15,16,2022-10-21T23:59:57Z,880000,,,0,,D. White REBOUND (Off:0 Def:4),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,90.0,4.0,4.0,0.0,,,,,
92,PT04M09.00S,2022-10-21T23:59:56.3Z,1,REGULAR,3pt,Jump Shot,[],203935,69.99014454664915,21.323529411764707,1610612738,15,16,2022-10-22T00:00:10Z,890000,-143.0,230.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,27.07,Missed,,,,,,,,,,
93,PT04M06.00S,2022-10-21T23:59:59.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,15,16,2022-10-22T00:00:10Z,900000,,,0,,T. Herro REBOUND (Off:0 Def:3),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,92.0,3.0,3.0,0.0,,,,,
94,PT03M56.00S,2022-10-22T00:00:09.6Z,1,REGULAR,2pt,Jump Shot,[],1629639,21.895532194480946,68.62745098039215,1610612748,15,16,2022-10-22T00:00:16Z,910000,-93.0,153.0,1,left,MISS T. Herro 17' step back Shot - blocked,"[1629639, 1628401]",1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left Center,,,,,,,,,17.94,Missed,,,,,,,,,White,1628401.0
99,PT03M56.00S,2022-10-22T00:00:09.6Z,1,REGULAR,block,,[],1628401,,,1610612748,15,16,2022-10-22T00:00:47Z,915000,,,0,,D. White BLOCK (2 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
95,PT03M53.00S,2022-10-22T00:00:12.6Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,15,16,2022-10-22T00:00:16Z,920000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,94.0,1.0,1.0,0.0,,,,,
96,PT03M47.00S,2022-10-22T00:00:21.5Z,1,REGULAR,turnover,out-of-bounds,[],1628401,,,1610612738,15,16,2022-10-22T00:00:41Z,930000,,,0,,D. White step out-of-bounds TURNOVER (1 TO),[1628401],1610612738.0,BOS,step,,,White,D. White,,,,,Right Corner 3,24+ Right,201245.0,,,,,1.0,,,,,,,,,,,,,,
97,PT03M47.00S,2022-10-22T00:00:30.1Z,1,REGULAR,substitution,out,[],201143,,,1610612748,15,16,2022-10-22T00:00:40Z,940000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M47.00S,2022-10-22T00:00:30.1Z,1,REGULAR,substitution,in,[],203943,,,1610612748,15,16,2022-10-22T00:00:40Z,950000,,,0,,SUB in: N. Vonleh,[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M30.00S,2022-10-22T00:00:58.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,22.421156373193167,93.62745098039215,1610612748,15,16,2022-10-22T00:01:06Z,960000,-218.0,158.0,1,left,MISS T. Herro 26' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,,,,,,,26.95,Missed,,,,,,,,,,
101,PT03M29.00S,2022-10-22T00:00:59.7Z,1,REGULAR,rebound,defensive,[],203943,,,1610612738,15,16,2022-10-22T00:01:06Z,970000,,,0,,N. Vonleh REBOUND (Off:0 Def:1),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,100.0,1.0,1.0,0.0,,,,,
102,PT03M18.00S,2022-10-22T00:01:10.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,77.61169513797634,69.6078431372549,1610612738,15,16,2022-10-22T00:01:26Z,980000,98.0,158.0,1,right,MISS J. Brown 18' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,,,,,,,18.59,Missed,,,,,,,,,,
103,PT03M15.00S,2022-10-22T00:01:13.7Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,15,16,2022-10-22T00:01:26Z,990000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,102.0,2.0,2.0,0.0,,,,,
170,PT03M04.00S,2022-10-22T00:01:17.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,8.327858081471746,50.49019607843137,1610612748,15,16,2022-10-22T00:16:29Z,995000,-2.0,26.0,1,left,MISS K. Lowry driving Layup - blocked,"[200768, 203943]",1610612748.0,MIA,driving,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,,,2.59,Missed,,,,,,,,,Vonleh,203943.0
171,PT03M04.00S,2022-10-22T00:01:17.8Z,1,REGULAR,block,,[],203943,,,1610612748,15,16,2022-10-22T00:16:10Z,997500,,,0,,N. Vonleh BLOCK (1 BLK),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
172,PT03M03.00S,2022-10-22T00:01:18.8Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,15,16,2022-10-22T00:16:29Z,998750,,,0,,D. White REBOUND (Off:0 Def:5),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,170.0,5.0,5.0,0.0,,,,,
106,PT02M59.00S,2022-10-22T00:01:43.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203473,,,1610612738,15,16,2022-10-22T00:04:59Z,1020000,,,0,,D. Dedmon personal FOUL (2 PF) (White 2 FT),"[203473, 1628401]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,In The Paint (Non-RA),0-8 Center,1162.0,2.0,0.0,White,1628401.0,,,,,,,,,,,,,,,
108,PT02M59.00S,2022-10-22T00:02:05.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,16,2022-10-22T00:02:05Z,1040000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M59.00S,2022-10-22T00:02:34.0Z,1,REGULAR,substitution,out,[],200768,,,1610612738,15,16,2022-10-22T00:04:43Z,1050000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M59.00S,2022-10-22T00:02:34.0Z,1,REGULAR,substitution,out,[],1629639,,,1610612738,15,16,2022-10-22T00:04:43Z,1060000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M59.00S,2022-10-22T00:02:34.0Z,1,REGULAR,substitution,out,[],1628997,,,1610612738,15,16,2022-10-22T00:04:43Z,1070000,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M59.00S,2022-10-22T00:02:34.0Z,1,REGULAR,substitution,out,[],203935,,,1610612738,15,16,2022-10-22T00:04:43Z,1080000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M59.00S,2022-10-22T00:02:34.0Z,1,REGULAR,substitution,in,[],1629216,,,1610612738,15,16,2022-10-22T00:04:43Z,1090000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M59.00S,2022-10-22T00:02:34.0Z,1,REGULAR,substitution,in,[],202710,,,1610612738,15,16,2022-10-22T00:04:43Z,1100000,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M59.00S,2022-10-22T00:02:34.0Z,1,REGULAR,substitution,in,[],1629130,,,1610612738,15,16,2022-10-22T00:04:43Z,1110000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M59.00S,2022-10-22T00:02:34.0Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,15,16,2022-10-22T00:04:43Z,1120000,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M59.00S,2022-10-22T00:05:20.9Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,15,17,2022-10-22T00:16:16Z,1130000,,,0,,D. White Free Throw 1 of 2 (4 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,Made,4.0,,,,,,,,,
119,PT02M59.00S,2022-10-22T00:05:33.3Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,15,18,2022-10-22T00:16:16Z,1140000,,,0,,D. White Free Throw 2 of 2 (5 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,Made,5.0,,,,,,,,,
120,PT02M36.00S,2022-10-22T00:05:59.8Z,1,REGULAR,3pt,Jump Shot,[],1629216,8.229303547963205,2.941176470588235,1610612748,18,18,2022-10-22T00:06:06Z,1150000,235.0,25.0,1,left,G. Vincent 3PT  (3 PTS) (J. Butler 2 AST),"[1629216, 202710]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Right Corner 3,24+ Right,,,,,,,,,23.66,Made,3.0,,,,,J. Butler,202710.0,2.0,,
122,PT02M19.00S,2022-10-22T00:06:16.7Z,1,REGULAR,3pt,Jump Shot,[],1628401,68.80749014454665,30.392156862745097,1610612738,18,21,2022-10-22T00:06:24Z,1170000,-98.0,241.0,1,right,D. White 25' 3PT  (8 PTS) (J. Brown 3 AST),"[1628401, 1627759]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,,,,,,25.99,Made,8.0,,,,,J. Brown,1627759.0,3.0,,
124,PT02M04.00S,2022-10-22T00:06:32.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,5.995400788436268,49.754901960784316,1610612748,20,21,2022-10-22T00:06:38Z,1190000,1.0,4.0,1,left,J. Butler cutting Layup (2 PTS) (G. Vincent 1 AST),"[202710, 1629216]",1610612748.0,MIA,cutting,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,,,,0.41,Made,2.0,,,,,G. Vincent,1629216.0,1.0,,
126,PT01M51.00S,2022-10-22T00:06:45.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.38042049934296,46.81372549019608,1610612738,20,23,2022-10-22T00:06:50Z,1210000,-16.0,10.0,1,right,J. Brown driving Layup (6 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,1.86,Made,6.0,,,,,,,,,
127,PT01M42.00S,2022-10-22T00:06:52.9Z,1,REGULAR,3pt,Jump Shot,[],1629622,29.122864651773984,21.568627450980394,1610612748,20,23,2022-10-22T00:18:29Z,1220000,142.0,221.0,1,left,MISS M. Strus 26' pullup 3PT,[1629622],1610612748.0,MIA,pullup,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,,,,,,,26.3,Missed,,,,,,,,,,
128,PT01M39.00S,2022-10-22T00:06:55.9Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,20,23,2022-10-22T00:07:00Z,1230000,,,0,,D. White REBOUND (Off:0 Def:6),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,127.0,6.0,6.0,0.0,,,,,
129,PT01M25.00S,2022-10-22T00:07:09.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,65.25952693823915,39.46078431372549,1610612738,20,26,2022-10-22T00:07:24Z,1240000,-53.0,274.0,1,right,J. Brown 27' 3PT pullup (9 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,,27.91,Made,9.0,,,,,,,,,
130,PT01M04.00S,2022-10-22T00:07:31.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203473,11.908672798948752,49.50980392156863,1610612748,22,26,2022-10-22T00:07:49Z,1250000,2.0,59.0,1,left,D. Dedmon Hook (2 PTS) (D. Robinson 1 AST),"[203473, 1629130]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,5.95,Made,2.0,,,,,D. Robinson,1629130.0,1.0,,
132,PT00M50.20S,2022-10-22T00:07:53.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629216,,,1610612738,22,26,2022-10-22T00:08:14Z,1270000,,,0,,G. Vincent personal FOUL (1 PF) (White 2 FT),"[1629216, 1628401]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Mid-Range,8-16 Left,1162.0,1.0,0.0,White,1628401.0,,,,,,,,,,,,,,,
134,PT00M50.20S,2022-10-22T00:08:15.2Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,22,27,2022-10-22T00:08:15Z,1290000,,,0,,D. White Free Throw 1 of 2 (9 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,Made,9.0,,,,,,,,,
135,PT00M50.20S,2022-10-22T00:08:16.0Z,1,REGULAR,substitution,out,[],203473,,,1610612738,22,27,2022-10-22T00:08:29Z,1300000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M50.20S,2022-10-22T00:08:16.0Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,22,27,2022-10-22T00:08:29Z,1310000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT00M50.20S,2022-10-22T00:08:16.0Z,1,REGULAR,substitution,in,[],1629312,,,1610612738,22,27,2022-10-22T00:08:29Z,1320000,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT00M50.20S,2022-10-22T00:08:16.0Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,22,27,2022-10-22T00:08:29Z,1330000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT00M50.20S,2022-10-22T00:08:48.0Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,22,28,2022-10-22T00:08:48Z,1340000,,,0,,D. White Free Throw 2 of 2 (10 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,Made,10.0,,,,,,,,,
140,PT00M43.30S,2022-10-22T00:09:02.7Z,1,REGULAR,foul,offensive,['inpenalty'],1629216,,,1610612748,22,28,2022-10-22T00:09:26Z,1350000,,,0,,G. Vincent offensive FOUL (2 PF),"[1629216, 1630573]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Left,1162.0,2.0,0.0,Hauser,1630573.0,,,,,,,,,,,,,,,
142,PT00M43.30S,2022-10-22T00:09:02.7Z,1,REGULAR,turnover,offensive foul,[],1629216,,,1610612748,22,28,2022-10-22T00:09:02Z,1370000,,,0,,G. Vincent offensive foul TURNOVER (1 TO),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Left,1162.0,,,,,1.0,,,,,,,,,,,,,,
143,PT00M43.30S,2022-10-22T00:09:15.0Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,22,28,2022-10-22T00:09:19Z,1380000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT00M43.30S,2022-10-22T00:09:15.0Z,1,REGULAR,substitution,in,[],1627763,,,1610612738,22,28,2022-10-22T00:09:19Z,1390000,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M26.80S,2022-10-22T00:09:35.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,67.49342969776609,22.794117647058822,1610612738,22,28,2022-10-22T00:09:42Z,1400000,-136.0,253.0,1,right,MISS G. Williams 28' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,28.73,Missed,,,,,,,,,,
146,PT00M24.30S,2022-10-22T00:09:38.0Z,1,REGULAR,rebound,offensive,[],203943,,,1610612738,22,28,2022-10-22T00:09:38Z,1410000,,,0,,N. Vonleh REBOUND (Off:1 Def:1),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,145.0,2.0,1.0,1.0,,,,,
147,PT00M23.50S,2022-10-22T00:09:40.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",203943,93.64323258869908,50.0,1610612738,22,30,2022-10-22T00:09:46Z,1420000,0.0,7.0,1,right,N. Vonleh driving DUNK (2 PTS),[203943],1610612738.0,BOS,driving,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,,,,,,,,,0.73,Made,2.0,,,,,,,,,
148,PT00M10.10S,2022-10-22T00:09:54.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,5.995400788436268,50.0,1610612748,22,30,2022-10-22T00:10:06Z,1430000,0.0,4.0,1,left,MISS M. Strus driving Layup - blocked,"[1629622, 203943]",1610612748.0,MIA,driving,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,,,,,,0.39,Missed,,,,,,,,,Vonleh,203943.0
149,PT00M10.10S,2022-10-22T00:09:54.7Z,1,REGULAR,block,,[],203943,,,1610612748,22,30,2022-10-22T00:09:57Z,1440000,,,0,,N. Vonleh BLOCK (2 BLK),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
150,PT00M06.40S,2022-10-22T00:09:58.4Z,1,REGULAR,rebound,offensive,[],1629130,,,1610612748,22,30,2022-10-22T00:10:06Z,1450000,,,0,,D. Robinson REBOUND (Off:1 Def:0),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,148.0,1.0,0.0,1.0,,,,,
151,PT00M02.80S,2022-10-22T00:10:12.3Z,1,REGULAR,foul,personal,[],1630573,,,1610612748,22,30,2022-10-22T00:10:23Z,1460000,,,0,,S. Hauser personal FOUL (1 PF),"[1630573, 1629130]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Mid-Range,16-24 Left Center,1162.0,1.0,0.0,Robinson,1629130.0,,,,,,,,,,,,,,,
153,PT00M00.00S,2022-10-22T00:10:45.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629312,32.933639947437584,51.225490196078425,1610612748,22,30,2022-10-22T00:11:03Z,1480000,-6.0,257.0,1,left,MISS H. Highsmith 25' 3PT - blocked,"[1629312, 1629684]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Center,,,,,,,,,25.72,Missed,,,,,,,,,Williams,1629684.0
154,PT00M00.00S,2022-10-22T00:10:45.5Z,1,REGULAR,block,,[],1629684,,,1610612748,22,30,2022-10-22T00:10:52Z,1490000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
155,PT00M00.00S,2022-10-22T00:10:45.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,22,30,2022-10-22T00:11:03Z,1500000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,153.0,,,,,,,,
156,PT00M00.00S,2022-10-22T00:11:01.7Z,1,REGULAR,period,end,[],0,,,1610612748,22,30,2022-10-22T00:11:01Z,1510000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-10-22T00:11:47.1Z,2,REGULAR,substitution,out,['startperiod'],1629312,,,1610612748,22,30,2022-10-22T00:14:09Z,1520000,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-10-22T00:11:47.1Z,2,REGULAR,substitution,in,['startperiod'],1628389,,,1610612748,22,30,2022-10-22T00:14:09Z,1530000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2022-10-22T00:14:24.9Z,2,REGULAR,period,start,[],0,,,1610612738,22,30,2022-10-22T00:14:24Z,1540000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT11M36.00S,2022-10-22T00:14:52.1Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612738,22,30,2022-10-22T00:15:06Z,1550000,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,1162.0,,,,,,,,,,,,,,,,,,,
161,PT11M19.00S,2022-10-22T00:15:18.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629216,27.94021024967148,6.862745098039216,1610612748,22,30,2022-10-22T00:15:32Z,1560000,216.0,210.0,1,left,MISS G. Vincent 30' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Right Center,,,,,,,,,30.11,Missed,,,,,,,,,,
162,PT11M17.00S,2022-10-22T00:15:20.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,22,30,2022-10-22T00:15:32Z,1570000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,161.0,,,,,,,,
164,PT11M10.00S,2022-10-22T00:15:41.5Z,2,REGULAR,3pt,Jump Shot,[],1630573,92.19776609724047,95.34313725490196,1610612738,22,33,2022-10-22T00:15:48Z,1590000,227.0,21.0,1,right,S. Hauser 3PT  (3 PTS) (G. Williams 1 AST),"[1630573, 1629684]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,,,,,,,,,22.77,Made,3.0,,,,,G. Williams,1629684.0,1.0,,
166,PT10M55.00S,2022-10-22T00:15:56.5Z,2,REGULAR,3pt,Jump Shot,[],1629622,36.35019710906702,33.088235294117645,1610612748,22,33,2022-10-22T00:16:05Z,1610000,85.0,289.0,1,left,MISS M. Strus 30' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,,,,,,,,,30.13,Missed,,,,,,,,,,
167,PT10M51.00S,2022-10-22T00:16:00.5Z,2,REGULAR,rebound,offensive,[],1628389,,,1610612748,22,33,2022-10-22T00:16:00Z,1620000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,166.0,1.0,0.0,1.0,,,,,
168,PT10M44.00S,2022-10-22T00:16:08.2Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1629216,21.50131406044678,49.01960784313725,1610612748,22,33,2022-10-22T00:16:23Z,1630000,5.0,150.0,1,left,MISS G. Vincent 14' pullup Shot,[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,Mid-Range,8-16 Center,,,,,,,,,14.97,Missed,,,,,,,,,,
169,PT10M41.00S,2022-10-22T00:16:11.2Z,2,REGULAR,rebound,offensive,[],202710,,,1610612748,22,33,2022-10-22T00:35:11Z,1640000,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,168.0,2.0,1.0,1.0,,,,,
173,PT10M40.00S,2022-10-22T00:16:11.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628389,6.1268068331143235,50.49019607843137,1610612748,24,33,2022-10-22T00:35:07Z,1650000,-2.0,5.0,1,left,B. Adebayo DUNK (8 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,0.57,Made,8.0,,,,,,,,,
