actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
83,PT03M40.00S,2022-11-02T23:54:46.6Z,1,REGULAR,3pt,Jump Shot,[],1629216,32.276609724047304,37.745098039215684,1610612748,21,20,2022-11-02T23:55:40Z,830000,61.0,251.0,1,left,G. Vincent 25' 3PT pullup (3 PTS),[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Center,25.83,Made,,,,,3.0,,,,,,,,,,,,,
84,PT03M30.00S,2022-11-02T23:54:58.0Z,1,REGULAR,turnover,bad pass,[],203521,,,1610612758,21,20,2022-11-02T23:55:03Z,840000,,,0,,M. Dellavedova bad pass TURNOVER (1 TO),"[203521, 1629639]",1610612758.0,SAC,,,,Dellavedova,M. Dellavedova,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,Herro,1629639.0,,,,,,
85,PT03M30.00S,2022-11-02T23:54:58.0Z,1,REGULAR,steal,,[],1629639,,,1610612748,21,20,2022-11-02T23:55:00Z,850000,,,0,,T. Herro STEAL (1 STL),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
86,PT03M28.00S,2022-11-02T23:55:01.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629639,6.783837056504599,51.470588235294116,1610612748,23,20,2022-11-02T23:55:08Z,860000,-7.0,11.0,1,left,T. Herro running DUNK (4 PTS),[1629639],1610612748.0,MIA,running,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,4.0,,,,,,,,,,,,,
87,PT03M28.00S,2022-11-02T23:55:07.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,23,20,2022-11-02T23:55:07Z,870000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M10.00S,2022-11-02T23:58:16.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,92.59198423127464,44.36274509803921,1610612758,23,22,2022-11-02T23:58:21Z,880000,-28.0,17.0,1,right,D. Sabonis driving Hook (8 PTS) (M. Monk 2 AST),"[1627734, 1628370]",1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.3,Made,,,,,8.0,M. Monk,1628370.0,2.0,,,,,,,,,,
91,PT02M51.00S,2022-11-02T23:58:34.7Z,1,REGULAR,3pt,Jump Shot,[],1629216,6.258212877792378,2.941176470588235,1610612748,23,22,2022-11-02T23:58:40Z,900000,235.0,6.0,1,left,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Right Corner 3,24+ Right,23.54,Missed,,,,,,,,,,,,,,,,,,
92,PT02M47.00S,2022-11-02T23:58:38.7Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,23,22,2022-11-02T23:58:40Z,910000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Right Corner 3,24+ Right,,,91.0,1.0,1.0,0.0,,,,,,,,,,,,,,
93,PT02M44.00S,2022-11-02T23:58:42.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628370,92.46057818659659,45.09803921568628,1610612758,23,24,2022-11-02T23:58:59Z,920000,-25.0,18.0,1,right,M. Monk running reverse Layup (2 PTS) (T. Lyles 1 AST),"[1628370, 1626168]",1610612758.0,SAC,running reverse,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,3.06,Made,,,,,2.0,T. Lyles,1626168.0,1.0,,,,,,,,,,
95,PT02M33.00S,2022-11-02T23:58:52.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,22.421156373193167,89.4607843137255,1610612748,26,24,2022-11-02T23:59:02Z,940000,-197.0,158.0,1,left,D. Robinson 25' 3PT  (3 PTS) (G. Vincent 1 AST),"[1629130, 1629216]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,25.3,Made,,,,,3.0,G. Vincent,1629216.0,1.0,,,,,,,,,,
97,PT02M24.00S,2022-11-02T23:59:02.4Z,1,REGULAR,3pt,Jump Shot,[],1626168,92.85479632063075,2.941176470588235,1610612758,26,27,2022-11-02T23:59:07Z,960000,-235.0,15.0,1,right,T. Lyles 3PT  (3 PTS) (M. Monk 3 AST),"[1626168, 1628370]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Left Corner 3,24+ Left,23.58,Made,,,,,3.0,M. Monk,1628370.0,3.0,,,,,,,,,,
99,PT01M57.00S,2022-11-02T23:59:29.2Z,1,REGULAR,2pt,Jump Shot,[],1628997,26.757555847568987,70.83333333333334,1610612748,26,27,2022-11-02T23:59:58Z,980000,-104.0,199.0,1,left,MISS C. Martin 22' pullup Shot,[1628997],1610612748.0,MIA,pullup,,,Martin,C. Martin,,,,,Mid-Range,16-24 Left Center,22.46,Missed,,,,,,,,,,,,,,,,,,
100,PT01M55.00S,2022-11-02T23:59:31.2Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,26,27,2022-11-02T23:59:31Z,990000,,,0,,C. Martin REBOUND (Off:2 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Left Center,,,99.0,3.0,1.0,2.0,,,,,,,,,,,,,,
104,PT01M55.00S,2022-11-03T00:00:05.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629639,5.601182654402102,79.16666666666666,1610612748,28,27,2022-11-03T00:04:08Z,1030000,-146.0,0.0,1,left,T. Herro 14' driving floating Jump Shot (6 PTS),[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,14.58,Made,,,,,6.0,,,,,,,,,,,,,
101,PT01M54.00S,2022-11-03T00:00:05.9Z,1,REGULAR,foul,personal,[],203473,,,1610612758,28,27,2022-11-03T00:04:50Z,1035000,,,0,,D. Dedmon loose ball personal FOUL (1 PF),"[203473, 203521]",1610612748.0,MIA,loose ball,,,Dedmon,D. Dedmon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2715.0,,,,1.0,0.0,Dellavedova,203521.0,,
105,PT01M43.00S,2022-11-03T00:00:20.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631099,93.11760840998686,50.0,1610612758,28,29,2022-11-03T00:04:08Z,1040000,0.0,12.0,1,right,K. Murray cutting DUNK (4 PTS) (M. Dellavedova 1 AST),"[1631099, 203521]",1610612758.0,SAC,cutting,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,4.0,M. Dellavedova,203521.0,1.0,,,,,,,,,,
107,PT01M32.00S,2022-11-03T00:00:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,7.703679369250986,53.92156862745098,1610612748,28,29,2022-11-03T00:00:38Z,1060000,-20.0,20.0,1,left,MISS G. Vincent driving Layup,[1629216],1610612748.0,MIA,driving,,,Vincent,G. Vincent,,,,,Restricted Area,0-8 Center,2.79,Missed,,,,,,,,,,,,,,,,,,
108,PT01M30.00S,2022-11-03T00:00:33.9Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,28,29,2022-11-03T00:00:38Z,1070000,,,0,,T. Lyles REBOUND (Off:0 Def:2),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,,,107.0,2.0,2.0,0.0,,,,,,,,,,,,,,
109,PT01M22.00S,2022-11-03T00:00:41.0Z,1,REGULAR,3pt,Jump Shot,[],1626168,71.17279894875165,21.813725490196077,1610612758,28,29,2022-11-03T00:01:54Z,1080000,-141.0,218.0,1,right,MISS T. Lyles 26' 3PT,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Left Center,26.0,Missed,,,,,,,,,,,,,,,,,,
110,PT01M20.00S,2022-11-03T00:00:43.0Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,28,29,2022-11-03T00:01:54Z,1090000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,109.0,1.0,1.0,0.0,,,,,,,,,,,,,,
111,PT01M15.00S,2022-11-03T00:00:48.3Z,1,REGULAR,3pt,Jump Shot,[],203473,30.831143232588698,33.088235294117645,1610612748,31,29,2022-11-03T00:01:04Z,1100000,85.0,237.0,1,left,D. Dedmon 25' 3PT  (3 PTS) (G. Vincent 2 AST),"[203473, 1629216]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,Above the Break 3,24+ Right Center,25.19,Made,,,,,3.0,G. Vincent,1629216.0,2.0,,,,,,,,,,
114,PT01M00.00S,2022-11-03T00:01:10.4Z,1,REGULAR,substitution,out,[],1629639,,,1610612758,31,29,2022-11-03T00:01:30Z,1130000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT01M00.00S,2022-11-03T00:01:10.4Z,1,REGULAR,substitution,out,[],1628997,,,1610612758,31,29,2022-11-03T00:01:30Z,1140000,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT01M00.00S,2022-11-03T00:01:10.4Z,1,REGULAR,substitution,out,[],1627734,,,1610612758,31,29,2022-11-03T00:01:30Z,1150000,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT01M00.00S,2022-11-03T00:01:10.4Z,1,REGULAR,substitution,in,[],1629622,,,1610612758,31,29,2022-11-03T00:01:30Z,1160000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M00.00S,2022-11-03T00:01:10.4Z,1,REGULAR,substitution,in,[],200768,,,1610612758,31,29,2022-11-03T00:01:30Z,1170000,,,0,,SUB in: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M00.00S,2022-11-03T00:01:10.4Z,1,REGULAR,substitution,in,[],1626158,,,1610612758,31,29,2022-11-03T00:01:30Z,1180000,,,0,,SUB in: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT00M50.80S,2022-11-03T00:01:41.5Z,1,REGULAR,3pt,Jump Shot,[],1628370,68.9388961892247,71.56862745098039,1610612758,31,29,2022-11-03T00:01:47Z,1190000,108.0,239.0,1,right,MISS M. Monk 26' 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,26.26,Missed,,,,,,,,,,,,,,,,,,
121,PT00M48.30S,2022-11-03T00:01:44.0Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,31,29,2022-11-03T00:01:47Z,1200000,,,0,,D. Dedmon REBOUND (Off:0 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,Above the Break 3,24+ Right Center,,,120.0,1.0,1.0,0.0,,,,,,,,,,,,,,
122,PT00M43.20S,2022-11-03T00:01:49.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203473,32.53942181340342,48.529411764705884,1610612748,31,29,2022-11-03T00:02:33Z,1210000,7.0,253.0,1,left,MISS D. Dedmon 25' 3PT,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,Above the Break 3,24+ Center,25.35,Missed,,,,,,,,,,,,,,,,,,
123,PT00M39.00S,2022-11-03T00:01:53.6Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,31,29,2022-11-03T00:02:04Z,1220000,,,0,,T. Lyles REBOUND (Off:0 Def:3),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Center,,,122.0,3.0,3.0,0.0,,,,,,,,,,,,,,
124,PT00M34.00S,2022-11-03T00:02:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,92.46057818659659,46.32352941176471,1610612758,31,31,2022-11-03T00:02:23Z,1230000,-18.0,18.0,1,right,M. Monk driving Layup (4 PTS),[1628370],1610612758.0,SAC,driving,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,2.6,Made,,,,,4.0,,,,,,,,,,,,,
125,PT00M34.00S,2022-11-03T00:02:05.2Z,1,REGULAR,foul,personal,"['1freethrow', 'inpenalty']",1629622,,,1610612758,31,31,2022-11-03T00:03:15Z,1240000,,,0,,M. Strus shooting personal FOUL (1 PF) (Monk 1 FT),"[1629622, 1628370]",1610612748.0,MIA,shooting,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1193.0,,,,1.0,0.0,Monk,1628370.0,,
127,PT00M34.00S,2022-11-03T00:02:24.1Z,1,REGULAR,freethrow,1 of 1,[],1628370,,,1610612758,31,32,2022-11-03T00:02:24Z,1260000,,,0,,M. Monk Free Throw 1 of 1 (5 PTS),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
128,PT00M29.00S,2022-11-03T00:02:32.7Z,1,REGULAR,3pt,Jump Shot,[],1629216,24.655059132720105,85.5392156862745,1610612748,31,32,2022-11-03T00:07:21Z,1270000,-178.0,179.0,1,left,MISS G. Vincent 25' pullup 3PT,[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Left Center,25.24,Missed,,,,,,,,,,,,,,,,,,
129,PT00M25.40S,2022-11-03T00:02:36.3Z,1,REGULAR,rebound,offensive,[],203473,,,1610612748,31,32,2022-11-03T00:02:36Z,1280000,,,0,,D. Dedmon REBOUND (Off:1 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,Above the Break 3,24+ Left Center,,,128.0,2.0,1.0,1.0,,,,,,,,,,,,,,
130,PT00M21.30S,2022-11-03T00:02:45.5Z,1,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612748,31,32,2022-11-03T00:03:14Z,1290000,,,0,,M. Monk shooting personal FOUL (1 PF) (Lowry 2 FT),"[1628370, 200768]",1610612758.0,SAC,shooting,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2715.0,,,,1.0,0.0,Lowry,200768.0,,
132,PT00M21.30S,2022-11-03T00:03:15.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],200768,,,1610612748,32,32,2022-11-03T00:03:15Z,1310000,,,0,,K. Lowry Free Throw 1 of 2 (11 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
133,PT00M21.30S,2022-11-03T00:03:16.4Z,1,REGULAR,substitution,out,[],1629130,,,1610612748,32,32,2022-11-03T00:03:20Z,1320000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT00M21.30S,2022-11-03T00:03:16.4Z,1,REGULAR,substitution,out,[],1626158,,,1610612748,32,32,2022-11-03T00:03:20Z,1330000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M21.30S,2022-11-03T00:03:16.4Z,1,REGULAR,substitution,in,[],1628997,,,1610612748,32,32,2022-11-03T00:03:20Z,1340000,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M21.30S,2022-11-03T00:03:16.4Z,1,REGULAR,substitution,in,[],1627734,,,1610612748,32,32,2022-11-03T00:03:20Z,1350000,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT00M21.30S,2022-11-03T00:03:39.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],200768,,,1610612748,33,32,2022-11-03T00:03:39Z,1360000,,,0,,K. Lowry Free Throw 2 of 2 (12 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
138,PT00M01.60S,2022-11-03T00:04:05.8Z,1,REGULAR,turnover,out-of-bounds,[],1626168,,,1610612758,33,32,2022-11-03T00:04:12Z,1370000,,,0,,T. Lyles step out-of-bounds TURNOVER (1 TO),[1626168],1610612758.0,SAC,step,,,Lyles,T. Lyles,,,,,Mid-Range,8-16 Left,,,,,,,,,,,2715.0,1.0,,,,,,,,
139,PT00M00.00S,2022-11-03T00:04:26.2Z,1,REGULAR,period,end,[],0,,,1610612748,33,32,2022-11-03T00:04:26Z,1380000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2022-11-03T00:04:56.9Z,2,REGULAR,substitution,out,['startperiod'],203473,,,1610612748,33,32,2022-11-03T00:07:04Z,1390000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2022-11-03T00:04:56.9Z,2,REGULAR,substitution,out,['startperiod'],1628997,,,1610612748,33,32,2022-11-03T00:07:04Z,1400000,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2022-11-03T00:04:56.9Z,2,REGULAR,substitution,out,['startperiod'],1626168,,,1610612748,33,32,2022-11-03T00:07:04Z,1410000,,,0,,SUB out: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2022-11-03T00:04:56.9Z,2,REGULAR,substitution,out,['startperiod'],1627734,,,1610612748,33,32,2022-11-03T00:07:04Z,1420000,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2022-11-03T00:04:56.9Z,2,REGULAR,substitution,in,['startperiod'],1628389,,,1610612748,33,32,2022-11-03T00:07:04Z,1430000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2022-11-03T00:04:56.9Z,2,REGULAR,substitution,in,['startperiod'],1629130,,,1610612748,33,32,2022-11-03T00:07:04Z,1440000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2022-11-03T00:04:56.9Z,2,REGULAR,substitution,in,['startperiod'],1628989,,,1610612748,33,32,2022-11-03T00:07:04Z,1450000,,,0,,SUB in: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2022-11-03T00:04:56.9Z,2,REGULAR,substitution,in,['startperiod'],1626158,,,1610612748,33,32,2022-11-03T00:07:04Z,1460000,,,0,,SUB in: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2022-11-03T00:07:11.4Z,2,REGULAR,period,start,[],0,,,1610612758,33,32,2022-11-03T00:07:11Z,1470000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT11M45.00S,2022-11-03T00:07:25.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,90.22667542706965,51.71568627450981,1610612758,33,34,2022-11-03T00:07:31Z,1480000,9.0,39.0,1,right,M. Monk driving floating Jump Shot (7 PTS) (K. Huerter 2 AST),"[1628370, 1628989]",1610612758.0,SAC,driving floating,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,4.03,Made,,,,,7.0,K. Huerter,1628989.0,2.0,,,,,,,,,,
151,PT11M22.00S,2022-11-03T00:07:53.3Z,2,REGULAR,foul,offensive,[],1628389,,,1610612748,33,34,2022-11-03T00:08:05Z,1500000,,,0,,B. Adebayo charge offensive FOUL (1 PF),"[1628389, 203521]",1610612748.0,MIA,charge,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,2715.0,,,,1.0,0.0,Dellavedova,203521.0,,
153,PT11M22.00S,2022-11-03T00:07:53.3Z,2,REGULAR,turnover,offensive foul,[],1628389,,,1610612748,33,34,2022-11-03T00:07:53Z,1520000,,,0,,B. Adebayo offensive foul TURNOVER (2 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,2715.0,2.0,,,,,,,,
154,PT11M09.00S,2022-11-03T00:08:19.8Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1628989,76.69185282522996,75.24509803921569,1610612758,33,34,2022-11-03T00:08:42Z,1530000,126.0,167.0,1,right,MISS K. Huerter 20' pullup Shot,[1628989],1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Right Center,20.9,Missed,,,,,,,,,,,,,,,,,,
155,PT11M03.00S,2022-11-03T00:08:25.8Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,33,34,2022-11-03T00:08:27Z,1540000,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,,,154.0,3.0,3.0,0.0,,,,,,,,,,,,,,
156,PT11M03.00S,2022-11-03T00:08:32.0Z,2,REGULAR,foul,personal,[],203521,,,1610612748,33,34,2022-11-03T00:08:45Z,1550000,,,0,,M. Dellavedova personal FOUL (1 PF),"[203521, 200768]",1610612758.0,SAC,,,,Dellavedova,M. Dellavedova,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,2715.0,,,,1.0,0.0,Lowry,200768.0,,
158,PT10M49.00S,2022-11-03T00:09:02.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,7.35873850197109,39.71354166666667,1610612748,33,34,2022-11-03T00:09:25Z,1570000,51.0,17.0,1,left,MISS G. Vincent driving Layup,[1629216],1610612748.0,MIA,driving,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),0-8 Center,5.4,Missed,,,,,,,,,,,,,,,,,,
159,PT10M47.00S,2022-11-03T00:09:04.5Z,2,REGULAR,rebound,defensive,[],1631099,,,1610612758,33,34,2022-11-03T00:09:06Z,1580000,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,158.0,1.0,1.0,0.0,,,,,,,,,,,,,,
160,PT10M32.00S,2022-11-03T00:09:20.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203521,91.67214191852825,56.127450980392155,1610612758,33,34,2022-11-03T00:09:25Z,1590000,31.0,26.0,1,right,MISS M. Dellavedova driving floating Shot,[203521],1610612758.0,SAC,driving floating,,,Dellavedova,M. Dellavedova,,,,,Restricted Area,0-8 Center,4.0,Missed,,,,,,,,,,,,,,,,,,
161,PT10M30.00S,2022-11-03T00:09:22.0Z,2,REGULAR,rebound,defensive,[],1629130,,,1610612748,33,34,2022-11-03T00:09:25Z,1600000,,,0,,D. Robinson REBOUND (Off:0 Def:2),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,160.0,2.0,2.0,0.0,,,,,,,,,,,,,,
162,PT10M21.00S,2022-11-03T00:09:30.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,7.046649145860711,46.32352941176471,1610612748,33,34,2022-11-03T00:09:37Z,1610000,18.0,14.0,1,left,MISS B. Adebayo driving Layup - blocked,"[1628389, 1631099]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,2.29,Missed,,,,,,,,,,,,,,,,,Murray,1631099.0
163,PT10M21.00S,2022-11-03T00:09:30.3Z,2,REGULAR,block,,[],1631099,,,1610612748,33,34,2022-11-03T00:09:33Z,1620000,,,0,,K. Murray BLOCK (1 BLK),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
164,PT10M18.00S,2022-11-03T00:09:33.3Z,2,REGULAR,rebound,defensive,[],1626158,,,1610612758,33,34,2022-11-03T00:18:31Z,1630000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,Restricted Area,0-8 Center,,,162.0,1.0,1.0,0.0,,,,,,,,,,,,,,
165,PT10M14.00S,2022-11-03T00:09:37.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631099,75.77201051248358,84.31372549019608,1610612758,33,34,2022-11-03T00:09:45Z,1640000,172.0,175.0,1,right,MISS K. Murray 24' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,24.52,Missed,,,,,,,,,,,,,,,,,,
166,PT10M11.00S,2022-11-03T00:09:40.0Z,2,REGULAR,rebound,defensive,[],1629130,,,1610612748,33,34,2022-11-03T00:09:45Z,1650000,,,0,,D. Robinson REBOUND (Off:0 Def:3),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,,,165.0,3.0,3.0,0.0,,,,,,,,,,,,,,
167,PT09M56.00S,2022-11-03T00:09:55.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629216,8.623521681997373,46.568627450980394,1610612748,33,34,2022-11-03T00:10:06Z,1660000,17.0,29.0,1,left,MISS G. Vincent driving Hook,[1629216],1610612748.0,MIA,driving,,,Vincent,G. Vincent,,,,,Restricted Area,0-8 Center,3.34,Missed,,,,,,,,,,,,,,,,,,
168,PT09M54.00S,2022-11-03T00:09:57.2Z,2,REGULAR,rebound,defensive,[],1628989,,,1610612758,33,34,2022-11-03T00:10:06Z,1670000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,167.0,1.0,1.0,0.0,,,,,,,,,,,,,,
