actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
56,PT07M37.00S,2022-11-08T01:40:00.9Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,10,10,2022-11-08T01:40:02Z,530000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,,,55.0,1.0,0.0,1.0,,,,,,,
57,PT07M37.00S,2022-11-08T01:40:01.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628997,5.590000152587891,50.0,1610612748,12,10,2022-11-08T01:40:01Z,540000,0.0,0.0,1,left,C. Martin tip Layup (2 PTS),[1628997],1610612748.0,MIA,tip,,,Martin,C. Martin,,,,,Mid-Range,8-16 Left,,,,0.0,Made,2.0,,,,,,,,,,,,,,
58,PT07M32.00S,2022-11-08T01:40:05.8Z,1,REGULAR,3pt,Jump Shot,[],203081,78.26872536136662,93.13725490196079,1610612757,12,10,2022-11-08T01:40:15Z,550000,216.0,152.0,1,right,MISS D. Lillard 26' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,,,,26.38,Missed,,,,,,,,,,,,,,,
59,PT07M29.00S,2022-11-08T01:40:08.8Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,12,10,2022-11-08T01:40:15Z,560000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,58.0,2.0,2.0,0.0,,,,,,,
60,PT07M14.00S,2022-11-08T01:40:24.9Z,1,REGULAR,3pt,Jump Shot,[],1629622,12.434296977660972,96.32352941176471,1610612748,15,10,2022-11-08T01:40:29Z,570000,-232.0,64.0,1,left,M. Strus 24' 3PT  (3 PTS) (K. Lowry 1 AST),"[1629622, 200768]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,Left Corner 3,24+ Left,,,,24.04,Made,3.0,K. Lowry,200768.0,1.0,,,,,,,,,,,
62,PT06M55.00S,2022-11-08T01:40:42.1Z,1,REGULAR,3pt,Jump Shot,[],203924,73.9323258869908,12.990196078431374,1610612757,15,13,2022-11-08T01:40:48Z,590000,-185.0,193.0,1,right,J. Grant 26' 3PT  (7 PTS) (J. Nurkic 1 AST),"[203924, 203994]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,,,,26.7,Made,7.0,J. Nurkic,203994.0,1.0,,,,,,,,,,,
64,PT06M44.00S,2022-11-08T01:40:54.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,13.61695137976347,96.07843137254902,1610612748,15,13,2022-11-08T01:40:59Z,610000,-230.0,75.0,1,left,MISS M. Strus 24' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Left Corner 3,24+ Left,,,,24.25,Missed,,,,,,,,,,,,,,,
65,PT06M40.00S,2022-11-08T01:40:58.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,15,13,2022-11-08T01:40:59Z,620000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Left Corner 3,24+ Left,,,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,
66,PT06M26.00S,2022-11-08T01:41:12.2Z,1,REGULAR,3pt,Jump Shot,[],203924,94.69448094612353,96.32352941176471,1610612757,15,16,2022-11-08T01:41:17Z,630000,232.0,-3.0,1,right,J. Grant 3PT  (10 PTS) (J. Hart 2 AST),"[203924, 1628404]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,,,,23.16,Made,10.0,J. Hart,1628404.0,2.0,,,,,,,,,,,
68,PT06M06.00S,2022-11-08T01:41:31.7Z,1,REGULAR,3pt,Jump Shot,[],1629622,26.49474375821288,82.84313725490196,1610612748,15,16,2022-11-08T01:41:38Z,650000,-164.0,197.0,1,left,MISS M. Strus 25' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,,,,25.62,Missed,,,,,,,,,,,,,,,
69,PT06M03.00S,2022-11-08T01:41:34.7Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,15,16,2022-11-08T01:41:38Z,660000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,68.0,1.0,0.0,1.0,,,,,,,
70,PT06M00.00S,2022-11-08T01:41:37.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628997,32.53942181340342,36.76470588235294,1610612748,15,16,2022-11-08T01:41:42Z,670000,66.0,253.0,1,left,MISS C. Martin 26' 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,26.19,Missed,,,,,,,,,,,,,,,
71,PT05M58.00S,2022-11-08T01:41:39.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,15,16,2022-11-08T01:41:42Z,680000,,,0,,J. Hart REBOUND (Off:0 Def:3),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,,,,,,,,,,70.0,3.0,3.0,0.0,,,,,,,
72,PT05M50.00S,2022-11-08T01:41:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,94.1688567674113,48.03921568627451,1610612757,15,16,2022-11-08T01:41:53Z,690000,-10.0,2.0,1,right,MISS J. Grant driving Layup,[203924],1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,1.01,Missed,,,,,,,,,,,,,,,
73,PT05M48.00S,2022-11-08T01:41:50.1Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,15,16,2022-11-08T01:41:53Z,700000,,,0,,K. Lowry REBOUND (Off:0 Def:3),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,,,,72.0,3.0,3.0,0.0,,,,,,,
