actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
89,PT04M47.00S,2023-01-22T20:58:08.0Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,15,20,2023-01-22T20:58:08Z,860000,False,,,0,,T. Herro Free Throw 2 of 2 (4 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
90,PT04M30.00S,2023-01-22T20:58:25.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629637,5.995400788436268,51.470588235294116,1610612740,15,22,2023-01-22T20:58:30Z,870000,False,-7.0,4.0,1,left,J. Hayes alley-oop DUNK (2 PTS) (L. Nance Jr. 1 AST),"[1629637, 1626204]",1610612740.0,NOP,alley-oop,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,,,,0.84,Made,2.0,,,,,L. Nance Jr.,1626204.0,1.0,,,,,,,
92,PT04M16.00S,2023-01-22T20:58:40.3Z,1,REGULAR,turnover,bad pass,[],203506,,,1610612748,15,22,2023-01-22T20:58:45Z,890000,False,,,0,,V. Oladipo bad pass TURNOVER (1 TO),"[203506, 1629637]",1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,Mid-Range,8-16 Left,1.0,Hayes,1629637.0,,,,,,,,,,,,,,,,,
93,PT04M16.00S,2023-01-22T20:58:40.3Z,1,REGULAR,steal,,[],1629637,,,1610612740,15,22,2023-01-22T20:58:42Z,900000,False,,,0,,J. Hayes STEAL (1 STL),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
94,PT04M13.00S,2023-01-22T20:58:45.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630530,5.338370565045992,47.30392156862745,1610612740,15,24,2023-01-22T20:58:53Z,910000,False,13.0,-2.0,1,left,T. Murphy III running DUNK (7 PTS) (C. McCollum 2 AST),"[1630530, 203468]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,1.37,Made,7.0,,,,,C. McCollum,203468.0,2.0,,,,,,,
96,PT04M13.00S,2023-01-22T20:58:52.5Z,1,REGULAR,foul,personal,['1freethrow'],1629639,,,1610612740,15,24,2023-01-22T20:59:07Z,930000,False,,,0,,T. Herro shooting personal FOUL (1 PF) (Murphy III 1 FT),"[1629639, 1630530]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Murphy III,1630530.0
98,PT04M13.00S,2023-01-22T20:59:13.8Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630530,,,1610612740,15,25,2023-01-22T20:59:13Z,950000,False,,,0,,T. Murphy III Free Throw 1 of 1 (8 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,
99,PT03M47.00S,2023-01-22T20:59:39.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,87.33574244415243,51.470588235294116,1610612748,17,25,2023-01-22T20:59:46Z,960000,False,7.0,67.0,1,right,T. Herro 6' driving floating Jump Shot (6 PTS) (V. Oladipo 1 AST),"[1629639, 203506]",1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,6.69,Made,6.0,,,,,V. Oladipo,203506.0,1.0,,,,,,,
101,PT03M35.00S,2023-01-22T20:59:55.4Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612740,17,25,2023-01-22T21:00:02Z,980000,False,,,0,,K. Lowry shooting personal FOUL (1 PF) (Hayes 2 FT),"[200768, 1629637]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Hayes,1629637.0
103,PT03M35.00S,2023-01-22T21:00:25.0Z,1,REGULAR,freethrow,1 of 2,[],1629637,,,1610612740,17,25,2023-01-22T21:00:25Z,1000000,False,,,0,,MISS J. Hayes Free Throw 1 of 2,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
104,PT03M35.00S,2023-01-22T21:00:25.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,17,25,2023-01-22T21:00:25Z,1010000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,103.0,,,,,,,,,,,,,
105,PT03M35.00S,2023-01-22T21:00:26.5Z,1,REGULAR,substitution,out,[],200768,,,1610612740,17,25,2023-01-22T21:00:29Z,1020000,False,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M35.00S,2023-01-22T21:00:26.5Z,1,REGULAR,substitution,in,[],1629216,,,1610612740,17,25,2023-01-22T21:00:29Z,1030000,False,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M35.00S,2023-01-22T21:00:43.6Z,1,REGULAR,freethrow,2 of 2,[],1629637,,,1610612740,17,26,2023-01-22T21:00:43Z,1040000,False,,,0,,J. Hayes Free Throw 2 of 2 (3 PTS),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
108,PT03M23.00S,2023-01-22T21:00:57.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,92.90407358738501,41.44454656862745,1610612748,19,26,2023-01-22T21:01:14Z,1050000,False,-43.0,14.0,1,right,T. Herro driving bank Jump Shot (8 PTS),[1629639],1610612748.0,MIA,driving bank,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,4.51,Made,8.0,,,,,,,,,,,,,,
109,PT03M07.00S,2023-01-22T21:01:13.7Z,1,REGULAR,turnover,bad pass,[],1629637,,,1610612740,19,26,2023-01-22T21:01:18Z,1060000,False,,,0,,J. Hayes bad pass TURNOVER (1 TO),"[1629637, 203506]",1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,In The Paint (Non-RA),0-8 Center,1.0,Oladipo,203506.0,,,,,,,,,,,,,,,,,
110,PT03M07.00S,2023-01-22T21:01:13.7Z,1,REGULAR,steal,,[],203506,,,1610612748,19,26,2023-01-22T21:01:15Z,1070000,False,,,0,,V. Oladipo STEAL (1 STL),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
111,PT03M04.00S,2023-01-22T21:01:19.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202710,94.69448094612353,50.49019607843137,1610612748,21,26,2023-01-22T21:04:36Z,1080000,False,2.0,-3.0,1,right,J. Butler running DUNK (2 PTS) (T. Herro 2 AST),"[202710, 1629639]",1610612748.0,MIA,running,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,0.36,Made,2.0,,,,,T. Herro,1629639.0,2.0,,,,,,,
113,PT03M02.00S,2023-01-22T21:01:29.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,21,26,2023-01-22T21:01:29Z,1100000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M02.00S,2023-01-22T21:03:14.8Z,1,REGULAR,substitution,out,[],1629639,,,1610612740,21,26,2023-01-22T21:04:20Z,1110000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M02.00S,2023-01-22T21:03:14.8Z,1,REGULAR,substitution,in,[],1629622,,,1610612740,21,26,2023-01-22T21:04:20Z,1120000,False,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M48.00S,2023-01-22T21:04:40.9Z,1,REGULAR,foul,personal,['2freethrow'],1629216,,,1610612740,21,26,2023-01-22T21:04:48Z,1130000,False,,,0,,G. Vincent shooting personal FOUL (1 PF) (Murphy III 2 FT),"[1629216, 1630530]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Murphy III,1630530.0
118,PT02M48.00S,2023-01-22T21:05:04.6Z,1,REGULAR,freethrow,1 of 2,[],1630530,,,1610612740,21,27,2023-01-22T21:05:04Z,1150000,False,,,0,,T. Murphy III Free Throw 1 of 2 (9 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
119,PT02M48.00S,2023-01-22T21:05:06.7Z,1,REGULAR,substitution,out,[],203468,,,1610612740,21,27,2023-01-22T21:05:13Z,1160000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M48.00S,2023-01-22T21:05:06.7Z,1,REGULAR,substitution,in,[],1630631,,,1610612740,21,27,2023-01-22T21:05:13Z,1170000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M48.00S,2023-01-22T21:05:27.8Z,1,REGULAR,freethrow,2 of 2,[],1630530,,,1610612740,21,28,2023-01-22T21:05:27Z,1180000,False,,,0,,T. Murphy III Free Throw 2 of 2 (10 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,
122,PT02M31.00S,2023-01-22T21:05:47.2Z,1,REGULAR,3pt,Jump Shot,[],203506,69.72733245729303,76.22549019607843,1610612748,21,28,2023-01-22T21:07:49Z,1190000,False,131.0,232.0,1,right,MISS V. Oladipo 26' pullup 3PT,[203506],1610612748.0,MIA,pullup,,,Oladipo,V. Oladipo,,,,,Above the Break 3,24+ Right Center,,,,26.66,Missed,,,,,,,,,,,,,,,
123,PT02M26.00S,2023-01-22T21:05:52.2Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612740,21,28,2023-01-22T21:05:53Z,1200000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,122.0,1.0,1.0,0.0,,,,,,,,,,
124,PT02M04.00S,2023-01-22T21:06:13.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,14.4053876478318,42.15686274509804,1610612740,21,28,2023-01-22T21:06:18Z,1210000,False,39.0,83.0,1,left,MISS T. Murphy III 9' driving floating Shot,[1630530],1610612740.0,NOP,driving floating,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,,9.17,Missed,,,,,,,,,,,,,,,
125,PT02M02.00S,2023-01-22T21:06:15.5Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,21,28,2023-01-22T21:06:18Z,1220000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,
127,PT01M53.00S,2023-01-22T21:06:30.8Z,1,REGULAR,substitution,out,[],202710,,,1610612748,21,28,2023-01-22T21:06:45Z,1240000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M53.00S,2023-01-22T21:06:30.8Z,1,REGULAR,substitution,out,[],1631115,,,1610612748,21,28,2023-01-22T21:06:45Z,1250000,False,,,0,,SUB out: O. Robinson,[1631115],1610612748.0,MIA,,,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M53.00S,2023-01-22T21:06:30.8Z,1,REGULAR,substitution,out,[],1630530,,,1610612748,21,28,2023-01-22T21:06:45Z,1260000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M53.00S,2023-01-22T21:06:30.8Z,1,REGULAR,substitution,in,[],1628997,,,1610612748,21,28,2023-01-22T21:06:45Z,1270000,False,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M53.00S,2023-01-22T21:06:30.8Z,1,REGULAR,substitution,in,[],1628389,,,1610612748,21,28,2023-01-22T21:06:45Z,1280000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M53.00S,2023-01-22T21:06:30.8Z,1,REGULAR,substitution,in,[],1630700,,,1610612748,21,28,2023-01-22T21:06:45Z,1290000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M45.00S,2023-01-22T21:06:55.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,76.03482260183968,12.254901960784313,1610612748,21,28,2023-01-22T21:07:02Z,1300000,False,-189.0,173.0,1,right,MISS M. Strus 25' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,,,,25.59,Missed,,,,,,,,,,,,,,,
134,PT01M42.00S,2023-01-22T21:06:58.5Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,21,28,2023-01-22T21:07:02Z,1310000,False,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,Above the Break 3,24+ Left Center,,,,,,,133.0,1.0,1.0,0.0,,,,,,,,,,
135,PT01M28.00S,2023-01-22T21:07:11.9Z,1,REGULAR,3pt,Jump Shot,[],1628984,19.398817345597898,93.62745098039215,1610612740,21,28,2023-01-22T21:07:16Z,1320000,False,-218.0,130.0,1,left,MISS D. Graham 25' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,Above the Break 3,24+ Left Center,,,,25.38,Missed,,,,,,,,,,,,,,,
136,PT01M26.00S,2023-01-22T21:07:13.9Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,21,28,2023-01-22T21:07:16Z,1330000,False,,,0,,C. Martin REBOUND (Off:0 Def:2),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,,135.0,2.0,2.0,0.0,,,,,,,,,,
137,PT01M16.00S,2023-01-22T21:07:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,94.1688567674113,52.94117647058824,1610612748,23,28,2023-01-22T21:07:34Z,1340000,False,15.0,2.0,1,right,C. Martin reverse Layup (4 PTS),[1628997],1610612748.0,MIA,reverse,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,1.49,Made,4.0,,,,,,,,,,,,,,
138,PT01M01.00S,2023-01-22T21:07:38.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629637,8.623521681997373,47.05882352941176,1610612740,23,28,2023-01-22T21:07:44Z,1350000,False,15.0,29.0,1,left,MISS J. Hayes cutting Layup,[1629637],1610612740.0,NOP,cutting,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,,,,3.22,Missed,,,,,,,,,,,,,,,
139,PT00M58.50S,2023-01-22T21:07:41.5Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,23,28,2023-01-22T21:07:41Z,1360000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,,,,138.0,1.0,1.0,0.0,,,,,,,,,,
140,PT00M54.50S,2023-01-22T21:07:46.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628389,94.1688567674113,53.18627450980392,1610612748,23,28,2023-01-22T21:10:45Z,1370000,False,16.0,2.0,1,right,MISS B. Adebayo running Layup - blocked,"[1628389, 1630700]",1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,1.61,Missed,,,,,,,,,Daniels,1630700.0,,,,,
141,PT00M54.50S,2023-01-22T21:07:46.4Z,1,REGULAR,block,,[],1630700,,,1610612748,23,28,2023-01-22T21:08:12Z,1380000,False,,,0,,D. Daniels BLOCK (1 BLK),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
142,PT00M50.20S,2023-01-22T21:07:50.7Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,23,28,2023-01-22T21:08:12Z,1390000,False,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,Restricted Area,0-8 Center,,,,,,,140.0,1.0,1.0,0.0,,,,,,,,,,
143,PT00M50.20S,2023-01-22T21:07:55.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628997,,,1610612740,23,28,2023-01-22T21:08:04Z,1400000,False,,,0,,C. Martin shooting personal FOUL (1 PF) (Graham 2 FT),"[1628997, 1628984]",1610612748.0,MIA,shooting,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Graham,1628984.0
145,PT00M50.20S,2023-01-22T21:08:23.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628984,,,1610612740,23,28,2023-01-22T21:08:24Z,1420000,False,,,0,,MISS D. Graham Free Throw 1 of 2,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
146,PT00M50.20S,2023-01-22T21:08:23.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,23,28,2023-01-22T21:08:24Z,1430000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,145.0,,,,,,,,,,,,,
147,PT00M50.20S,2023-01-22T21:08:44.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628984,,,1610612740,23,29,2023-01-22T21:08:44Z,1440000,False,,,0,,D. Graham Free Throw 2 of 2 (1 PTS),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
148,PT00M41.20S,2023-01-22T21:09:01.0Z,1,REGULAR,foul,offensive,['inpenalty'],1629622,,,1610612748,23,29,2023-01-22T21:09:14Z,1450000,False,,,0,,M. Strus charge offensive FOUL (1 PF),"[1629622, 1626204]",1610612748.0,MIA,charge,,,Strus,M. Strus,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Nance Jr.,1626204.0
150,PT00M41.20S,2023-01-22T21:09:01.0Z,1,REGULAR,turnover,offensive foul,[],1629622,,,1610612748,23,29,2023-01-22T21:09:01Z,1470000,False,,,0,,M. Strus offensive foul TURNOVER (1 TO),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,In The Paint (Non-RA),8-16 Left,1.0,,,,,,,,,,,,,,,2002.0,,,,
151,PT00M32.70S,2023-01-22T21:09:24.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630700,26.231931668856767,83.33333333333334,1610612740,23,29,2023-01-22T21:09:28Z,1480000,False,-167.0,194.0,1,left,MISS D. Daniels 25' 3PT,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,25.59,Missed,,,,,,,,,,,,,,,
152,PT00M30.80S,2023-01-22T21:09:26.2Z,1,REGULAR,rebound,defensive,[],203506,,,1610612748,23,29,2023-01-22T21:09:26Z,1490000,False,,,0,,V. Oladipo REBOUND (Off:0 Def:1),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,Above the Break 3,24+ Left Center,,,,,,,151.0,1.0,1.0,0.0,,,,,,,,,,
153,PT00M15.70S,2023-01-22T21:09:41.3Z,1,REGULAR,turnover,bad pass,[],203506,,,1610612748,23,29,2023-01-22T21:09:46Z,1500000,False,,,0,,V. Oladipo bad pass TURNOVER (2 TO),"[203506, 1628984]",1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,Mid-Range,16-24 Left Center,2.0,Graham,1628984.0,,,,,,,,,,,,,,,,,
154,PT00M15.70S,2023-01-22T21:09:41.3Z,1,REGULAR,steal,,[],1628984,,,1610612740,23,29,2023-01-22T21:09:43Z,1510000,False,,,0,,D. Graham STEAL (1 STL),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
155,PT00M02.00S,2023-01-22T21:09:57.1Z,1,REGULAR,turnover,out-of-bounds,[],1630631,,,1610612740,23,29,2023-01-22T21:10:05Z,1520000,False,,,0,,J. Alvarado lost ball out-of-bounds TURNOVER (1 TO),[1630631],1610612740.0,NOP,lost ball,,,Alvarado,J. Alvarado,,,,,Mid-Range,8-16 Left,1.0,,,,,,,,,,,,,,,1627961.0,,,,
156,PT00M00.00S,2023-01-22T21:10:11.6Z,1,REGULAR,turnover,bad pass,[],203506,,,1610612748,23,29,2023-01-22T21:10:17Z,1530000,False,,,0,,V. Oladipo bad pass TURNOVER (3 TO),"[203506, 1628984]",1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,Above the Break 3,24+ Right Center,3.0,Graham,1628984.0,,,,,,,,,,,,,,,,,
157,PT00M00.00S,2023-01-22T21:10:11.6Z,1,REGULAR,steal,,[],1628984,,,1610612740,23,29,2023-01-22T21:10:15Z,1540000,False,,,0,,D. Graham STEAL (2 STL),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
160,PT00M00.00S,2023-01-22T21:10:28.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628984,45.68002628120894,11.519607843137255,1610612740,23,32,2023-01-22T21:12:18Z,1545000,False,192.0,377.0,1,left,D. Graham 42' 3PT  (4 PTS),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,Above the Break 3,24+ Right Center,,,,42.32,Made,4.0,,,,,,,,,,,,,,
161,PT00M00.00S,2023-01-22T21:11:41.8Z,1,REGULAR,period,end,[],0,,,1610612748,23,32,2023-01-22T21:11:41Z,1570000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2023-01-22T21:12:34.8Z,2,REGULAR,substitution,out,['startperiod'],1626204,,,1610612748,23,32,2023-01-22T21:13:02Z,1580000,False,,,0,,SUB out: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2023-01-22T21:12:34.8Z,2,REGULAR,substitution,in,['startperiod'],202685,,,1610612748,23,32,2023-01-22T21:13:02Z,1590000,False,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2023-01-22T21:13:03.4Z,2,REGULAR,period,start,[],0,,,1610612740,23,32,2023-01-22T21:13:03Z,1600000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M38.00S,2023-01-22T21:13:24.1Z,2,REGULAR,3pt,Jump Shot,[],1628984,27.414586070959263,18.137254901960784,1610612740,23,35,2023-01-22T21:13:30Z,1610000,False,159.0,205.0,1,left,D. Graham 25' 3PT pullup (7 PTS),[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,Above the Break 3,24+ Right Center,,,,25.98,Made,7.0,,,,,,,,,,,,,,
166,PT11M12.00S,2023-01-22T21:13:51.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,90.67017082785807,57.13082107843137,1610612748,23,35,2023-01-22T21:14:01Z,1620000,False,36.0,35.0,1,right,MISS G. Vincent driving Layup,[1629216],1610612748.0,MIA,driving,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),0-8 Center,,,,5.01,Missed,,,,,,,,,,,,,,,
167,PT11M09.00S,2023-01-22T21:13:54.1Z,2,REGULAR,rebound,defensive,[],1628984,,,1610612740,23,35,2023-01-22T21:14:01Z,1630000,False,,,0,,D. Graham REBOUND (Off:0 Def:2),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,166.0,2.0,2.0,0.0,,,,,,,,,,
168,PT11M00.00S,2023-01-22T21:14:02.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630631,14.799605781865965,49.754901960784316,1610612740,23,35,2023-01-22T21:15:59Z,1640000,False,1.0,87.0,1,left,MISS J. Alvarado 8' driving floating Shot,[1630631],1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,,8.66,Missed,,,,,,,,,,,,,,,
169,PT10M57.00S,2023-01-22T21:14:05.6Z,2,REGULAR,rebound,defensive,[],1629622,,,1610612748,23,35,2023-01-22T21:14:11Z,1650000,False,,,0,,M. Strus REBOUND (Off:0 Def:2),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,168.0,2.0,2.0,0.0,,,,,,,,,,
170,PT10M52.00S,2023-01-22T21:14:11.2Z,2,REGULAR,turnover,bad pass,[],203506,,,1610612748,23,35,2023-01-22T21:14:14Z,1660000,False,,,0,,V. Oladipo bad pass TURNOVER (4 TO),"[203506, 1628984]",1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,Mid-Range,8-16 Left,4.0,Graham,1628984.0,,,,,,,,,,,,,,,,,
171,PT10M52.00S,2023-01-22T21:14:11.2Z,2,REGULAR,steal,,[],1628984,,,1610612740,23,35,2023-01-22T21:14:12Z,1670000,False,,,0,,D. Graham STEAL (3 STL),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
