actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
86,PT04M17.00S,2022-10-24T23:55:01.1Z,1,REGULAR,substitution,in,[],1629018,,,1610612748,15,16,2022-10-24T23:55:04Z,860000,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M03.00S,2022-10-24T23:55:17.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629130,22.339027595269382,51.70036764705882,1610612748,15,16,2022-10-24T23:55:34Z,870000,-9.0,157.0,1,left,MISS D. Robinson 15' pullup Shot,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Mid-Range,8-16 Center,,,,15.77,Missed,,,,,,,,,,,,,,,
88,PT03M59.00S,2022-10-24T23:55:21.7Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,15,16,2022-10-24T23:55:34Z,880000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Mid-Range,8-16 Center,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,,,
89,PT03M55.00S,2022-10-24T23:55:25.9Z,1,REGULAR,3pt,Jump Shot,[],1627783,70.38436268068331,21.323529411764707,1610612761,15,16,2022-10-24T23:55:37Z,890000,-143.0,226.0,1,right,MISS P. Siakam 26' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,26.76,Missed,,,,,,,,,,,,,,,
90,PT03M50.00S,2022-10-24T23:55:30.9Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,15,16,2022-10-24T23:55:37Z,900000,,,0,,T. Herro REBOUND (Off:0 Def:3),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,,,,,,89.0,3.0,3.0,0.0,,,,,,,,,
91,PT03M46.00S,2022-10-24T23:55:34.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629130,26.10052562417871,83.82352941176471,1610612748,15,16,2022-10-24T23:55:54Z,910000,-169.0,193.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,25.65,Missed,,,,,,,,,,,,,,,
92,PT03M46.00S,2022-10-24T23:55:34.0Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,15,16,2022-10-25T00:07:53Z,920000,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Left Center,,,,,,,,91.0,2.0,2.0,0.0,,,,,,,,,
94,PT03M39.00S,2022-10-24T23:55:56.6Z,1,REGULAR,substitution,out,[],200768,,,1610612761,15,16,2022-10-24T23:56:02Z,940000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M39.00S,2022-10-24T23:55:56.6Z,1,REGULAR,substitution,in,[],1629216,,,1610612761,15,16,2022-10-24T23:56:02Z,950000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M30.00S,2022-10-24T23:56:31.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,81.42247043363994,50.98039215686274,1610612761,15,18,2022-10-24T23:56:39Z,960000,5.0,122.0,1,right,G. Trent Jr. 12' fadeaway Jump Shot (4 PTS),[1629018],1610612761.0,TOR,fadeaway,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,12.22,Made,4.0,,,,,,,,,,,,,,
97,PT03M14.00S,2022-10-24T23:56:46.4Z,1,REGULAR,2pt,Jump Shot,[],202710,13.091327201051248,31.372549019607842,1610612748,15,18,2022-10-24T23:57:00Z,970000,93.0,71.0,1,left,MISS J. Butler 11' fadeaway bank Shot,[202710],1610612748.0,MIA,fadeaway bank,,,Butler,J. Butler,,,,,Mid-Range,8-16 Right,,,,11.68,Missed,,,,,,,,,,,,,,,
98,PT03M10.00S,2022-10-24T23:56:50.0Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,15,18,2022-10-24T23:56:50Z,980000,,,0,,P. Achiuwa REBOUND (Off:0 Def:3),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,8-16 Right,,,,,,,,97.0,3.0,3.0,0.0,,,,,,,,,
99,PT03M07.00S,2022-10-24T23:56:54.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630173,91.14651773981603,50.98039215686274,1610612761,15,20,2022-10-25T00:00:29Z,990000,5.0,31.0,1,right,P. Achiuwa driving DUNK (4 PTS),[1630173],1610612761.0,TOR,driving,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,3.11,Made,4.0,,,,,,,,,,,,,,
100,PT02M52.00S,2022-10-24T23:57:08.0Z,1,REGULAR,turnover,bad pass,[],1629216,,,1610612748,15,20,2022-10-24T23:57:15Z,1000000,,,0,,G. Vincent bad pass TURNOVER (1 TO),"[1629216, 1628384]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Left,1.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,,
101,PT02M52.00S,2022-10-24T23:57:08.0Z,1,REGULAR,steal,,[],1628384,,,1610612761,15,20,2022-10-24T23:57:09Z,1010000,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
102,PT02M47.00S,2022-10-24T23:57:13.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628449,93.38042049934296,48.03921568627451,1610612761,15,22,2022-10-24T23:57:23Z,1020000,-10.0,10.0,1,right,C. Boucher running Layup (2 PTS),[1628449],1610612761.0,TOR,running,,,Boucher,C. Boucher,,,,,Restricted Area,0-8 Center,,,,1.38,Made,2.0,,,,,,,,,,,,,,
104,PT02M33.00S,2022-10-24T23:57:33.2Z,1,REGULAR,foul,personal,[],1628384,,,1610612748,15,22,2022-10-24T23:57:57Z,1040000,,,0,,O. Anunoby personal FOUL (2 PF),"[1628384, 203473]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,202027.0,,,,,2.0,0.0,Dedmon,203473.0,,,,,
106,PT02M33.00S,2022-10-24T23:58:00.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,15,22,2022-10-24T23:58:00Z,1060000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M33.00S,2022-10-24T23:59:58.1Z,1,REGULAR,substitution,out,[],203473,,,1610612748,15,22,2022-10-25T00:00:22Z,1070000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M33.00S,2022-10-24T23:59:58.1Z,1,REGULAR,substitution,out,[],1628384,,,1610612748,15,22,2022-10-25T00:00:22Z,1080000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M33.00S,2022-10-24T23:59:58.1Z,1,REGULAR,substitution,in,[],1628389,,,1610612748,15,22,2022-10-25T00:00:22Z,1090000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M33.00S,2022-10-24T23:59:58.1Z,1,REGULAR,substitution,in,[],1630625,,,1610612748,15,22,2022-10-25T00:00:22Z,1100000,,,0,,SUB in: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M18.00S,2022-10-25T00:00:47.1Z,1,REGULAR,2pt,Jump Shot,[],1629639,5.732588699080158,74.75490196078431,1610612748,17,22,2022-10-25T00:00:52Z,1110000,-124.0,1.0,1,left,T. Herro 12' pullup Jump Shot (8 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,,,,12.38,Made,8.0,,,,,,,,,,,,,,
112,PT01M55.00S,2022-10-25T00:01:09.1Z,1,REGULAR,3pt,Jump Shot,[],1628449,97.7168199737188,97.54901960784314,1610612761,17,25,2022-10-25T00:01:14Z,1120000,238.0,-31.0,1,right,C. Boucher 3PT  (5 PTS) (P. Achiuwa 1 AST),"[1628449, 1630173]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Right Corner 3,24+ Right,,,,23.97,Made,5.0,,,,,,,,,,P. Achiuwa,1630173.0,1.0,,
114,PT01M42.00S,2022-10-25T00:01:22.4Z,1,REGULAR,3pt,Jump Shot,[],1629639,32.802233902759525,61.274509803921575,1610612748,17,25,2022-10-25T00:01:29Z,1140000,-56.0,256.0,1,left,MISS T. Herro 26' step back 3PT,[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,26.19,Missed,,,,,,,,,,,,,,,
115,PT01M39.00S,2022-10-25T00:01:25.4Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,17,25,2022-10-25T00:01:29Z,1150000,,,0,,P. Achiuwa REBOUND (Off:0 Def:4),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Center,,,,,,,,114.0,4.0,4.0,0.0,,,,,,,,,
116,PT01M32.00S,2022-10-25T00:01:33.9Z,1,REGULAR,2pt,Jump Shot,[],1629018,91.27792378449409,14.950980392156863,1610612761,17,25,2022-10-25T00:06:06Z,1160000,-175.0,29.0,1,right,MISS G. Trent Jr. 17' step back Shot,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left,,,,17.77,Missed,,,,,,,,,,,,,,,
117,PT01M26.00S,2022-10-25T00:01:39.9Z,1,REGULAR,rebound,offensive,[],1630625,,,1610612761,17,25,2022-10-25T00:01:41Z,1170000,,,0,,D. Banton REBOUND (Off:1 Def:0),[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,Mid-Range,16-24 Left,,,,,,,,116.0,1.0,0.0,1.0,,,,,,,,,
118,PT01M25.00S,2022-10-25T00:01:39.2Z,1,REGULAR,2pt,Hook,['2ndchance'],1630625,96.66557161629436,71.56862745098039,1610612761,17,25,2022-10-25T00:01:45Z,1180000,108.0,-21.0,1,right,MISS D. Banton 10' Hook,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,Mid-Range,8-16 Right,,,,10.99,Missed,,,,,,,,,,,,,,,
119,PT01M25.00S,2022-10-25T00:01:39.2Z,1,REGULAR,rebound,defensive,[],1629216,,,1610612748,17,25,2022-10-25T00:01:45Z,1190000,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Mid-Range,8-16 Right,,,,,,,,118.0,1.0,1.0,0.0,,,,,,,,,
120,PT01M13.00S,2022-10-25T00:01:51.7Z,1,REGULAR,3pt,Jump Shot,[],202710,8.09789750328515,97.54901960784314,1610612748,20,25,2022-10-25T00:02:00Z,1200000,-238.0,24.0,1,left,J. Butler 3PT  (8 PTS) (G. Vincent 1 AST),"[202710, 1629216]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,Left Corner 3,24+ Left,,,,23.89,Made,8.0,,,,,,,,,,G. Vincent,1629216.0,1.0,,
122,PT00M49.00S,2022-10-25T00:02:17.0Z,1,REGULAR,2pt,Jump Shot,[],1628449,75.50919842312747,44.85294117647059,1610612761,20,25,2022-10-25T00:02:25Z,1220000,-26.0,178.0,1,right,MISS C. Boucher 17' Jump Shot,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Mid-Range,16-24 Center,,,,17.95,Missed,,,,,,,,,,,,,,,
123,PT00M45.90S,2022-10-25T00:02:20.1Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,20,25,2022-10-25T00:02:25Z,1230000,,,0,,T. Herro REBOUND (Off:0 Def:4),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Center,,,,,,,,122.0,4.0,4.0,0.0,,,,,,,,,
124,PT00M42.20S,2022-10-25T00:02:26.2Z,1,REGULAR,foul,personal,['2freethrow'],1628449,,,1610612748,20,25,2022-10-25T00:02:36Z,1240000,,,0,,C. Boucher shooting personal FOUL (1 PF) (Herro 2 FT),"[1628449, 1629639]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,Restricted Area,0-8 Center,,,,,,,1146.0,,,,,1.0,0.0,Herro,1629639.0,,,,,
126,PT00M42.20S,2022-10-25T00:03:00.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629639,,,1610612748,21,25,2022-10-25T00:03:00Z,1260000,,,0,,T. Herro Free Throw 1 of 2 (9 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
127,PT00M42.20S,2022-10-25T00:03:00.9Z,1,REGULAR,substitution,out,[],1629018,,,1610612748,21,25,2022-10-25T00:03:05Z,1270000,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT00M42.20S,2022-10-25T00:03:00.9Z,1,REGULAR,substitution,in,[],1627832,,,1610612748,21,25,2022-10-25T00:03:05Z,1280000,,,0,,SUB in: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT00M42.20S,2022-10-25T00:03:08.0Z,1,REGULAR,substitution,out,[],202710,,,1610612748,21,25,2022-10-25T00:03:18Z,1290000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT00M42.20S,2022-10-25T00:03:08.0Z,1,REGULAR,substitution,in,[],1629312,,,1610612748,21,25,2022-10-25T00:03:18Z,1300000,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT00M42.20S,2022-10-25T00:03:23.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629639,,,1610612748,22,25,2022-10-25T00:03:23Z,1310000,,,0,,T. Herro Free Throw 2 of 2 (10 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,
133,PT00M40.60S,2022-10-25T00:03:35.5Z,1,REGULAR,substitution,out,[],1629639,,,1610612761,22,25,2022-10-25T00:03:41Z,1330000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT00M40.60S,2022-10-25T00:03:35.5Z,1,REGULAR,substitution,in,[],1629622,,,1610612761,22,25,2022-10-25T00:03:41Z,1340000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT00M39.00S,2022-10-25T00:03:47.1Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,22,25,2022-10-25T00:15:02Z,1345000,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1629312]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,1.0,Highsmith,1629312.0,,,,,,,,,,,,,,,,,
192,PT00M39.00S,2022-10-25T00:03:47.1Z,1,REGULAR,steal,,[],1629312,,,1610612748,22,25,2022-10-25T00:15:02Z,1347500,,,0,,H. Highsmith STEAL (1 STL),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
194,PT00M37.00S,2022-10-25T00:03:52.9Z,1,REGULAR,turnover,bad pass,[],1629312,,,1610612748,22,25,2022-10-25T00:15:21Z,1348750,,,0,,H. Highsmith bad pass TURNOVER (1 TO),"[1629312, 1627783]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,16-24 Left,1.0,Siakam,1627783.0,,,,,,,,,,,,,,,,,
195,PT00M37.00S,2022-10-25T00:03:52.9Z,1,REGULAR,steal,,[],1627783,,,1610612761,22,25,2022-10-25T00:15:21Z,1349375,,,0,,P. Siakam STEAL (2 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
135,PT00M32.80S,2022-10-25T00:03:58.7Z,1,REGULAR,foul,personal,['3freethrow'],1629216,,,1610612761,22,25,2022-10-25T00:04:10Z,1350000,,,0,,G. Vincent shooting personal FOUL (1 PF) (VanVleet 3 FT),"[1629216, 1627832]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Left Center,,,,,,,1628951.0,,,,,1.0,0.0,VanVleet,1627832.0,,,,,
137,PT00M32.80S,2022-10-25T00:04:31.3Z,1,REGULAR,freethrow,1 of 3,['fromturnover'],1627832,,,1610612761,22,25,2022-10-25T00:15:21Z,1370000,,,0,,MISS F. VanVleet Free Throw 1 of 3,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
138,PT00M32.80S,2022-10-25T00:04:31.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,22,25,2022-10-25T00:04:31Z,1380000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,137.0,,,,,,,,,,,,
139,PT00M32.80S,2022-10-25T00:04:45.6Z,1,REGULAR,freethrow,2 of 3,['fromturnover'],1627832,,,1610612761,22,26,2022-10-25T00:15:21Z,1390000,,,0,,F. VanVleet Free Throw 2 of 3 (7 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
140,PT00M32.80S,2022-10-25T00:04:59.9Z,1,REGULAR,freethrow,3 of 3,['fromturnover'],1627832,,,1610612761,22,27,2022-10-25T00:15:21Z,1400000,,,0,,F. VanVleet Free Throw 3 of 3 (8 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,
141,PT00M22.80S,2022-10-25T00:05:13.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630625,,,1610612748,22,27,2022-10-25T00:05:22Z,1410000,,,0,,D. Banton shooting personal FOUL (1 PF) (Vincent 2 FT),"[1630625, 1629216]",1610612761.0,TOR,shooting,,,Banton,D. Banton,,,,,Restricted Area,0-8 Center,,,,,,,1628951.0,,,,,1.0,0.0,Vincent,1629216.0,,,,,
143,PT00M22.80S,2022-10-25T00:05:38.6Z,1,REGULAR,freethrow,1 of 2,[],1629216,,,1610612748,22,27,2022-10-25T00:05:38Z,1430000,,,0,,MISS G. Vincent Free Throw 1 of 2,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
144,PT00M22.80S,2022-10-25T00:05:38.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,22,27,2022-10-25T00:05:38Z,1440000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,143.0,,,,,,,,,,,,
145,PT00M22.80S,2022-10-25T00:05:55.5Z,1,REGULAR,freethrow,2 of 2,[],1629216,,,1610612748,23,27,2022-10-25T00:05:55Z,1450000,,,0,,G. Vincent Free Throw 2 of 2 (1 PTS),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
146,PT00M03.50S,2022-10-25T00:06:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,86.48570959264126,65.21905637254902,1610612761,23,27,2022-10-25T00:06:51Z,1460000,76.0,75.0,1,right,MISS P. Siakam 10' driving Layup - blocked,"[1627783, 1628389]",1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Right,,,,10.65,Missed,,,,,,,,,,,,,,Adebayo,1628389.0
147,PT00M03.50S,2022-10-25T00:06:18.4Z,1,REGULAR,block,,[],1628389,,,1610612761,23,27,2022-10-25T00:06:21Z,1470000,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
148,PT00M02.10S,2022-10-25T00:06:19.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,23,27,2022-10-25T00:06:49Z,1480000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,,,,,,,,146.0,1.0,1.0,0.0,,,,,,,,,
149,PT00M00.00S,2022-10-25T00:06:55.8Z,1,REGULAR,period,end,[],0,,,1610612748,23,27,2022-10-25T00:06:55Z,1490000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2022-10-25T00:08:33.6Z,2,REGULAR,substitution,out,['startperiod'],1627783,,,1610612748,23,27,2022-10-25T00:09:13Z,1500000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2022-10-25T00:08:33.6Z,2,REGULAR,substitution,in,['startperiod'],1628384,,,1610612748,23,27,2022-10-25T00:09:13Z,1510000,,,0,,SUB in: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2022-10-25T00:09:15.6Z,2,REGULAR,period,start,[],0,,,1610612761,23,27,2022-10-25T00:09:15Z,1520000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT11M41.00S,2022-10-25T00:09:33.7Z,2,REGULAR,turnover,bad pass,[],1627832,,,1610612761,23,27,2022-10-25T00:09:50Z,1530000,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 1629312]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,1.0,Highsmith,1629312.0,,,,,,,,,,,,,,,,,
154,PT11M41.00S,2022-10-25T00:09:33.7Z,2,REGULAR,steal,,[],1629312,,,1610612748,23,27,2022-10-25T00:09:37Z,1540000,,,0,,H. Highsmith STEAL (2 STL),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
155,PT11M41.00S,2022-10-25T00:09:40.6Z,2,REGULAR,foul,personal,['1freethrow'],1628449,,,1610612748,23,27,2022-10-25T00:09:56Z,1550000,,,0,,C. Boucher transition take personal FOUL (2 PF) (Highsmith 1 FT),"[1628449, 1629312]",1610612761.0,TOR,transition take,,,Boucher,C. Boucher,,,,,Above the Break 3,24+ Right Center,,,,,,,1146.0,,,,,2.0,0.0,Highsmith,1629312.0,,,,,
157,PT11M41.00S,2022-10-25T00:10:00.5Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1629130,,,1610612748,24,27,2022-10-25T00:10:00Z,1570000,,,0,,D. Robinson transition take Free Throw 1 of 1 (1 PTS),[1629130],1610612748.0,MIA,transition take,,,Robinson,D. Robinson,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
158,PT11M24.00S,2022-10-25T00:10:27.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628389,18.873193166885677,59.55882352941176,1610612748,24,27,2022-10-25T00:10:44Z,1580000,-48.0,125.0,1,left,MISS B. Adebayo 13' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,13.37,Missed,,,,,,,,,,,,,,,
159,PT11M20.00S,2022-10-25T00:10:31.2Z,2,REGULAR,rebound,defensive,[],1630625,,,1610612761,24,27,2022-10-25T00:10:44Z,1590000,,,0,,D. Banton REBOUND (Off:1 Def:1),[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,158.0,2.0,1.0,1.0,,,,,,,,,
160,PT11M12.00S,2022-10-25T00:10:38.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,92.06636005256242,38.970588235294116,1610612761,24,27,2022-10-25T00:10:55Z,1600000,-55.0,22.0,1,right,MISS P. Achiuwa Layup,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,5.94,Missed,,,,,,,,,,,,,,,
161,PT11M12.00S,2022-10-25T00:10:38.7Z,2,REGULAR,rebound,offensive,[],1630173,,,1610612761,24,27,2022-10-25T00:10:55Z,1610000,,,0,,P. Achiuwa REBOUND (Off:1 Def:4),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,160.0,5.0,4.0,1.0,,,,,,,,,
162,PT11M11.00S,2022-10-25T00:10:46.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630173,91.80354796320631,43.872549019607845,1610612761,24,29,2022-10-25T00:18:06Z,1620000,-31.0,25.0,1,right,P. Achiuwa putback Layup (6 PTS),[1630173],1610612761.0,TOR,putback,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,3.92,Made,6.0,,,,,,,,,,,,,,
163,PT10M59.00S,2022-10-25T00:10:53.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,9.411957950065702,51.470588235294116,1610612748,26,29,2022-10-25T00:11:19Z,1630000,-7.0,36.0,1,left,B. Adebayo cutting DUNK (4 PTS) (G. Vincent 2 AST),"[1628389, 1629216]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,3.68,Made,4.0,,,,,,,,,,G. Vincent,1629216.0,2.0,,
