actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
91,PT05M33.00S,2022-03-13T01:26:11.4Z,1,REGULAR,foul,personal,[],1627741,,,1610612759,15,15,2022-03-13T01:26:26Z,910000,,,0,,B. Hield personal FOUL (1 PF),"[1627741, 1629111]",1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Landale,1629111.0,,,
93,PT05M33.00S,2022-03-13T01:26:26.8Z,1,REGULAR,substitution,out,[],1629052,,,1610612759,15,15,2022-03-13T01:26:37Z,930000,,,0,,SUB out: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M33.00S,2022-03-13T01:26:26.8Z,1,REGULAR,substitution,in,[],1630188,,,1610612759,15,15,2022-03-13T01:26:37Z,940000,,,0,,SUB in: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M27.00S,2022-03-13T01:26:49.5Z,1,REGULAR,2pt,Jump Shot,[],1629022,90.53876478318003,92.86917892156863,1610612759,15,15,2022-03-13T01:29:16Z,950000,214.0,36.0,1,right,MISS L. Walker IV 21' Jump Shot,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,21.74,Missed,,,,,,,,,,,,,,,,,,,
96,PT05M24.00S,2022-03-13T01:26:52.5Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,15,15,2022-03-13T01:26:55Z,960000,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,95.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
97,PT05M15.00S,2022-03-13T01:27:00.9Z,1,REGULAR,3pt,Jump Shot,[],1629048,30.436925098554536,70.58823529411765,1610612754,15,15,2022-03-13T01:27:08Z,970000,-103.0,234.0,1,left,MISS G. Bitadze 25' 3PT,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,25.53,Missed,,,,,,,,,,,,,,,,,,,
98,PT05M13.00S,2022-03-13T01:27:03.8Z,1,REGULAR,rebound,offensive,[],1630537,,,1610612754,15,15,2022-03-13T01:27:03Z,980000,,,0,,C. Duarte REBOUND (Off:1 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,97.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
99,PT05M12.00S,2022-03-13T01:27:05.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627741,5.075558475689881,96.07843137254902,1610612754,15,18,2022-03-13T01:27:13Z,990000,-230.0,-5.0,1,left,B. Hield 3PT  (5 PTS) (C. Duarte 1 AST),"[1627741, 1630537]",1610612754.0,IND,,,,Hield,B. Hield,,,,,23.04,Made,,,,,5.0,C. Duarte,1630537.0,1.0,,,,,,,,,,,
101,PT04M55.00S,2022-03-13T01:27:24.7Z,1,REGULAR,foul,personal,[],1630537,,,1610612759,15,18,2022-03-13T01:27:33Z,1010000,,,0,,C. Duarte personal FOUL (2 PF),"[1630537, 1630563]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,2005.0,2.0,0.0,Primo,1630563.0,,,
103,PT04M55.00S,2022-03-13T01:27:31.6Z,1,REGULAR,substitution,out,[],1630537,,,1610612759,15,18,2022-03-13T01:27:34Z,1030000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M55.00S,2022-03-13T01:27:31.6Z,1,REGULAR,substitution,in,[],1630613,,,1610612759,15,18,2022-03-13T01:27:34Z,1040000,,,0,,SUB in: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M49.00S,2022-03-13T01:27:53.4Z,1,REGULAR,turnover,out-of-bounds,[],1630200,,,1610612759,15,18,2022-03-13T01:28:10Z,1050000,,,0,,T. Jones bad pass out-of-bounds TURNOVER (1 TO),[1630200],1610612759.0,SAS,bad pass,,,Jones,T. Jones,,,,,,,,,,,,,,,1.0,,,2714.0,,,,,,,
106,PT04M39.00S,2022-03-13T01:28:09.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630563,,,1610612754,15,18,2022-03-13T01:28:24Z,1060000,,,0,,J. Primo personal FOUL (1 PF) (Sykes 2 FT),"[1630563, 1626208]",1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Sykes,1626208.0,,,
108,PT04M39.00S,2022-03-13T01:28:35.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626208,,,1610612754,15,19,2022-03-13T01:28:35Z,1080000,,,0,,K. Sykes Free Throw 1 of 2 (1 PTS),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
109,PT04M39.00S,2022-03-13T01:28:36.3Z,1,REGULAR,substitution,out,[],1630200,,,1610612754,15,19,2022-03-13T01:28:42Z,1090000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M39.00S,2022-03-13T01:28:36.3Z,1,REGULAR,substitution,in,[],1626196,,,1610612754,15,19,2022-03-13T01:28:42Z,1100000,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M39.00S,2022-03-13T01:29:00.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626208,,,1610612754,15,20,2022-03-13T01:29:00Z,1110000,,,0,,K. Sykes Free Throw 2 of 2 (2 PTS),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
112,PT04M28.00S,2022-03-13T01:29:15.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630613,,,1610612759,15,20,2022-03-13T01:29:24Z,1120000,,,0,,D. Washington Jr. shooting personal FOUL (1 PF) (Walker IV 2 FT),"[1630613, 1629022]",1610612754.0,IND,shooting,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Walker IV,1629022.0,,,
114,PT04M28.00S,2022-03-13T01:29:39.9Z,1,REGULAR,freethrow,1 of 2,[],1629022,,,1610612759,16,20,2022-03-13T01:29:39Z,1140000,,,0,,L. Walker IV Free Throw 1 of 2 (1 PTS),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
115,PT04M28.00S,2022-03-13T01:29:50.6Z,1,REGULAR,freethrow,2 of 2,[],1629022,,,1610612759,17,20,2022-03-13T01:29:50Z,1150000,,,0,,L. Walker IV Free Throw 2 of 2 (2 PTS),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
116,PT04M11.00S,2022-03-13T01:30:10.5Z,1,REGULAR,2pt,Jump Shot,[],1630613,11.383048620236531,73.52941176470588,1610612754,17,22,2022-03-13T01:30:17Z,1160000,-118.0,55.0,1,left,D. Washington Jr. 12' driving floating Jump Shot (2 PTS) (B. Hield 2 AST),"[1630613, 1627741]",1610612754.0,IND,driving floating,,,Washington Jr.,D. Washington Jr.,,,,,12.96,Made,,,,,2.0,B. Hield,1627741.0,2.0,,,,,,,,,,,
118,PT03M58.00S,2022-03-13T01:30:23.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,89.43823915900131,48.28431372549019,1610612759,17,22,2022-03-13T01:30:29Z,1180000,-9.0,47.0,1,right,MISS J. Richardson Layup,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,4.76,Missed,,,,,,,,,,,,,,,,,,,
119,PT03M58.00S,2022-03-13T01:30:23.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,17,22,2022-03-13T01:30:29Z,1190000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,
120,PT03M58.00S,2022-03-13T01:30:27.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,17,22,2022-03-13T01:30:27Z,1200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M51.00S,2022-03-13T01:30:45.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629022,90.3580814717477,75.0,1610612759,17,22,2022-03-13T01:30:50Z,1210000,125.0,38.0,1,right,MISS L. Walker IV 13' pullup Shot,[1629022],1610612759.0,SAS,pullup,,,Walker IV,L. Walker IV,,,,,13.07,Missed,,,,,,,,,,,,,,,,,,,
122,PT03M49.00S,2022-03-13T01:30:47.7Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,17,22,2022-03-13T01:30:50Z,1220000,,,0,,B. Hield REBOUND (Off:0 Def:2),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,121.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
123,PT03M41.00S,2022-03-13T01:30:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629048,7.30946123521682,47.794117647058826,1610612754,17,24,2022-03-13T01:31:01Z,1230000,11.0,16.0,1,left,G. Bitadze cutting Layup (2 PTS) (B. Hield 3 AST),"[1629048, 1627741]",1610612754.0,IND,cutting,,,Bitadze,G. Bitadze,,,,,1.96,Made,,,,,2.0,B. Hield,1627741.0,3.0,,,,,,,,,,,
125,PT03M25.00S,2022-03-13T01:31:11.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628966,93.11760840998686,42.8921568627451,1610612759,17,24,2022-03-13T01:31:44Z,1250000,-36.0,12.0,1,right,MISS K. Bates-Diop Layup - blocked,"[1628966, 1630188]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,3.75,Missed,,,,,,,,,,,,,,,,,,Smith,1630188.0
126,PT03M25.00S,2022-03-13T01:31:11.0Z,1,REGULAR,block,,[],1630188,,,1610612759,17,24,2022-03-13T01:31:14Z,1260000,,,0,,J. Smith BLOCK (1 BLK),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M21.00S,2022-03-13T01:31:15.0Z,1,REGULAR,rebound,defensive,[],1630613,,,1610612754,17,24,2022-03-13T01:31:44Z,1270000,,,0,,D. Washington Jr. REBOUND (Off:0 Def:1),[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,125.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
128,PT03M09.00S,2022-03-13T01:31:27.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630613,6.521024967148489,50.245098039215684,1610612754,17,26,2022-03-13T01:31:49Z,1280000,-1.0,9.0,1,left,D. Washington Jr. driving DUNK (4 PTS) (K. Sykes 1 AST),"[1630613, 1626208]",1610612754.0,IND,driving,,,Washington Jr.,D. Washington Jr.,,,,,0.89,Made,,,,,4.0,K. Sykes,1626208.0,1.0,,,,,,,,,,,
129,PT02M56.00S,2022-03-13T01:31:40.6Z,1,REGULAR,3pt,Jump Shot,[],1629111,68.9388961892247,72.54901960784314,1610612759,17,26,2022-03-13T01:32:03Z,1290000,113.0,239.0,1,right,MISS J. Landale 26' 3PT,[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,,
130,PT02M56.00S,2022-03-13T01:31:40.6Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,17,26,2022-03-13T01:32:03Z,1300000,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,129.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
131,PT02M54.00S,2022-03-13T01:31:48.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,17,26,2022-03-13T01:31:48Z,1310000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M54.00S,2022-03-13T01:34:22.8Z,1,REGULAR,substitution,out,[],1628966,,,1610612754,17,26,2022-03-13T01:34:40Z,1320000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M54.00S,2022-03-13T01:34:22.8Z,1,REGULAR,substitution,out,[],1627741,,,1610612754,17,26,2022-03-13T01:34:40Z,1330000,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M54.00S,2022-03-13T01:34:22.8Z,1,REGULAR,substitution,in,[],1630170,,,1610612754,17,26,2022-03-13T01:34:40Z,1340000,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M54.00S,2022-03-13T01:34:22.8Z,1,REGULAR,substitution,in,[],1630169,,,1610612754,17,26,2022-03-13T01:34:40Z,1350000,,,0,,SUB in: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M40.00S,2022-03-13T01:34:51.7Z,1,REGULAR,2pt,Jump Shot,[],1630169,12.959921156373195,31.61764705882353,1610612754,17,28,2022-03-13T01:35:00Z,1360000,92.0,69.0,1,left,T. Haliburton 11' driving floating Jump Shot (5 PTS) (K. Sykes 2 AST),"[1630169, 1626208]",1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,11.51,Made,,,,,5.0,K. Sykes,1626208.0,2.0,,,,,,,,,,,
139,PT02M32.00S,2022-03-13T01:35:05.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626208,,,1610612759,17,28,2022-03-13T01:35:23Z,1380000,,,0,,K. Sykes personal FOUL (1 PF) (Richardson 2 FT),"[1626208, 1626196]",1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Richardson,1626196.0,,,
141,PT02M32.00S,2022-03-13T01:35:27.2Z,1,REGULAR,freethrow,1 of 2,[],1626196,,,1610612759,18,28,2022-03-13T01:35:27Z,1400000,,,0,,J. Richardson Free Throw 1 of 2 (1 PTS),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
142,PT02M32.00S,2022-03-13T01:35:43.5Z,1,REGULAR,freethrow,2 of 2,[],1626196,,,1610612759,19,28,2022-03-13T01:35:43Z,1410000,,,0,,J. Richardson Free Throw 2 of 2 (2 PTS),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
143,PT02M16.00S,2022-03-13T01:36:01.4Z,1,REGULAR,2pt,Jump Shot,[],1630188,26.62614980289093,57.84313725490197,1610612754,19,28,2022-03-13T01:36:09Z,1420000,-39.0,198.0,1,left,MISS J. Smith 20' pullup Shot,[1630188],1610612754.0,IND,pullup,,,Smith,J. Smith,,,,,20.16,Missed,,,,,,,,,,,,,,,,,,,
144,PT02M11.00S,2022-03-13T01:36:06.4Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612754,19,28,2022-03-13T01:36:09Z,1430000,,,0,,G. Bitadze REBOUND (Off:1 Def:0),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,143.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
145,PT02M11.00S,2022-03-13T01:36:06.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629048,5.590000152587891,50.0,1610612754,19,30,2022-03-13T01:36:07Z,1440000,0.0,0.0,1,left,G. Bitadze tip DUNK (4 PTS),[1629048],1610612754.0,IND,tip,,,Bitadze,G. Bitadze,,,,,0.0,Made,,,,,4.0,,,,,,,,,,,,,,
146,PT01M52.00S,2022-03-13T01:36:25.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629111,90.75229960578186,34.80392156862745,1610612759,21,30,2022-03-13T01:36:38Z,1450000,-76.0,34.0,1,right,J. Landale 8' Hook (6 PTS),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,8.34,Made,,,,,6.0,,,,,,,,,,,,,,
148,PT01M40.00S,2022-03-13T01:36:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630613,5.732588699080158,52.94117647058824,1610612754,21,32,2022-03-13T01:36:48Z,1470000,-15.0,1.0,1,left,D. Washington Jr. driving finger roll Layup (6 PTS),[1630613],1610612754.0,IND,driving finger roll,,,Washington Jr.,D. Washington Jr.,,,,,1.48,Made,,,,,6.0,,,,,,,,,,,,,,
149,PT01M25.00S,2022-03-13T01:36:53.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,86.15308804204993,50.245098039215684,1610612759,23,32,2022-03-13T01:37:09Z,1480000,1.0,78.0,1,right,J. Richardson 7' turnaround Jump Shot (4 PTS),[1626196],1610612759.0,SAS,turnaround,,,Richardson,J. Richardson,,,,,7.77,Made,,,,,4.0,,,,,,,,,,,,,,
150,PT01M21.00S,2022-03-13T01:36:56.9Z,1,REGULAR,turnover,bad pass,[],1630613,,,1610612754,23,32,2022-03-13T01:38:04Z,1490000,,,0,,D. Washington Jr. bad pass TURNOVER (1 TO),"[1630613, 1630170]",1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,1.0,Vassell,1630170.0,,,,,,,,
156,PT01M21.00S,2022-03-13T01:36:56.9Z,1,REGULAR,steal,,[],1630170,,,1610612759,23,32,2022-03-13T01:38:04Z,1495000,,,0,,D. Vassell STEAL (1 STL),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M17.00S,2022-03-13T01:37:11.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629022,69.85873850197109,74.50980392156863,1610612759,26,32,2022-03-13T01:39:37Z,1500000,123.0,231.0,1,right,L. Walker IV 26' 3PT  (5 PTS) (D. Vassell 2 AST),"[1629022, 1630170]",1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,26.13,Made,,,,,5.0,D. Vassell,1630170.0,2.0,,,,,,,,,,,
153,PT01M01.00S,2022-03-13T01:37:27.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626196,,,1610612754,26,32,2022-03-13T01:37:53Z,1520000,,,0,,J. Richardson personal FOUL (1 PF) (Bitadze 2 FT),"[1626196, 1629048]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Bitadze,1629048.0,,,
155,PT01M01.00S,2022-03-13T01:37:54.2Z,1,REGULAR,freethrow,1 of 2,[],1629048,,,1610612754,26,33,2022-03-13T01:37:54Z,1540000,,,0,,G. Bitadze Free Throw 1 of 2 (5 PTS),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
157,PT01M01.00S,2022-03-13T01:38:07.9Z,1,REGULAR,freethrow,2 of 2,[],1629048,,,1610612754,26,34,2022-03-13T01:38:07Z,1550000,,,0,,G. Bitadze Free Throw 2 of 2 (6 PTS),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
158,PT00M46.50S,2022-03-13T01:38:24.0Z,1,REGULAR,2pt,Jump Shot,[],1630170,72.35545335085413,46.32352941176471,1610612759,26,34,2022-03-13T01:39:32Z,1560000,-18.0,207.0,1,right,MISS D. Vassell 20' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,20.82,Missed,,,,,,,,,,,,,,,,,,,
159,PT00M46.50S,2022-03-13T01:38:24.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,26,34,2022-03-13T01:39:32Z,1570000,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,,,,
160,PT00M44.00S,2022-03-13T01:38:38.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,26,34,2022-03-13T01:38:38Z,1580000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M31.20S,2022-03-13T01:38:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,17.16491458607096,50.98039215686274,1610612754,26,34,2022-03-13T01:40:00Z,1590000,-5.0,109.0,1,left,MISS T. Haliburton 10' driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,10.9,Missed,,,,,,,,,,,,,,,,,,,
163,PT00M28.60S,2022-03-13T01:39:02.2Z,1,REGULAR,rebound,defensive,[],1630563,,,1610612759,26,34,2022-03-13T01:39:02Z,1600000,,,0,,J. Primo REBOUND (Off:0 Def:1),[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,162.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
164,PT00M23.40S,2022-03-13T01:39:07.5Z,1,REGULAR,3pt,Jump Shot,[],1629022,68.15045992115637,69.36274509803921,1610612759,26,34,2022-03-13T01:40:13Z,1610000,97.0,247.0,1,right,MISS L. Walker IV 26' 3PT,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
165,PT00M20.40S,2022-03-13T01:39:10.5Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,26,34,2022-03-13T01:39:10Z,1620000,,,0,,J. Smith REBOUND (Off:0 Def:3),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,164.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
166,PT00M00.60S,2022-03-13T01:39:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,7.835085413929041,45.588235294117645,1610612754,26,34,2022-03-13T01:40:59Z,1630000,22.0,21.0,1,left,MISS T. Haliburton driving finger roll Layup,[1630169],1610612754.0,IND,driving finger roll,,,Haliburton,T. Haliburton,,,,,3.06,Missed,,,,,,,,,,,,,,,,,,,
167,PT00M00.60S,2022-03-13T01:39:30.3Z,1,REGULAR,rebound,defensive,[],1630563,,,1610612759,26,34,2022-03-13T01:40:59Z,1640000,,,0,,J. Primo REBOUND (Off:0 Def:2),[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,166.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
168,PT00M00.00S,2022-03-13T01:39:37.4Z,1,REGULAR,period,end,[],0,,,1610612759,26,34,2022-03-13T01:39:37Z,1650000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2022-03-13T01:41:53.8Z,2,REGULAR,substitution,out,['startperiod'],1626196,,,1610612759,26,34,2022-03-13T01:42:11Z,1660000,,,0,,SUB out: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2022-03-13T01:41:53.8Z,2,REGULAR,substitution,out,['startperiod'],1630563,,,1610612759,26,34,2022-03-13T01:42:11Z,1670000,,,0,,SUB out: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2022-03-13T01:41:53.8Z,2,REGULAR,substitution,in,['startperiod'],1630200,,,1610612759,26,34,2022-03-13T01:42:11Z,1680000,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2022-03-13T01:41:53.8Z,2,REGULAR,substitution,in,['startperiod'],1628380,,,1610612759,26,34,2022-03-13T01:42:11Z,1690000,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2022-03-13T01:42:25.3Z,2,REGULAR,period,start,[],0,,,1610612754,26,34,2022-03-13T01:42:25Z,1700000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT11M46.00S,2022-03-13T01:42:37.7Z,2,REGULAR,3pt,Jump Shot,[],1629048,31.225361366622867,30.392156862745097,1610612754,26,34,2022-03-13T01:42:50Z,1710000,98.0,241.0,1,left,MISS G. Bitadze 26' 3PT,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,26.02,Missed,,,,,,,,,,,,,,,,,,,
175,PT11M43.00S,2022-03-13T01:42:40.7Z,2,REGULAR,rebound,defensive,[],1629111,,,1610612759,26,34,2022-03-13T01:42:50Z,1720000,,,0,,J. Landale REBOUND (Off:0 Def:1),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,174.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
176,PT11M33.00S,2022-03-13T01:42:50.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630170,92.32917214191852,49.26470588235294,1610612759,28,34,2022-03-13T01:43:05Z,1730000,-4.0,20.0,1,right,D. Vassell cutting DUNK (4 PTS) (Z. Collins 1 AST),"[1630170, 1628380]",1610612759.0,SAS,cutting,,,Vassell,D. Vassell,,,,,1.99,Made,,,,,4.0,Z. Collins,1628380.0,1.0,,,,,,,,,,,
178,PT11M20.00S,2022-03-13T01:43:03.4Z,2,REGULAR,3pt,Jump Shot,[],1630613,28.597240473061763,80.14705882352942,1610612754,28,37,2022-03-13T01:43:09Z,1750000,-151.0,216.0,1,left,D. Washington Jr. 26' 3PT  (9 PTS) (T. Haliburton 3 AST),"[1630613, 1630169]",1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,26.36,Made,,,,,9.0,T. Haliburton,1630169.0,3.0,,,,,,,,,,,
180,PT11M11.00S,2022-03-13T01:43:12.9Z,2,REGULAR,3pt,Jump Shot,[],1629111,70.51576872536137,77.20588235294117,1610612759,28,37,2022-03-13T01:43:17Z,1770000,136.0,225.0,1,right,MISS J. Landale 26' 3PT,[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,,
181,PT11M09.00S,2022-03-13T01:43:14.9Z,2,REGULAR,rebound,defensive,[],1629048,,,1610612754,28,37,2022-03-13T01:43:17Z,1780000,,,0,,G. Bitadze REBOUND (Off:1 Def:1),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,180.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
