actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
85,PT04M34.00S,2022-01-29T01:22:21.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628983,8.229303547963205,54.65686274509803,1610612760,16,15,2022-01-29T01:26:50Z,830000,-23.0,25.0,1,left,S. Gilgeous-Alexander running DUNK (2 PTS) (J. Giddey 2 AST),"[1628983, 1630581]",1610612760.0,OKC,running,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,3.41,Made,2.0,,,,,J. Giddey,1630581.0,2.0,,,,,,,,,,,
87,PT04M34.00S,2022-01-29T01:22:27.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,16,15,2022-01-29T01:22:27Z,850000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M34.00S,2022-01-29T01:23:42.2Z,1,REGULAR,substitution,out,[],1628470,,,1610612754,16,15,2022-01-29T01:24:50Z,860000,,,0,,SUB out: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M34.00S,2022-01-29T01:23:42.2Z,1,REGULAR,substitution,in,[],1629052,,,1610612754,16,15,2022-01-29T01:24:50Z,870000,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M24.00S,2022-01-29T01:25:28.0Z,1,REGULAR,foul,offensive,[],1629048,,,1610612754,16,15,2022-01-29T01:25:35Z,890000,,,0,,G. Bitadze offensive FOUL (1 PF),"[1629048, 1628983]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,200834.0,1.0,0.0,Gilgeous-Alexander,1628983.0,
93,PT04M24.00S,2022-01-29T01:25:28.0Z,1,REGULAR,turnover,offensive foul,[],1629048,,,1610612754,16,15,2022-01-29T01:25:28Z,910000,,,0,,G. Bitadze offensive foul TURNOVER (2 TO),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,2.0,,,,,200834.0,,,,,
94,PT04M12.00S,2022-01-29T01:25:45.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,10.726018396846255,43.872549019607845,1610612760,16,15,2022-01-29T01:32:21Z,920000,31.0,48.0,1,left,MISS S. Gilgeous-Alexander driving finger roll Layup,[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,5.72,Missed,,,,,,,,,,,,,,,,,,,
95,PT04M09.00S,2022-01-29T01:25:48.7Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,16,15,2022-01-29T01:25:51Z,930000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,,,
96,PT04M01.00S,2022-01-29T01:25:56.4Z,1,REGULAR,3pt,Jump Shot,[],1630613,76.82325886990802,88.97058823529412,1610612754,16,15,2022-01-29T01:25:59Z,940000,195.0,165.0,1,right,MISS D. Washington Jr. 25' 3PT,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,25.56,Missed,,,,,,,,,,,,,,,,,,,
97,PT03M59.00S,2022-01-29T01:25:58.4Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,16,15,2022-01-29T01:25:59Z,950000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,96.0,1.0,1.0,0.0,,,,,,,,,,,,,,
98,PT03M54.00S,2022-01-29T01:26:06.5Z,1,REGULAR,foul,personal,['2freethrow'],1629052,,,1610612760,16,15,2022-01-29T01:26:18Z,960000,,,0,,O. Brissett shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1629052, 1628983]",1610612754.0,IND,shooting,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,200834.0,1.0,0.0,Gilgeous-Alexander,1628983.0,
100,PT03M54.00S,2022-01-29T01:26:26.8Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,16,15,2022-01-29T01:26:43Z,980000,,,0,,MISS S. Gilgeous-Alexander Free Throw 1 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Missed,,,,,,,,,,,,,,,,,,,
101,PT03M54.00S,2022-01-29T01:26:26.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612760,16,15,2022-01-29T01:26:43Z,990000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,
102,PT03M54.00S,2022-01-29T01:26:27.4Z,1,REGULAR,substitution,out,[],1630526,,,1610612760,16,15,2022-01-29T01:26:31Z,1000000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M54.00S,2022-01-29T01:26:27.4Z,1,REGULAR,substitution,in,[],203488,,,1610612760,16,15,2022-01-29T01:26:31Z,1010000,,,0,,SUB in: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M54.00S,2022-01-29T01:26:26.8Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,16,15,2022-01-29T01:26:43Z,1020000,,,0,,MISS S. Gilgeous-Alexander Free Throw 2 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Missed,,,,,,,,,,,,,,,,,,,
105,PT03M51.00S,2022-01-29T01:26:29.8Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,16,15,2022-01-29T01:26:43Z,1030000,,,0,,O. Brissett REBOUND (Off:0 Def:1),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,104.0,1.0,1.0,0.0,,,,,,,,,,,,,,
106,PT03M40.00S,2022-01-29T01:26:53.7Z,1,REGULAR,3pt,Jump Shot,[],1629052,90.88370565045992,4.166666666666666,1610612754,16,15,2022-01-29T01:26:57Z,1040000,-229.0,33.0,1,right,MISS O. Brissett 3PT,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,23.16,Missed,,,,,,,,,,,,,,,,,,,
107,PT03M37.00S,2022-01-29T01:26:55.8Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612760,16,15,2022-01-29T01:26:55Z,1050000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,106.0,1.0,1.0,0.0,,,,,,,,,,,,,,
108,PT03M35.00S,2022-01-29T01:27:00.5Z,1,REGULAR,foul,offensive,[],1630544,,,1610612760,16,15,2022-01-29T01:27:10Z,1060000,,,0,,T. Mann offensive FOUL (2 PF),"[1630544, 1627747]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,202037.0,2.0,0.0,LeVert,1627747.0,
110,PT03M35.00S,2022-01-29T01:27:00.5Z,1,REGULAR,turnover,offensive foul,[],1630544,,,1610612760,16,15,2022-01-29T01:27:00Z,1080000,,,0,,T. Mann offensive foul TURNOVER (1 TO),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,1.0,,,,,202037.0,,,,,
111,PT03M35.00S,2022-01-29T01:27:11.1Z,1,REGULAR,substitution,out,[],1630537,,,1610612754,16,15,2022-01-29T01:27:19Z,1090000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M35.00S,2022-01-29T01:27:11.1Z,1,REGULAR,substitution,out,[],1629048,,,1610612754,16,15,2022-01-29T01:27:19Z,1100000,,,0,,SUB out: G. Bitadze,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M35.00S,2022-01-29T01:27:11.1Z,1,REGULAR,substitution,in,[],1627734,,,1610612754,16,15,2022-01-29T01:27:19Z,1110000,,,0,,SUB in: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M35.00S,2022-01-29T01:27:11.1Z,1,REGULAR,substitution,in,[],203087,,,1610612754,16,15,2022-01-29T01:27:19Z,1120000,,,0,,SUB in: J. Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M27.00S,2022-01-29T01:27:34.8Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612754,16,15,2022-01-29T01:27:38Z,1130000,,,0,,D. Sabonis bad pass TURNOVER (3 TO),"[1627734, 1628983]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,3.0,Gilgeous-Alexander,1628983.0,,,,,,,,
116,PT03M27.00S,2022-01-29T01:27:34.8Z,1,REGULAR,steal,,[],1628983,,,1610612760,16,15,2022-01-29T01:27:36Z,1140000,,,0,,S. Gilgeous-Alexander STEAL (2 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M22.00S,2022-01-29T01:27:40.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630581,7.966491458607096,41.911764705882355,1610612760,18,15,2022-01-29T01:27:45Z,1150000,40.0,22.0,1,left,J. Giddey running Layup (4 PTS),[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,4.62,Made,4.0,,,,,,,,,,,,,,,,,,
118,PT03M12.00S,2022-01-29T01:27:51.8Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612754,18,15,2022-01-29T01:28:07Z,1160000,,,0,,L. Dort shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1629652, 1627734]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,1626301.0,1.0,0.0,Sabonis,1627734.0,
120,PT03M12.00S,2022-01-29T01:28:18.5Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612754,18,16,2022-01-29T01:28:18Z,1180000,,,0,,D. Sabonis Free Throw 1 of 2 (5 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
121,PT03M12.00S,2022-01-29T01:28:19.7Z,1,REGULAR,substitution,out,[],1627747,,,1610612754,18,16,2022-01-29T01:28:22Z,1190000,,,0,,SUB out: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M12.00S,2022-01-29T01:28:19.7Z,1,REGULAR,substitution,in,[],202362,,,1610612754,18,16,2022-01-29T01:28:22Z,1200000,,,0,,SUB in: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M12.00S,2022-01-29T01:28:51.1Z,1,REGULAR,violation,lane,[],1628983,,,1610612754,18,16,2022-01-29T01:28:51Z,1210000,,,0,,S. Gilgeous-Alexander lane VIOLATION,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M12.00S,2022-01-29T01:29:04.9Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612754,18,17,2022-01-29T01:29:04Z,1220000,,,0,,D. Sabonis Free Throw 2 of 2 (6 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
125,PT03M00.00S,2022-01-29T01:29:18.3Z,1,REGULAR,3pt,Jump Shot,[],203488,5.075558475689881,95.34313725490196,1610612760,18,17,2022-01-29T01:29:24Z,1230000,-227.0,-5.0,1,left,MISS M. Muscala 3PT,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,22.68,Missed,,,,,,,,,,,,,,,,,,,
126,PT02M55.00S,2022-01-29T01:29:23.3Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,18,17,2022-01-29T01:29:24Z,1240000,,,0,,O. Brissett REBOUND (Off:0 Def:2),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,125.0,2.0,2.0,0.0,,,,,,,,,,,,,,
127,PT02M48.00S,2022-01-29T01:29:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630613,82.21090670170827,43.872549019607845,1610612754,18,19,2022-01-29T01:29:35Z,1250000,-31.0,115.0,1,right,D. Washington Jr. 11' floating Jump Shot (2 PTS) (D. Sabonis 3 AST),"[1630613, 1627734]",1610612754.0,IND,floating,,,Washington Jr.,D. Washington Jr.,,,,,11.87,Made,2.0,,,,,D. Sabonis,1627734.0,3.0,,,,,,,,,,,
129,PT02M34.00S,2022-01-29T01:29:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,9.017739816031538,46.32352941176471,1610612760,18,19,2022-01-29T01:29:49Z,1270000,18.0,32.0,1,left,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,3.72,Missed,,,,,,,,,,,,,,,,,,,
130,PT02M33.00S,2022-01-29T01:29:44.0Z,1,REGULAR,rebound,offensive,[],1629652,,,1610612760,18,19,2022-01-29T01:29:49Z,1280000,,,0,,L. Dort REBOUND (Off:1 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,129.0,2.0,1.0,1.0,,,,,,,,,,,,,,
131,PT02M32.00S,2022-01-29T01:29:45.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629652,9.674770039421814,44.85294117647059,1610612760,20,19,2022-01-29T01:29:52Z,1290000,26.0,38.0,1,left,L. Dort putback Layup (6 PTS),[1629652],1610612760.0,OKC,putback,,,Dort,L. Dort,,,,,4.62,Made,6.0,,,,,,,,,,,,,,,,,,
132,PT02M23.00S,2022-01-29T01:29:54.3Z,1,REGULAR,2pt,Jump Shot,[],202362,74.32654402102497,46.07843137254902,1610612754,20,21,2022-01-29T01:30:02Z,1300000,-20.0,189.0,1,right,L. Stephenson 18' pullup Jump Shot (2 PTS),[202362],1610612754.0,IND,pullup,,,Stephenson,L. Stephenson,,,,,18.98,Made,2.0,,,,,,,,,,,,,,,,,,
133,PT02M00.00S,2022-01-29T01:30:17.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630544,14.273981603153747,44.11764705882353,1610612760,20,21,2022-01-29T01:30:20Z,1310000,29.0,82.0,1,left,MISS T. Mann 8' pullup Shot,[1630544],1610612760.0,OKC,pullup,,,Mann,T. Mann,,,,,8.68,Missed,,,,,,,,,,,,,,,,,,,
134,PT01M59.00S,2022-01-29T01:30:18.3Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,20,21,2022-01-29T01:30:20Z,1320000,,,0,,D. Sabonis REBOUND (Off:0 Def:6),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,133.0,6.0,6.0,0.0,,,,,,,,,,,,,,
135,PT01M51.00S,2022-01-29T01:30:27.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202362,92.46057818659659,55.392156862745104,1610612754,20,23,2022-01-29T01:37:23Z,1330000,27.0,18.0,1,right,L. Stephenson driving finger roll Layup (4 PTS),[202362],1610612754.0,IND,driving finger roll,,,Stephenson,L. Stephenson,,,,,3.27,Made,4.0,,,,,,,,,,,,,,,,,,
136,PT01M41.00S,2022-01-29T01:30:36.8Z,1,REGULAR,3pt,Jump Shot,[],1629652,32.933639947437584,35.049019607843135,1610612760,23,23,2022-01-29T01:30:40Z,1340000,75.0,257.0,1,left,L. Dort 26' 3PT pullup (9 PTS),[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,26.78,Made,9.0,,,,,,,,,,,,,,,,,,
137,PT01M23.00S,2022-01-29T01:30:54.2Z,1,REGULAR,3pt,Jump Shot,[],1627734,68.67608409986859,23.52941176470588,1610612754,23,23,2022-01-29T01:30:58Z,1350000,-132.0,242.0,1,right,MISS D. Sabonis 27' 3PT,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,27.58,Missed,,,,,,,,,,,,,,,,,,,
138,PT01M21.00S,2022-01-29T01:30:56.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,23,23,2022-01-29T01:30:58Z,1360000,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,137.0,2.0,2.0,0.0,,,,,,,,,,,,,,
139,PT01M16.00S,2022-01-29T01:31:02.0Z,1,REGULAR,3pt,Jump Shot,[],1628983,31.750985545335087,69.36274509803921,1610612760,23,23,2022-01-29T02:06:53Z,1370000,-97.0,246.0,1,left,MISS S. Gilgeous-Alexander 26' running 3PT,[1628983],1610612760.0,OKC,running,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,26.44,Missed,,,,,,,,,,,,,,,,,,,
140,PT01M13.00S,2022-01-29T01:31:05.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,23,23,2022-01-29T01:31:07Z,1380000,,,0,,D. Sabonis REBOUND (Off:0 Def:7),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,139.0,7.0,7.0,0.0,,,,,,,,,,,,,,
141,PT01M06.00S,2022-01-29T01:31:14.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,23,23,2022-01-29T01:31:14Z,1390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M06.00S,2022-01-29T01:31:15.5Z,1,REGULAR,substitution,out,[],1630581,,,1610612754,23,23,2022-01-29T01:31:21Z,1400000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M06.00S,2022-01-29T01:31:15.5Z,1,REGULAR,substitution,out,[],1630544,,,1610612754,23,23,2022-01-29T01:31:21Z,1410000,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M06.00S,2022-01-29T01:31:15.5Z,1,REGULAR,substitution,in,[],1629026,,,1610612754,23,23,2022-01-29T01:31:21Z,1420000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M06.00S,2022-01-29T01:31:15.5Z,1,REGULAR,substitution,in,[],1629647,,,1610612754,23,23,2022-01-29T01:31:21Z,1430000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M04.00S,2022-01-29T01:31:36.6Z,1,REGULAR,3pt,Jump Shot,[],203087,91.27792378449409,4.166666666666666,1610612754,23,26,2022-01-29T01:31:40Z,1440000,-229.0,29.0,1,right,J. Lamb 3PT  (3 PTS) (L. Stephenson 1 AST),"[203087, 202362]",1610612754.0,IND,,,,Lamb,J. Lamb,,,,,23.11,Made,3.0,,,,,L. Stephenson,202362.0,1.0,,,,,,,,,,,
148,PT00M50.60S,2022-01-29T01:31:51.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628983,9.280551905387648,44.85294117647059,1610612760,25,26,2022-01-29T01:31:55Z,1460000,26.0,35.0,1,left,S. Gilgeous-Alexander driving DUNK (4 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,4.32,Made,4.0,,,,,,,,,,,,,,,,,,
149,PT00M34.00S,2022-01-29T01:32:10.4Z,1,REGULAR,3pt,Jump Shot,[],1629052,70.51576872536137,17.892156862745097,1610612754,25,26,2022-01-29T01:32:14Z,1470000,-161.0,225.0,1,right,MISS O. Brissett 27' 3PT,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,27.61,Missed,,,,,,,,,,,,,,,,,,,
150,PT00M30.90S,2022-01-29T01:32:13.5Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,25,26,2022-01-29T01:32:14Z,1480000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,149.0,1.0,1.0,0.0,,,,,,,,,,,,,,
151,PT00M28.50S,2022-01-29T01:32:16.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629647,10.200394218134035,42.8921568627451,1610612760,27,26,2022-01-29T02:07:35Z,1490000,36.0,43.0,1,left,D. Bazley running finger roll Layup (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1629647, 1628983]",1610612760.0,OKC,running finger roll,,,Bazley,D. Bazley,,,,,5.61,Made,2.0,,,,,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,
153,PT00M15.60S,2022-01-29T01:32:32.2Z,1,REGULAR,3pt,Jump Shot,[],1629052,87.59855453350855,3.6764705882352944,1610612754,27,29,2022-01-29T01:32:36Z,1510000,-232.0,64.0,1,right,O. Brissett 24' 3PT  (3 PTS) (D. Sabonis 4 AST),"[1629052, 1627734]",1610612754.0,IND,,,,Brissett,O. Brissett,,,,,24.03,Made,3.0,,,,,D. Sabonis,1627734.0,4.0,,,,,,,,,,,
155,PT00M01.30S,2022-01-29T01:32:48.5Z,1,REGULAR,3pt,Jump Shot,[],203488,35.955978975032856,42.64705882352941,1610612760,30,29,2022-01-29T01:33:01Z,1530000,37.0,285.0,1,left,M. Muscala 28' 3PT  (3 PTS) (L. Dort 1 AST),"[203488, 1629652]",1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,28.79,Made,3.0,,,,,L. Dort,1629652.0,1.0,,,,,,,,,,,
157,PT00M00.00S,2022-01-29T01:32:58.3Z,1,REGULAR,period,end,[],0,,,1610612754,30,29,2022-01-29T01:32:58Z,1550000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-01-29T01:34:51.2Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612754,30,29,2022-01-29T01:35:25Z,1560000,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2022-01-29T01:34:51.2Z,2,REGULAR,substitution,out,['startperiod'],1629652,,,1610612754,30,29,2022-01-29T01:35:25Z,1570000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2022-01-29T01:34:51.2Z,2,REGULAR,substitution,out,['startperiod'],203488,,,1610612754,30,29,2022-01-29T01:35:25Z,1580000,,,0,,SUB out: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-01-29T01:34:51.2Z,2,REGULAR,substitution,out,['startperiod'],1630613,,,1610612754,30,29,2022-01-29T01:35:25Z,1590000,,,0,,SUB out: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2022-01-29T01:34:51.2Z,2,REGULAR,substitution,out,['startperiod'],1627734,,,1610612754,30,29,2022-01-29T01:35:25Z,1600000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2022-01-29T01:34:51.2Z,2,REGULAR,substitution,in,['startperiod'],1629660,,,1610612754,30,29,2022-01-29T01:35:25Z,1610000,,,0,,SUB in: T. Jerome,[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2022-01-29T01:34:51.2Z,2,REGULAR,substitution,in,['startperiod'],1630177,,,1610612754,30,29,2022-01-29T01:35:25Z,1620000,,,0,,SUB in: T. Maledon,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2022-01-29T01:34:51.2Z,2,REGULAR,substitution,in,['startperiod'],1629603,,,1610612754,30,29,2022-01-29T01:35:25Z,1630000,,,0,,SUB in: M. Diakite,[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2022-01-29T01:34:51.2Z,2,REGULAR,substitution,in,['startperiod'],1630678,,,1610612754,30,29,2022-01-29T01:35:25Z,1640000,,,0,,SUB in: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2022-01-29T01:34:51.2Z,2,REGULAR,substitution,in,['startperiod'],1627747,,,1610612754,30,29,2022-01-29T01:35:25Z,1650000,,,0,,SUB in: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2022-01-29T01:35:34.6Z,2,REGULAR,period,start,[],0,,,1610612760,30,29,2022-01-29T01:35:34Z,1660000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT11M38.00S,2022-01-29T01:35:58.7Z,2,REGULAR,turnover,traveling,[],1629026,,,1610612760,30,29,2022-01-29T01:36:15Z,1670000,,,0,,K. Williams traveling TURNOVER (1 TO),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,1.0,,,,,202037.0,,,,,
170,PT11M19.00S,2022-01-29T01:36:28.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202362,65.25952693823915,53.67647058823529,1610612754,30,29,2022-01-29T01:36:32Z,1680000,18.0,274.0,1,right,MISS L. Stephenson 27' 3PT,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,27.47,Missed,,,,,,,,,,,,,,,,,,,
171,PT11M16.00S,2022-01-29T01:36:31.2Z,2,REGULAR,rebound,defensive,[],1629660,,,1610612760,30,29,2022-01-29T01:36:32Z,1690000,,,0,,T. Jerome REBOUND (Off:0 Def:1),[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,170.0,1.0,1.0,0.0,,,,,,,,,,,,,,
