actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
91,PT04M29.00S,2021-10-28T00:23:30.8Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,13,24,2021-10-28T00:23:31Z,910000,,,0,,D. Bazley REBOUND (Off:0 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,90.0,2.0,2.0,0.0,,,,,,,,,,,,,
92,PT04M20.00S,2021-10-28T00:23:40.0Z,1,REGULAR,turnover,lost ball,[],1629647,,,1610612760,13,24,2021-10-28T00:23:43Z,920000,,,0,,D. Bazley lost ball TURNOVER (2 TO),"[1629647, 203145]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,2.0,,,,,,,,,,,,,,,,,Bazemore,203145.0,
93,PT04M20.00S,2021-10-28T00:23:40.0Z,1,REGULAR,steal,,[],203145,,,1610612747,13,24,2021-10-28T00:23:41Z,930000,,,0,,K. Bazemore STEAL (1 STL),[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M16.00S,2021-10-28T00:23:43.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628370,93.9060446780552,52.94117647058824,1610612747,13,26,2021-10-28T00:23:53Z,940000,15.0,5.0,1,right,M. Monk running DUNK (5 PTS) (K. Bazemore 2 AST),"[1628370, 203145]",1610612747.0,LAL,running,,,Monk,M. Monk,,,,,,,1.55,Made,,,,,,,5.0,K. Bazemore,203145.0,2.0,,,,,,,
96,PT04M07.00S,2021-10-28T00:23:55.4Z,1,REGULAR,foul,personal,[],203145,,,1610612760,13,26,2021-10-28T00:24:12Z,960000,,,0,,K. Bazemore personal FOUL (1 PF),"[203145, 1630526]",1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,203177.0,,,,,,,,,,,,,,1.0,0.0,Robinson-Earl,1630526.0,,,
98,PT03M57.00S,2021-10-28T00:24:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.389618922470433,58.82352941176471,1610612760,13,26,2021-10-28T00:24:41Z,980000,-44.0,8.0,1,left,MISS S. Gilgeous-Alexander finger roll Layup,[1628983],1610612760.0,OKC,finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,4.48,Missed,,,,,,,,,,,,,,,,,
99,PT03M54.00S,2021-10-28T00:24:29.5Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,13,26,2021-10-28T00:24:41Z,990000,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,98.0,2.0,2.0,0.0,,,,,,,,,,,,,
100,PT03M43.00S,2021-10-28T00:24:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200765,93.9060446780552,56.127450980392155,1610612747,13,26,2021-10-28T00:27:17Z,1000000,31.0,5.0,1,right,MISS R. Rondo driving Layup,[200765],1610612747.0,LAL,driving,,,Rondo,R. Rondo,,,,,,,3.1,Missed,,,,,,,,,,,,,,,,,
101,PT03M42.00S,2021-10-28T00:24:41.7Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,13,26,2021-10-28T00:24:53Z,1010000,,,0,,A. Davis REBOUND (Off:1 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,100.0,3.0,2.0,1.0,,,,,,,,,,,,,
102,PT03M40.00S,2021-10-28T00:24:43.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,93.24901445466492,50.98039215686274,1610612747,13,28,2021-10-28T00:25:00Z,1020000,5.0,11.0,1,right,A. Davis putback Layup (10 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,,,1.2,Made,,,,,,,10.0,,,,,,,,,,
103,PT03M35.00S,2021-10-28T00:24:54.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,13,28,2021-10-28T00:24:54Z,1030000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M35.00S,2021-10-28T00:27:24.1Z,1,REGULAR,substitution,out,[],1630581,,,1610612760,13,28,2021-10-28T00:27:38Z,1040000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M35.00S,2021-10-28T00:27:24.1Z,1,REGULAR,substitution,out,[],1629647,,,1610612760,13,28,2021-10-28T00:27:38Z,1050000,,,0,,SUB out: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M35.00S,2021-10-28T00:27:24.1Z,1,REGULAR,substitution,out,[],1628370,,,1610612760,13,28,2021-10-28T00:27:38Z,1060000,,,0,,SUB out: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M35.00S,2021-10-28T00:27:24.1Z,1,REGULAR,substitution,in,[],1630197,,,1610612760,13,28,2021-10-28T00:27:38Z,1070000,,,0,,SUB in: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M35.00S,2021-10-28T00:27:24.1Z,1,REGULAR,substitution,in,[],1630544,,,1610612760,13,28,2021-10-28T00:27:38Z,1080000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M35.00S,2021-10-28T00:27:24.1Z,1,REGULAR,substitution,in,[],1630559,,,1610612760,13,28,2021-10-28T00:27:38Z,1090000,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M23.00S,2021-10-28T00:28:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,5.863994743758213,52.69607843137255,1610612760,13,28,2021-10-28T00:28:12Z,1100000,-13.0,3.0,1,left,MISS L. Dort driving Layup,[1629652],1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,,,1.37,Missed,,,,,,,,,,,,,,,,,
112,PT03M19.00S,2021-10-28T00:28:08.6Z,1,REGULAR,rebound,defensive,[],2546,,,1610612747,13,28,2021-10-28T00:28:12Z,1120000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,110.0,1.0,1.0,0.0,,,,,,,,,,,,,
113,PT03M06.00S,2021-10-28T00:28:21.5Z,1,REGULAR,3pt,Jump Shot,[],2546,74.06373193166885,14.215686274509803,1610612747,13,28,2021-10-28T00:28:28Z,1130000,-179.0,191.0,1,right,MISS C. Anthony 26' 3PT,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,26.19,Missed,,,,,,,,,,,,,,,,,
114,PT03M03.00S,2021-10-28T00:28:24.5Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,13,28,2021-10-28T00:28:28Z,1140000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,113.0,1.0,1.0,0.0,,,,,,,,,,,,,
115,PT02M58.00S,2021-10-28T00:28:29.6Z,1,REGULAR,turnover,bad pass,[],1630197,,,1610612760,13,28,2021-10-28T00:28:34Z,1150000,,,0,,A. Pokusevski bad pass TURNOVER (1 TO),"[1630197, 200765]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,1.0,,,,,,,,,,,,,,,,,Rondo,200765.0,
116,PT02M58.00S,2021-10-28T00:28:29.6Z,1,REGULAR,steal,,[],200765,,,1610612747,13,28,2021-10-28T00:28:31Z,1160000,,,0,,R. Rondo STEAL (1 STL),[200765],1610612747.0,LAL,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M53.00S,2021-10-28T00:28:34.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",200765,93.11760840998686,51.225490196078425,1610612747,13,30,2021-10-28T00:28:41Z,1170000,6.0,12.0,1,right,R. Rondo running Layup (2 PTS),[200765],1610612747.0,LAL,running,,,Rondo,R. Rondo,,,,,,,1.36,Made,,,,,,,2.0,,,,,,,,,,
118,PT02M38.00S,2021-10-28T00:28:51.6Z,1,REGULAR,foul,personal,['2freethrow'],203145,,,1610612760,13,30,2021-10-28T00:29:04Z,1180000,,,0,,K. Bazemore shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[203145, 1628983]",1610612747.0,LAL,shooting,,,Bazemore,K. Bazemore,,,,,203177.0,,,,,,,,,,,,,,2.0,0.0,Gilgeous-Alexander,1628983.0,,,
120,PT02M38.00S,2021-10-28T00:29:17.0Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,14,30,2021-10-28T00:29:17Z,1200000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (1 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,
121,PT02M38.00S,2021-10-28T00:29:17.9Z,1,REGULAR,substitution,out,[],1629652,,,1610612760,14,30,2021-10-28T00:29:26Z,1210000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M38.00S,2021-10-28T00:29:17.9Z,1,REGULAR,substitution,out,[],203145,,,1610612760,14,30,2021-10-28T00:29:26Z,1220000,,,0,,SUB out: K. Bazemore,[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M38.00S,2021-10-28T00:29:17.9Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,14,30,2021-10-28T00:29:26Z,1230000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M38.00S,2021-10-28T00:29:17.9Z,1,REGULAR,substitution,in,[],201566,,,1610612760,14,30,2021-10-28T00:29:26Z,1240000,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M38.00S,2021-10-28T00:29:38.1Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,15,30,2021-10-28T00:29:38Z,1250000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (2 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,
126,PT02M32.00S,2021-10-28T00:29:44.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,92.32917214191852,49.26470588235294,1610612747,15,32,2021-10-28T00:29:49Z,1260000,-4.0,20.0,1,right,A. Davis alley-oop DUNK (12 PTS) (R. Rondo 1 AST),"[203076, 200765]",1610612747.0,LAL,alley-oop,,,Davis,A. Davis,,,,,,,1.99,Made,,,,,,,12.0,R. Rondo,200765.0,1.0,,,,,,,
128,PT02M08.00S,2021-10-28T00:30:07.0Z,1,REGULAR,3pt,Jump Shot,[],1630197,25.969119579500656,81.12745098039215,1610612760,15,32,2021-10-28T00:30:11Z,1280000,-156.0,192.0,1,left,MISS A. Pokusevski 24' 3PT,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,24.68,Missed,,,,,,,,,,,,,,,,,
129,PT02M05.00S,2021-10-28T00:30:10.0Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,15,32,2021-10-28T00:30:11Z,1290000,,,0,,R. Westbrook REBOUND (Off:0 Def:4),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,128.0,4.0,4.0,0.0,,,,,,,,,,,,,
130,PT01M52.00S,2021-10-28T00:30:23.2Z,1,REGULAR,3pt,Jump Shot,[],200765,70.51576872536137,74.50980392156863,1610612747,15,35,2021-10-28T00:30:27Z,1300000,123.0,225.0,1,right,R. Rondo 25' 3PT  (5 PTS) (R. Westbrook 5 AST),"[200765, 201566]",1610612747.0,LAL,,,,Rondo,R. Rondo,,,,,,,25.59,Made,,,,,,,5.0,R. Westbrook,201566.0,5.0,,,,,,,
132,PT01M38.00S,2021-10-28T00:30:40.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",2546,,,1610612760,15,35,2021-10-28T00:30:49Z,1320000,,,0,,C. Anthony shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[2546, 1628983]",1610612747.0,LAL,shooting,,,Anthony,C. Anthony,,,,,204058.0,,,,,,,,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,
134,PT01M38.00S,2021-10-28T00:31:08.3Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,15,35,2021-10-28T00:31:08Z,1340000,,,0,,MISS S. Gilgeous-Alexander Free Throw 1 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Missed,,,,,,,,,,,,,,,,,
135,PT01M38.00S,2021-10-28T00:31:08.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,15,35,2021-10-28T00:31:08Z,1350000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,
136,PT01M38.00S,2021-10-28T00:31:09.5Z,1,REGULAR,substitution,out,[],203076,,,1610612760,15,35,2021-10-28T00:31:13Z,1360000,,,0,,SUB out: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M38.00S,2021-10-28T00:31:09.5Z,1,REGULAR,substitution,in,[],2730,,,1610612760,15,35,2021-10-28T00:31:13Z,1370000,,,0,,SUB in: D. Howard,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M38.00S,2021-10-28T00:31:30.7Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,16,35,2021-10-28T00:31:30Z,1380000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (3 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,
139,PT01M27.00S,2021-10-28T00:31:44.0Z,1,REGULAR,3pt,Jump Shot,[],1630559,89.56964520367937,96.56862745098039,1610612747,16,35,2021-10-28T00:31:57Z,1390000,233.0,46.0,1,right,MISS A. Reaves 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,23.72,Missed,,,,,,,,,,,,,,,,,
140,PT01M25.00S,2021-10-28T00:31:46.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,16,35,2021-10-28T00:31:57Z,1400000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,139.0,,,,,,,,,,,,,,,,
141,PT01M25.00S,2021-10-28T00:31:53.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",2730,,,1610612760,16,35,2021-10-28T00:32:16Z,1410000,,,0,,D. Howard loose ball personal FOUL (1 PF) (Williams 2 FT),"[2730, 1629026]",1610612747.0,LAL,loose ball,,,Howard,D. Howard,,,,,204058.0,,,,,,,,,,,,,,1.0,0.0,Williams,1629026.0,,,
143,PT01M25.00S,2021-10-28T00:32:17.4Z,1,REGULAR,freethrow,1 of 2,[],1629026,,,1610612760,16,35,2021-10-28T00:32:17Z,1430000,,,0,,MISS K. Williams Free Throw 1 of 2,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,Missed,,,,,,,,,,,,,,,,,
144,PT01M25.00S,2021-10-28T00:32:17.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,16,35,2021-10-28T00:32:17Z,1440000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,143.0,,,,,,,,,,,,,,,,
145,PT01M25.00S,2021-10-28T00:32:17.4Z,1,REGULAR,freethrow,2 of 2,[],1629026,,,1610612760,16,35,2021-10-28T00:32:36Z,1450000,,,0,,MISS K. Williams Free Throw 2 of 2,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,Missed,,,,,,,,,,,,,,,,,
146,PT01M23.00S,2021-10-28T00:32:19.4Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,16,35,2021-10-28T00:32:36Z,1460000,,,0,,R. Westbrook REBOUND (Off:0 Def:5),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,145.0,5.0,5.0,0.0,,,,,,,,,,,,,
147,PT01M17.00S,2021-10-28T00:32:40.8Z,1,REGULAR,2pt,Jump Shot,[],1630559,78.53153745072274,75.0,1610612747,16,37,2021-10-28T00:32:45Z,1470000,125.0,149.0,1,right,A. Reaves 19' pullup Jump Shot (2 PTS) (R. Westbrook 6 AST),"[1630559, 201566]",1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,,,19.47,Made,,,,,,,2.0,R. Westbrook,201566.0,6.0,,,,,,,
149,PT00M58.30S,2021-10-28T00:32:59.4Z,1,REGULAR,3pt,Jump Shot,[],1630544,27.677398160315374,76.9607843137255,1610612760,16,37,2021-10-28T00:33:05Z,1490000,-135.0,208.0,1,left,MISS T. Mann 24' step back 3PT,[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,,,24.76,Missed,,,,,,,,,,,,,,,,,
150,PT00M55.10S,2021-10-28T00:33:02.6Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,16,37,2021-10-28T00:33:05Z,1500000,,,0,,D. Howard REBOUND (Off:0 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,149.0,1.0,1.0,0.0,,,,,,,,,,,,,
151,PT00M49.50S,2021-10-28T00:33:11.3Z,1,REGULAR,foul,personal,[],1630544,,,1610612747,16,37,2021-10-28T00:33:51Z,1510000,,,0,,T. Mann personal FOUL (1 PF),"[1630544, 2546]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,1162.0,,,,,,,,,,,,,,1.0,0.0,Anthony,2546.0,,,
153,PT00M49.50S,2021-10-28T00:33:22.8Z,1,REGULAR,substitution,out,[],1630544,,,1610612747,16,37,2021-10-28T00:33:29Z,1530000,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M49.50S,2021-10-28T00:33:22.8Z,1,REGULAR,substitution,in,[],1630177,,,1610612747,16,37,2021-10-28T00:33:29Z,1540000,,,0,,SUB in: T. Maledon,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M49.10S,2021-10-28T00:33:40.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,16,37,2021-10-28T00:33:40Z,1550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M40.60S,2021-10-28T00:33:57.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2546,93.24901445466492,48.77450980392157,1610612747,16,39,2021-10-28T00:34:01Z,1560000,-6.0,11.0,1,right,C. Anthony Layup (2 PTS),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,1.26,Made,,,,,,,2.0,,,,,,,,,,
157,PT00M27.30S,2021-10-28T00:34:14.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",200765,,,1610612760,16,39,2021-10-28T00:34:20Z,1570000,,,0,,R. Rondo personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[200765, 1628983]",1610612747.0,LAL,,,,Rondo,R. Rondo,,,,,203177.0,,,,,,,,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,
159,PT00M27.30S,2021-10-28T00:34:35.1Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,17,39,2021-10-28T00:34:57Z,1590000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (4 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,
160,PT00M27.30S,2021-10-28T00:34:37.6Z,1,REGULAR,substitution,out,[],1630197,,,1610612760,17,39,2021-10-28T00:34:43Z,1600000,,,0,,SUB out: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M27.30S,2021-10-28T00:34:37.6Z,1,REGULAR,substitution,in,[],1630466,,,1610612760,17,39,2021-10-28T00:34:43Z,1610000,,,0,,SUB in: G. Deck,[1630466],1610612760.0,OKC,,,,Deck,G. Deck,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M27.30S,2021-10-28T00:34:35.1Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,17,39,2021-10-28T00:34:57Z,1620000,,,0,,MISS S. Gilgeous-Alexander Free Throw 2 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Missed,,,,,,,,,,,,,,,,,
163,PT00M25.20S,2021-10-28T00:34:37.2Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612760,17,39,2021-10-28T00:34:57Z,1630000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,162.0,2.0,1.0,1.0,,,,,,,,,,,,,
164,PT00M18.40S,2021-10-28T00:35:04.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628983,7.178055190538765,60.049019607843135,1610612760,19,39,2021-10-28T00:35:07Z,1640000,-50.0,15.0,1,left,S. Gilgeous-Alexander driving Layup (6 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,5.24,Made,,,,,,,6.0,,,,,,,,,,
165,PT00M02.30S,2021-10-28T00:35:22.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,89.30683311432325,63.48039215686274,1610612747,19,39,2021-10-28T00:35:32Z,1650000,67.0,48.0,1,right,MISS R. Westbrook 8' driving Layup - blocked,"[201566, 1630526]",1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,,,8.27,Missed,,,,,Robinson-Earl,1630526.0,,,,,,,,,,,
166,PT00M02.30S,2021-10-28T00:35:22.8Z,1,REGULAR,block,,[],1630526,,,1610612747,19,39,2021-10-28T00:35:25Z,1660000,,,0,,J. Robinson-Earl BLOCK (1 BLK),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M01.50S,2021-10-28T00:35:23.6Z,1,REGULAR,rebound,offensive,[],201566,,,1610612747,19,39,2021-10-28T00:35:32Z,1670000,,,0,,R. Westbrook REBOUND (Off:1 Def:5),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,165.0,6.0,5.0,1.0,,,,,,,,,,,,,
168,PT00M01.50S,2021-10-28T00:35:26.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201566,93.51182654402102,51.470588235294116,1610612747,19,41,2021-10-28T00:35:36Z,1680000,7.0,8.0,1,right,R. Westbrook putback Layup (5 PTS),[201566],1610612747.0,LAL,putback,,,Westbrook,R. Westbrook,,,,,,,1.13,Made,,,,,,,5.0,,,,,,,,,,
169,PT00M01.50S,2021-10-28T00:35:32.0Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612760,19,41,2021-10-28T00:35:41Z,1690000,,,0,,TEAM delay-of-game VIOLATION,[],1610612747.0,LAL,,,,,,,,,,203177.0,,,,,,,,,,,,,,,,,,,,
170,PT00M00.00S,2021-10-28T00:35:50.5Z,1,REGULAR,period,end,[],0,,,1610612760,19,41,2021-10-28T00:35:50Z,1700000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2021-10-28T00:35:54.9Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612760,19,41,2021-10-28T00:38:01Z,1710000,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2021-10-28T00:35:54.9Z,2,REGULAR,substitution,out,['startperiod'],1630526,,,1610612760,19,41,2021-10-28T00:38:01Z,1720000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2021-10-28T00:35:54.9Z,2,REGULAR,substitution,out,['startperiod'],200765,,,1610612760,19,41,2021-10-28T00:38:01Z,1730000,,,0,,SUB out: R. Rondo,[200765],1610612747.0,LAL,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2021-10-28T00:35:54.9Z,2,REGULAR,substitution,in,['startperiod'],1630544,,,1610612760,19,41,2021-10-28T00:38:01Z,1740000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2021-10-28T00:35:54.9Z,2,REGULAR,substitution,in,['startperiod'],202324,,,1610612760,19,41,2021-10-28T00:38:01Z,1750000,,,0,,SUB in: D. Favors,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2021-10-28T00:35:54.9Z,2,REGULAR,substitution,in,['startperiod'],202340,,,1610612760,19,41,2021-10-28T00:38:01Z,1760000,,,0,,SUB in: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2021-10-28T00:38:20.4Z,2,REGULAR,period,start,[],0,,,1610612747,19,41,2021-10-28T00:38:20Z,1770000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT11M47.00S,2021-10-28T00:38:33.0Z,2,REGULAR,2pt,Jump Shot,[],2546,82.21090670170827,83.08823529411765,1610612747,19,41,2021-10-28T00:38:38Z,1780000,165.0,115.0,1,right,MISS C. Anthony 20' pullup Shot,[2546],1610612747.0,LAL,pullup,,,Anthony,C. Anthony,,,,,,,20.13,Missed,,,,,,,,,,,,,,,,,
