actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
92,PT04M35.00S,2021-10-24T23:26:02.3Z,1,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,17,21,2021-10-24T23:26:02Z,910000,,,0,,T. Maxey Free Throw 1 of 2 (3 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
93,PT04M35.00S,2021-10-24T23:26:04.5Z,1,REGULAR,substitution,out,[],1630581,,,1610612755,17,21,2021-10-24T23:26:11Z,920000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M35.00S,2021-10-24T23:26:04.5Z,1,REGULAR,substitution,in,[],1630544,,,1610612755,17,21,2021-10-24T23:26:11Z,930000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M35.00S,2021-10-24T23:26:22.3Z,1,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,17,22,2021-10-24T23:26:22Z,940000,,,0,,T. Maxey Free Throw 2 of 2 (4 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
96,PT04M12.00S,2021-10-24T23:26:47.9Z,1,REGULAR,3pt,Jump Shot,[],1630544,16.770696452036795,96.32352941176471,1610612760,17,22,2021-10-24T23:26:54Z,950000,-232.0,105.0,1,left,MISS T. Mann 25' step back 3PT,[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,,
97,PT04M08.00S,2021-10-24T23:26:51.9Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,17,22,2021-10-24T23:26:54Z,960000,,,0,,T. Maxey REBOUND (Off:1 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,96.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
98,PT03M59.00S,2021-10-24T23:27:04.4Z,1,REGULAR,foul,personal,[],1630526,,,1610612755,17,22,2021-10-24T23:27:17Z,970000,,,0,,J. Robinson-Earl personal FOUL (1 PF),"[1630526, 203954]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,1627963.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,
100,PT03M59.00S,2021-10-24T23:27:17.0Z,1,REGULAR,substitution,out,[],201980,,,1610612755,17,22,2021-10-24T23:27:21Z,990000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M59.00S,2021-10-24T23:27:17.0Z,1,REGULAR,substitution,in,[],1629680,,,1610612755,17,22,2021-10-24T23:27:21Z,1000000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M46.00S,2021-10-24T23:27:40.9Z,1,REGULAR,3pt,Jump Shot,[],203552,94.30026281208936,94.11764705882352,1610612755,17,25,2021-10-24T23:27:45Z,1010000,221.0,1.0,1,right,S. Curry 3PT  (17 PTS) (J. Embiid 3 AST),"[203552, 203954]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,22.06,Made,,,,,,,,,,17.0,,,,,,J. Embiid,203954.0,3.0,
104,PT03M28.00S,2021-10-24T23:27:57.5Z,1,REGULAR,3pt,Jump Shot,[],1630526,4.02431011826544,97.79411764705883,1610612760,20,25,2021-10-24T23:28:02Z,1030000,-239.0,-15.0,1,left,J. Robinson-Earl 3PT  (3 PTS) (S. Gilgeous-Alexander 2 AST),"[1630526, 1628983]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,23.95,Made,,,,,,,,,,3.0,,,,,,S. Gilgeous-Alexander,1628983.0,2.0,
106,PT03M12.00S,2021-10-24T23:28:14.2Z,1,REGULAR,3pt,Jump Shot,[],1630178,80.1084099868594,4.6568627450980395,1610612755,20,25,2021-10-24T23:28:19Z,1050000,-227.0,134.0,1,right,MISS T. Maxey 26' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,26.36,Missed,,,,,,,,,,,,,,,,,,,
107,PT03M09.00S,2021-10-24T23:28:17.2Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,20,25,2021-10-24T23:28:19Z,1060000,,,0,,D. Bazley REBOUND (Off:0 Def:3),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,106.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
108,PT03M01.00S,2021-10-24T23:28:27.3Z,1,REGULAR,foul,personal,[],203954,,,1610612760,20,25,2021-10-24T23:33:19Z,1070000,,,0,,J. Embiid take personal FOUL (1 PF),"[203954, 1630526]",1610612755.0,PHI,take,,,Embiid,J. Embiid,,,,,,,,,,,1627962.0,1.0,0.0,Robinson-Earl,1630526.0,,,,,,,,,,
110,PT03M01.00S,2021-10-24T23:28:33.8Z,1,REGULAR,substitution,out,[],1630178,,,1610612760,20,25,2021-10-24T23:28:37Z,1090000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M01.00S,2021-10-24T23:28:33.8Z,1,REGULAR,substitution,in,[],1627788,,,1610612760,20,25,2021-10-24T23:28:37Z,1100000,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M52.00S,2021-10-24T23:28:59.7Z,1,REGULAR,turnover,lost ball,[],1630526,,,1610612760,20,25,2021-10-24T23:29:05Z,1110000,,,0,,J. Robinson-Earl lost ball TURNOVER (1 TO),"[1630526, 1629680]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,1.0,Thybulle,1629680.0,,,,,,
113,PT02M52.00S,2021-10-24T23:28:59.7Z,1,REGULAR,steal,,[],1629680,,,1610612755,20,25,2021-10-24T23:29:03Z,1120000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M45.00S,2021-10-24T23:29:05.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627788,92.72339027595268,57.59803921568627,1610612755,20,25,2021-10-24T23:29:15Z,1130000,38.0,16.0,1,right,MISS F. Korkmaz running Layup,[1627788],1610612755.0,PHI,running,,,Korkmaz,F. Korkmaz,,,,,4.12,Missed,,,,,,,,,,,,,,,,,,,
115,PT02M44.00S,2021-10-24T23:29:07.8Z,1,REGULAR,rebound,offensive,[],202699,,,1610612755,20,25,2021-10-24T23:29:07Z,1140000,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,114.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
116,PT02M42.00S,2021-10-24T23:29:09.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202699,90.3580814717477,51.225490196078425,1610612755,20,25,2021-10-24T23:29:20Z,1150000,6.0,38.0,1,right,MISS T. Harris putback Layup,[202699],1610612755.0,PHI,putback,,,Harris,T. Harris,,,,,3.86,Missed,,,,,,,,,,,,,,,,,,,
117,PT02M40.00S,2021-10-24T23:29:11.5Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,20,25,2021-10-24T23:29:20Z,1160000,,,0,,D. Bazley REBOUND (Off:0 Def:4),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,116.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
118,PT02M29.00S,2021-10-24T23:29:22.6Z,1,REGULAR,3pt,Jump Shot,[],1628983,29.77989487516426,23.52941176470588,1610612760,20,25,2021-10-24T23:29:28Z,1170000,132.0,227.0,1,left,MISS S. Gilgeous-Alexander 26' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,26.31,Missed,,,,,,,,,,,,,,,,,,,
119,PT02M26.00S,2021-10-24T23:29:25.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,20,25,2021-10-24T23:29:28Z,1180000,,,0,,T. Harris REBOUND (Off:1 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,118.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
120,PT02M21.00S,2021-10-24T23:29:30.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,89.17542706964521,53.92156862745098,1610612755,20,27,2021-10-24T23:35:07Z,1190000,20.0,49.0,1,right,J. Embiid running Layup (4 PTS) (T. Harris 2 AST),"[203954, 202699]",1610612755.0,PHI,running,,,Embiid,J. Embiid,,,,,5.31,Made,,,,,,,,,,4.0,,,,,,T. Harris,202699.0,2.0,
122,PT02M07.00S,2021-10-24T23:29:44.5Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,20,27,2021-10-24T23:29:48Z,1210000,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 203552]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,1.0,Curry,203552.0,,,,,,
123,PT02M07.00S,2021-10-24T23:29:44.5Z,1,REGULAR,steal,,[],203552,,,1610612755,20,27,2021-10-24T23:29:46Z,1220000,,,0,,S. Curry STEAL (1 STL),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M57.00S,2021-10-24T23:29:54.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203954,92.19776609724047,56.372549019607845,1610612755,20,29,2021-10-24T23:36:32Z,1230000,32.0,21.0,1,right,J. Embiid cutting Layup (6 PTS) (M. Thybulle 1 AST),"[203954, 1629680]",1610612755.0,PHI,cutting,,,Embiid,J. Embiid,,,,,3.81,Made,,,,,,,,,,6.0,,,,,,M. Thybulle,1629680.0,1.0,
126,PT01M56.00S,2021-10-24T23:30:01.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,20,29,2021-10-24T23:30:01Z,1250000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M56.00S,2021-10-24T23:32:14.1Z,1,REGULAR,substitution,out,[],1628983,,,1610612760,20,29,2021-10-24T23:32:40Z,1260000,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M56.00S,2021-10-24T23:32:14.1Z,1,REGULAR,substitution,out,[],1629652,,,1610612760,20,29,2021-10-24T23:32:40Z,1270000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M56.00S,2021-10-24T23:32:14.1Z,1,REGULAR,substitution,out,[],1629647,,,1610612760,20,29,2021-10-24T23:32:40Z,1280000,,,0,,SUB out: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M56.00S,2021-10-24T23:32:14.1Z,1,REGULAR,substitution,out,[],202699,,,1610612760,20,29,2021-10-24T23:32:40Z,1290000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M56.00S,2021-10-24T23:32:14.1Z,1,REGULAR,substitution,in,[],1630177,,,1610612760,20,29,2021-10-24T23:32:40Z,1300000,,,0,,SUB in: T. Maledon,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M56.00S,2021-10-24T23:32:14.1Z,1,REGULAR,substitution,in,[],1630197,,,1610612760,20,29,2021-10-24T23:32:40Z,1310000,,,0,,SUB in: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M56.00S,2021-10-24T23:32:14.1Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,20,29,2021-10-24T23:32:40Z,1320000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M56.00S,2021-10-24T23:32:14.1Z,1,REGULAR,substitution,in,[],1627777,,,1610612760,20,29,2021-10-24T23:32:40Z,1330000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M46.00S,2021-10-24T23:33:00.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629026,15.588042049934298,37.254901960784316,1610612760,22,29,2021-10-24T23:33:06Z,1340000,64.0,94.0,1,left,K. Williams 11' pullup Jump Shot (2 PTS),[1629026],1610612760.0,OKC,pullup,,,Williams,K. Williams,,,,,11.36,Made,,,,,,,,,,2.0,,,,,,,,,
136,PT01M33.00S,2021-10-24T23:33:17.8Z,1,REGULAR,foul,technical,['1freethrow'],1630544,,,1610612755,22,29,2021-10-24T23:33:34Z,1350000,,,0,,T. Mann defensive-3-second technical FOUL (1 Tech),[1630544],1610612760.0,OKC,defensive-3-second,,,Mann,T. Mann,,,,,,,,,,,1179.0,0.0,1.0,,,,,,,,,,,,
137,PT01M33.00S,2021-10-24T23:33:36.8Z,1,REGULAR,freethrow,1 of 1,[],203954,,,1610612755,22,30,2021-10-24T23:33:36Z,1360000,,,0,,J. Embiid technical Free Throw 1 of 1 (7 PTS),[203954],1610612755.0,PHI,technical,,,Embiid,J. Embiid,,,,,,Made,,,,,,,,,,7.0,,,,,,,,,
138,PT01M33.00S,2021-10-24T23:33:38.1Z,1,REGULAR,substitution,out,[],1630526,,,1610612755,22,30,2021-10-24T23:33:41Z,1370000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M33.00S,2021-10-24T23:33:38.1Z,1,REGULAR,substitution,in,[],203488,,,1610612755,22,30,2021-10-24T23:33:41Z,1380000,,,0,,SUB in: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M26.00S,2021-10-24T23:33:55.5Z,1,REGULAR,3pt,Jump Shot,[],203552,66.3107752956636,38.72549019607843,1610612755,22,30,2021-10-24T23:34:06Z,1390000,-56.0,264.0,1,right,MISS S. Curry 27' 3PT,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,27.02,Missed,,,,,,,,,,,,,,,,,,,
141,PT01M22.00S,2021-10-24T23:33:59.5Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,22,30,2021-10-24T23:34:06Z,1400000,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,140.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
142,PT01M16.00S,2021-10-24T23:34:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630197,7.440867279894875,60.29411764705882,1610612760,22,30,2021-10-24T23:38:22Z,1410000,-51.0,17.0,1,left,MISS A. Pokusevski driving Layup - blocked,"[1630197, 203954]",1610612760.0,OKC,driving,,,Pokusevski,A. Pokusevski,,,,,5.44,Missed,,,,,,,,,,,,,,Embiid,203954.0,,,,
143,PT01M16.00S,2021-10-24T23:34:06.1Z,1,REGULAR,block,,[],203954,,,1610612760,22,30,2021-10-24T23:34:09Z,1420000,,,0,,J. Embiid BLOCK (3 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M16.00S,2021-10-24T23:34:06.1Z,1,REGULAR,rebound,offensive,[],1630544,,,1610612760,22,30,2021-10-24T23:34:30Z,1430000,,,0,,T. Mann REBOUND (Off:1 Def:0),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,142.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
145,PT01M08.00S,2021-10-24T23:34:12.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630544,8.492115637319317,51.9607843137255,1610612760,24,30,2021-10-24T23:39:18Z,1440000,-10.0,27.0,1,left,T. Mann driving Layup (2 PTS),[1630544],1610612760.0,OKC,driving,,,Mann,T. Mann,,,,,2.9,Made,,,,,,,,,,2.0,,,,,,,,,
146,PT00M54.40S,2021-10-24T23:34:27.8Z,1,REGULAR,3pt,Jump Shot,[],203552,94.82588699080158,95.83333333333334,1610612755,24,33,2021-10-24T23:34:33Z,1450000,229.0,-4.0,1,right,S. Curry 3PT  (20 PTS) (G. Niang 3 AST),"[203552, 1627777]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,22.92,Made,,,,,,,,,,20.0,,,,,,G. Niang,1627777.0,3.0,
148,PT00M31.60S,2021-10-24T23:34:54.6Z,1,REGULAR,2pt,Jump Shot,[],1630197,7.046649145860711,88.97058823529412,1610612760,24,33,2021-10-24T23:34:59Z,1470000,-195.0,14.0,1,left,MISS A. Pokusevski 19' pullup Shot,[1630197],1610612760.0,OKC,pullup,,,Pokusevski,A. Pokusevski,,,,,19.54,Missed,,,,,,,,,,,,,,,,,,,
149,PT00M28.60S,2021-10-24T23:34:57.6Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612755,24,33,2021-10-24T23:34:59Z,1480000,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,148.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
150,PT00M08.30S,2021-10-24T23:35:18.0Z,1,REGULAR,3pt,Jump Shot,[],203552,92.85479632063075,96.07843137254902,1610612755,24,36,2021-10-24T23:35:22Z,1490000,230.0,15.0,1,right,S. Curry 3PT  (23 PTS) (J. Embiid 4 AST),"[203552, 203954]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,23.09,Made,,,,,,,,,,23.0,,,,,,J. Embiid,203954.0,4.0,
152,PT00M00.70S,2021-10-24T23:35:29.1Z,1,REGULAR,2pt,Jump Shot,[],1630197,10.726018396846255,31.372549019607842,1610612760,26,36,2021-10-24T23:35:33Z,1510000,93.0,48.0,1,left,A. Pokusevski 10' pullup bank Jump Shot (2 PTS),[1630197],1610612760.0,OKC,pullup bank,,,Pokusevski,A. Pokusevski,,,,,10.49,Made,,,,,,,,,,2.0,,,,,,,,,
153,PT00M00.00S,2021-10-24T23:35:46.8Z,1,REGULAR,period,end,[],0,,,1610612755,26,36,2021-10-24T23:35:46Z,1520000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2021-10-24T23:37:50.2Z,2,REGULAR,substitution,out,['startperiod'],203488,,,1610612755,26,36,2021-10-24T23:38:20Z,1530000,,,0,,SUB out: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2021-10-24T23:37:50.2Z,2,REGULAR,substitution,out,['startperiod'],203954,,,1610612755,26,36,2021-10-24T23:38:20Z,1540000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2021-10-24T23:37:50.2Z,2,REGULAR,substitution,out,['startperiod'],203552,,,1610612755,26,36,2021-10-24T23:38:20Z,1550000,,,0,,SUB out: S. Curry,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-10-24T23:37:50.2Z,2,REGULAR,substitution,in,['startperiod'],1630526,,,1610612755,26,36,2021-10-24T23:38:20Z,1560000,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-10-24T23:37:50.2Z,2,REGULAR,substitution,in,['startperiod'],1630194,,,1610612755,26,36,2021-10-24T23:38:20Z,1570000,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2021-10-24T23:37:50.2Z,2,REGULAR,substitution,in,['startperiod'],1630198,,,1610612755,26,36,2021-10-24T23:38:20Z,1580000,,,0,,SUB in: I. Joe,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2021-10-24T23:38:17.6Z,2,REGULAR,period,start,[],0,,,1610612760,26,36,2021-10-24T23:38:20Z,1590000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT11M46.00S,2021-10-24T23:38:31.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630544,9.017739816031538,50.0,1610612760,26,36,2021-10-24T23:41:37Z,1600000,0.0,32.0,1,left,MISS T. Mann driving DUNK,[1630544],1610612760.0,OKC,driving,,,Mann,T. Mann,,,,,3.23,Missed,,,,,,,,,,,,,,,,,,,
162,PT11M44.00S,2021-10-24T23:38:33.2Z,2,REGULAR,rebound,defensive,[],1630194,,,1610612755,26,36,2021-10-24T23:38:35Z,1610000,,,0,,P. Reed REBOUND (Off:0 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,161.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
163,PT11M37.00S,2021-10-24T23:38:39.8Z,2,REGULAR,3pt,Jump Shot,[],1627777,68.9388961892247,26.715686274509803,1610612755,26,36,2021-10-24T23:38:46Z,1620000,-116.0,239.0,1,right,MISS G. Niang 26' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,26.63,Missed,,,,,,,,,,,,,,,,,,,
164,PT11M35.00S,2021-10-24T23:38:41.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612755,26,36,2021-10-24T23:38:46Z,1630000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,163.0,,,,,,,,,,,,,,,,,,
165,PT11M35.00S,2021-10-24T23:38:50.4Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,26,36,2021-10-24T23:38:50Z,1640000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M26.00S,2021-10-24T23:39:08.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627777,89.30683311432325,54.41176470588235,1610612755,26,38,2021-10-24T23:39:14Z,1650000,22.0,48.0,1,right,G. Niang driving Layup (2 PTS) (F. Korkmaz 1 AST),"[1627777, 1627788]",1610612755.0,PHI,driving,,,Niang,G. Niang,,,,,5.28,Made,,,,,,,,,,2.0,,,,,,F. Korkmaz,1627788.0,1.0,
167,PT11M26.00S,2021-10-24T23:39:16.1Z,2,REGULAR,foul,personal,['1freethrow'],1630544,,,1610612755,26,38,2021-10-24T23:39:25Z,1660000,,,0,,T. Mann shooting personal FOUL (1 PF) (Niang 1 FT),"[1630544, 1627777]",1610612760.0,OKC,shooting,,,Mann,T. Mann,,,,,,,,,,,1179.0,1.0,1.0,Niang,1627777.0,,,,,,,,,,
169,PT11M26.00S,2021-10-24T23:39:33.4Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1627777,,,1610612755,26,39,2021-10-24T23:39:33Z,1680000,,,0,,G. Niang Free Throw 1 of 1 (3 PTS),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
170,PT11M14.00S,2021-10-24T23:39:46.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630197,9.017739816031538,54.166666666666664,1610612760,28,39,2021-10-24T23:39:55Z,1690000,-21.0,32.0,1,left,A. Pokusevski cutting DUNK (4 PTS) (K. Williams 1 AST),"[1630197, 1629026]",1610612760.0,OKC,cutting,,,Pokusevski,A. Pokusevski,,,,,3.84,Made,,,,,,,,,,4.0,,,,,,K. Williams,1629026.0,1.0,
172,PT11M03.00S,2021-10-24T23:39:56.7Z,2,REGULAR,3pt,Jump Shot,[],1627788,66.3107752956636,42.8921568627451,1610612755,28,39,2021-10-24T23:40:02Z,1710000,-36.0,264.0,1,right,MISS F. Korkmaz 26' pullup 3PT,[1627788],1610612755.0,PHI,pullup,,,Korkmaz,F. Korkmaz,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,,
173,PT10M59.00S,2021-10-24T23:40:00.7Z,2,REGULAR,rebound,defensive,[],1630177,,,1610612760,28,39,2021-10-24T23:40:02Z,1720000,,,0,,T. Maledon REBOUND (Off:0 Def:1),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,172.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
174,PT10M56.00S,2021-10-24T23:40:06.7Z,2,REGULAR,foul,personal,[],1627777,,,1610612760,28,39,2021-10-24T23:40:29Z,1730000,,,0,,G. Niang personal FOUL (1 PF),"[1627777, 1630197]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,1179.0,1.0,0.0,Pokusevski,1630197.0,,,,,,,,,,
176,PT10M52.00S,2021-10-24T23:40:26.6Z,2,REGULAR,3pt,Jump Shot,[],1629026,27.677398160315374,18.872549019607842,1610612760,31,39,2021-10-24T23:40:31Z,1750000,156.0,208.0,1,left,K. Williams 25' 3PT  (5 PTS) (A. Pokusevski 1 AST),"[1629026, 1630197]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,25.95,Made,,,,,,,,,,5.0,,,,,,A. Pokusevski,1630197.0,1.0,
178,PT10M27.00S,2021-10-24T23:41:04.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,31,39,2021-10-24T23:41:04Z,1770000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT10M24.00S,2021-10-24T23:41:13.3Z,2,REGULAR,3pt,Jump Shot,[],1630198,63.55124835742444,18.627450980392158,1610612755,31,39,2021-10-24T23:41:20Z,1780000,-157.0,290.0,1,right,MISS I. Joe 32' pullup 3PT,[1630198],1610612755.0,PHI,pullup,,,Joe,I. Joe,,,,,32.98,Missed,,,,,,,,,,,,,,,,,,,
