actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
86,PT04M09.00S,2021-10-27T00:26:02.4Z,1,REGULAR,substitution,out,[],1626172,,,1610612760,23,16,2021-10-27T00:26:19Z,840000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M09.00S,2021-10-27T00:26:02.4Z,1,REGULAR,substitution,out,[],201939,,,1610612760,23,16,2021-10-27T00:26:19Z,850000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M09.00S,2021-10-27T00:26:02.4Z,1,REGULAR,substitution,in,[],1630177,,,1610612760,23,16,2021-10-27T00:26:19Z,860000,,,0,,SUB in: T. Maledon,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M09.00S,2021-10-27T00:26:02.4Z,1,REGULAR,substitution,in,[],1630197,,,1610612760,23,16,2021-10-27T00:26:19Z,870000,,,0,,SUB in: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M09.00S,2021-10-27T00:26:02.4Z,1,REGULAR,substitution,in,[],1627780,,,1610612760,23,16,2021-10-27T00:26:19Z,880000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M09.00S,2021-10-27T00:26:02.4Z,1,REGULAR,substitution,in,[],202357,,,1610612760,23,16,2021-10-27T00:26:19Z,890000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M09.00S,2021-10-27T00:26:02.4Z,1,REGULAR,substitution,in,[],203490,,,1610612760,23,16,2021-10-27T00:26:19Z,900000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M02.00S,2021-10-27T00:26:39.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629652,6.783837056504599,49.754901960784316,1610612760,25,16,2021-10-27T00:26:43Z,910000,1.0,11.0,1,left,L. Dort driving DUNK (7 PTS),[1629652],1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,1.14,Made,,,,,,,,,,,7.0,,,,,,,,
94,PT03M44.00S,2021-10-27T00:26:57.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202357,93.24901445466492,47.30392156862745,1610612744,25,18,2021-10-27T00:34:07Z,920000,-13.0,11.0,1,right,N. Bjelica cutting Layup (2 PTS) (J. Poole 2 AST),"[202357, 1629673]",1610612744.0,GSW,cutting,,,Bjelica,N. Bjelica,,,,,1.74,Made,,,,,,,,,,,2.0,J. Poole,1629673.0,2.0,,,,,
96,PT03M25.00S,2021-10-27T00:27:15.7Z,1,REGULAR,3pt,Jump Shot,[],1630177,26.888961892247043,81.61764705882352,1610612760,28,18,2021-10-27T00:27:21Z,940000,-158.0,200.0,1,left,T. Maledon 25' 3PT  (3 PTS) (L. Dort 3 AST),"[1630177, 1629652]",1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,25.52,Made,,,,,,,,,,,3.0,L. Dort,1629652.0,3.0,,,,,
98,PT03M09.00S,2021-10-27T00:27:33.3Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612744,28,18,2021-10-27T00:27:45Z,960000,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Green 2 FT),"[1628983, 203110]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,1155.0,,,,,,,,,,,1.0,0.0,Green,203110.0,
100,PT03M09.00S,2021-10-27T00:27:55.2Z,1,REGULAR,freethrow,1 of 2,[],203110,,,1610612744,28,18,2021-10-27T00:27:55Z,980000,,,0,,MISS D. Green Free Throw 1 of 2,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,Missed,,,,,,,,,,,,,,,,,,,
101,PT03M09.00S,2021-10-27T00:27:55.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,28,18,2021-10-27T00:27:55Z,990000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,
102,PT03M09.00S,2021-10-27T00:27:57.9Z,1,REGULAR,substitution,out,[],1629652,,,1610612744,28,18,2021-10-27T00:28:08Z,1000000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M09.00S,2021-10-27T00:27:57.9Z,1,REGULAR,substitution,out,[],1630526,,,1610612744,28,18,2021-10-27T00:28:08Z,1010000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M09.00S,2021-10-27T00:27:57.9Z,1,REGULAR,substitution,in,[],1630544,,,1610612744,28,18,2021-10-27T00:28:08Z,1020000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M09.00S,2021-10-27T00:27:57.9Z,1,REGULAR,substitution,in,[],1629676,,,1610612744,28,18,2021-10-27T00:28:08Z,1030000,,,0,,SUB in: I. Roby,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M09.00S,2021-10-27T00:28:20.4Z,1,REGULAR,freethrow,2 of 2,[],203110,,,1610612744,28,19,2021-10-27T00:28:20Z,1040000,,,0,,D. Green Free Throw 2 of 2 (3 PTS),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,Made,,,,,,,,,,,3.0,,,,,,,,
107,PT02M56.00S,2021-10-27T00:28:35.6Z,1,REGULAR,3pt,Jump Shot,[],1628983,29.517082785808146,22.058823529411764,1610612760,31,19,2021-10-27T00:28:41Z,1050000,140.0,225.0,1,left,S. Gilgeous-Alexander 26' 3PT step back (8 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,26.48,Made,,,,,,,,,,,8.0,,,,,,,,
109,PT02M38.00S,2021-10-27T00:28:53.5Z,1,REGULAR,3pt,Jump Shot,[],1627780,72.7496714848883,16.42156862745098,1610612744,31,22,2021-10-27T00:28:57Z,1060000,-168.0,204.0,1,right,G. Payton II 26' 3PT  (3 PTS) (J. Poole 3 AST),"[1627780, 1629673]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,26.4,Made,,,,,,,,,,,3.0,J. Poole,1629673.0,3.0,,,,,
111,PT02M30.00S,2021-10-27T00:29:06.4Z,1,REGULAR,foul,personal,[],1627780,,,1610612760,31,22,2021-10-27T00:29:10Z,1080000,,,0,,G. Payton II personal FOUL (1 PF),"[1627780, 1628983]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,202049.0,,,,,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,
113,PT02M30.00S,2021-10-27T00:29:19.9Z,1,REGULAR,substitution,out,[],1628983,,,1610612760,31,22,2021-10-27T00:29:24Z,1100000,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M30.00S,2021-10-27T00:29:19.9Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,31,22,2021-10-27T00:29:24Z,1110000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M21.00S,2021-10-27T00:30:20.0Z,1,REGULAR,substitution,out,[],1629673,,,1610612760,31,22,2021-10-27T00:33:46Z,1115000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M21.00S,2021-10-27T00:30:20.0Z,1,REGULAR,substitution,in,[],201939,,,1610612760,31,22,2021-10-27T00:33:46Z,1117500,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M17.00S,2021-10-27T00:30:22.9Z,1,REGULAR,jumpball,recovered,[],202357,,,1610612760,31,22,2021-10-27T00:30:22Z,1120000,,,0,,Jump Ball D. Green vs. T. Maledon: Tip to N. Bjelica,"[202357, 203110, 1630177]",1610612744.0,GSW,heldball,N. Bjelica,202357.0,Bjelica,N. Bjelica,Green,203110.0,Maledon,1630177.0,,,,,,,,,,,,,,,,,,,,,
118,PT02M17.00S,2021-10-27T00:30:22.9Z,1,REGULAR,turnover,lost ball,[],1630177,,,1610612760,31,22,2021-10-27T00:30:22Z,1150000,,,0,,T. Maledon lost ball TURNOVER (1 TO),"[1630177, 203110]",1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,1.0,,,,Green,203110.0,,,,,,,,,
119,PT02M17.00S,2021-10-27T00:30:22.9Z,1,REGULAR,steal,,[],203110,,,1610612744,31,22,2021-10-27T00:30:22Z,1160000,,,0,,D. Green STEAL (2 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M08.00S,2021-10-27T00:30:32.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201939,90.3580814717477,52.450980392156865,1610612744,31,22,2021-10-27T00:30:37Z,1190000,12.0,38.0,1,right,MISS S. Curry cutting Layup - blocked,"[201939, 1630544]",1610612744.0,GSW,cutting,,,Curry,S. Curry,,,,,4.0,Missed,Mann,1630544.0,,,,,,,,,,,,,,,,,
124,PT02M08.00S,2021-10-27T00:30:32.1Z,1,REGULAR,block,,[],1630544,,,1610612744,31,22,2021-10-27T00:30:51Z,1195000,,,0,,T. Mann BLOCK (1 BLK),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M06.00S,2021-10-27T00:30:34.1Z,1,REGULAR,rebound,offensive,[],201939,,,1610612744,31,22,2021-10-27T00:49:32Z,1200000,,,0,,S. Curry REBOUND (Off:1 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,122.0,,,2.0,1.0,1.0,,,,,,,,,,,
220,PT02M05.00S,2021-10-27T00:30:45.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203490,87.82851511169514,42.64705882352941,1610612744,31,22,2021-10-27T00:47:42Z,1205000,-37.0,62.0,1,right,MISS O. Porter Jr. 7' driving Layup,[203490],1610612744.0,GSW,driving,,,Porter Jr.,O. Porter Jr.,,,,,7.2,Missed,,,,,,,,,,,,,,,,,,,
221,PT02M03.00S,2021-10-27T00:30:47.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,31,22,2021-10-27T00:47:42Z,1207500,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,
222,PT02M03.00S,2021-10-27T00:30:52.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612760,31,22,2021-10-27T00:48:42Z,1208750,,,0,,Jump Ball I. Roby vs. G. Payton II: Tip to Team (OKC),"[1629676, 1627780]",1610612760.0,OKC,lodgedball,Team (OKC),,,,Roby,1629676.0,Payton II,1627780.0,,,,,,,,,,,,,,,,,,,,,
225,PT02M03.00S,2021-10-27T00:30:55.6Z,1,REGULAR,foul,personal,[],1627780,,,1610612760,31,22,2021-10-27T00:49:11Z,1209843,,,0,,G. Payton II loose ball personal FOUL (2 PF),"[1627780, 1629676]",1610612744.0,GSW,loose ball,,,Payton II,G. Payton II,,,,,,,,,,1155.0,,,,,,,,,,,2.0,0.0,Roby,1629676.0,
125,PT02M03.00S,2021-10-27T00:30:59.0Z,1,REGULAR,substitution,out,[],203110,,,1610612760,31,22,2021-10-27T00:47:42Z,1210000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M03.00S,2021-10-27T00:30:59.0Z,1,REGULAR,substitution,in,[],2738,,,1610612760,31,22,2021-10-27T00:47:42Z,1220000,,,0,,SUB in: A. Iguodala,[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M50.00S,2021-10-27T00:31:43.4Z,1,REGULAR,3pt,Jump Shot,[],1630177,23.603810775295663,87.74509803921569,1610612760,31,22,2021-10-27T00:49:11Z,1240000,-189.0,169.0,1,left,MISS T. Maledon 25' 3PT,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,25.36,Missed,,,,,,,,,,,,,,,,,,,
130,PT01M46.00S,2021-10-27T00:31:47.4Z,1,REGULAR,rebound,defensive,[],202357,,,1610612744,31,22,2021-10-27T00:31:47Z,1250000,,,0,,N. Bjelica REBOUND (Off:0 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,129.0,,,1.0,1.0,0.0,,,,,,,,,,,
131,PT01M35.00S,2021-10-27T00:31:57.9Z,1,REGULAR,3pt,Jump Shot,[],201939,71.82982917214193,13.725490196078432,1610612744,31,25,2021-10-27T00:32:02Z,1260000,-181.0,212.0,1,right,S. Curry 27' 3PT  (7 PTS) (G. Payton II 1 AST),"[201939, 1627780]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,27.92,Made,,,,,,,,,,,7.0,G. Payton II,1627780.0,1.0,,,,,
133,PT01M20.00S,2021-10-27T00:32:12.7Z,1,REGULAR,3pt,Jump Shot,[],1629026,21.632720105124836,9.803921568627452,1610612760,34,25,2021-10-27T00:32:18Z,1280000,201.0,151.0,1,left,K. Williams 25' 3PT step back (3 PTS) (T. Maledon 1 AST),"[1629026, 1630177]",1610612760.0,OKC,step back,,,Williams,K. Williams,,,,,25.13,Made,,,,,,,,,,,3.0,T. Maledon,1630177.0,1.0,,,,,
135,PT01M09.00S,2021-10-27T00:32:24.1Z,1,REGULAR,3pt,Jump Shot,[],201939,75.1149802890933,86.51960784313727,1610612744,34,28,2021-10-27T00:41:04Z,1300000,183.0,181.0,1,right,S. Curry 25' 3PT step back (10 PTS),[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,25.74,Made,,,,,,,,,,,10.0,,,,,,,,
157,PT01M09.00S,2021-10-27T00:32:25.8Z,1,REGULAR,foul,personal,['1freethrow'],1630177,,,1610612744,34,28,2021-10-27T00:39:59Z,1305000,,,0,,T. Maledon shooting personal FOUL (1 PF) (Curry 1 FT),"[1630177, 201939]",1610612760.0,OKC,shooting,,,Maledon,T. Maledon,,,,,,,,,,1155.0,,,,,,,,,,,1.0,0.0,Curry,201939.0,
159,PT01M09.00S,2021-10-27T00:32:34.5Z,1,REGULAR,freethrow,1 of 1,[],201939,,,1610612744,34,29,2021-10-27T00:39:40Z,1325000,,,0,,S. Curry Free Throw 1 of 1 (11 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,,,,,,,,,,,11.0,,,,,,,,
138,PT01M09.00S,2021-10-27T00:32:41.5Z,1,REGULAR,substitution,out,[],1630177,,,1610612760,34,29,2021-10-27T00:39:40Z,1330000,,,0,,SUB out: T. Maledon,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M09.00S,2021-10-27T00:32:41.5Z,1,REGULAR,substitution,out,[],1630544,,,1610612760,34,29,2021-10-27T00:39:40Z,1340000,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M09.00S,2021-10-27T00:32:41.5Z,1,REGULAR,substitution,in,[],1628983,,,1610612760,34,29,2021-10-27T00:39:40Z,1350000,,,0,,SUB in: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M09.00S,2021-10-27T00:32:41.5Z,1,REGULAR,substitution,in,[],1629652,,,1610612760,34,29,2021-10-27T00:39:40Z,1360000,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M00.00S,2021-10-27T00:33:19.5Z,1,REGULAR,3pt,Jump Shot,[],1629652,14.668199737187912,95.09803921568627,1610612760,34,29,2021-10-27T00:33:24Z,1380000,-225.0,85.0,1,left,MISS L. Dort 24' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,24.11,Missed,,,,,,,,,,,,,,,,,,,
144,PT00M56.50S,2021-10-27T00:33:23.0Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,34,29,2021-10-27T00:33:24Z,1390000,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,143.0,,,1.0,1.0,0.0,,,,,,,,,,,
333,PT00M51.90S,2021-10-27T00:33:29.1Z,1,REGULAR,timeout,challenge,['team'],0,,,1610612744,34,29,2021-10-27T01:18:23Z,1397500,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT00M51.90S,2021-10-27T00:33:38.8Z,1,REGULAR,foul,offensive,[],202357,,,1610612744,34,29,2021-10-27T00:43:56Z,1405000,,,0,,N. Bjelica offensive FOUL (1 PF),"[202357, 1629652]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,1155.0,,,,,,,,,,,1.0,0.0,Dort,1629652.0,
191,PT00M51.90S,2021-10-27T00:33:38.8Z,1,REGULAR,turnover,offensive foul,[],202357,,,1610612744,34,29,2021-10-27T00:33:38Z,1412500,,,0,,N. Bjelica offensive foul TURNOVER (1 TO),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,1155.0,1.0,,,,,,,,,,,,,,
147,PT00M51.90S,2021-10-27T00:33:58.2Z,1,REGULAR,instantreplay,challenge,[],0,,,1610612760,34,29,2021-10-27T00:33:38Z,1420000,,,0,,,[],1610612760.0,OKC,overturned,,,,,,,,,,,,,,1155.0,,,,,,,,,,,,,,,Corrected to Offensive Foul on N. Bjelica
148,PT00M51.90S,2021-10-27T00:36:05.1Z,1,REGULAR,substitution,out,[],1629676,,,1610612760,34,29,2021-10-27T00:33:38Z,1430000,,,0,,SUB out: I. Roby,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M51.90S,2021-10-27T00:36:05.1Z,1,REGULAR,substitution,in,[],203488,,,1610612760,34,29,2021-10-27T00:33:38Z,1440000,,,0,,SUB in: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M29.80S,2021-10-27T00:36:20.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630197,5.732588699080158,51.225490196078425,1610612760,34,29,2021-10-27T00:33:38Z,1450000,-6.0,1.0,1,left,MISS A. Pokusevski driving Layup - blocked,"[1630197, 201939]",1610612760.0,OKC,driving,,,Pokusevski,A. Pokusevski,,,,,0.63,Missed,Curry,201939.0,,,,,,,,,,,,,,,,,
151,PT00M29.80S,2021-10-27T00:36:20.8Z,1,REGULAR,block,,[],201939,,,1610612760,34,29,2021-10-27T00:36:23Z,1460000,,,0,,S. Curry BLOCK (1 BLK),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M26.30S,2021-10-27T00:36:24.3Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,34,29,2021-10-27T00:36:25Z,1470000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,150.0,,,1.0,1.0,0.0,,,,,,,,,,,
153,PT00M24.20S,2021-10-27T00:36:26.5Z,1,REGULAR,turnover,bad pass,[],1627780,,,1610612744,34,29,2021-10-27T00:36:31Z,1480000,,,0,,G. Payton II bad pass TURNOVER (1 TO),"[1627780, 1629026]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,1.0,,,,Williams,1629026.0,,,,,,,,,
154,PT00M24.20S,2021-10-27T00:36:26.5Z,1,REGULAR,steal,,[],1629026,,,1610612760,34,29,2021-10-27T00:36:29Z,1490000,,,0,,K. Williams STEAL (1 STL),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M00.30S,2021-10-27T00:36:52.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612760,34,29,2021-10-27T00:37:19Z,1500000,,,0,,OKC shot clock Team TURNOVER,[],1610612760.0,OKC,,,,,,,,,,,,,,,202049.0,,,,,,,,,,,,,,,
156,PT00M00.00S,2021-10-27T00:37:33.6Z,1,REGULAR,period,end,[],0,,,1610612744,34,29,2021-10-27T00:37:33Z,1510000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2021-10-27T00:40:04.5Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612744,34,29,2021-10-27T00:40:18Z,1520000,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2021-10-27T00:40:04.5Z,2,REGULAR,substitution,out,['startperiod'],1629652,,,1610612744,34,29,2021-10-27T00:40:18Z,1530000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-10-27T00:40:04.5Z,2,REGULAR,substitution,out,['startperiod'],1627780,,,1610612744,34,29,2021-10-27T00:40:18Z,1540000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-10-27T00:40:04.5Z,2,REGULAR,substitution,out,['startperiod'],201939,,,1610612744,34,29,2021-10-27T00:40:18Z,1550000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-10-27T00:40:04.5Z,2,REGULAR,substitution,in,['startperiod'],1630544,,,1610612744,34,29,2021-10-27T00:40:18Z,1560000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-10-27T00:40:04.5Z,2,REGULAR,substitution,in,['startperiod'],1630177,,,1610612744,34,29,2021-10-27T00:40:18Z,1570000,,,0,,SUB in: T. Maledon,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-10-27T00:40:04.5Z,2,REGULAR,substitution,in,['startperiod'],1629673,,,1610612744,34,29,2021-10-27T00:40:18Z,1580000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-10-27T00:40:04.5Z,2,REGULAR,substitution,in,['startperiod'],1627814,,,1610612744,34,29,2021-10-27T00:40:18Z,1590000,,,0,,SUB in: D. Lee,[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-10-27T00:40:11.1Z,2,REGULAR,period,start,[],0,,,1610612760,34,29,2021-10-27T00:40:19Z,1600000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT11M37.00S,2021-10-27T00:40:33.6Z,2,REGULAR,2pt,Jump Shot,[],1630544,15.588042049934298,33.57843137254902,1610612760,34,29,2021-10-27T00:40:38Z,1610000,82.0,94.0,1,left,MISS T. Mann 12' step back Shot,[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,12.48,Missed,,,,,,,,,,,,,,,,,,,
170,PT11M34.00S,2021-10-27T00:40:36.6Z,2,REGULAR,rebound,defensive,[],2738,,,1610612744,34,29,2021-10-27T00:40:38Z,1620000,,,0,,A. Iguodala REBOUND (Off:0 Def:1),[2738],1610612744.0,GSW,,,,Iguodala,A. Iguodala,,,,,,,,,169.0,,,1.0,1.0,0.0,,,,,,,,,,,
171,PT11M25.00S,2021-10-27T00:40:47.3Z,2,REGULAR,turnover,out-of-bounds,[],1627814,,,1610612744,34,29,2021-10-27T00:40:55Z,1630000,,,0,,D. Lee lost ball out-of-bounds TURNOVER (1 TO),[1627814],1610612744.0,GSW,lost ball,,,Lee,D. Lee,,,,,,,,,,202049.0,1.0,,,,,,,,,,,,,,
172,PT11M11.00S,2021-10-27T00:41:06.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630197,15.062417871222076,61.51960784313726,1610612760,36,29,2021-10-27T00:41:13Z,1640000,-58.0,89.0,1,left,A. Pokusevski 10' floating Jump Shot (2 PTS),[1630197],1610612760.0,OKC,floating,,,Pokusevski,A. Pokusevski,,,,,10.61,Made,,,,,,,,,,,2.0,,,,,,,,
173,PT11M07.00S,2021-10-27T00:41:16.3Z,2,REGULAR,foul,personal,[],1630544,,,1610612744,36,29,2021-10-27T00:41:27Z,1650000,,,0,,T. Mann personal FOUL (1 PF),"[1630544, 202357]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,1155.0,,,,,,,,,,,1.0,0.0,Bjelica,202357.0,
175,PT10M58.00S,2021-10-27T00:41:45.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,36,29,2021-10-27T00:41:45Z,1670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT10M55.00S,2021-10-27T00:42:01.2Z,2,REGULAR,2pt,Jump Shot,[],1627814,87.33574244415243,89.4607843137255,1610612744,36,29,2021-10-27T00:42:05Z,1680000,197.0,67.0,1,right,MISS D. Lee 20' Jump Shot,[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,20.82,Missed,,,,,,,,,,,,,,,,,,,
