actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
88,PT04M19.00S,2022-01-25T01:23:55.8Z,1,REGULAR,3pt,Jump Shot,[],1630526,70.51576872536137,77.20588235294117,1610612760,21,23,2022-01-25T01:24:01Z,880000,136.0,225.0,1,right,MISS J. Robinson-Earl 26' 3PT,[1630526],1610612760.0,OKC,,26.27,Missed,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M15.00S,2022-01-25T01:24:00.2Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,21,23,2022-01-25T01:24:00Z,890000,,,0,,J. Giddey REBOUND (Off:2 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,88.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
90,PT04M12.00S,2022-01-25T01:24:05.7Z,1,REGULAR,foul,personal,['2freethrow'],1628035,,,1610612760,21,23,2022-01-25T01:24:13Z,900000,,,0,,A. McKinnie shooting personal FOUL (1 PF) (Giddey 2 FT),"[1628035, 1630581]",1610612741.0,CHI,shooting,,,McKinnie,A. McKinnie,,,,,,,,,1204.0,1.0,0.0,Giddey,1630581.0,,,,,,,,,,,
92,PT04M12.00S,2022-01-25T01:24:30.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630581,,,1610612760,21,23,2022-01-25T01:24:30Z,920000,,,0,,MISS J. Giddey Free Throw 1 of 2,[1630581],1610612760.0,OKC,,,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M12.00S,2022-01-25T01:24:30.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,21,23,2022-01-25T01:24:30Z,930000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M12.00S,2022-01-25T01:24:31.1Z,1,REGULAR,substitution,out,[],203897,,,1610612760,21,23,2022-01-25T01:24:36Z,940000,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M12.00S,2022-01-25T01:24:31.1Z,1,REGULAR,substitution,in,[],1629744,,,1610612760,21,23,2022-01-25T01:24:36Z,950000,,,0,,SUB in: M. Thomas,[1629744],1610612741.0,CHI,,,,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M12.00S,2022-01-25T01:24:46.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630581,,,1610612760,22,23,2022-01-25T01:24:46Z,960000,,,0,,J. Giddey Free Throw 2 of 2 (3 PTS),[1630581],1610612760.0,OKC,,,Made,Giddey,J. Giddey,,,,,3.0,,,,,,,,,,,,,,,,,,,
98,PT03M51.00S,2022-01-25T01:25:09.6Z,1,REGULAR,3pt,Jump Shot,[],1630245,9.937582128777924,3.1862745098039214,1610612741,22,26,2022-01-25T01:25:13Z,970000,234.0,41.0,1,left,A. Dosunmu 3PT  (12 PTS) (N. Vucevic 2 AST),"[1630245, 202696]",1610612741.0,CHI,,23.76,Made,Dosunmu,A. Dosunmu,,,,,12.0,N. Vucevic,202696.0,2.0,,,,,,,,,,,,,,,,
100,PT03M49.00S,2022-01-25T01:25:17.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,22,26,2022-01-25T01:25:17Z,990000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M49.00S,2022-01-25T01:27:47.0Z,1,REGULAR,substitution,out,[],1630581,,,1610612760,22,26,2022-01-25T01:28:03Z,1000000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M49.00S,2022-01-25T01:27:47.0Z,1,REGULAR,substitution,out,[],1629652,,,1610612760,22,26,2022-01-25T01:28:03Z,1010000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M49.00S,2022-01-25T01:27:47.0Z,1,REGULAR,substitution,out,[],1630598,,,1610612760,22,26,2022-01-25T01:28:03Z,1020000,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M49.00S,2022-01-25T01:27:47.0Z,1,REGULAR,substitution,out,[],1630245,,,1610612760,22,26,2022-01-25T01:28:03Z,1030000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M49.00S,2022-01-25T01:27:47.0Z,1,REGULAR,substitution,in,[],1629647,,,1610612760,22,26,2022-01-25T01:28:03Z,1040000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M49.00S,2022-01-25T01:27:47.0Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,22,26,2022-01-25T01:28:03Z,1050000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M49.00S,2022-01-25T01:27:47.0Z,1,REGULAR,substitution,in,[],1630544,,,1610612760,22,26,2022-01-25T01:28:03Z,1060000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M49.00S,2022-01-25T01:27:47.0Z,1,REGULAR,substitution,in,[],1629750,,,1610612760,22,26,2022-01-25T01:28:03Z,1070000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M34.00S,2022-01-25T01:28:26.0Z,1,REGULAR,violation,kicked ball,[],1629744,,,1610612760,22,26,2022-01-25T01:28:35Z,1080000,,,0,,M. Thomas kicked ball VIOLATION,[1629744],1610612741.0,CHI,,,,Thomas,M. Thomas,,,,,,,,,1830.0,,,,,,,,,,,,,,,
110,PT03M26.00S,2022-01-25T01:28:49.9Z,1,REGULAR,3pt,Jump Shot,[],1630526,68.28186596583443,24.264705882352942,1610612760,22,26,2022-01-25T01:28:55Z,1090000,-129.0,246.0,1,right,MISS J. Robinson-Earl 27' 3PT,[1630526],1610612760.0,OKC,,27.74,Missed,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M23.00S,2022-01-25T01:28:52.9Z,1,REGULAR,rebound,defensive,[],1628035,,,1610612741,22,26,2022-01-25T01:28:55Z,1100000,,,0,,A. McKinnie REBOUND (Off:0 Def:2),[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,110.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
112,PT03M04.00S,2022-01-25T01:29:12.1Z,1,REGULAR,2pt,Jump Shot,[],1629632,18.084756898817346,23.284313725490197,1610612741,22,26,2022-01-25T01:29:18Z,1110000,134.0,117.0,1,left,MISS C. White 17' step back Shot,[1629632],1610612741.0,CHI,step back,17.79,Missed,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M00.00S,2022-01-25T01:29:16.1Z,1,REGULAR,rebound,defensive,[],1629026,,,1610612760,22,26,2022-01-25T01:29:18Z,1120000,,,0,,K. Williams REBOUND (Off:0 Def:1),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,112.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
114,PT02M52.00S,2022-01-25T01:29:22.7Z,1,REGULAR,2pt,Jump Shot,[],1629026,92.72339027595268,82.1078431372549,1610612760,22,26,2022-01-25T01:29:27Z,1130000,161.0,16.0,1,right,MISS K. Williams 16' pullup Shot,[1629026],1610612760.0,OKC,pullup,16.13,Missed,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M50.00S,2022-01-25T01:29:24.7Z,1,REGULAR,rebound,defensive,[],1628035,,,1610612741,22,26,2022-01-25T01:29:27Z,1140000,,,0,,A. McKinnie REBOUND (Off:0 Def:3),[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,114.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,
116,PT02M38.00S,2022-01-25T01:29:37.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629744,11.251642575558476,60.5392156862745,1610612741,22,26,2022-01-25T01:29:41Z,1150000,-53.0,53.0,1,left,MISS M. Thomas 7' cutting Layup,[1629744],1610612741.0,CHI,cutting,7.5,Missed,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M36.00S,2022-01-25T01:29:39.4Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,22,26,2022-01-25T01:29:41Z,1160000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,116.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
118,PT02M33.00S,2022-01-25T01:29:44.1Z,1,REGULAR,foul,personal,['2freethrow'],1628035,,,1610612760,22,26,2022-01-25T01:36:30Z,1170000,,,0,,A. McKinnie shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[1628035, 1628983]",1610612741.0,CHI,shooting,,,McKinnie,A. McKinnie,,,,,,,,,1830.0,2.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,
120,PT02M33.00S,2022-01-25T01:30:09.0Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,23,26,2022-01-25T01:30:37Z,1190000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (6 PTS),[1628983],1610612760.0,OKC,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,6.0,,,,,,,,,,,,,,,,,,,
125,PT02M33.00S,2022-01-25T01:30:09.0Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,24,26,2022-01-25T01:30:37Z,1195000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (7 PTS),[1628983],1610612760.0,OKC,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,7.0,,,,,,,,,,,,,,,,,,,
121,PT02M33.00S,2022-01-25T01:30:09.5Z,1,REGULAR,substitution,out,[],1630526,,,1610612741,24,26,2022-01-25T01:30:37Z,1200000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M33.00S,2022-01-25T01:30:09.5Z,1,REGULAR,substitution,out,[],202696,,,1610612741,24,26,2022-01-25T01:30:37Z,1210000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M33.00S,2022-01-25T01:30:09.5Z,1,REGULAR,substitution,in,[],1629603,,,1610612741,24,26,2022-01-25T01:30:37Z,1220000,,,0,,SUB in: M. Diakite,[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M33.00S,2022-01-25T01:30:09.5Z,1,REGULAR,substitution,in,[],1629076,,,1610612741,24,26,2022-01-25T01:30:37Z,1230000,,,0,,SUB in: T. Cook,[1629076],1610612741.0,CHI,,,,Cook,T. Cook,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M14.00S,2022-01-25T01:30:50.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,10.726018396846255,43.38235294117647,1610612741,24,28,2022-01-25T01:31:39Z,1240000,33.0,48.0,1,left,J. Green driving Layup (2 PTS),[1629750],1610612741.0,CHI,driving,5.86,Made,Green,J. Green,,,,,2.0,,,,,,,,,,,,,,,,,,,
127,PT02M03.00S,2022-01-25T01:31:01.8Z,1,REGULAR,3pt,Jump Shot,[],1629026,87.86136662286465,2.941176470588235,1610612760,24,28,2022-01-25T01:31:41Z,1250000,-235.0,62.0,1,right,MISS K. Williams 24' 3PT,[1629026],1610612760.0,OKC,,24.32,Missed,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M03.00S,2022-01-25T01:31:01.8Z,1,REGULAR,rebound,defensive,[],1628035,,,1610612741,24,28,2022-01-25T01:31:41Z,1260000,,,0,,A. McKinnie REBOUND (Off:0 Def:4),[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,127.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,
129,PT01M53.00S,2022-01-25T01:31:12.0Z,1,REGULAR,3pt,Jump Shot,[],1629744,5.206964520367937,94.36274509803921,1610612741,24,31,2022-01-25T01:39:27Z,1262500,-222.0,-4.0,1,left,M. Thomas 3PT  (3 PTS) (C. White 2 AST),"[1629744, 1629632]",1610612741.0,CHI,,22.18,Made,Thomas,M. Thomas,,,,,3.0,C. White,1629632.0,2.0,,,,,,,,,,,,,,,,
131,PT01M53.00S,2022-01-25T01:31:17.7Z,1,REGULAR,foul,personal,['1freethrow'],1628983,,,1610612741,24,31,2022-01-25T01:40:43Z,1325000,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Thomas 1 FT),"[1628983, 1629744]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,1627529.0,1.0,0.0,Thomas,1629744.0,,,,,,,,,,,
133,PT01M53.00S,2022-01-25T01:31:41.5Z,1,REGULAR,freethrow,1 of 1,[],1629744,,,1610612741,24,31,2022-01-25T01:40:56Z,1328750,,,0,,MISS M. Thomas Free Throw 1 of 1,[1629744],1610612741.0,CHI,,,Missed,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M52.00S,2022-01-25T01:31:42.5Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,24,31,2022-01-25T01:40:56Z,1329375,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,133.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
135,PT01M48.00S,2022-01-25T01:31:47.5Z,1,REGULAR,turnover,traveling,[],1629647,,,1610612760,24,31,2022-01-25T01:31:52Z,1330000,,,0,,D. Bazley traveling TURNOVER (1 TO),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,1830.0,,,,,1.0,,,,,,,,,,
136,PT01M39.00S,2022-01-25T01:32:10.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629744,33.196452036793694,47.05882352941176,1610612741,24,31,2022-01-25T01:32:15Z,1340000,15.0,260.0,1,left,MISS M. Thomas 25' 3PT,[1629744],1610612741.0,CHI,,25.99,Missed,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M36.00S,2022-01-25T01:32:13.7Z,1,REGULAR,rebound,offensive,[],1629076,,,1610612741,24,31,2022-01-25T01:32:13Z,1350000,,,0,,T. Cook REBOUND (Off:1 Def:0),[1629076],1610612741.0,CHI,,,,Cook,T. Cook,136.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
138,PT01M35.00S,2022-01-25T01:32:14.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629744,32.53942181340342,72.05882352941177,1610612741,24,31,2022-01-25T01:32:18Z,1360000,-110.0,253.0,1,left,MISS M. Thomas 27' 3PT,[1629744],1610612741.0,CHI,,27.64,Missed,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M31.00S,2022-01-25T01:32:18.9Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,24,31,2022-01-25T01:32:18Z,1370000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,138.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
140,PT01M20.00S,2022-01-25T01:32:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629026,87.59855453350855,45.34313725490196,1610612760,24,31,2022-01-25T01:32:36Z,1380000,-23.0,64.0,1,right,MISS K. Williams 6' Layup - blocked,"[1629026, 1629632]",1610612760.0,OKC,,6.82,Missed,Williams,K. Williams,,,,,,,,,,,,,,,,,White,1629632.0,,,,,,
141,PT01M20.00S,2022-01-25T01:32:29.4Z,1,REGULAR,block,,[],1629632,,,1610612760,24,31,2022-01-25T01:32:31Z,1390000,,,0,,C. White BLOCK (1 BLK),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M18.00S,2022-01-25T01:32:31.4Z,1,REGULAR,rebound,defensive,[],1629076,,,1610612741,24,31,2022-01-25T01:32:36Z,1400000,,,0,,T. Cook REBOUND (Off:1 Def:1),[1629076],1610612741.0,CHI,,,,Cook,T. Cook,140.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
143,PT01M16.00S,2022-01-25T01:32:36.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,24,31,2022-01-25T01:32:36Z,1410000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M16.00S,2022-01-25T01:32:53.8Z,1,REGULAR,foul,offensive,[],1628035,,,1610612741,24,31,2022-01-25T01:33:19Z,1420000,,,0,,A. McKinnie offensive FOUL (3 PF),"[1628035, 1629647]",1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,,,,,1830.0,3.0,0.0,Bazley,1629647.0,,,,,,,,,,,
146,PT01M16.00S,2022-01-25T01:32:53.8Z,1,REGULAR,turnover,offensive foul,[],1628035,,,1610612741,24,31,2022-01-25T01:32:53Z,1440000,,,0,,A. McKinnie offensive foul TURNOVER (1 TO),[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,,,,,1830.0,,,,,1.0,,,,,,,,,,
147,PT01M03.00S,2022-01-25T01:33:18.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,90.3580814717477,43.627450980392155,1610612760,24,31,2022-01-25T01:33:30Z,1450000,-32.0,38.0,1,right,MISS S. Gilgeous-Alexander running finger roll Layup - blocked,"[1628983, 1629750]",1610612760.0,OKC,running finger roll,4.97,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,Green,1629750.0,,,,,,
148,PT01M03.00S,2022-01-25T01:33:18.7Z,1,REGULAR,block,,[],1629750,,,1610612760,24,31,2022-01-25T01:33:21Z,1460000,,,0,,J. Green BLOCK (1 BLK),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M00.00S,2022-01-25T01:33:21.7Z,1,REGULAR,rebound,defensive,[],1629744,,,1610612741,24,31,2022-01-25T01:33:30Z,1470000,,,0,,M. Thomas REBOUND (Off:0 Def:1),[1629744],1610612741.0,CHI,,,,Thomas,M. Thomas,147.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
150,PT00M56.10S,2022-01-25T01:33:26.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629632,10.726018396846255,41.66666666666667,1610612741,24,31,2022-01-25T01:33:36Z,1480000,42.0,48.0,1,left,MISS C. White 6' driving Layup - blocked,"[1629632, 1629603]",1610612741.0,CHI,driving,6.38,Missed,White,C. White,,,,,,,,,,,,,,,,,Diakite,1629603.0,,,,,,
151,PT00M56.10S,2022-01-25T01:33:26.5Z,1,REGULAR,block,,[],1629603,,,1610612741,24,31,2022-01-25T01:33:29Z,1490000,,,0,,M. Diakite BLOCK (1 BLK),[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M54.90S,2022-01-25T01:33:27.7Z,1,REGULAR,rebound,offensive,[],1629076,,,1610612741,24,31,2022-01-25T01:33:36Z,1500000,,,0,,T. Cook REBOUND (Off:2 Def:1),[1629076],1610612741.0,CHI,,,,Cook,T. Cook,150.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
153,PT00M54.90S,2022-01-25T01:33:31.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629076,8.492115637319317,44.36274509803921,1610612741,24,33,2022-01-25T01:33:40Z,1510000,28.0,27.0,1,left,T. Cook tip Layup (2 PTS),[1629076],1610612741.0,CHI,tip,3.92,Made,Cook,T. Cook,,,,,2.0,,,,,,,,,,,,,,,,,,,
165,PT00M54.90S,2022-01-25T01:33:50.3Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612760,24,33,2022-01-25T01:36:22Z,1515000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M35.00S,2022-01-25T01:34:09.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,90.22667542706965,50.73529411764706,1610612760,26,33,2022-01-25T01:34:15Z,1520000,4.0,39.0,1,right,S. Gilgeous-Alexander driving finger roll Layup (9 PTS),[1628983],1610612760.0,OKC,driving finger roll,3.96,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,9.0,,,,,,,,,,,,,,,,,,,
155,PT00M21.70S,2022-01-25T01:34:25.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629076,10.85742444152431,42.40196078431372,1610612741,26,35,2022-01-25T01:34:29Z,1530000,38.0,50.0,1,left,T. Cook 6' cutting Layup (4 PTS) (C. White 3 AST),"[1629076, 1629632]",1610612741.0,CHI,cutting,6.25,Made,Cook,T. Cook,,,,,4.0,C. White,1629632.0,3.0,,,,,,,,,,,,,,,,
157,PT00M01.50S,2022-01-25T01:34:49.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628035,,,1610612760,26,35,2022-01-25T01:34:58Z,1550000,,,0,,A. McKinnie shooting personal FOUL (4 PF) (Williams 2 FT),"[1628035, 1629026]",1610612741.0,CHI,shooting,,,McKinnie,A. McKinnie,,,,,,,,,1830.0,4.0,0.0,Williams,1629026.0,,,,,,,,,,,
159,PT00M01.50S,2022-01-25T01:35:19.6Z,1,REGULAR,freethrow,1 of 2,[],1629026,,,1610612760,26,35,2022-01-25T01:35:19Z,1570000,,,0,,MISS K. Williams Free Throw 1 of 2,[1629026],1610612760.0,OKC,,,Missed,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M01.50S,2022-01-25T01:35:19.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,26,35,2022-01-25T01:35:19Z,1580000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,159.0,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M01.50S,2022-01-25T01:35:22.4Z,1,REGULAR,substitution,out,[],1630544,,,1610612760,26,35,2022-01-25T01:35:34Z,1590000,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M01.50S,2022-01-25T01:35:22.4Z,1,REGULAR,substitution,in,[],1630598,,,1610612760,26,35,2022-01-25T01:35:34Z,1600000,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
163,PT00M01.50S,2022-01-25T01:35:43.9Z,1,REGULAR,freethrow,2 of 2,[],1629026,,,1610612760,27,35,2022-01-25T01:35:43Z,1610000,,,0,,K. Williams Free Throw 2 of 2 (1 PTS),[1629026],1610612760.0,OKC,,,Made,Williams,K. Williams,,,,,1.0,,,,,,,,,,,,,,,,,,,
164,PT00M00.00S,2022-01-25T01:35:52.2Z,1,REGULAR,period,end,[],0,,,1610612741,27,35,2022-01-25T01:35:52Z,1620000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2022-01-25T01:37:48.5Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612741,27,35,2022-01-25T01:38:22Z,1630000,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2022-01-25T01:37:48.5Z,2,REGULAR,substitution,out,['startperiod'],1630598,,,1610612741,27,35,2022-01-25T01:38:22Z,1640000,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2022-01-25T01:37:48.5Z,2,REGULAR,substitution,out,['startperiod'],1629750,,,1610612741,27,35,2022-01-25T01:38:22Z,1650000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2022-01-25T01:37:48.5Z,2,REGULAR,substitution,out,['startperiod'],1628035,,,1610612741,27,35,2022-01-25T01:38:22Z,1660000,,,0,,SUB out: A. McKinnie,[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2022-01-25T01:37:48.5Z,2,REGULAR,substitution,in,['startperiod'],1630544,,,1610612741,27,35,2022-01-25T01:38:22Z,1670000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2022-01-25T01:37:48.5Z,2,REGULAR,substitution,in,['startperiod'],1630581,,,1610612741,27,35,2022-01-25T01:38:22Z,1680000,,,0,,SUB in: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2022-01-25T01:37:48.5Z,2,REGULAR,substitution,in,['startperiod'],1628972,,,1610612741,27,35,2022-01-25T01:38:22Z,1690000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2022-01-25T01:37:48.5Z,2,REGULAR,substitution,in,['startperiod'],203897,,,1610612741,27,35,2022-01-25T01:38:22Z,1700000,,,0,,SUB in: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2022-01-25T01:38:26.2Z,2,REGULAR,period,start,[],0,,,0,27,35,2022-01-25T01:38:26Z,1710000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
