actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
89,PT04M13.00S,2021-12-23T01:23:18.0Z,1,REGULAR,substitution,in,[],1629647,,,1610612743,18,16,2021-12-23T01:23:28Z,890000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M13.00S,2021-12-23T01:23:18.0Z,1,REGULAR,substitution,in,[],1630544,,,1610612743,18,16,2021-12-23T01:23:28Z,900000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M13.00S,2021-12-23T01:23:18.0Z,1,REGULAR,substitution,in,[],1630538,,,1610612743,18,16,2021-12-23T01:23:28Z,910000,,,0,,SUB in: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M13.00S,2021-12-23T01:23:18.0Z,1,REGULAR,substitution,in,[],1630267,,,1610612743,18,16,2021-12-23T01:23:28Z,920000,,,0,,SUB in: F. Campazzo,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M09.00S,2021-12-23T01:23:42.6Z,1,REGULAR,turnover,traveling,[],203999,,,1610612743,18,16,2021-12-23T01:23:47Z,930000,,,0,,N. Jokic traveling TURNOVER (1 TO),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,1627963.0,,,,,,,1.0,,,,,,
94,PT03M59.00S,2021-12-23T01:24:02.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,29.25427069645204,68.87254901960785,1610612760,18,16,2021-12-23T01:24:07Z,940000,-94.0,222.0,1,left,MISS L. Dort 24' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,24.17,Missed,,,,,,,,,,,,,,,,,,
95,PT03M56.00S,2021-12-23T01:24:05.9Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,18,16,2021-12-23T01:24:07Z,950000,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,94.0,2.0,2.0,0.0,,,,,,,
167,PT03M48.00S,2021-12-23T01:24:13.6Z,1,REGULAR,2pt,Layup,[],203932,89.14257555847568,30.637254901960787,1610612743,18,16,2021-12-23T01:36:19Z,955000,-97.0,50.0,1,right,MISS A. Gordon 10' driving Layup - blocked,"[203932, 1628983]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,10.88,Missed,,,,,,,,,,,,,,,,,Gilgeous-Alexander,1628983.0
168,PT03M48.00S,2021-12-23T01:24:13.6Z,1,REGULAR,block,,[],1628983,,,1610612743,18,16,2021-12-23T01:36:09Z,957500,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,
169,PT03M48.00S,2021-12-23T01:24:13.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,18,16,2021-12-23T01:36:19Z,958750,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,167.0,,,,,,,,,,
96,PT03M47.00S,2021-12-23T01:24:24.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,18,16,2021-12-23T01:24:24Z,960000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M38.00S,2021-12-23T01:24:43.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201145,82.9993429697766,44.6078431372549,1610612743,18,18,2021-12-23T01:36:09Z,970000,-27.0,107.0,1,right,J. Green 11' floating Jump Shot (6 PTS) (A. Gordon 1 AST),"[201145, 203932]",1610612743.0,DEN,floating,,,Green,J. Green,,,,,11.06,Made,6.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,,,
99,PT03M25.00S,2021-12-23T01:24:55.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,5.601182654402102,56.127450980392155,1610612760,20,18,2021-12-23T01:24:58Z,990000,-31.0,0.0,1,left,S. Gilgeous-Alexander driving Layup (8 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,3.06,Made,8.0,,,,,,,,,,,,,,,,,
100,PT03M17.00S,2021-12-23T01:25:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630538,93.11760840998686,44.85294117647059,1610612743,20,18,2021-12-23T01:25:07Z,1000000,-26.0,12.0,1,right,MISS B. Hyland Layup,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,2.84,Missed,,,,,,,,,,,,,,,,,,
101,PT03M15.00S,2021-12-23T01:25:05.9Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,20,18,2021-12-23T01:25:07Z,1010000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:2),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,100.0,2.0,2.0,0.0,,,,,,,
102,PT03M07.00S,2021-12-23T01:25:15.6Z,1,REGULAR,turnover,out-of-bounds,[],1629652,,,1610612760,20,18,2021-12-23T01:25:23Z,1020000,,,0,,L. Dort bad pass out-of-bounds TURNOVER (2 TO),[1629652],1610612760.0,OKC,bad pass,,,Dort,L. Dort,,,,,,,,,,,1627963.0,,,,,,,2.0,,,,,,
103,PT03M07.00S,2021-12-23T01:25:17.8Z,1,REGULAR,substitution,out,[],201145,,,1610612743,20,18,2021-12-23T01:25:23Z,1030000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M07.00S,2021-12-23T01:25:17.8Z,1,REGULAR,substitution,in,[],1630192,,,1610612743,20,18,2021-12-23T01:25:23Z,1040000,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M59.00S,2021-12-23T01:25:38.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203999,65.39093298291722,49.754901960784316,1610612743,20,18,2021-12-23T01:25:43Z,1050000,-1.0,273.0,1,right,MISS N. Jokic 27' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,27.28,Missed,,,,,,,,,,,,,,,,,,
106,PT02M56.00S,2021-12-23T01:25:41.9Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,20,18,2021-12-23T01:25:43Z,1060000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,105.0,1.0,1.0,0.0,,,,,,,
107,PT02M48.00S,2021-12-23T01:25:49.5Z,1,REGULAR,3pt,Jump Shot,[],1630526,30.042706964520367,68.87254901960785,1610612760,23,18,2021-12-23T01:25:53Z,1070000,-94.0,230.0,1,left,J. Robinson-Earl 24' 3PT  (7 PTS) (D. Bazley 1 AST),"[1630526, 1629647]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,24.85,Made,7.0,D. Bazley,1629647.0,1.0,,,,,,,,,,,,,,
109,PT02M34.00S,2021-12-23T01:26:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630192,92.46057818659659,53.431372549019606,1610612743,23,18,2021-12-23T01:26:08Z,1090000,17.0,18.0,1,right,MISS Z. Nnaji Layup - blocked,"[1630192, 1629647]",1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,2.52,Missed,,,,,,,,,,,,,,,,,Bazley,1629647.0
110,PT02M34.00S,2021-12-23T01:26:04.2Z,1,REGULAR,block,,[],1629647,,,1610612743,23,18,2021-12-23T01:26:06Z,1100000,,,0,,D. Bazley BLOCK (1 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M31.00S,2021-12-23T01:26:07.2Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612760,23,18,2021-12-23T01:26:08Z,1110000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,109.0,1.0,1.0,0.0,,,,,,,
112,PT02M17.00S,2021-12-23T01:26:20.9Z,1,REGULAR,3pt,Jump Shot,[],1629647,5.075558475689881,95.58823529411765,1610612760,23,18,2021-12-23T01:26:25Z,1120000,-228.0,-5.0,1,left,MISS D. Bazley 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,
113,PT02M13.00S,2021-12-23T01:26:24.9Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,23,18,2021-12-23T01:26:25Z,1130000,,,0,,A. Gordon REBOUND (Off:0 Def:3),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,112.0,3.0,3.0,0.0,,,,,,,
114,PT02M06.00S,2021-12-23T01:26:32.4Z,1,REGULAR,3pt,Jump Shot,[],1630192,76.03482260183968,13.23529411764706,1610612743,23,18,2021-12-23T01:26:37Z,1140000,-184.0,173.0,1,right,MISS Z. Nnaji 25' 3PT,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,
115,PT02M03.00S,2021-12-23T01:26:35.4Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,23,18,2021-12-23T01:26:37Z,1150000,,,0,,D. Bazley REBOUND (Off:0 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,114.0,2.0,2.0,0.0,,,,,,,
116,PT01M54.00S,2021-12-23T01:26:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,7.178055190538765,34.80392156862745,1610612760,23,18,2021-12-23T01:26:49Z,1160000,76.0,15.0,1,left,MISS D. Bazley 7' driving Layup - blocked,"[1629647, 203999]",1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,7.75,Missed,,,,,,,,,,,,,,,,,Jokic,203999.0
117,PT01M54.00S,2021-12-23T01:26:44.5Z,1,REGULAR,block,,[],203999,,,1610612760,23,18,2021-12-23T01:26:47Z,1170000,,,0,,N. Jokic BLOCK (2 BLK),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M50.00S,2021-12-23T01:26:48.5Z,1,REGULAR,rebound,defensive,[],1630538,,,1610612743,23,18,2021-12-23T01:26:49Z,1180000,,,0,,B. Hyland REBOUND (Off:0 Def:1),[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,116.0,1.0,1.0,0.0,,,,,,,
119,PT01M42.00S,2021-12-23T01:26:58.2Z,1,REGULAR,foul,personal,['2freethrow'],1629647,,,1610612743,23,18,2021-12-23T01:30:09Z,1190000,,,0,,D. Bazley shooting personal FOUL (1 PF) (Gordon 2 FT),"[1629647, 203932]",1610612760.0,OKC,shooting,,,Bazley,D. Bazley,,,,,,,,,,,203592.0,1.0,0.0,,,,,,,,Gordon,203932.0,,
121,PT01M42.00S,2021-12-23T01:27:06.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,23,18,2021-12-23T01:27:06Z,1210000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M42.00S,2021-12-23T01:27:10.2Z,1,REGULAR,substitution,out,[],1628983,,,1610612743,23,18,2021-12-23T01:30:00Z,1220000,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M42.00S,2021-12-23T01:27:10.2Z,1,REGULAR,substitution,out,[],1629652,,,1610612743,23,18,2021-12-23T01:30:00Z,1230000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M42.00S,2021-12-23T01:27:10.2Z,1,REGULAR,substitution,out,[],1630526,,,1610612743,23,18,2021-12-23T01:30:00Z,1240000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M42.00S,2021-12-23T01:27:10.2Z,1,REGULAR,substitution,out,[],203999,,,1610612743,23,18,2021-12-23T01:30:00Z,1250000,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M42.00S,2021-12-23T01:27:10.2Z,1,REGULAR,substitution,in,[],1630197,,,1610612743,23,18,2021-12-23T01:30:00Z,1260000,,,0,,SUB in: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M42.00S,2021-12-23T01:27:10.2Z,1,REGULAR,substitution,in,[],1629026,,,1610612743,23,18,2021-12-23T01:30:00Z,1270000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M42.00S,2021-12-23T01:27:10.2Z,1,REGULAR,substitution,in,[],1629660,,,1610612743,23,18,2021-12-23T01:30:00Z,1280000,,,0,,SUB in: T. Jerome,[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M42.00S,2021-12-23T01:27:10.2Z,1,REGULAR,substitution,in,[],203210,,,1610612743,23,18,2021-12-23T01:30:00Z,1290000,,,0,,SUB in: J. Green,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M42.00S,2021-12-23T01:30:09.9Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,23,18,2021-12-23T01:30:26Z,1300000,,,0,,MISS A. Gordon Free Throw 1 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Missed,,,,,,,,,,,,,,,,,,
134,PT01M42.00S,2021-12-23T01:30:09.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612743,23,18,2021-12-23T01:30:26Z,1310000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,133.0,,,,,,,,,,
135,PT01M42.00S,2021-12-23T01:30:09.9Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,23,18,2021-12-23T01:30:26Z,1320000,,,0,,MISS A. Gordon Free Throw 2 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Missed,,,,,,,,,,,,,,,,,,
136,PT01M40.00S,2021-12-23T01:30:11.9Z,1,REGULAR,rebound,defensive,[],1629660,,,1610612760,23,18,2021-12-23T01:30:26Z,1330000,,,0,,T. Jerome REBOUND (Off:0 Def:1),[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,135.0,1.0,1.0,0.0,,,,,,,
137,PT01M27.00S,2021-12-23T01:30:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630544,14.4053876478318,45.83333333333333,1610612760,23,18,2021-12-23T01:32:18Z,1340000,21.0,83.0,1,left,MISS T. Mann 8' driving Layup,[1630544],1610612760.0,OKC,driving,,,Mann,T. Mann,,,,,8.55,Missed,,,,,,,,,,,,,,,,,,
138,PT01M25.00S,2021-12-23T01:30:41.6Z,1,REGULAR,rebound,offensive,[],1630544,,,1610612760,23,18,2021-12-23T01:30:48Z,1350000,,,0,,T. Mann REBOUND (Off:1 Def:1),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,137.0,2.0,1.0,1.0,,,,,,,
139,PT01M24.00S,2021-12-23T01:30:41.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630544,6.258212877792378,48.77450980392157,1610612760,25,18,2021-12-23T01:32:29Z,1360000,6.0,6.0,1,left,T. Mann putback Layup (2 PTS),[1630544],1610612760.0,OKC,putback,,,Mann,T. Mann,,,,,0.88,Made,2.0,,,,,,,,,,,,,,,,,
140,PT01M12.00S,2021-12-23T01:30:53.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,91.40932982917214,45.09803921568628,1610612743,25,18,2021-12-23T01:31:06Z,1370000,-25.0,28.0,1,right,MISS A. Gordon alley-oop DUNK,[203932],1610612743.0,DEN,alley-oop,,,Gordon,A. Gordon,,,,,3.74,Missed,,,,,,,,,,,,,,,,,,
141,PT01M12.00S,2021-12-23T01:30:53.6Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,25,18,2021-12-23T01:31:06Z,1380000,,,0,,D. Bazley REBOUND (Off:0 Def:3),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,140.0,3.0,3.0,0.0,,,,,,,
142,PT01M02.00S,2021-12-23T01:31:03.7Z,1,REGULAR,3pt,Jump Shot,[],1629026,25.04927726675427,85.04901960784314,1610612760,25,18,2021-12-23T01:31:08Z,1390000,-175.0,183.0,1,left,MISS K. Williams 25' 3PT,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,25.33,Missed,,,,,,,,,,,,,,,,,,
143,PT01M02.00S,2021-12-23T01:31:03.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,25,18,2021-12-23T01:31:08Z,1400000,,,0,,A. Gordon REBOUND (Off:0 Def:4),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,142.0,4.0,4.0,0.0,,,,,,,
144,PT00M53.50S,2021-12-23T01:31:13.0Z,1,REGULAR,3pt,Jump Shot,[],1630267,69.33311432325887,69.85294117647058,1610612743,25,18,2021-12-23T01:31:20Z,1410000,99.0,236.0,1,right,MISS F. Campazzo 25' 3PT,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,
145,PT00M50.20S,2021-12-23T01:31:16.3Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,25,18,2021-12-23T01:31:20Z,1420000,,,0,,D. Bazley REBOUND (Off:0 Def:4),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,144.0,4.0,4.0,0.0,,,,,,,
146,PT00M31.80S,2021-12-23T01:31:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,7.046649145860711,50.98039215686274,1610612760,27,18,2021-12-23T01:31:40Z,1430000,-5.0,14.0,1,left,D. Bazley Layup (2 PTS) (T. Jerome 1 AST),"[1629647, 1629660]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,1.45,Made,2.0,T. Jerome,1629660.0,1.0,,,,,,,,,,,,,,
147,PT00M31.80S,2021-12-23T01:31:39.4Z,1,REGULAR,foul,personal,['1freethrow'],203210,,,1610612760,27,18,2021-12-23T01:31:50Z,1440000,,,0,,J. Green shooting personal FOUL (1 PF) (Bazley 1 FT),"[203210, 1629647]",1610612743.0,DEN,shooting,,,Green,J. Green,,,,,,,,,,,203592.0,1.0,0.0,,,,,,,,Bazley,1629647.0,,
149,PT00M31.80S,2021-12-23T01:31:45.9Z,1,REGULAR,substitution,out,[],203932,,,1610612760,27,18,2021-12-23T01:31:49Z,1460000,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M31.80S,2021-12-23T01:31:45.9Z,1,REGULAR,substitution,in,[],203085,,,1610612760,27,18,2021-12-23T01:31:49Z,1470000,,,0,,SUB in: A. Rivers,[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M31.80S,2021-12-23T01:32:01.7Z,1,REGULAR,freethrow,1 of 1,[],1629647,,,1610612760,28,18,2021-12-23T01:32:01Z,1480000,,,0,,D. Bazley Free Throw 1 of 1 (3 PTS),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
152,PT00M14.20S,2021-12-23T01:32:22.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,28,18,2021-12-23T01:32:22Z,1490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M07.80S,2021-12-23T01:32:39.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630192,90.62089356110381,40.68627450980392,1610612743,28,18,2021-12-23T01:32:43Z,1500000,-47.0,36.0,1,right,MISS Z. Nnaji cutting DUNK - blocked,"[1630192, 1629647]",1610612743.0,DEN,cutting,,,Nnaji,Z. Nnaji,,,,,5.87,Missed,,,,,,,,,,,,,,,,,Bazley,1629647.0
154,PT00M07.80S,2021-12-23T01:32:39.5Z,1,REGULAR,block,,[],1629647,,,1610612743,28,18,2021-12-23T01:32:42Z,1510000,,,0,,D. Bazley BLOCK (2 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M04.60S,2021-12-23T01:32:42.7Z,1,REGULAR,rebound,defensive,[],1629660,,,1610612760,28,18,2021-12-23T01:32:43Z,1520000,,,0,,T. Jerome REBOUND (Off:0 Def:2),[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,153.0,2.0,2.0,0.0,,,,,,,
156,PT00M00.80S,2021-12-23T01:32:46.4Z,1,REGULAR,turnover,bad pass,[],1629660,,,1610612760,28,18,2021-12-23T01:32:49Z,1530000,,,0,,T. Jerome bad pass TURNOVER (1 TO),"[1629660, 1630538]",1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,1.0,Hyland,1630538.0,,,,
157,PT00M00.80S,2021-12-23T01:32:46.4Z,1,REGULAR,steal,,[],1630538,,,1610612743,28,18,2021-12-23T01:32:47Z,1540000,,,0,,B. Hyland STEAL (1 STL),[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M00.30S,2021-12-23T01:32:49.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630538,35.29894875164258,21.323529411764707,1610612743,28,18,2021-12-23T01:33:03Z,1550000,-143.0,556.0,1,right,MISS B. Hyland 57' pullup 3PT,[1630538],1610612743.0,DEN,pullup,,,Hyland,B. Hyland,,,,,57.39,Missed,,,,,,,,,,,,,,,,,,
159,PT00M00.10S,2021-12-23T01:32:49.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,28,18,2021-12-23T01:33:03Z,1560000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,158.0,,,,,,,,,,
160,PT00M00.00S,2021-12-23T01:33:07.9Z,1,REGULAR,period,end,[],0,,,1610612743,28,18,2021-12-23T01:33:07Z,1570000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2021-12-23T01:35:29.6Z,2,REGULAR,period,start,[],0,,,1610612743,28,18,2021-12-23T01:35:29Z,1580000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M51.00S,2021-12-23T01:35:38.4Z,2,REGULAR,turnover,bad pass,[],1630538,,,1610612743,28,18,2021-12-23T01:35:42Z,1590000,,,0,,B. Hyland bad pass TURNOVER (1 TO),"[1630538, 1630197]",1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,1.0,Pokusevski,1630197.0,,,,
164,PT11M51.00S,2021-12-23T01:35:38.4Z,2,REGULAR,steal,,[],1630197,,,1610612760,28,18,2021-12-23T01:35:40Z,1600000,,,0,,A. Pokusevski STEAL (1 STL),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M39.00S,2021-12-23T01:35:54.2Z,2,REGULAR,foul,personal,[],1630538,,,1610612760,28,18,2021-12-23T01:36:04Z,1610000,,,0,,B. Hyland personal FOUL (1 PF),"[1630538, 1630197]",1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,1662.0,1.0,0.0,,,,,,,,Pokusevski,1630197.0,,
170,PT11M33.00S,2021-12-23T01:36:17.3Z,2,REGULAR,turnover,bad pass,[],1630197,,,1610612760,28,18,2021-12-23T01:36:20Z,1630000,,,0,,A. Pokusevski bad pass TURNOVER (1 TO),"[1630197, 203210]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,1.0,Green,203210.0,,,,
171,PT11M33.00S,2021-12-23T01:36:17.3Z,2,REGULAR,steal,,[],203210,,,1610612743,28,18,2021-12-23T01:36:19Z,1640000,,,0,,J. Green STEAL (1 STL),[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
172,PT11M29.00S,2021-12-23T01:36:22.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630267,93.11760840998686,43.38235294117647,1610612743,28,18,2021-12-23T01:36:33Z,1650000,-33.0,12.0,1,right,MISS F. Campazzo running Layup,[1630267],1610612743.0,DEN,running,,,Campazzo,F. Campazzo,,,,,3.53,Missed,,,,,,,,,,,,,,,,,,
173,PT11M29.00S,2021-12-23T01:36:25.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612743,28,18,2021-12-23T01:36:25Z,1660000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,172.0,,,,,,,,,,
174,PT11M29.00S,2021-12-23T01:36:25.8Z,2,REGULAR,foul,personal,[],1629026,,,1610612743,28,18,2021-12-23T01:36:38Z,1670000,,,0,,K. Williams loose ball personal FOUL (1 PF),"[1629026, 1630538]",1610612760.0,OKC,loose ball,,,Williams,K. Williams,,,,,,,,,,,1627963.0,1.0,0.0,,,,,,,,Hyland,1630538.0,,
176,PT11M21.00S,2021-12-23T01:36:50.4Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630538,72.35545335085413,85.29411764705883,1610612743,28,21,2021-12-23T01:36:54Z,1690000,176.0,207.0,1,right,B. Hyland 27' 3PT pullup (3 PTS),[1630538],1610612743.0,DEN,pullup,,,Hyland,B. Hyland,,,,,27.23,Made,3.0,,,,,,,,,,,,,,,,,
