actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
91,PT03M21.00S,2021-12-19T01:28:39.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629652,93.24901445466492,45.34313725490196,1610612760,17,15,2021-12-19T01:28:46Z,910000,-23.0,11.0,1,right,L. Dort running Layup (5 PTS),[1629652],1610612760.0,OKC,running,,,Dort,L. Dort,,,,,,,,,2.58,Made,5.0,,,,,,,,,,,,,,
92,PT03M13.00S,2021-12-19T01:28:46.6Z,1,REGULAR,3pt,Jump Shot,[],1628379,14.14257555847569,2.696078431372549,1610612746,17,15,2021-12-19T01:28:50Z,920000,237.0,80.0,1,left,MISS L. Kennard 24' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,24.98,Missed,,,,,,,,,,,,,,,
93,PT03M10.00S,2021-12-19T01:28:49.6Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,17,15,2021-12-19T01:28:50Z,930000,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,92.0,2.0,2.0,0.0,,,,,,,
94,PT02M56.00S,2021-12-19T01:29:03.7Z,1,REGULAR,3pt,Jump Shot,[],1628983,94.1688567674113,3.6764705882352944,1610612760,17,15,2021-12-19T01:29:09Z,940000,-232.0,2.0,1,right,MISS S. Gilgeous-Alexander step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,23.16,Missed,,,,,,,,,,,,,,,
95,PT02M52.00S,2021-12-19T01:29:07.7Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,17,15,2021-12-19T01:29:09Z,950000,,,0,,L. Kennard REBOUND (Off:0 Def:2),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,94.0,2.0,2.0,0.0,,,,,,,
96,PT02M46.00S,2021-12-19T01:29:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,6.389618922470433,46.07843137254902,1610612746,17,17,2021-12-19T01:29:18Z,960000,20.0,8.0,1,left,I. Hartenstein Layup (2 PTS) (N. Batum 1 AST),"[1628392, 201587]",1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,2.1,Made,2.0,N. Batum,201587.0,1.0,,,,,,,,,,,
98,PT02M35.00S,2021-12-19T01:29:24.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,91.80354796320631,37.254901960784316,1610612760,19,17,2021-12-19T01:34:05Z,980000,-64.0,25.0,1,right,S. Gilgeous-Alexander 6' driving floating Jump Shot (4 PTS),[1628983],1610612760.0,OKC,driving floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,6.82,Made,4.0,,,,,,,,,,,,,,
99,PT02M21.00S,2021-12-19T01:29:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202339,4.418528252299605,42.40196078431372,1610612746,19,17,2021-12-19T01:29:42Z,990000,38.0,-11.0,1,left,MISS E. Bledsoe driving Layup,[202339],1610612746.0,LAC,driving,,,Bledsoe,E. Bledsoe,,,,,,,,,3.96,Missed,,,,,,,,,,,,,,,
100,PT02M19.00S,2021-12-19T01:29:40.1Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612746,19,17,2021-12-19T01:29:40Z,1000000,,,0,,I. Hartenstein REBOUND (Off:2 Def:0),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,99.0,2.0,0.0,2.0,,,,,,,
101,PT02M16.00S,2021-12-19T01:29:51.4Z,1,REGULAR,turnover,3-second-violation,[],1628392,,,1610612746,19,17,2021-12-19T01:30:12Z,1010000,,,0,,I. Hartenstein 3-second-violation TURNOVER (1 TO),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,202058.0,1.0,,,,,,,,,,,,,,,,,,,
102,PT02M16.00S,2021-12-19T01:29:59.3Z,1,REGULAR,substitution,out,[],1629652,,,1610612760,19,17,2021-12-19T01:30:16Z,1020000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M16.00S,2021-12-19T01:29:59.3Z,1,REGULAR,substitution,out,[],1630598,,,1610612760,19,17,2021-12-19T01:30:16Z,1030000,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M16.00S,2021-12-19T01:29:59.3Z,1,REGULAR,substitution,out,[],1630526,,,1610612760,19,17,2021-12-19T01:30:16Z,1040000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M16.00S,2021-12-19T01:29:59.3Z,1,REGULAR,substitution,out,[],1628379,,,1610612760,19,17,2021-12-19T01:30:16Z,1050000,,,0,,SUB out: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M16.00S,2021-12-19T01:29:59.3Z,1,REGULAR,substitution,in,[],1629647,,,1610612760,19,17,2021-12-19T01:30:16Z,1060000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M16.00S,2021-12-19T01:29:59.3Z,1,REGULAR,substitution,in,[],202324,,,1610612760,19,17,2021-12-19T01:30:16Z,1070000,,,0,,SUB in: D. Favors,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M16.00S,2021-12-19T01:29:59.3Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,19,17,2021-12-19T01:30:16Z,1080000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M16.00S,2021-12-19T01:29:59.3Z,1,REGULAR,substitution,in,[],1630527,,,1610612760,19,17,2021-12-19T01:30:16Z,1090000,,,0,,SUB in: B. Boston Jr.,[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT02M06.00S,2021-12-19T01:30:19.3Z,1,REGULAR,turnover,bad pass,[],1629026,,,1610612760,19,17,2021-12-19T02:08:12Z,1093750,,,0,,K. Williams bad pass TURNOVER (1 TO),"[1629026, 1630527]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,,1.0,Boston Jr.,1630527.0,,,,,,,,,,,,,,,,,
312,PT02M06.00S,2021-12-19T01:30:19.3Z,1,REGULAR,steal,,[],1630527,,,1610612746,19,17,2021-12-19T02:08:12Z,1095625,,,0,,B. Boston Jr. STEAL (1 STL),[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT01M54.00S,2021-12-19T01:30:39.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202339,31.09395532194481,30.88235294117647,1610612746,19,17,2021-12-19T02:08:12Z,1097500,96.0,240.0,1,left,MISS E. Bledsoe 25' pullup 3PT,[202339],1610612746.0,LAC,pullup,,,Bledsoe,E. Bledsoe,,,,,,,,,25.82,Missed,,,,,,,,,,,,,,,
113,PT01M52.00S,2021-12-19T01:30:41.4Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,19,17,2021-12-19T02:06:25Z,1101250,,,0,,D. Favors REBOUND (Off:0 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,112.0,1.0,1.0,0.0,,,,,,,
114,PT01M39.00S,2021-12-19T01:30:52.7Z,1,REGULAR,2pt,Jump Shot,[],1628983,78.13731931668858,60.78431372549019,1610612760,19,17,2021-12-19T01:30:58Z,1140000,54.0,153.0,1,right,MISS S. Gilgeous-Alexander 16' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,16.22,Missed,,,,,,,,,,,,,,,
115,PT01M37.00S,2021-12-19T01:30:54.7Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,19,17,2021-12-19T01:30:58Z,1150000,,,0,,T. Mann REBOUND (Off:1 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,114.0,2.0,1.0,1.0,,,,,,,
116,PT01M29.00S,2021-12-19T01:31:03.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629611,4.944152431011826,47.549019607843135,1610612746,19,19,2021-12-19T01:31:06Z,1160000,12.0,-6.0,1,left,T. Mann driving finger roll Layup (7 PTS),[1629611],1610612746.0,LAC,driving finger roll,,,Mann,T. Mann,,,,,,,,,1.37,Made,7.0,,,,,,,,,,,,,,
117,PT01M13.00S,2021-12-19T01:31:18.5Z,1,REGULAR,2pt,Jump Shot,[],1628983,78.40013140604468,73.77450980392157,1610612760,21,19,2021-12-19T01:31:22Z,1170000,119.0,151.0,1,right,S. Gilgeous-Alexander 19' pullup Jump Shot (6 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,19.18,Made,6.0,,,,,,,,,,,,,,
118,PT01M01.00S,2021-12-19T01:31:30.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,19.004599211563733,49.26470588235294,1610612746,21,19,2021-12-19T01:37:28Z,1180000,4.0,126.0,1,left,MISS I. Hartenstein 12' floating Shot,[1628392],1610612746.0,LAC,floating,,,Hartenstein,I. Hartenstein,,,,,,,,,12.62,Missed,,,,,,,,,,,,,,,
119,PT00M59.50S,2021-12-19T01:31:32.0Z,1,REGULAR,rebound,defensive,[],1629026,,,1610612760,21,19,2021-12-19T01:31:35Z,1190000,,,0,,K. Williams REBOUND (Off:0 Def:1),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,118.0,1.0,1.0,0.0,,,,,,,
120,PT00M43.40S,2021-12-19T01:31:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630544,89.04402102496715,56.61764705882353,1610612760,21,19,2021-12-19T01:37:53Z,1200000,33.0,50.0,1,right,MISS T. Mann 6' driving finger roll Layup,[1630544],1610612760.0,OKC,driving finger roll,,,Mann,T. Mann,,,,,,,,,6.04,Missed,,,,,,,,,,,,,,,
121,PT00M40.10S,2021-12-19T01:31:52.8Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,21,19,2021-12-19T01:31:53Z,1210000,,,0,,T. Mann REBOUND (Off:1 Def:2),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,120.0,3.0,2.0,1.0,,,,,,,
122,PT00M31.10S,2021-12-19T01:32:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202339,9.149145860709593,36.51960784313725,1610612746,21,19,2021-12-19T01:38:41Z,1220000,67.0,34.0,1,left,MISS E. Bledsoe 7' driving floating Shot - blocked,"[202339, 1630544]",1610612746.0,LAC,driving floating,,,Bledsoe,E. Bledsoe,,,,,,,,,7.53,Missed,,,,,,,,,,,,,Mann,1630544.0,
123,PT00M31.10S,2021-12-19T01:32:01.9Z,1,REGULAR,block,,[],1630544,,,1610612746,21,19,2021-12-19T01:32:04Z,1230000,,,0,,T. Mann BLOCK (1 BLK),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT00M28.20S,2021-12-19T01:32:04.8Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612760,21,19,2021-12-19T01:32:06Z,1240000,,,0,,T. Mann REBOUND (Off:0 Def:2),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,122.0,2.0,2.0,0.0,,,,,,,
125,PT00M16.10S,2021-12-19T01:32:16.8Z,1,REGULAR,3pt,Jump Shot,[],1628983,70.77858081471747,73.52941176470588,1610612760,21,19,2021-12-19T01:32:21Z,1250000,118.0,222.0,1,right,MISS S. Gilgeous-Alexander 25' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,25.14,Missed,,,,,,,,,,,,,,,
126,PT00M13.60S,2021-12-19T01:32:19.3Z,1,REGULAR,rebound,offensive,[],1629026,,,1610612760,21,19,2021-12-19T01:32:21Z,1260000,,,0,,K. Williams REBOUND (Off:1 Def:1),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,125.0,2.0,1.0,1.0,,,,,,,
127,PT00M04.60S,2021-12-19T01:32:30.0Z,1,REGULAR,foul,personal,[],1628392,,,1610612760,21,19,2021-12-19T01:39:18Z,1270000,,,0,,I. Hartenstein take personal FOUL (1 PF),"[1628392, 1628983]",1610612746.0,LAC,take,,,Hartenstein,I. Hartenstein,,,,,202027.0,,,,,,,,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,
129,PT00M04.60S,2021-12-19T01:32:35.8Z,1,REGULAR,substitution,out,[],202324,,,1610612760,21,19,2021-12-19T01:32:49Z,1290000,,,0,,SUB out: D. Favors,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT00M04.60S,2021-12-19T01:32:35.8Z,1,REGULAR,substitution,out,[],1628392,,,1610612760,21,19,2021-12-19T01:32:49Z,1300000,,,0,,SUB out: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT00M04.60S,2021-12-19T01:32:35.8Z,1,REGULAR,substitution,in,[],203488,,,1610612760,21,19,2021-12-19T01:32:49Z,1310000,,,0,,SUB in: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT00M04.60S,2021-12-19T01:32:35.8Z,1,REGULAR,substitution,in,[],1629599,,,1610612760,21,19,2021-12-19T01:32:49Z,1320000,,,0,,SUB in: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT00M00.10S,2021-12-19T01:32:58.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630544,89.43823915900131,95.83333333333334,1610612760,24,19,2021-12-19T01:33:06Z,1330000,229.0,47.0,1,right,T. Mann 3PT  (6 PTS) (S. Gilgeous-Alexander 3 AST),"[1630544, 1628983]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,23.39,Made,6.0,S. Gilgeous-Alexander,1628983.0,3.0,,,,,,,,,,,
135,PT00M00.00S,2021-12-19T01:33:10.2Z,1,REGULAR,instantreplay,request,[],0,,,1610612746,24,19,2021-12-19T01:33:23Z,1350000,,,0,,,[],,,stands,,,,,,,,,202058.0,,,,,,,,,,,,,,,,,,,,End Period - Good Basket
136,PT00M00.00S,2021-12-19T01:33:42.5Z,1,REGULAR,period,end,[],0,,,1610612746,24,19,2021-12-19T01:33:42Z,1360000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT12M00.00S,2021-12-19T01:33:46.4Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612746,24,19,2021-12-19T01:35:32Z,1370000,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT12M00.00S,2021-12-19T01:33:46.4Z,2,REGULAR,substitution,out,['startperiod'],203488,,,1610612746,24,19,2021-12-19T01:35:32Z,1380000,,,0,,SUB out: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2021-12-19T01:33:46.4Z,2,REGULAR,substitution,out,['startperiod'],1629611,,,1610612746,24,19,2021-12-19T01:35:32Z,1390000,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2021-12-19T01:33:46.4Z,2,REGULAR,substitution,in,['startperiod'],202324,,,1610612746,24,19,2021-12-19T01:35:32Z,1400000,,,0,,SUB in: D. Favors,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2021-12-19T01:33:46.4Z,2,REGULAR,substitution,in,['startperiod'],1630197,,,1610612746,24,19,2021-12-19T01:35:32Z,1410000,,,0,,SUB in: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2021-12-19T01:33:46.4Z,2,REGULAR,substitution,in,['startperiod'],1628392,,,1610612746,24,19,2021-12-19T01:35:32Z,1420000,,,0,,SUB in: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2021-12-19T01:35:36.4Z,2,REGULAR,period,start,[],0,,,1610612760,24,19,2021-12-19T01:35:36Z,1430000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT11M45.00S,2021-12-19T01:35:51.0Z,2,REGULAR,turnover,bad pass,[],1630544,,,1610612760,24,19,2021-12-19T01:35:54Z,1440000,,,0,,T. Mann bad pass TURNOVER (1 TO),"[1630544, 201587]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,,1.0,Batum,201587.0,,,,,,,,,,,,,,,,,
145,PT11M45.00S,2021-12-19T01:35:51.0Z,2,REGULAR,steal,,[],201587,,,1610612746,24,19,2021-12-19T01:35:52Z,1450000,,,0,,N. Batum STEAL (1 STL),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT11M39.00S,2021-12-19T01:35:57.8Z,2,REGULAR,turnover,out-of-bounds,[],201587,,,1610612746,24,19,2021-12-19T01:36:02Z,1460000,,,0,,N. Batum bad pass out-of-bounds TURNOVER (1 TO),[201587],1610612746.0,LAC,bad pass,,,Batum,N. Batum,,,,,1627529.0,1.0,,,,,,,,,,,,,,,,,,,
147,PT11M15.00S,2021-12-19T01:36:25.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629647,91.40932982917214,47.549019607843135,1610612760,24,19,2021-12-19T01:36:29Z,1470000,-12.0,28.0,1,right,MISS D. Bazley Layup,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,3.09,Missed,,,,,,,,,,,,,,,
149,PT11M12.00S,2021-12-19T01:36:28.7Z,2,REGULAR,rebound,offensive,[],1629026,,,1610612760,24,19,2021-12-19T01:36:29Z,1490000,,,0,,K. Williams REBOUND (Off:2 Def:1),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,147.0,3.0,1.0,2.0,,,,,,,
150,PT11M10.00S,2021-12-19T01:36:30.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630197,93.11760840998686,50.49019607843137,1610612760,26,19,2021-12-19T01:36:34Z,1500000,2.0,12.0,1,right,A. Pokusevski cutting DUNK (2 PTS) (K. Williams 1 AST),"[1630197, 1629026]",1610612760.0,OKC,cutting,,,Pokusevski,A. Pokusevski,,,,,,,,,1.25,Made,2.0,K. Williams,1629026.0,1.0,,,,,,,,,,,
152,PT10M58.00S,2021-12-19T01:36:42.0Z,2,REGULAR,3pt,Jump Shot,[],201587,34.90473061760841,47.05882352941176,1610612746,26,22,2021-12-19T01:36:46Z,1520000,15.0,276.0,1,left,N. Batum 27' 3PT  (3 PTS) (E. Bledsoe 1 AST),"[201587, 202339]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,27.6,Made,3.0,E. Bledsoe,202339.0,1.0,,,,,,,,,,,
154,PT10M42.00S,2021-12-19T01:36:57.9Z,2,REGULAR,2pt,Jump Shot,[],1629026,75.50919842312747,72.54901960784314,1610612760,26,22,2021-12-19T01:37:03Z,1540000,113.0,178.0,1,right,MISS K. Williams 21' pullup Shot,[1629026],1610612760.0,OKC,pullup,,,Williams,K. Williams,,,,,,,,,21.04,Missed,,,,,,,,,,,,,,,
155,PT10M38.00S,2021-12-19T01:37:01.9Z,2,REGULAR,rebound,defensive,[],1628392,,,1610612746,26,22,2021-12-19T01:37:03Z,1550000,,,0,,I. Hartenstein REBOUND (Off:2 Def:1),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,154.0,3.0,1.0,2.0,,,,,,,
156,PT10M24.00S,2021-12-19T01:37:16.0Z,2,REGULAR,3pt,Jump Shot,[],202339,31.882391590013142,26.96078431372549,1610612746,26,22,2021-12-19T01:37:20Z,1560000,115.0,247.0,1,left,MISS E. Bledsoe 27' 3PT,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,27.27,Missed,,,,,,,,,,,,,,,
157,PT10M21.00S,2021-12-19T01:37:19.0Z,2,REGULAR,rebound,defensive,[],202324,,,1610612760,26,22,2021-12-19T01:37:20Z,1570000,,,0,,D. Favors REBOUND (Off:0 Def:2),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,156.0,2.0,2.0,0.0,,,,,,,
158,PT10M15.00S,2021-12-19T01:37:26.0Z,2,REGULAR,2pt,Jump Shot,[],1630544,79.71419185282524,33.088235294117645,1610612760,28,22,2021-12-19T01:37:30Z,1580000,-85.0,138.0,1,right,T. Mann 16' pullup Jump Shot (8 PTS),[1630544],1610612760.0,OKC,pullup,,,Mann,T. Mann,,,,,,,,,16.2,Made,8.0,,,,,,,,,,,,,,
159,PT09M55.00S,2021-12-19T01:37:48.5Z,2,REGULAR,turnover,traveling,[],1630527,,,1610612746,28,22,2021-12-19T01:37:54Z,1590000,,,0,,B. Boston Jr. traveling TURNOVER (1 TO),[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,202058.0,1.0,,,,,,,,,,,,,,,,,,,
160,PT09M42.00S,2021-12-19T01:38:14.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630544,75.1149802890933,83.82352941176471,1610612760,31,22,2021-12-19T01:38:19Z,1600000,169.0,181.0,1,right,T. Mann 24' 3PT step back (11 PTS),[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,,,,,24.8,Made,11.0,,,,,,,,,,,,,,
161,PT09M33.00S,2021-12-19T01:38:25.4Z,2,REGULAR,foul,personal,['2freethrow'],1630544,,,1610612746,31,22,2021-12-19T01:38:30Z,1610000,,,0,,T. Mann shooting personal FOUL (1 PF) (Bledsoe 2 FT),"[1630544, 202339]",1610612760.0,OKC,shooting,,,Mann,T. Mann,,,,,1627529.0,,,,,,,,,,,,,,1.0,0.0,Bledsoe,202339.0,,,
163,PT09M33.00S,2021-12-19T01:38:51.6Z,2,REGULAR,freethrow,1 of 2,[],202339,,,1610612746,31,23,2021-12-19T01:38:51Z,1630000,,,0,,E. Bledsoe Free Throw 1 of 2 (1 PTS),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
164,PT09M33.00S,2021-12-19T01:38:52.4Z,2,REGULAR,substitution,out,[],1630527,,,1610612746,31,23,2021-12-19T01:38:57Z,1640000,,,0,,SUB out: B. Boston Jr.,[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT09M33.00S,2021-12-19T01:38:52.4Z,2,REGULAR,substitution,in,[],1628379,,,1610612746,31,23,2021-12-19T01:38:57Z,1650000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT09M33.00S,2021-12-19T01:39:12.9Z,2,REGULAR,freethrow,2 of 2,[],202339,,,1610612746,31,24,2021-12-19T01:39:13Z,1660000,,,0,,E. Bledsoe Free Throw 2 of 2 (2 PTS),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
167,PT09M16.00S,2021-12-19T01:39:32.6Z,2,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612760,31,24,2021-12-19T01:39:37Z,1670000,,,0,,I. Hartenstein shooting personal FOUL (2 PF) (Bazley 2 FT),"[1628392, 1629647]",1610612746.0,LAC,shooting,,,Hartenstein,I. Hartenstein,,,,,1627529.0,,,,,,,,,,,,,,2.0,0.0,Bazley,1629647.0,,,
169,PT09M16.00S,2021-12-19T01:39:56.5Z,2,REGULAR,freethrow,1 of 2,[],1629647,,,1610612760,32,24,2021-12-19T01:40:24Z,1690000,,,0,,D. Bazley Free Throw 1 of 2 (1 PTS),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
170,PT09M16.00S,2021-12-19T01:39:58.0Z,2,REGULAR,substitution,out,[],201587,,,1610612760,32,24,2021-12-19T01:40:02Z,1700000,,,0,,SUB out: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT09M16.00S,2021-12-19T01:39:58.0Z,2,REGULAR,substitution,in,[],202704,,,1610612760,32,24,2021-12-19T01:40:02Z,1710000,,,0,,SUB in: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT09M16.00S,2021-12-19T01:40:08.7Z,2,REGULAR,substitution,out,[],1628392,,,1610612760,32,24,2021-12-19T01:40:12Z,1720000,,,0,,SUB out: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT09M16.00S,2021-12-19T01:40:08.7Z,2,REGULAR,substitution,in,[],1627826,,,1610612760,32,24,2021-12-19T01:40:12Z,1730000,,,0,,SUB in: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT09M16.00S,2021-12-19T01:39:56.5Z,2,REGULAR,freethrow,2 of 2,[],1629647,,,1610612760,32,24,2021-12-19T01:40:24Z,1740000,,,0,,MISS D. Bazley Free Throw 2 of 2,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,Missed,,,,,,,,,,,,,,,
