actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
47,PT09M13.00S,2022-03-05T01:15:38.6Z,1,REGULAR,foul,personal,['1freethrow'],1626157,,,1610612760,8,6,2022-03-05T01:15:58Z,470000,,,0,,K. Towns shooting personal FOUL (1 PF) (Roby 1 FT),"[1626157, 1629676]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,,,,,,,101284.0,1.0,0.0,Roby,1629676.0,,,,,,,,,
49,PT09M13.00S,2022-03-05T01:16:17.1Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629676,,,1610612760,9,6,2022-03-05T01:16:17Z,490000,,,0,,I. Roby Free Throw 1 of 1 (7 PTS),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
50,PT09M05.00S,2022-03-05T01:16:32.7Z,1,REGULAR,3pt,Jump Shot,[],1630183,95.74572930354796,3.9215686274509802,1610612750,9,6,2022-03-05T01:16:39Z,500000,-230.0,-13.0,1,right,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,23.07,Missed,,,,,,,,,,,,,,,,,,
51,PT09M00.00S,2022-03-05T01:16:37.7Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,9,6,2022-03-05T01:16:39Z,510000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,50.0,1.0,1.0,0.0
52,PT08M56.00S,2022-03-05T01:16:41.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630197,7.703679369250986,58.333333333333336,1610612760,11,6,2022-03-05T01:23:38Z,520000,-42.0,20.0,1,left,A. Pokusevski running alley-oop DUNK (2 PTS) (I. Roby 1 AST),"[1630197, 1629676]",1610612760.0,OKC,running alley-oop,,,Pokusevski,A. Pokusevski,,,,,4.62,Made,2.0,I. Roby,1629676.0,1.0,,,,,,,,,,,,,,
54,PT08M45.00S,2022-03-05T01:16:52.3Z,1,REGULAR,3pt,Jump Shot,[],1626156,70.64717477003943,79.16666666666666,1610612750,11,6,2022-03-05T01:17:00Z,540000,146.0,223.0,1,right,MISS D. Russell 26' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,26.68,Missed,,,,,,,,,,,,,,,,,,
55,PT08M41.00S,2022-03-05T01:16:56.3Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612760,11,6,2022-03-05T01:17:00Z,550000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,54.0,1.0,1.0,0.0
56,PT08M36.00S,2022-03-05T01:17:00.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629647,14.668199737187912,0.9803921568627451,1610612760,11,6,2022-03-05T01:17:07Z,560000,245.0,85.0,1,left,MISS D. Bazley 25' 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,
57,PT08M30.00S,2022-03-05T01:17:06.8Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,11,6,2022-03-05T01:17:07Z,570000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,56.0,1.0,1.0,0.0
58,PT08M22.00S,2022-03-05T01:17:15.6Z,1,REGULAR,3pt,Jump Shot,[],1626157,65.25952693823915,46.07843137254902,1610612750,11,9,2022-03-05T01:17:20Z,580000,-20.0,274.0,1,right,K. Towns 27' 3PT  (5 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,27.48,Made,5.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,
60,PT08M09.00S,2022-03-05T01:17:28.7Z,1,REGULAR,turnover,bad pass,[],1629647,,,1610612760,11,9,2022-03-05T01:17:34Z,600000,,,0,,D. Bazley bad pass TURNOVER (2 TO),"[1629647, 1626156]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,2.0,Russell,1626156.0,,,,,,
61,PT08M09.00S,2022-03-05T01:17:28.7Z,1,REGULAR,steal,,[],1626156,,,1610612750,11,9,2022-03-05T01:17:34Z,610000,,,0,,D. Russell STEAL (1 STL),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,
62,PT08M07.00S,2022-03-05T01:17:35.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,65.1281208935611,47.549019607843135,1610612750,11,9,2022-03-05T01:25:02Z,620000,-12.0,275.0,1,right,MISS D. Russell 27' running pullup 3PT,[1626156],1610612750.0,MIN,running pullup,,,Russell,D. Russell,,,,,27.56,Missed,,,,,,,,,,,,,,,,,,
63,PT08M06.00S,2022-03-05T01:17:36.6Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,11,9,2022-03-05T01:38:08Z,630000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,62.0,2.0,1.0,1.0
64,PT08M06.00S,2022-03-05T01:17:40.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629020,92.46057818659659,56.86274509803921,1610612750,11,9,2022-03-05T01:38:17Z,632500,34.0,18.0,1,right,MISS J. Vanderbilt putback DUNK,[1629020],1610612750.0,MIN,putback,,,Vanderbilt,J. Vanderbilt,,,,,3.89,Missed,,,,,,,,,,,,,,,,,,
65,PT08M05.00S,2022-03-05T01:17:41.8Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,11,9,2022-03-05T01:38:17Z,633750,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:2),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,64.0,2.0,2.0,0.0
66,PT08M05.00S,2022-03-05T01:17:45.0Z,1,REGULAR,2pt,Layup,['fastbreak'],1628983,4.418528252299605,29.166666666666668,1610612760,11,9,2022-03-05T01:33:47Z,634062,104.0,-11.0,1,left,MISS S. Gilgeous-Alexander 10' running Layup,[1628983],1610612760.0,OKC,running,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,10.48,Missed,,,,,,,,,,,,,,,,,,
67,PT08M04.00S,2022-03-05T01:17:46.0Z,1,REGULAR,rebound,offensive,[],1629676,,,1610612760,11,9,2022-03-05T01:38:37Z,634218,,,0,,I. Roby REBOUND (Off:1 Def:0),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,66.0,1.0,0.0,1.0
135,PT08M04.00S,2022-03-05T01:17:46.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629676,5.699737187910642,54.16666666666667,1610612760,11,9,2022-03-05T01:38:58Z,634375,-21.0,1.0,1,left,MISS I. Roby tip Layup,[1629676],1610612760.0,OKC,tip,,,Roby,I. Roby,,,,,2.08,Missed,,,,,,,,,,,,,,,,,,
136,PT08M04.00S,2022-03-05T01:17:46.9Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,11,9,2022-03-05T01:38:58Z,634687,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,135.0,1.0,1.0,0.0
68,PT07M45.00S,2022-03-05T01:17:51.8Z,1,REGULAR,2pt,Layup,['fastbreak'],1630183,76.95466491458606,23.52941176470588,1610612750,11,11,2022-03-05T02:18:45Z,680000,-132.0,164.0,1,right,J. McDaniels 21' running Layup (2 PTS) (P. Beverley 3 AST),"[1630183, 201976]",1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,21.09,Made,2.0,P. Beverley,201976.0,3.0,,,,,,,,,,,,,,
